,TKR
2001-11-16,615323763
2001-11-19,613526323
2001-11-20,606935708
2001-11-21,605737414
2001-11-23,617720350
2001-11-26,606336561
2001-11-27,600345093
2001-11-28,603939974
2001-11-29,616522057
2001-11-30,608134002
2001-12-03,615323763
2001-12-04,633298167
2001-12-05,651272571
2001-12-06,659660626
2001-12-07,669846122
2001-12-10,647677690
2001-12-11,653669158
2001-12-12,655466599
2001-12-13,643483663
2001-12-14,664453801
2001-12-17,677635030
2001-12-18,706993224
2001-12-19,687221379
2001-12-20,686023086
2001-12-21,690217113
2001-12-24,686023086
2001-12-26,686023086
2001-12-27,686023086
2001-12-28,685423939
2001-12-31,693811994
2002-01-02,703398343
2002-01-03,706993224
2002-01-04,718377013
2002-01-07,698006022
2002-01-08,703398343
2002-01-09,705794930
2002-01-10,714782132
2002-01-11,711786398
2002-01-14,696208581
2002-01-15,698605168
2002-01-16,688419673
2002-01-17,693212847
2002-01-18,684225645
2002-01-22,695010288
2002-01-23,715980426
2002-01-24,699204315
2002-01-25,718976160
2002-01-28,735153123
2002-01-29,718377013
2002-01-30,714782132
2002-01-31,711786398
2002-02-01,696807728
2002-02-04,695010288
2002-02-05,690816260
2002-02-06,681229911
2002-02-07,674040150
2002-02-08,684225645
2002-02-11,699204315
2002-02-12,692014554
2002-02-13,698006022
2002-02-14,690217113
2002-02-15,692613700
2002-02-19,683626498
2002-02-20,676436737
2002-02-21,671643562
2002-02-22,701600902
2002-02-25,693811994
2002-02-26,726765068
2002-02-27,765709610
2002-02-28,769903638
2002-03-01,796266097
2002-03-04,836408932
2002-03-05,828020877
2002-03-06,851387602
2002-03-07,844796988
2002-03-08,855581630
2002-03-11,835210639
2002-03-12,837607226
2002-03-13,819632822
2002-03-14,828020877
2002-03-15,840602960
2002-03-18,844197841
2002-03-19,942457916
2002-03-20,946651944
2002-03-21,1014355532
2002-03-22,1003570890
2002-03-25,1015553826
2002-03-26,991587954
2002-03-27,996980275
2002-03-28,990389660
2002-04-01,1005389994
2002-04-02,1028280839
2002-04-03,1003582822
2002-04-04,1037316699
2002-04-05,1034907136
2002-04-08,1042738215
2002-04-09,1042738215
2002-04-10,1103579670
2002-04-11,1084303170
2002-04-12,1121048999
2002-04-15,1095146201
2002-04-16,1164421126
2002-04-17,1134903984
2002-04-18,1108398796
2002-04-19,1114422702
2002-04-22,1096350983
2002-04-23,1125265734
2002-04-24,1111410749
2002-04-25,1116832265
2002-04-26,1097555764
2002-04-29,1111410749
2002-04-30,1149361360
2002-05-01,1140927891
2002-05-02,1136108765
2002-05-03,1179480892
2002-05-06,1119241827
2002-05-07,1129482468
2002-05-08,1151168532
2002-05-09,1125265734
2002-05-10,1096350983
2002-05-13,1095146201
2002-05-14,1136108765
2002-05-15,1112615530
2002-05-16,1114422702
2002-05-17,1116832265
2002-05-20,1121048999
2002-05-21,1085507951
2002-05-22,1064424278
2002-05-23,1100567717
2002-05-24,1032497574
2002-05-28,1012618682
2002-05-29,978884806
2002-05-30,974668071
2002-05-31,965632211
2002-06-03,950572445
2002-06-04,946355711
2002-06-05,991535009
2002-06-06,949970055
2002-06-07,982499150
2002-06-10,957801133
2002-06-11,944548539
2002-06-12,935512679
2002-06-13,909609881
2002-06-14,901778803
2002-06-17,1043340605
2002-06-18,1034304746
2002-06-19,998161307
2002-06-20,1025268886
2002-06-21,1034907136
2002-06-24,1014425854
2002-06-25,1003582822
2002-06-26,997558916
2002-06-27,1015630635
2002-06-28,962620258
2002-07-01,1019624211
2002-07-02,973805268
2002-07-03,951812175
2002-07-05,997631118
2002-07-08,988467330
2002-07-09,997020199
2002-07-10,959754126
2002-07-11,927375406
2002-07-12,937761033
2002-07-15,916378860
2002-07-16,932873679
2002-07-17,901105879
2002-07-18,912713344
2002-07-19,880334624
2002-07-22,825351893
2002-07-23,791751335
2002-07-24,818020862
2002-07-25,831461085
2002-07-26,830850166
2002-07-29,882778301
2002-07-30,882778301
2002-07-31,873003593
2002-08-01,874225432
2002-08-02,830850166
2002-08-05,807635235
2002-08-06,827184650
2002-08-07,839403035
2002-08-08,860785209
2002-08-09,869948997
2002-08-12,868727159
2002-08-13,848566824
2002-08-14,768536403
2002-08-15,747765149
2002-08-16,776478354
2002-08-19,780754788
2002-08-20,778311111
2002-08-21,808857073
2002-08-22,833293843
2002-08-23,800304204
2002-08-26,806413396
2002-08-27,814966266
2002-08-28,800304204
2002-08-29,786863981
2002-08-30,798471446
2002-09-03,785031223
2002-09-04,781976627
2002-09-05,783198465
2002-09-06,785031223
2002-09-09,791751335
2002-09-10,794805931
2002-09-11,786253061
2002-09-12,786863981
2002-09-13,786863981
2002-09-16,785031223
2002-09-17,776478354
2002-09-18,770369161
2002-09-19,774034677
2002-09-20,769758242
2002-09-23,755096180
2002-09-24,750819745
2002-09-25,742877795
2002-09-26,767314565
2002-09-27,752041584
2002-09-30,732492168
2002-10-01,900773997
2002-10-02,878440757
2002-10-03,844940898
2002-10-04,845685339
2002-10-07,819629893
2002-10-08,820374334
2002-10-09,795063329
2002-10-10,827074306
2002-10-11,843452015
2002-10-14,831540954
2002-10-15,911196175
2002-10-16,879185198
2002-10-17,961073744
2002-10-18,1004251340
2002-10-21,996806927
2002-10-22,999040251
2002-10-23,1007973547
2002-10-24,972240363
2002-10-25,983406983
2002-10-28,964795950
2002-10-29,923851678
2002-10-30,940229387
2002-10-31,970751481
2002-11-01,948418241
2002-11-04,950651565
2002-11-05,957351537
2002-11-06,953629330
2002-11-07,929807208
2002-11-08,927573884
2002-11-11,932784973
2002-11-12,957351537
2002-11-13,951396006
2002-11-14,967029274
2002-11-15,956607096
2002-11-18,948418241
2002-11-19,957351537
2002-11-20,962562626
2002-11-21,972240363
2002-11-22,1010206871
2002-11-25,1017651284
2002-11-26,1005740223
2002-11-27,1066039970
2002-11-29,1057851115
2002-12-02,1073484383
2002-12-03,1027329021
2002-12-04,1027329021
2002-12-05,1022862373
2002-12-06,1021373491
2002-12-09,1004251340
2002-12-10,1016162401
2002-12-11,1027329021
2002-12-12,1054128909
2002-12-13,1015417960
2002-12-16,1043706730
2002-12-17,1032540110
2002-12-18,1016162401
2002-12-19,1031051228
2002-12-20,1031051228
2002-12-23,1023606815
2002-12-24,1010206871
2002-12-26,1026584580
2002-12-27,1020629049
2002-12-30,1012440195
2002-12-31,1017651284
2003-01-02,1048917819
2003-01-03,1049662261
2003-01-06,1071251059
2003-01-07,1081673237
2003-01-08,1051151143
2003-01-09,1055617791
2003-01-10,1074228824
2003-01-13,1075717707
2003-01-14,1079439914
2003-01-15,1049662261
2003-01-16,1072739942
2003-01-17,1056362233
2003-01-21,1016906843
2003-01-22,997551368
2003-01-23,1017651284
2003-01-24,976707011
2003-01-27,967029274
2003-01-28,911196175
2003-01-29,921618354
2003-01-30,931296091
2003-01-31,922362795
2003-02-03,923851678
2003-02-04,900773997
2003-02-05,898540673
2003-02-06,870996344
2003-02-07,833774278
2003-02-10,834518719
2003-02-11,822607658
2003-02-12,815163245
2003-02-13,799529977
2003-02-14,818885452
2003-02-18,833774278
2003-02-19,826329865
2003-02-20,815163245
2003-02-21,821863217
2003-02-24,847174222
2003-02-25,836752043
2003-02-26,828563189
2003-02-27,850151987
2003-02-28,853874194
2003-03-03,865785255
2003-03-04,847174222
2003-03-05,835263161
2003-03-06,837496485
2003-03-07,826329865
2003-03-10,809207714
2003-03-11,798041095
2003-03-12,806974390
2003-03-13,855363076
2003-03-14,844940898
2003-03-17,862063048
2003-03-18,876951874
2003-03-19,870996344
2003-03-20,857596400
2003-03-21,876951874
2003-03-24,860574165
2003-03-25,874718551
2003-03-26,862807489
2003-03-27,847174222
2003-03-28,838985367
2003-03-31,956121057
2003-04-01,976646017
2003-04-02,1009999077
2003-04-03,1013419903
2003-04-04,995460563
2003-04-07,1040786517
2003-04-08,1048483377
2003-04-09,1058745857
2003-04-10,1054469824
2003-04-11,1051904204
2003-04-14,1074994784
2003-04-15,1065587510
2003-04-16,1086967677
2003-04-17,1092098917
2003-04-21,1095519744
2003-04-22,1110913464
2003-04-23,1098940570
2003-04-24,1126307184
2003-04-25,1104927017
2003-04-28,1116899911
2003-04-29,1082691644
2003-04-30,1083546850
2003-05-01,1090388504
2003-05-02,1095519744
2003-05-05,1081836437
2003-05-06,1083546850
2003-05-07,1078415610
2003-05-08,1062166684
2003-05-09,1071573957
2003-05-12,1082691644
2003-05-13,1071573957
2003-05-14,1039931310
2003-05-15,1035655277
2003-05-16,1015985523
2003-05-19,1009143870
2003-05-20,1002302217
2003-05-21,982632463
2003-05-22,992039737
2003-05-23,996315770
2003-05-27,1013419903
2003-05-28,988618910
2003-05-29,996315770
2003-05-30,1003157423
2003-06-02,1028813624
2003-06-03,1039076104
2003-06-04,1028813624
2003-06-05,1019406350
2003-06-06,1037365690
2003-06-09,1021971970
2003-06-10,1029668830
2003-06-11,1051904204
2003-06-12,1063877097
2003-06-13,1056180237
2003-06-16,1080126024
2003-06-17,1095519744
2003-06-18,1086112470
2003-06-19,1098940570
2003-06-20,1078415610
2003-06-23,1052759410
2003-06-24,1038220897
2003-06-25,1031379244
2003-06-26,1039076104
2003-06-27,1048483377
2003-06-30,1072171976
2003-07-01,1037944619
2003-07-02,1059336717
2003-07-03,1036233251
2003-07-07,1043934406
2003-07-08,1064470821
2003-07-09,1083295868
2003-07-10,1056769665
2003-07-11,1072171976
2003-07-14,1064470821
2003-07-15,1068749241
2003-07-16,1042223038
2003-07-17,1068749241
2003-07-18,1072171976
2003-07-21,1050779878
2003-07-22,1033666199
2003-07-23,1066182189
2003-07-24,942963701
2003-07-25,979758111
2003-07-28,936118230
2003-07-29,945530753
2003-07-30,932695494
2003-07-31,936973914
2003-08-01,927561390
2003-08-04,908736344
2003-08-05,909592028
2003-08-06,910447712
2003-08-07,923282971
2003-08-08,927561390
2003-08-11,925850023
2003-08-12,931839810
2003-08-13,936118230
2003-08-14,972912639
2003-08-15,985747898
2003-08-18,988314950
2003-08-19,993449054
2003-08-20,979758111
2003-08-21,1008851365
2003-08-22,1013129784
2003-08-25,1000294525
2003-08-26,1016552520
2003-08-27,993449054
2003-08-28,989170634
2003-08-29,1022542308
2003-09-02,1094419759
2003-09-03,1144049427
2003-09-04,1120945961
2003-09-05,1102976598
2003-09-08,1110677754
2003-09-09,1132925536
2003-09-10,1085007235
2003-09-11,1102120914
2003-09-12,1102120914
2003-09-15,1100409546
2003-09-16,1108966386
2003-09-17,1096131127
2003-09-18,1102976598
2003-09-19,1033666199
2003-09-22,979758111
2003-09-23,979758111
2003-09-24,945530753
2003-09-25,934406862
2003-09-26,910447712
2003-09-29,934406862
2003-09-30,973885317
2003-10-01,998879624
2003-10-02,1001557586
2003-10-03,1011376778
2003-10-06,999772278
2003-10-07,1023873931
2003-10-08,1017625354
2003-10-09,1022088623
2003-10-10,1019410662
2003-10-13,1024766585
2003-10-14,1034585777
2003-10-15,1019410662
2003-10-16,1031015162
2003-10-17,1015840047
2003-10-20,1015840047
2003-10-21,1001557586
2003-10-22,987275124
2003-10-23,1012269431
2003-10-24,1008698816
2003-10-27,1014947393
2003-10-28,1031015162
2003-10-29,1037263738
2003-10-30,1072969891
2003-10-31,1072077237
2003-11-03,1086359698
2003-11-04,1085467045
2003-11-05,1078325814
2003-11-06,1086359698
2003-11-07,1085467045
2003-11-10,1060472738
2003-11-11,1035478431
2003-11-12,1075647853
2003-11-13,1072077237
2003-11-14,1066721314
2003-11-17,1060472738
2003-11-18,1071184584
2003-11-19,1071184584
2003-11-20,1058687430
2003-11-21,1062258045
2003-11-24,1072969891
2003-11-25,1093500929
2003-11-26,1086359698
2003-11-28,1094393583
2003-12-01,1103320121
2003-12-02,1114924621
2003-12-03,1098856852
2003-12-04,1089037660
2003-12-05,1114031967
2003-12-08,1150630773
2003-12-09,1180981003
2003-12-10,1168483850
2003-12-11,1179195696
2003-12-12,1187229580
2003-12-15,1179195696
2003-12-16,1188122234
2003-12-17,1185444272
2003-12-18,1226506348
2003-12-19,1228291656
2003-12-22,1235432886
2003-12-23,1239896155
2003-12-24,1238110848
2003-12-26,1254178617
2003-12-29,1260427193
2003-12-30,1285421500
2003-12-31,1281850885
2004-01-02,1275602308
2004-01-05,1338980730
2004-01-06,1309523153
2004-01-07,1313093769
2004-01-08,1325590922
2004-01-09,1297026000
2004-01-12,1297026000
2004-01-13,1271139039
2004-01-14,1282743539
2004-01-15,1278280270
2004-01-16,1278280270
2004-01-20,1245252078
2004-01-21,1249715348
2004-01-22,1441635919
2004-01-23,1484483302
2004-01-26,1406822420
2004-01-27,1423782842
2004-01-28,1379150151
2004-01-29,1366652998
2004-01-30,1408607727
2004-02-02,1422890189
2004-02-03,1398788535
2004-02-04,1358619114
2004-02-05,1363975036
2004-02-06,1388076690
2004-02-09,1385398728
2004-02-10,1380042805
2004-02-11,1397003228
2004-02-12,1447884496
2004-02-13,1413963650
2004-02-17,1434494688
2004-02-18,1417534266
2004-02-19,1389861997
2004-02-20,1388969343
2004-02-23,1378257498
2004-02-24,1386291382
2004-02-25,1391647305
2004-02-26,1404144458
2004-02-27,1404144458
2004-03-01,1441635919
2004-03-02,1438957957
2004-03-03,1438065304
2004-03-04,1437172650
2004-03-05,1435387342
2004-03-08,1424675496
2004-03-09,1424675496
2004-03-10,1381828113
2004-03-11,1356833806
2004-03-12,1376472190
2004-03-15,1347907268
2004-03-16,1341658691
2004-03-17,1357726460
2004-03-18,1339873383
2004-03-19,1346121960
2004-03-22,1291670077
2004-03-23,1298811308
2004-03-24,1279172924
2004-03-25,1306845192
2004-03-26,1309523153
2004-03-29,1365760344
2004-03-30,1413070997
2004-03-31,1491678238
2004-04-01,1505132943
2004-04-02,1537424234
2004-04-05,1553569879
2004-04-06,1558054781
2004-04-07,1550878938
2004-04-08,1542806116
2004-04-12,1566127603
2004-04-13,1526660470
2004-04-14,1515896706
2004-04-15,1528454431
2004-04-16,1543703096
2004-04-19,1549981958
2004-04-20,1528454431
2004-04-21,1524866510
2004-04-22,1542806116
2004-04-23,1514999726
2004-04-26,1507823884
2004-04-27,1480914475
2004-04-28,1455799026
2004-04-29,1428889617
2004-04-30,1416331893
2004-05-03,1451314125
2004-05-04,1488090317
2004-05-05,1479120514
2004-05-06,1417228874
2004-05-07,1410950011
2004-05-10,1363410056
2004-05-11,1382246642
2004-05-12,1371482878
2004-05-13,1376864760
2004-05-14,1380452681
2004-05-17,1348161390
2004-05-18,1355337233
2004-05-19,1367894957
2004-05-20,1378658721
2004-05-21,1388525504
2004-05-24,1433374519
2004-05-25,1464768829
2004-05-26,1437859420
2004-05-27,1457592987
2004-05-28,1462974869
2004-06-01,1482708435
2004-06-02,1497060120
2004-06-03,1476429573
2004-06-04,1480914475
2004-06-07,1518587647
2004-06-08,1530248391
2004-06-09,1498854081
2004-06-10,1495266160
2004-06-14,1473738632
2004-06-15,1519484628
2004-06-16,1512308785
2004-06-17,1521278588
2004-06-18,1553569879
2004-06-21,1566127603
2004-06-22,1584964190
2004-06-23,1610079638
2004-06-24,1600212855
2004-06-25,1618152461
2004-06-28,1643267909
2004-06-29,1677353161
2004-06-30,1709558963
2004-07-01,1651852331
2004-07-02,1655458996
2004-07-06,1650950665
2004-07-07,1639229006
2004-07-08,1600457363
2004-07-09,1599555696
2004-07-12,1597752364
2004-07-13,1597752364
2004-07-14,1594145700
2004-07-15,1606769025
2004-07-16,1597752364
2004-07-19,1586030705
2004-07-20,1597752364
2004-07-21,1581522374
2004-07-22,1541849065
2004-07-23,1547259061
2004-07-26,1523815742
2004-07-27,1550865726
2004-07-28,1545455729
2004-07-29,1594145700
2004-07-30,1603162361
2004-08-02,1594145700
2004-08-03,1561685719
2004-08-04,1553570724
2004-08-05,1514799081
2004-08-06,1482339101
2004-08-09,1479634102
2004-08-10,1503979088
2004-08-11,1522914076
2004-08-12,1482339101
2004-08-13,1462502446
2004-08-16,1523815742
2004-08-17,1540947399
2004-08-18,1543652397
2004-08-19,1526520741
2004-08-20,1552669058
2004-08-23,1543652397
2004-08-24,1549964060
2004-08-25,1536439068
2004-08-26,1536439068
2004-08-27,1532832404
2004-08-30,1526520741
2004-08-31,1500372423
2004-09-01,1493159094
2004-09-02,1497667425
2004-09-03,1522914076
2004-09-07,1541849065
2004-09-08,1539144066
2004-09-09,1539144066
2004-09-10,1531930737
2004-09-13,1549062394
2004-09-14,1548160728
2004-09-15,1540947399
2004-09-16,1562587385
2004-09-17,1584227372
2004-09-20,1586030705
2004-09-21,1584227372
2004-09-22,1575210711
2004-09-23,1549964060
2004-09-24,1553570724
2004-09-27,1524717408
2004-09-28,1537340734
2004-09-29,1570702381
2004-09-30,1599982972
2004-10-01,1657190082
2004-10-04,1679891316
2004-10-05,1662638378
2004-10-06,1666270575
2004-10-07,1650833736
2004-10-08,1637212996
2004-10-11,1649925687
2004-10-12,1636304946
2004-10-13,1599982972
2004-10-14,1573649540
2004-10-15,1580913935
2004-10-18,1570017343
2004-10-19,1545500010
2004-10-20,1531879270
2004-10-21,1533695369
2004-10-22,1512810233
2004-10-25,1493741197
2004-10-26,1570017343
2004-10-27,1587270281
2004-10-28,1555488553
2004-10-29,1560028800
2004-11-01,1540051714
2004-11-02,1591810528
2004-11-03,1599074922
2004-11-04,1621776156
2004-11-05,1625408354
2004-11-08,1605431268
2004-11-09,1622684206
2004-11-10,1609063465
2004-11-11,1620868107
2004-11-12,1617235910
2004-11-15,1586362231
2004-11-16,1582730034
2004-11-17,1594534676
2004-11-18,1591810528
2004-11-19,1568201244
2004-11-22,1572741491
