,BG
2002-02-08,1681651342
2002-02-11,1719306639
2002-02-12,1720162442
2002-02-13,1717595035
2002-02-14,1711604420
2002-02-15,1698767386
2002-02-19,1690209364
2002-02-20,1707325408
2002-02-21,1709892815
2002-02-22,1677372331
2002-02-25,1711604420
2002-02-26,1703046397
2002-02-27,1707325408
2002-02-28,1681651342
2002-03-01,1647419254
2002-03-04,1685930353
2002-03-05,1685930353
2002-03-06,1675660727
2002-03-07,1680795540
2002-03-08,1703046397
2002-03-11,1655977276
2002-03-12,1627735803
2002-03-13,1643140243
2002-03-14,1673093320
2002-03-15,1754394530
2002-03-18,1801463652
2002-03-19,1839974751
2002-03-20,1852811784
2002-03-21,1724441453
2002-03-22,1755250332
2002-03-25,1738134288
2002-03-26,1754394530
2002-03-27,1801463652
2002-03-28,1852811784
2002-04-01,2125932558
2002-04-02,2181512494
2002-04-03,2165632512
2002-04-04,2181512494
2002-04-05,2173572503
2002-04-08,2166625011
2002-04-09,2163647514
2002-04-10,2183497492
2002-04-11,2183497492
2002-04-12,2198384974
2002-04-15,2257934906
2002-04-16,2342297309
2002-04-17,2332372321
2002-04-18,2370087277
2002-04-19,2337334815
2002-04-22,2148760031
2002-04-23,2181512494
2002-04-24,2248009917
2002-04-25,2248009917
2002-04-26,2243047423
2002-04-29,2158685020
2002-04-30,2195407478
2002-05-01,2181512494
2002-05-02,2158685020
2002-05-03,2162655015
2002-05-06,2099135088
2002-05-07,2004847697
2002-05-08,2059435134
2002-05-09,2086232603
2002-05-10,2059435134
2002-05-13,2069360123
2002-05-14,2082262608
2002-05-15,2081270109
2002-05-16,2148760031
2002-05-17,2177542498
2002-05-20,2178534997
2002-05-21,2118985066
2002-05-22,2141812539
2002-05-23,2114022571
2002-05-24,2148760031
2002-05-28,2153722526
2002-05-29,2123947560
2002-05-30,2109060077
2002-05-31,2163647514
2002-06-03,2157692521
2002-06-04,2193422480
2002-06-05,2223197446
2002-06-06,2262897400
2002-06-07,2262897400
2002-06-10,2282747378
2002-06-11,2218234952
2002-06-12,2118985066
2002-06-13,2080277610
2002-06-14,2074322617
2002-06-17,2066382626
2002-06-18,1994922708
2002-06-19,1970110237
2002-06-20,1975072731
2002-06-21,1950260259
2002-06-24,2029660168
2002-06-25,2094172594
2002-06-26,2099135088
2002-06-27,2153722526
2002-06-28,2094172594
2002-07-01,2085259602
2002-07-02,2015784032
2002-07-03,1975091198
2002-07-05,2024716605
2002-07-08,2034641687
2002-07-09,2033649178
2002-07-10,1975091198
2002-07-11,1960203576
2002-07-12,1928443316
2002-07-15,1837132567
2002-07-16,1765671981
2002-07-17,1786514652
2002-07-18,1786514652
2002-07-19,1849042664
2002-07-22,1842095107
2002-07-23,1836140059
2002-07-24,1885765466
2002-07-25,1935390873
2002-07-26,1950278495
2002-07-29,2061439406
2002-07-30,2025709113
2002-07-31,2029679146
2002-08-01,1985016280
2002-08-02,1985016280
2002-08-05,1966158625
2002-08-06,1965166117
2002-08-07,1991963836
2002-08-08,2029679146
2002-08-09,2110072305
2002-08-12,2129922468
2002-08-13,2084267094
2002-08-14,2086252110
2002-08-15,2084267094
2002-08-16,2082282077
2002-08-19,2040596735
2002-08-20,1955241035
2002-08-21,1994941361
2002-08-22,2143817582
2002-08-23,2119004878
2002-08-26,2151757647
2002-08-27,2123967419
2002-08-28,2123967419
2002-08-29,2123967419
2002-08-30,2123967419
2002-09-03,2115034846
2002-09-04,2138855041
2002-09-05,2102132240
2002-09-06,2079304553
2002-09-09,2056476866
2002-09-10,2039604227
2002-09-11,2023724097
2002-09-12,2017769048
2002-09-13,2058461882
2002-09-16,2119004878
2002-09-17,2064416931
2002-09-18,2108087289
2002-09-19,2074342012
2002-09-20,2089229634
2002-09-23,2243068396
2002-09-24,2281776213
2002-09-25,2272843640
2002-09-26,2377056995
2002-09-27,2334379145
2002-09-30,2401869698
2002-10-01,2405001175
2002-10-02,2404005315
2002-10-03,2464752757
2002-10-04,2413963912
2002-10-07,2305415205
2002-10-08,2335290996
2002-10-09,2415955632
2002-10-10,2429897668
2002-10-11,2414959772
2002-10-14,2402013596
2002-10-15,2392054999
2002-10-16,2429897668
2002-10-17,2232717447
2002-10-18,2380104683
2002-10-21,2509566444
2002-10-22,2549400832
2002-10-23,2525500199
2002-10-24,2562347008
2002-10-25,2549400832
2002-10-28,2494628548
2002-10-29,2440852124
2002-10-30,2533467076
2002-10-31,2527491918
2002-11-01,2572305605
2002-11-04,2589235220
2002-11-05,2532471217
2002-11-06,2494628548
2002-11-07,2489649250
2002-11-08,2479690653
2002-11-11,2494628548
2002-11-12,2499607847
2002-11-13,2515541602
2002-11-14,2554380130
2002-11-15,2539442235
2002-11-18,2579276623
2002-11-19,2475707214
2002-11-20,2447823142
2002-11-21,2319357241
2002-11-22,2317365521
2002-11-25,2318361381
2002-11-26,2382096402
2002-11-27,2414959772
2002-11-29,2444835563
2002-12-02,2320353101
2002-12-03,2282510432
2002-12-04,2296452468
2002-12-05,2304419345
2002-12-06,2298444187
2002-12-09,2206825095
2002-12-10,2224750569
2002-12-11,2167986566
2002-12-12,2325332399
2002-12-13,2287489730
2002-12-16,2335290996
2002-12-17,2320353101
2002-12-18,2316369662
2002-12-19,2270560116
2002-12-20,2235705026
2002-12-23,2264584957
2002-12-24,2242676044
2002-12-26,2280518713
2002-12-27,2257613939
2002-12-30,2297448327
2002-12-31,2396038438
2003-01-02,2380104683
2003-01-03,2382096402
2003-01-06,2450810721
2003-01-07,2535458796
2003-01-08,2544421533
2003-01-09,2592222799
2003-01-10,2620106870
2003-01-13,2601185536
2003-01-14,2663924697
2003-01-15,2699775646
2003-01-16,2698779787
2003-01-17,2718696981
2003-01-21,2689817049
2003-01-22,2653966100
2003-01-23,2680854312
2003-01-24,2658945399
2003-01-27,2569318026
2003-01-28,2572305605
2003-01-29,2548404972
2003-01-30,2549400832
2003-01-31,2589235220
2003-02-03,2574297324
2003-02-04,2567326306
2003-02-05,2565334587
2003-02-06,2528487778
2003-02-07,2522512620
2003-02-10,2495624408
2003-02-11,2540438094
2003-02-12,2515541602
2003-02-13,2525500199
2003-02-14,2608156554
2003-02-18,2610148273
2003-02-19,2593218658
2003-02-20,2578280763
2003-02-21,2589235220
2003-02-24,2534462936
2003-02-25,2586247640
2003-02-26,2571309745
2003-02-27,2556371849
2003-02-28,2579276623
2003-03-03,2544421533
2003-03-04,2520520900
2003-03-05,2517533321
2003-03-06,2463756897
2003-03-07,2489649250
2003-03-10,2430893527
2003-03-11,2444835563
2003-03-12,2459773459
2003-03-13,2480686512
2003-03-14,2524504339
2003-03-17,2539442235
2003-03-18,2509566444
2003-03-19,2494628548
2003-03-20,2444835563
2003-03-21,2480686512
2003-03-24,2481682372
2003-03-25,2483674091
2003-03-26,2431889387
2003-03-27,2437864545
2003-03-28,2488653390
2003-03-31,2505583005
2003-04-01,2459486340
2003-04-02,2469431696
2003-04-03,2461475412
2003-04-04,2464459018
2003-04-07,2555956286
2003-04-08,2610655740
2003-04-09,2685245904
2003-04-10,2715081969
2003-04-11,2695191259
2003-04-14,2705136614
2003-04-15,2721049182
2003-04-16,2700163936
2003-04-17,2720054647
2003-04-21,2693202188
2003-04-22,2685245904
2003-04-23,2678284155
2003-04-24,2677289619
2003-04-25,2653420767
2003-04-28,2733978144
2003-04-29,2850338800
2003-04-30,2785693991
2003-05-01,2778732242
2003-05-02,2783704920
2003-05-05,2725027324
2003-05-06,2819508199
2003-05-07,2739945357
2003-05-08,2725027324
2003-05-09,2726021860
2003-05-12,2742928964
2003-05-13,2739945357
2003-05-14,2774754100
2003-05-15,2761825139
2003-05-16,2768786887
2003-05-19,2732983608
2003-05-20,2693202188
2003-05-21,2675300548
2003-05-22,2775748636
2003-05-23,2776743171
2003-05-27,2779726778
2003-05-28,2813540986
2003-05-29,2821497270
2003-05-30,2874207652
2003-06-02,2910010931
2003-06-03,2919956286
2003-06-04,2953770494
2003-06-05,3012448090
2003-06-06,2956754100
2003-06-09,2923934428
2003-06-10,2968688527
2003-06-11,2988579237
2003-06-12,2982612024
2003-06-13,2978633882
2003-06-16,3018415303
2003-06-17,3011453554
2003-06-18,2988579237
2003-06-19,2899071040
2003-06-20,2884153008
2003-06-23,2850338800
2003-06-24,2884153008
2003-06-25,2889125685
2003-06-26,2881169401
2003-06-27,2872218581
2003-06-30,2844371587
2003-07-01,2887561160
2003-07-02,2904529200
2003-07-03,2903531080
2003-07-07,2905527320
2003-07-08,2917504760
2003-07-09,2907523560
2003-07-10,2903531080
2003-07-11,2898540480
2003-07-14,2889557400
2003-07-15,3012326160
2003-07-16,3019313000
2003-07-17,3014322400
2003-07-18,3046262240
2003-07-21,3024303600
2003-07-22,3054247200
2003-07-23,3054247200
2003-07-24,3030292320
2003-07-25,3036281040
2003-07-28,3018314880
2003-07-29,3019313000
2003-07-30,2991365640
2003-07-31,2989369400
2003-08-01,2918502880
2003-08-04,2886563040
2003-08-05,2878578080
2003-08-06,2875583720
2003-08-07,2878578080
2003-08-08,2875583720
2003-08-11,2862608160
2003-08-12,2867598760
2003-08-13,2877579960
2003-08-14,2892551760
2003-08-15,2906525440
2003-08-18,2895546120
2003-08-19,2941459640
2003-08-20,2946450240
2003-08-21,2944454000
2003-08-22,2939463400
2003-08-25,2979388200
2003-08-26,2977391960
2003-08-27,2999350600
2003-08-28,2996356240
2003-08-29,3020311120
2003-09-02,3036281040
2003-09-03,3036281040
2003-09-04,3036281040
2003-09-05,3041271640
2003-09-08,3084190800
2003-09-09,3089181400
2003-09-10,3044266000
2003-09-11,3073211480
2003-09-12,3029294200
2003-09-15,3005339320
2003-09-16,2731854440
2003-09-17,2745828120
2003-09-18,2792739760
2003-09-19,2807711560
2003-09-22,2746826240
2003-09-23,2784754800
2003-09-24,2773775480
2003-09-25,2749820600
2003-09-26,2741835640
2003-09-29,2757805560
2003-09-30,2744830000
2003-10-01,2770000000
2003-10-02,2818000000
2003-10-03,2800000000
2003-10-06,2775000000
2003-10-07,2782000000
2003-10-08,2790000000
2003-10-09,2805000000
2003-10-10,2770000000
2003-10-13,2770000000
2003-10-14,2767000000
2003-10-15,2799000000
2003-10-16,2790000000
2003-10-17,2785000000
2003-10-20,2785000000
2003-10-21,2782000000
2003-10-22,2770000000
2003-10-23,2765000000
2003-10-24,2770000000
2003-10-27,2761000000
2003-10-28,2758000000
2003-10-29,2740000000
2003-10-30,2745000000
2003-10-31,2710000000
2003-11-03,2706000000
2003-11-04,2660000000
2003-11-05,2629000000
2003-11-06,2653000000
2003-11-07,2675000000
2003-11-10,2687000000
2003-11-11,2723000000
2003-11-12,2700000000
2003-11-13,2729000000
2003-11-14,2750000000
2003-11-17,2737000000
2003-11-18,2738000000
2003-11-19,2690000000
2003-11-20,2700000000
2003-11-21,2704000000
2003-11-24,2708000000
2003-11-25,2820000000
2003-11-26,2844000000
2003-11-28,2848000000
2003-12-01,2860000000
2003-12-02,2830000000
2003-12-03,2834000000
2003-12-04,2827000000
2003-12-05,2940000000
2003-12-08,2990000000
2003-12-09,3035000000
2003-12-10,3044000000
2003-12-11,3031000000
2003-12-12,3090000000
2003-12-15,3130000000
2003-12-16,3115000000
2003-12-17,3123000000
2003-12-18,3150000000
2003-12-19,3153000000
2003-12-22,3162000000
2003-12-23,3210000000
2003-12-24,3300000000
2003-12-26,3289000000
2003-12-29,3284000000
2003-12-30,3292000000
2003-12-31,3292000000
2004-01-02,3299000000
2004-01-05,3335000000
2004-01-06,3318000000
2004-01-07,3363000000
2004-01-08,3444000000
2004-01-09,3415000000
2004-01-12,3379999999
2004-01-13,3375000000
2004-01-14,3368000000
2004-01-15,3392000000
2004-01-16,3382000000
2004-01-20,3409000000
2004-01-21,3434000000
2004-01-22,3404000000
2004-01-23,3400000000
2004-01-26,3457000000
2004-01-27,3502000000
2004-01-28,3534000000
2004-01-29,3445000000
2004-01-30,3420000000
2004-02-02,3329999999
2004-02-03,3604999999
2004-02-04,3657000000
2004-02-05,3684000000
2004-02-06,3729000000
2004-02-09,3750000000
2004-02-10,3677000000
2004-02-11,3690999999
2004-02-12,3706000000
2004-02-13,3690000000
2004-02-17,3759000000
2004-02-18,3777000000
2004-02-19,3811000000
2004-02-20,3779999999
2004-02-23,3764000000
2004-02-24,3718000000
2004-02-25,3785000000
2004-02-26,3840000000
2004-02-27,3904999999
2004-03-01,3990000000
2004-03-02,3934000000
2004-03-03,3900000000
2004-03-04,3870000000
2004-03-05,3934000000
2004-03-08,3956000000
2004-03-09,3911000000
2004-03-10,3897999999
2004-03-11,3856000000
2004-03-12,3920000000
2004-03-15,3921000000
2004-03-16,3836999999
2004-03-17,3874000000
2004-03-18,3951000000
2004-03-19,3945000000
2004-03-22,3870000000
2004-03-23,3877000000
2004-03-24,3882000000
2004-03-25,3872999999
2004-03-26,3854999999
2004-03-29,3925000000
2004-03-30,3990000000
2004-03-31,4022000000
2004-04-01,4251851864
2004-04-02,4210370382
2004-04-05,4247703715
2004-04-06,4249777789
2004-04-07,4279851864
2004-04-08,4209333345
2004-04-12,4230074086
2004-04-13,4201037049
2004-04-14,4139851863
2004-04-15,4112888900
2004-04-16,4107703715
2004-04-19,4080740752
2004-04-20,4095259270
2004-04-21,4072444456
2004-04-22,4028888900
2004-04-23,4029925937
2004-04-26,3992592604
2004-04-27,3791407418
2004-04-28,3797629640
2004-04-29,3727111121
2004-04-30,3842222233
2004-05-03,3768592603
2004-05-04,3774814825
2004-05-05,3772740751
2004-05-06,3728148158
2004-05-07,3657629640
2004-05-10,3540444454
2004-05-11,3657629640
2004-05-12,3651407417
2004-05-13,3650370380
2004-05-14,3621333343
2004-05-17,3559111121
2004-05-18,3535259269
2004-05-19,3556000010
2004-05-20,3546666676
2004-05-21,3549777787
2004-05-24,3533185195
2004-05-25,3680444454
2004-05-26,3785185196
2004-05-27,3764444455
2004-05-28,3851555566
2004-06-01,3837037048
2004-06-02,3849481492
2004-06-03,3781037047
2004-06-04,3788296307
2004-06-07,3843259270
2004-06-08,3831851862
2004-06-09,3800740751
2004-06-10,3818370381
2004-06-14,3880592603
2004-06-15,3834962973
2004-06-16,3731259269
2004-06-17,3814222233
2004-06-18,3882666677
2004-06-21,3845333344
2004-06-22,3910666677
2004-06-23,3955259270
2004-06-24,4025777789
2004-06-25,4055851863
2004-06-28,4000888900
2004-06-29,3961481492
2004-06-30,4295199988
2004-07-01,4248872715
2004-07-02,4264315139
2004-07-06,4362484836
2004-07-07,4355866654
2004-07-08,4347042412
2004-07-09,4324981806
2004-07-12,4319466654
2004-07-13,4287478776
2004-07-14,4299612109
2004-07-15,4322775745
2004-07-16,4363587866
2004-07-19,4279757563
2004-07-20,4307333321
2004-07-21,4301818170
2004-07-22,4269830291
2004-07-23,4263212109
2004-07-26,4257696958
2004-07-27,4147393928
2004-07-28,4135260594
2004-07-29,4455139381
2004-07-30,4426460593
2004-08-02,4520218169
2004-08-03,4413224230
2004-08-04,4455139381
2004-08-05,4430872715
2004-08-06,4386751503
2004-08-09,4405503018
2004-08-10,4406606048
2004-08-11,4409915139
2004-08-12,4392266654
2004-08-13,4355866654
2004-08-16,4366896957
2004-08-17,4361381806
2004-08-18,4387854533
2004-08-19,4387854533
2004-08-20,4294096957
2004-08-23,4334909079
2004-08-24,4379030291
2004-08-25,4359175745
2004-08-26,4371309078
2004-08-27,4498157563
2004-08-30,4414327260
2004-08-31,4399987866
2004-09-01,4402193927
2004-09-02,4412121200
2004-09-03,4383442412
2004-09-07,4420945442
2004-09-08,4360278775
2004-09-09,4369103018
2004-09-10,4302921200
2004-09-13,4225709079
2004-09-14,4224606048
2004-09-15,4162836352
2004-09-16,4076799988
2004-09-17,4199236352
2004-09-20,4199236352
2004-09-21,4277551503
2004-09-22,4270933321
2004-09-23,4202545443
2004-09-24,4301818170
2004-09-27,4323878776
2004-09-28,4330496957
2004-09-29,4348145442
2004-09-30,4452318167
2004-10-01,4320909076
2004-10-04,4348749985
2004-10-05,4344295440
2004-10-06,4397749985
2004-10-07,4430045440
2004-10-08,4440068167
2004-10-11,4441181803
2004-10-12,4499090894
2004-10-13,4465681803
2004-10-14,4552545439
2004-10-15,4672818166
2004-10-18,4838749984
2004-10-19,4793090893
2004-10-20,4837636347
2004-10-21,4886636347
2004-10-22,4868818165
2004-10-25,4790863620
2004-10-26,4917818165
2004-10-27,4846545438
2004-10-28,5195113619
2004-10-29,5315386346
2004-11-01,5410045436
2004-11-02,5440113618
2004-11-03,5456818164
2004-11-04,5541454527
2004-11-05,5494681800
2004-11-08,5467954527
2004-11-09,5431204527
2004-11-10,5521409072
2004-11-11,5449022709
2004-11-12,5384431800
2004-11-15,5454590891
2004-11-16,5435659073
2004-11-17,5440113618
2004-11-18,5388886346
2004-11-19,5412272709
2004-11-22,5463499982
2004-11-23,5679545436
2004-11-24,5823204526
2004-11-26,5847704526
2004-11-29,5810954526
2004-11-30,5871090889
2004-12-01,6008068162
2004-12-02,5933454526
2004-12-03,5934568162
2004-12-06,5956840889
2004-12-07,5859954526
2004-12-08,5941249980
2004-12-09,6016977253
2004-12-10,5962409071
2004-12-13,6075999980
2004-12-14,6048159071
2004-12-15,6109409070
2004-12-16,6124999980
2004-12-17,6137249979
2004-12-20,6178454525
2004-12-21,6254181797
2004-12-22,6279795434
2004-12-23,6319886343
2004-12-27,6316545433
2004-12-28,6312090888
2004-12-29,6347727252
2004-12-30,6356636342
2004-12-31,6348840888
2005-01-03,6345499979
2005-01-04,6161749979
2005-01-05,6006954525
2005-01-06,6019204525
2005-01-07,6208522707
2005-01-10,6241931797
2005-01-11,6138363616
2005-01-12,6121659070
2005-01-13,6180681798
2005-01-14,6229681797
2005-01-18,6431249979
2005-01-19,6309863615
2005-01-20,6280909070
2005-01-21,6233022706
2005-01-24,6137249979
2005-01-25,6074886343
2005-01-26,6171772707
2005-01-27,6212977252
2005-01-28,6186249979
2005-01-31,6296499979
2005-02-01,6373340888
2005-02-02,6364431797
2005-02-03,6279795434
2005-02-04,6296499979
2005-02-07,6386704524
2005-02-08,6238590888
2005-02-09,6175113616
2005-02-10,6182909070
2005-02-11,6045931798
2005-02-14,5949045435
2005-02-15,5678431799
2005-02-16,5981340889
2005-02-17,5941249980
2005-02-18,5845477253
2005-02-22,5661727254
2005-02-23,5700704526
2005-02-24,5790909072
2005-02-25,5959068162
2005-02-28,6092704525
2005-03-01,6038136343
2005-03-02,6001386344
2005-03-03,6002499980
2005-03-04,6044818162
2005-03-07,6029227253
2005-03-08,5998045434
2005-03-09,5992477253
2005-03-10,6121659070
2005-03-11,6171772707
2005-03-14,6158409070
2005-03-15,6075999980
2005-03-16,5962409071
2005-03-17,5885568162
2005-03-18,5724090890
2005-03-21,5709613617
2005-03-22,5741909072
2005-03-23,5702931799
2005-03-24,5716295435
2005-03-28,5746363617
2005-03-29,5745249981
2005-03-30,5848818162
2005-03-31,5969058838
2005-04-01,6073196093
2005-04-04,6032205897
2005-04-05,6014480407
2005-04-06,5713147072
2005-04-07,5816176485
2005-04-08,5828362759
2005-04-11,5779617661
2005-04-12,5809529426
2005-04-13,5738627465
2005-04-14,5615656876
2005-04-15,5427323542
2005-04-18,5562480405
2005-04-19,5659970602
2005-04-20,5590176484
2005-04-21,5745274524
2005-04-22,5787372563
2005-04-25,5895941191
2005-04-26,5876000014
2005-04-27,5944686289
2005-04-28,6239372564
2005-04-29,6292549035
2005-05-02,6238264721
2005-05-03,6182872564
2005-05-04,6231617662
2005-05-05,6187303936
2005-05-06,6152960799
2005-05-09,6181764721
2005-05-10,6174009819
2005-05-11,6232725505
2005-05-12,6236049035
2005-05-13,6229401976
2005-05-16,6304735309
2005-05-17,6312490211
2005-05-18,6387823545
2005-05-19,6395578447
2005-05-20,6446539231
2005-05-23,6634872565
2005-05-24,6651490212
2005-05-25,6610500016
2005-05-26,6669215702
2005-05-27,6770029428
2005-05-31,6873058840
2005-06-01,6781107859
2005-06-02,6768921585
2005-06-03,6863088252
2005-06-06,6866411781
2005-06-07,6984950997
2005-06-08,6784431389
2005-06-09,6854225507
2005-06-10,6813235311
2005-06-13,6835392173
2005-06-14,6869735311
2005-06-15,6885245115
2005-06-16,6863088252
2005-06-17,6957254919
2005-06-20,6888568644
2005-06-21,7045882370
2005-06-22,7212058841
2005-06-23,7069147076
2005-06-24,6950607860
2005-06-27,6987166683
2005-06-28,7008215703
2005-06-29,7073578448
2005-06-30,7044444437
2005-07-01,7082222215
2005-07-05,7214444437
2005-07-06,7179999992
2005-07-07,7258888881
2005-07-08,7235555548
2005-07-11,7173333326
2005-07-12,7244444437
2005-07-13,7223333326
2005-07-14,7212222215
2005-07-15,7227777770
2005-07-18,7275555548
2005-07-19,7472222214
2005-07-20,7478888881
2005-07-21,7278888881
2005-07-22,7294444437
2005-07-25,7184444437
2005-07-26,7111111104
2005-07-27,6888888882
2005-07-28,6611111104
2005-07-29,6821111104
2005-08-01,6643333326
2005-08-02,6505555549
2005-08-03,6514444437
2005-08-04,6543333326
2005-08-05,6484444437
2005-08-08,6455555549
2005-08-09,6481111104
2005-08-10,6505555549
2005-08-11,6605555548
2005-08-12,6599999993
2005-08-15,6632222215
2005-08-16,6499999993
2005-08-17,6466666660
2005-08-18,6369999993
2005-08-19,6301111104
2005-08-22,6508888882
2005-08-23,6543333326
2005-08-24,6557777771
2005-08-25,6598888882
2005-08-26,6525555549
2005-08-29,6425555549
2005-08-30,6497777771
2005-08-31,6524444437
2005-09-01,6416666660
2005-09-02,6419999993
2005-09-06,6378888882
2005-09-07,6177777771
2005-09-08,6368888882
2005-09-09,6328888882
2005-09-12,6338888882
2005-09-13,6243333327
2005-09-14,6127777771
2005-09-15,6157777771
2005-09-16,6192222216
2005-09-19,6093333327
2005-09-20,6072222216
2005-09-21,5937777771
2005-09-22,6016666660
2005-09-23,6054444438
2005-09-26,5964444438
2005-09-27,5849999994
2005-09-28,5887777771
2005-09-29,5772222216
2005-09-30,6228489799
2005-10-03,6116040819
2005-10-04,6197714288
2005-10-05,6227306125
2005-10-06,6250979595
2005-10-07,6299510207
2005-10-10,6260448982
2005-10-11,6456938778
2005-10-12,6571755105
2005-10-13,6453387758
2005-10-14,6415510207
2005-10-17,6429714289
2005-10-18,6365795921
2005-10-19,6259265309
2005-10-20,6234408166
2005-10-21,6105387758
2005-10-24,6011877554
2005-10-25,6034367350
2005-10-26,5969265309
2005-10-27,5717142860
2005-10-28,6164571431
2005-10-31,6148000003
2005-11-01,6017795921
2005-11-02,6048571431
2005-11-03,6131428574
2005-11-04,6163387758
2005-11-07,6151551023
2005-11-08,6095918370
2005-11-09,6013061227
2005-11-10,5952693880
2005-11-11,6092367350
2005-11-14,5912448982
2005-11-15,5856816329
2005-11-16,5818938778
2005-11-17,5827224492
2005-11-18,5856816329
2005-11-21,5934938778
2005-11-22,6076979594
2005-11-23,6206000003
2005-11-25,6286489799
2005-11-28,6279387758
2005-11-29,6324367350
2005-11-30,6332653064
2005-12-01,6332653064
2005-12-02,6343306125
2005-12-05,6381183676
2005-12-06,6404857146
2005-12-07,6313714288
2005-12-08,6297142860
2005-12-09,6235591839
2005-12-12,6326734697
2005-12-13,6344489799
2005-12-14,6368163268
2005-12-15,6374081635
2005-12-16,6388285717
2005-12-19,6421428574
2005-12-20,6375265309
2005-12-21,6501918370
2005-12-22,6684204085
2005-12-23,6662897962
2005-12-27,6615551023
2005-12-28,6666448983
2005-12-29,6748122452
2005-12-30,6700775513
2006-01-03,6806122452
2006-01-04,6960000003
2006-01-05,6919755105
2006-01-06,6857020411
2006-01-09,6732734697
2006-01-10,6912653064
2006-01-11,6911469391
2006-01-12,6945795921
2006-01-13,6976571432
2006-01-17,6845183677
2006-01-18,6879510207
2006-01-19,6884244901
2006-01-20,6735102044
2006-01-23,6658163268
2006-01-24,6794285717
2006-01-25,6875959187
2006-01-26,6978938779
2006-01-27,6917387758
2006-01-30,6861755105
2006-01-31,6978938779
2006-02-01,7076000003
2006-02-02,7016816330
2006-02-03,7076000003
2006-02-06,6937510207
2006-02-07,7136367350
2006-02-08,7034571432
2006-02-09,6684204085
2006-02-10,6572938778
2006-02-13,6575306125
2006-02-14,6729183676
2006-02-15,6731551023
2006-02-16,6883061228
2006-02-17,6877142860
2006-02-21,6691306125
2006-02-22,6814408166
2006-02-23,6868857146
2006-02-24,6800204085
2006-02-27,6812040819
2006-02-28,6710244901
2006-03-01,6640408166
2006-03-02,6621469391
2006-03-03,6604897962
2006-03-06,6512571431
2006-03-07,6359877554
2006-03-08,6303061227
2006-03-09,6071061227
2006-03-10,5977551023
2006-03-13,6061591839
2006-03-14,6143265309
2006-03-15,6095918370
2006-03-16,6358693880
2006-03-17,6332653064
2006-03-20,6307795921
2006-03-21,6288857146
2006-03-22,6235591839
2006-03-23,6063959186
2006-03-24,5962163268
