,AEE
2000-07-19,5000131435
2000-07-20,5008364363
2000-07-21,4982293425
2000-07-24,4923290776
2000-07-25,4957594642
2000-07-26,4888986911
2000-07-27,5016597290
2000-07-28,4991898507
2000-07-31,4965827569
2000-08-01,5129113969
2000-08-02,5163417835
2000-08-03,5214187556
2000-08-04,5266329431
2000-08-07,5291028214
2000-08-08,5317099152
2000-08-09,5308866224
2000-08-10,5300633297
2000-08-11,5325332080
2000-08-14,5369241028
2000-08-15,5385706883
2000-08-16,5437848759
2000-08-17,5462547542
2000-08-18,5480385552
2000-08-21,5428243676
2000-08-22,5420010749
2000-08-23,5428243676
2000-08-24,5403544893
2000-08-25,5369241028
2000-08-28,5437848759
2000-08-29,5420010749
2000-08-30,5454314614
2000-08-31,5548993283
2000-09-01,5522922345
2000-09-05,5651904879
2000-09-06,5754816476
2000-09-07,5754816476
2000-09-08,5857728072
2000-09-11,5892031938
2000-09-12,5918102876
2000-09-13,5865961000
2000-09-14,5789120341
2000-09-15,5831657135
2000-09-18,5815191279
2000-09-19,5557226211
2000-09-20,5334937162
2000-09-21,5205954628
2000-09-22,5403544893
2000-09-25,5446081686
2000-09-26,5565459138
2000-09-27,5651904879
2000-09-28,5694441673
2000-09-29,5746583548
2000-10-02,5831657135
2000-10-03,5660137807
2000-10-04,5506456490
2000-10-05,5385706883
2000-10-06,5359635945
2000-10-09,5308866224
2000-10-10,5359635945
2000-10-11,5369241028
2000-10-12,5411777821
2000-10-13,5488618480
2000-10-16,5496851407
2000-10-17,5506456490
2000-10-18,5334937162
2000-10-19,5274562359
2000-10-20,5222420483
2000-10-23,5232025566
2000-10-24,5240258493
2000-10-25,5197721700
2000-10-26,5188116618
2000-10-27,5325332080
2000-10-30,5548993283
2000-10-31,5454314614
2000-11-01,5575064221
2000-11-02,5634066869
2000-11-03,5599763004
2000-11-06,5609368086
2000-11-07,5591530076
2000-11-08,5609368086
2000-11-09,5720512610
2000-11-10,5746583548
2000-11-13,5736978466
2000-11-14,5643671952
2000-11-15,5677975817
2000-11-16,5763049404
2000-11-17,5892031938
2000-11-20,5874193928
2000-11-21,5857728072
2000-11-22,5839890062
2000-11-24,5789120341
2000-11-27,5780887414
2000-11-28,5839890062
2000-11-29,5926335803
2000-11-30,6089622203
2000-12-01,6114320986
2000-12-04,6132158996
2000-12-05,6097855131
2000-12-06,6114320986
2000-12-07,6080017121
2000-12-08,6063551265
2000-12-11,6003176462
2000-12-12,6021014472
2000-12-13,6021014472
2000-12-14,5968872597
2000-12-15,5926335803
2000-12-18,5918102876
2000-12-19,6021014472
2000-12-20,6208999655
2000-12-21,6277607386
2000-12-22,6251536448
2000-12-26,6423055776
2000-12-27,6388751910
2000-12-28,6311911252
2000-12-29,6354448045
2001-01-02,6200766727
2001-01-03,5934568731
2001-01-04,5496851407
2001-01-05,5488618480
2001-01-08,5651904879
2001-01-09,5643671952
2001-01-10,5583297148
2001-01-11,5369241028
2001-01-12,5437848759
2001-01-16,5385706883
2001-01-17,5393939811
2001-01-18,5446081686
2001-01-19,5548993283
2001-01-22,5677975817
2001-01-23,5643671952
2001-01-24,5736978466
2001-01-25,5746583548
2001-01-26,5677975817
2001-01-29,5693069518
2001-01-30,5660137807
2001-01-31,5595646540
2001-02-01,5576436375
2001-02-02,5510572953
2001-02-05,5516061572
2001-02-06,5488618480
2001-02-07,5536643891
2001-02-08,5625833942
2001-02-09,5704046755
2001-02-12,5693069518
2001-02-13,5704046755
2001-02-14,5720512610
2001-02-15,5675231508
2001-02-16,5763049404
2001-02-20,5804214042
2001-02-21,5767165867
2001-02-22,5797353269
2001-02-23,5724629074
2001-02-26,5736978466
2001-02-27,5758932940
2001-02-28,5786376032
2001-03-01,5772654486
2001-03-02,5824796361
2001-03-05,5808330506
2001-03-06,5673859353
2001-03-07,5645044106
2001-03-08,5682092281
2001-03-09,5657393498
2001-03-12,5557226211
2001-03-13,5488618480
2001-03-14,5420010749
2001-03-15,5476269088
2001-03-16,5409033512
2001-03-19,5366496718
2001-03-20,5410405666
2001-03-21,5392567656
2001-03-22,5226536947
2001-03-23,5214187556
2001-03-26,5373357491
2001-03-27,5440593068
2001-03-28,5454314614
2001-03-29,5561342674
2001-03-30,5618973168
2001-04-02,5686208745
2001-04-03,5698558136
2001-04-04,5735606311
2001-04-05,5715023992
2001-04-06,5583297148
2001-04-09,5709535373
2001-04-10,5824796361
2001-04-11,5749327857
2001-04-12,5702674600
2001-04-16,5776770950
2001-04-17,5857728072
2001-04-18,5831657135
2001-04-19,5738350620
2001-04-20,5704046755
2001-04-23,5761677249
2001-04-24,5728745538
2001-04-25,5752072167
2001-04-26,5779515259
2001-04-27,5774026640
2001-04-30,5758932940
2001-05-01,5761677249
2001-05-02,5717768301
2001-05-03,5597018694
2001-05-04,5699930291
2001-05-07,5699930291
2001-05-08,5656021343
2001-05-09,5680720126
2001-05-10,5665626425
2001-05-11,5646416261
2001-05-14,5734234156
2001-05-15,5731489847
2001-05-16,5852239454
2001-05-17,5878310392
2001-05-18,5889287629
2001-05-21,5941429504
2001-05-22,5934568731
2001-05-23,6048457564
2001-05-24,6119809605
2001-05-25,6078644966
2001-05-29,6086877894
2001-05-30,6104715904
2001-05-31,6119809605
2001-06-01,6062179111
2001-06-04,6077272811
2001-06-05,6005920771
2001-06-06,5870077464
2001-06-07,5817935588
2001-06-08,5886543319
2001-06-11,5929080113
2001-06-12,5979849833
2001-06-13,5912614257
2001-06-14,5728745538
2001-06-15,5852239454
2001-06-18,5845378681
2001-06-19,5920847185
2001-06-20,5927707958
2001-06-21,5760305094
2001-06-22,5789120341
2001-06-25,5749327857
2001-06-26,5806958351
2001-06-27,5863216691
2001-06-28,5865961000
2001-06-29,5859100227
2001-07-02,5962295900
2001-07-03,5851146080
2001-07-05,5873101600
2001-07-06,5829190560
2001-07-09,5816840580
2001-07-10,5812723920
2001-07-11,5763324000
2001-07-12,5722157400
2001-07-13,5638451980
2001-07-16,5605518700
2001-07-17,5536907700
2001-07-18,5492996660
2001-07-19,5549257680
2001-07-20,5443596740
2001-07-23,5296769200
2001-07-24,5173269400
2001-07-25,5303630300
2001-07-26,5391452380
2001-07-27,5369496860
2001-07-30,5391452380
2001-07-31,5391452380
2001-08-01,5451830060
2001-08-02,5519068840
2001-08-03,5543768800
2001-08-06,5423013440
2001-08-07,5442224520
2001-08-08,5366752420
2001-08-09,5431246760
2001-08-10,5483391120
2001-08-13,5440852300
2001-08-14,5447713400
2001-08-15,5413407900
2001-08-16,5458691160
2001-08-17,5475157800
2001-08-20,5490252220
2001-08-21,5564352100
2001-08-22,5609635360
2001-08-23,5667268600
2001-08-24,5657663060
2001-08-27,5697457440
2001-08-28,5696085220
2001-08-29,5723529620
2001-08-30,5716668520
2001-08-31,5660407500
2001-09-04,5726274060
2001-09-05,5694713000
2001-09-06,5685107460
2001-09-07,5641196420
2001-09-10,5523185500
2001-09-17,5524557720
2001-09-18,5578074300
2001-09-19,5454574500
2001-09-20,5495741100
2001-09-21,5331074700
2001-09-24,5207574900
2001-09-25,5213063780
2001-09-26,5122497260
2001-09-27,5090936200
2001-09-28,5269324800
2001-10-01,5353290320
2001-10-02,5461951660
2001-10-03,5578865760
2001-10-04,5591244900
2001-10-05,5673772500
2001-10-08,5609125880
2001-10-09,5474330800
2001-10-10,5488085400
2001-10-11,5378048600
2001-10-12,5367044920
2001-10-15,5368420380
2001-10-16,5420687860
2001-10-17,5467453500
2001-10-18,5419312400
2001-10-19,5453698900
2001-10-22,5466078040
2001-10-23,5474330800
2001-10-24,5437193380
2001-10-25,5536226500
2001-10-26,5460576200
2001-10-29,5442695220
2001-10-30,5529349200
2001-10-31,5515594600
2001-11-01,5556858400
2001-11-02,5518345520
2001-11-05,5660017900
2001-11-06,5728790900
2001-11-07,5686151640
2001-11-08,5776932000
2001-11-09,5812693960
2001-11-12,5786560220
2001-11-13,5797563900
2001-11-14,5654516060
2001-11-15,5559609320
2001-11-16,5585743060
2001-11-19,5576114840
2001-11-20,5662768820
2001-11-21,5560984780
2001-11-23,5600873120
2001-11-26,5639386000
2001-11-27,5638010540
2001-11-28,5543103800
2001-11-29,5589869440
2001-11-30,5622880480
2001-12-03,5647638760
2001-12-04,5666895200
2001-12-05,5677898880
2001-12-06,5569237540
2001-12-07,5622880480
2001-12-10,5515594600
2001-12-11,5408308720
2001-12-12,5456449820
2001-12-13,5501840000
2001-12-14,5545854720
2001-12-17,5510092760
2001-12-18,5631133240
2001-12-19,5749422800
2001-12-20,5676523420
2001-12-21,5657266980
2001-12-24,5746671880
2001-12-26,5818195800
2001-12-27,5818195800
2001-12-28,5829199480
2001-12-31,5909310000
2002-01-02,5972175000
2002-01-03,5949823000
2002-01-04,5909310000
2002-01-07,5934456000
2002-01-08,5902325000
2002-01-09,6000115000
2002-01-10,6019673000
2002-01-11,5998718000
2002-01-14,6049010000
2002-01-15,6081141000
2002-01-16,6079744000
2002-01-17,6040628000
2002-01-18,6072759000
2002-01-22,6016879000
2002-01-23,6004306000
2002-01-24,5969381000
2002-01-25,5966587000
2002-01-28,5959602000
2002-01-29,5912104000
2002-01-30,5916295000
2002-01-31,5988939000
2002-02-01,6007100000
2002-02-04,6028055000
2002-02-05,5948426000
2002-02-06,5930265000
2002-02-07,5909310000
2002-02-08,5937250000
2002-02-11,5913501000
2002-02-12,5919089000
2002-02-13,5907913000
2002-02-14,5838063000
2002-02-15,5867400000
2002-02-19,5747258000
2002-02-20,5723509000
2002-02-21,5662041000
2002-02-22,5643880000
2002-02-25,5576824000
2002-02-26,5518150000
2002-02-27,5671820000
2002-02-28,5709539000
2002-03-01,5786374000
2002-03-04,5875782000
2002-03-05,5930265000
2002-03-06,6055995000
2002-03-07,5903722000
2002-03-08,5803138000
2002-03-11,5808726000
2002-03-12,5762625000
2002-03-13,5779389000
2002-03-14,5762625000
2002-03-15,5705348000
2002-03-18,5713730000
2002-03-19,5751449000
2002-03-20,5755640000
2002-03-21,5824093000
2002-03-22,5805932000
2002-03-25,5794756000
2002-03-26,5811520000
2002-03-27,5899531000
2002-03-28,5972175000
2002-04-01,6087903999
2002-04-02,6092236000
2002-04-03,6093680000
2002-04-04,6115340000
2002-04-05,6089348000
2002-04-08,6131224000
2002-04-09,6086460000
2002-04-10,6194760000
2002-04-11,6079240000
2002-04-12,6092236000
2002-04-15,6035920000
2002-04-16,6072020000
2002-04-17,6085016000
2002-04-18,6121116000
2002-04-19,6148552000
2002-04-22,6142776000
2002-04-23,6187540000
2002-04-24,6170212000
2002-04-25,6111008000
2002-04-26,6050360000
2002-04-29,6007040000
2002-04-30,6030144000
2002-05-01,6047472000
2002-05-02,6050360000
2002-05-03,6064800000
2002-05-06,6093680000
2002-05-07,6095124000
2002-05-08,6171656000
2002-05-09,6175988000
2002-05-10,6158660000
2002-05-13,6212088000
2002-05-14,6288620000
2002-05-15,6271292000
2002-05-16,6248188000
2002-05-17,6266960000
2002-05-20,6352156000
2002-05-21,6375260000
2002-05-22,6495112000
2002-05-23,6516772000
2002-05-24,6476340000
2002-05-28,6440240000
2002-05-29,6356488000
2002-05-30,6291508000
2002-05-31,6313168000
2002-06-03,6175988000
2002-06-04,6209200000
2002-06-05,6161548000
2002-06-06,5952168000
2002-06-07,5845312000
2002-06-10,5917512000
2002-06-11,5918956000
2002-06-12,5991156000
2002-06-13,5998376000
2002-06-14,5962276000
2002-06-17,6021480000
2002-06-18,6086460000
2002-06-19,6031588000
2002-06-20,6061912000
2002-06-21,6115340000
2002-06-24,6063356000
2002-06-25,6021480000
2002-06-26,6044584000
2002-06-27,6129780000
2002-06-28,6210644000
2002-07-01,6230349000
2002-07-02,6143796000
2002-07-03,6092451000
2002-07-05,6202476000
2002-07-08,6192207000
2002-07-09,5970690000
2002-07-10,5725701000
2002-07-11,5872401000
2002-07-12,5890005000
2002-07-15,6068979000
2002-07-16,5876802000
2002-07-17,5907609000
2002-07-18,5840127000
2002-07-19,5571666000
2002-07-22,5671421999
2002-07-23,5361885000
2002-07-24,5831325000
2002-07-25,6121791000
2002-07-26,6045507000
2002-07-29,6088050000
2002-07-30,6429861000
2002-07-31,6410790000
2002-08-01,6312501000
2002-08-02,6296364000
2002-08-05,6318369000
2002-08-06,6437196000
2002-08-07,6454800000
2002-08-08,6484140000
2002-08-09,6482673000
2002-08-12,6600033000
2002-08-13,6400521000
2002-08-14,6528150000
2002-08-15,6462135000
2002-08-16,6445998000
2002-08-19,6453333000
2002-08-20,6457734000
2002-08-21,6567759000
2002-08-22,6561891000
2002-08-23,6456267000
2002-08-26,6519348000
2002-08-27,6506145000
2002-08-28,6520815000
2002-08-29,6419592000
2002-08-30,6462135000
2002-09-03,6286095000
2002-09-04,6190740000
2002-09-05,6259689000
2002-09-06,6369714000
2002-09-09,6272892000
2002-09-10,6196608000
2002-09-11,6173136000
2002-09-12,6000030000
2002-09-13,6121791000
2002-09-16,6167268000
2002-09-17,6036705000
2002-09-18,6239151000
2002-09-19,6236217000
2002-09-20,6171669000
2002-09-23,6110055000
2002-09-24,6016167000
2002-09-25,6124725000
2002-09-26,6286095000
2002-09-27,6143796000
2002-09-30,6440781531
2002-10-01,6556761991
2002-10-02,6460884811
2002-10-03,6474802466
2002-10-04,6355729194
2002-10-07,6382018098
2002-10-08,6324801071
2002-10-09,5993870159
2002-10-10,6320161853
2002-10-11,6340265133
2002-10-14,6347997163
2002-10-15,6397482159
2002-10-16,6301604979
2002-10-17,6394389347
2002-10-18,6309337010
2002-10-21,6419131845
2002-10-22,6259852014
2002-10-23,6255212795
2002-10-24,6225831079
2002-10-25,6245934359
2002-10-28,6281501700
2002-10-29,6233563110
2002-10-30,6261398420
2002-10-31,6247480765
2002-11-01,6262944826
2002-11-04,6394389347
2002-11-05,6349543569
2002-11-06,6378925286
2002-11-07,6185624520
2002-11-08,6133046711
2002-11-11,6168614052
2002-11-12,6071190466
2002-11-13,6170160458
2002-11-14,6173253270
2002-11-15,6221191860
2002-11-18,6230470297
2002-11-19,6224284673
2002-11-20,6230470297
2002-11-21,6266037638
2002-11-22,6360368412
2002-11-25,6371193255
2002-11-26,6360368412
2002-11-27,6395935753
2002-11-29,6394389347
2002-12-02,6386657316
2002-12-03,6494905746
2002-12-04,6335625914
2002-12-05,6332533102
2002-12-06,6295419355
2002-12-09,6236655922
2002-12-10,6261398420
2002-12-11,6300058573
2002-12-12,6385110910
2002-12-13,6487173715
2002-12-16,6378925286
2002-12-17,6409853408
2002-12-18,6420678251
2002-12-19,6429956688
2002-12-20,6440781531
2002-12-23,6330986696
2002-12-24,6329440290
2002-12-26,6412946221
2002-12-27,6406760596
2002-12-30,6467070435
2002-12-31,6605473000
2003-01-02,6718292000
2003-01-03,6810454000
2003-01-06,7101241000
2003-01-07,6856535000
2003-01-08,6869246999
2003-01-09,6716703000
2003-01-10,6672211000
2003-01-13,6538735000
2003-01-14,6467230000
2003-01-15,6570515000
2003-01-16,6559392000
2003-01-17,6524434000
2003-01-21,6483120000
2003-01-22,6451340000
2003-01-23,6475175000
2003-01-24,6362356000
2003-01-27,6208223000
2003-01-28,6292440000
2003-01-29,6314686000
2003-01-30,6260660000
2003-01-31,6249537000
2003-02-03,6308330000
2003-02-04,6246359000
2003-02-05,6244770000
2003-02-06,6243181000
2003-02-07,6106527000
2003-02-10,6189155000
2003-02-11,6049323000
2003-02-12,6030255000
2003-02-13,6165320000
2003-02-14,6314686000
2003-02-18,6324220000
2003-02-19,6252715000
2003-02-20,6238414000
2003-02-21,6276550000
2003-02-24,6181210000
2003-02-25,6246359000
2003-02-26,6162142000
2003-02-27,6189155000
2003-02-28,6195511000
2003-03-03,6219346000
2003-03-04,6178032000
2003-03-05,6238414000
2003-03-06,6260660000
2003-03-07,6257482000
2003-03-10,6157375000
2003-03-11,6093815000
2003-03-12,6060446000
2003-03-13,6106527000
2003-03-14,6157375000
2003-03-17,6279728000
2003-03-18,6265427000
2003-03-19,6282906000
2003-03-20,6325809000
2003-03-21,6356000000
2003-03-24,6227291000
2003-03-25,6278139000
2003-03-26,6228880000
2003-03-27,6238414000
2003-03-28,6235236000
2003-03-31,6294860000
2003-04-01,6317428000
2003-04-02,6335160000
2003-04-03,6319040000
2003-04-04,6412536000
2003-04-07,6399640000
2003-04-08,6425432000
2003-04-09,6383520000
2003-04-10,6448000000
2003-04-11,6404475999
2003-04-14,6456060000
2003-04-15,6528600000
2003-04-16,6459284000
2003-04-17,6454448000
2003-04-21,6504420000
2003-04-22,6583408000
2003-04-23,6544720000
2003-04-24,6573736000
2003-04-25,6526988000
2003-04-28,6628544000
2003-04-29,6602752000
2003-04-30,6605975999
2003-05-01,6552780000
2003-05-02,6636604000
2003-05-05,6659172000
2003-05-06,6660784000
2003-05-07,6699472000
2003-05-08,6689800000
2003-05-09,6760728000
2003-05-12,6747832000
2003-05-13,6725264000
2003-05-14,6734936000
2003-05-15,6805864000
2003-05-16,6933212000
2003-05-19,6910644000
2003-05-20,6992856000
2003-05-21,6933212000
2003-05-22,7004140000
2003-05-23,7270120000
2003-05-27,7494188000
2003-05-28,7407140000
2003-05-29,7268508000
2003-05-30,7334600000
2003-06-02,7350720000
2003-06-03,7382960000
2003-06-04,7400691999
2003-06-05,7332988000
2003-06-06,7283016000
2003-06-09,7157280000
2003-06-10,7154056000
2003-06-11,7189520000
2003-06-12,7221760000
2003-06-13,7237880000
2003-06-16,7316868000
2003-06-17,7326540000
2003-06-18,7379736000
2003-06-19,7281404000
2003-06-20,7254000000
2003-06-23,7173400000
2003-06-24,7134712000
2003-06-25,7108920000
2003-06-26,7144384000
2003-06-27,7107308000
2003-06-30,7135380000
2003-07-01,7135380000
2003-07-02,7237313999
2003-07-03,7188774000
2003-07-07,7183920000
2003-07-08,7151560000
2003-07-09,7038300000
2003-07-10,6999468000
2003-07-11,7036682000
2003-07-14,7046390000
2003-07-15,6933130000
2003-07-16,6826342000
2003-07-17,6793982000
2003-07-18,6834432000
2003-07-21,6763240000
2003-07-22,6860320000
2003-07-23,6887826000
2003-07-24,6895916000
2003-07-25,6900770000
2003-07-28,6868410000
2003-07-29,6829578000
2003-07-30,6785892000
2003-07-31,6756768000
2003-08-01,6745442000
2003-08-04,6740587999
2003-08-05,6620856000
2003-08-06,6677486000
2003-08-07,6740587999
2003-08-08,6758386000
2003-08-11,6751913999
2003-08-12,6858702000
2003-08-13,6850612000
2003-08-14,6874882000
2003-08-15,6895916000
2003-08-18,6844140000
2003-08-19,6852230000
2003-08-20,6963872000
2003-08-21,6925040000
2003-08-22,6884590000
2003-08-25,6899152000
2003-08-26,6882972000
2003-08-27,6882972000
2003-08-28,6874882000
2003-08-29,6876500000
2003-09-02,6916950000
2003-09-03,6973580000
2003-09-04,6967108000
2003-09-05,6997850000
2003-09-08,6944456000
2003-09-09,6860320000
2003-09-10,6876500000
2003-09-11,6852230000
2003-09-12,6866792000
2003-09-15,6831196000
2003-09-16,6899152000
2003-09-17,6860320000
2003-09-18,6908860000
2003-09-19,6889444000
2003-09-22,6892680000
2003-09-23,6928276000
2003-09-24,6897534000
2003-09-25,6908860000
2003-09-26,6950928000
2003-09-29,6967108000
2003-09-30,7479212999
2003-10-01,7510587000
2003-10-02,7582050000
2003-10-03,7582050000
2003-10-06,7622138999
2003-10-07,7625625000
2003-10-08,7550676000
2003-10-09,7582050000
2003-10-10,7566362999
2003-10-13,7611681000
2003-10-14,7658742000
2003-10-15,7660485000
2003-10-16,7698831000
2003-10-17,7656999000
2003-10-20,7656999000
2003-10-21,7663971000
2003-10-22,7688373000
2003-10-23,7667457000
2003-10-24,7749378000
2003-10-27,7772037000
2003-10-28,7796438999
2003-10-29,7779009000
2003-10-30,7779009000
2003-10-31,7782495000
2003-11-03,7850472000
2003-11-04,7777266000
2003-11-05,7747635000
2003-11-06,7770294000
2003-11-07,7721489999
2003-11-10,7669200000
2003-11-11,7653512999
2003-11-12,7721489999
2003-11-13,7770294000
2003-11-14,7688373000
2003-11-17,7529760000
2003-11-18,7460039999
2003-11-19,7564620000
2003-11-20,7547189999
2003-11-21,7564620000
2003-11-24,7620396000
2003-11-25,7648284000
2003-11-26,7681401000
2003-11-28,7691859000
2003-12-01,7817355000
2003-12-02,7808639999
2003-12-03,7838271000
2003-12-04,7860930000
2003-12-05,7813869000
2003-12-08,7801668000
2003-12-09,7731948000
2003-12-10,7714518000
2003-12-11,7792953000
2003-12-12,7745892000
2003-12-15,7796438999
2003-12-16,7782495000
2003-12-17,7824327000
2003-12-18,7840013999
2003-12-19,7894047000
2003-12-22,7925421000
2003-12-23,7934136000
2003-12-24,7927163999
2003-12-26,7920192000
2003-12-29,7963767000
2003-12-30,8031744000
2003-12-31,8017800000
2004-01-02,7982939999
2004-01-05,7927163999
2004-01-06,7855701000
2004-01-07,7939364999
2004-01-08,7937622000
2004-01-09,7913220000
2004-01-12,7937622000
2004-01-13,7941108000
2004-01-14,8007342000
2004-01-15,8014313999
2004-01-16,8035230000
2004-01-20,8084034000
2004-01-21,8249619000
2004-01-22,8284479000
2004-01-23,8282736000
2004-01-26,8211273000
2004-01-27,8218245000
2004-01-28,8343741000
2004-01-29,8401260000
2004-01-30,8416947000
2004-02-02,8359428000
2004-02-03,8291451000
2004-02-04,8071833000
2004-02-05,8038716000
2004-02-06,8066604000
2004-02-09,8122380000
2004-02-10,8157239999
2004-02-11,8176412999
2004-02-12,8104950000
2004-02-13,8077062000
2004-02-17,8113664999
2004-02-18,8104950000
2004-02-19,8131095000
2004-02-20,8061375000
2004-02-23,8070089999
2004-02-24,8056146000
2004-02-25,8077062000
2004-02-26,8131095000
2004-02-27,8261820000
2004-03-01,8345484000
2004-03-02,8331539999
2004-03-03,8303652000
2004-03-04,8364657000
2004-03-05,8387316000
2004-03-08,8270535000
2004-03-09,8200814999
2004-03-10,8120637000
2004-03-11,7991655000
2004-03-12,8061375000
2004-03-15,8035230000
2004-03-16,8085777000
2004-03-17,8165955000
2004-03-18,8139810000
2004-03-19,8138067000
2004-03-22,8050917000
2004-03-23,8014313999
2004-03-24,8012571000
2004-03-25,8019543000
2004-03-26,8031744000
2004-03-29,8047431000
2004-03-30,8045687999
2004-03-31,8420643000
2004-04-01,8440740000
2004-04-02,8402373000
2004-04-05,8396892000
2004-04-06,8349390000
2004-04-07,8287272000
2004-04-08,8258040000
2004-04-12,8058897000
2004-04-13,7985817000
2004-04-14,7974855000
2004-04-15,7965720000
2004-04-16,7974855000
2004-04-19,7925526000
2004-04-20,7888986000
2004-04-21,7892640000
2004-04-22,7960239000
2004-04-23,7949277000
2004-04-26,7989470999
2004-04-27,8027838000
2004-04-28,8004087000
2004-04-29,7963893000
2004-04-30,7987644000
2004-05-03,7949277000
2004-05-04,7956584999
2004-05-05,7901775000
2004-05-06,7910909999
2004-05-07,7711767000
2004-05-10,7490700000
2004-05-11,7450506000
2004-05-12,7514451000
2004-05-13,7519931999
2004-05-14,7669745999
2004-05-17,7602147000
2004-05-18,7673400000
2004-05-19,7655130000
2004-05-20,7750134000
2004-05-21,7706286000
2004-05-24,7839656999
2004-05-25,7978509000
2004-05-26,8011395000
2004-05-27,8029665000
2004-05-28,8075340000
2004-06-01,8060724000
2004-06-02,8122842000
2004-06-03,8137458000
2004-06-04,8088129000
2004-06-07,7987644000
2004-06-08,7868889000
2004-06-09,7848792000
2004-06-10,7872543000
2004-06-14,7839656999
2004-06-15,7898120999
2004-06-16,7894467000
2004-06-17,7883505000
2004-06-18,7901775000
2004-06-21,7996779000
2004-06-22,7982163000
2004-06-23,8038800000
2004-06-24,8024184000
2004-06-25,8002259999
2004-06-28,7985817000
2004-06-29,7870716000
2004-06-30,8312760000
2004-07-01,8212140000
2004-07-02,8287605000
2004-07-06,8312760000
2004-07-07,8305020000
2004-07-08,8299215000
2004-07-09,8277930000
2004-07-12,8237295000
2004-07-13,8258580000
2004-07-14,8343719999
2004-07-15,8388225000
2004-07-16,8419185000
2004-07-19,8455950000
2004-07-20,8614620000
2004-07-21,8548830000
2004-07-22,8527545000
2004-07-23,8467560000
2004-07-26,8421120000
2004-07-27,8388225000
2004-07-28,8494650000
2004-07-29,8533350000
2004-07-30,8647515000
2004-08-02,8721045000
2004-08-03,8763615000
2004-08-04,8808120000
2004-08-05,8678475000
2004-08-06,8763615000
2004-08-09,8752005000
2004-08-10,8817795000
2004-08-11,8879715000
2004-08-12,8819730000
2004-08-13,8808120000
2004-08-16,8852625000
2004-08-17,8864235000
2004-08-18,8926155000
2004-08-19,8848755000
2004-08-20,8918415000
2004-08-23,8899065000
