,PODD
2008-02-07,509808332
2008-02-08,492275966
2008-02-11,487071045
2008-02-12,484879499
2008-02-13,488166818
2008-02-14,486249215
2008-02-15,486523158
2008-02-19,476661202
2008-02-20,448992937
2008-02-21,447075335
2008-02-22,470360508
2008-02-25,480222464
2008-02-26,483509783
2008-02-27,468990792
2008-02-28,462690098
2008-02-29,469264735
2008-03-03,453649972
2008-03-04,446801391
2008-03-05,457485177
2008-03-06,452006313
2008-03-07,448445051
2008-03-10,410640886
2008-03-11,411736659
2008-03-12,413380318
2008-03-13,399683157
2008-03-14,399135271
2008-03-17,385164167
2008-03-18,363248709
2008-03-19,364344482
2008-03-20,357769845
2008-03-24,362152936
2008-03-25,350373378
2008-03-26,377767700
2008-03-27,410093000
2008-03-28,401600760
2008-03-31,396983462
2008-04-01,396707779
2008-04-02,415178537
2008-04-03,404151219
2008-04-04,433373613
2008-04-07,454601201
2008-04-08,459839177
2008-04-09,485477692
2008-04-10,488510205
2008-04-11,510564841
2008-04-14,506980963
2008-04-15,499537523
2008-04-16,492645449
2008-04-17,478585618
2008-04-18,510289158
2008-04-21,496229328
2008-04-22,476655837
2008-04-23,500088889
2008-04-24,497607742
2008-04-25,500640255
2008-04-28,545990102
2008-04-29,525451721
2008-04-30,504775499
2008-05-01,514700086
2008-05-02,556052530
2008-05-05,547506358
2008-05-06,549436139
2008-05-07,526278770
2008-05-08,516905550
2008-05-09,526554453
2008-05-12,538684503
2008-05-13,546403626
2008-05-14,496229328
2008-05-15,500640255
2008-05-16,475001740
2008-05-19,461493275
2008-05-20,441092736
2008-05-21,439714321
2008-05-22,440541370
2008-05-23,441092736
2008-05-27,445779346
2008-05-28,475553106
2008-05-29,468109666
2008-05-30,449363224
2008-06-02,435027710
2008-06-03,434200662
2008-06-04,446055029
2008-06-05,447984810
2008-06-06,436681808
2008-06-09,446055029
2008-06-10,439162955
2008-06-11,432270881
2008-06-12,418211050
2008-06-13,419313782
2008-06-16,439438638
2008-06-17,455428249
2008-06-18,476380154
2008-06-19,490715668
2008-06-20,452120054
2008-06-23,446606395
2008-06-24,460666226
2008-06-25,469212397
2008-06-26,453774152
2008-06-27,451293005
2008-06-30,435980120
2008-07-01,452332839
2008-07-02,447621038
2008-07-03,452055674
2008-07-07,455935980
2008-07-08,469239887
2008-07-09,451778509
2008-07-10,445680885
2008-07-11,452332839
2008-07-14,442077744
2008-07-15,443463568
2008-07-16,464805252
2008-07-17,458707628
2008-07-18,437088779
2008-07-21,416578589
2008-07-22,427388013
2008-07-23,427110848
2008-07-24,409372306
2008-07-25,403829011
2008-07-28,382210162
2008-07-29,362254302
2008-07-30,360314149
2008-07-31,386644798
2008-08-01,384150315
2008-08-04,389693610
2008-08-05,397177058
2008-08-06,408263647
2008-08-07,398008552
2008-08-08,403274682
2008-08-11,412698282
2008-08-12,413252612
2008-08-13,421844719
2008-08-14,416578589
2008-08-15,421844719
2008-08-18,407432153
2008-08-19,391633763
2008-08-20,377498362
2008-08-21,375558209
2008-08-22,376666868
2008-08-25,378884185
2008-08-26,380270009
2008-08-27,387753457
2008-08-28,395236904
2008-08-29,397454222
2008-09-02,409372306
2008-09-03,402166023
2008-09-04,402166023
2008-09-05,397731387
2008-09-08,417964412
2008-09-09,412975447
2008-09-10,437920273
2008-09-11,444295062
2008-09-12,443463568
2008-09-15,432376978
2008-09-16,443186403
2008-09-17,435980120
2008-09-18,440969085
2008-09-19,441523414
2008-09-22,413529777
2008-09-23,422676213
2008-09-24,414638436
2008-09-25,408263647
2008-09-26,404383341
2008-09-29,384150315
2008-09-30,386464272
2008-10-01,369806330
2008-10-02,367307638
2008-10-03,355369446
2008-10-06,323441722
2008-10-07,312058795
2008-10-08,285406086
2008-10-09,248480980
2008-10-10,222661168
2008-10-13,242650700
2008-10-14,268748143
2008-10-15,259586275
2008-10-16,274023159
2008-10-17,273467894
2008-10-20,281519233
2008-10-21,240707273
2008-10-22,222383536
2008-10-23,202394005
2008-10-24,181016311
2008-10-27,162414942
2008-10-28,152697809
2008-10-29,152697809
2008-10-30,150199117
2008-10-31,155474132
2008-11-03,180461047
2008-11-04,190178180
2008-11-05,168800487
2008-11-06,156862294
2008-11-07,134096439
2008-11-10,130764850
2008-11-11,127710894
2008-11-12,111330584
2008-11-13,127155630
2008-11-14,119104291
2008-11-17,122435879
2008-11-18,110775319
2008-11-19,103834510
2008-11-20,89119993
2008-11-21,99114759
2008-11-24,107166098
2008-11-25,112718746
2008-11-26,136039866
2008-11-28,135762233
2008-12-01,111608216
2008-12-02,119381923
2008-12-03,144924102
2008-12-04,168522854
2008-12-05,180738679
2008-12-08,196008460
2008-12-09,214332197
2008-12-10,223494065
2008-12-11,229879610
2008-12-12,216830888
2008-12-15,193509768
2008-12-16,225159860
2008-12-17,228769081
2008-12-18,222105904
2008-12-19,223216433
2008-12-22,208501917
2008-12-23,199062416
2008-12-24,194620298
2008-12-26,199062416
2008-12-29,188234753
2008-12-30,213776932
2008-12-31,214651535
2009-01-02,217988087
2009-01-05,210758890
2009-01-06,241343954
2009-01-07,241900046
2009-01-08,262197406
2009-01-09,248851196
2009-01-12,233280619
2009-01-13,266368096
2009-01-14,243290276
2009-01-15,255802347
2009-01-16,239675677
2009-01-20,221046593
2009-01-21,235783033
2009-01-22,216319811
2009-01-23,216319811
2009-01-26,226051422
2009-01-27,222714870
2009-01-28,238007401
2009-01-29,228831882
2009-01-30,220768547
2009-02-02,220490501
2009-02-03,215763719
2009-02-04,230222112
2009-02-05,233836711
2009-02-06,238285447
2009-02-09,239953723
2009-02-10,226051422
2009-02-11,237729355
2009-02-12,249129242
2009-02-13,248851196
2009-02-17,246348782
2009-02-18,222436824
2009-02-19,199080957
2009-02-20,218544179
2009-02-23,184344517
2009-02-24,201027279
2009-02-25,187403024
2009-02-26,189905438
2009-02-27,170164170
2009-03-02,150422902
2009-03-03,155427730
2009-03-04,184066471
2009-03-05,142081521
2009-03-06,93423466
2009-03-09,79521164
2009-03-10,88974729
2009-03-11,74238290
2009-03-12,98428294
2009-03-13,87306453
2009-03-16,87584499
2009-03-17,83691855
2009-03-18,91199097
2009-03-19,83413809
2009-03-20,83135762
2009-03-23,94535650
2009-03-24,84525993
2009-03-25,92589327
2009-03-26,112608642
2009-03-27,122062207
2009-03-30,119559792
2009-03-31,114263551
2009-04-01,118165234
2009-04-02,124575140
2009-04-03,125411215
2009-04-06,111755327
2009-04-07,98935514
2009-04-08,121230841
2009-04-09,120394766
2009-04-13,137673645
2009-04-14,125411215
2009-04-15,118722617
2009-04-16,141017944
2009-04-17,142690094
2009-04-20,129034206
2009-04-21,147706542
2009-04-22,142411402
2009-04-23,135444112
2009-04-24,150214767
2009-04-27,146313084
2009-04-28,149378692
2009-04-29,161641122
2009-04-30,160247664
2009-05-01,159132897
2009-05-04,167214954
2009-05-05,168608411
2009-05-06,166100187
2009-05-07,158854206
2009-05-08,192575888
2009-05-11,195362804
2009-05-12,199543178
2009-05-13,186165982
2009-05-14,188674206
2009-05-15,188116823
2009-05-18,202608785
2009-05-19,204002243
2009-05-20,211805608
2009-05-21,197871028
2009-05-22,185329907
2009-05-26,199821870
2009-05-27,195084113
2009-05-28,196756262
2009-05-29,201494019
2009-06-01,218215514
2009-06-02,199264486
2009-06-03,200657944
2009-06-04,199821870
2009-06-05,205395701
2009-06-08,197313645
2009-06-09,194805421
2009-06-10,183657757
2009-06-11,187002056
2009-06-12,185608598
2009-06-15,183657757
2009-06-16,185329907
2009-06-17,190625047
2009-06-18,193969346
2009-06-19,187002056
2009-06-22,181706916
2009-06-23,178641309
2009-06-24,186723365
2009-06-25,185051215
2009-06-26,194805421
2009-06-29,205117010
2009-06-30,215666982
2009-07-01,216227156
2009-07-02,199421936
2009-07-06,190179066
2009-07-07,189898979
2009-07-08,179815847
2009-07-09,175894629
2009-07-10,170292889
2009-07-13,174774281
2009-07-14,173373846
2009-07-15,187378196
2009-07-16,191299414
2009-07-17,193540110
2009-07-20,201942719
2009-07-21,191579501
2009-07-22,187378196
2009-07-23,200542284
2009-07-24,208104633
2009-07-27,205863937
2009-07-28,205023676
2009-07-29,200542284
2009-07-30,197741414
2009-07-31,187658283
2009-08-03,182336630
2009-08-04,187378196
2009-08-05,201942719
2009-08-06,199702023
2009-08-07,202502893
2009-08-10,206704198
2009-08-11,205583850
2009-08-12,221548809
2009-08-13,248997334
2009-08-14,247876986
2009-08-17,232472201
2009-08-18,235273071
2009-08-19,251518117
2009-08-20,268883510
2009-08-21,272804728
2009-08-24,265242379
2009-08-25,265242379
2009-08-26,266082640
2009-08-27,262441509
2009-08-28,260200813
2009-08-31,257960117
2009-09-01,259920726
2009-09-02,259640639
2009-09-03,264962292
2009-09-04,267202988
2009-09-08,266082640
2009-09-09,276725946
2009-09-10,302774036
2009-09-11,315097863
2009-09-14,310616471
2009-09-15,309216036
2009-09-16,310896558
2009-09-17,314537689
2009-09-18,299132905
2009-09-21,302493949
2009-09-22,307815602
2009-09-23,304174471
2009-09-24,296332035
2009-09-25,287929425
2009-09-28,302493949
2009-09-29,312857167
2009-09-30,425485137
2009-10-01,392901235
2009-10-02,389112409
2009-10-05,388733527
2009-10-06,397447826
2009-10-07,395553413
2009-10-08,395932296
2009-10-09,409193186
2009-10-12,411466481
2009-10-13,417149720
2009-10-14,421696311
2009-10-15,414497542
2009-10-16,406541008
2009-10-19,401236652
2009-10-20,372820458
2009-10-21,370641883
2009-10-22,396690061
2009-10-23,358422920
2009-10-26,340236556
2009-10-27,403888830
2009-10-28,415634190
2009-10-29,390627939
2009-10-30,420559663
2009-11-02,449354739
2009-11-03,450870270
2009-11-04,445944796
2009-11-05,456174626
2009-11-06,456932391
2009-11-09,455037978
2009-11-10,447460326
2009-11-11,450112505
2009-11-12,445565914
2009-11-13,445565914
2009-11-16,457690156
2009-11-17,451249152
2009-11-18,448975857
2009-11-19,454280213
2009-11-20,467919986
2009-11-23,475876520
2009-11-24,485348584
2009-11-25,466025573
2009-11-27,466783338
2009-11-30,464510043
2009-12-01,457311274
2009-12-02,454280213
2009-12-03,448975857
2009-12-04,458069039
2009-12-07,468677751
2009-12-08,460342334
2009-12-09,451249152
2009-12-10,438367145
2009-12-11,453522448
2009-12-14,475118755
2009-12-15,490274058
2009-12-16,484211937
2009-12-17,491789588
2009-12-18,506566009
2009-12-21,520963547
2009-12-22,528541199
2009-12-23,533845555
2009-12-24,541044324
2009-12-28,542938737
2009-12-29,545590915
2009-12-30,540286559
2009-12-31,541044324
2010-01-04,569460517
2010-01-05,568323870
2010-01-06,555820744
2010-01-07,560746218
2010-01-08,532708907
2010-01-11,549379741
2010-01-12,543696502
2010-01-13,547864210
2010-01-14,562261748
2010-01-15,549758623
2010-01-19,555062979
2010-01-20,532330024
2010-01-21,545590915
2010-01-22,522857960
2010-01-25,527025668
2010-01-26,525131255
2010-01-27,539907676
2010-01-28,517553604
2010-01-29,516416956
2010-02-01,531951142
2010-02-02,530814494
2010-02-03,530435612
2010-02-04,503156066
2010-02-05,494820649
2010-02-08,498988357
2010-02-09,510733717
2010-02-10,559230688
2010-02-11,570976048
2010-02-12,573628226
2010-02-16,578932582
2010-02-17,569839400
2010-02-18,563398396
2010-02-19,563019513
2010-02-22,568323870
2010-02-23,567566104
2010-02-24,568323870
2010-02-25,565292809
2010-02-26,556957392
2010-03-01,574385991
2010-03-02,578932582
2010-03-03,576659286
2010-03-04,573628226
2010-03-05,581205877
2010-03-08,591814589
2010-03-09,602044419
2010-03-10,619094135
2010-03-11,624019609
2010-03-12,592951237
2010-03-15,597118946
2010-03-16,569839400
2010-03-17,575522639
2010-03-18,570218282
2010-03-19,570597165
2010-03-22,576659286
2010-03-23,583479173
2010-03-24,583100290
2010-03-25,565292809
2010-03-26,561125100
2010-03-29,571733813
2010-03-30,579690347
2010-03-31,577730126
2010-04-01,574667276
2010-04-05,599170078
2010-04-06,594958659
2010-04-07,595724371
2010-04-08,582707258
2010-04-09,579644407
2010-04-12,583855827
2010-04-13,574667276
2010-04-14,572752994
2010-04-15,580792976
2010-04-16,580027264
2010-04-19,578112982
2010-04-20,604147209
2010-04-21,592278665
2010-04-22,591130096
2010-04-23,569690144
2010-04-26,564330156
2010-04-27,551695899
2010-04-28,535233079
2010-04-29,544421630
2010-04-30,528724522
2010-05-03,551695899
2010-05-04,532935941
2010-05-05,537147360
2010-05-06,505753145
2010-05-07,535615935
2010-05-10,562033019
2010-05-11,570838713
2010-05-12,601467215
2010-05-13,587301533
2010-05-14,579644407
2010-05-17,584621539
2010-05-18,578112982
2010-05-19,572370138
2010-05-20,529873091
2010-05-21,526810241
2010-05-24,528724522
2010-05-25,530255947
2010-05-26,522981678
2010-05-27,547867336
2010-05-28,557821599
2010-06-01,554375893
2010-06-02,574667276
2010-06-03,577347270
2010-06-04,549398761
2010-06-07,527958810
2010-06-08,521450253
2010-06-09,533701654
2010-06-10,552844468
2010-06-11,573901563
2010-06-14,578112982
2010-06-15,585387252
2010-06-16,588067246
2010-06-17,589598671
2010-06-18,589215814
2010-06-21,585387252
2010-06-22,590747240
2010-06-23,588450102
2010-06-24,581941545
2010-06-25,592661521
2010-06-28,607210060
2010-06-29,591130096
2010-06-30,604336918
2010-07-01,607147788
2010-07-02,613572632
2010-07-06,607147788
2010-07-07,611163315
2010-07-08,613371856
2010-07-09,614777290
2010-07-12,590282571
2010-07-13,615981949
2010-07-14,610360210
2010-07-15,617989713
2010-07-16,585062385
2010-07-19,595101205
2010-07-20,589479466
2010-07-21,578235988
2010-07-22,601927602
2010-07-23,591085677
2010-07-26,603935366
2010-07-27,609155552
2010-07-28,589077913
2010-07-29,598313627
2010-07-30,593896546
2010-08-02,613171079
2010-08-03,605140024
2010-08-04,605140024
2010-08-05,600321391
2010-08-06,602730707
2010-08-09,615580396
2010-08-10,604738471
2010-08-11,598715180
2010-08-12,583857727
2010-08-13,597912074
2010-08-16,600722943
2010-08-17,615580396
2010-08-18,604638083
2010-08-19,588274808
2010-08-20,595904310
2010-08-23,583456174
2010-08-24,565787852
2010-08-25,576228224
2010-08-26,566189405
2010-08-27,549725742
2010-08-30,533663631
2010-08-31,530852761
2010-09-01,543702450
2010-09-02,561370772
2010-09-03,569803380
2010-09-07,564181641
2010-09-08,552135058
2010-09-09,552536611
2010-09-10,553741269
2010-09-13,566189405
2010-09-14,562575430
2010-09-15,562976983
2010-09-16,559764561
2010-09-17,572614250
2010-09-20,593494994
2010-09-21,584259280
2010-09-22,573818908
2010-09-23,557756797
2010-09-24,560567666
2010-09-27,553339717
2010-09-28,562575430
2010-09-29,573015802
2010-09-30,644547041
2010-10-01,673264484
2010-10-04,658677846
2010-10-05,686939456
2010-10-06,698335267
2010-10-07,705628586
2010-10-08,721582720
2010-10-11,732066866
2010-10-12,737081023
2010-10-13,743462677
2010-10-14,728876039
2010-10-15,724317715
2010-10-18,724773547
2010-10-19,716112731
2010-10-20,737081023
2010-10-21,728876039
2010-10-22,725685212
2010-10-25,724773547
2010-10-26,729331872
2010-10-27,728876039
2010-10-28,722494385
2010-10-29,727052709
2010-11-01,714745234
2010-11-02,729331872
2010-11-03,729331872
2010-11-04,731611034
2010-11-05,658222014
2010-11-08,651840360
2010-11-09,636342058
2010-11-10,668250327
2010-11-11,640900382
2010-11-12,625402080
2010-11-15,619932091
2010-11-16,584377162
2010-11-17,582098000
2010-11-18,583465497
2010-11-19,582553832
2010-11-22,583009665
2010-11-23,581186335
2010-11-24,594405475
2010-11-26,619932091
2010-11-29,617652929
2010-11-30,618564593
2010-12-01,635430393
2010-12-02,625857912
2010-12-03,652296193
2010-12-06,642723712
2010-12-07,657310349
2010-12-08,658222014
2010-12-09,660045344
2010-12-10,672352819
2010-12-13,645002874
2010-12-14,665059500
2010-12-15,681925300
2010-12-16,695600272
2010-12-17,686483624
2010-12-20,695144440
2010-12-21,704716921
2010-12-22,707451915
2010-12-23,708363580
2010-12-27,708819413
2010-12-28,706540251
2010-12-29,706996083
2010-12-30,706540251
2010-12-31,706540251
2011-01-03,732522698
2011-01-04,718391893
2011-01-05,732522698
2011-01-06,734801861
2011-01-07,723861882
2011-01-10,721126888
2011-01-11,735257693
2011-01-12,750528079
2011-01-13,786310924
2011-01-14,791780913
2011-01-18,797706735
2011-01-19,774915114
2011-01-20,774459281
2011-01-21,774459281
2011-01-24,778561773
2011-01-25,768533460
2011-01-26,777764066
2011-01-27,775826778
2011-01-28,757137649
2011-01-31,776282611
2011-02-01,791780913
2011-02-02,791325081
2011-02-03,789501751
2011-02-04,785399259
2011-02-07,796795070
2011-02-08,807279215
2011-02-09,800897561
2011-02-10,802720891
2011-02-11,820498356
2011-02-14,813660869
2011-02-15,804088388
2011-02-16,820954188
2011-02-17,839187485
2011-02-18,822777518
2011-02-22,820498356
2011-02-23,807735048
2011-02-24,820498356
2011-02-25,826424177
2011-02-28,810014210
2011-03-01,797250902
2011-03-02,804544221
2011-03-03,825512512
2011-03-04,824600847
2011-03-07,809558377
2011-03-08,820954188
2011-03-09,826424177
2011-03-10,805000053
2011-03-11,810014210
2011-03-14,807279215
2011-03-15,801809226
2011-03-16,793604243
2011-03-17,812749204
2011-03-18,833261663
2011-03-21,862434938
2011-03-22,866537430
2011-03-23,875198246
2011-03-24,888873219
2011-03-25,905739018
2011-03-28,910753175
2011-03-29,934912293
2011-03-30,961350573
2011-03-31,956311122
2011-04-01,961412685
2011-04-04,962340242
2011-04-05,951209559
2011-04-06,959557571
2011-04-07,951673338
2011-04-08,948426889
2011-04-11,954456008
2011-04-12,963267799
2011-04-13,961876463
2011-04-14,959093793
2011-04-15,970224475
2011-04-18,980891379
2011-04-19,973470924
2011-04-20,974398481
2011-04-21,988311834
2011-04-25,998051181
2011-04-26,998143937
2011-04-27,995268510
2011-04-28,986456720
2011-04-29,996659846
2011-05-02,998051181
2011-05-03,978108708
2011-05-04,957702457
2011-05-05,935904871
2011-05-06,953528452
2011-05-09,954456008
2011-05-10,957702457
2011-05-11,960508317
2011-05-12,969296918
2011-05-13,973470924
2011-05-16,957702457
2011-05-17,950282003
2011-05-18,978108708
2011-05-19,995500399
2011-05-20,987384277
2011-05-23,956311122
2011-05-24,950282003
2011-05-25,960485128
2011-05-26,969296918
2011-05-27,991094504
2011-05-31,977644930
2011-06-01,946107997
2011-06-02,908541944
2011-06-03,879787681
2011-06-06,848714526
2011-06-07,854279868
2011-06-08,862164101
2011-06-09,867265664
2011-06-10,863091658
2011-06-13,877005011
2011-06-14,889990807
2011-06-15,872367226
2011-06-16,867729442
2011-06-17,896019926
2011-06-20,909005722
2011-06-21,949354446
2011-06-22,950282003
2011-06-23,916889956
2011-06-24,955383565
2011-06-27,978108708
2011-06-28,999906295
2011-06-29,1013819647
2011-06-30,1049128496
2011-07-01,1065691192
2011-07-05,1069476951
2011-07-06,1068057291
2011-07-07,1090298626
2011-07-08,1085566427
2011-07-11,1069003731
2011-07-12,1060958993
2011-07-13,1063325092
2011-07-14,1034931899
2011-07-15,1051021375
2011-07-18,1021681742
2011-07-19,1043449857
2011-07-20,1051494595
2011-07-21,1072316270
2011-07-22,1065217972
2011-07-25,1002279727
2011-07-26,963002476
2011-07-27,930350303
2011-07-28,934609282
2011-07-29,930350303
2011-08-01,912841167
2011-08-02,872617477
2011-08-03,875930016
2011-08-04,826241927
2011-08-05,799741614
2011-08-08,719767452
2011-08-09,778919938
2011-08-10,740589127
2011-08-11,772768080
2011-08-12,813464990
2011-08-15,849902922
2011-08-16,836652765
2011-08-17,845170723
2011-08-18,784598577
2011-08-19,784125357
2011-08-22,783652137
2011-08-23,814411430
2011-08-24,804947032
2011-08-25,776553839
2011-08-26,784125357
2011-08-29,810152451
2011-08-30,820563289
2011-08-31,827188367
2011-09-01,827188367
2011-09-02,802107713
2011-09-06,802580933
2011-09-07,826715147
2011-09-08,821036509
2011-09-09,818670409
2011-09-12,795482635
2011-09-13,804947032
2011-09-14,795955854
2011-09-15,804473813
2011-09-16,825768708
2011-09-19,775134179
2011-09-20,762357242
2011-09-21,748633865
2011-09-22,702731536
2011-09-23,720240672
2011-09-26,736330148
2011-09-27,762830462
2011-09-28,753366064
2011-09-29,745321326
2011-09-30,723701501
2011-10-03,677699506
2011-10-04,708525585
2011-10-05,758795808
2011-10-06,752156344
2011-10-07,729866717
2011-10-10,741722902
2011-10-11,734609191
2011-10-12,732712202
2011-10-13,713268059
2011-10-14,728918223
2011-10-17,708999833
2011-10-18,736980428
2011-10-19,742671397
2011-10-20,738403170
2011-10-21,759270055
2011-10-24,777765703
2011-10-25,725598491
2011-10-26,721804512
2011-10-27,768755002
2011-10-28,781559682
2011-10-31,773971724
2011-11-01,718010533
2011-11-02,730815212
2011-11-03,704257359
2011-11-04,806220546
2011-11-07,801952319
2011-11-08,833252646
2011-11-09,806220546
2011-11-10,820447967
2011-11-11,879254642
2011-11-14,862063174
2011-11-15,886842600
2011-11-16,844160336
2011-11-17,839892109
2011-11-18,825190441
2011-11-21,823293451
2011-11-22,831355657
2011-11-23,819025225
2011-11-25,823293451
2011-11-28,853645284
2011-11-29,853645284
2011-11-30,881151632
2011-12-01,863130231
2011-12-02,883997116
2011-12-05,889213837
2011-12-06,898224537
2011-12-07,882574374
2011-12-08,843686089
2011-12-09,877831900
2011-12-12,870718189
2011-12-13,874512168
2011-12-14,847005820
2011-12-15,837520873
2011-12-16,830881409
2011-12-19,835149636
2011-12-20,864078726
2011-12-21,874986416
2011-12-22,887316847
2011-12-23,882100126
2011-12-27,882100126
2011-12-28,881151632
2011-12-29,900121527
2011-12-30,893007816
2012-01-03,907397977
2012-01-04,908826201
2012-01-05,910254424
2012-01-06,892163594
2012-01-09,869312018
2012-01-10,864551273
2012-01-11,904065456
2012-01-12,906445828
2012-01-13,909778350
2012-01-17,912634797
2012-01-18,922156287
2012-01-19,943103564
2012-01-20,947388235
2012-01-23,920728063
2012-01-24,927869181
2012-01-25,936914596
2012-01-26,945960011
2012-01-27,944055713
2012-01-30,930725627
2012-01-31,926440957
2012-02-01,923584510
2012-02-02,939771043
2012-02-03,946436086
2012-02-06,937866745
2012-02-07,932153851
2012-02-08,911206573
2012-02-09,946436086
2012-02-10,935486372
2012-02-13,965955140
2012-02-14,964526916
2012-02-15,953101128
2012-02-16,998804280
2012-02-17,965002991
2012-02-21,950244682
2012-02-22,938342819
2012-02-23,953101128
2012-02-24,975000555
2012-02-27,974048406
2012-02-28,966431214
2012-02-29,939771043
2012-03-01,929773478
2012-03-02,921204138
2012-03-05,907397977
2012-03-06,886450700
2012-03-07,912634797
2012-03-08,933106000
2012-03-09,923584510
2012-03-12,899304711
2012-03-13,921680212
2012-03-14,926917032
2012-03-15,957385799
2012-03-16,951196831
2012-03-19,933106000
2012-03-20,928345255
2012-03-21,917871616
2012-03-22,908350126
2012-03-23,899304711
2012-03-26,909302275
2012-03-27,930249553
2012-03-28,923584510
2012-03-29,929297404
2012-03-30,911206573
2012-04-02,916789722
2012-04-03,925876318
2012-04-04,889529934
2012-04-05,860357178
2012-04-09,849835856
2012-04-10,826880245
2012-04-11,846488163
2012-04-12,872313225
2012-04-13,829749696
2012-04-16,809663536
2012-04-17,814445955
2012-04-18,836923325
2012-04-19,837879808
2012-04-20,849357614
2012-04-23,842183985
2012-04-24,849835856
2012-04-25,872313225
2012-04-26,876139160
2012-04-27,877573886
2012-04-30,854140033
2012-05-01,857487726
2012-05-02,868965532
2012-05-03,859878936
2012-05-04,848879372
2012-05-07,859400694
2012-05-08,851270582
2012-05-09,827836728
2012-05-10,868965532
2012-05-11,859878936
2012-05-14,875660918
2012-05-15,878530370
2012-05-16,878530370
2012-05-17,861313661
2012-05-18,857009484
2012-05-21,885225756
2012-05-22,888095208
2012-05-23,887138724
2012-05-24,891921143
2012-05-25,860835420
