,QCOM
2000-10-10,59718725760
2000-10-11,52838481000
2000-10-12,48251651160
2000-10-13,52418771080
2000-10-16,57710114000
2000-10-17,55596574760
2000-10-18,56076243239
2000-10-19,57710114000
2000-10-20,56031274320
2000-10-23,55176864840
2000-10-24,53213222000
2000-10-25,49285936320
2000-10-26,53827797239
2000-10-27,56121212160
2000-10-30,51054713840
2000-10-31,48791278199
2000-11-01,46093143000
2000-11-02,47082459240
2000-11-03,52838481000
2000-11-06,52883449920
2000-11-07,55281792320
2000-11-08,51759226920
2000-11-09,54472351760
2000-11-10,55416699080
2000-11-13,56256118920
2000-11-14,60243363160
2000-11-15,63091394760
2000-11-16,65999384920
2000-11-17,66568991239
2000-11-20,63421166840
2000-11-21,65579675000
2000-11-22,59164109080
2000-11-24,63331229000
2000-11-27,67033670080
2000-11-28,62551767719
2000-11-29,61922202840
2000-11-30,60153425320
2000-12-01,62207006000
2000-12-04,67453380000
2000-12-05,74663396840
2000-12-06,74483521160
2000-12-07,78275900080
2000-12-08,77391511320
2000-12-11,74573459000
2000-12-12,67318473239
2000-12-13,68442696239
2000-12-14,65999384920
2000-12-15,59628787920
2000-12-18,64035742080
2000-12-19,62536778080
2000-12-20,57800051840
2000-12-21,56825725239
2000-12-22,63705970000
2000-12-26,62821581239
2000-12-27,67363442160
2000-12-28,66988701160
2000-12-29,61592430760
2001-01-02,53488457920
2001-01-03,63434534040
2001-01-04,59570807960
2001-01-05,55133560040
2001-01-08,58770895920
2001-01-09,55284486840
2001-01-10,54665686960
2001-01-11,53246975040
2001-01-12,54197813879
2001-01-16,53533735960
2001-01-17,55088282000
2001-01-18,55133560040
2001-01-19,53111140920
2001-01-22,56929588960
2001-01-23,58574691080
2001-01-24,56039120840
2001-01-25,55797637960
2001-01-26,61125354000
2001-01-29,65517323879
2001-01-30,64657041120
2001-01-31,63434534040
2001-02-01,64340094840
2001-02-02,65517323879
2001-02-05,65230562960
2001-02-06,62589343960
2001-02-07,65366397080
2001-02-08,63962777840
2001-02-09,59706642080
2001-02-12,62544065920
2001-02-13,60748037000
2001-02-14,62921382920
2001-02-15,64611763080
2001-02-16,60838593080
2001-02-20,56989959680
2001-02-21,53775218840
2001-02-22,50515199960
2001-02-23,46651473880
2001-02-26,47587220040
2001-02-27,41972743080
2001-02-28,41369035880
2001-03-01,46168508120
2001-03-02,45655357000
2001-03-05,47496663960
2001-03-06,44568684040
2001-03-07,43482011080
2001-03-08,43210342840
2001-03-09,39195689960
2001-03-12,36267710040
2001-03-13,39859767880
2001-03-14,38727816880
2001-03-15,39376802120
2001-03-16,37973182880
2001-03-19,43904606120
2001-03-20,40750236000
2001-03-21,43859328080
2001-03-22,42923581920
2001-03-23,44432849920
2001-03-26,42727377080
2001-03-27,45187483920
2001-03-28,41369035880
2001-03-29,41263387120
2001-03-30,42727377080
2001-04-02,39039575000
2001-04-03,34688368000
2001-04-04,33263234000
2001-04-05,36340917000
2001-04-06,33824190999
2001-04-09,34294182000
2001-04-10,36992840000
2001-04-11,38736355000
2001-04-12,40206972000
2001-04-16,36674459000
2001-04-17,38478618000
2001-04-18,44543018000
2001-04-19,50289037000
2001-04-20,48393912000
2001-04-23,44118510000
2001-04-24,45103975000
2001-04-25,47741989000
2001-04-26,44012383000
2001-04-27,42678215000
2001-04-30,43481748000
2001-05-01,46817168000
2001-05-02,45558805000
2001-05-03,44603662000
2001-05-04,46695880000
2001-05-07,45862025000
2001-05-08,47044583000
2001-05-09,44937204000
2001-05-10,44436891000
2001-05-11,43936578000
2001-05-14,43148206000
2001-05-15,45103975000
2001-05-16,49091318000
2001-05-17,50304198000
2001-05-18,49561309000
2001-05-21,53821550000
2001-05-22,53002856000
2001-05-23,51638366000
2001-05-24,53063500000
2001-05-25,51183536000
2001-05-29,50167749000
2001-05-30,46862651000
2001-05-31,46043957000
2001-06-01,46695880000
2001-06-04,46953617000
2001-06-05,48151336000
2001-06-06,47362964000
2001-06-07,49273250000
2001-06-08,46422982000
2001-06-11,45316229000
2001-06-12,43951739000
2001-06-13,41101471000
2001-06-14,39039575000
2001-06-15,37417348000
2001-06-18,37932822000
2001-06-19,38145076000
2001-06-20,36735103000
2001-06-21,39797625000
2001-06-22,40965022000
2001-06-25,41207598000
2001-06-26,40525353000
2001-06-27,42117258000
2001-06-28,43663680000
2001-06-29,44330764000
2001-07-02,43875934000
2001-07-03,48424234000
2001-07-05,46559431000
2001-07-06,44103349000
2001-07-09,46786846000
2001-07-10,44770433000
2001-07-11,42799503000
2001-07-12,48030048000
2001-07-13,49712919000
2001-07-16,48606166000
2001-07-17,49045835000
2001-07-18,47423608000
2001-07-19,49803885000
2001-07-20,48879064000
2001-07-23,46134923000
2001-07-24,43784968000
2001-07-25,45179780000
2001-07-26,45225263000
2001-07-27,47893599000
2001-07-30,48606166000
2001-07-31,47939082000
2001-08-01,49561309000
2001-08-02,51805137000
2001-08-03,50683223000
2001-08-06,51016765000
2001-08-07,51213858000
2001-08-08,49349054999
2001-08-09,49819046000
2001-08-10,48348429000
2001-08-13,50486129999
2001-08-14,49970656000
2001-08-15,48166497000
2001-08-16,49136800999
2001-08-17,46665558000
2001-08-20,48302946000
2001-08-21,47332642000
2001-08-22,48333268000
2001-08-23,47726828000
2001-08-24,50122266000
2001-08-27,49258089000
2001-08-28,47605540000
2001-08-29,47544896000
2001-08-30,45179780000
2001-08-31,44618823000
2001-09-04,41162115000
2001-09-05,40343421000
2001-09-06,36765425000
2001-09-07,37280899000
2001-09-10,38311847000
2001-09-17,34703529000
2001-09-18,35158359000
2001-09-19,34112250000
2001-09-20,34521597000
2001-09-21,34036445000
2001-09-24,36083180000
2001-09-25,37008001000
2001-09-26,35128037000
2001-09-27,36052858000
2001-09-28,36037697000
2001-10-01,34270163199
2001-10-02,35096318920
2001-10-03,34285462380
2001-10-04,32128278000
2001-10-05,29420323140
2001-10-08,31531609980
2001-10-09,31256224740
2001-10-10,34346659100
2001-10-11,38003163120
2001-10-12,37865470500
2001-10-15,38676327040
2001-10-16,38140855740
2001-10-17,35677687760
2001-10-18,36259056600
2001-10-19,36947519700
2001-10-22,36978118060
2001-10-23,37758376240
2001-10-24,40726417160
2001-10-25,42730609740
2001-10-26,42286933520
2001-10-29,40007355700
2001-10-30,37253503300
2001-10-31,37574786080
2001-11-01,39502482760
2001-11-02,40940605680
2001-11-05,40604023720
2001-11-06,41873855660
2001-11-07,42164540080
2001-11-08,43051892520
2001-11-09,42394027780
2001-11-12,43021294160
2001-11-13,44031040040
2001-11-14,44428818720
2001-11-15,45101982640
2001-11-16,45958736720
2001-11-19,47794638320
2001-11-20,45300871980
2001-11-21,45729249020
2001-11-23,46907285880
2001-11-26,46203523600
2001-11-27,45912839180
2001-11-28,43816851520
2001-11-29,44688904780
2001-11-30,44918392480
2001-12-03,43816851520
2001-12-04,45836343280
2001-12-05,47427458000
2001-12-06,45928138360
2001-12-07,43587363820
2001-12-10,43633261360
2001-12-11,44015740860
2001-12-12,44122835120
2001-12-13,42072745000
2001-12-14,42715310560
2001-12-17,40940605680
2001-12-18,41001802400
2001-12-19,39992056520
2001-12-20,37911368040
2001-12-21,38247950000
2001-12-24,38339745080
2001-12-26,38722224580
2001-12-27,39930859800
2001-12-28,39624876200
2001-12-31,38779101500
2002-01-02,39977030180
2002-01-03,39915597940
2002-01-04,38717669260
2002-01-07,36245021600
2002-01-08,37012924600
2002-01-09,35492476660
2002-01-10,35861070100
2002-01-11,35707489500
2002-01-14,36198947420
2002-01-15,35753563680
2002-01-16,34939586500
2002-01-17,36306453840
2002-01-18,34524918880
2002-01-22,31791184200
2002-01-23,33434496620
2002-01-24,33557361100
2002-01-25,35369612180
2002-01-28,34862796200
2002-01-29,33158051540
2002-01-30,34325264100
2002-01-31,33833806180
2002-02-01,32605161380
2002-02-04,31315084340
2002-02-05,30577897460
2002-02-06,31176861800
2002-02-07,30040365359
2002-02-08,28765646380
2002-02-11,31699035840
2002-02-12,31100071500
2002-02-13,32175135700
2002-02-14,30746836120
2002-02-15,28719572200
2002-02-19,28658139960
2002-02-20,27567717700
2002-02-21,24956847500
2002-02-22,25110428100
2002-02-25,27567717700
2002-02-26,26707666340
2002-02-27,25786182740
2002-02-28,25540453780
2002-03-01,27629149939
2002-03-04,29840710580
2002-03-05,29840710580
2002-03-06,30685403880
2002-03-07,31821900320
2002-03-08,33634151399
2002-03-11,33511286920
2002-03-12,32697309740
2002-03-13,31468664939
2002-03-14,31038639260
2002-03-15,32251926000
2002-03-18,33572719160
2002-03-19,33050545120
2002-03-20,30885058660
2002-03-21,32082987340
2002-03-22,31084713439
2002-03-25,30316810439
2002-03-26,30608613580
2002-03-27,29072807580
2002-03-28,28903868920
2002-04-01,30414816180
2002-04-02,28822174560
2002-04-03,29100500280
2002-04-04,28296448200
2002-04-05,27755259300
2002-04-08,27925347239
2002-04-09,27059445000
2002-04-10,27291383099
2002-04-11,26781119280
2002-04-12,27616096440
2002-04-15,27987197400
2002-04-16,30631291739
2002-04-17,30770454599
2002-04-18,29688076800
2002-04-19,28806712020
2002-04-22,27090370080
2002-04-23,24941077020
2002-04-24,25729666560
2002-04-25,25049314800
2002-04-26,23688611280
2002-04-29,22590770940
2002-04-30,23317510320
2002-05-01,23023722060
2002-05-02,21972269340
2002-05-03,20750728680
2002-05-06,20456940420
2002-05-07,19173549600
2002-05-08,22745396340
2002-05-09,21910419180
2002-05-10,20719803600
2002-05-13,22497995700
2002-05-14,23719536360
2002-05-15,24801914160
2002-05-16,25002927180
2002-05-17,25126627500
2002-05-20,24662751300
2002-05-21,25219402739
2002-05-22,24260725260
2002-05-23,24492663360
2002-05-24,23966937000
2002-05-28,24291650340
2002-05-29,24075174780
2002-05-30,24106099860
2002-05-31,24461738280
2002-06-03,24106099860
2002-06-04,25080239880
2002-06-05,25389490680
2002-06-06,23781386520
2002-06-07,23874161760
2002-06-10,24353500500
2002-06-11,24214337640
2002-06-12,25513191000
2002-06-13,25049314800
2002-06-14,23116497300
2002-06-17,22590770940
2002-06-18,22327907760
2002-06-19,21755793780
2002-06-20,20364165180
2002-06-21,20194077240
2002-06-24,20719803600
2002-06-25,20379627720
2002-06-26,20936279160
2002-06-27,21230067420
2002-06-28,21260992500
2002-07-01,20426015340
2002-07-02,19173549600
2002-07-03,20395090260
2002-07-05,22065044580
2002-07-08,20998129320
2002-07-09,21291917580
2002-07-10,20426015340
2002-07-11,21585705840
2002-07-12,21740331240
2002-07-15,22714471260
2002-07-16,23070109680
2002-07-17,23178347460
2002-07-18,23487598260
2002-07-19,23193810000
2002-07-22,22791783960
2002-07-23,21663018540
2002-07-24,22497995700
2002-07-25,19822976280
2002-07-26,20101302000
2002-07-29,21755793780
2002-07-30,21322842660
2002-07-31,21245529960
2002-08-01,19807513740
2002-08-02,19761126120
2002-08-05,18369497520
2002-08-06,19467337860
2002-08-07,19328175000
2002-08-08,20132227080
2002-08-09,20023989300
2002-08-12,19962139140
2002-08-13,20348702640
2002-08-14,21462005520
2002-08-15,22018656960
2002-08-16,22497995700
2002-08-19,23116497300
2002-08-20,22637158560
2002-08-21,22606233480
2002-08-22,23394823020
2002-08-23,22791783960
2002-08-26,23116497300
2002-08-27,22095969660
2002-08-28,21121829640
2002-08-29,21941344260
2002-08-30,21431080440
2002-09-03,20797116300
2002-09-04,20967204240
2002-09-05,20688878520
2002-09-06,22003194420
2002-09-09,23085572220
2002-09-10,22869096660
2002-09-11,22590770940
2002-09-12,21771256320
2002-09-13,22095969660
2002-09-16,21137292180
2002-09-17,20843503920
2002-09-18,20101302000
2002-09-19,19884826440
2002-09-20,21709406160
2002-09-23,21214604880
2002-09-24,21291917580
2002-09-25,21925881720
2002-09-26,22250595060
2002-09-27,22126894740
2002-09-30,21634193600
2002-10-01,23326078400
2002-10-02,22542798400
2002-10-03,22793448000
2002-10-04,22918772800
2002-10-07,23106760000
2002-10-08,22480136000
2002-10-09,21869177600
2002-10-10,23435737600
2002-10-11,24579326400
2002-10-14,25660252800
2002-10-15,27681115200
2002-10-16,26756844799
2002-10-17,28198080000
2002-10-18,28354736000
2002-10-21,28903032000
2002-10-22,28950028800
2002-10-23,28605385600
2002-10-24,27728112000
2002-10-25,28605385600
2002-10-28,27728112000
2002-10-29,26396536000
2002-10-30,26396536000
2002-10-31,27038825600
2002-11-01,27947430400
2002-11-04,27963096000
2002-11-05,27916099200
2002-11-06,28088420800
2002-11-07,27367803200
2002-11-08,27226812800
2002-11-11,25832574399
2002-11-12,27007494399
2002-11-13,27524459200
2002-11-14,29921296000
2002-11-15,30892563200
2002-11-18,30077952000
2002-11-19,28981360000
2002-11-20,30657579200
2002-11-21,31832499200
2002-11-22,31863830400
2002-11-25,32819432000
2002-11-26,31597515200
2002-11-27,32678441600
2002-11-29,32286801600
2002-12-02,33446056000
2002-12-03,31973489600
2002-12-04,31315534399
2002-12-05,31002222400
2002-12-06,32490454399
2002-12-09,30704576000
2002-12-10,31033553599
2002-12-11,30970891200
2002-12-12,30156280000
2002-12-13,29466993599
2002-12-16,30861232000
2002-12-17,30970891200
2002-12-18,30046620800
2002-12-19,29482659200
2002-12-20,29513990400
2002-12-23,30547920000
2002-12-24,30124948800
2002-12-26,29827302400
2002-12-27,29200678400
2002-12-30,29036156799
2002-12-31,28720546400
2003-01-02,29304425640
2003-01-03,28168228200
2003-01-06,29478011360
2003-01-07,29399108760
2003-01-08,28894132119
2003-01-09,30519525680
2003-01-10,30345939960
2003-01-13,30535306200
2003-01-14,31024502320
2003-01-15,30267037360
2003-01-16,30298598400
2003-01-17,29036156799
2003-01-21,29162400960
2003-01-22,28957254200
2003-01-23,29919865920
2003-01-24,29036156799
2003-01-27,28704765880
2003-01-28,29272864600
2003-01-29,29982988000
2003-01-30,29620036040
2003-01-31,29714719159
2003-02-03,29462230840
2003-02-04,28878351600
2003-02-05,28625863280
2003-02-06,28862571080
2003-02-07,28594302240
2003-02-10,29683158119
2003-02-11,29698938640
2003-02-12,28846790560
2003-02-13,26747981400
2003-02-14,27379202200
2003-02-18,27931520400
2003-02-19,28041984040
2003-02-20,27379202200
2003-02-21,27789495720
2003-02-24,27757934680
2003-02-25,27442324280
2003-02-26,26416590479
2003-02-27,27000469720
2003-02-28,27284519080
2003-03-03,26826884000
2003-03-04,27189835960
2003-03-05,28010423000
2003-03-06,27600129479
2003-03-07,27757934680
2003-03-10,27016250240
2003-03-11,27252958040
2003-03-12,27710593119
2003-03-13,29746280200
2003-03-14,29572694479
2003-03-17,30787794520
2003-03-18,30977160760
2003-03-19,30866697119
2003-03-20,30472184119
2003-03-21,30945599720
2003-03-24,30077671119
2003-03-25,30582647760
2003-03-26,30314378920
2003-03-27,29667377600
2003-03-28,29588475000
2003-03-31,28458396000
2003-04-01,28426775560
2003-04-02,27019665980
2003-04-03,27130337520
2003-04-04,27098717080
2003-04-07,27035476200
2003-04-08,25612556400
2003-04-09,25470264420
2003-04-10,25549315520
2003-04-11,25201490680
2003-04-14,26134293660
2003-04-15,26150103880
2003-04-16,25865519920
2003-04-17,26039432340
2003-04-21,25992001680
2003-04-22,26260775420
2003-04-23,26071052779
2003-04-24,25802279040
2003-04-25,24600702320
2003-04-28,24553271660
2003-04-29,25217300900
2003-04-30,25201490680
2003-05-01,25470264420
2003-05-02,25391213319
2003-05-05,25675797279
2003-05-06,25960381240
2003-05-07,25248921340
2003-05-08,24031534400
2003-05-09,24600702320
2003-05-12,24600702320
2003-05-13,24806235180
2003-05-14,24379359240
2003-05-15,23905052640
2003-05-16,23952483300
2003-05-19,23936673080
2003-05-20,24474220560
2003-05-21,24806235180
2003-05-22,24790424960
2003-05-23,24426789900
2003-05-27,25122439580
2003-05-28,24822045400
2003-05-29,25818089259
2003-05-30,26513738940
2003-06-02,26371446960
2003-06-03,27414921480
2003-06-04,27430731700
2003-06-05,27588833900
2003-06-06,26513738940
2003-06-09,26244965200
2003-06-10,26592790040
2003-06-11,26576979819
2003-06-12,26561169600
2003-06-13,26086863000
2003-06-16,26624410480
2003-06-17,26687651360
2003-06-18,28221242700
2003-06-19,29185666120
2003-06-20,28822031060
2003-06-23,28458396000
2003-06-24,28316104020
2003-06-25,27920848520
2003-06-26,28790410620
2003-06-27,28458396000
2003-06-30,28410965340
2003-07-01,28490016440
2003-07-02,29833885140
2003-07-03,29612542060
2003-07-07,31525578680
2003-07-08,31225184500
2003-07-09,30908980100
2003-07-10,30165899759
2003-07-11,30545345040
2003-07-14,30324001960
2003-07-15,29881315799
2003-07-16,29501870520
2003-07-17,28221242700
2003-07-18,28063140500
2003-07-21,27667885000
2003-07-22,28648118640
2003-07-23,28663928860
2003-07-24,29422819420
2003-07-25,29928746460
2003-07-28,30529534819
2003-07-29,30150089540
2003-07-30,29517680740
2003-07-31,29628352279
2003-08-01,28853651500
2003-08-04,29549301180
2003-08-05,28474206220
2003-08-06,28837841279
2003-08-07,28774600400
2003-08-08,27952468960
2003-08-11,28363534680
2003-08-12,29059184360
2003-08-13,29912936240
2003-08-14,30339812180
2003-08-15,30324001960
2003-08-18,30924790319
2003-08-19,30576965480
2003-08-20,30545345040
2003-08-21,30545345040
2003-08-22,30719257460
2003-08-25,30814118779
2003-08-26,31304235600
2003-08-27,32410951000
2003-08-28,32395140779
2003-08-29,32679724740
2003-09-02,32584863420
2003-09-03,31905023960
2003-09-04,32490002100
2003-09-05,32584863420
2003-09-08,33580907279
2003-09-09,33059170020
2003-09-10,32110556819
2003-09-11,32410951000
2003-09-12,33849681020
2003-09-15,34355608060
2003-09-16,35493943900
2003-09-17,34972206640
2003-09-18,36157973140
2003-09-19,35620425660
2003-09-22,35272600820
2003-09-23,35399082580
2003-09-24,34403038720
2003-09-25,33912921900
2003-09-26,32916878040
2003-09-29,34693670000
2003-09-30,33364840000
2003-10-01,33909180000
2003-10-02,34421500000
2003-10-03,35222000000
2003-10-06,35157960000
2003-10-07,35029880000
2003-10-08,34629630000
2003-10-09,34949830000
2003-10-10,35478160000
2003-10-13,35958460000
2003-10-14,35702300000
2003-10-15,35318060000
2003-10-16,35926440000
2003-10-17,34629630000
2003-10-20,35622250000
2003-10-21,36294670000
2003-10-22,35222000000
2003-10-23,35125940000
2003-10-24,35382100000
2003-10-27,35414120000
2003-10-28,37623500000
2003-10-29,38039760000
2003-10-30,38440010000
2003-10-31,38023750000
2003-11-03,38632130000
2003-11-04,37879660000
2003-11-05,37303300000
2003-11-06,37351330000
2003-11-07,38456020000
2003-11-10,37399360000
2003-11-11,37159210000
2003-11-12,38279910000
2003-11-13,38183850000
2003-11-14,37943700000
2003-11-17,37399360000
2003-11-18,36358710000
2003-11-19,36855020000
2003-11-20,35846390000
2003-11-21,35157960000
2003-11-24,36182600000
2003-11-25,36486790000
2003-11-26,35590230000
2003-11-28,35670280000
2003-12-01,36502800000
2003-12-02,35942450000
2003-12-03,35606240000
2003-12-04,39304550000
2003-12-05,39608740000
2003-12-08,39400610000
2003-12-09,38776220000
2003-12-10,39032380000
2003-12-11,40137070000
2003-12-12,40825500000
2003-12-15,40089040000
2003-12-16,39848890000
2003-12-17,39480660000
2003-12-18,41209740000
2003-12-19,40857520000
2003-12-22,41834130000
2003-12-23,42842760000
2003-12-24,42298420000
2003-12-26,42458520000
2003-12-29,44212330000
2003-12-30,43857470000
2003-12-31,43486480000
2004-01-02,43244530000
2004-01-05,44163940000
2004-01-06,43744560000
2004-01-07,44970440000
2004-01-08,47551240000
2004-01-09,47567370000
2004-01-12,48470650000
2004-01-13,47938360000
2004-01-14,48486780000
2004-01-15,48325480000
2004-01-16,48131920000
2004-01-20,47486720000
2004-01-21,47406070000
2004-01-22,46067280000
2004-01-23,45905980000
2004-01-26,47147990000
2004-01-27,46051150000
2004-01-28,45615640000
2004-01-29,46406010000
2004-01-30,47277030000
2004-02-02,46422140000
2004-02-03,46325360000
2004-02-04,45486600000
2004-02-05,45857590000
2004-02-06,46535050000
2004-02-09,46099540000
2004-02-10,46857650000
2004-02-11,47889970000
2004-02-12,47277030000
2004-02-13,46535050000
2004-02-17,48035140000
2004-02-18,47631890000
2004-02-19,47406070000
2004-02-20,47906100000
2004-02-23,50341730000
2004-02-24,49261020000
2004-02-25,50067520000
2004-02-26,51374050000
2004-02-27,50890150000
2004-03-01,50615940000
2004-03-02,50003000000
2004-03-03,49809440000
2004-03-04,50470770000
2004-03-05,51519220000
2004-03-08,51309530000
2004-03-09,51422440000
2004-03-10,51212750000
2004-03-11,49825570000
2004-03-12,50825630000
2004-03-15,50664330000
2004-03-16,51728910000
2004-03-17,52196680000
2004-03-18,52293460000
2004-03-19,51906340000
2004-03-22,50261080000
2004-03-23,49680400000
2004-03-24,50180430000
2004-03-25,50744980000
2004-03-26,49809440000
2004-03-29,53210076840
2004-03-30,53177641560
2004-03-31,53745258960
2004-04-01,53745258960
2004-04-02,55334587679
2004-04-05,56113034400
2004-04-06,55399458239
2004-04-07,55512981719
2004-04-08,54637229160
2004-04-12,55269717120
2004-04-13,54442617480
2004-04-14,54604793880
2004-04-15,53550647280
2004-04-16,52593806520
2004-04-19,54004741199
2004-04-20,52237018440
2004-04-21,53388470880
2004-04-22,55042670160
2004-04-23,54312876360
2004-04-26,53631735480
2004-04-27,53372253239
2004-04-28,52804635840
2004-04-29,52237018440
2004-04-30,50647689720
2004-05-03,51880230360
2004-05-04,52415412480
2004-05-05,52707330000
2004-05-06,51831577440
2004-05-07,51296395320
2004-05-10,51604530480
2004-05-11,52480283040
2004-05-12,51815359800
2004-05-13,52285671360
2004-05-14,51604530480
2004-05-17,50728777920
2004-05-18,51912665640
2004-05-19,51539659920
2004-05-20,52058624400
2004-05-21,53031682800
2004-05-24,53161423920
2004-05-25,54248005800
2004-05-26,53988523560
2004-05-27,54166917600
2004-05-28,54393964560
2004-06-01,55188628920
2004-06-02,55123758360
2004-06-03,54848058480
2004-06-04,54556140960
2004-06-07,55691375760
2004-06-08,56242775520
2004-06-09,55512981719
2004-06-10,56648216520
2004-06-14,55723811040
2004-06-15,56275210800
2004-06-16,55756246320
2004-06-17,55350805320
2004-06-18,53923653000
2004-06-21,53112771000
2004-06-22,55107540719
2004-06-23,55058887800
2004-06-24,55691375760
2004-06-25,56015728560
2004-06-28,55691375760
2004-06-29,58026715920
2004-06-30,59178168360
2004-07-01,58432156920
2004-07-02,58610550960
2004-07-06,57232051560
2004-07-07,57961845360
2004-07-08,57280704480
2004-07-09,57215833920
2004-07-12,56323863719
2004-07-13,56988786960
2004-07-14,56469822480
2004-07-15,55853552160
2004-07-16,55367022960
2004-07-19,55285934760
2004-07-20,56388734280
2004-07-21,54880493760
2004-07-22,58788945000
2004-07-23,57491533800
2004-07-26,57167181000
2004-07-27,57102310440
2004-07-28,56810392920
2004-07-29,56761740000
2004-07-30,56129252040
2004-08-02,58432156920
2004-08-03,57556404360
2004-08-04,57799668960
2004-08-05,56567128320
2004-08-06,54783187920
2004-08-09,55658940480
2004-08-10,56502257760
2004-08-11,55561634640
2004-08-12,56096816760
2004-08-13,56096816760
2004-08-16,56631998880
2004-08-17,56696869440
2004-08-18,58415939280
2004-08-19,57588839640
2004-08-20,60329620800
2004-08-23,61578379080
