,DOW
2019-08-12,33801462000
2019-08-13,34659630000
2019-08-14,32610384000
2019-08-15,32092524000
2019-08-16,32928498000
2019-08-19,33734880000
2019-08-20,31929767999
2019-08-21,32018544000
2019-08-22,31108589999
2019-08-23,30117258000
2019-08-26,30198636000
2019-08-27,30457566000
2019-08-28,31456296000
2019-08-29,31345326000
2019-08-30,31537674000
2019-09-03,30923639999
2019-09-04,31471092000
2019-09-05,32077728000
2019-09-06,31988952000
2019-09-09,32884110000
2019-09-10,34267536000
2019-09-11,34681824000
2019-09-12,34748406000
2019-09-13,35658360000
2019-09-16,36257598000
2019-09-17,35510400000
2019-09-18,35147898000
2019-09-19,35244072000
2019-09-20,35665758000
2019-09-23,35443818000
2019-09-24,34474680000
2019-09-25,35273664000
2019-09-26,34940754000
2019-09-27,34822386000
2019-09-30,35265765000
2019-10-01,34022397000
2019-10-02,33252693000
2019-10-03,33533931000
2019-10-04,33556134000
2019-10-07,33430317000
2019-10-08,32453385000
2019-10-09,32571801000
2019-10-10,33245292000
2019-10-11,34880913000
2019-10-14,34651482000
2019-10-15,34932720000
2019-10-16,34873512000
2019-10-17,35384181000
2019-10-18,35495196000
2019-10-21,34873512000
2019-10-22,34651482000
2019-10-23,34954923000
2019-10-24,36612747000
2019-10-25,37360248000
2019-10-28,37900521000
2019-10-29,38107749000
2019-10-30,37767303000
2019-10-31,37367649000
2019-11-01,38714631000
2019-11-04,40091217000
2019-11-05,40113420000
2019-11-06,40172628000
2019-11-07,41297580000
2019-11-08,41438199000
2019-11-11,41304981000
2019-11-12,40823916000
2019-11-13,39713766000
2019-11-14,39928395000
2019-11-15,40601886000
2019-11-18,40202232000
2019-11-19,39513939000
2019-11-20,38981067000
2019-11-21,39876588000
2019-11-22,40113420000
2019-11-25,40853520000
2019-11-26,40979337000
2019-11-27,40172628000
2019-11-29,39499137000
2019-12-02,39343716000
2019-12-03,38351982000
2019-12-04,38692428000
2019-12-05,38485200000
2019-12-06,39388122000
2019-12-09,39425127000
2019-12-10,39321513000
2019-12-11,39299310000
2019-12-12,40298445000
2019-12-13,39432528000
2019-12-16,40091217000
2019-12-17,40453866000
2019-12-18,40150425000
2019-12-19,40350252000
2019-12-20,40416861000
2019-12-23,40653693000
2019-12-24,40631490000
2019-12-26,40868322000
2019-12-27,40579683000
2019-12-30,40217034000
2019-12-31,40511146000
2020-01-02,39785750000
2020-01-03,38801284000
2020-01-06,38645842000
2020-01-07,38631038000
2020-01-08,39030746000
2020-01-09,38631038000
2020-01-10,38120300000
2020-01-13,38749470000
2020-01-14,38668048000
2020-01-15,38690254000
2020-01-16,38845696000
2020-01-17,39482268000
2020-01-21,38934520000
2020-01-22,37653974000
2020-01-23,37195050000
2020-01-24,35892298000
2020-01-27,34922636000
2020-01-28,34907832000
2020-01-29,36765734000
2020-01-30,35877494000
2020-01-31,34101014000
2020-02-03,34596948000
2020-02-04,35566610000
2020-02-05,36721322000
2020-02-06,36417840000
2020-02-07,35551806000
2020-02-10,35670238000
2020-02-11,36114358000
2020-02-12,36551076000
2020-02-13,35751660000
2020-02-14,35995926000
2020-02-18,35337148000
2020-02-19,35203912000
2020-02-20,36092152000
2020-02-21,35751660000
2020-02-24,34226848000
2020-02-25,32531790000
2020-02-26,31865609999
2020-02-27,29274909999
2020-02-28,29911481999
2020-03-02,30659084000
2020-03-03,30022512000
2020-03-04,31021781999
2020-03-05,29682020000
2020-03-06,28845594000
2020-03-09,22598306000
2020-03-10,23242280000
2020-03-11,20718198000
2020-03-12,17520534000
2020-03-13,19015738000
2020-03-16,16284400000
2020-03-17,19689320000
2020-03-18,19570888000
2020-03-19,20814424000
2020-03-20,20311088000
2020-03-23,19674516000
2020-03-24,21073494000
2020-03-25,22487276000
2020-03-26,21969136000
2020-03-27,21140112000
2020-03-30,21206730000
2020-03-31,21411225791
2020-04-01,19800258050
2020-04-02,20525193533
2020-04-03,20481258050
2020-04-06,22363161274
2020-04-07,23673903209
2020-04-08,25475258046
2020-04-09,26771354819
2020-04-13,25797451594
2020-04-14,25899967723
2020-04-15,23600677402
2020-04-16,23161322564
2020-04-17,24472064498
2020-04-20,23088096757
2020-04-21,22612129016
2020-04-22,23315096757
2020-04-23,23842322563
2020-04-24,24252387079
2020-04-27,25218967724
2020-04-28,26266096755
2020-04-29,27437709658
2020-04-30,26866548368
2020-05-01,24845516111
2020-05-04,24208451595
2020-05-05,24435451595
2020-05-06,23402967725
2020-05-07,24054677402
2020-05-08,25138419337
2020-05-11,24823548369
2020-05-12,24742999982
2020-05-13,23688548370
2020-05-14,24537967724
2020-05-15,24574580627
2020-05-18,26903161271
2020-05-19,26097677400
2020-05-20,26493096755
2020-05-21,26229483852
2020-05-22,26449161271
2020-05-26,28404290302
2020-05-27,29158516108
2020-05-28,28345709657
2020-05-29,28265161270
2020-06-01,28272483851
2020-06-02,29729677398
2020-06-03,30483903204
2020-06-04,31274741913
2020-06-05,32197387074
2020-06-08,33610645137
2020-06-09,32519580622
2020-06-10,31911806429
2020-06-11,28748451592
2020-06-12,30190999978
2020-06-15,30740193526
2020-06-16,30937903204
2020-06-17,30147064494
2020-06-18,30447290301
2020-06-19,30498548365
2020-06-22,30564451591
2020-06-23,30278870946
2020-06-24,28155322560
2020-06-25,29275677398
2020-06-26,29143870947
2020-06-29,30007935462
2020-06-30,30182780000
2020-07-01,30175375000
2020-07-02,30797395000
2020-07-06,31434225000
2020-07-07,30871445000
2020-07-08,29879175000
2020-07-09,29205320000
2020-07-10,30182780000
2020-07-13,30538220000
2020-07-14,31426820000
2020-07-15,32085865000
2020-07-16,32456115000
2020-07-17,32337635000
2020-07-20,31323149999
2020-07-21,31871120000
2020-07-22,32833770000
2020-07-23,31708210000
2020-07-24,31552705000
2020-07-27,32582000000
2020-07-28,31560110000
2020-07-29,32226560000
2020-07-30,30901064999
2020-07-31,30404930000
2020-08-03,29686645000
2020-08-04,30597460000
2020-08-05,31093595000
2020-08-06,31138024999
2020-08-07,31567515000
2020-08-10,33174399999
2020-08-11,32952250000
2020-08-12,32789340000
2020-08-13,32900415000
2020-08-14,33226235000
2020-08-17,32922630000
2020-08-18,33107755000
2020-08-19,33055920000
2020-08-20,32352445000
2020-08-21,32278395000
2020-08-24,34151860000
2020-08-25,33759395000
2020-08-26,34314770000
2020-08-27,34181479999
2020-08-28,34100024999
2020-08-31,33411360000
2020-09-01,35003435000
2020-09-02,36447410000
2020-09-03,35832795000
2020-09-04,35988300000
2020-09-08,35492165000
2020-09-09,36454815000
2020-09-10,36062350000
2020-09-11,36913925000
2020-09-14,37091645000
2020-09-15,37817335000
2020-09-16,36802850000
2020-09-17,37743285000
2020-09-18,37298985000
2020-09-21,35477355000
2020-09-22,35395900000
2020-09-23,34610970000
2020-09-24,34366605000
2020-09-25,34092620000
2020-09-28,35158940000
2020-09-29,34485085000
2020-09-30,34915805000
2020-10-01,34218231000
2020-10-02,35108751000
2020-10-05,36051218000
2020-10-06,35531748000
2020-10-07,35843430000
2020-10-08,36644898000
2020-10-09,36630056000
2020-10-12,36051218000
2020-10-13,35531748000
2020-10-14,36236743000
2020-10-15,36370321000
2020-10-16,36585530000
2020-10-19,36244164000
2020-10-20,36615214000
2020-10-21,36028955000
2020-10-22,36229322000
2020-10-23,36014113000
2020-10-26,34990015000
2020-10-27,34559597000
2020-10-28,33528078000
2020-10-29,34322125000
2020-10-30,33758129000
2020-11-02,35487222000
2020-11-03,36162533000
2020-11-04,34470545000
2020-11-05,36340637000
2020-11-06,35791483000
2020-11-09,38678252000
2020-11-10,39672666000
2020-11-11,38745041000
2020-11-12,37876784000
2020-11-13,38566937000
2020-11-16,40021453000
2020-11-17,40429608000
2020-11-18,41038130000
2020-11-19,41067814000
2020-11-20,40615133000
2020-11-23,41513074000
2020-11-24,42841433000
2020-11-25,41876703000
2020-11-27,41112340000
2020-11-30,39338721000
2020-12-01,39724613000
2020-12-02,39479720000
2020-12-03,39776560000
2020-12-04,40852605000
2020-12-07,39487141000
2020-12-08,40481555000
2020-12-09,40563186000
2020-12-10,40392503000
2020-12-11,40073400000
2020-12-14,39375826000
2020-12-15,40169873000
2020-12-16,39947243000
2020-12-17,39947243000
2020-12-18,41305286000
2020-12-21,40874868000
2020-12-22,40570607000
2020-12-23,40629975000
2020-12-24,40659659000
2020-12-28,40288609000
2020-12-29,40318293000
2020-12-30,41164287000
2020-12-31,41336400000
2021-01-04,40248992000
2021-01-05,41559840000
2021-01-06,43518664000
2021-01-07,43578248000
2021-01-08,43354808000
2021-01-11,43838928000
2021-01-12,45462592000
2021-01-13,44710344000
2021-01-14,44427320000
2021-01-15,42684488000
2021-01-19,42863240000
2021-01-20,43622936000
2021-01-21,42870688000
2021-01-22,42826000000
2021-01-25,42624904000
2021-01-26,41515152000
2021-01-27,40509672000
2021-01-28,40502224000
2021-01-29,38655120000
2021-02-01,39288200000
2021-02-02,40673528000
2021-02-03,41224680000
2021-02-04,41962032000
2021-02-05,42632352000
2021-02-08,42714280000
2021-02-09,42155680000
2021-02-10,42952616000
2021-02-11,42952616000
2021-02-12,43310120000
2021-02-16,43757000000
2021-02-17,43600592000
2021-02-18,42870688000
2021-02-19,44978472000
2021-02-22,46535104000
2021-02-23,46266976000
2021-02-24,47436312000
2021-02-25,45693480000
2021-02-26,44174088000
2021-03-01,45834992000
2021-03-02,46721304000
2021-03-03,46363800000
2021-03-04,45581760000
2021-03-05,46855368000
2021-03-08,47250112000
2021-03-09,46371248000
2021-03-10,47734232000
2021-03-11,47905535999
2021-03-12,47920432000
2021-03-15,46847920000
2021-03-16,47056464000
2021-03-17,49164248000
2021-03-18,48203456000
2021-03-19,47600168000
2021-03-22,47302248000
2021-03-23,45246600000
2021-03-24,46207392000
2021-03-25,47101152000
2021-03-26,47659752000
2021-03-29,47592720000
2021-03-30,48121528000
2021-03-31,47763180000
2021-04-01,48256199999
2021-04-05,48248730000
2021-04-06,48256199999
2021-04-07,47800530000
2021-04-08,47202930000
2021-04-09,47165580000
2021-04-12,47651130000
2021-04-13,47292570000
2021-04-14,47987279999
2021-04-15,48233789999
2021-04-16,48315960000
2021-04-19,48218850000
2021-04-20,46672560000
2021-04-21,48420539999
2021-04-22,45514710000
2021-04-23,46396170000
2021-04-26,46463400000
2021-04-27,46799550000
2021-04-28,47292570000
2021-04-29,47852820000
2021-04-30,46687500000
2021-05-03,48218850000
2021-05-04,49466340000
2021-05-05,50848289999
2021-05-06,51572880000
2021-05-07,51572880000
2021-05-10,51341310000
2021-05-11,51221789999
2021-05-12,50497199999
2021-05-13,50855760000
2021-05-14,52163010000
2021-05-17,52969770000
2021-05-18,51938910000
2021-05-19,51206850000
2021-05-20,50990220000
2021-05-21,51416010000
2021-05-24,51953850000
2021-05-25,51572880000
2021-05-26,51968789999
2021-05-27,51289020000
2021-05-28,51109740000
2021-06-01,52596270000
2021-06-02,51505650000
2021-06-03,52745670000
2021-06-04,52566390000
2021-06-07,51722279999
2021-06-08,51826860000
2021-06-09,51423480000
2021-06-10,50788529999
2021-06-11,50796000000
2021-06-14,50019119999
2021-06-15,50213340000
2021-06-16,48995730000
2021-06-17,47464380000
2021-06-18,46299060000
2021-06-21,47143170000
2021-06-22,47434500000
2021-06-23,47173050000
2021-06-24,47143170000
2021-06-25,47277630000
2021-06-28,46986300000
2021-06-29,47046060000
2021-06-30,47111960000
2021-07-01,47275750000
2021-07-02,47283195000
2021-07-06,46106885000
2021-07-07,46345125000
2021-07-08,45719745000
2021-07-09,46963060000
2021-07-12,47067290000
2021-07-13,46680150000
2021-07-14,46397240000
2021-07-15,46091995000
2021-07-16,44677445000
2021-07-19,43024655000
2021-07-20,43642590000
2021-07-21,44468985000
2021-07-22,45027360000
2021-07-23,44751895000
2021-07-26,46166445000
2021-07-27,46121775000
2021-07-28,46062215000
2021-07-29,46605700000
2021-07-30,46278120000
2021-08-02,45578290000
2021-08-03,46330235000
2021-08-04,45407055000
2021-08-05,45414500000
2021-08-06,46159000000
2021-08-09,46024990000
2021-08-10,46992840000
2021-08-11,47826680000
2021-08-12,47655445000
2021-08-13,47417205000
2021-08-16,47141740000
2021-08-17,46389795000
2021-08-18,46069660000
2021-08-19,45079475000
2021-08-20,45332605000
2021-08-23,46203670000
2021-08-24,47097070000
2021-08-25,47551215000
2021-08-26,47387425000
2021-08-27,48675410000
2021-08-30,47633110000
2021-08-31,46829050000
2021-09-01,46561030000
2021-09-02,46620590000
2021-09-03,46248340000
2021-09-07,46062215000
2021-09-08,45183705000
2021-09-09,44878460000
2021-09-10,44975245000
2021-09-13,45206040000
2021-09-14,44409425000
2021-09-15,44818900000
2021-09-16,44275415000
2021-09-17,42994875000
2021-09-20,41826010000
2021-09-21,41342085000
2021-09-22,41915350000
2021-09-23,42756635000
2021-09-24,42295045000
2021-09-27,44439205000
2021-09-28,44267970000
2021-09-29,43791490000
2021-09-30,42485036000
2021-10-01,43237898000
2021-10-04,42986944000
2021-10-05,43621710000
2021-10-06,42189796000
2021-10-07,43186231000
2021-10-08,43333851000
2021-10-11,42979563000
2021-10-12,42617894000
2021-10-13,42005271000
2021-10-14,43355994000
2021-10-15,43518376000
2021-10-18,43510995000
2021-10-19,43688139000
2021-10-20,44204809000
2021-10-21,43739806000
2021-10-22,43105040000
2021-10-25,43333851000
2021-10-26,43333851000
2021-10-27,41333600000
2021-10-28,41754317000
2021-10-29,41311457000
2021-11-01,42396464000
2021-11-02,43156707000
2021-11-03,43584805000
2021-11-04,42197177000
2021-11-05,43038611000
2021-11-08,43230517000
2021-11-09,43392899000
2021-11-10,43370756000
2021-11-11,44049808000
2021-11-12,44330286000
2021-11-15,44226952000
2021-11-16,43444566000
2021-11-17,43060754000
2021-11-18,42795038000
2021-11-19,42322654000
2021-11-22,43392899000
2021-11-23,43680758000
2021-11-24,43274803000
2021-11-26,42514560000
2021-11-29,41968366000
2021-11-30,40543833000
2021-12-01,38942156000
2021-12-02,39252158000
2021-12-03,39170967000
2021-12-06,39768828000
2021-12-07,40492166000
2021-12-08,40529071000
2021-12-09,40145259000
2021-12-10,40359308000
2021-12-13,39355492000
2021-12-14,39768828000
2021-12-15,39886924000
2021-12-16,40300260000
2021-12-17,39931210000
2021-12-20,39495731000
2021-12-21,40005020000
2021-12-22,40027163000
2021-12-23,40698834000
2021-12-27,41237647000
2021-12-28,41798603000
2021-12-29,42115986000
2021-12-30,41909318000
2021-12-31,41666512000
2022-01-03,41776702000
2022-01-04,42907986000
2022-01-05,42863910000
2022-01-06,42783104000
2022-01-07,43414860000
2022-01-10,42900640000
2022-01-11,43473628000
2022-01-12,43532396000
2022-01-13,44031924000
2022-01-14,44619604000
2022-01-18,44222920000
2022-01-19,43958464000
2022-01-20,42467226000
2022-01-21,41666512000
2022-01-24,41593052000
2022-01-25,42004428000
2022-01-26,42033812000
2022-01-27,44208228000
2022-01-28,44105384000
2022-01-31,43877658000
2022-02-01,45405626000
2022-02-02,45295436000
2022-02-03,44964866000
2022-02-04,44516760000
2022-02-07,44009886000
2022-02-08,44876714000
2022-02-09,45537854000
2022-02-10,44773870000
2022-02-11,44876714000
2022-02-14,44685718000
2022-02-15,45442356000
2022-02-16,45603968000
2022-02-17,44935482000
2022-02-18,44509414000
2022-02-22,44296380000
2022-02-23,44053962000
2022-02-24,43135712000
2022-02-25,43818890000
2022-02-28,43312016000
2022-03-01,41967698000
2022-03-02,43488320000
2022-03-03,43833582000
2022-03-04,43216518000
2022-03-07,42592108000
2022-03-08,42489264000
2022-03-09,43929080000
2022-03-10,44538798000
2022-03-11,44744486000
2022-03-14,44281688000
2022-03-15,43245902000
2022-03-16,43811544000
2022-03-17,46162264000
2022-03-18,45831694000
2022-03-21,46529564000
2022-03-22,46683830000
2022-03-23,46500180000
2022-03-24,47080514000
2022-03-25,47528620000
2022-03-28,47095206000
2022-03-29,47153974000
2022-03-30,47205396000
2022-03-31,46241604000
2022-04-01,46575426000
2022-04-04,46452057000
2022-04-05,46074693000
2022-04-06,44753919000
2022-04-07,44449125000
2022-04-08,44761176000
2022-04-11,44957115000
2022-04-12,45907782000
2022-04-13,46560912000
2022-04-14,47526093000
2022-04-18,47809116000
2022-04-19,48658185000
2022-04-20,49013778000
2022-04-21,50443407000
2022-04-22,49710450000
2022-04-25,49398398999
2022-04-26,48890409000
2022-04-27,48948465000
2022-04-28,49209717000
2022-04-29,48259050000
2022-05-02,48665442000
2022-05-03,49456455000
2022-05-04,51241677000
2022-05-05,49688679000
2022-05-06,49296801000
2022-05-09,48353391000
2022-05-10,47758317000
2022-05-11,48469503000
2022-05-12,48650928000
2022-05-13,49028292000
2022-05-16,49333086000
2022-05-17,50777229000
2022-05-18,50007987000
2022-05-19,49899132000
2022-05-20,49427427000
2022-05-23,48977493000
2022-05-24,48672698999
2022-05-25,48839610000
2022-05-26,49231488000
2022-05-27,50116842000
2022-05-31,49333086000
2022-06-01,49427427000
2022-06-02,49420169999
2022-06-03,48643671000
2022-06-06,48672698999
2022-06-07,48890409000
2022-06-08,48796068000
2022-06-09,47794602000
2022-06-10,44899059000
2022-06-13,42584076000
2022-06-14,42496992000
2022-06-15,41662437000
2022-06-16,40218294000
2022-06-17,39746589000
2022-06-21,39877215000
2022-06-22,37983138000
2022-06-23,37054242000
2022-06-24,38563698000
2022-06-27,37896054000
2022-06-28,38121021000
2022-06-29,37721886000
2022-06-30,36865023000
2022-07-01,36922167000
2022-07-05,36236439000
2022-07-06,36557874000
2022-07-07,37343604000
2022-07-08,36700734000
2022-07-11,36436443000
2022-07-12,36015006000
2022-07-13,35479281000
2022-07-14,34929270000
2022-07-15,35393565000
2022-07-18,36050721000
2022-07-19,37465035000
2022-07-20,37536465000
2022-07-21,36715020000
2022-07-22,36322155000
2022-07-25,36843594000
2022-07-26,36643590000
2022-07-27,37315032000
2022-07-28,37357890000
2022-07-29,38007903000
2022-08-01,37472178000
2022-08-02,36822165000
2022-08-03,36779307000
2022-08-04,36422157000
2022-08-05,36779307000
2022-08-08,37250745000
2022-08-09,37657896000
2022-08-10,38600772000
2022-08-11,39472218000
2022-08-12,39950799000
2022-08-15,39529362000
2022-08-16,40079373000
2022-08-17,39615078000
2022-08-18,40015086000
2022-08-19,39636507000
2022-08-22,38865063000
2022-08-23,39729366000
2022-08-24,38743632000
2022-08-25,39829368000
2022-08-26,38900778000
2022-08-29,38265051000
2022-08-30,36700734000
2022-08-31,36429300000
2022-09-01,35686428000
2022-09-02,35222133000
2022-09-06,34707837000
2022-09-07,34979271000
2022-09-08,35286420000
2022-09-09,36079293000
2022-09-12,36379299000
2022-09-13,34193541000
2022-09-14,33622101000
2022-09-15,33507812999
2022-09-16,33157806000
2022-09-19,33386382000
2022-09-20,32922087000
2022-09-21,32129213999
2022-09-22,31979211000
2022-09-23,31357770000
2022-09-26,30993477000
2022-09-27,31279197000
2022-09-28,32179214999
2022-09-29,31543487999
2022-09-30,31155156000
2022-10-03,32112576000
2022-10-04,33062904000
2022-10-05,32665752000
2022-10-06,32282784000
2022-10-07,31495571999
2022-10-10,31828896000
2022-10-11,31169340000
2022-10-12,31070052000
2022-10-13,32566464000
2022-10-14,31999104000
2022-10-17,32098392000
2022-10-18,32892696000
2022-10-19,32006196000
2022-10-20,31864356000
2022-10-21,33240204000
2022-10-24,33360768000
2022-10-25,33935220000
2022-10-26,34034508000
2022-10-27,33772104000
2022-10-28,33672815999
2022-10-31,33148008000
2022-11-01,33282756000
2022-11-02,33282756000
2022-11-03,32970708000
2022-11-04,34772076000
2022-11-07,35105400000
2022-11-08,35211780000
2022-11-09,33814656000
2022-11-10,35431632000
2022-11-11,37686888000
2022-11-14,36842940000
2022-11-15,36594720000
2022-11-16,35821692000
2022-11-17,35552196000
2022-11-18,35509644000
2022-11-21,35580564000
2022-11-22,36573444000
2022-11-23,36559260000
2022-11-25,36566352000
2022-11-28,35601840000
2022-11-29,35920980000
2022-11-30,36147924000
2022-12-01,36218844000
2022-12-02,36559260000
2022-12-05,36346500000
2022-12-06,36204660000
2022-12-07,35956440000
2022-12-08,35857152000
2022-12-09,35601840000
2022-12-12,36247212000
2022-12-13,36566352000
2022-12-14,36424512000
2022-12-15,35126676000
2022-12-16,35318160000
2022-12-19,34984836000
2022-12-20,35218872000
2022-12-21,35935164000
2022-12-22,35580564000
2022-12-23,36069912000
2022-12-27,36303948000
2022-12-28,35452908000
2022-12-29,35920980000
2022-12-30,35736588000
2023-01-03,36146528000
2023-01-04,37060106000
2023-01-05,37470862000
2023-01-06,38965164000
2023-01-09,39149296000
2023-01-10,39992054000
2023-01-11,40778156000
2023-01-12,41443864000
2023-01-13,41557176000
2023-01-17,40650680000
2023-01-18,40254088000
2023-01-19,40084120000
2023-01-20,40679008000
2023-01-23,41103928000
2023-01-24,41217240000
2023-01-25,40997698000
2023-01-26,41160584000
2023-01-27,41762554000
2023-01-30,41040190000
2023-01-31,42031670000
2023-02-01,42647804000
2023-02-02,42456590000
2023-02-03,42492000000
2023-02-06,42555738000
2023-02-07,42853182000
2023-02-08,42357442000
2023-02-09,41840456000
2023-02-10,42364524000
2023-02-13,42718624000
2023-02-14,42322032000
2023-02-15,42322032000
2023-02-16,41557176000
2023-02-17,41167666000
2023-02-21,40254088000
2023-02-22,40374482000
2023-02-23,40501958000
2023-02-24,40926878000
2023-02-27,40360318000
2023-02-28,40509040000
2023-03-01,41089764000
2023-03-02,41387208000
2023-03-03,41302224000
2023-03-06,40445302000
2023-03-07,39517560000
2023-03-08,39843332000
2023-03-09,39021820000
2023-03-10,38157816000
2023-03-13,37109680000
2023-03-14,37031778000
2023-03-15,35749936000
2023-03-16,36054462000
2023-03-17,35424164000
2023-03-20,36302332000
2023-03-21,36868892000
2023-03-22,36387316000
2023-03-23,36578530000
2023-03-24,36670596000
2023-03-27,36826400000
2023-03-28,37470862000
2023-03-29,37959520000
2023-03-30,38242800000
2023-03-31,38757740000
2023-04-03,39118310000
2023-04-04,38361820000
2023-04-05,38630480000
2023-04-06,38644620000
2023-04-10,39457670000
2023-04-11,39726330000
2023-04-12,40221230000
2023-04-13,40242440000
2023-04-14,39945500000
2023-04-17,40228300000
2023-04-18,40143460000
2023-04-19,39903080000
2023-04-20,39379900000
2023-04-21,38793090000
2023-04-24,39160730000
2023-04-25,37117500000
2023-04-26,37174060000
2023-04-27,37824500000
2023-04-28,38460800000
2023-05-01,38255770000
2023-05-02,38022460000
2023-05-03,37471000000
2023-05-04,37725520000
2023-05-05,38467870000
2023-05-08,38284050000
2023-05-09,37944690000
2023-05-10,37789150000
2023-05-11,37004380000
2023-05-12,36983170000
2023-05-15,36947820000
2023-05-16,36099420000
2023-05-17,36396360000
2023-05-18,36672090000
2023-05-19,36728650000
2023-05-22,36601390000
2023-05-23,36735720000
2023-05-24,36283240000
2023-05-25,35611590000
2023-05-26,35590380000
2023-05-30,34996500000
2023-05-31,34487460000
2023-06-01,34643000000
2023-06-02,36488270000
2023-06-05,36410500000
2023-06-06,37181130000
2023-06-07,38086090000
2023-06-08,37315460000
2023-06-09,36580180000
2023-06-12,36622600000
2023-06-13,37569980000
2023-06-14,37336670000
2023-06-15,37810360000
2023-06-16,37584120000
2023-06-20,36707440000
2023-06-21,36679160000
2023-06-22,36332730000
2023-06-23,36311520000
2023-06-26,36728650000
2023-06-27,37166990000
2023-06-28,37442720000
2023-06-29,37640680000
2023-06-30,37495040000
2023-07-03,37861120000
2023-07-05,37199360000
2023-07-06,37150080000
2023-07-07,37382400000
2023-07-10,37502080000
2023-07-11,37607680000
2023-07-12,38093440000
2023-07-13,38163840000
2023-07-14,37255680000
2023-07-17,36910720000
2023-07-18,37297920000
2023-07-19,37185280000
2023-07-20,37347200000
2023-07-21,37347200000
2023-07-24,36995200000
2023-07-25,37649920000
2023-07-26,37804800000
2023-07-27,38677760000
2023-07-28,39043840000
2023-07-31,39754880000
2023-08-01,39269120000
2023-08-02,38508800000
2023-08-03,38649600000
2023-08-04,38375040000
2023-08-07,39086080000
2023-08-08,38727040000
2023-08-09,39100160000
2023-08-10,39409920000
2023-08-11,39036800000
2023-08-14,38987520000
2023-08-15,37685120000
2023-08-16,37537280000
2023-08-17,37917440000
2023-08-18,38030080000
2023-08-21,38135680000
2023-08-22,37868160000
2023-08-23,37593600000
2023-08-24,37692160000
2023-08-25,38001920000
2023-08-28,38438400000
2023-08-29,38888960000
2023-08-30,38544000000
2023-08-31,38410240000
2023-09-01,38924160000
2023-09-05,38149760000
2023-09-06,38642560000
2023-09-07,38086400000
2023-09-08,37811840000
2023-09-11,37783680000
2023-09-12,37755520000
2023-09-13,37185280000
2023-09-14,38044160000
2023-09-15,37903360000
2023-09-18,37579520000
2023-09-19,37241600000
2023-09-20,36931840000
2023-09-21,35904000000
2023-09-22,35376000000
2023-09-25,35967360000
2023-09-26,35537920000
2023-09-27,35904000000
2023-09-28,35854720000
2023-09-29,36298240000
2023-10-02,36094680000
2023-10-03,35897672000
2023-10-04,35960996000
2023-10-05,35081496000
2023-10-06,35377008000
2023-10-09,35749916000
2023-10-10,36101716000
2023-10-11,35806204000
2023-10-12,35355900000
2023-10-13,34990028000
2023-10-16,35313684000
2023-10-17,35693628000
2023-10-18,35236288000
2023-10-19,34793020000
2023-10-20,34469364000
2023-10-23,33941664000
2023-10-24,34645264000
2023-10-25,33449144000
2023-10-26,33786872000
2023-10-27,33850196000
2023-10-30,34012024000
2023-10-31,34012024000
2023-11-01,33920556000
