,SWN
2001-11-12,282974719
2001-11-13,291038112
2001-11-14,320015933
2001-11-15,306408956
2001-11-16,309684710
2001-11-19,312204520
2001-11-20,308676786
2001-11-21,305149051
2001-11-23,306156975
2001-11-26,304393108
2001-11-27,276927173
2001-11-28,265840007
2001-11-29,277179155
2001-11-30,280958870
2001-12-03,278439060
2001-12-04,284738586
2001-12-05,289778207
2001-12-06,289526226
2001-12-07,289274245
2001-12-10,280958870
2001-12-11,280958870
2001-12-12,272139534
2001-12-13,267855856
2001-12-14,264580102
2001-12-17,260548405
2001-12-18,248201334
2001-12-19,242909732
2001-12-20,251981050
2001-12-21,271887552
2001-12-24,262564254
2001-12-26,266343969
2001-12-27,277179155
2001-12-28,274659344
2001-12-31,265192657
2002-01-02,257542869
2002-01-03,274117410
2002-01-04,277942304
2002-01-07,269017551
2002-01-08,276667339
2002-01-09,288142022
2002-01-10,292221909
2002-01-11,294516845
2002-01-14,294516845
2002-01-15,289161993
2002-01-16,282787170
2002-01-17,286867057
2002-01-18,283042163
2002-01-22,272842445
2002-01-23,277942304
2002-01-24,279472262
2002-01-25,280237241
2002-01-28,278197297
2002-01-29,280237241
2002-01-30,275392375
2002-01-31,293241881
2002-02-01,289416986
2002-02-04,282277184
2002-02-05,280492234
2002-02-06,276157354
2002-02-07,275392375
2002-02-08,276667339
2002-02-11,274117410
2002-02-12,274117410
2002-02-13,280492234
2002-02-14,280492234
2002-02-15,287887029
2002-02-19,289416986
2002-02-20,291966916
2002-02-21,280492234
2002-02-22,286867057
2002-02-25,281767198
2002-02-26,281767198
2002-02-27,284062135
2002-02-28,285592092
2002-03-01,290691951
2002-03-04,279217269
2002-03-05,272842445
2002-03-06,285592092
2002-03-07,285337099
2002-03-08,284062135
2002-03-11,285337099
2002-03-12,283042163
2002-03-13,284827113
2002-03-14,279982248
2002-03-15,279727255
2002-03-18,289926972
2002-03-19,291711923
2002-03-20,294006859
2002-03-21,294516845
2002-03-22,305736535
2002-03-25,302166633
2002-03-26,305991528
2002-03-27,316191245
2002-03-28,320781118
2002-04-01,316372623
2002-04-02,320658149
2002-04-03,317633072
2002-04-04,325952033
2002-04-05,332254277
2002-04-08,346623392
2002-04-09,345615033
2002-04-10,339060700
2002-04-11,341581597
2002-04-12,352925636
2002-04-15,352925636
2002-04-16,352169366
2002-04-17,350152648
2002-04-18,351413097
2002-04-19,352169366
2002-04-22,352925636
2002-04-23,351665187
2002-04-24,350404738
2002-04-25,355446533
2002-04-26,351665187
2002-04-29,359227879
2002-04-30,363009225
2002-05-01,365530123
2002-05-02,365530123
2002-05-03,362757135
2002-05-06,357463251
2002-05-07,357463251
2002-05-08,360488328
2002-05-09,359227879
2002-05-10,360236238
2002-05-13,358975789
2002-05-14,363513405
2002-05-15,368051020
2002-05-16,364017584
2002-05-17,367798930
2002-05-20,369311469
2002-05-21,371076097
2002-05-22,367042661
2002-05-23,369311469
2002-05-24,368051020
2002-05-28,369815648
2002-05-29,369311469
2002-05-30,355446533
2002-05-31,353933994
2002-06-03,337800251
2002-06-04,341581597
2002-06-05,336539802
2002-06-06,325195764
2002-06-07,336035623
2002-06-10,335531443
2002-06-11,333010546
2002-06-12,327716662
2002-06-13,327716662
2002-06-14,330237559
2002-06-17,340573238
2002-06-18,334018905
2002-06-19,333766815
2002-06-20,341581597
2002-06-21,342842046
2002-06-24,339060700
2002-06-25,345362943
2002-06-26,338052341
2002-06-27,360488328
2002-06-28,382924315
2002-07-01,377073108
2002-07-02,341643420
2002-07-03,337847382
2002-07-05,356068364
2002-07-08,340378074
2002-07-09,328736890
2002-07-10,307732147
2002-07-11,302417694
2002-07-12,290776510
2002-07-15,281919088
2002-07-16,273567805
2002-07-17,278123050
2002-07-18,284702850
2002-07-19,272049390
2002-07-22,270784044
2002-07-23,250538508
2002-07-24,272049390
2002-07-25,270784044
2002-07-26,278123050
2002-07-29,279388396
2002-07-30,280653742
2002-07-31,273314736
2002-08-01,275592358
2002-08-02,271796320
2002-08-05,277363843
2002-08-06,278376120
2002-08-07,275845428
2002-08-08,277110774
2002-08-09,277110774
2002-08-12,277110774
2002-08-13,274580082
2002-08-14,297609379
2002-08-15,304948386
2002-08-16,298621656
2002-08-19,303683040
2002-08-20,297356310
2002-08-21,322157091
2002-08-22,326459268
2002-08-23,311781254
2002-08-26,313552738
2002-08-27,302417694
2002-08-28,287486611
2002-08-29,292294926
2002-08-30,289764234
2002-09-03,289005026
2002-09-04,305454524
2002-09-05,286727403
2002-09-06,303936109
2002-09-09,304948386
2002-09-10,313299669
2002-09-11,316083430
2002-09-12,296090964
2002-09-13,314565015
2002-09-16,309503631
2002-09-17,301152348
2002-09-18,311528185
2002-09-19,320132538
2002-09-20,311275116
2002-09-23,308744424
2002-09-24,308238285
2002-09-25,310262839
2002-09-26,315071154
2002-09-27,310009770
2002-09-30,302718960
2002-10-01,308016541
2002-10-02,301457631
2002-10-03,298934973
2002-10-04,301457631
2002-10-07,294394188
2002-10-08,291114733
2002-10-09,286826214
2002-10-10,286321683
2002-10-11,288592075
2002-10-14,283799025
2002-10-15,293889657
2002-10-16,283799025
2002-10-17,292123796
2002-10-18,274212924
2002-10-21,278753709
2002-10-22,287583012
2002-10-23,291366999
2002-10-24,290105670
2002-10-25,296412315
2002-10-28,293889657
2002-10-29,279005974
2002-10-30,287583012
2002-10-31,283546759
2002-11-01,295150986
2002-11-04,299691770
2002-11-05,288087543
2002-11-06,288844341
2002-11-07,283799025
2002-11-08,279510506
2002-11-11,274969722
2002-11-12,276231051
2002-11-13,276987848
2002-11-14,282537696
2002-11-15,283799025
2002-11-18,281780898
2002-11-19,283799025
2002-11-20,284555822
2002-11-21,288844341
2002-11-22,286321683
2002-11-25,292123796
2002-11-26,284555822
2002-11-27,299187238
2002-11-29,277492380
2002-12-02,281528632
2002-12-03,290105670
2002-12-04,280771835
2002-12-05,284555822
2002-12-06,287330746
2002-12-09,280519569
2002-12-10,289096606
2002-12-11,288844341
2002-12-12,298934973
2002-12-13,290105670
2002-12-16,290105670
2002-12-17,284051290
2002-12-18,276231051
2002-12-19,282033164
2002-12-20,277996911
2002-12-23,287330746
2002-12-24,290862467
2002-12-26,291366999
2002-12-27,295150986
2002-12-30,296160049
2002-12-31,322185470
2003-01-02,330627010
2003-01-03,330627010
2003-01-06,343289321
2003-01-07,331471164
2003-01-08,325562086
2003-01-09,324999316
2003-01-10,322466854
2003-01-13,328094548
2003-01-14,332033934
2003-01-15,347510092
2003-01-16,339912705
2003-01-17,326406240
2003-01-21,328938702
2003-01-22,331471164
2003-01-23,334003627
2003-01-24,326406240
2003-01-27,315150852
2003-01-28,325562086
2003-01-29,327813163
2003-01-30,319090238
2003-01-31,330908395
2003-02-03,329220087
2003-02-04,345821784
2003-02-05,338505782
2003-02-06,332878088
2003-02-07,316557776
2003-02-10,332033934
2003-02-11,320778546
2003-02-12,323592393
2003-02-13,320778546
2003-02-14,330345626
2003-02-18,320215777
2003-02-19,314588083
2003-02-20,314306698
2003-02-21,314869468
2003-02-24,327813163
2003-02-25,324436547
2003-02-26,323311008
2003-02-27,324155162
2003-02-28,329220087
2003-03-03,335410550
2003-03-04,346665938
2003-03-05,347228707
2003-03-06,359609633
2003-03-07,355670248
2003-03-10,351730862
2003-03-11,353981940
2003-03-12,353419170
2003-03-13,350042554
2003-03-14,350323939
2003-03-17,352012247
2003-03-18,350323939
2003-03-19,353981940
2003-03-20,355670248
2003-03-21,354826094
2003-03-24,353137785
2003-03-25,352856401
2003-03-26,353137785
2003-03-27,365800097
2003-03-28,372271944
2003-03-31,459196540
2003-04-01,480578974
2003-04-02,469011427
2003-04-03,462701857
2003-04-04,459897603
2003-04-07,460248135
2003-04-08,452185905
2003-04-09,455691223
2003-04-10,453938564
2003-04-11,463753452
2003-04-14,464454515
2003-04-15,457093349
2003-04-16,465155579
2003-04-17,475671530
2003-04-21,483733759
2003-04-22,486538013
2003-04-23,487239076
2003-04-24,469712491
2003-04-25,471114618
2003-04-28,472166213
2003-04-29,473217808
2003-04-30,466557706
2003-05-01,462351325
2003-05-02,471815681
2003-05-05,481981101
2003-05-06,489692798
2003-05-07,490393862
2003-05-08,486538013
2003-05-09,507219384
2003-05-12,503013003
2003-05-13,506167789
2003-05-14,507920447
2003-05-15,508270979
2003-05-16,497755028
2003-05-19,497755028
2003-05-20,507569916
2003-05-21,514580550
2003-05-22,516683740
2003-05-23,528251286
2003-05-27,533158730
2003-05-28,525797565
2003-05-29,522642779
2003-05-30,526498628
2003-06-02,529302882
2003-06-03,527550223
2003-06-04,524745969
2003-06-05,525797565
2003-06-06,535962984
2003-06-09,527550223
2003-06-10,541220960
2003-06-11,565407648
2003-06-12,566809775
2003-06-13,554190633
2003-06-16,557345418
2003-06-17,551386379
2003-06-18,555592760
2003-06-19,561551799
2003-06-20,560500204
2003-06-23,556994887
2003-06-24,559098077
2003-06-25,565057116
2003-06-26,564005521
2003-06-27,534560857
2003-06-30,526705853
2003-07-01,543549211
2003-07-02,552321794
2003-07-03,549865471
2003-07-07,556181730
2003-07-08,562147086
2003-07-09,542496501
2003-07-10,541092888
2003-07-11,543900115
2003-07-14,537934758
2003-07-15,541092888
2003-07-16,519687787
2003-07-17,522495013
2003-07-18,528460369
2003-07-21,521091400
2003-07-22,515827851
2003-07-23,510564301
2003-07-24,505651655
2003-07-25,507055268
2003-07-28,519336884
2003-07-29,518635077
2003-07-30,535127532
2003-07-31,533373016
2003-08-01,532320306
2003-08-04,517231464
2003-08-05,512318818
2003-08-06,511967914
2003-08-07,522144110
2003-08-08,514073334
2003-08-11,538636565
2003-08-12,562497989
2003-08-13,587763027
2003-08-14,603553676
2003-08-15,605308192
2003-08-18,622853357
2003-08-19,597939223
2003-08-20,612326258
2003-08-21,623555164
2003-08-22,606711805
2003-08-25,605308192
2003-08-26,600044643
2003-08-27,597237416
2003-08-28,628818713
2003-08-29,637240392
2003-09-02,630924133
2003-09-03,607764515
2003-09-04,602500966
2003-09-05,605308192
2003-09-08,621449744
2003-09-09,622853357
2003-09-10,620060167
2003-09-11,628116907
2003-09-12,626011487
2003-09-15,613378968
2003-09-16,617252940
2003-09-17,615849327
2003-09-18,605322228
2003-09-19,614445714
2003-09-22,619358360
2003-09-23,612677161
2003-09-24,606360902
2003-09-25,613378968
2003-09-26,604620422
2003-09-29,622867393
2003-09-30,604468541
2003-10-01,612830912
2003-10-02,626189333
2003-10-03,628513698
2003-10-06,621834488
2003-10-07,636208149
2003-10-08,634872306
2003-10-09,635192909
2003-10-10,660921227
2003-10-13,668268358
2003-10-14,665917276
2003-10-15,663592911
2003-10-16,665596674
2003-10-17,658570145
2003-10-20,657234303
2003-10-21,657581622
2003-10-22,643555280
2003-10-23,637864593
2003-10-24,636208149
2003-10-27,647562806
2003-10-28,651223014
2003-10-29,657902224
2003-10-30,663245592
2003-10-31,647883408
2003-11-03,653574096
2003-11-04,645211724
2003-11-05,649566569
2003-11-06,646894885
2003-11-07,654242017
2003-11-10,652558856
2003-11-11,649887171
2003-11-12,657234303
2003-11-13,656566382
2003-11-14,653894698
2003-11-17,652906175
2003-11-18,641551517
2003-11-19,644223201
2003-11-20,645532326
2003-11-21,648898648
2003-11-24,660573908
2003-11-25,667921040
2003-11-26,680290937
2003-11-28,681626779
2003-12-01,702652934
2003-12-02,706339858
2003-12-03,679623016
2003-12-04,685954908
2003-12-05,683283223
2003-12-08,707675700
2003-12-09,705992539
2003-12-10,712324430
2003-12-11,717667799
2003-12-12,736716907
2003-12-15,734713144
2003-12-16,756754538
2003-12-17,765116909
2003-12-18,758758301
2003-12-19,754430173
2003-12-22,753094331
2003-12-23,764101669
2003-12-24,784459903
2003-12-26,825897724
2003-12-29,826565645
2003-12-30,827554168
2003-12-31,849631926
2004-01-02,844313728
2004-01-05,869198345
2004-01-06,846787970
2004-01-07,826880276
2004-01-08,834701156
2004-01-09,840389068
2004-01-12,859244498
2004-01-13,854978564
2004-01-14,840389068
2004-01-15,831515925
2004-01-16,805920319
2004-01-20,832937903
2004-01-21,838625816
2004-01-22,835412145
2004-01-23,843602739
2004-01-26,841100057
2004-01-27,826880276
2004-01-28,792752801
2004-01-29,745827523
2004-01-30,734110424
2004-02-02,741220314
2004-02-03,742272578
2004-02-04,710989060
2004-02-05,687896135
2004-02-06,714202730
2004-02-09,729133500
2004-02-10,751174161
2004-02-11,750463172
2004-02-12,779244009
2004-02-13,783879658
2004-02-17,770370866
2004-02-18,758995041
2004-02-19,734110424
2004-02-20,770001151
2004-02-23,744064271
2004-02-24,755781370
2004-02-25,751885150
2004-02-26,782798955
2004-02-27,798440714
2004-03-01,821903353
2004-03-02,821903353
2004-03-03,818007133
2004-03-04,821192364
2004-03-05,821192364
2004-03-08,823695045
2004-03-09,821192364
2004-03-10,814082473
2004-03-11,808764275
2004-03-12,827591265
2004-03-15,818007133
2004-03-16,814452188
2004-03-17,820140100
2004-03-18,822273067
2004-03-19,829013243
2004-03-22,818348408
2004-03-23,816215440
2004-03-24,805209330
2004-03-25,808394561
2004-03-26,814452188
2004-03-29,817637419
2004-03-30,822984056
2004-03-31,860395518
2004-04-01,851120940
2004-04-02,870383526
2004-04-05,866473934
2004-04-06,855401514
2004-04-07,866102951
2004-04-08,871467938
2004-04-12,890359541
2004-04-13,864333647
2004-04-14,851491923
2004-04-15,889303666
2004-04-16,891415416
2004-04-19,905712536
2004-04-20,881455946
2004-04-21,883938679
2004-04-22,910706540
2004-04-23,909993111
2004-04-26,928542268
2004-04-27,948860729
2004-04-28,926744426
2004-04-29,913189273
2004-04-30,897151386
2004-05-03,940299580
2004-05-04,940670563
2004-05-05,943524279
2004-05-06,939243705
2004-05-07,916042990
2004-05-10,859682089
2004-05-11,865047076
2004-05-12,864333647
2004-05-13,868243239
2004-05-14,916756419
2004-05-17,911762415
2004-05-18,899291674
2004-05-19,894297670
2004-05-20,905341553
2004-05-21,890730524
2004-05-24,911419969
2004-05-25,928171285
2004-05-26,929969126
2004-05-27,916756419
2004-05-28,911762415
2004-06-01,932822842
2004-06-02,916756419
2004-06-03,893584241
2004-06-04,889303666
2004-06-07,919981118
2004-06-08,933536272
2004-06-09,916042990
2004-06-10,936019005
2004-06-14,927457856
2004-06-15,952427875
2004-06-16,997373909
2004-06-17,992379905
2004-06-18,989526189
2004-06-21,1017349925
2004-06-22,1020203641
2004-06-23,1020203641
2004-06-24,1016294050
2004-06-25,1014496208
2004-06-28,1011300046
2004-06-29,1013069350
2004-06-30,1025615926
2004-07-01,1088575774
2004-07-02,1086429416
2004-07-06,1121486604
2004-07-07,1108951871
2004-07-08,1091781003
2004-07-09,1103600283
2004-07-12,1087488286
2004-07-13,1089291227
2004-07-14,1087488286
2004-07-15,1100738472
2004-07-16,1108951871
2004-07-19,1086057380
2004-07-20,1108951871
2004-07-21,1083911022
2004-07-22,1061388567
2004-07-23,1066396737
2004-07-26,1072835812
2004-07-27,1093211908
2004-07-28,1113244587
2004-07-29,1149017228
2004-07-30,1151535622
2004-08-02,1171568301
2004-08-03,1183730999
2004-08-04,1152251075
2004-08-05,1118968210
2004-08-06,1070317418
2004-08-09,1098935531
2004-08-10,1109323906
2004-08-11,1100366437
2004-08-12,1083911022
2004-08-13,1108951871
2004-08-16,1130415455
2004-08-17,1108951871
2004-08-18,1248465170
2004-08-19,1232009756
2004-08-20,1268869885
2004-08-23,1230235433
2004-08-24,1215210923
2004-08-25,1242741548
2004-08-26,1253129923
2004-08-27,1258853545
2004-08-30,1248808588
2004-08-31,1272447149
2004-09-01,1300349809
2004-09-02,1322872264
2004-09-03,1307847754
2004-09-07,1323244299
2004-09-08,1313227960
2004-09-09,1377246678
2004-09-10,1384401206
2004-09-13,1391555734
2004-09-14,1421232717
2004-09-15,1413391354
2004-09-16,1416596583
2004-09-17,1416596583
2004-09-20,1410872961
2004-09-21,1428415864
2004-09-22,1404805921
2004-09-23,1407295696
2004-09-24,1421604753
2004-09-27,1430905640
2004-09-28,1516044525
2004-09-29,1503881827
2004-09-30,1500132276
2004-10-01,1543345963
2004-10-04,1555864213
2004-10-05,1554063643
2004-10-06,1608023591
2004-10-07,1589074732
2004-10-08,1571583478
2004-10-11,1588017254
2004-10-12,1589789244
2004-10-13,1475467321
2004-10-14,1521567636
2004-10-15,1546918523
2004-10-18,1546575557
2004-10-19,1568696849
2004-10-20,1620884807
2004-10-21,1662326504
2004-10-22,1649093742
2004-10-25,1664813006
2004-10-26,1674816174
2004-10-27,1671615161
2004-10-28,1634088989
2004-10-29,1641234109
2004-11-01,1638376061
2004-11-02,1652323336
2004-11-03,1684476377
2004-11-04,1743409328
2004-11-05,1750554449
2004-11-08,1711256287
2004-11-09,1705540191
2004-11-10,1763787211
2004-11-11,1766645259
2004-11-12,1822377197
2004-11-15,1771275297
2004-11-16,1708055274
2004-11-17,1735206730
2004-11-18,1752697985
2004-11-19,1743409328
2004-11-22,1804142850
2004-11-23,1872021492
2004-11-24,1899172949
2004-11-26,1936327574
2004-11-29,1935613062
2004-11-30,1961335494
2004-12-01,1882396206
2004-12-02,1779134929
2004-12-03,1849871619
2004-12-06,1861303812
2004-12-07,1771989809
2004-12-08,1779134929
2004-12-09,1782707489
2004-12-10,1754127009
2004-12-13,1800570290
2004-12-14,1823806221
2004-12-15,1866305396
2004-12-16,1821662685
2004-12-17,1823806221
2004-12-20,1827378781
2004-12-21,1870592468
2004-12-22,1839868451
2004-12-23,1832723331
2004-12-27,1739836768
2004-12-28,1812716994
2004-12-29,1822005651
2004-12-30,1817718578
2004-12-31,1831234293
2005-01-03,1701528006
2005-01-04,1645547373
2005-01-05,1620981788
