,PWR
2001-05-24,2651311200
2001-05-25,2639750250
2001-05-29,2685994050
2001-05-30,2584257690
2001-05-31,2611233240
2001-06-01,2605067400
2001-06-04,2620482000
2001-06-05,2774628000
2001-06-06,2766149970
2001-06-07,2783106030
2001-06-08,2823954720
2001-06-11,2717593980
2001-06-12,2668267260
2001-06-13,2697555000
2001-06-14,2618940539
2001-06-15,1922971350
2001-06-18,1826630100
2001-06-19,1775761920
2001-06-20,1784239950
2001-06-21,1777303380
2001-06-22,1780386300
2001-06-25,1717186440
2001-06-26,1726435200
2001-06-27,1684045050
2001-06-28,1656298769
2001-06-29,1698688920
2001-07-02,1784471520
2001-07-03,1781369440
2001-07-05,1803084000
2001-07-06,1758103840
2001-07-09,1792226720
2001-07-10,1742593440
2001-07-11,1747246560
2001-07-12,1861248000
2001-07-13,1907003680
2001-07-16,1916309920
2001-07-17,1919412000
2001-07-18,1928718240
2001-07-19,1917860960
2001-07-20,1880636000
2001-07-23,1876758400
2001-07-24,1788349120
2001-07-25,1869003200
2001-07-26,1913207840
2001-07-27,1904677120
2001-07-30,1844962080
2001-07-31,1888391200
2001-08-01,1543284800
2001-08-02,1618510240
2001-08-03,1600673280
2001-08-06,1565774880
2001-08-07,1562672800
2001-08-08,1504508800
2001-08-09,1526223360
2001-08-10,1513815040
2001-08-13,1541733760
2001-08-14,1531652000
2001-08-15,1462630720
2001-08-16,1504508800
2001-08-17,1477365600
2001-08-20,1477365600
2001-08-21,1416875040
2001-08-22,1434712000
2001-08-23,1414548479
2001-08-24,1492876000
2001-08-27,1472712479
2001-08-28,1393609440
2001-08-29,1385854240
2001-08-30,1386629760
2001-08-31,1395160479
2001-09-04,1372670400
2001-09-05,1295893920
2001-09-06,1241607520
2001-09-07,1171035200
2001-09-10,1031441600
2001-09-17,930624000
2001-09-18,922868800
2001-09-19,922093280
2001-09-20,815071520
2001-09-21,798785600
2001-09-24,969400000
2001-09-25,984910400
2001-09-26,996543200
2001-09-27,1035319200
2001-09-28,1105116000
2001-10-01,1244177910
2001-10-02,1285624440
2001-10-03,1350531270
2001-10-04,1337237100
2001-10-05,1247305950
2001-10-08,1288752480
2001-10-09,1288752480
2001-10-10,1358351370
2001-10-11,1406835989
2001-10-12,1437334380
2001-10-15,1385721720
2001-10-16,1341147150
2001-10-17,1343493180
2001-10-18,1288752480
2001-10-19,1295790570
2001-10-22,1278586350
2001-10-23,1300482630
2001-10-24,1295790570
2001-10-25,1312212780
2001-10-26,1320814890
2001-10-29,1256690070
2001-10-30,1184745150
2001-10-31,1188655200
2001-11-01,1248869970
2001-11-02,1259036100
2001-11-05,1252780020
2001-11-06,1200385350
2001-11-07,1278586350
2001-11-08,1272330270
2001-11-09,1236357810
2001-11-12,1234793790
2001-11-13,1252780020
2001-11-14,1294226550
2001-11-15,1248087960
2001-11-16,1226973690
2001-11-19,1266856200
2001-11-20,1230883740
2001-11-21,1220717610
2001-11-23,1234793790
2001-11-26,1251998010
2001-11-27,1251998010
2001-11-28,1235575800
2001-11-29,1252780020
2001-11-30,1216025550
2001-12-03,1200385350
2001-12-04,1201167360
2001-12-05,1233229770
2001-12-06,1256690070
2001-12-07,1253562030
2001-12-10,1190219220
2001-12-11,1230883740
2001-12-12,1227755700
2001-12-13,1189437210
2001-12-14,1176925050
2001-12-17,1117492290
2001-12-18,1113582240
2001-12-19,1133132490
2001-12-20,1100288070
2001-12-21,1145644650
2001-12-24,1158156810
2001-12-26,1164412890
2001-12-27,1221499620
2001-12-28,1234011780
2001-12-31,1207613520
2002-01-02,1256919840
2002-01-03,1227179520
2002-01-04,1238136480
2002-01-07,1250658720
2002-01-08,1210744080
2002-01-09,1276485840
2002-01-10,1246745520
2002-01-11,1212309360
2002-01-14,1211526720
2002-01-15,1198221840
2002-01-16,1138741200
2002-01-17,1158307200
2002-01-18,1116827280
2002-01-22,1064390400
2002-01-23,1018214640
2002-01-24,1086304320
2002-01-25,1069868880
2002-01-28,1076130000
2002-01-29,1051868160
2002-01-30,1083173760
2002-01-31,1036998000
2002-02-01,1050302880
2002-02-04,1016649360
2002-02-05,968908320
2002-02-06,915688800
2002-02-07,911775600
2002-02-08,950907600
2002-02-11,1044824400
2002-02-12,1060477200
2002-02-13,1051868160
2002-02-14,1161437760
2002-02-15,1188047520
2002-02-19,1181003760
2002-02-20,1176307920
2002-02-21,1168481520
2002-02-22,1170829440
2002-02-25,1170829440
2002-02-26,1154394000
2002-02-27,1180221120
2002-02-28,1206830880
2002-03-01,1181786400
2002-03-04,1225614240
2002-03-05,1260050400
2002-03-06,1266311520
2002-03-07,1260833040
2002-03-08,1263963600
2002-03-11,1263963600
2002-03-12,1284312240
2002-03-13,1292138640
2002-03-14,1307008800
2002-03-15,1321878960
2002-03-18,1331270640
2002-03-19,1321878960
2002-03-20,1352401920
2002-03-21,1346140800
2002-03-22,1330488000
2002-03-25,1324226880
2002-03-26,1307008800
2002-03-27,1357880400
2002-03-28,1353184560
2002-04-01,1358801920
2002-04-02,1347843840
2002-04-03,1253917440
2002-04-04,1304011520
2002-04-05,1289139840
2002-04-08,1339233920
2002-04-09,1302446080
2002-04-10,1357236480
2002-04-11,1322796800
2002-04-12,1326710400
2002-04-15,1399503360
2002-04-16,1471513600
2002-04-17,1448032000
2002-04-18,1390110720
2002-04-19,1370542720
2002-04-22,1329058560
2002-04-23,1395589759
2002-04-24,1372108160
2002-04-25,1355671040
2002-04-26,1343147520
2002-04-29,1330624000
2002-04-30,1311838720
2002-05-01,1246090240
2002-05-02,1232001280
2002-05-03,1170166400
2002-05-06,1158425600
2002-05-07,1176428160
2002-05-08,1172514560
2002-05-09,1134944000
2002-05-10,1106766080
2002-05-13,1064499200
2002-05-14,1087980800
2002-05-15,1107548800
2002-05-16,1091111680
2002-05-17,1037104000
2002-05-20,1090328960
2002-05-21,953352960
2002-05-22,925957760
2002-05-23,1048844800
2002-05-24,1056672000
2002-05-28,1041800320
2002-05-29,1037104000
2002-05-30,986227200
2002-05-31,983879040
2002-06-03,907955200
2002-06-04,915782400
2002-06-05,944743040
2002-06-06,949439360
2002-06-07,997968000
2002-06-10,997968000
2002-06-11,951787520
2002-06-12,958832000
2002-06-13,958832000
2002-06-14,977617280
2002-06-17,1027711360
2002-06-18,1029276800
2002-06-19,1001881600
2002-06-20,1030059520
2002-06-21,1030059520
2002-06-24,1029276800
2002-06-25,1009708800
2002-06-26,1013622400
2002-06-27,788199040
2002-06-28,772544639
2002-07-01,713221620
2002-07-02,227856360
2002-07-03,234099000
2002-07-05,264531870
2002-07-08,259849890
2002-07-09,224735040
2002-07-10,217712070
2002-07-11,201325140
2002-07-12,216151410
2002-07-15,209128440
2002-07-16,216151410
2002-07-17,252046590
2002-07-18,234099000
2002-07-19,230977680
2002-07-22,234099000
2002-07-23,220833390
2002-07-24,202885800
2002-07-25,187279200
2002-07-26,178695570
2002-07-29,175574250
2002-07-30,175574250
2002-07-31,149043030
2002-08-01,159967650
2002-08-02,163869300
2002-08-05,155285670
2002-08-06,158406989
2002-08-07,163088970
2002-08-08,170892270
2002-08-09,166210290
2002-08-12,158406989
2002-08-13,148262700
2002-08-14,162308640
2002-08-15,184938210
2002-08-16,177134910
2002-08-19,163088970
2002-08-20,163869300
2002-08-21,198203820
2002-08-22,223174380
2002-08-23,209128440
2002-08-26,223174380
2002-08-27,200544810
2002-08-28,196643160
2002-08-29,210689100
2002-08-30,206787450
2002-09-03,198203820
2002-09-04,171672600
2002-09-05,191180850
2002-09-06,201325140
2002-09-09,223954710
2002-09-10,226295700
2002-09-11,230977680
2002-09-12,216151410
2002-09-13,229417020
2002-09-16,212249760
2002-09-17,201325140
2002-09-18,206787450
2002-09-19,193521840
2002-09-20,198984150
2002-09-23,195082500
2002-09-24,182597220
2002-09-25,190400520
2002-09-26,187279200
2002-09-27,169331610
2002-09-30,234072800
2002-10-01,240824900
2002-10-02,229571400
2002-10-03,226195349
2002-10-04,227320700
2002-10-07,204813700
2002-10-08,211565800
2002-10-09,208189750
2002-10-10,222819300
2002-10-11,249827700
2002-10-14,280212150
2002-10-15,275710750
2002-10-16,339855700
2002-10-17,315098000
2002-10-18,281337500
2002-10-21,288089600
2002-10-22,309471250
2002-10-23,316223350
2002-10-24,331978250
2002-10-25,320724750
2002-10-28,308345900
2002-10-29,304969850
2002-10-30,373616200
2002-10-31,357861300
2002-11-01,356735950
2002-11-04,351109200
2002-11-05,357861300
2002-11-06,358986650
2002-11-07,357861300
2002-11-08,353359900
2002-11-11,326351500
2002-11-12,336479650
2002-11-13,337605000
2002-11-14,354485250
2002-11-15,342106400
2002-11-18,328602200
2002-11-19,333103600
2002-11-20,353359900
2002-11-21,360112000
2002-11-22,394997850
2002-11-25,410752750
2002-11-26,380368300
2002-11-27,405126000
2002-11-29,414128800
2002-12-02,419755550
2002-12-03,428758350
2002-12-04,410752750
2002-12-05,393872500
2002-12-06,370240150
2002-12-09,357861300
2002-12-10,388245750
2002-12-11,397248550
2002-12-12,392747150
2002-12-13,385995050
2002-12-16,388245750
2002-12-17,374741550
2002-12-18,363488050
2002-12-19,361237350
2002-12-20,376992250
2002-12-23,361237350
2002-12-24,380368300
2002-12-26,384869700
2002-12-27,382619000
2002-12-30,376992250
2002-12-31,364255500
2003-01-02,390273750
2003-01-03,386110830
2003-01-06,392355210
2003-01-07,419414190
2003-01-08,407966160
2003-01-09,406925430
2003-01-10,414210540
2003-01-13,414210540
2003-01-14,415251270
2003-01-15,395477400
2003-01-16,402762510
2003-01-17,400681050
2003-01-21,398599590
2003-01-22,400681050
2003-01-23,410047620
2003-01-24,386110830
2003-01-27,367377690
2003-01-28,351766740
2003-01-29,327829950
2003-01-30,343440900
2003-01-31,363214770
2003-02-03,372581340
2003-02-04,343440900
2003-02-05,350726010
2003-02-06,333033600
2003-02-07,331992870
2003-02-10,364255500
2003-02-11,349685280
2003-02-12,346563090
2003-02-13,346563090
2003-02-14,327829950
2003-02-18,337196520
2003-02-19,337196520
2003-02-20,338237250
2003-02-21,339277980
2003-02-24,327829950
2003-02-25,317422650
2003-02-26,319504110
2003-02-27,325748490
2003-02-28,343440900
2003-03-03,344481630
2003-03-04,330952140
2003-03-05,336155790
2003-03-06,323667030
2003-03-07,317422650
2003-03-10,307015350
2003-03-11,301811700
2003-03-12,303893160
2003-03-13,330952140
2003-03-14,322626300
2003-03-17,326789220
2003-03-18,330952140
2003-03-19,330952140
2003-03-20,333033600
2003-03-21,343440900
2003-03-24,339277980
2003-03-25,338237250
2003-03-26,337196520
2003-03-27,333033600
2003-03-28,330952140
2003-03-31,370556800
2003-04-01,375188760
2003-04-02,406454490
2003-04-03,411086450
2003-04-04,451616100
2003-04-07,434246250
2003-04-08,414560420
2003-04-09,414560420
2003-04-10,413402430
2003-04-11,383294690
2003-04-14,400664540
2003-04-15,407612480
2003-04-16,387926650
2003-04-17,393716600
2003-04-21,405296500
2003-04-22,401822530
2003-04-23,409928460
2003-04-24,413402430
2003-04-25,407612480
2003-04-28,411086450
2003-04-29,411086450
2003-04-30,399506550
2003-05-01,393716600
2003-05-02,399506550
2003-05-05,405296500
2003-05-06,515305550
2003-05-07,568573090
2003-05-08,567415100
2003-05-09,576679020
2003-05-12,602154800
2003-05-13,591732890
2003-05-14,616050680
2003-05-15,590574900
2003-05-16,563941130
2003-05-19,541939320
2003-05-20,552361230
2003-05-21,559309170
2003-05-22,567415100
2003-05-23,587100930
2003-05-27,629946560
2003-05-28,628788570
2003-05-29,697109980
2003-05-30,695951990
2003-06-02,722585760
2003-06-03,824488880
2003-06-04,943761850
2003-06-05,949551799
2003-06-06,949551799
2003-06-09,890494310
2003-06-10,889336320
2003-06-11,920602050
2003-06-12,911338130
2003-06-13,861544560
2003-06-16,880072400
2003-06-17,848806670
2003-06-18,856912600
2003-06-19,836068780
2003-06-20,856912600
2003-06-23,852280640
2003-06-24,817540940
2003-06-25,810593000
2003-06-26,822172900
2003-06-27,821014910
2003-06-30,827625700
2003-07-01,829957040
2003-07-02,828791370
2003-07-03,820631680
2003-07-07,883577860
2003-07-08,920879300
2003-07-09,926707650
2003-07-10,909222600
2003-07-11,902228580
2003-07-14,909222600
2003-07-15,888240540
2003-07-16,874252500
2003-07-17,834619720
2003-07-18,850939100
2003-07-21,817134670
2003-07-22,853270440
2003-07-23,843945080
2003-07-24,827625700
2003-07-25,834619720
2003-07-28,868424150
2003-07-29,848607760
2003-07-30,866092810
2003-07-31,880080850
2003-08-01,817134670
2003-08-04,806643640
2003-08-05,784495910
2003-08-06,543202220
2003-08-07,571178300
2003-08-08,577006650
2003-08-11,604982730
2003-08-12,645781180
2003-08-13,620136440
2003-08-14,627130460
2003-08-15,804312300
2003-08-18,874252500
2003-08-19,862595800
2003-08-20,912719610
2003-08-21,958180740
2003-08-22,969837440
2003-08-25,977997130
2003-08-26,1039777640
2003-08-27,1066588050
2003-08-28,1067753720
2003-08-29,1108552170
2003-09-02,1119043200
2003-09-03,1133031240
2003-09-04,1130699900
2003-09-05,1070085060
2003-09-08,1072416399
2003-09-09,1074747740
2003-09-10,1000144860
2003-09-11,1040943310
2003-09-12,1049103000
2003-09-15,1044440320
2003-09-16,1071250730
2003-09-17,1079410420
2003-09-18,1089901450
2003-09-19,1140025260
2003-09-22,1066588050
2003-09-23,1107386500
2003-09-24,1030452280
2003-09-25,1005973210
2003-09-26,926707650
2003-09-29,1003641869
2003-09-30,942101860
2003-10-01,991086599
2003-10-02,981973159
2003-10-03,991086599
2003-10-06,1036653800
2003-10-07,1036653800
2003-10-08,1019566099
2003-10-09,874890240
2003-10-10,838436480
2003-10-13,866915980
2003-10-14,874890240
2003-10-15,858941720
2003-10-16,876029420
2003-10-17,836158120
2003-10-20,841854020
2003-10-21,893117120
2003-10-22,862359260
2003-10-23,868055160
2003-10-24,861220080
2003-10-27,909065640
2003-10-28,948936940
2003-10-29,939823500
2003-10-30,930710060
2003-10-31,931849240
2003-11-03,955772020
2003-11-04,945519400
2003-11-05,958050380
2003-11-06,964885460
2003-11-07,937545140
2003-11-10,911344000
2003-11-11,913622360
2003-11-12,939823500
2003-11-13,868055160
2003-11-14,864637620
2003-11-17,877168600
2003-11-18,840714840
2003-11-19,873751060
2003-11-20,852106640
2003-11-21,855524180
2003-11-24,896534660
2003-11-25,879446960
