,DNB
2022-07-08,6330845464
2022-07-11,6189206210
2022-07-12,6133408927
2022-07-13,6172037815
2022-07-14,6124824730
2022-07-15,6266463985
2022-07-18,6283632379
2022-07-19,6566910888
2022-07-20,6584079283
2022-07-21,6674213354
2022-07-22,6781515819
2022-07-25,6558326691
2022-07-26,6532574099
2022-07-27,6566910888
2022-07-28,6725718537
2022-07-29,6764347425
2022-08-01,6734302734
2022-08-02,6669921255
2022-08-03,6983244454
2022-08-04,7004704947
2022-08-05,6820144707
2022-08-08,6918862975
2022-08-09,6695673847
2022-08-10,6875941989
2022-08-11,6918862975
2022-08-12,6983244454
2022-08-15,7112007413
2022-08-16,7064794328
2022-08-17,7004704947
2022-08-18,6996120750
2022-08-19,6850189397
2022-08-22,6614123973
2022-08-23,6459608423
2022-08-24,6429563732
2022-08-25,6442440028
2022-08-26,6270756083
2022-08-29,6172037815
2022-08-30,6154869421
2022-08-31,6116240533
2022-09-01,6120532632
2022-09-02,6077611645
2022-09-06,6103364237
2022-09-07,6305092872
2022-09-08,6317969168
2022-09-09,6429563732
2022-09-12,6523989902
2022-09-13,6279340281
2022-09-14,6279340281
2022-09-15,6283632379
2022-09-16,6141993125
2022-09-19,5974601279
2022-09-20,5777164742
2022-09-21,5867298813
2022-09-22,5635525488
2022-09-23,5596896600
2022-09-26,5446673148
2022-09-27,5377999570
2022-09-28,5481009937
2022-09-29,5373707472
2022-09-30,5319027000
2022-10-03,5409180000
2022-10-04,5632416000
2022-10-05,5606658000
2022-10-06,5443524000
2022-10-07,5301855000
2022-10-10,5241753000
2022-10-11,5100084000
2022-10-12,5143014000
2022-10-13,5112963000
2022-10-14,5022810000
2022-10-17,5082912000
2022-10-18,5143014000
2022-10-19,4979880000
2022-10-20,4941243000
2022-10-21,4911192000
2022-10-24,4928364000
2022-10-25,5190237000
2022-10-26,5271804000
2022-10-27,5340492000
2022-10-28,5550849000
2022-10-31,5516505000
2022-11-01,5555142000
2022-11-02,5323320000
2022-11-03,5250339000
2022-11-04,5555142000
2022-11-07,5761206000
2022-11-08,5671053000
2022-11-09,5615244000
2022-11-10,5967270000
2022-11-11,6096060000
2022-11-14,6126111000
2022-11-15,6267780000
2022-11-16,6143283000
2022-11-17,6035958000
2022-11-18,5593779000
2022-11-21,5641002000
2022-11-22,5649588000
2022-11-23,5739741000
2022-11-25,5786964000
2022-11-28,5636709000
2022-11-29,5606658000
2022-11-30,5778378000
2022-12-01,5894289000
2022-12-02,6010200000
2022-12-05,5937219000
2022-12-06,5859945000
2022-12-07,5885703000
2022-12-08,5666760000
2022-12-09,5559435000
2022-12-12,5645295000
2022-12-13,5744034000
2022-12-14,5735448000
2022-12-15,5580900000
2022-12-16,5495040000
2022-12-19,5370543000
2022-12-20,5271804000
2022-12-21,5297562000
2022-12-22,5220288000
2022-12-23,5220288000
2022-12-27,5151600000
2022-12-28,5104377000
2022-12-29,5323320000
2022-12-30,5263218000
2023-01-03,5382696052
2023-01-04,5507275610
2023-01-05,5382696052
2023-01-06,5429950367
2023-01-09,5434246214
2023-01-10,5434246214
2023-01-11,5434246214
2023-01-12,5550234078
2023-01-13,5618967627
2023-01-17,5850943355
2023-01-18,5838055814
2023-01-19,5911085210
2023-01-20,6005593840
2023-01-23,5966931219
2023-01-24,5945451985
2023-01-25,5872422589
2023-01-26,5902493516
2023-01-27,6147356785
2023-01-30,6211794487
2023-01-31,6293415576
2023-02-01,6426586827
2023-02-02,6387924206
2023-02-03,6246161261
2023-02-06,6104398317
2023-02-07,6125877551
2023-02-08,6104398317
2023-02-09,6018481380
2023-02-10,5997002146
2023-02-13,6074327389
2023-02-14,6074327389
2023-02-15,6130173397
2023-02-16,5142128631
2023-02-17,5240933108
2023-02-21,5210862180
2023-02-22,5240933108
2023-02-23,5219453874
2023-02-24,5176495406
2023-02-27,5180791252
2023-02-28,5159312018
2023-03-01,5180791252
2023-03-02,5206566333
2023-03-03,5288187423
2023-03-06,5271004035
2023-03-07,5176495406
2023-03-08,5150720325
2023-03-09,5008957380
2023-03-10,4858602742
2023-03-13,4789869193
2023-03-14,4768389959
2023-03-15,4751206571
2023-03-16,4656697942
2023-03-17,4575076852
2023-03-20,4605147780
2023-03-21,4854306895
2023-03-22,4854306895
2023-03-23,4875786129
2023-03-24,4897265363
