,URI
2001-09-20,1365144019
2001-09-21,1306742136
2001-09-24,1327182795
2001-09-25,1350543549
2001-09-26,1201618746
2001-09-27,1251990371
2001-09-28,1265860818
2001-10-01,1256782848
2001-10-02,1247228358
2001-10-03,1372171682
2001-10-04,1347183018
2001-10-05,1305290256
2001-10-08,1308230099
2001-10-09,1311904903
2001-10-10,1414064444
2001-10-11,1433173423
2001-10-12,1354532625
2001-10-15,1378051368
2001-10-16,1407449797
2001-10-17,1331013882
2001-10-18,1307495138
2001-10-19,1301615452
2001-10-22,1286181277
2001-10-23,1322929314
2001-10-24,1344243175
2001-10-25,1375846486
2001-10-26,1419209169
2001-10-29,1370701761
2001-10-30,1372906643
2001-10-31,1341303332
2001-11-01,1374376565
2001-11-02,1400100190
2001-11-05,1386135936
2001-11-06,1367026957
2001-11-07,1445667755
2001-11-08,1509609339
2001-11-09,1509609339
2001-11-12,1500054849
2001-11-13,1506669496
2001-11-14,1510344300
2001-11-15,1565466354
2001-11-16,1589720058
2001-11-19,1608094077
2001-11-20,1547092336
2001-11-21,1539742729
2001-11-23,1558116747
2001-11-26,1596334705
2001-11-27,1594864784
2001-11-28,1602949352
2001-11-29,1618383527
2001-11-30,1600009509
2001-12-03,1605154234
2001-12-04,1679385268
2001-12-05,1763905752
2001-12-06,1799918827
2001-12-07,1796244024
2001-12-10,1747736615
2001-12-11,1799183867
2001-12-12,1738182126
2001-12-13,1679385268
2001-12-14,1682325110
2001-12-17,1675710464
2001-12-18,1672035660
2001-12-19,1671300700
2001-12-20,1683060071
2001-12-21,1668360857
2001-12-24,1662481171
2001-12-26,1680855189
2001-12-27,1724952833
2001-12-28,1718338186
2001-12-31,1668926700
2002-01-02,1692453420
2002-01-03,1659368970
2002-01-04,1698335100
2002-01-07,1634371830
2002-01-08,1681425270
2002-01-09,1663045020
2002-01-10,1679954850
2002-01-11,1646870400
2002-01-14,1474096050
2002-01-15,1516003020
2002-01-16,1496887560
2002-01-17,1501298820
2002-01-18,1475566470
2002-01-22,1468214370
2002-01-23,1506445290
2002-01-24,1552763520
2002-01-25,1538794530
2002-01-28,1518943860
2002-01-29,1471890420
2002-01-30,1572614190
2002-01-31,1562321250
2002-02-01,1591729650
2002-02-04,1554969150
2002-02-05,1527766380
2002-02-06,1544676210
2002-02-07,1532912850
2002-02-08,1549822679
2002-02-11,1606433850
2002-02-12,1629960570
2002-02-13,1676278800
2002-02-14,1680690060
2002-02-15,1634371830
2002-02-19,1618197210
2002-02-20,1615991580
2002-02-21,1580701500
2002-02-22,1587318390
2002-02-25,1638047880
2002-02-26,1779943410
2002-02-27,1805675760
2002-02-28,1788765929
2002-03-01,1852729200
2002-03-04,1992419100
2002-03-05,1956393810
2002-03-06,1975509270
2002-03-07,2140931520
2002-03-08,2229156720
2002-03-11,2201953950
2002-03-12,2204894790
2002-03-13,2168134290
2002-03-14,2161517400
2002-03-15,2167399080
2002-03-18,2245331340
2002-03-19,1992419100
2002-03-20,1912281210
2002-03-21,1896841800
2002-03-22,1937278350
2002-03-25,1970362800
2002-03-26,2021827500
2002-03-27,2021827500
2002-03-28,2020357080
2002-04-01,2066683990
2002-04-02,2041508438
2002-04-03,1987342855
2002-04-04,2037693960
2002-04-05,2057529244
2002-04-08,2125426946
2002-04-09,2117797991
2002-04-10,2202479395
2002-04-11,2097962707
2002-04-12,2128478528
2002-04-15,2094148229
2002-04-16,2181881215
2002-04-17,2110931931
2002-04-18,2086519274
2002-04-19,2085756379
2002-04-22,2043034229
2002-04-23,2066683990
2002-04-24,2023198945
2002-04-25,1995734706
2002-04-26,1961404407
2002-04-29,1908001720
2002-04-30,1945383601
2002-05-01,1982765482
2002-05-02,1965218885
2002-05-03,1920970944
2002-05-06,1903424347
2002-05-07,1859939302
2002-05-08,1903424347
2002-05-09,1859176406
2002-05-10,1830949272
2002-05-13,1820268734
2002-05-14,1926311213
2002-05-15,1957589929
2002-05-16,1912579093
2002-05-17,1882826168
2002-05-20,1858413511
2002-05-21,1762288674
2002-05-22,1758474196
2002-05-23,1796618973
2002-05-24,1801196346
2002-05-28,1795093182
2002-05-29,1759237092
2002-05-30,1758474196
2002-05-31,1780598167
2002-06-03,1740927599
2002-06-04,1710411778
2002-06-05,1724143897
2002-06-06,1708885987
2002-06-07,1737876017
2002-06-10,1747793659
2002-06-11,1716514942
2002-06-12,1674555688
2002-06-13,1689813598
2002-06-14,1722618106
2002-06-17,1768391838
2002-06-18,1779072375
2002-06-19,1721855211
2002-06-20,1699731240
2002-06-21,1677607270
2002-06-24,1637936702
2002-06-25,1676844374
2002-06-26,1638699598
2002-06-27,1666926733
2002-06-28,1663112255
2002-07-01,1380693698
2002-07-02,1360694792
2002-07-03,1299928886
2002-07-05,1334542377
2002-07-08,1314543471
2002-07-09,1294544565
2002-07-10,1219164073
2002-07-11,1195319224
2002-07-12,1211472186
2002-07-15,1278391602
2002-07-16,1227625149
2002-07-17,1239932168
2002-07-18,1223779205
2002-07-19,1222240828
2002-07-22,1163782487
2002-07-23,1086863618
2002-07-24,1044558241
2002-07-25,1076864166
2002-07-26,1046096618
2002-07-29,1138399261
2002-07-30,1153783035
2002-07-31,1115323600
2002-08-01,1085325241
2002-08-02,1012252316
2002-08-05,976869636
2002-08-06,1038404731
2002-08-07,1012252316
2002-08-08,1056096071
2002-08-09,1038404731
2002-08-12,1026097712
2002-08-13,986869089
2002-08-14,1056865260
2002-08-15,1100709015
2002-08-16,1115323600
2002-08-19,1165320865
2002-08-20,1142245204
2002-08-21,1199934356
2002-08-22,1200703545
2002-08-23,1167628431
2002-08-26,1210702998
2002-08-27,1161474921
2002-08-28,1153783035
2002-08-29,1188396526
2002-08-30,1188396526
2002-09-03,1090709562
2002-09-04,1143783582
2002-09-05,1059172826
2002-09-06,1103785770
2002-09-09,1119169543
2002-09-10,1098401449
2002-09-11,1098401449
2002-09-12,1085325241
2002-09-13,1026097712
2002-09-16,1015329070
2002-09-17,981484768
2002-09-18,949948032
2002-09-19,958409107
2002-09-20,846107559
2002-09-23,702269273
2002-09-24,711499538
2002-09-25,732267632
2002-09-26,746113029
2002-09-27,688423877
2002-09-30,669292000
2002-10-01,645502000
2002-10-02,641537000
2002-10-03,549549000
2002-10-04,559065000
2002-10-07,555893000
2002-10-08,574925000
2002-10-09,563030000
2002-10-10,573339000
2002-10-11,596336000
2002-10-14,578890000
2002-10-15,634400000
2002-10-16,582855000
2002-10-17,563030000
2002-10-18,576511000
2002-10-21,586820000
2002-10-22,586820000
2002-10-23,511485000
2002-10-24,527345000
2002-10-25,511485000
2002-10-28,499590000
2002-10-29,479765000
2002-10-30,478972000
2002-10-31,483730000
2002-11-01,490074000
2002-11-04,535275000
2002-11-05,555100000
2002-11-06,578890000
2002-11-07,574925000
2002-11-08,594750000
2002-11-11,582855000
2002-11-12,612989000
2002-11-13,673257000
2002-11-14,708149000
2002-11-15,705770000
2002-11-18,725595000
2002-11-19,721630000
2002-11-20,709735000
2002-11-21,773968000
2002-11-22,801723000
2002-11-25,766831000
2002-11-26,741455000
2002-11-27,781105000
2002-11-29,768417000
2002-12-02,803309000
2002-12-03,771589000
2002-12-04,804895000
2002-12-05,756521999
2002-12-06,737490000
2002-12-09,690703000
2002-12-10,689117000
2002-12-11,689910000
2002-12-12,713700000
2002-12-13,655018000
2002-12-16,700219000
2002-12-17,722423000
2002-12-18,747006000
2002-12-19,754143000
2002-12-20,804895000
2002-12-23,836615000
2002-12-24,804102000
2002-12-26,808860000
2002-12-27,798551000
2002-12-30,843752000
2002-12-31,853268010
2003-01-02,971425012
2003-01-03,907192011
2003-01-06,947635011
2003-01-07,965874012
2003-01-08,947635011
2003-01-09,976976012
2003-01-10,981734012
2003-01-13,965874012
2003-01-14,973011012
2003-01-15,945256011
2003-01-16,892918011
2003-01-17,885781011
2003-01-21,884988011
2003-01-22,842166010
2003-01-23,830271010
2003-01-24,827892010
2003-01-27,796965010
2003-01-28,812825010
2003-01-29,833443010
2003-01-30,811239010
2003-01-31,819169010
2003-02-03,816790010
2003-02-04,796172010
2003-02-05,796965010
2003-02-06,792207009
2003-02-07,760487009
2003-02-10,781105009
2003-02-11,793000010
2003-02-12,738283009
2003-02-13,731146009
2003-02-14,709735008
2003-02-18,735904009
2003-02-19,737490009
2003-02-20,724009009
2003-02-21,742248009
2003-02-24,706563008
2003-02-25,657397008
2003-02-26,666913008
2003-02-27,680394008
2003-02-28,684359008
2003-03-03,681980008
2003-03-04,673257008
2003-03-05,689910008
2003-03-06,701805008
2003-03-07,729560009
2003-03-10,704977008
2003-03-11,708149008
2003-03-12,737490009
2003-03-13,743834009
2003-03-14,737490009
2003-03-17,764452009
2003-03-18,786656009
2003-03-19,770796009
2003-03-20,789035009
