,HD
2000-05-30,108179500000
2000-05-31,112946340000
2000-06-01,115422320000
2000-06-02,124099820000
2000-06-05,121207320000
2000-06-06,116579320000
2000-06-07,118314820000
2000-06-08,115422320000
2000-06-09,110215820000
2000-06-12,106582840000
2000-06-13,113108320000
2000-06-14,116995840000
2000-06-15,117736320000
2000-06-16,115260340000
2000-06-19,115121500000
2000-06-20,113108320000
2000-06-21,111789340000
2000-06-22,110794320000
2000-06-23,109058820000
2000-06-26,108896840000
2000-06-27,114681840000
2000-06-28,111951320000
2000-06-29,111072000000
2000-06-30,115561160000
2000-07-03,114681840000
2000-07-05,116139660000
2000-07-06,118592500000
2000-07-07,127848500000
2000-07-10,133494660000
2000-07-11,132777320000
2000-07-12,132777320000
2000-07-13,130023660000
2000-07-14,130602160000
2000-07-17,131458340000
2000-07-18,133193840000
2000-07-19,132198820000
2000-07-20,134350840000
2000-07-21,132198820000
2000-07-24,129584000000
2000-07-25,127570820000
2000-07-26,123937840000
2000-07-27,125256820000
2000-07-28,121924660000
2000-07-31,119904750000
2000-08-01,120484000000
2000-08-02,123102210000
2000-08-03,119765730000
2000-08-04,123519270000
2000-08-07,127736210000
2000-08-08,132648250000
2000-08-09,134107960000
2000-08-10,128014250000
2000-08-11,129612980000
2000-08-14,135104270000
2000-08-15,123959500000
2000-08-16,118306020000
2000-08-17,118468210000
2000-08-18,119047460000
2000-08-21,117448730000
2000-08-22,118607230000
2000-08-23,117309710000
2000-08-24,117147520000
2000-08-25,117147520000
2000-08-28,116290230000
2000-08-29,114552480000
2000-08-30,111517210000
2000-08-31,111355020000
2000-09-01,112513520000
2000-09-05,116290230000
2000-09-06,117309710000
2000-09-07,117147520000
2000-09-08,122661980000
2000-09-11,125697250000
2000-09-12,129172750000
2000-09-13,127295980000
2000-09-14,128014250000
2000-09-15,125697250000
2000-09-18,127574020000
2000-09-19,123820480000
2000-09-20,124098520000
2000-09-21,129172750000
2000-09-22,129033730000
2000-09-25,126276500000
2000-09-26,123681460000
2000-09-27,125558230000
2000-09-28,126415520000
2000-09-29,122940020000
2000-10-02,121781520000
2000-10-03,124677770000
2000-10-04,128732520000
2000-10-05,124538750000
2000-10-06,118306020000
2000-10-09,117888960000
2000-10-10,117448730000
2000-10-11,113393980000
2000-10-12,80816960000
2000-10-13,84130270000
2000-10-16,87327730000
2000-10-17,81396210000
2000-10-18,84570500000
2000-10-19,89505710000
2000-10-20,91382480000
2000-10-23,93977520000
2000-10-24,90942250000
2000-10-25,88926460000
2000-10-26,90223980000
2000-10-27,91243460000
2000-10-30,94857980000
2000-10-31,99631000000
2000-11-01,102087020000
2000-11-02,99051750000
2000-11-03,95576250000
2000-11-06,95715270000
2000-11-07,95877460000
2000-11-08,95576250000
2000-11-09,89922770000
2000-11-10,83991250000
2000-11-13,86609460000
2000-11-14,90803230000
2000-11-15,91822710000
2000-11-16,90803230000
2000-11-17,89922770000
2000-11-20,90084960000
2000-11-21,88625250000
2000-11-22,85149750000
2000-11-24,86887500000
2000-11-27,89783750000
2000-11-28,91660520000
2000-11-29,92680000000
2000-11-30,90803230000
2000-12-01,90223980000
2000-12-04,94417750000
2000-12-05,101090710000
2000-12-06,104404020000
2000-12-07,104125980000
2000-12-08,109478250000
2000-12-11,104566210000
2000-12-12,104265000000
2000-12-13,104705230000
2000-12-14,101669960000
2000-12-15,97174980000
2000-12-18,102249210000
2000-12-19,98773710000
2000-12-20,95298210000
2000-12-21,99352960000
2000-12-22,96456710000
2000-12-26,94278730000
2000-12-27,99051750000
2000-12-28,101090710000
2000-12-29,105863730000
2001-01-02,105562520000
2001-01-03,119186480000
2001-01-04,119765730000
2001-01-05,115270750000
2001-01-08,110497730000
2001-01-09,106303960000
2001-01-10,109918480000
2001-01-11,113672020000
2001-01-12,113834210000
2001-01-16,113254960000
2001-01-17,107462460000
2001-01-18,102527250000
2001-01-19,94997000000
2001-01-22,101368750000
2001-01-23,103685750000
2001-01-24,104404020000
2001-01-25,106582000000
2001-01-26,103685750000
2001-01-29,105833000000
2001-01-30,106996000000
2001-01-31,112113200000
2001-02-01,113159900000
2001-02-02,109066140000
2001-02-05,108414860000
2001-02-06,106181900000
2001-02-07,106484280000
2001-02-08,102320740000
2001-02-09,103344180000
2001-02-12,106367980000
2001-02-13,107717060000
2001-02-14,106344720000
2001-02-15,103762860000
2001-02-16,100018000000
2001-02-20,102553340000
2001-02-21,95249700000
2001-02-22,93040000000
2001-02-23,93063260000
2001-02-26,101762500000
2001-02-27,103739600000
2001-02-28,98855000000
2001-03-01,96529000000
2001-03-02,96645300000
2001-03-05,96366180000
2001-03-06,96203360000
2001-03-07,101646200000
2001-03-08,104018720000
2001-03-09,103553520000
2001-03-12,97831560000
2001-03-13,99320200000
2001-03-14,96808120000
2001-03-15,100483200000
2001-03-16,98296760000
2001-03-19,98855000000
2001-03-20,97575700000
2001-03-21,96529000000
2001-03-22,94807760000
2001-03-23,92272420000
2001-03-26,96180100000
2001-03-27,101087960000
2001-03-28,100552980000
2001-03-29,99227159999
2001-03-30,100250600000
2001-04-02,98971300000
2001-04-03,99087600000
2001-04-04,98389800000
2001-04-05,102250960000
2001-04-06,101832280000
2001-04-09,98133940000
2001-04-10,100041260000
2001-04-11,96529000000
2001-04-12,96877900000
2001-04-16,96529000000
2001-04-17,97482659999
2001-04-18,106088860000
2001-04-19,107182080000
2001-04-20,107484460000
2001-04-23,107437940000
2001-04-24,104716520000
2001-04-25,107042520000
2001-04-26,110019800000
2001-04-27,111880600000
2001-04-30,109931400000
2001-05-01,114926160000
2001-05-02,113875860000
2001-05-03,113222340000
2001-05-04,115743060000
2001-05-07,114576060000
2001-05-08,116723340000
2001-05-09,113222340000
2001-05-10,114949500000
2001-05-11,116419920000
2001-05-14,114716100000
2001-05-15,116933400000
2001-05-16,119524140000
2001-05-17,121368000000
2001-05-18,123001800000
2001-05-21,124588920000
2001-05-22,123678660000
2001-05-23,122815080000
2001-05-24,124752300000
2001-05-25,122021520000
2001-05-29,117960360000
2001-05-30,116676660000
2001-05-31,115042860000
2001-06-01,114972840000
2001-06-04,116700000000
2001-06-05,117516900000
2001-06-06,115556340000
2001-06-07,118357140000
2001-06-08,118567200000
2001-06-11,118403820000
2001-06-12,119290740000
2001-06-13,117890340000
2001-06-14,115556340000
2001-06-15,114132600000
2001-06-18,114366000000
2001-06-19,115509660000
2001-06-20,114926160000
2001-06-21,118520520000
2001-06-22,118357140000
2001-06-25,114366000000
2001-06-26,110048100000
2001-06-27,109347900000
2001-06-28,109698000000
2001-06-29,108647700000
2001-07-02,111331800000
2001-07-03,111775260000
2001-07-05,108904439999
2001-07-06,105870240000
2001-07-09,107340660000
2001-07-10,105030000000
2001-07-11,106687140000
2001-07-12,112032000000
2001-07-13,113665800000
2001-07-16,114599400000
2001-07-17,115579680000
2001-07-18,114926160000
2001-07-19,116233200000
2001-07-20,115299600000
2001-07-23,111961980000
2001-07-24,110024760000
2001-07-25,114856140000
2001-07-26,115533000000
2001-07-27,115883100000
2001-07-30,115798350000
2001-07-31,117714690000
2001-08-01,116335860000
2001-08-02,116335860000
2001-08-03,114816810000
2001-08-06,112830360000
2001-08-07,114489630000
2001-08-08,111895560000
2001-08-09,113297760000
2001-08-10,113251020000
2001-08-13,112409700000
2001-08-14,115214100000
2001-08-15,114957030000
2001-08-16,116592930000
2001-08-17,115050510000
2001-08-20,116382600000
2001-08-21,112409700000
2001-08-22,114045600000
2001-08-23,112152630000
2001-08-24,116709780000
2001-08-27,114489630000
2001-08-28,111942300000
2001-08-29,109839000000
2001-08-30,107081340000
2001-08-31,107385150000
2001-09-04,109418340000
2001-09-05,107478630000
2001-09-06,101776350000
2001-09-07,95700150000
2001-09-10,94765350000
2001-09-17,84599400000
2001-09-18,85744530000
2001-09-19,82496100000
2001-09-20,76653600000
2001-09-21,77378070000
2001-09-24,84155370000
2001-09-25,84833100000
2001-09-26,83080350000
2001-09-27,86235300000
2001-09-28,89670690000
2001-10-01,88385340000
2001-10-02,91259850000
2001-10-03,95419710000
2001-10-04,91587030000
2001-10-05,92101169999
2001-10-08,89670690000
2001-10-09,88572300000
2001-10-10,93970770000
2001-10-11,100724700000
2001-10-12,97406160000
2001-10-15,95723520000
2001-10-16,97265940000
2001-10-17,94671870000
2001-10-18,95115900000
2001-10-19,94438169999
2001-10-22,93363150000
2001-10-23,94297950000
2001-10-24,93947400000
2001-10-25,94531650000
2001-10-26,94157730000
2001-10-29,90525280000
2001-10-30,88134400000
2001-10-31,89611120000
2001-11-01,90009600000
2001-11-02,94510080000
2001-11-05,97393200000
2001-11-06,100088800000
2001-11-07,98330800000
2001-11-08,98190160000
2001-11-09,98705840000
2001-11-12,96385280000
2001-11-13,103136000000
2001-11-14,108363120000
2001-11-15,108972560000
2001-11-16,107355200000
2001-11-19,110332080000
2001-11-20,108245920000
2001-11-21,108714720000
2001-11-23,109183520000
2001-11-26,106698880000
2001-11-27,101612400000
2001-11-28,102667200000
2001-11-29,103182880000
2001-11-30,109347600000
2001-12-03,108738160000
2001-12-04,111808800000
2001-12-05,116965600000
2001-12-06,115207600000
2001-12-07,115817039999
2001-12-10,113121440000
2001-12-11,112441680000
2001-12-12,113332400000
2001-12-13,112512000000
2001-12-14,116754640000
2001-12-17,117200000000
2001-12-18,117575039999
2001-12-19,118606400000
2001-12-20,117926640000
2001-12-21,120716000000
2001-12-24,120294080000
2001-12-26,120997280000
2001-12-27,120575360000
2001-12-28,120716000000
2001-12-31,119567440000
2002-01-02,118114160000
2002-01-03,117317200000
2002-01-04,119426800000
2002-01-07,118582960000
2002-01-08,119778400000
2002-01-09,117809440000
2002-01-10,117903200000
2002-01-11,118278240000
2002-01-14,116098320000
2002-01-15,116496800000
2002-01-16,115066960000
2002-01-17,112512000000
2002-01-18,113684000000
2002-01-22,113684000000
2002-01-23,113730880000
2002-01-24,112488560000
2002-01-25,110168000000
2002-01-28,112043200000
2002-01-29,110168000000
2002-01-30,115020080000
2002-01-31,117410960000
2002-02-01,115793600000
2002-02-04,115077510000
2002-02-05,115335900000
2002-02-06,114889589999
2002-02-07,114748650000
2002-02-08,116745300000
2002-02-11,118624500000
2002-02-12,118178190000
2002-02-13,120362760000
2002-02-14,121090950000
2002-02-15,118671480000
2002-02-19,118272150000
2002-02-20,121466790000
2002-02-21,120503700000
2002-02-22,119799000000
2002-02-25,122312430000
2002-02-26,120996990000
2002-02-27,119611080000
2002-02-28,117450000000
2002-03-01,118131210000
2002-03-04,117215100000
2002-03-05,111577500000
2002-03-06,114396300000
2002-03-07,113691600000
2002-03-08,114960060000
2002-03-11,113527170000
2002-03-12,113574150000
2002-03-13,113926500000
2002-03-14,113574150000
2002-03-15,114913080000
2002-03-18,114419790000
2002-03-19,116275500000
2002-03-20,116604360000
2002-03-21,115218450000
2002-03-22,115946640000
2002-03-25,113809050000
2002-03-26,115101000000
2002-03-27,115711740000
2002-03-28,114184890000
2002-04-01,113268780000
2002-04-02,111600990000
2002-04-03,110285550000
2002-04-04,113104350000
2002-04-05,114560730000
2002-04-08,116275500000
2002-04-09,115288920000
2002-04-10,116839260000
2002-04-11,115876170000
2002-04-12,118295640000
2002-04-15,115570800000
2002-04-16,117074160000
2002-04-17,115970130000
2002-04-18,116322480000
2002-04-19,115453350000
2002-04-22,113949990000
2002-04-23,114772140000
2002-04-24,113151330000
2002-04-25,114325830000
2002-04-26,112963410000
2002-04-29,110309040000
2002-04-30,108923130000
2002-05-01,109322460000
2002-05-02,109933200000
2002-05-03,109228500000
2002-05-06,105223800000
2002-05-07,107601340000
2002-05-08,109107900000
2002-05-09,108637100000
2002-05-10,107107000000
2002-05-13,107389480000
2002-05-14,112944920000
2002-05-15,110638000000
2002-05-16,110638000000
2002-05-17,113203860000
2002-05-20,114169000000
2002-05-21,105694600000
2002-05-22,104164500000
2002-05-23,100986600000
2002-05-24,102210680000
2002-05-28,97785160000
2002-05-29,96396300000
2002-05-30,94513100000
2002-05-31,98138260000
2002-06-03,95384080000
2002-06-04,94395400000
2002-06-05,95431160000
2002-06-06,91829540000
2002-06-07,91405820000
2002-06-10,94042300000
2002-06-11,92182639999
2002-06-12,89593240000
2002-06-13,89216600000
2002-06-14,87050920000
2002-06-17,90629000000
2002-06-18,88510400000
2002-06-19,88628100000
2002-06-20,85944540000
2002-06-21,83967180000
2002-06-24,86321180000
2002-06-25,85073560000
2002-06-26,86015160000
2002-06-27,87568800000
2002-06-28,86462420000
2002-07-01,83684700000
2002-07-02,79447500000
2002-07-03,86744900000
2002-07-05,89428460000
2002-07-08,86862600000
2002-07-09,83213900000
2002-07-10,78270500000
2002-07-11,73915600000
2002-07-12,68477860000
2002-07-15,70620000000
2002-07-16,71891160000
2002-07-17,72691520000
2002-07-18,69701940000
2002-07-19,67559800000
2002-07-22,66100319999
2002-07-23,66265100000
2002-07-24,72314880000
2002-07-25,67912900000
2002-07-26,68972200000
2002-07-29,72926920000
2002-07-30,72008860000
2002-07-31,72691520000
2002-08-01,69749020000
2002-08-02,66924220000
2002-08-05,64220760000
2002-08-06,65506110000
2002-08-07,66043620000
2002-08-08,63426180000
2002-08-09,66113730000
2002-08-12,62397900000
2002-08-13,61907130000
2002-08-14,66090360000
2002-08-15,67609410000
2002-08-16,65669700000
2002-08-19,67843110000
2002-08-20,70694250000
2002-08-21,76373160000
2002-08-22,79130820000
2002-08-23,78359610000
2002-08-26,79294410000
2002-08-27,77261220000
2002-08-28,76419900000
2002-08-29,77214480000
2002-08-30,76957410000
2002-09-03,74456820000
2002-09-04,76162830000
2002-09-05,75017700000
2002-09-06,77705250000
2002-09-09,77728620000
2002-09-10,77121000000
2002-09-11,77658510000
2002-09-12,75905760000
2002-09-13,78172650000
2002-09-16,79504740000
2002-09-17,77494919999
2002-09-18,77541660000
2002-09-19,75274770000
2002-09-20,72984510000
2002-09-23,69829560000
2002-09-24,66394170000
2002-09-25,64501200000
2002-09-26,66066990000
2002-09-27,62538120000
2002-09-30,60995700000
2002-10-01,61650060000
2002-10-02,58308150000
2002-10-03,58331520000
2002-10-04,60294600000
2002-10-07,56578770000
2002-10-08,59009250000
2002-10-09,55293420000
2002-10-10,57490200000
2002-10-11,61252770000
2002-10-14,62047350000
2002-10-15,68707800000
2002-10-16,66487650000
2002-10-17,68123550000
2002-10-18,71068170000
2002-10-21,69759450000
2002-10-22,69105090000
2002-10-23,71138280000
2002-10-24,69852930000
2002-10-25,71465460000
2002-10-28,70460550000
2002-10-29,69969780000
2002-10-30,68871390000
2002-10-31,67492560000
2002-11-01,66370800000
2002-11-04,62664630000
2002-11-05,65128840000
2002-11-06,65174900000
2002-11-07,62618570000
2002-11-08,61374950000
2002-11-11,60430720000
2002-11-12,62019790000
2002-11-13,62065850000
2002-11-14,64115520000
2002-11-15,65220960000
2002-11-18,65865800000
2002-11-19,57367730000
2002-11-20,56884100000
2002-11-21,57528940000
2002-11-22,57920450000
2002-11-25,58611350000
2002-11-26,57621060000
2002-11-27,60085270000
2002-11-29,60799200000
2002-12-02,60960410000
2002-12-03,59878000000
2002-12-04,59901030000
2002-12-05,59808910000
2002-12-06,60108300000
2002-12-09,59302250000
2002-12-10,61950700000
2002-12-11,61651310000
2002-12-12,62848870000
2002-12-13,60776170000
2002-12-16,61513130000
2002-12-17,59187100000
2002-12-18,58657410000
2002-12-19,57436820000
2002-12-20,57183489999
2002-12-23,56308350000
2002-12-24,55732600000
2002-12-26,55709570000
2002-12-27,54742310000
2002-12-30,54535040000
2002-12-31,55318060000
2003-01-02,57298640000
2003-01-03,49238140000
2003-01-06,50251460000
2003-01-07,49422380000
2003-01-08,48731480000
2003-01-09,49445410000
2003-01-10,49698739999
2003-01-13,50573880000
2003-01-14,50781150000
2003-01-15,50366610000
2003-01-16,51057510000
2003-01-17,51656290000
2003-01-21,50205400000
2003-01-22,49698739999
2003-01-23,50573880000
2003-01-24,48961780000
2003-01-27,47441800000
2003-01-28,47280590000
2003-01-29,48293910000
2003-01-30,47718160000
2003-01-31,48132700000
2003-02-03,49002960000
2003-02-04,48384120000
2003-02-05,48842520000
2003-02-06,49575960000
2003-02-07,48842520000
2003-02-10,49461359999
2003-02-11,48773760000
2003-02-12,48590400000
2003-02-13,47444400000
2003-02-14,48934200000
2003-02-18,50194800000
2003-02-19,50057280000
2003-02-20,49621800000
2003-02-21,51363720000
2003-02-24,50836560000
2003-02-25,52349280000
2003-02-26,52440960000
2003-02-27,52968120000
2003-02-28,53747400000
2003-03-03,52922280000
2003-03-04,50653200000
2003-03-05,50767800000
2003-03-06,50653200000
2003-03-07,51615840000
2003-03-10,50240640000
2003-03-11,49851000000
2003-03-12,50813640000
2003-03-13,53059800000
2003-03-14,52693080000
2003-03-17,54778800000
2003-03-18,54870480000
2003-03-19,56268600000
2003-03-20,57116640000
2003-03-21,59087760000
2003-03-24,55878960000
2003-03-25,57552120000
2003-03-26,58262640000
2003-03-27,57437520000
2003-03-28,56451960000
2003-03-31,55833120000
2003-04-01,56818680000
2003-04-02,59316960000
2003-04-03,59660760000
2003-04-04,60577560000
2003-04-07,60348359999
2003-04-08,60577560000
2003-04-09,59019000000
2003-04-10,59294040000
2003-04-11,59362800000
2003-04-14,60852600000
2003-04-15,62250720000
2003-04-16,61081800000
2003-04-17,62732040000
2003-04-21,62961240000
2003-04-22,63373800000
2003-04-23,63900960000
2003-04-24,63373800000
2003-04-25,62961240000
2003-04-28,63969720000
2003-04-29,64749000000
2003-04-30,64473960000
2003-05-01,63923880000
2003-05-02,65344920000
2003-05-05,66371400000
2003-05-06,67656600000
2003-05-07,67909050000
2003-05-08,67082850000
2003-05-09,68184450000
2003-05-12,69033600000
2003-05-13,68735250000
2003-05-14,67932000000
2003-05-15,67404150000
2003-05-16,66991050000
2003-05-19,64420650000
2003-05-20,70387650000
2003-05-21,70272900000
2003-05-22,70777800000
2003-05-23,70089300000
2003-05-27,72177750000
2003-05-28,72889200000
2003-05-29,72430200000
2003-05-30,74564550000
2003-06-02,74908800000
2003-06-03,75023550000
2003-06-04,74564550000
2003-06-05,75321900000
2003-06-06,75413700000
2003-06-09,74702250000
2003-06-10,74725200000
2003-06-11,75482550000
2003-06-12,75574350000
2003-06-13,77020200000
2003-06-16,79085700000
2003-06-17,79039800000
2003-06-18,76721850000
2003-06-19,75551400000
2003-06-20,74564550000
2003-06-23,73256400000
2003-06-24,73944900000
2003-06-25,74472750000
2003-06-26,74518650000
2003-06-27,74518650000
2003-06-30,76010400000
2003-07-01,75964500000
2003-07-02,76744800000
2003-07-03,76653000000
2003-07-07,77502150000
2003-07-08,79292250000
2003-07-09,76859550000
2003-07-10,74426850000
2003-07-11,76125150000
2003-07-14,76607100000
2003-07-15,76125150000
2003-07-16,76882500000
2003-07-17,75964500000
2003-07-18,75918600000
2003-07-21,73784250000
2003-07-22,72889200000
2003-07-23,73715400000
2003-07-24,72246600000
2003-07-25,73440000000
2003-07-28,72866250000
2003-07-29,72453150000
2003-07-30,71833500000
2003-07-31,71604000000
2003-08-01,70686000000
2003-08-04,70566000000
2003-08-05,69220800000
2003-08-06,71409600000
2003-08-07,72868800000
2003-08-08,74601600000
2003-08-11,74533200000
2003-08-12,75536400000
2003-08-13,75650400000
2003-08-14,75422400000
2003-08-15,76471200000
2003-08-18,77292000000
2003-08-19,73324799999
2003-08-20,74259600000
2003-08-21,74692800000
2003-08-22,74784000000
2003-08-25,74054400000
2003-08-26,73507200000
2003-08-27,74008800000
2003-08-28,73552800000
2003-08-29,73324799999
2003-09-02,73552800000
2003-09-03,74761200000
2003-09-04,78067200000
2003-09-05,76972800000
2003-09-08,76950000000
2003-09-09,73302000000
2003-09-10,72435600000
2003-09-11,72412800000
2003-09-12,72025200000
2003-09-15,74738400000
2003-09-16,75924000000
2003-09-17,75240000000
2003-09-18,75650400000
2003-09-19,75468000000
2003-09-22,74647200000
2003-09-23,75240000000
2003-09-24,73872000000
2003-09-25,73302000000
2003-09-26,72914400000
2003-09-29,73302000000
2003-09-30,72618000000
2003-10-01,75012000000
2003-10-02,75810000000
2003-10-03,76676400000
2003-10-06,77565600000
2003-10-07,78591600000
2003-10-08,78409200000
2003-10-09,80073600000
2003-10-10,79617600000
2003-10-13,80940000000
2003-10-14,80552400000
2003-10-15,82741200000
2003-10-16,82786800000
2003-10-17,82422000000
2003-10-20,82308000000
2003-10-21,82422000000
2003-10-22,82216800000
2003-10-23,81715200000
2003-10-24,81168000000
2003-10-27,82080000000
2003-10-28,85500000000
2003-10-29,84884400000
2003-10-30,84496800000
2003-10-31,84519600000
2003-11-03,84982800000
2003-11-04,84416550000
2003-11-05,84031500000
2003-11-06,84529800000
2003-11-07,84643050000
2003-11-10,83940900000
2003-11-11,83646450000
2003-11-12,83669100000
2003-11-13,82264800000
2003-11-14,81970350000
2003-11-17,80339550000
2003-11-18,79161750000
2003-11-19,80316900000
2003-11-20,79977150000
2003-11-21,80769899999
2003-11-24,82627200000
2003-11-25,82944300000
2003-11-26,82785750000
2003-11-28,83261400000
2003-12-01,83284050000
2003-12-02,81245550000
2003-12-03,80475450000
2003-12-04,78957900000
2003-12-05,78640800000
2003-12-08,78595500000
2003-12-09,77100600000
2003-12-10,74926200000
2003-12-11,78210450000
2003-12-12,78482250000
2003-12-15,77802750000
2003-12-16,77825400000
2003-12-17,79592100000
2003-12-18,80022450000
2003-12-19,80407500000
2003-12-22,78889950000
2003-12-23,78369000000
2003-12-24,78572850000
2003-12-26,79003200000
2003-12-29,80588700000
2003-12-30,79931850000
2003-12-31,80384850000
2004-01-02,79320300000
2004-01-05,79342950000
2004-01-06,80203649999
2004-01-07,81313500000
2004-01-08,80634000000
2004-01-09,80837850000
2004-01-12,79728000000
2004-01-13,79456200000
2004-01-14,80339550000
2004-01-15,80248950000
2004-01-16,79139100000
2004-01-20,79297650000
2004-01-21,80724600000
2004-01-22,81381450000
2004-01-23,81358800000
2004-01-26,82219500000
2004-01-27,81404100000
2004-01-28,78912600000
2004-01-29,80634000000
2004-01-30,80339550000
2004-02-02,79120180000
2004-02-03,78582100000
2004-02-04,79501320000
2004-02-05,79591000000
2004-02-06,81451860000
2004-02-09,81093140000
2004-02-10,80824100000
2004-02-11,82572860000
2004-02-12,81989940000
2004-02-13,81093140000
2004-02-17,81384600000
2004-02-18,80465380000
2004-02-19,79725520000
2004-02-20,80039400000
2004-02-23,79321960000
2004-02-24,80689580000
2004-02-25,81631219999
2004-02-26,82595280000
2004-02-27,81407020000
2004-03-01,82595280000
2004-03-02,83021260000
2004-03-03,83066100000
2004-03-04,83178200000
2004-03-05,83962900000
2004-03-08,83447240000
2004-03-09,82886740000
2004-03-10,81608800000
2004-03-11,80913780000
2004-03-12,80913780000
2004-03-15,79389219999
2004-03-16,80398120000
2004-03-17,81833000000
2004-03-18,82931580000
2004-03-19,82236560000
2004-03-22,80846520000
2004-03-23,81182820000
2004-03-24,80689580000
2004-03-25,83290300000
2004-03-26,82797060000
2004-03-29,83626600000
2004-03-30,83873219999
2004-03-31,83761120000
2004-04-01,83133360000
2004-04-02,82236560000
2004-04-05,83492080000
2004-04-06,82819480000
2004-04-07,81810580000
2004-04-08,81160400000
2004-04-12,81743320000
2004-04-13,80398120000
2004-04-14,80308440000
2004-04-15,80398120000
2004-04-16,81160400000
2004-04-19,80712000000
2004-04-20,79927300000
2004-04-21,79680680000
2004-04-22,81496700000
2004-04-23,81810580000
2004-04-26,81496700000
2004-04-27,81900260000
2004-04-28,80689580000
2004-04-29,80106660000
2004-04-30,78895980000
2004-05-03,77752610000
2004-05-04,78039520000
2004-05-05,77818820000
2004-05-06,75832520000
2004-05-07,72831000000
2004-05-10,73802080000
2004-05-11,73912430000
2004-05-12,74000710000
2004-05-13,74420040000
2004-05-14,74596600000
2004-05-17,73868290000
2004-05-18,76406340000
2004-05-19,75082140000
2004-05-20,75258700000
2004-05-21,76075290000
2004-05-24,76472550000
2004-05-25,77907100000
2004-05-26,78260220000
2004-05-27,79098880000
2004-05-28,79275440000
2004-06-01,78922320000
2004-06-02,78723690000
2004-06-03,78304360000
2004-06-04,77973310000
2004-06-07,79098880000
2004-06-08,79297510000
2004-06-09,78216080000
2004-06-10,78900250000
2004-06-14,78370570000
2004-06-15,78944390000
2004-06-16,79452000000
2004-06-17,78723690000
2004-06-18,78061590000
2004-06-21,78834040000
2004-06-22,77333280000
2004-06-23,78216080000
2004-06-24,78127800000
2004-06-25,77796750000
2004-06-28,78260220000
2004-06-29,77620190000
2004-06-30,77686400000
2004-07-01,77222930000
2004-07-02,76560830000
2004-07-06,76516690000
2004-07-07,77245000000
2004-07-08,75678030000
2004-07-09,75854590000
2004-07-12,76494620000
2004-07-13,76936020000
2004-07-14,76163570000
2004-07-15,75766310000
2004-07-16,74861440000
2004-07-19,73426890000
2004-07-20,75015930000
2004-07-21,74000710000
2004-07-22,74596600000
2004-07-23,72831000000
2004-07-26,72566160000
2004-07-27,73780010000
2004-07-28,73934500000
2004-07-29,74420040000
2004-07-30,74420040000
2004-08-02,74559730000
2004-08-03,73442320000
2004-08-04,73595690000
2004-08-05,72259180000
2004-08-06,72083900000
2004-08-09,72105810000
2004-08-10,73113670000
2004-08-11,72500190000
2004-08-12,72193450000
2004-08-13,72609740000
2004-08-16,74450180000
2004-08-17,76904100000
2004-08-18,78941730000
2004-08-19,79401840000
2004-08-20,79664760000
2004-08-23,78876000000
2004-08-24,79599030000
