,PEP
2003-03-21,71564444426
2003-03-24,68718981836
2003-03-25,68753272745
2003-03-26,68273200018
2003-03-27,69079036381
2003-03-28,68410363654
2003-03-31,68581818200
2003-04-01,68547527290
2003-04-02,68067454563
2003-04-03,65444200017
2003-04-04,66250036381
2003-04-07,66730109108
2003-04-08,67261618199
2003-04-09,67535945472
2003-04-10,68221763654
2003-04-11,69044745472
2003-04-14,70244927291
2003-04-15,69559109109
2003-04-16,68410363654
2003-04-17,72936763655
2003-04-21,71736581837
2003-04-22,72525272746
2003-04-23,73725454565
2003-04-24,74291254565
2003-04-25,73125363655
2003-04-28,74497000019
2003-04-29,74479854565
2003-04-30,74205527292
2003-05-01,75028509110
2003-05-02,74462709110
2003-05-05,74205527292
2003-05-06,74394127292
2003-05-07,74256963656
2003-05-08,73896909110
2003-05-09,74908490928
2003-05-12,74891345474
2003-05-13,74531290928
2003-05-14,74359836383
2003-05-15,75045654565
2003-05-16,74239818201
2003-05-19,73691163655
2003-05-20,73725454565
2003-05-21,74239818201
2003-05-22,74977072747
2003-05-23,74685600019
2003-05-27,75748618201
2003-05-28,74668454565
2003-05-29,74994218201
2003-05-30,75782909111
2003-06-02,75611454565
2003-06-03,75834345474
2003-06-04,76931654565
2003-06-05,76331563656
2003-06-06,75954363656
2003-06-09,75474290929
2003-06-10,76091527292
2003-06-11,76177254565
2003-06-12,76468727293
2003-06-13,76708763656
2003-06-16,77711111114
2003-06-17,76652190479
2003-06-18,76788825399
2003-06-19,76191047621
2003-06-20,75883619050
2003-06-23,75439555558
2003-06-24,75046730161
2003-06-25,74380634923
2003-06-26,75422476193
2003-06-27,74875936510
2003-06-30,76003174606
2003-07-01,75815301590
2003-07-02,75934857145
2003-07-03,75200444447
2003-07-07,75781142859
2003-07-08,77062095240
2003-07-09,76088571431
2003-07-10,80187619050
2003-07-11,80990349209
2003-07-14,80392571431
2003-07-15,81109904764
2003-07-16,81553968257
2003-07-17,79897269844
2003-07-18,80819555558
2003-07-21,80375492066
2003-07-22,80358412701
2003-07-23,80290095241
2003-07-24,79709396828
2003-07-25,80495047622
2003-07-28,79214095241
2003-07-29,78565079368
2003-07-30,79162857145
2003-07-31,78684634923
2003-08-01,77454920637
2003-08-04,76959619050
2003-08-05,76242285717
2003-08-06,76447238098
2003-08-07,76840063494
2003-08-08,77642793653
2003-08-11,77215809526
2003-08-12,77881904764
2003-08-13,76805904764
2003-08-14,76857142860
2003-08-15,77267047621
2003-08-18,77369523812
2003-08-19,76515555558
2003-08-20,75490793653
2003-08-21,75183365082
2003-08-22,74329396828
2003-08-25,74653904764
2003-08-26,75268761907
2003-08-27,75200444447
2003-08-28,76464317463
2003-08-29,76071492066
2003-09-02,76754666669
2003-09-03,76788825399
2003-09-04,76464317463
2003-09-05,75712825399
2003-09-08,76566793653
2003-09-09,76088571431
2003-09-10,76378920637
2003-09-11,76378920637
2003-09-12,77164571431
2003-09-15,77113333336
2003-09-16,78274730161
2003-09-17,77506158733
2003-09-18,78086857145
2003-09-19,78155174606
2003-09-22,77369523812
2003-09-23,78035619050
2003-09-24,77352444447
2003-09-25,77728190479
2003-09-26,77933142860
2003-09-29,78940825399
2003-09-30,78063398544
2003-10-01,79511225050
2003-10-02,79902989869
2003-10-03,80396954207
2003-10-06,80907951797
2003-10-07,80737619267
2003-10-08,81418949387
2003-10-09,81725547941
2003-10-10,81759614448
2003-10-13,82321711797
2003-10-14,82594243845
2003-10-15,81606315170
2003-10-16,81793680954
2003-10-17,81555215411
2003-10-20,82015113243
2003-10-21,81538182158
2003-10-22,81282683363
2003-10-23,81793680954
2003-10-24,81725547941
2003-10-27,81027184568
2003-10-28,82611277098
2003-10-29,81981046737
2003-10-30,81776647701
2003-10-31,81453015893
2003-11-03,81453015893
2003-11-04,81333783122
2003-11-05,80703552761
2003-11-06,81708514688
2003-11-07,80890918544
2003-11-10,80754652520
2003-11-11,81640381676
2003-11-12,81861813966
2003-11-13,80907951797
2003-11-14,80618386496
2003-11-17,81197517098
2003-11-18,80396954207
2003-11-19,81657414929
2003-11-20,80516186978
2003-11-21,80924985050
2003-11-24,81759614448
2003-11-25,81248616857
2003-11-26,81691481435
2003-11-28,81964013484
2003-12-01,82968975411
2003-12-02,81998079990
2003-12-03,81248616857
2003-12-04,82015113243
2003-12-05,82611277098
2003-12-08,82202479026
2003-12-09,80737619267
2003-12-10,79885956616
2003-12-11,79851890110
2003-12-12,79851890110
2003-12-15,80686519508
2003-12-16,80737619267
2003-12-17,80311787942
2003-12-18,80294754689
2003-12-19,80345854448
2003-12-22,80039255893
2003-12-23,79170559990
2003-12-24,78676595653
2003-12-26,79153526737
2003-12-29,79989446814
2003-12-30,79749957452
2003-12-31,79749957452
2004-01-02,79476255325
2004-01-05,80827659580
2004-01-06,81340851069
2004-01-07,80297361708
2004-01-08,78706468090
2004-01-09,78295914899
2004-01-12,78398553197
2004-01-13,78073531920
2004-01-14,78244595750
2004-01-15,77834042559
2004-01-16,77645872346
2004-01-20,78774893622
2004-01-21,79014382984
2004-01-22,79613106388
2004-01-23,79630212771
2004-01-26,80040765963
2004-01-27,79459148942
2004-01-28,79117021282
2004-01-29,80434212771
2004-01-30,80844765963
2004-02-02,82008000006
2004-02-03,81511914899
2004-02-04,81426382984
2004-02-05,83051489367
2004-02-06,85891148942
2004-02-09,85429276602
2004-02-10,86883319155
2004-02-11,87413617027
2004-02-12,87105702134
2004-02-13,86421446814
2004-02-17,87242553198
2004-02-18,87704425538
2004-02-19,87807063836
2004-02-20,88525531921
2004-02-23,89107148942
2004-02-24,89124255325
2004-02-25,89124255325
2004-02-26,88508425538
2004-02-27,88782127666
2004-03-01,89226893623
2004-03-02,89466382985
2004-03-03,89688765964
2004-03-04,89449276602
2004-03-05,89329531921
2004-03-08,89432170219
2004-03-09,90236170219
2004-03-10,89363744687
2004-03-11,88440000006
2004-03-12,88183404261
2004-03-15,87841276602
2004-03-16,87584680857
2004-03-17,87961021283
2004-03-18,87961021283
2004-03-19,87122808517
2004-03-22,86752596767
2004-03-23,87042967735
2004-03-24,86752596767
2004-03-25,87487064509
2004-03-26,87213774186
2004-03-29,89178048380
2004-03-30,91005677412
2004-03-31,91979274186
2004-04-01,92491693541
2004-04-02,91979274186
2004-04-05,93055354831
2004-04-06,93448209670
2004-04-07,93670258057
2004-04-08,93499451605
2004-04-12,93960629025
2004-04-13,93516532251
2004-04-14,93789822573
2004-04-15,93619016121
2004-04-16,93584854831
2004-04-19,94063112896
2004-04-20,92594177412
2004-04-21,93379887089
2004-04-22,93755661283
2004-04-23,93858145154
2004-04-26,93414048380
2004-04-27,93328645154
2004-04-28,92047596767
2004-04-29,92423370960
2004-04-30,93072435476
2004-05-03,93721499992
2004-05-04,92901629025
2004-05-05,93123677412
2004-05-06,93687338702
2004-05-07,92850387089
2004-05-10,91893870960
2004-05-11,91859709670
2004-05-12,91620580638
2004-05-13,90783629025
2004-05-14,91808467735
2004-05-17,91415612896
2004-05-18,90954435477
2004-05-19,90356612896
2004-05-20,91893870960
2004-05-21,91313129025
2004-05-24,91244806444
2004-05-25,91928032251
2004-05-26,91039838702
2004-05-27,91432693541
2004-05-28,91159403218
2004-06-01,91313129025
2004-06-02,92679580638
2004-06-03,92184241928
2004-06-04,92816225799
2004-06-07,93379887089
2004-06-08,93858145154
2004-06-09,93260322573
2004-06-10,93858145154
2004-06-14,93126975000
2004-06-15,94012925000
2004-06-16,94081075000
2004-06-17,93604025000
2004-06-18,93706250000
2004-06-21,93535875000
2004-06-22,94643312500
2004-06-23,94541087500
2004-06-24,93927737500
2004-06-25,92002500000
2004-06-28,92292137500
2004-06-29,91491375000
2004-06-30,91798050000
2004-07-01,91235812500
2004-07-02,90707650000
2004-07-06,91150625000
2004-07-07,90912100000
2004-07-08,90605425000
2004-07-09,90383937500
2004-07-12,90418012500
2004-07-13,90605425000
2004-07-14,90997287500
2004-07-15,88458700000
2004-07-16,89106125000
2004-07-19,88833525000
2004-07-20,88015725000
2004-07-21,87095700000
2004-07-22,86090487500
2004-07-23,86669762500
2004-07-26,87828312500
2004-07-27,86891250000
2004-07-28,87214962500
2004-07-29,85017125000
2004-07-30,85187500000
2004-08-02,87027550000
2004-08-03,87232000000
2004-08-04,88526850000
2004-08-05,87760162500
2004-08-06,86635687500
2004-08-09,86550500000
2004-08-10,87044587500
2004-08-11,88203137500
2004-08-12,87112737500
2004-08-13,86703837500
2004-08-16,86686800000
2004-08-17,85732700000
2004-08-18,85647512500
2004-08-19,85494175000
2004-08-20,85170462500
2004-08-23,84983050000
