,KMX
2000-08-29,122959375
2000-08-30,121362500
2000-08-31,119765625
2000-09-01,118261250
2000-09-05,119859375
2000-09-06,123055625
2000-09-07,135840625
2000-09-08,127850000
2000-09-11,121457500
2000-09-12,118261250
2000-09-13,119859375
2000-09-14,123055625
2000-09-15,124653750
2000-09-18,123055625
2000-09-19,124653750
2000-09-20,121457500
2000-09-21,116663125
2000-09-22,111868750
2000-09-25,110270625
2000-09-26,102280000
2000-09-27,99083750
2000-09-28,105476250
2000-09-29,116663125
2000-10-02,124653750
2000-10-03,119859375
2000-10-04,119859375
2000-10-05,119859375
2000-10-06,118261250
2000-10-09,111868750
2000-10-10,110270625
2000-10-11,107074375
2000-10-12,103878125
2000-10-13,116663125
2000-10-16,110270625
2000-10-17,108672500
2000-10-18,110270625
2000-10-19,110270625
2000-10-20,108672500
2000-10-23,107074375
2000-10-24,102280000
2000-10-25,100681875
2000-10-26,94289375
2000-10-27,94289375
2000-10-30,89495000
2000-10-31,94289375
2000-11-01,102280000
2000-11-02,102280000
2000-11-03,103878125
2000-11-06,103878125
2000-11-07,115065000
2000-11-08,108672500
2000-11-09,108672500
2000-11-10,102280000
2000-11-13,115065000
2000-11-14,116663125
2000-11-15,111868750
2000-11-16,110270625
2000-11-17,110270625
2000-11-20,107074375
2000-11-21,108672500
2000-11-22,103878125
2000-11-24,105476250
2000-11-27,105476250
2000-11-28,103878125
2000-11-29,105476250
2000-11-30,102280000
2000-12-01,100587375
2000-12-04,98990750
2000-12-05,98990750
2000-12-06,102184000
2000-12-07,98990750
2000-12-08,102184000
2000-12-11,103780625
2000-12-12,102184000
2000-12-13,100587375
2000-12-14,98990750
2000-12-15,97394125
2000-12-18,97394125
2000-12-19,106973875
2000-12-20,100587375
2000-12-21,100587375
2000-12-22,97394125
2000-12-26,97394125
2000-12-27,102184000
2000-12-28,102184000
2000-12-29,100587375
2001-01-02,102184000
2001-01-03,110167125
2001-01-04,116553625
2001-01-05,113360375
2001-01-08,105377250
2001-01-09,111763750
2001-01-10,113360375
2001-01-11,118150250
2001-01-12,119746875
2001-01-16,127730000
2001-01-17,135713125
2001-01-18,132519875
2001-01-19,130923250
2001-01-22,127730000
2001-01-23,134116500
2001-01-24,129326625
2001-01-25,122940125
2001-01-26,119746875
2001-01-29,113679700
2001-01-30,127730000
2001-01-31,123898099
2001-02-01,120832580
2001-02-02,122620800
2001-02-05,128751840
2001-02-06,128751840
2001-02-07,132072820
2001-02-08,132839200
2001-02-09,129007300
2001-02-12,130284599
2001-02-13,140503000
2001-02-14,134116500
2001-02-15,134116500
2001-02-16,130284599
2001-02-20,126452700
2001-02-21,134116500
2001-02-22,134116500
2001-02-23,132839200
2001-02-26,134116500
2001-02-27,131306439
2001-02-28,131561900
2001-03-01,134552200
2001-03-02,138548800
2001-03-05,135884400
2001-03-06,147874200
2001-03-07,159864000
2001-03-08,151337920
2001-03-09,156400280
2001-03-12,143877600
2001-03-13,147341320
2001-03-14,143877600
2001-03-15,144144040
2001-03-16,138548800
2001-03-19,142545400
2001-03-20,152936560
2001-03-21,148673520
2001-03-22,151870800
2001-03-23,160130440
2001-03-26,178514800
2001-03-27,200096440
2001-03-28,213152000
2001-03-29,209155400
2001-03-30,200895760
2001-04-02,203560160
2001-04-03,206491000
2001-04-04,205158800
2001-04-05,205158800
2001-04-06,205158800
2001-04-09,200895760
2001-04-10,202494400
2001-04-11,202494400
2001-04-12,212885560
2001-04-16,212885560
2001-04-17,222477400
2001-04-18,214217759
2001-04-19,216082839
2001-04-20,223543160
2001-04-23,249387839
2001-04-24,272834560
2001-04-25,263775600
2001-04-26,261910520
2001-04-27,277364040
2001-04-30,269104400
2001-05-01,267772200
2001-05-02,274433200
2001-05-03,285090800
2001-05-04,281094200
2001-05-07,292551120
2001-05-08,332517120
2001-05-09,334915080
2001-05-10,310402600
2001-05-11,347970640
2001-05-14,383673600
2001-05-15,399660000
2001-05-16,376213280
2001-05-17,361026200
2001-05-18,366621440
2001-05-21,363690600
2001-05-22,361292640
2001-05-23,372749560
2001-05-24,399393560
2001-05-25,399660000
2001-05-29,397262040
2001-05-30,375413960
2001-05-31,395929840
2001-06-01,423190950
2001-06-04,454690600
2001-06-05,450581950
2001-06-06,413056280
2001-06-07,405386800
2001-06-08,409495450
2001-06-11,404017250
2001-06-12,410865000
2001-06-13,399908600
2001-06-14,383747910
2001-06-15,357452550
2001-06-18,353343900
2001-06-19,362930750
2001-06-20,380734900
2001-06-21,396621680
2001-06-22,399908600
2001-06-25,408125900
2001-06-26,411138910
2001-06-27,410043270
2001-06-28,420999670
2001-06-29,437160360
2001-07-02,440995100
2001-07-03,451951500
2001-07-05,453321050
2001-07-06,430038700
2001-07-09,446473300
2001-07-10,430038700
2001-07-11,421821400
2001-07-12,424834410
2001-07-13,430038700
2001-07-16,434969080
2001-07-17,465920910
2001-07-18,534946230
2001-07-19,517415990
2001-07-20,507281320
2001-07-23,496324920
2001-07-24,472494750
2001-07-25,451951500
2001-07-26,424560500
2001-07-27,427299600
2001-07-30,422369220
2001-07-31,431682160
2001-08-01,439899459
2001-08-02,468386100
2001-08-03,486464160
2001-08-06,486190250
2001-08-07,473864300
2001-08-08,456060149
2001-08-09,419904030
2001-08-10,435516900
2001-08-13,438803820
2001-08-14,452773230
2001-08-15,468112190
2001-08-16,464277450
2001-08-17,421273580
2001-08-20,445377660
2001-08-21,445103750
2001-08-22,452225410
2001-08-23,437708180
2001-08-24,418260570
2001-08-27,409495450
2001-08-28,372517600
2001-08-29,376626250
2001-08-30,394704310
2001-08-31,388952200
2001-09-04,1461674500
2001-09-05,1408522700
2001-09-06,1425899250
2001-09-07,1379902500
2001-09-10,1277687500
2001-09-17,1047703750
2001-09-18,1017039249
2001-09-19,1060991700
2001-09-20,1078368250
2001-09-21,981264000
2001-09-24,1125387150
2001-09-25,1058947400
2001-09-26,1022150000
2001-09-27,974108949
2001-09-28,1149918750
2001-10-01,1216358500
2001-10-02,1267466000
2001-10-03,1457585900
2001-10-04,1481095350
2001-10-05,1548557250
2001-10-08,1525047800
2001-10-09,1517892750
2001-10-10,1583310350
2001-10-11,1603753350
2001-10-12,1634417850
2001-10-15,1655883000
2001-10-16,1642595050
2001-10-17,1636462150
2001-10-18,1766275200
2001-10-19,1846002899
2001-10-22,1846002899
2001-10-23,1850091500
2001-10-24,1798984000
2001-10-25,1774452400
2001-10-26,1848047199
2001-10-29,1727433499
2001-10-30,1786718200
2001-10-31,1870534500
2001-11-01,1967638750
2001-11-02,1901199000
2001-11-05,1927774900
2001-11-06,2043277849
2001-11-07,2034078499
2001-11-08,1889955349
2001-11-09,1910398350
2001-11-12,1962528000
2001-11-13,1942085000
2001-11-14,1993192500
2001-11-15,1988081750
2001-11-16,1898132550
2001-11-19,1972749500
2001-11-20,1896088250
2001-11-21,1865423750
2001-11-23,1940040700
2001-11-26,1985015300
2001-11-27,2008524749
2001-11-28,1982970999
2001-11-29,2095407500
2001-11-30,2039189250
2001-12-03,725840000
2001-12-04,762132000
2001-12-05,793343120
2001-12-06,798424000
2001-12-07,799149840
2001-12-10,785721800
2001-12-11,791165600
2001-12-12,798061080
2001-12-13,802053200
2001-12-14,841974400
2001-12-17,839071040
2001-12-18,822013800
2001-12-19,836167680
2001-12-20,816570000
2001-12-21,804956560
2001-12-24,795520640
2001-12-26,823102560
2001-12-27,844514840
2001-12-28,831812640
2001-12-31,825280080
2002-01-02,814755400
2002-01-03,800601520
2002-01-04,745800600
2002-01-07,772293760
2002-01-08,779189240
2002-01-09,753059000
2002-01-10,734187160
2002-01-11,725840000
2002-01-14,718944520
2002-01-15,751244400
2002-01-16,747615200
2002-01-17,759954480
2002-01-18,773019600
2002-01-22,731283800
2002-01-23,742171400
2002-01-24,782455520
2002-01-25,769753320
2002-01-28,744348920
2002-01-29,734913000
2002-01-30,748341040
2002-01-31,764672440
2002-02-01,758502800
2002-02-04,762132000
2002-02-05,745800600
2002-02-06,885887720
2002-02-07,884073120
2002-02-08,882984359
2002-02-11,927260600
2002-02-12,912743800
2002-02-13,938511120
2002-02-14,910929200
2002-02-15,914921320
2002-02-19,911292120
2002-02-20,979884000
2002-02-21,1034684920
2002-02-22,943592000
2002-02-25,980609840
2002-02-26,966093040
2002-02-27,980246920
2002-02-28,970448080
2002-03-01,2733654450
2002-03-04,2728510200
2002-03-05,2731596750
2002-03-06,2860203000
2002-03-07,2912674350
2002-03-08,2986751550
2002-03-11,2927078250
2002-03-12,2889010800
2002-03-13,2947655250
2002-03-14,2978520750
2002-03-15,2963088000
2002-03-18,3024819000
2002-03-19,2930164800
2002-03-20,2772750750
2002-03-21,2675010000
2002-03-22,2693529300
2002-03-25,2574182700
2002-03-26,2590644300
2002-03-27,2608134750
2002-03-28,2660606100
2002-04-01,2727481350
2002-04-02,2568009600
2002-04-03,2608134750
2002-04-04,2644144500
2002-04-05,2778923850
2002-04-08,2952799500
2002-04-09,3029963250
2002-04-10,3089636550
2002-04-11,3056713350
2002-04-12,3179146500
2002-04-15,3089636550
2002-04-16,3112271250
2002-04-17,2974405350
2002-04-18,2932222500
2002-04-19,2967203400
2002-04-22,2879751150
2002-04-23,2795385450
2002-04-24,2837568300
2002-04-25,2927078250
2002-04-26,3021732450
2002-04-29,2937366750
2002-04-30,3035107500
2002-05-01,3035107500
2002-05-02,3251166000
2002-05-03,3284089200
2002-05-06,3323185499
2002-05-07,3294377700
2002-05-08,3299521950
2002-05-09,3426070499
2002-05-10,3314954905
2002-05-13,3350964450
2002-05-14,3129761700
2002-05-15,3230589000
2002-05-16,3087578850
2002-05-17,3024819000
2002-05-20,2932222500
2002-05-21,2891068500
2002-05-22,2885924250
2002-05-23,2954857200
2002-05-24,2896212750
2002-05-28,2729539050
2002-05-29,2716164000
2002-05-30,2636942550
2002-05-31,2723365950
2002-06-03,2569550600
2002-06-04,2535564560
2002-06-05,2598387240
2002-06-06,2500548640
2002-06-07,2430516800
2002-06-10,2559251800
2002-06-11,2461413200
2002-06-12,2449054640
2002-06-13,2381082560
2002-06-14,2332678200
2002-06-17,2394471000
2002-06-18,2411978960
2002-06-19,2434636320
2002-06-20,2348126400
2002-06-21,2322379400
2002-06-24,2256467080
2002-06-25,2201883440
2002-06-26,2178196200
2002-06-27,2260586600
2002-06-28,2229690200
2002-07-01,2111254000
2002-07-02,1987668400
2002-07-03,2003116600
2002-07-05,2096835680
2002-07-08,2085507000
2002-07-09,2080357600
2002-07-10,1955742119
2002-07-11,1905278000
2002-07-12,1907337760
2002-07-15,1866142560
2002-07-16,1858933400
2002-07-17,1828037000
2002-07-18,1776543000
2002-07-19,1712690440
2002-07-22,1595284120
2002-07-23,1591164600
2002-07-24,1769333840
2002-07-25,1699302000
2002-07-26,1742556960
2002-07-29,1952652480
2002-07-30,1900128600
2002-07-31,1822887600
2002-08-01,1683853800
2002-08-02,1562327960
2002-08-05,1400636800
2002-08-06,1462429600
2002-08-07,1459339960
2002-08-08,1452130800
2002-08-09,1524222400
2002-08-12,1491266240
2002-08-13,1515983360
2002-08-14,1508774200
2002-08-15,1557178560
2002-08-16,1575716400
2002-08-19,1627210400
2002-08-20,1689003199
2002-08-21,1755945400
2002-08-22,1711660560
2002-08-23,1697242240
2002-08-26,1740497199
2002-08-27,1658106800
2002-08-28,1595284120
2002-08-29,1628240280
2002-08-30,1663256199
2002-09-03,1684818450
2002-09-04,1749738060
2002-09-05,1753859940
2002-09-06,1959953940
2002-09-09,2112463500
2002-09-10,2174291700
2002-09-11,2081549400
2002-09-12,1937283600
2002-09-13,1906369500
2002-09-16,1949649240
2002-09-17,1871333520
2002-09-18,1700275500
2002-09-19,1710580200
2002-09-20,1715732549
2002-09-23,1602380850
2002-09-24,1586923800
2002-09-25,1686879390
2002-09-26,1647721530
2002-09-27,1582801920
2002-09-30,1653904350
2002-10-01,1679666100
2002-10-02,1645660590
2002-10-03,1633294950
2002-10-04,1583832390
2002-10-07,1494181500
2002-10-08,1447810350
2002-10-09,1429261890
2002-10-10,1472541630
2002-10-11,1489029150
2002-10-14,1518912780
2002-10-15,1627112130
2002-10-16,1543644060
2002-10-17,1530247950
2002-10-18,1602380850
2002-10-21,1803322500
2002-10-22,1840419420
2002-10-23,1853815529
2002-10-24,1789926390
2002-10-25,1762103700
2002-10-28,1782713100
2002-10-29,1762103700
2002-10-30,1700275500
2002-10-31,1688940330
2002-11-01,1676574690
2002-11-04,1808474850
2002-11-05,1771377930
2002-11-06,1736341950
2002-11-07,1649782470
2002-11-08,1670391870
2002-11-11,1648752000
2002-11-12,1660087170
2002-11-13,1631234010
2002-11-14,1646691060
2002-11-15,1697184090
2002-11-18,1746646650
2002-11-19,1652873880
2002-11-20,1745616180
2002-11-21,1911521850
2002-11-22,1990868040
2002-11-25,1973350049
2002-11-26,1879577279
2002-11-27,2008386029
2002-11-29,2030025900
2002-12-02,1988150900
2002-12-03,1972698949
2002-12-04,2037597140
2002-12-05,2101465199
2002-12-06,2091163900
2002-12-09,1994331680
2002-12-10,2008753500
2002-12-11,2014934279
2002-12-12,1973729080
2002-12-13,1874836600
2002-12-16,1944885440
2002-12-17,1810968539
2002-12-18,1788305680
2002-12-19,1802727500
2002-12-20,1769763340
2002-12-23,1849083350
2002-12-24,1824360230
2002-12-26,1849083350
2002-12-27,1802727500
2002-12-30,1838782050
2002-12-31,1841872440
2003-01-02,1840842310
2003-01-03,1797576850
2003-01-06,1779034510
2003-01-07,1782124900
2003-01-08,1767703080
2003-01-09,1813028800
2003-01-10,1832601270
2003-01-13,1789335810
2003-01-14,1826420490
2003-01-15,1965488039
2003-01-16,1950036090
2003-01-17,1869685949
2003-01-21,1756371650
2003-01-22,1678081770
2003-01-23,1637906700
2003-01-24,1638936830
2003-01-27,1639966960
2003-01-28,1681172160
2003-01-29,1679111900
2003-01-30,1660569560
2003-01-31,1670870860
2003-02-03,1751221000
2003-02-04,1715166449
2003-02-05,1713106190
2003-02-06,1600822020
2003-02-07,1545195000
2003-02-10,1549315520
2003-02-11,1524592400
2003-02-12,1488537850
2003-02-13,1457633950
2003-02-14,1502959670
2003-02-18,1555496300
2003-02-19,1501929540
2003-02-20,1454543560
2003-02-21,1442182000
2003-02-24,1392735760
2003-02-25,1484417330
2003-02-26,1469995510
2003-02-27,1524592400
2003-02-28,1552497800
2003-03-03,1511235400
2003-03-04,1449341800
2003-03-05,1418395000
2003-03-06,1353406720
2003-03-07,1418395000
2003-03-10,1358564520
2003-03-11,1315239000
2003-03-12,1304923400
2003-03-13,1361659200
2003-03-14,1373006360
2003-03-17,1467909880
2003-03-18,1471004560
2003-03-19,1451404920
2003-03-20,1498856680
2003-03-21,1567971200
2003-03-24,1547340000
2003-03-25,1548371560
2003-03-26,1521551000
2003-03-27,1492667320
2003-03-28,1463783640
2003-03-31,1502982920
2003-04-01,1469973000
2003-04-02,1610265160
2003-04-03,1702074000
2003-04-04,1763967600
2003-04-07,1785630359
2003-04-08,1763967600
2003-04-09,1769125399
2003-04-10,1772220080
2003-04-11,1770156960
2003-04-14,1825861200
2003-04-15,1852681760
2003-04-16,1840303040
2003-04-17,1867123600
2003-04-21,1894975720
2003-04-22,1984721439
2003-04-23,2016699800
2003-04-24,1926954080
2003-04-25,1935206560
2003-04-28,2049709720
2003-04-29,2162149760
2003-04-30,2181749400
2003-05-01,2171433800
2003-05-02,2259116400
2003-05-05,2331325600
2003-05-06,2267368880
2003-05-07,2207538400
2003-05-08,2228169600
2003-05-09,2233327400
2003-05-12,2347830560
2003-05-13,2362272400
2003-05-14,2319978440
2003-05-15,2273558240
2003-05-16,2217854000
2003-05-19,2183812520
2003-05-20,2145644800
2003-05-21,2166276000
2003-05-22,2219917120
2003-05-23,2300378800
2003-05-27,2377745800
2003-05-28,2469554640
2003-05-29,2443765640
2003-05-30,2398377000
2003-06-02,2425664960
2003-06-03,2447396600
2003-06-04,2558124480
2003-06-05,3042429600
2003-06-06,3042429600
2003-06-09,2832357080
2003-06-10,3045534120
2003-06-11,3083823200
2003-06-12,3208004000
2003-06-13,3125216800
2003-06-16,3270094400
2003-06-17,3158331680
2003-06-18,3182133000
2003-06-19,3073474800
2003-06-20,3053812840
2003-06-23,2975165000
2003-06-24,2892377800
2003-06-25,3038290240
2003-06-26,3080718680
2003-06-27,3170749760
2003-06-30,3120042600
2003-07-01,3110729040
2003-07-02,3132460680
2003-07-03,3152122640
2003-07-07,3208004000
2003-07-08,3324941126
2003-07-09,3362195366
2003-07-10,3279407960
2003-07-11,3565023800
2003-07-14,3673682000
2003-07-15,3674716633
2003-07-16,3616765800
2003-07-17,3585720806
2003-07-18,3621940000
2003-07-21,3583651126
2003-07-22,3629183880
2003-07-23,3632288193
2003-07-24,3761643193
2003-07-25,3777166000
2003-07-28,3725424000
2003-07-29,3727493680
2003-07-30,3565023800
2003-07-31,3673682000
2003-08-01,3611591806
2003-08-04,3596069000
2003-08-05,3515351686
2003-08-06,3494654680
2003-08-07,3452226240
2003-08-08,3496724360
2003-08-11,3528804193
2003-08-12,3596069000
2003-08-13,3617800640
2003-08-14,3632288193
2003-08-15,3664368439
2003-08-18,3725424000
2003-08-19,3740946806
2003-08-20,3769922120
2003-08-21,3798897640
2003-08-22,3747155640
2003-08-25,3817524760
2003-08-26,3827873366
2003-08-27,3828908000
2003-08-28,3960332680
2003-08-29,3989308199
2003-09-02,4049329126
2003-09-03,3880650000
2003-09-04,3905486366
2003-09-05,3668507800
2003-09-08,3601243199
2003-09-09,3568128319
2003-09-10,3414972000
2003-09-11,3518456000
2003-09-12,3577441880
2003-09-15,3622462650
2003-09-16,3734401410
2003-09-17,3697088490
2003-09-18,3828720180
2003-09-19,3724036710
2003-09-22,3653556750
2003-09-23,3724036710
2003-09-24,3555092099
2003-09-25,3520888590
2003-09-26,3409986300
2003-09-29,3485648610
2003-09-30,3385111019
2003-10-01,3543690930
2003-10-02,3575821500
2003-10-03,3667030860
2003-10-06,3800735490
2003-10-07,3828720180
2003-10-08,3825610769
2003-10-09,3940658940
2003-10-10,3933403650
2003-10-13,3997664790
2003-10-14,4068144750
2003-10-15,3348834570
2003-10-16,3469065090
2003-10-17,3395475720
2003-10-20,3355053389
2003-10-21,3218239350
2003-10-22,3166415850
2003-10-23,3244151100
2003-10-24,3204765240
2003-10-27,3293901660
2003-10-28,3308412240
2003-10-29,3186108780
2003-10-30,3226531110
2003-10-31,3265916970
2003-11-03,3303229890
2003-11-04,3315667530
2003-11-05,3316704000
2003-11-06,3328105170
2003-11-07,3389256900
2003-11-10,3291828720
2003-11-11,3329141639
2003-11-12,3429679230
2003-11-13,3527107410
2003-11-14,3446262750
2003-11-17,3419314530
2003-11-18,3272135790
2003-11-19,3275245200
2003-11-20,3267989910
2003-11-21,3316704000
2003-11-24,3464919210
2003-11-25,3480466260
2003-11-26,3433825110
2003-11-28,3413095710
2003-12-01,3497708160
2003-12-02,3471776160
2003-12-03,3435471359
2003-12-04,3231127200
2003-12-05,3194822400
2003-12-08,3207269760
2003-12-09,3210381600
2003-12-10,3091094400
2003-12-11,3092131680
2003-12-12,3023671200
2003-12-15,3075535200
2003-12-16,3080721600
2003-12-17,3107690880
2003-12-18,3256021920
2003-12-19,3277804800
2003-12-22,3251872800
2003-12-23,3266394720
2003-12-24,3237350880
2003-12-26,3242537280
2003-12-29,3274692960
2003-12-30,3194822400
2003-12-31,3208307040
2004-01-02,3161629440
2004-01-05,3215568000
2004-01-06,3288177600
2004-01-07,3345228000
2004-01-08,3232164480
2004-01-09,3142958400
2004-01-12,3085908000
2004-01-13,3023671200
2004-01-14,3061013280
2004-01-15,3045454080
2004-01-16,3431322240
2004-01-20,3459328800
2004-01-21,3640852800
2004-01-22,3670933920
2004-01-23,3586914240
2004-01-26,3584839680
2004-01-27,3490447200
2004-01-28,3423024000
2004-01-29,3381532800
2004-01-30,3459328800
2004-02-02,3447918720
2004-02-03,3413688479
2004-02-04,3404352960
2004-02-05,3445844160
2004-02-06,3531938399
2004-02-09,3526752000
2004-02-10,3524677439
2004-02-11,3526752000
2004-02-12,3525714720
2004-02-13,3548534880
2004-02-17,3628405439
2004-02-18,3637740960
2004-02-19,3640852800
2004-02-20,3599361600
2004-02-23,3521565600
2004-02-24,3443769600
2004-02-25,3464515200
2004-02-26,3442732320
2004-02-27,3526752000
2004-03-01,3674708320
2004-03-02,3611351280
2004-03-03,3539685120
2004-03-04,3427512000
2004-03-05,3508525920
2004-03-08,3484637199
2004-03-09,3443091600
2004-03-10,3336111679
2004-03-11,3293527440
2004-03-12,3204204400
2004-03-15,3050485680
2004-03-16,3024519680
2004-03-17,2989205920
2004-03-18,2961162640
2004-03-19,2937273920
2004-03-22,2892612400
2004-03-23,2825100800
2004-03-24,2839641760
2004-03-25,2953892160
2004-03-26,2968433120
2004-03-29,2981935440
2004-03-30,2960124000
2004-03-31,3032828800
2004-04-01,3067103920
2004-04-02,3011017360
2004-04-05,3142924640
2004-04-06,3133576880
2004-04-07,3092031280
2004-04-08,3034906080
2004-04-12,3096185840
2004-04-13,3053601600
2004-04-14,3084760800
2004-04-15,3046331120
2004-04-16,2961162640
2004-04-19,2897805600
2004-04-20,2880148720
2004-04-21,2928964800
2004-04-22,2918578400
2004-04-23,2850028160
2004-04-26,2854182720
2004-04-27,2830294000
2004-04-28,2757589200
2004-04-29,2671382080
2004-04-30,2692154880
2004-05-03,2728507280
2004-05-04,2700464000
2004-05-05,2727468640
2004-05-06,2667227520
2004-05-07,2578943120
2004-05-10,2520779280
2004-05-11,2596600000
2004-05-12,2253848800
2004-05-13,2255926080
2004-05-14,2310974000
2004-05-17,2243462400
2004-05-18,2329669520
2004-05-19,2334862720
2004-05-20,2292278480
2004-05-21,2328630880
2004-05-24,2363944640
2004-05-25,2461576800
2004-05-26,2412760720
2004-05-27,2399258400
2004-05-28,2375369680
2004-06-01,2355645300
2004-06-02,2288044000
2004-06-03,2251643300
2004-06-04,2257883420
2004-06-07,2291164060
2004-06-08,2335884920
2004-06-09,2406606280
2004-06-10,2340045000
2004-06-14,2326524740
2004-06-15,2321324640
2004-06-16,2246443200
2004-06-17,2237083020
2004-06-18,2227722840
2004-06-21,2218362660
2004-06-22,2213162560
2004-06-23,2211082520
2004-06-24,2205882420
2004-06-25,2188202080
2004-06-28,2242283120
2004-06-29,2228762860
2004-06-30,2274523740
2004-07-01,2186122040
2004-07-02,2133081020
2004-07-06,2086280119
2004-07-07,2069639799
2004-07-08,2015558760
2004-07-09,2065479720
2004-07-12,2068599780
2004-07-13,2066519740
2004-07-14,1981238100
2004-07-15,1959397680
2004-07-16,1918836900
2004-07-19,1948997479
2004-07-20,1948997479
2004-07-21,1955237600
2004-07-22,1995798380
2004-07-23,2020758860
2004-07-26,2020758860
2004-07-27,2163241600
2004-07-28,2121640799
2004-07-29,2142441200
2004-07-30,2163241600
2004-08-02,2124760860
2004-08-03,2008278619
2004-08-04,2045719340
2004-08-05,1996838400
2004-08-06,1968757860
2004-08-09,1956277619
2004-08-10,2029079020
2004-08-11,2024918940
2004-08-12,1965637799
2004-08-13,1951077520
2004-08-16,2043639299
2004-08-17,2024918940
2004-08-18,2098760360
2004-08-19,2046759360
2004-08-20,2017638799
2004-08-23,1983318140
2004-08-24,1990598280
2004-08-25,2012438700
2004-08-26,2013478720
2004-08-27,2022838900
2004-08-30,2029079020
2004-08-31,2036359159
2004-09-01,2022838900
2004-09-02,2163241600
2004-09-03,2132041000
2004-09-07,2217322640
2004-09-08,2226682820
2004-09-09,2173641800
2004-09-10,2153881420
2004-09-13,2203802380
2004-09-14,2184042000
2004-09-15,2173641800
2004-09-16,2193402180
2004-09-17,2246443200
2004-09-20,2173641800
2004-09-21,2194442200
2004-09-22,2155961460
2004-09-23,2157001480
2004-09-24,2179881920
2004-09-27,2128920940
2004-09-28,2145561260
2004-09-29,2163241600
2004-09-30,2241243100
2004-10-01,2377485720
2004-10-04,2430526740
2004-10-05,2395166060
2004-10-06,2379565760
2004-10-07,2378525740
2004-10-08,2350941300
2004-10-11,2388406500
2004-10-12,2367592500
2004-10-13,2406098400
2004-10-14,2309313300
2004-10-15,2372796000
2004-10-18,2501842800
2004-10-19,2549715000
2004-10-20,2551796400
