,J
2001-06-13,1831626662
2001-06-14,1831626662
2001-06-15,1809106662
2001-06-18,1859508567
2001-06-19,1819830472
2001-06-20,1676131424
2001-06-21,1755487615
2001-06-22,1779079996
2001-06-25,1742619043
2001-06-26,1740474281
2001-06-27,1678276186
2001-06-28,1683638091
2001-06-29,1749053329
2001-07-02,1721444290
2001-07-03,1734314902
2001-07-05,1751475717
2001-07-06,1702138373
2001-07-09,1738605106
2001-07-10,1777216940
2001-07-11,1785797348
2001-07-12,1841569998
2001-07-13,1866238670
2001-07-16,1855513160
2001-07-17,1834062141
2001-07-18,1858730813
2001-07-19,1761128676
2001-07-20,1789015001
2001-07-23,1760056125
2001-07-24,1538038076
2001-07-25,1571287156
2001-07-26,1557343993
2001-07-27,1556271442
2001-07-30,1549836137
2001-07-31,1570214605
2001-08-01,1555198892
2001-08-02,1519804710
2001-08-03,1471539917
2001-08-06,1364284821
2001-08-07,1456524203
2001-08-08,1479047773
2001-08-09,1533747872
2001-08-10,1579867564
2001-08-13,1580940115
2001-08-14,1632422561
2001-08-15,1604536236
2001-08-16,1629204908
2001-08-17,1622769602
2001-08-20,1608826440
2001-08-21,1576649911
2001-08-22,1608826440
2001-08-23,1612044092
2001-08-24,1607753889
2001-08-27,1604536236
2001-08-28,1592738175
2001-08-29,1599173481
2001-08-30,1576649911
2001-08-31,1572359707
2001-09-04,1583085216
2001-09-05,1607753889
2001-09-06,1585230318
2001-09-07,1523022363
2001-09-10,1505861547
2001-09-17,1604536236
2001-09-18,1756838472
2001-09-19,1733242351
2001-09-20,1671034395
2001-09-21,1554126341
2001-09-24,1586302869
2001-09-25,1641002968
2001-09-26,1622769602
2001-09-27,1633495112
2001-09-28,1673179497
2001-10-01,1664303338
2001-10-02,1697718755
2001-10-03,1831380422
2001-10-04,1782874172
2001-10-05,1755926255
2001-10-08,1781796255
2001-10-09,1855094589
2001-10-10,1899289172
2001-10-11,1814133755
2001-10-12,1767783338
2001-10-15,1793653338
2001-10-16,1864795839
2001-10-17,1838925839
2001-10-18,1786107922
2001-10-19,1786107922
2001-10-22,1828146672
2001-10-23,1766705422
2001-10-24,1762393755
2001-10-25,1801198755
2001-10-26,1876652922
2001-10-29,1809822088
2001-10-30,1772095005
2001-10-31,1766705422
2001-11-01,1803354588
2001-11-02,1868029589
2001-11-05,1899289172
2001-11-06,1913302089
2001-11-07,1941327922
2001-11-08,1946717506
2001-11-09,1951029172
2001-11-12,1938094172
2001-11-13,1999535422
2001-11-14,2025405422
2001-11-15,1995223756
2001-11-16,1886354172
2001-11-19,1846471255
2001-11-20,1851860839
2001-11-21,1859406255
2001-11-23,1846471255
2001-11-26,1868029589
2001-11-27,1868029589
2001-11-28,1892821672
2001-11-29,1904678755
2001-11-30,1858328339
2001-12-03,1822757088
2001-12-04,1863717922
2001-12-05,1886354172
2001-12-06,1825990838
2001-12-07,1789341672
2001-12-10,1758082088
2001-12-11,1749458755
2001-12-12,1677238338
2001-12-13,1750536672
2001-12-14,1753770422
2001-12-17,1801198755
2001-12-18,1835692089
2001-12-19,1856172505
2001-12-20,1806588338
2001-12-21,1782874172
2001-12-24,1815211672
2001-12-26,1816289588
2001-12-27,1804432505
2001-12-28,1813055838
2001-12-31,1774080000
2002-01-02,1768704000
2002-01-03,1773004799
2002-01-04,1792358400
2002-01-07,1753651199
2002-01-08,1724620800
2002-01-09,1728921599
2002-01-10,1712793600
2002-01-11,1678387200
2002-01-14,1625702400
2002-01-15,1638604800
2002-01-16,1569792000
2002-01-17,1694515200
2002-01-18,1691289600
2002-01-22,1681612800
2002-01-23,1688064000
2002-01-24,1720320000
2002-01-25,1710643200
2002-01-28,1704192000
2002-01-29,1705267200
2002-01-30,1727846400
2002-01-31,1720320000
2002-02-01,1726771199
2002-02-04,1686988800
2002-02-05,1708492800
2002-02-06,1659033600
2002-02-07,1618176000
2002-02-08,1667635200
2002-02-11,1694515200
2002-02-12,1698816000
2002-02-13,1695590400
2002-02-14,1747200000
2002-02-15,1714944000
2002-02-19,1718169600
2002-02-20,1734297600
2002-02-21,1699891200
2002-02-22,1671936000
2002-02-25,1747200000
2002-02-26,1769779200
2002-02-27,1860096000
2002-02-28,1812787200
2002-03-01,1761177600
2002-03-04,1845043200
2002-03-05,1837516800
2002-03-06,1879449600
2002-03-07,1928908800
2002-03-08,1872998400
2002-03-11,1875148800
2002-03-12,1881600000
2002-03-13,1874073600
2002-03-14,1902028800
2002-03-15,1891276800
2002-03-18,1907404799
2002-03-19,1950412800
2002-03-20,1919232000
2002-03-21,1916006400
2002-03-22,1920307200
2002-03-25,1871923200
2002-03-26,1946112000
2002-03-27,1936435200
2002-03-28,1916006400
2002-04-01,1991626665
2002-04-02,1953305096
2002-04-03,1910603920
2002-04-04,1923742743
2002-04-05,1916078430
2002-04-08,1939071371
2002-04-09,1960969410
2002-04-10,2035422743
2002-04-11,2098927057
2002-04-12,2047466665
2002-04-15,2069364704
2002-04-16,2100021959
2002-04-17,2068269802
2002-04-18,2080313724
2002-04-19,2064985096
2002-04-22,2089072939
2002-04-23,2189803920
2002-04-24,2160241567
2002-04-25,2184329410
2002-04-26,2152577253
2002-04-29,2154767057
2002-04-30,2160241567
2002-05-01,2194183527
2002-05-02,2214986665
2002-05-03,2204037645
2002-05-06,2201847841
2002-05-07,2244549018
2002-05-08,2331046272
2002-05-09,2312432939
2002-05-10,2266447057
2002-05-13,2244549018
2002-05-14,2244549018
2002-05-15,2250023527
2002-05-16,2206227449
2002-05-17,2247833723
2002-05-20,2219366272
2002-05-21,2161336469
2002-05-22,2125204704
2002-05-23,2189803920
2002-05-24,2144912939
2002-05-28,2132869018
2002-05-29,2129584312
2002-05-30,2094547449
2002-05-31,2102211763
2002-06-03,2047466665
2002-06-04,1980677645
2002-06-05,2008050194
2002-06-06,1998196077
2002-06-07,2051846273
2002-06-10,2067174900
2002-06-11,2066079998
2002-06-12,2049656469
2002-06-13,1998196077
2002-06-14,2027758429
2002-06-17,2083598429
2002-06-18,2043087057
2002-06-19,2058415684
2002-06-20,2059510586
2002-06-21,1988341959
2002-06-24,1971918429
2002-06-25,1941261175
2002-06-26,1908414116
2002-06-27,1888705881
2002-06-28,1904034508
2002-07-01,1874657408
2002-07-02,1882177524
2002-07-03,1800530554
2002-07-05,1890771942
2002-07-08,1874657408
2002-07-09,1824165203
2002-07-10,1726403699
2002-07-11,1737146722
2002-07-12,1769375789
2002-07-15,1711363468
2002-07-16,1707066259
2002-07-17,1732849513
2002-07-18,1707066259
2002-07-19,1673762889
2002-07-22,1585670106
2002-07-23,1583521501
2002-07-24,1657648356
2002-07-25,1683431610
2002-07-26,1689877423
2002-07-29,1817719390
2002-07-30,1853171364
2002-07-31,1862840084
2002-08-01,1773672998
2002-08-02,1690951725
2002-08-05,1672688587
2002-08-06,1717809281
2002-08-07,1718883584
2002-08-08,1844576946
2002-08-09,1814496483
2002-08-12,1799456252
2002-08-13,1779044509
2002-08-14,1820942296
2002-08-15,1918703800
2002-08-16,1942338449
2002-08-19,1926223916
2002-08-20,1916555196
2002-08-21,1861765781
2002-08-22,1893994849
2002-08-23,1853171364
2002-08-26,1854245666
2002-08-27,1861765781
2002-08-28,1820942296
2002-08-29,1820942296
2002-08-30,1813422181
2002-09-03,1722106490
2002-09-04,1775821602
2002-09-05,1777970207
2002-09-06,1808050669
2002-09-09,1818793692
2002-09-10,1779044509
2002-09-11,1799456252
2002-09-12,1781193113
2002-09-13,1823090901
2002-09-16,1804827763
2002-09-17,1819867994
2002-09-18,1790861834
2002-09-19,1684505912
2002-09-20,1692026028
2002-09-23,1660871263
2002-09-24,1610379057
2002-09-25,1665168472
2002-09-26,1693100330
2002-09-27,1686654516
2002-09-30,1692224000
2002-10-01,1737160000
2002-10-02,1687840000
2002-10-03,1633040000
2002-10-04,1562896000
2002-10-07,1488368000
2002-10-08,1513576000
2002-10-09,1441240000
2002-10-10,1542072000
2002-10-11,1595776000
2002-10-14,1576048000
2002-10-15,1645096000
2002-10-16,1565088000
2002-10-17,1672496000
2002-10-18,1619888000
2002-10-21,1654960000
2002-10-22,1619888000
2002-10-23,1603448000
2002-10-24,1560704000
2002-10-25,1608928000
2002-10-28,1604544000
2002-10-29,1589200000
2002-10-30,1628656000
2002-10-31,1660440000
2002-11-01,1767848000
2002-11-04,1824839999
2002-11-05,1805111999
2002-11-06,1825936000
2002-11-07,1767848000
2002-11-08,1752504000
2002-11-11,1708664000
2002-11-12,1706472000
2002-11-13,1703184000
2002-11-14,1755792000
2002-11-15,1791960000
2002-11-18,1742640000
2002-11-19,1726200000
2002-11-20,1755792000
2002-11-21,1779903999
2002-11-22,1770039999
2002-11-25,1818264000
2002-11-26,1824839999
2002-11-27,1930056000
2002-11-29,1990336000
2002-12-02,2016639999
2002-12-03,1950880000
2002-12-04,1988144000
2002-12-05,1971703999
2002-12-06,1983760000
2002-12-09,1949784000
2002-12-10,1961839999
2002-12-11,1964032000
2002-12-12,1979375999
2002-12-13,1979375999
2002-12-16,2019928000
2002-12-17,2016639999
2002-12-18,1998008000
2002-12-19,2008967999
2002-12-20,1904848000
2002-12-23,1897175999
2002-12-24,1891696000
2002-12-26,1904848000
2002-12-27,1868680000
2002-12-30,1880736000
2002-12-31,1966119292
2003-01-02,2010301748
2003-01-03,1984896835
2003-01-06,2004778940
2003-01-07,2010301748
2003-01-08,2025765607
2003-01-09,2092039291
2003-01-10,2124071572
2003-01-13,2095352975
2003-01-14,2154999291
2003-01-15,2127385256
2003-01-16,2116339642
2003-01-17,2090934730
2003-01-21,2013615432
2003-01-22,1997047011
2003-01-23,2048961397
2003-01-24,2043438590
2003-01-27,1994837888
2003-01-28,2030183853
2003-01-29,2040124905
2003-01-30,2013615432
2003-01-31,2055588765
2003-02-03,2062216133
2003-02-04,2041229467
2003-02-05,2066634379
2003-02-06,2044543151
2003-02-07,2034602098
2003-02-10,2057797888
2003-02-11,2074366309
2003-02-12,2043438590
2003-02-13,2013615432
2003-02-14,2006988063
2003-02-18,2053379642
2003-02-19,2037915783
2003-02-20,2039020344
2003-02-21,2062216133
2003-02-24,2053379642
2003-02-25,2061111572
2003-02-26,2053379642
2003-02-27,2058902449
2003-02-28,2097562098
2003-03-03,2101980344
2003-03-04,2096457537
2003-03-05,2098666660
2003-03-06,2100875782
2003-03-07,2110816835
2003-03-10,2087621045
2003-03-11,2062216133
2003-03-12,2096457537
2003-03-13,2126280695
2003-03-14,2211331922
2003-03-17,2253305256
2003-03-18,2263246308
2003-03-19,2267664554
2003-03-20,2265455431
2003-03-21,2318474378
2003-03-24,2247782449
2003-03-25,2262141747
2003-03-26,2255514378
2003-03-27,2262141747
2003-03-28,2317369817
2003-03-31,2339186451
2003-04-01,2350325434
2003-04-02,2413817637
2003-04-03,2375945095
2003-04-04,2390425773
2003-04-07,2420501027
2003-04-08,2372603400
2003-04-09,2389311874
2003-04-10,2407134247
2003-04-11,2422728824
2003-04-14,2372603400
2003-04-15,2285719332
2003-04-16,2243391196
2003-04-17,2211088145
2003-04-21,2244505094
2003-04-22,2321364078
2003-04-23,2325819671
2003-04-24,2284605433
2003-04-25,2251188484
2003-04-28,2260099670
2003-04-29,2283491535
2003-04-30,2292402721
2003-05-01,2253416281
2003-05-02,2300200010
2003-05-05,2311338993
2003-05-06,2273466450
2003-05-07,2296858315
2003-05-08,2321364078
2003-05-09,2311338993
2003-05-12,2362578315
2003-05-13,2348097637
2003-05-14,2312452891
2003-05-15,2314680688
2003-05-16,2265669162
2003-05-19,2205518653
2003-05-20,2208860348
2003-05-21,2169873907
2003-05-22,2223341026
2003-05-23,2202176958
2003-05-27,2168760009
2003-05-28,2160962721
2003-05-29,2088559331
2003-05-30,2174329501
2003-06-02,2153165433
2003-06-03,2135343060
2003-06-04,2218885433
2003-06-05,2217771535
2003-06-06,2155393229
2003-06-09,2095242721
2003-06-10,2127545772
2003-06-11,2159848823
2003-06-12,2218885433
2003-06-13,2199949162
2003-06-16,2222227128
2003-06-17,2262327467
2003-06-18,2294630518
2003-06-19,2263441365
2003-06-20,2222227128
2003-06-23,2244505094
2003-06-24,2282377637
2003-06-25,2265669162
2003-06-26,2305769501
2003-06-27,2302427806
2003-06-30,3634584193
2003-07-01,3619066518
2003-07-02,3672516286
2003-07-03,3694930705
2003-07-07,3698379077
2003-07-08,3717345123
2003-07-09,3758725589
2003-07-10,3758725589
2003-07-11,3807002798
2003-07-14,3838038147
2003-07-15,3808726984
2003-07-16,3807002798
2003-07-17,3539753960
2003-07-18,3486304193
2003-07-21,3463889774
2003-07-22,3522512100
2003-07-23,3577686053
2003-07-24,3598376286
2003-07-25,3569065123
2003-07-28,3701827449
2003-07-29,3736311170
2003-07-30,3807002798
2003-07-31,3779415821
2003-08-01,3738035356
2003-08-04,3774243263
2003-08-05,3689758146
2003-08-06,3691482333
2003-08-07,3748380472
2003-08-08,3741483728
2003-08-11,3779415821
2003-08-12,3865625124
2003-08-13,3848383263
2003-08-14,3848383263
2003-08-15,3965627915
2003-08-18,3991490705
2003-08-19,4089769310
2003-08-20,4024250240
2003-08-21,4067354891
2003-08-22,4036319543
2003-08-25,3993214891
2003-08-26,4017353496
2003-08-27,4005284194
2003-08-28,4008732566
2003-08-29,4038043729
2003-09-02,4048388845
2003-09-03,4179426985
2003-09-04,4143219078
2003-09-05,4138046520
2003-09-08,4160460938
2003-09-09,4138046520
2003-09-10,4060458147
2003-09-11,4065630705
2003-09-12,4091493496
2003-09-15,4117356287
2003-09-16,4132873961
2003-09-17,4107011171
2003-09-18,4094941868
2003-09-19,4060458147
2003-09-22,3975973031
2003-09-23,4034595356
2003-09-24,3984593961
2003-09-25,3919074891
2003-09-26,3879418612
2003-09-29,3913902333
2003-09-30,2498983603
2003-10-01,2630859013
2003-10-02,2609803275
2003-10-03,2613127865
2003-10-06,2659672128
2003-10-07,2657455734
2003-10-08,2669645898
2003-10-09,2657455734
2003-10-10,2668537701
2003-10-13,2729488521
2003-10-14,2736137701
2003-10-15,2699567209
2003-10-16,2717298357
2003-10-17,2677403275
2003-10-20,2685160652
2003-10-21,2681836062
2003-10-22,2678511472
2003-10-23,2674078685
2003-10-24,2659672128
2003-10-27,2695134423
2003-10-28,2753868849
2003-10-29,2709540980
2003-10-30,2465737702
2003-10-31,2566583603
2003-11-03,2546636062
2003-11-04,2545527865
2003-11-05,2521147538
2003-11-06,2537770488
2003-11-07,2481252456
2003-11-10,2429167210
2003-11-11,2409219669
2003-11-12,2421409833
2003-11-13,2414760652
2003-11-14,2382622948
2003-11-17,2363783603
2003-11-18,2333862292
2003-11-19,2362675407
2003-11-20,2436924587
2003-11-21,2474603275
2003-11-24,2593180324
2003-11-25,2539986882
2003-11-26,2534445898
2003-11-28,2545527865
2003-12-01,2579881964
2003-12-02,2712865570
2003-12-03,2649698357
2003-12-04,2614236062
2003-12-05,2610911472
2003-12-08,2636399996
2003-12-09,2586531144
2003-12-10,2532229505
2003-12-11,2650806554
2003-12-12,2654131144
2003-12-15,2596504914
2003-12-16,2595396718
2003-12-17,2600937701
2003-12-18,2594288521
2003-12-19,2588747537
2003-12-22,2595396718
2003-12-23,2604262292
2003-12-24,2631967210
2003-12-26,2635291800
2003-12-29,2666321308
2003-12-30,2659672128
2003-12-31,2692258056
2004-01-02,2651874185
2004-01-05,2663091927
2004-01-06,2664213701
2004-01-07,2654117733
2004-01-08,2652995959
2004-01-09,2615977411
2004-01-12,2592420153
2004-01-13,2535209669
2004-01-14,2553158056
2004-01-15,2550914508
2004-01-16,2574471766
2004-01-20,2559888701
2004-01-21,2558766927
2004-01-22,2605881443
2004-01-23,2576715314
2004-01-26,2574471766
2004-01-27,2573349991
2004-01-28,2521748379
2004-01-29,2527357250
2004-01-30,2517261282
2004-02-02,2548670959
2004-02-03,2510530637
2004-02-04,2481364508
2004-02-05,2471268540
2004-02-06,2527357250
2004-02-09,2512774185
2004-02-10,2485851605
2004-02-11,2462294347
2004-02-12,2439858863
2004-02-13,2421910476
2004-02-17,2428641121
2004-02-18,2437615314
2004-02-19,2396109669
2004-02-20,2370308863
2004-02-23,2411814508
2004-02-24,2420788702
2004-02-25,2439858863
2004-02-26,2497069346
2004-02-27,2475755637
2004-03-01,2494825798
2004-03-02,2467903218
2004-03-03,2434249992
2004-03-04,2436493540
2004-03-05,2453320153
2004-03-08,2443224185
2004-03-09,2427519347
2004-03-10,2409570960
2004-03-11,2388257250
2004-03-12,2364699992
2004-03-15,2373674186
2004-03-16,2353482250
2004-03-17,2428641121
2004-03-18,2428641121
2004-03-19,2425275798
2004-03-22,2411814508
2004-03-23,2419666927
2004-03-24,2415179831
2004-03-25,2451076605
2004-03-26,2444345960
2004-03-29,2479120959
2004-03-30,2504921766
2004-03-31,2518637730
2004-04-01,2527673202
2004-04-02,2496049051
2004-04-05,2498307919
2004-04-06,2524284900
2004-04-07,2498307919
2004-04-08,2463295466
2004-04-12,2462166032
2004-04-13,2456518863
2004-04-14,2461036598
2004-04-15,2461036598
2004-04-16,2480236976
2004-04-19,2472330938
2004-04-20,2462166032
2004-04-21,2489272447
2004-04-22,2462166032
2004-04-23,2465554334
2004-04-26,2467813202
2004-04-27,2471201504
2004-04-28,2442965655
2004-04-29,2383105655
2004-04-30,2355999240
2004-05-03,2345834334
2004-05-04,2327763391
2004-05-05,2333410561
2004-05-06,2318727919
2004-05-07,2254350184
2004-05-10,2230632071
2004-05-11,2245314712
2004-05-12,2287103769
2004-05-13,2351481504
2004-05-14,2369552448
2004-05-17,2358258108
2004-05-18,2357128674
2004-05-19,2331151693
2004-05-20,2320986787
2004-05-21,2341316599
2004-05-24,2400047165
2004-05-25,2456518863
2004-05-26,2481366410
2004-05-27,2496049051
2004-05-28,2518637730
2004-06-01,2552520749
2004-06-02,2541226410
2004-06-03,2514119994
2004-06-04,2517508296
2004-06-07,2572850560
2004-06-08,2586403768
2004-06-09,2552520749
2004-06-10,2538967542
2004-06-14,2494919617
2004-06-15,2494919617
2004-06-16,2500566787
2004-06-17,2498307919
2004-06-18,2476848674
2004-06-21,2517508296
2004-06-22,2503955089
2004-06-23,2520896598
2004-06-24,2636098862
2004-06-25,2610121881
2004-06-28,2622545655
2004-06-29,2258867920
2004-06-30,2225335603
2004-07-01,2216294118
2004-07-02,2215163932
2004-07-06,2218554489
2004-07-07,2204992261
2004-07-08,2182388548
2004-07-09,2147352792
2004-07-12,2148482977
2004-07-13,2206122447
2004-07-14,2244548760
2004-07-15,2238897832
2004-07-16,2210643190
2004-07-19,2202731890
2004-07-20,2220814861
2004-07-21,2180128176
2004-07-22,2184648919
2004-07-23,2157524463
2004-07-26,2123618892
2004-07-27,2210643190
2004-07-28,2184648919
2004-07-29,2246809131
2004-07-30,2259241174
2004-08-02,2270543031
2004-08-03,2234377089
2004-08-04,2225335603
2004-08-05,2156394277
2004-08-06,2138311306
2004-08-09,2119098150
2004-08-10,2184648919
2004-08-11,2141701863
2004-08-12,2108926478
2004-08-13,2103275550
2004-08-16,2195950776
2004-08-17,2188039476
2004-08-18,2235507275
2004-08-19,2175607434
2004-08-20,2212903561
2004-08-23,2225335603
2004-08-24,2225335603
2004-08-25,2232116718
2004-08-26,2234377089
2004-08-27,2240028017
2004-08-30,2216294118
2004-08-31,2210643190
2004-09-01,2215163932
2004-09-02,2241158203
2004-09-03,2220814861
2004-09-07,2218554489
2004-09-08,2174477248
2004-09-09,2154133906
2004-09-10,2175607434
2004-09-13,2175607434
2004-09-14,2182388548
2004-09-15,2181258362
