,LU
2023-04-27,4011826406
2023-04-28,3897202794
2023-05-01,3828428627
2023-05-02,3736729738
2023-05-03,3599181404
2023-05-04,3690880293
2023-05-05,3943052239
2023-05-08,3920127516
2023-05-09,3690880293
2023-05-10,3622106126
2023-05-11,3759654460
2023-05-12,3484557792
2023-05-15,3759654460
2023-05-16,4011826406
2023-05-17,4172299462
2023-05-18,3759654460
2023-05-19,3622106126
2023-05-22,3622106126
2023-05-23,3461633070
2023-05-24,3232385847
2023-05-25,3026063346
2023-05-26,3071912790
2023-05-30,2957289179
2023-05-31,2934364456
2023-06-01,3186536402
2023-06-02,3255310569
2023-06-05,3117762235
2023-06-06,3438708348
2023-06-07,3599181404
2023-06-08,3645030848
2023-06-09,3622106126
2023-06-12,3713805015
2023-06-13,3805503905
2023-06-14,3805503905
2023-06-15,3851353349
2023-06-16,3576256681
2023-06-20,3324084736
2023-06-21,3324084736
2023-06-22,3278235291
2023-06-23,3140686957
2023-06-26,3186536402
2023-06-27,3461633070
2023-06-28,3484557792
2023-06-29,3347009458
2023-06-30,3278235291
2023-07-03,3540119500
2023-07-05,3516675000
2023-07-06,3258785500
2023-07-07,3469786000
2023-07-10,3422897000
2023-07-11,3563564000
2023-07-12,3821453499
2023-07-13,3915231500
2023-07-14,3727675500
2023-07-17,3657342000
2023-07-18,3563564000
2023-07-19,3727675500
2023-07-20,3633897500
2023-07-21,3563564000
2023-07-24,3985565000
2023-07-25,3938676000
2023-07-26,4220010000
2023-07-27,4126232000
2023-07-28,4266899000
2023-07-31,4173121000
2023-08-01,3962120500
2023-08-02,3821453499
2023-08-03,4055898500
2023-08-04,4009009500
2023-08-07,3774564500
2023-08-08,3680786500
2023-08-09,3751120000
2023-08-10,3774564500
2023-08-11,3563564000
2023-08-14,3305674500
2023-08-15,3141563000
2023-08-16,3071229500
2023-08-17,3141563000
2023-08-18,3047785000
2023-08-21,3071229500
2023-08-22,2930562500
2023-08-23,2930562500
2023-08-24,2696117500
2023-08-25,2743006500
2023-08-28,2789895500
2023-08-29,2977451500
2023-08-30,2836784500
2023-08-31,2836784500
2023-09-01,3047785000
2023-09-05,2883673500
2023-09-06,2836784500
2023-09-07,2719562000
2023-09-08,2743006500
2023-09-11,2836784500
2023-09-12,2789895500
2023-09-13,2766451000
2023-09-14,2813340000
2023-09-15,2602339500
2023-09-18,2461672500
2023-09-19,2485117000
2023-09-20,2625784000
2023-09-21,2555450500
2023-09-22,2672673000
2023-09-25,2578895000
2023-09-26,2555450500
2023-09-27,2578895000
2023-09-28,2485117000
2023-09-29,2485117000
2023-10-02,2408500687
2023-10-03,2408500687
2023-10-04,2385778983
2023-10-05,2408500687
2023-10-06,2476665801
2023-10-09,2453944096
2023-10-10,2567552619
2023-10-11,2453944096
2023-10-12,2431222392
2023-10-13,2408500687
2023-10-16,2431222392
2023-10-17,2317613869
2023-10-18,2147201084
2023-10-19,2135840232
2023-10-20,2158561937
2023-10-23,2147201084
2023-10-24,2164242363
2023-10-25,2181283641
2023-10-26,2141520658
2023-10-27,2158561937
2023-10-30,2249448755
2023-10-31,2169922789
2023-11-01,2181283641
2023-11-02,2294892164
2023-11-03,2499387506
2023-11-06,2544830915
2023-11-07,2408500687
2023-11-08,2408500687
2023-11-09,2340335573
2023-11-10,2294892164
2023-11-13,2317613869
2023-11-14,1874540629
2023-11-15,2272170460
2023-11-16,2090396823
2023-11-17,2067675118
2023-11-20,2067675118
2023-11-21,2056314266
2023-11-22,2061994692
2023-11-24,2056314266
2023-11-27,1948386169
2023-11-28,1914303612
2023-11-29,1908623186
2023-11-30,1931344891
2023-12-01,2079035970
2023-12-04,2005190430
2023-12-05,1834777646
2023-12-06,1880221055
2023-12-07,1965427447
2023-12-08,1971107874
2023-12-11,2016551283
2023-12-12,1954066595
2023-12-13,2118798953
2023-12-14,2164242363
2023-12-15,2016551283
2023-12-18,1795014663
2023-12-19,1704127845
2023-12-20,1584838895
2023-12-21,1635962731
2023-12-22,1590519322
2023-12-26,1590519322
2023-12-27,1584838895
2023-12-28,1709808271
2023-12-29,1743890828
2024-01-02,1672205235
2024-01-03,1620664663
2024-01-04,1626391393
2024-01-05,1637844854
2024-01-08,1546217170
2024-01-09,1500403328
2024-01-10,1477496407
2024-01-11,1466042946
2024-01-12,1454589486
2024-01-16,1299967769
2024-01-17,1231247005
