,PANW
2015-10-14,13982781000
2015-10-15,14524017000
2015-10-16,14618478000
2015-10-19,14294247000
2015-10-20,14130855000
2015-10-21,13599831000
2015-10-22,14138514000
2015-10-23,13548771000
2015-10-26,13114761000
2015-10-27,13497711000
2015-10-28,13944486000
2015-10-29,13436439000
2015-10-30,13701951000
2015-11-02,14213658000
2015-11-03,14486448000
2015-11-04,14411106000
2015-11-05,13849938000
2015-11-06,14013612000
2015-11-09,13961652000
2015-11-10,13621314000
2015-11-11,13491414000
2015-11-12,13569354000
2015-11-13,13564158000
2015-11-16,13748616000
2015-11-17,14130522000
2015-11-18,14174688000
2015-11-19,14496840000
2015-11-20,14806002000
2015-11-23,14896932000
2015-11-24,15834810000
2015-11-25,15780252000
2015-11-27,16099806000
2015-11-30,16224510000
2015-12-01,16362204000
2015-12-02,16523280000
2015-12-03,16247892000
2015-12-04,16598622000
2015-12-07,16632395999
2015-12-08,16759698000
2015-12-09,16460928000
2015-12-10,16453134000
2015-12-11,16024464000
2015-12-14,15907554000
2015-12-15,16086816000
2015-12-16,16219314000
2015-12-17,16156962000
2015-12-18,15837408000
2015-12-21,15769860000
2015-12-22,15730890000
2015-12-23,15699714000
2015-12-24,15478884000
2015-12-28,15297024000
2015-12-29,15395748000
2015-12-30,15310014000
2015-12-31,15252858000
2016-01-04,14852766000
2016-01-05,14769630000
2016-01-06,14489046000
2016-01-07,14208462000
2016-01-08,14094150000
2016-01-11,14031798000
2016-01-12,13977240000
2016-01-13,13335534000
2016-01-14,13779792000
2016-01-15,13408278000
2016-01-19,12925050000
2016-01-20,12722406000
2016-01-21,12522360000
2016-01-22,12860100000
2016-01-25,12693828000
2016-01-26,12839316000
2016-01-27,12673044000
2016-01-28,12104082000
2016-01-29,12945834000
2016-02-01,13217412000
2016-02-02,12822312000
2016-02-03,12709050000
2016-02-04,12756462000
2016-02-05,11194500000
2016-02-08,10156704000
2016-02-09,10364790000
2016-02-10,10572876000
2016-02-11,10920564000
2016-02-12,10865250000
2016-02-16,11215572000
2016-02-17,11647548000
2016-02-18,10804668000
2016-02-19,11165526000
2016-02-22,11426292000
2016-02-23,11194500000
2016-02-24,11234010000
2016-02-25,12316584000
2016-02-26,12959280000
2016-02-29,12711684000
2016-03-01,13051470000
2016-03-02,13004058000
2016-03-03,13346478000
2016-03-04,13254288000
2016-03-07,13559832000
2016-03-08,13401792000
2016-03-09,13446570000
2016-03-10,13235850000
2016-03-11,13857474000
2016-03-14,13607244000
2016-03-15,13462374000
2016-03-16,13583538000
2016-03-17,13493982000
2016-03-18,13673094000
2016-03-21,13599342000
2016-03-22,13910154000
2016-03-23,13607244000
2016-03-24,13673094000
2016-03-28,13712604000
2016-03-29,13986540000
2016-03-30,14223600000
2016-03-31,14323692000
2016-04-01,14147214000
2016-04-04,14186724000
2016-04-05,13338576000
2016-04-06,13891716000
2016-04-07,13135758000
2016-04-08,12980352000
2016-04-11,12329754000
2016-04-12,12208590000
2016-04-13,12474624000
2016-04-14,12353460000
2016-04-15,12350826000
2016-04-18,12427212000
2016-04-19,12316584000
2016-04-20,12319218000
2016-04-21,12859188000
2016-04-22,13040934000
2016-04-25,13214778000
2016-04-26,13241118000
2016-04-27,13696800000
2016-04-28,13296432000
2016-04-29,13246386000
2016-05-02,13503021000
2016-05-03,13068300000
2016-05-04,12630912000
2016-05-05,12508230000
2016-05-06,12102846000
2016-05-09,12380214000
2016-05-10,12484227000
2016-05-11,12401550000
2016-05-12,11516106000
2016-05-13,11644122000
2016-05-16,11977497000
2016-05-17,11918823000
2016-05-18,12156186000
2016-05-19,12374880000
