,SYK
2000-10-02,7938000000
2000-10-03,8036000000
2000-10-04,7679280000
2000-10-05,7938000000
2000-10-06,8294720000
2000-10-09,8416240000
2000-10-10,8624000000
2000-10-11,8282960000
2000-10-12,8282960000
2000-10-13,8232000000
2000-10-16,8122240000
2000-10-17,7569519999
2000-10-18,9102240000
2000-10-19,8894480000
2000-10-20,8820000000
2000-10-23,8674960000
2000-10-24,8686720000
2000-10-25,8820000000
2000-10-26,8831760000
2000-10-27,8855280000
2000-10-30,9090480000
2000-10-31,9235520000
2000-11-01,9298240000
2000-11-02,9556960000
2000-11-03,9713760000
2000-11-06,10046960000
2000-11-07,9800000000
2000-11-08,9776480000
2000-11-09,9666720000
2000-11-10,9568720000
2000-11-13,9310000000
2000-11-14,9541280000
2000-11-15,9541280000
2000-11-16,9262960000
2000-11-17,9580480000
2000-11-20,9627520000
2000-11-21,9996000000
2000-11-22,10242960000
2000-11-24,10180240000
2000-11-27,10313520000
2000-11-28,10094000000
2000-11-29,10388000000
2000-11-30,10450720000
2000-12-01,10266480000
2000-12-04,10188080000
2000-12-05,10176320000
2000-12-06,10584000000
2000-12-07,9996000000
2000-12-08,10290000000
2000-12-11,10242960000
2000-12-12,10094000000
2000-12-13,10203760000
2000-12-14,10094000000
2000-12-15,10046960000
2000-12-18,10262560000
2000-12-19,10078320000
2000-12-20,9713760000
2000-12-21,9478560000
2000-12-22,9694160000
2000-12-26,9596160000
2000-12-27,9850960000
2000-12-28,9800000000
2000-12-29,9917600000
2001-01-02,9525600000
2001-01-03,9654960000
2001-01-04,9094400000
2001-01-05,8957200000
2001-01-08,8867040000
2001-01-09,9000320000
2001-01-10,9223760000
2001-01-11,9278640000
2001-01-12,8972880000
2001-01-16,8941520000
2001-01-17,9027760000
2001-01-18,8663200000
2001-01-19,8647520000
2001-01-22,8980720000
2001-01-23,9000320000
2001-01-24,9231600000
2001-01-25,9400160000
2001-01-26,9462880000
2001-01-29,9204160000
2001-01-30,9114000000
2001-01-31,8859200000
2001-02-01,8820000000
2001-02-02,8867040000
2001-02-05,9090480000
2001-02-06,9043440000
2001-02-07,9310000000
2001-02-08,9333520000
2001-02-09,9349200000
2001-02-12,9796080000
2001-02-13,9741200000
2001-02-14,9752960000
2001-02-15,9741200000
2001-02-16,9800000000
2001-02-20,9847040000
2001-02-21,10156720000
2001-02-22,10497760000
2001-02-23,10572240000
2001-02-26,10830960000
2001-02-27,10819200000
2001-02-28,11003440000
2001-03-01,11172000000
2001-03-02,10960320000
2001-03-05,10976000000
2001-03-06,10772160000
2001-03-07,10564400000
2001-03-08,10901520000
2001-03-09,10905440000
2001-03-12,10348800000
2001-03-13,10344880000
2001-03-14,10242960000
2001-03-15,10388000000
2001-03-16,10344880000
2001-03-19,10266480000
2001-03-20,10133200000
2001-03-21,10074400000
2001-03-22,9408000000
2001-03-23,9741200000
2001-03-26,10188080000
2001-03-27,10388000000
2001-03-28,10180240000
2001-03-29,10231200000
2001-03-30,10242960000
2001-04-02,10049364000
2001-04-03,9774684000
2001-04-04,9837468000
2001-04-05,10131768000
2001-04-06,10088604000
2001-04-09,10280880000
2001-04-10,10229868000
2001-04-11,9900252000
2001-04-12,10202400000
2001-04-16,10210248000
2001-04-17,10555560000
2001-04-18,10802772000
2001-04-19,11155932000
2001-04-20,11104920000
2001-04-23,10920492000
2001-04-24,11171628000
2001-04-25,11430612000
2001-04-26,11426688000
2001-04-27,11603268000
2001-04-30,11630736000
2001-05-01,11465928000
2001-05-02,11516940000
2001-05-03,11379600000
2001-05-04,11352132000
2001-05-07,11320740000
2001-05-08,11316816000
2001-05-09,11167704000
2001-05-10,11049984000
2001-05-11,11022516000
2001-05-14,10987200000
2001-05-15,11175552000
2001-05-16,11348208000
2001-05-17,11513016000
2001-05-18,11383524000
2001-05-21,11489472000
2001-05-22,11293272000
2001-05-23,11246184000
2001-05-24,11293272000
2001-05-25,11246184000
2001-05-29,11183400000
2001-05-30,11214792000
2001-05-31,11273652000
2001-06-01,11375676000
2001-06-04,11348208000
2001-06-05,11301120000
2001-06-06,11250108000
2001-06-07,11257956000
2001-06-08,11104920000
2001-06-11,10845936000
2001-06-12,10681128000
2001-06-13,10641888000
2001-06-14,10653660000
2001-06-15,10736064000
2001-06-18,10704672000
2001-06-19,10743912000
2001-06-20,11089224000
2001-06-21,10983276000
2001-06-22,10826316000
2001-06-25,10747836000
2001-06-26,10798848000
2001-06-27,10802772000
2001-06-28,11014668000
2001-06-29,10763532000
2001-07-02,10710128000
2001-07-03,10721906000
2001-07-05,10710128000
2001-07-06,10619830000
2001-07-09,10769018000
2001-07-10,10655164000
2001-07-11,10796500000
2001-07-12,10929984000
2001-07-13,11098802000
2001-07-16,11240138000
2001-07-17,11444290000
2001-07-18,11401104000
2001-07-19,11424660000
2001-07-20,11440364000
2001-07-23,11436438000
2001-07-24,11483550000
2001-07-25,11652368000
2001-07-26,11974300000
2001-07-27,12072450000
2001-07-30,11931114000
2001-07-31,11774074000
2001-08-01,11522810000
2001-08-02,11330436000
2001-08-03,11263694000
2001-08-06,11326510000
2001-08-07,11326510000
2001-08-08,11079172000
2001-08-09,11071320000
2001-08-10,10937836000
2001-08-13,10933910000
2001-08-14,10933910000
2001-08-15,10835760000
2001-08-16,10847538000
2001-08-17,10812204000
2001-08-20,10816130000
2001-08-21,10871094000
2001-08-22,10843612000
2001-08-23,10843612000
2001-08-24,10831834000
2001-08-27,10792574000
2001-08-28,10820056000
2001-08-29,10780796000
2001-08-30,10823982000
2001-08-31,10765092000
2001-09-04,10843612000
2001-09-05,10894650000
2001-09-06,10502050000
2001-09-07,10199748000
2001-09-10,10129080000
2001-09-17,9866038000
2001-09-18,9807148000
2001-09-19,9571588000
2001-09-20,9147580000
2001-09-21,9155432000
2001-09-24,9524476000
2001-09-25,9689368000
2001-09-26,9728628000
2001-09-27,10227230000
2001-09-28,10384270000
2001-10-01,10405540000
2001-10-02,10563140000
2001-10-03,10500100000
2001-10-04,10567080000
2001-10-05,10322800000
2001-10-08,10480400000
2001-10-09,10511920000
2001-10-10,10590720000
2001-10-11,10669520000
2001-10-12,10689220000
2001-10-15,10638000000
2001-10-16,10740440000
2001-10-17,10909860000
2001-10-18,11185660000
2001-10-19,11366900000
2001-10-22,11595420000
2001-10-23,11418120000
2001-10-24,11386600000
2001-10-25,11579660000
2001-10-26,11646640000
2001-10-29,11461460000
2001-10-30,11280220000
2001-10-31,11079280000
2001-11-01,11181720000
2001-11-02,11138380000
2001-11-05,10961080000
2001-11-06,10984720000
2001-11-07,10827120000
2001-11-08,10748320000
2001-11-09,10539500000
2001-11-12,10555260000
2001-11-13,10590720000
2001-11-14,10638000000
2001-11-15,10689220000
2001-11-16,10760140000
2001-11-19,10488280000
2001-11-20,10693160000
2001-11-21,10846820000
2001-11-23,10953200000
2001-11-26,11130500000
2001-11-27,11028060000
2001-11-28,10988660000
2001-11-29,10846820000
2001-11-30,10819240000
2001-12-03,10783780000
2001-12-04,10748320000
2001-12-05,10913800000
2001-12-06,10862580000
2001-12-07,10638000000
2001-12-10,10366140000
2001-12-11,10598600000
2001-12-12,10433120000
2001-12-13,10338560000
2001-12-14,10452820000
2001-12-17,10606480000
2001-12-18,10957140000
2001-12-19,11032000000
2001-12-20,11095040000
2001-12-21,11583600000
2001-12-24,11583600000
2001-12-26,11386600000
2001-12-27,11394480000
2001-12-28,11445700000
2001-12-31,11500860000
2002-01-02,11276280000
2002-01-03,11047760000
2002-01-04,10961080000
2002-01-07,10720740000
2002-01-08,10622240000
2002-01-09,10531620000
2002-01-10,10519800000
2002-01-11,10638000000
2002-01-14,10673460000
2002-01-15,10693160000
2002-01-16,10618300000
2002-01-17,10736500000
2002-01-18,10787720000
2002-01-22,11051700000
2002-01-23,11122620000
2002-01-24,11130500000
2002-01-25,11000480000
2002-01-28,10697100000
2002-01-29,11378720000
2002-01-30,11536320000
2002-01-31,11571780000
2002-02-01,11311740000
2002-02-04,11595420000
2002-02-05,11989420000
2002-02-06,11820000000
2002-02-07,11504800000
2002-02-08,11650580000
2002-02-11,11831820000
2002-02-12,11784540000
2002-02-13,11784540000
2002-02-14,11820000000
2002-02-15,11973660000
2002-02-19,11812120000
2002-02-20,11969720000
2002-02-21,11938200000
2002-02-22,11847580000
2002-02-25,11713620000
2002-02-26,12044580000
2002-02-27,12237640000
2002-02-28,12115500000
2002-03-01,11918500000
2002-03-04,11863340000
2002-03-05,11650580000
2002-03-06,11820000000
2002-03-07,11792420000
2002-03-08,11721500000
2002-03-11,11544200000
2002-03-12,11485100000
2002-03-13,11465400000
2002-03-14,11548140000
2002-03-15,12068220000
2002-03-18,12190360000
2002-03-19,12091860000
2002-03-20,11910620000
2002-03-21,11977600000
2002-03-22,11615120000
2002-03-25,11579660000
2002-03-26,11800300000
2002-03-27,11737260000
2002-03-28,11886980000
2002-04-01,11768988000
2002-04-02,11717664000
2002-04-03,11662392000
2002-04-04,11618964000
2002-04-05,11421564000
2002-04-08,11334708000
2002-04-09,11370240000
2002-04-10,11670288000
2002-04-11,11342604000
2002-04-12,11445252000
2002-04-15,11449200000
2002-04-16,11607120000
2002-04-17,11397876000
2002-04-18,11472888000
2002-04-19,11200476000
2002-04-22,10955700000
2002-04-23,10793832000
2002-04-24,10699080000
2002-04-25,10667496000
2002-04-26,10474044000
2002-04-29,10422720000
2002-04-30,10560900000
2002-05-01,11007024000
2002-05-02,11042556000
2002-05-03,10924116000
2002-05-06,10687236000
2002-05-07,10703028000
2002-05-08,10857000000
2002-05-09,10710924000
2002-05-10,10418772000
2002-05-13,10489836000
2002-05-14,10643808000
2002-05-15,10485888000
2002-05-16,10655652000
2002-05-17,10912272000
2002-05-20,10809624000
2002-05-21,10671444000
2002-05-22,10624068000
2002-05-23,10932012000
2002-05-24,10991232000
2002-05-28,10947804000
2002-05-29,10939908000
2002-05-30,10916220000
2002-05-31,10770144000
2002-06-03,10402980000
2002-06-04,10166100000
2002-06-05,10537212000
2002-06-06,10462200000
2002-06-07,10513524000
2002-06-10,10778040000
2002-06-11,10604328000
2002-06-12,10379292000
2002-06-13,10406928000
2002-06-14,10402980000
2002-06-17,10695132000
2002-06-18,10750404000
2002-06-19,10714872000
2002-06-20,10651704000
2002-06-21,10418772000
2002-06-24,10418772000
2002-06-25,10272696000
2002-06-26,10363500000
2002-06-27,10608276000
2002-06-28,10560900000
2002-07-01,10228998000
2002-07-02,9738702000
2002-07-03,9987804000
2002-07-05,10335756000
2002-07-08,10260630000
2002-07-09,9798012000
2002-07-10,9291900000
2002-07-11,9359118000
2002-07-12,9687300000
2002-07-15,9331440000
2002-07-16,9485646000
2002-07-17,10110378000
2002-07-18,9885000000
2002-07-19,9414474000
2002-07-22,9327486000
2002-07-23,9015120000
2002-07-24,8983488000
2002-07-25,9434244000
2002-07-26,9537048000
2002-07-29,9975942000
2002-07-30,9892908000
2002-07-31,10007574000
2002-08-01,9877092000
2002-08-02,9975942000
2002-08-05,9643806000
2002-08-06,9940356000
2002-08-07,10209228000
2002-08-08,10600674000
2002-08-09,10786512000
2002-08-12,10632306000
2002-08-13,10387158000
2002-08-14,10683708000
2002-08-15,10632306000
2002-08-16,10628352000
2002-08-19,10750926000
2002-08-20,10750926000
2002-08-21,10885362000
2002-08-22,11055384000
2002-08-23,10972350000
2002-08-26,11170050000
2002-08-27,10968396000
2002-08-28,10928856000
2002-08-29,11055384000
2002-08-30,11146326000
2002-09-03,10936764000
2002-09-04,11130510000
2002-09-05,11336118000
2002-09-06,11407290000
2002-09-09,11589174000
2002-09-10,11518002000
2002-09-11,11624760000
2002-09-12,11391474000
2002-09-13,11367750000
2002-09-16,11624760000
2002-09-17,11775012000
2002-09-18,11869908000
2002-09-19,11632668000
2002-09-20,11759196000
2002-09-23,11715702000
2002-09-24,10956534000
2002-09-25,11047476000
2002-09-26,11351934000
2002-09-27,11134464000
2002-09-30,11422080000
2002-10-01,11616414000
2002-10-02,11354658000
2002-10-03,11767122000
2002-10-04,11616414000
2002-10-07,11556924000
2002-10-08,11993184000
2002-10-09,12159756000
2002-10-10,12401682000
2002-10-11,12175620000
2002-10-14,12195450000
2002-10-15,12223212000
2002-10-16,12334260000
2002-10-17,12830010000
2002-10-18,12687234000
2002-10-21,12496866000
2002-10-22,12393750000
2002-10-23,12266838000
2002-10-24,12290634000
2002-10-25,12699132000
2002-10-28,12552390000
2002-10-29,12250974000
2002-10-30,12322362000
2002-10-31,12512730000
2002-11-01,12980717999
2002-11-04,13107629999
2002-11-05,12833976000
2002-11-06,13135391999
2002-11-07,13333691999
2002-11-08,13036241999
2002-11-11,12830010000
2002-11-12,12806214000
2002-11-13,12841908000
2002-11-14,12889500000
2002-11-15,12841908000
2002-11-18,12889500000
2002-11-19,13028310000
2002-11-20,13250405999
2002-11-21,13270236000
2002-11-22,12806214000
2002-11-25,12560322000
2002-11-26,12187518000
2002-11-27,12365988000
2002-11-29,12266838000
2002-12-02,12365988000
2002-12-03,12294600000
2002-12-04,12778452000
2002-12-05,12730860000
2002-12-06,12786384000
2002-12-09,12925194000
2002-12-10,13083834000
2002-12-11,12945024000
2002-12-12,12845874000
2002-12-13,12623778000
2002-12-16,12810179999
2002-12-17,12790350000
2002-12-18,13064004000
2002-12-19,12941058000
2002-12-20,13167120000
2002-12-23,13103664000
2002-12-24,13230576000
2002-12-26,13222644000
2002-12-27,13004514000
2002-12-30,13242474000
2002-12-31,13309896000
2003-01-02,13488366000
2003-01-03,13619244000
2003-01-06,13512162000
2003-01-07,13563720000
2003-01-08,13369386000
2003-01-09,13611312000
2003-01-10,13484400000
2003-01-13,13524060000
2003-01-14,13389216000
2003-01-15,13325760000
2003-01-16,13357488000
2003-01-17,13313862000
2003-01-21,13171086000
2003-01-22,13119528000
2003-01-23,13087800000
2003-01-24,12826044000
2003-01-27,12552390000
2003-01-28,12195450000
2003-01-29,12484968000
2003-01-30,12112164000
2003-01-31,11945592000
2003-02-03,12207348000
2003-02-04,12207348000
2003-02-05,12346158000
2003-02-06,12294600000
2003-02-07,12278736000
2003-02-10,12274770000
2003-02-11,12346158000
2003-02-12,12278736000
2003-02-13,12231144000
2003-02-14,12338226000
2003-02-18,12750690000
2003-02-19,12762588000
2003-02-20,12853805999
2003-02-21,12869670000
2003-02-24,12647574000
2003-02-25,12826044000
2003-02-26,12643608000
2003-02-27,12925194000
2003-02-28,12929160000
2003-03-03,12913296000
2003-03-04,12869670000
2003-03-05,13147290000
2003-03-06,13226610000
2003-03-07,13250405999
2003-03-10,12968820000
2003-03-11,12873636000
2003-03-12,12853805999
2003-03-13,13186950000
2003-03-14,13337658000
2003-03-17,13936524000
2003-03-18,13734258000
2003-03-19,13722360000
2003-03-20,13702529999
2003-03-21,13900829999
2003-03-24,13611312000
2003-03-25,13773917999
2003-03-26,13468536000
2003-03-27,13662870000
2003-03-28,13718394000
2003-03-31,13631904000
2003-04-01,13802700000
2003-04-02,13242648000
2003-04-03,13206900000
2003-04-04,13107600000
2003-04-07,12837504000
2003-04-08,13198955999
2003-04-09,13258536000
2003-04-10,13326059999
2003-04-11,13242648000
2003-04-14,13314144000
2003-04-15,13206900000
2003-04-16,12603156000
2003-04-17,13179096000
2003-04-21,13119516000
2003-04-22,13326059999
2003-04-23,13334004000
2003-04-24,13334004000
2003-04-25,13187040000
2003-04-28,13298255999
2003-04-29,13191012000
2003-04-30,13306200000
2003-05-01,13143348000
2003-05-02,13222788000
2003-05-05,13290312000
2003-05-06,13238676000
2003-05-07,13004328000
2003-05-08,12889140000
2003-05-09,12730259999
2003-05-12,12980496000
2003-05-13,12960636000
2003-05-14,12762036000
2003-05-15,12972551999
2003-05-16,12928859999
2003-05-19,12793812000
2003-05-20,12670680000
2003-05-21,12956663999
2003-05-22,13119516000
2003-05-23,13202928000
2003-05-27,13226759999
2003-05-28,13107600000
2003-05-29,13234704000
2003-05-30,13373724000
2003-06-02,13433304000
2003-06-03,13405500000
2003-06-04,13687512000
2003-06-05,13846392000
2003-06-06,13715316000
2003-06-09,13802700000
2003-06-10,14100600000
2003-06-11,14378640000
2003-06-12,14231676000
2003-06-13,14203872000
2003-06-16,14378640000
2003-06-17,14537520000
2003-06-18,14128404000
2003-06-19,13802700000
2003-06-20,13902000000
2003-06-23,13715316000
2003-06-24,13826532000
2003-06-25,13707372000
2003-06-26,13953636000
2003-06-27,13894055999
2003-06-30,13813558000
2003-07-01,13917090000
2003-07-02,13937000000
2003-07-03,13837450000
2003-07-07,13917090000
2003-07-08,14048496000
2003-07-09,14072388000
2003-07-10,14072388000
2003-07-11,14175920000
2003-07-14,14335200000
2003-07-15,14136100000
2003-07-16,14653759999
2003-07-17,14574120000
2003-07-18,14801094000
2003-07-21,14689598000
2003-07-22,14840914000
2003-07-23,14761274000
2003-07-24,14741364000
2003-07-25,14972320000
2003-07-28,15028068000
2003-07-29,15597494000
2003-07-30,15454142000
2003-07-31,15235132000
2003-08-01,15171420000
2003-08-04,15028068000
2003-08-05,14789148000
2003-08-06,14649778000
2003-08-07,14693580000
2003-08-08,14773220000
2003-08-11,15036032000
2003-08-12,15055942000
2003-08-13,14952409999
2003-08-14,15131600000
2003-08-15,15123635999
2003-08-18,15139564000
2003-08-19,15040014000
2003-08-20,15047978000
2003-08-21,15040014000
2003-08-22,14793130000
2003-08-25,14797111999
2003-08-26,14828968000
2003-08-27,14801094000
2003-08-28,15067888000
2003-08-29,15091780000
2003-09-02,15259024000
2003-09-03,15143546000
2003-09-04,15083816000
2003-09-05,14900644000
2003-09-08,14733400000
2003-09-09,14725435999
2003-09-10,14729418000
2003-09-11,14733400000
2003-09-12,14741364000
2003-09-15,14828968000
2003-09-16,14892680000
2003-09-17,15008158000
2003-09-18,15270970000
2003-09-19,15155492000
2003-09-22,15119654000
2003-09-23,15231150000
2003-09-24,15083816000
2003-09-25,15059924000
2003-09-26,15036032000
2003-09-29,15083816000
2003-09-30,15056467999
2003-10-01,14956517999
2003-10-02,15292350000
2003-10-03,15456267999
2003-10-06,15352320000
2003-10-07,15400296000
2003-10-08,15248372000
2003-10-09,15244374000
2003-10-10,15328332000
2003-10-13,15320336000
2003-10-14,15520236000
2003-10-15,15776108000
2003-10-16,15744124000
2003-10-17,15788102000
2003-10-20,16287852000
2003-10-21,16119936000
2003-10-22,16019986000
2003-10-23,16179906000
2003-10-24,16291850000
2003-10-27,16175908000
2003-10-28,16283853999
2003-10-29,16247872000
2003-10-30,16223884000
2003-10-31,16215888000
2003-11-03,16427782000
2003-11-04,16339825999
2003-11-05,16271860000
2003-11-06,16447772000
2003-11-07,16291850000
2003-11-10,16207892000
2003-11-11,16111939999
2003-11-12,16215888000
2003-11-13,16431780000
2003-11-14,16251870000
2003-11-17,16119936000
2003-11-18,15908042000
2003-11-19,15999996000
2003-11-20,15792100000
2003-11-21,15840075999
2003-11-24,16091950000
2003-11-25,15999996000
2003-11-26,16063964000
2003-11-28,16191900000
2003-12-01,16403794000
2003-12-02,16475758000
2003-12-03,16391800000
2003-12-04,16407792000
2003-12-05,16379806000
2003-12-08,16619686000
2003-12-09,16411789999
2003-12-10,16083953999
2003-12-11,16259866000
2003-12-12,16263864000
2003-12-15,16267862000
2003-12-16,16275858000
2003-12-17,16447772000
2003-12-18,16519736000
2003-12-19,16655667999
2003-12-22,16547722000
2003-12-23,16471760000
2003-12-24,16471760000
2003-12-26,16467762000
2003-12-29,16835578000
2003-12-30,16951520000
2003-12-31,16991500000
2004-01-02,16743624000
2004-01-05,17003494000
2004-01-06,16911539999
2004-01-07,16819586000
2004-01-08,16851570000
2004-01-09,16871560000
2004-01-12,17027482000
2004-01-13,16959516000
2004-01-14,17107442000
2004-01-15,17247372000
2004-01-16,17823084000
2004-01-20,17591200000
2004-01-21,17779106000
2004-01-22,17879056000
2004-01-23,17899046000
2004-01-26,18254868000
2004-01-27,18074958000
2004-01-28,17719136000
2004-01-29,18166912000
2004-01-30,17739126000
2004-02-02,18106942000
2004-02-03,17899046000
2004-02-04,17907042000
2004-02-05,17619186000
2004-02-06,17943024000
2004-02-09,17967012000
2004-02-10,17855068000
2004-02-11,18170910000
2004-02-12,18054968000
2004-02-13,18030980000
2004-02-17,18018986000
2004-02-18,18018986000
2004-02-19,17851070000
2004-02-20,17975008000
2004-02-23,17863064000
2004-02-24,17859066000
2004-02-25,17815088000
2004-02-26,17767112000
2004-02-27,17739126000
2004-03-01,17839076000
2004-03-02,17667162000
2004-03-03,18050970000
2004-03-04,17967012000
2004-03-05,18074958000
2004-03-08,18546722000
2004-03-09,18346822000
2004-03-10,18138926000
2004-03-11,17711140000
2004-03-12,17875058000
2004-03-15,17591200000
2004-03-16,17627182000
2004-03-17,18230880000
2004-03-18,18086952000
2004-03-19,17859066000
2004-03-22,17411290000
2004-03-23,17539226000
2004-03-24,17443274000
2004-03-25,17439276000
2004-03-26,17551220000
2004-03-29,17679156000
2004-03-30,17747122000
2004-03-31,17743416000
2004-04-01,18036000000
2004-04-02,18633192000
2004-04-05,18897720000
2004-04-06,18865656000
2004-04-07,18853632000
2004-04-08,18933792000
2004-04-12,19054032000
2004-04-13,18845616000
2004-04-14,18941808000
2004-04-15,19158240000
2004-04-16,19971864000
2004-04-19,19891704000
2004-04-20,19522968000
2004-04-21,19767456000
2004-04-22,20096112000
2004-04-23,19927776000
2004-04-26,20060040000
2004-04-27,20208336000
2004-04-28,19831584000
2004-04-29,19811544000
2004-04-30,19823568000
2004-05-03,19975872000
2004-05-04,19943808000
2004-05-05,20264448000
2004-05-06,20192304000
2004-05-07,20280480000
2004-05-10,19891704000
2004-05-11,20048016000
2004-05-12,20040000000
2004-05-13,20232384000
2004-05-14,20336592000
2004-05-17,20196312000
2004-05-18,20348616000
2004-05-19,20340600000
2004-05-20,19923768000
2004-05-21,20308536000
2004-05-24,20208336000
2004-05-25,20236392000
2004-05-26,20332584000
2004-05-27,20440800000
2004-05-28,20380680000
2004-06-01,20789496000
2004-06-02,20897712000
2004-06-03,20925768000
2004-06-04,21118152000
2004-06-07,21478872000
2004-06-08,21655224000
2004-06-09,21571056000
2004-06-10,21783480000
2004-06-14,21643200000
2004-06-15,21715344000
2004-06-16,21679272000
2004-06-17,21671256000
2004-06-18,21747408000
2004-06-21,21815544000
2004-06-22,21811536000
2004-06-23,21875664000
2004-06-24,21851616000
2004-06-25,22015944000
2004-06-28,21791496000
2004-06-29,21971856000
2004-06-30,22093500000
2004-07-01,22093500000
2004-07-02,22001109000
2004-07-06,22559472000
2004-07-07,23029461000
2004-07-08,22908951000
2004-07-09,22418877000
2004-07-12,22057347000
2004-07-13,22085466000
2004-07-14,21804276000
2004-07-15,22013160000
2004-07-16,18494268000
2004-07-19,19261515000
2004-07-20,19562790000
2004-07-21,19345872000
2004-07-22,19044597000
2004-07-23,18932121000
2004-07-26,18936138000
2004-07-27,19201260000
2004-07-28,18831696000
2004-07-29,18550506000
2004-07-30,19153056000
2004-08-02,19293651000
2004-08-03,19345872000
2004-08-04,19165107000
2004-08-05,18466149000
2004-08-06,17771208000
2004-08-09,18080517000
2004-08-10,18409911000
2004-08-11,18466149000
2004-08-12,18337605000
2004-08-13,18160857000
2004-08-16,18361707000
2004-08-17,18373758000
2004-08-18,18618795000
2004-08-19,18474183000
2004-08-20,18646914000
2004-08-23,18879900000
