,NKE
2000-05-05,11512492308
2000-05-08,11598728205
2000-05-09,11641846154
2000-05-10,11383138462
2000-05-11,11512492308
2000-05-12,11534051282
2000-05-15,11900553846
2000-05-16,11900553846
2000-05-17,11124430769
2000-05-18,10973517949
2000-05-19,10779487180
2000-05-22,10671692308
2000-05-23,11124430769
2000-05-24,11728082051
2000-05-25,11684964103
2000-05-26,11749641026
2000-05-30,11922112821
2000-05-31,11555610256
2000-06-01,11663405128
2000-06-02,11922112821
2000-06-05,11900553846
2000-06-06,11318461539
2000-06-07,11835876923
2000-06-08,11577169231
2000-06-09,11210666667
2000-06-12,10887282051
2000-06-13,10520779487
2000-06-14,10650133333
2000-06-15,10326748718
2000-06-16,10046482051
2000-06-19,9830892308
2000-06-20,9615302564
2000-06-21,9593743590
2000-06-22,9485948718
2000-06-23,9981805128
2000-06-26,10520779487
2000-06-27,10757928205
2000-06-28,10520779487
2000-06-29,10671692308
2000-06-30,10736369231
2000-07-03,10865723077
2000-07-05,10844164103
2000-07-06,10908841026
2000-07-07,11340020513
2000-07-10,11232225641
2000-07-11,11598728205
2000-07-12,11426256410
2000-07-13,11835876923
2000-07-14,11814317949
2000-07-17,12202379487
2000-07-18,12116143590
2000-07-19,11878994872
2000-07-20,12029907692
2000-07-21,12051466667
2000-07-24,12374851282
2000-07-25,12504205128
2000-07-26,12676676923
2000-07-27,12396410257
2000-07-28,11900553846
2000-07-31,11792758974
2000-08-01,11986789744
2000-08-02,12288615385
2000-08-03,12396410257
2000-08-04,12396410257
2000-08-07,12331733333
2000-08-08,12935384616
2000-08-09,12935384616
2000-08-10,12590441026
2000-08-11,12633558974
2000-08-14,12827589744
2000-08-15,12612000000
2000-08-16,12741353846
2000-08-17,12870707692
2000-08-18,12849148718
2000-08-21,12633558974
2000-08-22,11296902564
2000-08-23,10844164103
2000-08-24,11145989744
2000-08-25,11447815385
2000-08-28,10973517949
2000-08-29,11318461539
2000-08-30,11167548718
2000-08-31,10746000000
2000-09-01,11093345455
2000-09-05,11310436364
2000-09-06,10811127273
2000-09-07,10485490909
2000-09-08,10615745454
2000-09-11,9942763636
2000-09-12,10680872727
2000-09-13,10485490909
2000-09-14,10311818182
2000-09-15,9812509091
2000-09-18,10268400000
2000-09-19,10398654545
2000-09-20,10268400000
2000-09-21,10507200000
2000-09-22,10746000000
2000-09-25,10897963636
2000-09-26,10876254545
2000-09-27,10811127273
2000-09-28,10897963636
2000-09-29,10876254545
2000-10-02,10854545455
2000-10-03,11267018182
2000-10-04,11049927273
2000-10-05,11679490909
2000-10-06,10767709091
2000-10-09,10594036364
2000-10-10,10767709091
2000-10-11,10572327273
2000-10-12,10420363636
2000-10-13,10442072727
2000-10-16,10702581818
2000-10-17,10311818182
2000-10-18,10246690909
2000-10-19,10420363636
2000-10-20,10073018182
2000-10-23,9877636364
2000-10-24,10051309091
2000-10-25,10138145454
2000-10-26,10637454545
2000-10-27,10398654545
2000-10-30,10572327273
2000-10-31,10832836364
2000-11-01,10811127273
2000-11-02,11505818182
2000-11-03,11223600000
2000-11-06,11592654545
2000-11-07,11679490909
2000-11-08,12070254545
2000-11-09,11831454545
2000-11-10,11288727273
2000-11-13,11223600000
2000-11-14,11332145455
2000-11-15,11440690909
2000-11-16,11201890909
2000-11-17,11310436364
2000-11-20,10854545455
2000-11-21,10854545455
2000-11-22,10919672727
2000-11-24,10984800000
2000-11-27,11679490909
2000-11-28,11918290909
2000-11-29,11614363636
2000-11-30,11536488886
2000-12-01,11817866664
2000-12-04,12185822219
2000-12-05,11969377775
2000-12-06,11709644442
2000-12-07,11255111108
2000-12-08,11514844442
2000-12-11,11904444442
2000-12-12,12120888886
2000-12-13,12185822219
2000-12-14,12986666664
2000-12-15,12878444441
2000-12-18,12640355552
2000-12-19,12878444441
2000-12-20,13289688886
2000-12-21,13332977775
2000-12-22,13852444441
2000-12-26,14631644441
2000-12-27,15345911107
2000-12-28,15345911107
2000-12-29,15107822219
2001-01-02,14653288885
2001-01-03,15129466663
2001-01-04,15519066663
2001-01-05,14848088885
2001-01-08,15583999996
2001-01-09,16081822218
2001-01-10,15735511107
2001-01-11,15627288885
2001-01-12,15259333330
2001-01-16,15064533330
2001-01-17,15107822219
2001-01-18,15172755552
2001-01-19,14177111108
2001-01-22,14328622219
2001-01-23,14371911108
2001-01-24,14177111108
2001-01-25,14653288885
2001-01-26,14350266663
2001-01-29,14242044441
2001-01-30,14350266663
2001-01-31,14891377774
2001-02-01,14804799996
2001-02-02,14869733330
2001-02-05,14956311108
2001-02-06,15389199996
2001-02-07,15324266663
2001-02-08,14934666663
2001-02-09,14804799996
2001-02-12,14739866663
2001-02-13,15194399996
2001-02-14,14934666663
2001-02-15,14177111108
2001-02-16,14025599997
2001-02-20,12943377775
2001-02-21,12748577775
2001-02-22,13008311108
2001-02-23,13268044441
2001-02-26,13311333330
2001-02-27,10713999997
2001-02-28,10509145948
2001-03-01,10293794596
2001-03-02,10207654056
2001-03-05,10229189191
2001-03-06,10552216218
2001-03-07,10875243245
2001-03-08,10896778380
2001-03-09,10789102705
2001-03-12,10552216218
2001-03-13,10186118921
2001-03-14,9906162164
2001-03-15,9841556758
2001-03-16,9820021623
2001-03-19,9776951353
2001-03-20,10229189191
2001-03-21,10832172975
2001-03-22,10724497299
2001-03-23,10896778380
2001-03-26,10659891894
2001-03-27,10746032434
2001-03-28,10702962164
2001-03-29,10832172975
2001-03-30,10918313515
2001-04-02,11090594597
2001-04-03,10616821624
2001-04-04,10767567570
2001-04-05,10659891894
2001-04-06,10595286488
2001-04-09,10638356759
2001-04-10,10616821624
2001-04-11,10250724326
2001-04-12,10078443245
2001-04-16,9949232434
2001-04-17,10013837840
2001-04-18,10293794596
2001-04-19,10659891894
2001-04-20,10702962164
2001-04-23,10702962164
2001-04-24,10293794596
2001-04-25,10487610813
2001-04-26,10724497299
2001-04-27,11198270272
2001-04-30,11262875678
2001-05-01,10918313515
2001-05-02,11198270272
2001-05-03,11025989191
2001-05-04,10939848651
2001-05-07,10918313515
2001-05-08,11025989191
2001-05-09,10767567570
2001-05-10,10595286488
2001-05-11,10336864867
2001-05-14,10466075678
2001-05-15,10659891894
2001-05-16,11305945948
2001-05-17,11392086489
2001-05-18,11413621624
2001-05-21,11758183786
2001-05-22,12145816218
2001-05-23,11758183786
2001-05-24,11779718921
2001-05-25,11715113516
2001-05-29,11435156759
2001-05-30,11047524326
2001-05-31,22089664000
2001-06-01,22175616000
2001-06-04,22132640000
2001-06-05,22261568000
2001-06-06,22218592000
2001-06-07,22734304000
2001-06-08,22347520000
2001-06-11,22132640000
2001-06-12,22476448000
2001-06-13,22218592000
2001-06-14,22261568000
2001-06-15,21960736000
2001-06-18,21917760000
2001-06-19,22906208000
2001-06-20,22562400000
2001-06-21,23378944000
2001-06-22,23937632000
2001-06-25,23636800000
2001-06-26,22949184000
2001-06-27,22906208000
2001-06-28,22562400000
2001-06-29,22562400000
2001-07-02,22648352000
2001-07-03,22863232000
2001-07-05,22605376000
2001-07-06,22476448000
2001-07-09,22304544000
2001-07-10,22089664000
2001-07-11,22777280000
2001-07-12,24195488000
2001-07-13,24238464000
2001-07-16,24926080000
2001-07-17,25226912000
2001-07-18,24711200000
2001-07-19,25656672000
2001-07-20,25441792000
2001-07-23,24840128000
2001-07-24,24754176000
2001-07-25,25140960000
2001-07-26,25699648000
2001-07-27,25140960000
2001-07-30,24754176000
2001-07-31,25527744000
2001-08-01,25699648000
2001-08-02,26731072000
2001-08-03,26945952000
2001-08-06,25527744000
2001-08-07,25656672000
2001-08-08,25785600000
2001-08-09,26129408000
2001-08-10,26559168000
2001-08-13,26688096000
2001-08-14,26602144000
2001-08-15,26172384000
2001-08-16,26344288000
2001-08-17,26172384000
2001-08-20,25914528000
2001-08-21,26129408000
2001-08-22,26258336000
2001-08-23,26430240000
2001-08-24,27547616000
2001-08-27,27117856000
2001-08-28,27117856000
2001-08-29,26988928000
2001-08-30,26602144000
2001-08-31,13468750000
2001-09-04,13662700000
2001-09-05,13598050000
2001-09-06,13511850000
2001-09-07,13059300000
2001-09-10,13102400000
2001-09-17,11874050000
2001-09-18,11593900000
2001-09-19,11507700000
2001-09-20,11378400000
2001-09-21,11766300000
2001-09-24,12499000000
2001-09-25,12305050000
2001-09-26,12240400000
2001-09-27,12261950000
2001-09-28,12606750000
2001-10-01,12628300000
2001-10-02,12951550000
2001-10-03,13188600000
2001-10-04,12822250000
2001-10-05,12886900000
2001-10-08,12757600000
2001-10-09,12585200000
2001-10-10,12994650000
2001-10-11,12908450000
2001-10-12,12951550000
2001-10-15,12843800000
2001-10-16,12800700000
2001-10-17,12779150000
2001-10-18,12822250000
2001-10-19,12973100000
2001-10-22,13296350000
2001-10-23,13231700000
2001-10-24,13145500000
2001-10-25,13188600000
2001-10-26,13382550000
2001-10-29,13167050000
2001-10-30,12951550000
2001-10-31,13296350000
2001-11-01,13188600000
2001-11-02,13253250000
2001-11-05,13339450000
2001-11-06,13468750000
2001-11-07,13404100000
2001-11-08,13425650000
2001-11-09,13339450000
2001-11-12,13296350000
2001-11-13,13468750000
2001-11-14,13899750000
2001-11-15,14136800000
2001-11-16,14266100000
2001-11-19,14352300000
2001-11-20,14416950000
2001-11-21,14416950000
2001-11-23,14373850000
2001-11-26,14093700000
2001-11-27,14072150000
2001-11-28,13942850000
2001-11-29,13835100000
2001-11-30,28958528000
2001-12-03,28914784000
2001-12-04,28958528000
2001-12-05,29964640000
2001-12-06,30795776000
2001-12-07,30095872000
2001-12-10,29745920000
2001-12-11,30095872000
2001-12-12,29789664000
2001-12-13,29964640000
2001-12-14,29439712000
2001-12-17,28608576000
2001-12-18,28871040000
2001-12-19,29877152000
2001-12-20,29395968000
2001-12-21,30795776000
2001-12-24,31189472000
2001-12-26,31233216000
2001-12-27,31014496000
2001-12-28,30883264000
2001-12-31,30752032000
2002-01-02,31145728000
2002-01-03,30883264000
2002-01-04,31189472000
2002-01-07,31276960000
2002-01-08,31364448000
2002-01-09,30927008000
2002-01-10,31189472000
2002-01-11,30314592000
2002-01-14,29920896000
2002-01-15,31320704000
2002-01-16,30752032000
2002-01-17,31364448000
2002-01-18,31451936000
2002-01-22,31714400000
2002-01-23,31801888000
2002-01-24,32108096000
2002-01-25,32064352000
2002-01-28,31845632000
2002-01-29,31626912000
2002-01-30,33376672000
2002-01-31,32764256000
2002-02-01,32808000000
2002-02-04,32501792000
2002-02-05,32808000000
2002-02-06,32851744000
2002-02-07,32851744000
2002-02-08,32326816000
2002-02-11,33070464000
2002-02-12,32895488000
2002-02-13,33026720000
2002-02-14,33070464000
2002-02-15,32545536000
2002-02-19,31889376000
2002-02-20,32020608000
2002-02-21,31451936000
2002-02-22,32458048000
2002-02-25,32676768000
2002-02-26,32501792000
2002-02-27,32020608000
2002-02-28,15667968000
2002-03-01,15667968000
2002-03-04,15774408000
2002-03-05,15433800000
2002-03-06,15604104000
2002-03-07,15646680000
2002-03-08,15497664000
2002-03-11,15561528000
2002-03-12,15561528000
2002-03-13,16157592000
2002-03-14,16689792000
2002-03-15,16689792000
2002-03-18,16902672000
2002-03-19,16860096000
2002-03-20,17030400000
2002-03-21,16817520000
2002-03-22,15838272000
2002-03-25,15987288000
2002-03-26,16093728000
2002-03-27,16242744000
2002-03-28,15966000000
2002-04-01,15625392000
2002-04-02,15348648000
2002-04-03,15497664000
2002-04-04,15433800000
2002-04-05,15667968000
2002-04-08,15582816000
2002-04-09,15604104000
2002-04-10,15561528000
2002-04-11,15306072000
2002-04-12,15391224000
2002-04-15,15178344000
2002-04-16,15625392000
2002-04-17,15263496000
2002-04-18,14731296000
2002-04-19,15114480000
2002-04-22,15178344000
2002-04-23,15284784000
2002-04-24,14901600000
2002-04-25,14773872000
2002-04-26,14560992000
2002-04-29,14348112000
2002-04-30,14199096000
2002-05-01,14539704000
2002-05-02,14688720000
2002-05-03,14731296000
2002-05-06,14369400000
2002-05-07,14667432000
2002-05-08,14922888000
2002-05-09,14603568000
2002-05-10,14071368000
2002-05-13,14284248000
2002-05-14,14688720000
2002-05-15,14497128000
2002-05-16,14859024000
2002-05-17,14859024000
2002-05-20,14475840000
2002-05-21,14305536000
2002-05-22,14028792000
2002-05-23,14560992000
2002-05-24,14369400000
2002-05-28,14284248000
2002-05-29,14262960000
2002-05-30,14241672000
2002-05-31,14604799997
2002-06-03,14148399997
2002-06-04,13691999997
2002-06-05,13800666664
2002-06-06,13670266664
2002-06-07,13626799997
2002-06-10,13670266664
2002-06-11,13691999997
2002-06-12,13670266664
2002-06-13,13583333331
2002-06-14,13518133331
2002-06-17,14235333331
2002-06-18,14409199997
2002-06-19,14409199997
2002-06-20,14126666664
2002-06-21,13778933331
2002-06-24,13822399997
2002-06-25,13474666664
2002-06-26,13344266664
2002-06-27,13974533331
2002-06-28,14583066664
2002-07-01,14843866664
2002-07-02,14865599997
2002-07-03,14952533331
2002-07-05,15300266664
2002-07-08,15408933330
2002-07-09,15213333331
2002-07-10,15126399997
2002-07-11,14300533331
2002-07-12,14452666664
2002-07-15,14235333331
2002-07-16,14669999997
2002-07-17,14539599997
2002-07-18,13865866664
2002-07-19,13300799997
2002-07-22,12909599998
2002-07-23,12583599998
2002-07-24,13148666664
2002-07-25,13192133331
2002-07-26,13235599997
2002-07-29,13822399997
2002-07-30,13670266664
2002-07-31,13387733331
2002-08-01,12779199998
2002-08-02,12366266664
2002-08-05,11931599998
2002-08-06,12127199998
2002-08-07,12105466664
2002-08-08,12214133331
2002-08-09,11931599998
2002-08-12,11627333331
2002-08-13,11692533331
2002-08-14,12018533331
2002-08-15,12301066664
2002-08-16,11975066664
2002-08-19,11844666664
2002-08-20,12170666664
2002-08-21,12366266664
2002-08-22,12540133331
2002-08-23,12453199998
2002-08-26,12474933331
2002-08-27,12301066664
2002-08-28,12105466664
2002-08-29,11670799998
2002-08-30,11735999998
2002-09-03,11242666664
2002-09-04,11242666664
2002-09-05,11157333331
2002-09-06,11178666664
2002-09-09,10922666664
2002-09-10,11242666664
2002-09-11,11477333331
2002-09-12,11135999998
2002-09-13,11135999998
2002-09-16,11263999998
2002-09-17,11114666664
2002-09-18,11477333331
2002-09-19,11733333331
2002-09-20,11754666664
2002-09-23,11285333331
2002-09-24,11263999998
2002-09-25,11839999998
2002-09-26,12159999998
2002-09-27,11690666664
2002-09-30,11519999998
2002-10-01,11605333331
2002-10-02,11498666664
2002-10-03,11199999998
2002-10-04,11178666664
2002-10-07,10666666665
2002-10-08,10666666665
2002-10-09,10495999998
2002-10-10,10623999998
2002-10-11,11157333331
2002-10-14,11349333331
2002-10-15,11989333331
2002-10-16,11498666664
2002-10-17,11861333331
2002-10-18,11583999998
2002-10-21,12138666664
2002-10-22,12074666664
2002-10-23,12074666664
2002-10-24,12159999998
2002-10-25,12522666664
2002-10-28,12458666664
2002-10-29,12330666664
2002-10-30,12565333331
2002-10-31,12586666664
2002-11-01,12650666664
2002-11-04,12629333331
2002-11-05,12309333331
2002-11-06,12053333331
2002-11-07,11882666664
2002-11-08,11733333331
2002-11-11,11434666664
2002-11-12,11690666664
2002-11-13,11626666664
2002-11-14,12053333331
2002-11-15,12159999998
2002-11-18,12074666664
2002-11-19,11882666664
2002-11-20,12202666664
2002-11-21,12010666664
2002-11-22,11669333331
2002-11-25,11882666664
2002-11-26,11711999998
2002-11-27,12031999998
2002-11-29,11946666664
2002-12-02,12353259571
2002-12-03,12332034039
2002-12-04,12225906380
2002-12-05,12034876592
2002-12-06,11971199997
2002-12-09,11567914890
2002-12-10,11483012763
2002-12-11,11461787231
2002-12-12,11631591486
2002-12-13,11291982976
2002-12-16,11737719146
2002-12-17,11334434039
2002-12-18,11122178720
2002-12-19,11016051061
2002-12-20,11971199997
2002-12-23,11758944678
2002-12-24,11695268082
2002-12-26,11716493614
2002-12-27,11546689359
2002-12-30,11822621273
2002-12-31,11801395741
2003-01-02,12225906380
2003-01-03,11971199997
2003-01-06,12141004252
2003-01-07,12119778720
2003-01-08,12204680848
2003-01-09,12523063826
2003-01-10,12607965954
2003-01-13,12501838294
2003-01-14,12374485103
2003-01-15,12183455316
2003-01-16,12077327656
2003-01-17,11949974465
2003-01-21,11631591486
2003-01-22,11525463827
2003-01-23,11843846805
2003-01-24,11504238295
2003-01-27,11567914890
2003-01-28,11843846805
2003-01-29,12119778720
2003-01-30,11928748933
2003-01-31,11822621273
2003-02-03,11716493614
2003-02-04,11589140422
2003-02-05,11483012763
2003-02-06,11461787231
2003-02-07,11249531912
2003-02-10,11504238295
2003-02-11,11631591486
2003-02-12,11589140422
2003-02-13,11674042550
2003-02-14,11971199997
2003-02-18,12098553188
2003-02-19,12056102124
2003-02-20,12119778720
2003-02-21,12310808507
2003-02-24,12013651061
2003-02-25,12056102124
2003-02-26,11949974465
2003-02-27,12268357443
2003-02-28,12219386048
2003-03-03,12282589769
2003-03-04,12029774885
2003-03-05,12261521862
2003-03-06,12282589769
2003-03-07,12935694885
2003-03-10,12451133025
2003-03-11,12514336746
2003-03-12,12682880001
2003-03-13,12914626978
2003-03-14,13104238141
2003-03-17,13588800002
2003-03-18,12893559071
2003-03-19,13188509769
2003-03-20,13925886513
2003-03-21,14031226048
2003-03-24,13715207443
2003-03-25,13925886513
2003-03-26,13715207443
2003-03-27,13757343257
2003-03-28,13968022327
2003-03-31,13546664188
2003-04-01,13378120932
2003-04-02,13778411164
2003-04-03,13736275350
2003-04-04,13567732095
2003-04-07,13546664188
2003-04-08,13652003723
2003-04-09,13630935816
2003-04-10,13862682792
2003-04-11,13841614885
2003-04-14,14031226048
2003-04-15,14157633490
2003-04-16,13778411164
2003-04-17,13778411164
2003-04-21,13652003723
2003-04-22,13989090234
2003-04-23,14157633490
2003-04-24,13968022327
2003-04-25,13757343257
2003-04-28,14220837211
2003-04-29,14284040932
2003-04-30,14094429769
2003-05-01,13883750699
2003-05-02,14136565583
2003-05-05,13883750699
2003-05-06,14284040932
2003-05-07,14262973025
2003-05-08,14052293955
2003-05-09,14241905118
2003-05-12,14347244653
2003-05-13,14410448374
2003-05-14,14199769304
2003-05-15,14199769304
2003-05-16,13925886513
2003-05-19,13757343257
2003-05-20,13841614885
2003-05-21,13652003723
2003-05-22,13757343257
2003-05-23,13652003723
2003-05-27,14199769304
2003-05-28,14389380467
2003-05-29,14410448374
2003-05-30,14747534886
2003-06-02,14774949497
2003-06-03,14437236365
2003-06-04,14753842426
2003-06-05,14711628284
2003-06-06,14627200002
2003-06-09,14584985860
2003-06-10,14753842426
2003-06-11,14584985860
2003-06-12,14563878789
2003-06-13,14395022224
2003-06-16,14521664648
2003-06-17,14690521214
2003-06-18,14817163638
2003-06-19,14859377779
2003-06-20,14774949497
2003-06-23,14606092931
2003-06-24,14943806062
2003-06-25,15007127274
2003-06-26,15028234345
2003-06-27,14015094951
2003-06-30,14120630304
2003-07-01,14226165658
2003-07-02,14205058587
2003-07-03,14120630304
2003-07-07,14226165658
2003-07-08,14162844446
2003-07-09,13993987880
2003-07-10,14162844446
2003-07-11,14141737375
2003-07-14,14162844446
2003-07-15,14015094951
2003-07-16,13993987880
2003-07-17,13782917173
2003-07-18,13719595961
2003-07-21,13487418183
2003-07-22,13571846466
2003-07-23,13719595961
2003-07-24,13846238385
2003-07-25,13888452527
2003-07-28,13719595961
2003-07-29,13656274749
2003-07-30,13529632325
2003-07-31,13656274749
2003-08-01,13381882830
2003-08-04,13360775759
2003-08-05,13128597981
2003-08-06,13107490910
2003-08-07,13360775759
2003-08-08,13930666668
2003-08-11,13930666668
2003-08-12,14183951517
2003-08-13,14352808082
2003-08-14,14458343436
2003-08-15,14584985860
2003-08-18,14542771719
2003-08-19,14416129294
2003-08-20,14331701012
2003-08-21,14563878789
2003-08-22,14437236365
2003-08-25,14584985860
2003-08-26,14627200002
2003-08-27,14690521214
2003-08-28,14817163638
2003-08-29,15028234345
2003-09-02,15149752944
2003-09-03,15086541179
2003-09-04,14960117650
2003-09-05,14833694120
2003-09-08,14981188238
2003-09-09,14833694120
2003-09-10,14580847062
2003-09-11,14686200003
2003-09-12,14665129415
2003-09-15,14833694120
2003-09-16,14896905885
2003-09-17,15044400003
2003-09-18,15086541179
2003-09-19,16203282356
2003-09-22,16140070591
2003-09-23,16097929415
2003-09-24,16034717650
2003-09-25,15908294121
2003-09-26,16034717650
2003-09-29,16055788238
2003-09-30,16013647062
2003-10-01,16287564709
2003-10-02,16435058827
2003-10-03,16624694121
2003-10-06,16540411768
2003-10-07,16751117650
2003-10-08,16856470592
2003-10-09,16835400003
2003-10-10,16666835297
2003-10-13,16940752944
2003-10-14,16982894121
2003-10-15,17003964709
2003-10-16,17025035297
2003-10-17,16814329415
2003-10-20,16814329415
2003-10-21,16751117650
2003-10-22,16498270591
2003-10-23,16540411768
2003-10-24,16329705886
2003-10-27,16392917650
2003-10-28,16814329415
2003-10-29,16666835297
2003-10-30,16624694121
2003-10-31,16835400003
2003-11-03,16835400003
2003-11-04,16730047062
2003-11-05,16666835297
2003-11-06,16498270591
2003-11-07,16603623533
2003-11-10,16350776474
2003-11-11,16308635297
2003-11-12,16329705886
2003-11-13,16287564709
2003-11-14,16287564709
2003-11-17,16287564709
2003-11-18,16287564709
2003-11-19,16119000003
2003-11-20,16498270591
2003-11-21,16666835297
2003-11-24,17025035297
2003-11-25,17699294121
2003-11-26,17741435298
2003-11-28,17720364709
2003-12-01,17879410529
2003-12-02,17710736845
2003-12-03,17394473687
2003-12-04,17204715792
2003-12-05,17267968424
2003-12-08,17289052634
2003-12-09,17099294739
2003-12-10,16888452634
2003-12-11,17057126318
2003-12-12,16972789476
2003-12-15,16930621055
2003-12-16,17162547371
2003-12-17,17394473687
2003-12-18,17605315792
2003-12-19,17647484213
2003-12-22,17731821055
2003-12-23,17837242108
2003-12-24,17795073687
2003-12-26,17879410529
2003-12-29,17879410529
2003-12-30,17942663161
2003-12-31,18048084213
2004-01-02,17816157897
2004-01-05,17795073687
2004-01-06,17795073687
2004-01-07,17858326318
2004-01-08,18027000003
2004-01-09,17879410529
2004-01-12,18153505266
2004-01-13,18216757897
2004-01-14,18237842108
2004-01-15,18195673687
2004-01-16,18280010529
2004-01-20,18406515792
2004-01-21,18575189476
2004-01-22,18364347371
2004-01-23,18343263161
2004-01-26,18427600003
2004-01-27,18343263161
2004-01-28,18090252634
2004-01-29,18069168424
2004-01-30,18364347371
2004-02-02,18511936845
2004-02-03,18469768424
2004-02-04,18638442108
2004-02-05,18638442108
2004-02-06,18722778950
2004-02-09,18891452634
2004-02-10,19039042108
2004-02-11,19292052634
2004-02-12,19081210529
2004-02-13,19060126319
2004-02-17,19249884213
2004-02-18,19102294740
2004-02-19,19081210529
2004-02-20,18891452634
2004-02-23,19144463161
2004-02-24,19566147371
2004-02-25,19608315792
2004-02-26,19481810529
2004-02-27,19313136845
2004-03-01,19315844700
2004-03-02,19399918017
2004-03-03,19399918017
2004-03-04,19631119640
2004-03-05,19652137970
2004-03-08,19568064652
2004-03-09,20135559546
2004-03-10,20135559546
2004-03-11,19610101311
2004-03-12,19652137970
2004-03-15,19547046323
2004-03-16,19736211287
2004-03-17,20009449569
2004-03-18,20177596204
2004-03-19,20198614534
2004-03-22,20114541216
2004-03-23,20051486228
2004-03-24,20135559546
2004-03-25,20093522887
2004-03-26,20030467899
2004-03-29,20135559546
2004-03-30,20177596204
2004-03-31,20450834486
2004-04-01,20072504557
2004-04-02,20135559546
2004-04-05,20513889474
2004-04-06,20324724510
2004-04-07,20156577875
2004-04-08,20177596204
2004-04-12,20303706181
2004-04-13,20072504557
2004-04-14,19925376252
2004-04-15,19862321264
2004-04-16,19946394581
2004-04-19,20051486228
2004-04-20,19904357922
2004-04-21,19820284605
2004-04-22,19883339593
2004-04-23,19757229617
2004-04-26,19315844700
2004-04-27,19568064652
2004-04-28,19336863029
2004-04-29,18958533100
2004-04-30,18895478112
2004-05-03,18685294818
2004-05-04,18517148183
2004-05-05,18580203171
2004-05-06,17949653290
2004-05-07,17487250044
2004-05-10,17445213385
2004-05-11,17739469996
2004-05-12,17865579973
2004-05-13,17907616631
2004-05-14,17781506655
2004-05-17,17361140067
2004-05-18,17466231714
2004-05-19,17487250044
2004-05-20,17445213385
2004-05-21,17739469996
2004-05-24,18117799925
2004-05-25,18559184842
2004-05-26,18622239830
2004-05-27,18643258160
2004-05-28,18685294818
2004-06-01,18722477421
2004-06-02,18617058066
2004-06-03,18511638711
2004-06-04,18258632260
2004-06-07,18532722582
2004-06-08,18574890324
2004-06-09,18574890324
2004-06-10,18785729034
2004-06-14,18764645163
2004-06-15,18891148389
2004-06-16,18954400002
2004-06-17,18933316131
2004-06-18,18870064518
2004-06-21,18764645163
2004-06-22,18891148389
2004-06-23,19059819356
2004-06-24,19080903227
2004-06-25,19839922582
2004-06-28,20008593550
2004-06-29,19861006453
2004-06-30,19966425808
2004-07-01,19839922582
2004-07-02,19839922582
2004-07-06,19755587098
2004-07-07,19818838711
2004-07-08,19460412905
2004-07-09,19629083873
2004-07-12,19523664518
2004-07-13,19481496776
2004-07-14,19165238711
2004-07-15,19291741937
2004-07-16,19376077421
2004-07-19,19101987098
2004-07-20,19144154840
2004-07-21,18891148389
2004-07-22,18827896776
2004-07-23,18511638711
2004-07-26,18448387098
2004-07-27,18638141937
2004-07-28,18659225808
2004-07-29,19207406453
2004-07-30,19165238711
2004-08-02,19418245163
2004-08-03,19165238711
2004-08-04,19270658066
2004-08-05,18722477421
2004-08-06,18258632260
2004-08-09,18448387098
2004-08-10,18680309679
2004-08-11,18532722582
2004-08-12,18342967743
2004-08-13,18364051614
2004-08-16,18933316131
2004-08-17,18870064518
2004-08-18,19228490324
2004-08-19,19418245163
2004-08-20,19565832260
2004-08-23,19481496776
