,ABT
2002-03-11,38288831340
2002-03-12,38647107630
2002-03-13,38865188850
2002-03-14,38413449180
2002-03-15,37821514440
2002-03-18,37478815380
2002-03-19,37385352000
2002-03-20,36279368670
2002-03-21,36668799420
2002-03-22,37603433220
2002-03-25,36699953880
2002-03-26,37011498480
2002-03-27,36357254820
2002-03-28,36840148950
2002-04-01,37384225200
2002-04-02,37540383200
2002-04-03,37181219800
2002-04-04,37071909200
2002-04-05,36447277200
2002-04-08,36478508800
2002-04-09,36978214400
2002-04-10,38321173200
2002-04-11,37790236000
2002-04-12,37696541200
2002-04-15,37743388600
2002-04-16,38149399400
2002-04-17,38258710000
2002-04-18,38383636400
2002-04-19,38446099600
2002-04-22,38180631000
2002-04-23,38321173200
2002-04-24,37680925400
2002-04-25,37477920000
2002-04-26,37993241400
2002-04-29,37306146200
2002-04-30,37883930800
2002-05-01,38617873400
2002-05-02,37915162400
2002-05-03,37509151600
2002-05-06,36634666800
2002-05-07,36291119200
2002-05-08,36790824800
2002-05-09,36619051000
2002-05-10,35978803200
2002-05-13,35822645200
2002-05-14,36322350800
2002-05-15,32933722200
2002-05-16,32121700600
2002-05-17,33417811999
2002-05-20,33011801200
2002-05-21,32730716800
2002-05-22,33417811999
2002-05-23,33527122600
2002-05-24,32933722200
2002-05-28,32840027400
2002-05-29,33074264400
2002-05-30,32808795800
2002-05-31,33355348800
2002-06-03,31887463600
2002-06-04,31356526399
2002-06-05,31621995000
2002-06-06,31418989600
2002-06-07,31840616200
2002-06-10,32059237400
2002-06-11,26890407600
2002-06-12,25984691200
2002-06-13,25235132800
2002-06-14,25797301600
2002-06-17,26515628400
2002-06-18,27202723600
2002-06-19,26437549400
2002-06-20,26453165200
2002-06-21,25360059199
2002-06-24,26125233400
2002-06-25,26749865400
2002-06-26,26640554799
2002-06-27,27483808000
2002-06-28,26437549400
2002-07-01,26200307640
2002-07-02,25840971280
2002-07-03,26059697760
2002-07-05,26325294200
2002-07-08,25997204480
2002-07-09,24872325440
2002-07-10,23809939680
2002-07-11,22231984360
2002-07-12,23278746800
2002-07-15,24231769320
2002-07-16,23606836520
2002-07-17,24309885920
2002-07-18,23231876840
2002-07-19,22575697400
2002-07-22,22481957480
2002-07-23,21778908080
2002-07-24,23497473280
2002-07-25,26419034120
2002-07-26,27153330160
2002-07-29,27856379559
2002-07-30,28371949120
2002-07-31,29090621840
2002-08-01,28028236080
2002-08-02,28184469280
2002-08-05,26590890640
2002-08-06,26747123840
2002-08-07,27996989440
2002-08-08,28621922240
2002-08-09,28325079160
