,MRK
2001-06-13,159737484000
2001-06-14,161432676000
2001-06-15,161089055999
2001-06-18,162188640000
2001-06-19,162944604000
2001-06-20,163082052000
2001-06-21,162669708000
2001-06-22,148100220000
2001-06-25,147435888000
2001-06-26,144641112000
2001-06-27,143381172000
2001-06-28,141983784000
2001-06-29,139601352000
2001-07-02,140078744000
2001-07-03,140832101000
2001-07-05,139622164000
2001-07-06,138092621000
2001-07-09,140626640000
2001-07-10,138709004000
2001-07-11,135741234000
2001-07-12,132796293000
2001-07-13,133869256000
2001-07-16,137088145000
2001-07-17,140352692000
2001-07-18,147041589000
2001-07-19,146493693000
2001-07-20,144598886000
2001-07-23,143023685000
2001-07-24,141334339000
2001-07-25,141471313000
2001-07-26,140969075000
2001-07-27,141790919000
2001-07-30,144210793000
2001-07-31,147977577999
2001-08-01,148000407000
2001-08-02,147566656000
2001-08-03,148251526000
2001-08-06,146767641000
2001-08-07,149073370000
2001-08-08,147703630000
2001-08-09,147635143000
2001-08-10,150260477999
2001-08-13,151607389000
2001-08-14,152383575000
2001-08-15,149986530000
2001-08-16,152360746000
2001-08-17,150534426000
2001-08-20,153639170000
2001-08-21,154004434000
2001-08-22,155031739000
2001-08-23,149141857000
2001-08-24,150237649000
2001-08-27,149552779000
2001-08-28,148046065000
2001-08-29,146151258000
2001-08-30,143640068000
2001-08-31,141699603000
2001-09-04,142156183000
2001-09-05,147361195000
2001-09-06,143115001000
2001-09-07,139964599000
2001-09-10,143891187000
2001-09-17,146174087000
2001-09-18,148708106000
2001-09-19,147726459000
2001-09-20,145512046000
2001-09-21,143023685000
2001-09-24,139302558000
2001-09-25,135946695000
2001-09-26,137909989000
2001-09-27,144119477000
2001-09-28,144964150000
2001-10-01,147952482000
2001-10-02,148225038000
2001-10-03,146544276000
2001-10-04,145317774000
2001-10-05,147838917000
2001-10-08,148565733000
2001-10-09,147112101000
2001-10-10,148338603000
2001-10-11,147657213000
2001-10-12,149792235000
2001-10-15,151495710000
2001-10-16,150110217000
2001-10-17,149542392000
2001-10-18,143591586000
2001-10-19,141592842000
2001-10-22,145658469000
2001-10-23,144999792000
2001-10-24,145113357000
2001-10-25,144000420000
2001-10-26,142501362000
2001-10-29,141274860000
2001-10-30,140230062000
2001-10-31,138185892000
2001-11-01,139048986000
2001-11-02,140843313000
2001-11-05,141592842000
2001-11-06,141729120000
2001-11-07,140207349000
2001-11-08,141252147000
2001-11-09,139934793000
2001-11-12,139435107000
2001-11-13,139866654000
2001-11-14,140525331000
2001-11-15,140025645000
2001-11-16,140548044000
2001-11-19,139889367000
2001-11-20,138912708000
2001-11-21,142024389000
2001-11-23,142796631000
2001-11-26,145204209000
2001-11-27,144227550000
2001-11-28,141524703000
2001-11-29,144772662000
2001-11-30,146725980000
2001-12-03,148361315999
2001-12-04,146476137000
2001-12-05,143455308000
2001-12-06,143273604000
2001-12-07,145113357000
2001-12-10,145090644000
2001-12-11,131462844000
2001-12-12,126738540000
2001-12-13,125489325000
2001-12-14,125807307000
2001-12-17,123808563000
2001-12-18,126693114000
2001-12-19,128487441000
2001-12-20,129395961000
2001-12-21,129146118000
2001-12-24,130009212000
2001-12-26,129827507999
2001-12-27,129464100000
2001-12-28,128896275000
2001-12-31,127351791000
2002-01-02,129418674000
2002-01-03,127851477000
2002-01-04,127533495000
2002-01-07,125830020000
2002-01-08,127192800000
2002-01-09,127397217000
2002-01-10,127715199000
2002-01-11,127737912000
2002-01-14,127442643000
2002-01-15,127011096000
2002-01-16,126057150000
2002-01-17,126920244000
2002-01-18,125602890000
2002-01-22,128396589000
2002-01-23,126148002000
2002-01-24,124785222000
2002-01-25,123354303000
2002-01-28,123445155000
2002-01-29,124580805000
2002-01-30,127442643000
2002-01-31,128169459000
2002-02-01,128714571000
2002-02-04,126556836000
2002-02-05,128646432000
2002-02-06,126965670000
2002-02-07,126329706000
2002-02-08,128101320000
2002-02-11,128759997000
2002-02-12,130418046000
2002-02-13,131190288000
2002-02-14,129282396000
2002-02-15,129532239000
2002-02-19,128328450000
2002-02-20,132666632999
2002-02-21,132121521000
2002-02-22,133189032000
2002-02-25,131758113000
2002-02-26,131349279000
2002-02-27,131848965000
2002-02-28,132825624000
2002-03-01,136391565000
2002-03-04,136459704000
2002-03-05,133870422000
2002-03-06,135732888000
2002-03-07,136800399000
2002-03-08,135369480000
2002-03-11,135869166000
2002-03-12,137504502000
2002-03-13,139412394000
2002-03-14,137390937000
2002-03-15,129395961000
2002-03-18,127329078000
2002-03-19,126511410000
2002-03-20,125784594000
2002-03-21,125716455000
2002-03-22,126057150000
2002-03-25,124558092000
2002-03-26,124308249000
2002-03-27,124330962000
2002-03-28,124694370000
2002-04-01,124267484000
2002-04-02,123928079000
2002-04-03,123611301000
2002-04-04,120398267000
2002-04-05,119199036000
2002-04-08,116845828000
2002-04-09,115623970000
2002-04-10,114651009000
2002-04-11,112524071000
2002-04-12,116506423000
2002-04-15,117660400000
2002-04-16,118701242000
2002-04-17,118769123000
2002-04-18,122050038000
2002-04-19,122841983000
2002-04-22,121936903000
2002-04-23,119719456999
2002-04-24,118316583000
2002-04-25,118429718000
2002-04-26,117524638000
2002-04-29,117954551000
2002-04-30,117230487000
2002-05-01,119312171000
2002-05-02,119900473000
2002-05-03,119742084000
2002-05-06,120534029000
2002-05-07,119855219000
2002-05-08,122185800000
2002-05-09,120307759000
2002-05-10,119990981000
2002-05-13,122208427000
2002-05-14,124063841000
2002-05-15,122774102000
2002-05-16,122117919000
2002-05-17,125421461000
2002-05-20,125579850000
2002-05-21,124697397000
2002-05-22,124109095000
2002-05-23,124063841000
2002-05-24,121869022000
2002-05-28,120918688000
2002-05-29,123249269000
2002-05-30,121665379000
2002-05-31,123204015000
2002-06-03,119131155000
2002-06-04,117909297000
2002-06-05,118565480000
2002-06-06,114786771000
2002-06-07,113655421000
2002-06-10,117162606000
2002-06-11,111935769000
2002-06-12,112162039000
2002-06-13,112252547000
2002-06-14,113293389000
2002-06-17,115148803000
2002-06-18,114266350000
2002-06-19,113361270000
2002-06-20,112614579000
2002-06-21,107840281999
2002-06-24,106799440000
2002-06-25,105826479000
2002-06-26,108586973000
2002-06-27,109786204000
2002-06-28,109265783000
2002-07-01,104575352000
2002-07-02,100660526000
2002-07-03,101425492000
2002-07-05,104822841000
2002-07-08,102572941000
2002-07-09,98140638000
2002-07-10,93483345000
2002-07-11,94990778000
2002-07-12,97713157000
2002-07-15,98050642000
2002-07-16,94405804000
2002-07-17,95463257000
2002-07-18,90108495000
2002-07-19,89028543000
2002-07-22,85833685000
2002-07-23,83786276000
2002-07-24,91390938000
2002-07-25,95373261000
2002-07-26,98680614000
2002-07-29,103967879000
2002-07-30,104080374000
2002-07-31,106397771000
2002-08-01,102865428000
2002-08-02,102685436000
2002-08-05,97690658000
2002-08-06,100458035000
2002-08-07,105025332000
2002-08-08,108017699000
2002-08-09,109457635000
2002-08-12,109952613000
2002-08-13,106577763000
2002-08-14,109615128000
2002-08-15,108512677000
2002-08-16,107275232000
2002-08-19,109975112000
2002-08-20,108647671000
2002-08-21,111302553000
2002-08-22,115419870000
2002-08-23,112764988000
2002-08-26,112989978000
2002-08-27,110830074000
2002-08-28,108647671000
2002-08-29,108850162000
2002-08-30,108377683000
2002-09-03,102707935000
2002-09-04,105407815000
2002-09-05,103630394000
2002-09-06,104260366000
2002-09-09,105970290000
2002-09-10,106487767000
2002-09-11,106352773000
2002-09-12,105340318000
2002-09-13,105700302000
2002-09-16,104710346000
2002-09-17,101560486000
2002-09-18,100953013000
2002-09-19,96948191000
2002-09-20,98118139000
2002-09-23,97083185000
2002-09-24,98478123000
2002-09-25,102325452000
2002-09-26,104575352000
2002-09-27,99243089000
2002-09-30,97933653000
2002-10-01,99349074000
2002-10-02,100584759000
2002-10-03,99169338000
2002-10-04,94810740000
2002-10-07,94541136000
2002-10-08,98540262000
2002-10-09,97753917000
2002-10-10,98562729000
2002-10-11,101326170000
2002-10-14,106246443000
2002-10-15,109009884000
2002-10-16,106897986000
2002-10-17,108717813000
2002-10-18,109324421999
2002-10-21,109571559000
2002-10-22,108515610000
2002-10-23,110020899000
2002-10-24,108156138000
2002-10-25,113346015000
2002-10-28,116176857000
2002-10-29,114514299000
2002-10-30,116199324000
2002-10-31,116199324000
2002-11-01,115817385000
2002-11-04,115008573000
2002-11-05,116109456000
2002-11-06,119973780000
2002-11-07,118715628000
2002-11-08,119794044000
2002-11-11,117884349000
2002-11-12,117435009000
2002-11-13,113121345000
2002-11-14,115547781000
2002-11-15,118625760000
2002-11-18,121164531000
2002-11-19,123411231000
2002-11-20,123141627000
2002-11-21,126017403000
2002-11-22,126466743000
2002-11-25,129207717000
2002-11-26,125590530000
2002-11-27,128331504000
2002-11-29,127275555000
2002-12-02,128421371999
2002-12-03,126017403000
2002-12-04,126062337000
2002-12-05,126893616000
2002-12-06,125478195000
2002-12-09,125860134000
2002-12-10,126399342000
2002-12-11,125096256000
2002-12-12,122445150000
2002-12-13,122849556000
2002-12-16,125320926000
2002-12-17,124894053000
2002-12-18,121816074000
2002-12-19,120557921999
2002-12-20,120737658000
2002-12-23,121366734000
2002-12-24,121950876000
2002-12-26,121973343000
2002-12-27,119973780000
2002-12-30,121703739000
2002-12-31,121147314000
2003-01-02,124648422000
2003-01-03,126241875000
2003-01-06,128149530000
2003-01-07,126488748000
2003-01-08,126219432000
2003-01-09,127925100000
2003-01-10,127992429000
2003-01-13,127969986000
2003-01-14,127992429000
2003-01-15,126870279000
2003-01-16,125927673000
2003-01-17,124850409000
2003-01-21,121371744000
2003-01-22,119037672000
2003-01-23,118454154000
2003-01-24,114593958000
2003-01-27,110756205000
2003-01-28,116411841000
2003-01-29,118543926000
2003-01-30,116658714000
2003-01-31,118543926000
2003-02-03,119531418000
2003-02-04,117376890000
2003-02-05,116972916000
2003-02-06,116434284000
2003-02-07,114616401000
2003-02-10,116411841000
2003-02-11,115581450000
2003-02-12,114167541000
2003-02-13,112574087999
2003-02-14,115357020000
2003-02-18,117489105000
2003-02-19,116322069000
2003-02-20,114234870000
2003-02-21,115155033000
2003-02-24,112259886000
2003-02-25,112888290000
2003-02-26,111496824000
2003-02-27,113000505000
2003-02-28,112888290000
2003-03-03,112327215000
2003-03-04,110442003000
2003-03-05,111003078000
2003-03-06,111182622000
2003-03-07,112057899000
2003-03-10,109544283000
2003-03-11,108646562999
2003-03-12,109701384000
2003-03-13,109364739000
2003-03-14,108713892000
2003-03-17,111698811000
2003-03-18,113471808000
2003-03-19,116546499000
2003-03-20,117668649000
2003-03-21,120900441000
2003-03-24,116950473000
2003-03-25,118768356000
2003-03-26,116568942000
2003-03-27,117848193000
2003-03-28,118454154000
2003-03-31,117068322000
2003-04-01,118839028000
2003-04-02,121326982000
2003-04-03,119914900000
2003-04-04,122245956000
2003-04-07,121461466000
2003-04-08,121192498000
2003-04-09,118928684000
2003-04-10,119063168000
2003-04-11,118435576000
2003-04-14,121125256000
2003-04-15,121663192000
2003-04-16,119914900000
2003-04-17,119444206000
2003-04-21,121730434000
2003-04-22,125854610000
2003-04-23,124263216000
2003-04-24,124599426000
2003-04-25,121282154000
2003-04-28,122245956000
2003-04-29,122582166000
2003-04-30,124352872000
2003-05-01,125025292000
2003-05-02,126706342000
2003-05-05,126011508000
2003-05-06,125877023999
2003-05-07,125137362000
2003-05-08,124397700000
2003-05-09,124442528000
2003-05-12,126101164000
2003-05-13,126795998000
2003-05-14,127423590000
2003-05-15,127221864000
2003-05-16,127064966000
2003-05-19,121080428000
2003-05-20,117516602000
2003-05-21,118368334000
2003-05-22,118726958000
2003-05-23,118502818000
2003-05-27,120408008000
2003-05-28,119130410000
2003-05-29,117045908000
2003-05-30,118794200000
2003-06-02,119107996000
2003-06-03,120318352000
2003-06-04,121506294000
2003-06-05,125563228000
2003-06-06,126235648000
2003-06-09,124599426000
2003-06-10,124913222000
2003-06-11,126795998000
2003-06-12,126728756000
2003-06-13,126594272000
2003-06-16,129933958000
2003-06-17,133296058000
2003-06-18,135156420000
2003-06-19,133139160000
2003-06-20,134416758000
2003-06-23,132735708000
2003-06-24,132825364000
2003-06-25,130763276000
2003-06-26,132511568000
2003-06-27,130404652000
2003-06-30,129164380000
2003-07-01,131110570000
2003-07-02,131647450000
2003-07-03,130417100000
2003-07-07,132005370000
2003-07-08,131513230000
2003-07-09,130931610000
2003-07-10,130193400000
2003-07-11,131043460000
2003-07-14,131714560000
2003-07-15,131960630000
2003-07-16,131669820000
2003-07-17,130126290000
2003-07-18,131759300000
2003-07-21,127598480000
2003-07-22,123303440000
2003-07-23,123482400000
2003-07-24,121558580000
2003-07-25,122699450000
2003-07-28,120865110000
2003-07-29,118158340000
2003-07-30,118292560000
2003-07-31,117912270000
2003-08-01,115652900000
2003-08-04,115451570000
2003-08-05,114131740000
2003-08-06,115652900000
2003-08-07,119232100000
2003-08-08,118583370000
2003-08-11,117397760000
2003-08-12,116324000000
2003-08-13,113952780000
2003-08-14,113773820000
2003-08-15,114064630000
2003-08-18,114087000000
2003-08-19,114579140000
2003-08-20,111178900000
2003-08-21,109456410000
2003-08-22,107219410000
2003-08-25,107264150000
2003-08-26,107286520000
2003-08-27,107286520000
2003-08-28,106145650000
2003-08-29,107331260000
2003-09-02,108941900000
2003-09-03,108091840000
2003-09-04,107935250000
2003-09-05,108785310000
2003-09-08,112207919999
2003-09-09,112610580000
2003-09-10,114534400000
2003-09-11,113684340000
2003-09-12,114109370000
2003-09-15,113236940000
2003-09-16,114735730000
2003-09-17,113505380000
2003-09-18,113214570000
2003-09-19,111536820000
2003-09-22,109613000000
2003-09-23,109232710000
2003-09-24,108047100000
2003-09-25,107443110000
2003-09-26,108427390000
2003-09-29,108785310000
2003-09-30,107386269000
2003-10-01,108520866000
2003-10-02,108187161000
2003-10-03,106296166000
2003-10-06,106563130000
2003-10-07,106273919000
2003-10-08,106029202000
2003-10-09,103915737000
2003-10-10,104961346000
2003-10-13,105450780000
2003-10-14,105428533000
2003-10-15,103715514000
2003-10-16,104138207000
2003-10-17,103159339000
2003-10-20,102580917000
2003-10-21,103760008000
2003-10-22,96996920000
2003-10-23,96529733000
2003-10-24,95016937000
2003-10-27,95194913000
2003-10-28,95283901000
2003-10-29,95283901000
2003-10-30,93214930000
2003-10-31,93860093000
2003-11-03,94794467000
2003-11-04,92881225000
2003-11-05,92058086000
2003-11-06,92480779000
2003-11-07,93192683000
2003-11-10,92058086000
2003-11-11,93059201000
2003-11-12,93860093000
2003-11-13,97152649000
2003-11-14,98821174000
2003-11-17,97753318000
2003-11-18,97909047000
2003-11-19,97909047000
2003-11-20,95795582000
2003-11-21,89544175000
2003-11-24,89277211000
2003-11-25,87875650000
2003-11-26,87008017000
2003-11-28,86118137000
2003-12-01,89254964000
2003-12-02,90144844000
2003-12-03,92547520000
2003-12-04,91835616000
2003-12-05,91368429000
2003-12-08,92436285000
2003-12-09,92414038000
2003-12-10,91524158000
2003-12-11,92480779000
2003-12-12,92592014000
2003-12-15,92703249000
2003-12-16,93615376000
2003-12-17,93548635000
2003-12-18,94616491000
2003-12-19,94104810000
2003-12-22,93793352000
2003-12-23,94972443000
2003-12-24,95328395000
2003-12-26,95662100000
2003-12-29,96930179000
2003-12-30,96529733000
2003-12-31,97905530000
2004-01-02,99705836000
2004-01-05,101728402000
2004-01-06,101239430000
2004-01-07,101372786000
2004-01-08,101906210000
2004-01-09,99883644000
2004-01-12,97283202000
2004-01-13,96794230000
2004-01-14,98105564000
2004-01-15,97349880000
2004-01-16,97883304000
2004-01-20,97438784000
2004-01-21,98016660000
2004-01-22,97727722000
2004-01-23,97016490000
2004-01-26,100039226000
2004-01-27,100372616000
2004-01-28,101506142000
2004-01-29,102328504000
2004-01-30,100883814000
2004-02-02,101883984000
2004-02-03,102795250000
2004-02-04,103728742000
2004-02-05,103284222000
2004-02-06,103328674000
2004-02-09,102084018000
2004-02-10,102572990000
2004-02-11,103039736000
2004-02-12,102372956000
2004-02-13,103595386000
2004-02-17,103550934000
2004-02-18,104017680000
2004-02-19,103550934000
2004-02-20,102372956000
2004-02-23,102861928000
2004-02-24,102795250000
2004-02-25,101483916000
2004-02-26,100972718000
2004-02-27,101906210000
2004-03-01,102684120000
2004-03-02,101194978000
2004-03-03,99839192000
2004-03-04,101261656000
2004-03-05,101928436000
2004-03-08,101017170000
2004-03-09,100194808000
2004-03-10,97816626000
2004-03-11,95349540000
2004-03-12,95682930000
2004-03-15,95060602000
2004-03-16,95594026000
2004-03-17,94082658000
2004-03-18,94460500000
2004-03-19,92771324000
2004-03-22,92349030000
2004-03-23,93149166000
2004-03-24,91148826000
2004-03-25,92593516000
2004-03-26,93260296000
2004-03-29,94460500000
2004-03-30,93460330000
2004-03-31,93609796000
2004-04-01,94875994000
2004-04-02,95453558000
2004-04-05,95942266000
2004-04-06,95631270000
2004-04-07,94987064000
2004-04-08,94542784000
2004-04-12,95075920000
2004-04-13,94431714000
2004-04-14,96253262000
2004-04-15,99518720000
2004-04-16,99718646000
2004-04-19,99429864000
2004-04-20,97874884000
2004-04-21,98496876000
2004-04-22,99007798000
2004-04-23,99052226000
2004-04-26,98785658000
2004-04-27,100074070000
2004-04-28,100496136000
2004-04-29,99518720000
2004-04-30,99563148000
2004-05-03,101029272000
2004-05-04,101362482000
2004-05-05,101273626000
2004-05-06,101895618000
2004-05-07,101051486000
2004-05-10,98941156000
2004-05-11,98274736000
2004-05-12,99229938000
2004-05-13,97652744000
2004-05-14,98385806000
2004-05-17,98785658000
2004-05-18,99229938000
2004-05-19,98363592000
2004-05-20,98496876000
2004-05-21,98674588000
2004-05-24,97963740000
2004-05-25,99185510000
2004-05-26,99385436000
2004-05-27,100473922000
2004-05-28,100185140000
2004-06-01,102428754000
2004-06-02,101318054000
2004-06-03,101629050000
2004-06-04,102095544000
2004-06-07,101784548000
2004-06-08,102450968000
2004-06-09,101362482000
2004-06-10,101206984000
2004-06-14,99341008000
2004-06-15,101562408000
2004-06-16,101851190000
2004-06-17,102339898000
2004-06-18,102428754000
2004-06-21,101562408000
2004-06-22,100807132000
2004-06-23,101273626000
2004-06-24,101473552000
2004-06-25,99563148000
2004-06-28,99829716000
2004-06-29,100296210000
2004-06-30,100475865000
2004-07-01,99521910000
2004-07-02,99122580000
2004-07-06,98567955000
2004-07-07,97968960000
2004-07-08,97148115000
2004-07-09,97015005000
2004-07-12,96615675000
2004-07-13,96349455000
2004-07-14,96637860000
2004-07-15,94574655000
2004-07-16,94774320000
2004-07-19,94020030000
2004-07-20,94840875000
2004-07-21,94330620000
2004-07-22,95950125000
2004-07-23,95528610000
2004-07-26,95195835000
2004-07-27,95284575000
2004-07-28,95240205000
2004-07-29,96038865000
2004-07-30,95927940000
2004-08-02,96194160000
2004-08-03,94907430000
2004-08-04,94973985000
2004-08-05,93997845000
2004-08-06,92223045000
2004-08-09,93221370000
2004-08-10,94441545000
2004-08-11,95195835000
2004-08-12,94752135000
2004-08-13,94330620000
2004-08-16,95351130000
2004-08-17,95129280000
2004-08-18,96904080000
2004-08-19,96083235000
2004-08-20,97480890000
2004-08-23,97769295000
