,IFF
2001-11-12,2779299600
2001-11-13,2801987760
2001-11-14,2878560300
2001-11-15,2892740400
2001-11-16,2884232340
2001-11-19,2918264580
2001-11-20,2906920500
2001-11-21,2905975160
2001-11-23,2940007400
2001-11-26,2907865840
2001-11-27,2877614960
2001-11-28,2884232340
2001-11-29,2877614960
2001-11-30,2897467100
2001-12-03,2853981460
2001-12-04,2870052240
2001-12-05,2973094300
2001-12-06,2917319240
2001-12-07,2858708160
2001-12-10,2840746700
2001-12-11,2828457280
2001-12-12,2818058540
2001-12-13,2798206400
2001-12-14,2807659800
2001-12-17,2841692040
2001-12-18,2888013700
2001-12-19,2908811180
2001-12-20,2864380200
2001-12-21,2835074660
2001-12-24,2847364080
2001-12-26,2853981460
2001-12-27,2831293300
2001-12-28,2822785240
2001-12-31,2808605140
2002-01-02,2793479700
2002-01-03,2758502120
2002-01-04,2784026300
2002-01-07,2745267360
2002-01-08,2726360560
2002-01-09,2729196580
2002-01-10,2681929580
2002-01-11,2692328320
2002-01-14,2592122280
2002-01-15,2678148220
2002-01-16,2675312200
2002-01-17,2669640160
2002-01-18,2671530840
2002-01-22,2713125800
2002-01-23,2756611440
2002-01-24,2749048720
2002-01-25,2801042420
2002-01-28,2719743180
2002-01-29,2732032600
2002-01-30,2892740400
2002-01-31,2844528060
2002-02-01,2935280700
2002-02-04,2925827300
2002-02-05,3039268100
2002-02-06,3033596060
2002-02-07,3053448199
2002-02-08,3042104120
2002-02-11,3111113939
2002-02-12,3164998319
2002-02-13,3118676660
2002-02-14,3099769860
2002-02-15,3139474140
2002-02-19,3133802100
2002-02-20,3152708900
2002-02-21,3163107640
2002-02-22,3216992020
2002-02-25,3214156000
2002-02-26,3182959780
2002-02-27,3211319980
2002-02-28,3256696300
2002-03-01,3300181939
2002-03-04,3330432819
2002-03-05,3262368340
2002-03-06,3276548439
2002-03-07,3256696300
2002-03-08,3203757260
2002-03-11,3204702600
2002-03-12,3174451720
2002-03-13,3181069100
2002-03-14,3210374640
2002-03-15,3318143400
2002-03-18,3310580680
2002-03-19,3346503600
2002-03-20,3337050199
2002-03-21,3315307380
2002-03-22,3300181939
2002-03-25,3271821740
2002-03-26,3297345920
2002-03-27,3308690000
2002-03-28,3305853980
2002-04-01,3331771559
2002-04-02,3380003280
2002-04-03,3314748599
2002-04-04,3340283040
2002-04-05,3362980320
2002-04-08,3397971960
2002-04-09,3402700559
2002-04-10,3497272559
2002-04-11,3502001160
2002-04-12,3529427040
2002-04-15,3476466720
2002-04-16,3451878000
2002-04-17,3387569040
2002-04-18,3368654639
2002-04-19,3407429160
2002-04-22,3354468840
2002-04-23,3324205800
2002-04-24,3329880120
2002-04-25,3040489800
2002-04-26,3057512760
2002-04-29,3039544080
2002-04-30,3045218400
2002-05-01,3071698559
2002-05-02,3128441760
2002-05-03,3134116080
2002-05-06,3103853040
2002-05-07,3103853040
2002-05-08,3165324840
2002-05-09,3192750720
2002-05-10,3174782040
2002-05-13,3189913559
2002-05-14,3192750720
2002-05-15,3177619200
2002-05-16,3225850920
2002-05-17,3232470960
2002-05-20,3213556559
2002-05-21,3220176599
2002-05-22,3220176599
2002-05-23,3194642160
2002-05-24,3200316480
2002-05-28,3190859280
2002-05-29,3146410440
2002-05-30,3177619200
2002-05-31,3221122320
2002-06-03,3220176599
2002-06-04,3215448000
2002-06-05,3301508519
2002-06-06,3261788280
2002-06-07,3238145280
2002-06-10,3234362400
2002-06-11,3232470960
2002-06-12,3321368639
2002-06-13,3275028360
2002-06-14,3226796639
2002-06-17,3318531480
2002-06-18,3254222519
2002-06-19,3240036720
2002-06-20,3128441760
2002-06-21,3113310240
2002-06-24,3097233000
2002-06-25,3007389600
2002-06-26,3023466840
2002-06-27,3050892720
2002-06-28,3072644280
2002-07-01,3058376960
2002-07-02,2963748960
2002-07-03,2924005200
2002-07-05,3018633200
2002-07-08,3023364600
2002-07-09,3042290200
2002-07-10,2984567120
2002-07-11,2939145680
2002-07-12,2906972160
2002-07-15,2857765600
2002-07-16,2786794600
2002-07-17,2822753240
2002-07-18,2795311120
2002-07-19,2664724480
2002-07-22,2604162560
2002-07-23,2665670760
2002-07-24,2790579720
2002-07-25,2830323480
2002-07-26,2809505320
2002-07-29,2867228400
2002-07-30,2800042520
2002-07-31,2894670520
2002-08-01,2783955760
2002-08-02,2730017800
2002-08-05,2671348440
2002-08-06,2783009480
2002-08-07,2824645800
2002-08-08,2821806960
2002-08-09,2868174680
2002-08-12,2867228400
2002-08-13,2886154000
2002-08-14,3008224120
2002-08-15,3018633200
2002-08-16,3014848080
2002-08-19,3061215800
2002-08-20,3033773680
2002-08-21,3042290200
2002-08-22,3101905840
2002-08-23,3044182760
2002-08-26,3061215800
2002-08-27,3083926520
2002-08-28,3028096000
2002-08-29,3044182760
2002-08-30,3051753000
2002-09-03,2961856400
2002-09-04,3047021600
2002-09-05,3028096000
2002-09-06,3038505080
2002-09-09,3048914160
2002-09-10,3029988560
2002-09-11,3031881120
2002-09-12,2956178720
2002-09-13,2941984520
2002-09-16,2971319200
2002-09-17,2932521720
2002-09-18,2925897760
2002-09-19,2942930800
2002-09-20,2976996880
2002-09-23,2942930800
2002-09-24,2814236720
2002-09-25,2912649840
2002-09-26,3043236479
2002-09-27,3016740640
2002-09-30,2998932300
2002-10-01,3110038740
2002-10-02,3060135000
2002-10-03,3099681360
2002-10-04,3051660779
2002-10-07,3169358279
2002-10-08,3159942480
2002-10-09,3150526680
2002-10-10,3177832500
2002-10-11,3177832500
2002-10-14,3266341020
2002-10-15,3273873660
2002-10-16,3251275740
2002-10-17,3272932080
2002-10-18,3276698399
2002-10-21,3307770540
2002-10-22,3217378860
2002-10-23,3233385720
2002-10-24,3140169300
2002-10-25,3142994040
2002-10-28,3100622940
2002-10-29,3201372000
2002-10-30,3188189880
2002-10-31,3159000899
2002-11-01,3198547260
2002-11-04,3126045600
2002-11-05,3168416700
2002-11-06,3144877200
2002-11-07,3114746640
2002-11-08,3124162440
2002-11-11,3058251839
2002-11-12,3059193420
2002-11-13,3060135000
2002-11-14,3137344560
2002-11-15,3160884060
2002-11-18,3111921899
2002-11-19,3115688220
2002-11-20,3113805060
2002-11-21,3163708800
2002-11-22,3162767220
2002-11-25,3174066180
2002-11-26,3125104020
2002-11-27,3097798200
2002-11-29,3109097160
2002-12-02,3064842899
2002-12-03,3092148720
2002-12-04,3122279279
2002-12-05,3081791339
2002-12-06,3119454540
2002-12-09,3094031880
2002-12-10,3147701940
