,CEG
2022-12-14,29798800000
2022-12-15,29421600000
2022-12-16,28929600000
2022-12-19,28775440000
2022-12-20,28719680000
2022-12-21,29405200000
2022-12-22,28644240000
2022-12-23,28877120000
2022-12-27,28745920000
2022-12-28,28408080000
2022-12-29,28460560000
2022-12-30,28276879999
2023-01-03,26866480000
2023-01-04,27358480000
2023-01-05,27030480000
2023-01-06,27388000000
2023-01-09,27552000000
2023-01-10,27250240000
2023-01-11,27588080000
2023-01-12,27663520000
2023-01-13,27932480000
2023-01-17,27345360000
2023-01-18,26846800000
2023-01-19,26515520000
2023-01-20,27224000000
2023-01-23,27597920000
2023-01-24,27522480000
2023-01-25,27355200000
2023-01-26,28168640000
2023-01-27,28398240000
2023-01-30,27027200000
2023-01-31,27998080000
2023-02-01,28014480000
2023-02-02,27988240000
2023-02-03,27289600000
2023-02-06,27309280000
2023-02-07,28185040000
2023-02-08,27663520000
2023-02-09,27689760000
2023-02-10,28473680000
2023-02-13,28335920000
2023-02-14,28227680000
2023-02-15,28211280000
2023-02-16,28086640000
2023-02-17,27732400000
2023-02-21,26361360000
2023-02-22,25518400000
2023-02-23,25984160000
2023-02-24,26000560000
2023-02-27,25705360000
2023-02-28,24563920000
2023-03-01,24386800000
2023-03-02,24987040000
2023-03-03,25905440000
2023-03-06,25846400000
2023-03-07,25551200000
2023-03-08,25606959999
2023-03-09,25793920000
2023-03-10,25436400000
2023-03-13,25288800000
2023-03-14,25561040000
2023-03-15,25364240000
2023-03-16,25725040000
2023-03-17,25180560000
2023-03-20,25256000000
2023-03-21,25098560000
2023-03-22,24409760000
2023-03-23,24075200000
2023-03-24,24088320000
2023-03-27,24688560000
2023-03-28,24767280000
2023-03-29,24888640000
2023-03-30,25196959999
2023-03-31,25434000000
2023-04-03,24824880000
2023-04-04,24630480000
2023-04-05,24786000000
2023-04-06,24935039999
2023-04-10,25054920000
2023-04-11,25084080000
2023-04-12,24886440000
2023-04-13,24993360000
2023-04-14,24763320000
2023-04-17,24312960000
2023-04-18,24131520000
2023-04-19,24219000000
2023-04-20,24776280000
2023-04-21,24802200000
2023-04-24,25041960000
2023-04-25,24925320000
2023-04-26,24578640000
2023-04-27,24867000000
2023-04-28,25077600000
2023-05-01,24964200000
2023-05-02,24879960000
2023-05-03,24789240000
2023-05-04,25463160000
2023-05-05,25754760000
2023-05-08,25502039999
2023-05-09,25579800000
2023-05-10,25745039999
2023-05-11,25634880000
2023-05-12,25871400000
2023-05-15,26007480000
2023-05-16,25596000000
2023-05-17,26046360000
2023-05-18,26373600000
2023-05-19,26665200000
2023-05-22,27063720000
2023-05-23,27228960000
2023-05-24,26992440000
2023-05-25,26811000000
2023-05-26,27167400000
2023-05-30,27118800000
2023-05-31,27222480000
2023-06-01,28797120000
2023-06-02,28362960000
2023-06-05,28353240000
2023-06-06,29014200000
2023-06-07,29422440000
2023-06-08,29905200000
2023-06-09,30225960000
2023-06-12,30375000000
2023-06-13,30537000000
2023-06-14,30196800000
2023-06-15,30281039999
2023-06-16,30096360000
2023-06-20,29804760000
2023-06-21,29322000000
2023-06-22,28917000000
2023-06-23,29276640000
2023-06-26,29364120000
2023-06-27,29435400000
2023-06-28,29338200000
2023-06-29,29441880000
2023-06-30,29479100000
2023-07-03,29495200000
2023-07-05,29669080000
2023-07-06,29302000000
2023-07-07,29408260000
2023-07-10,30139200000
2023-07-11,30383920000
2023-07-12,30931320000
2023-07-13,30676940000
2023-07-14,30590000000
2023-07-17,30969960000
2023-07-18,30709140000
2023-07-19,30503060000
2023-07-20,31198580000
2023-07-21,31105200000
2023-07-24,31089100000
2023-07-25,31401440000
2023-07-26,31343480000
2023-07-27,30725240000
2023-07-28,30828280000
2023-07-31,31121300000
2023-08-01,31008600000
2023-08-02,30767100000
2023-08-03,32567080000
2023-08-04,33468680000
2023-08-07,33407500000
2023-08-08,33748820000
2023-08-09,33845420000
2023-08-10,34041840000
2023-08-11,34312320000
2023-08-14,34454000000
2023-08-15,34209280000
2023-08-16,33842200000
2023-08-17,33752039999
2023-08-18,33735940000
2023-08-21,34167420000
2023-08-22,34215720000
2023-08-23,34917680000
2023-08-24,34428240000
2023-08-25,34090140000
2023-08-28,33929140000
2023-08-29,33983880000
2023-08-30,34048280000
2023-08-31,33539520000
2023-09-01,34547380000
2023-09-05,34148100000
2023-09-06,34338080000
2023-09-07,34949880000
2023-09-08,34982080000
2023-09-11,35413560000
2023-09-12,34937000000
2023-09-13,35184940000
2023-09-14,36212120000
2023-09-15,35397460000
2023-09-18,35658280000
2023-09-19,35593880000
2023-09-20,35461860000
2023-09-21,35400680000
2023-09-22,35535920000
2023-09-25,36131620000
2023-09-26,34933780000
2023-09-27,35661500000
2023-09-28,35201040000
2023-09-29,35123760000
2023-10-02,33513600000
2023-10-03,33564800000
2023-10-04,33971200000
2023-10-05,34521600000
2023-10-06,35254400000
2023-10-09,35641600000
2023-10-10,36160000000
2023-10-11,36822400000
2023-10-12,37030400000
2023-10-13,36380800000
2023-10-16,37385600000
2023-10-17,37488000000
2023-10-18,37142400000
2023-10-19,36572800000
2023-10-20,35872000000
2023-10-23,35875200000
2023-10-24,36566400000
2023-10-25,35849600000
2023-10-26,36070400000
2023-10-27,35449600000
2023-10-30,36169600000
2023-10-31,36134400000
2023-11-01,36752000000
2023-11-02,37500800000
2023-11-03,37462400000
2023-11-06,39913600000
2023-11-07,38358400000
2023-11-08,38777600000
2023-11-09,38601600000
2023-11-10,38966400000
2023-11-13,38950400000
2023-11-14,40486400000
2023-11-15,39036800000
2023-11-16,38934400000
2023-11-17,38940800000
2023-11-20,39129600000
2023-11-21,39203200000
2023-11-22,39440000000
2023-11-24,39635200000
2023-11-27,40032000000
2023-11-28,39824000000
2023-11-29,38585600000
2023-11-30,38732800000
2023-12-01,38361600000
2023-12-04,38054400000
2023-12-05,37859200000
2023-12-06,36041600000
2023-12-07,35369600000
2023-12-08,35587200000
2023-12-11,37168000000
2023-12-12,36636800000
2023-12-13,37257600000
2023-12-14,36992000000
2023-12-15,38000000000
2023-12-18,38195200000
2023-12-19,38659200000
2023-12-20,37443200000
2023-12-21,37859200000
2023-12-22,36905600000
2023-12-26,37622400000
2023-12-27,37574400000
2023-12-28,37475200000
2023-12-29,37404800000
2024-01-02,36880000000
2024-01-03,37072000000
2024-01-04,36915200000
2024-01-05,37196800000
2024-01-08,37449600000
2024-01-09,37276800000
2024-01-10,37072000000
2024-01-11,36131200000
2024-01-12,36131200000
2024-01-16,35779200000
2024-01-17,35814400000
2024-01-18,35651200000
2024-01-19,36624000000
2024-01-22,37507200000
2024-01-23,37980800000
2024-01-24,37014400000
2024-01-25,38576000000
2024-01-26,38806400000
2024-01-29,38723200000
2024-01-30,39001600000
2024-01-31,39040000000
2024-02-01,40841600000
2024-02-02,41507200000
2024-02-05,40649600000
2024-02-06,41923200000
2024-02-07,42400000000
2024-02-08,41830400000
2024-02-09,42294399999
2024-02-12,41123200000
2024-02-13,40931200000
2024-02-14,41174399999
2024-02-15,42080000000
2024-02-16,41971200000
2024-02-20,42176000000
2024-02-21,42048000000
2024-02-22,42684799999
2024-02-23,42876800000
2024-02-26,42630400000
2024-02-27,49843200000
2024-02-28,54665600000
2024-02-29,53904000000
2024-03-01,54396800000
2024-03-04,56316800000
2024-03-05,56566400000
2024-03-06,57593600000
2024-03-07,57465600000
2024-03-08,54582400000
2024-03-11,53731200000
2024-03-12,53878400000
2024-03-13,53715200000
2024-03-14,52684799999
2024-03-15,52966400000
2024-03-18,54028800000
2024-03-19,55171200000
2024-03-20,56227200000
2024-03-21,55721600000
2024-03-22,57036800000
2024-03-25,59923200000
2024-03-26,59331200000
2024-03-27,59164799999
2024-03-28,59152000000
2024-04-01,59513600000
2024-04-02,60201600000
2024-04-03,60883200000
2024-04-04,58595200000
2024-04-05,61785600000
2024-04-08,61433600000
2024-04-09,60192000000
2024-04-10,61145600000
2024-04-11,61721600000
2024-04-12,61334399999
2024-04-15,59328000000
2024-04-16,59728000000
2024-04-17,59328000000
2024-04-18,58835200000
2024-04-19,57888000000
2024-04-22,58630400000
2024-04-23,60240000000
2024-04-24,59571200000
2024-04-25,60163200000
2024-04-26,60278400000
2024-04-29,60355200000
2024-04-30,59500800000
2024-05-01,59059200000
2024-05-02,59577600000
2024-05-03,62355200000
2024-05-06,62670900000
2024-05-07,63577520000
2024-05-08,65936000000
2024-05-09,68443470000
2024-05-10,68132810000
2024-05-13,67708030000
2024-05-14,69023580000
2024-05-15,70789270000
2024-05-16,68579780000
2024-05-17,67555870000
2024-05-20,68177190000
2024-05-21,70561030000
2024-05-22,69774870000
2024-05-23,70107720000
2024-05-24,73109710000
2024-05-28,73312590000
2024-05-29,69974580000
2024-05-30,71312320000
2024-05-31,68868250000
2024-06-03,66018420000
2024-06-04,64395379999
2024-06-05,66357610000
2024-06-06,64224200000
2024-06-07,62766000000
2024-06-10,68037710000
2024-06-11,69204270000
2024-06-12,69147210000
2024-06-13,69717810000
2024-06-14,68123300000
2024-06-17,67210340000
2024-06-18,69869970000
2024-06-20,70472270000
2024-06-21,69147210000
2024-06-24,68503700000
2024-06-25,70491290000
2024-06-26,66668270000
2024-06-27,64915260000
2024-06-28,63485590000
2024-07-01,65000850000
2024-07-02,65349550000
2024-07-03,66592190000
2024-07-05,66978930000
2024-07-08,68386410000
2024-07-09,68459320000
2024-07-10,69597350000
2024-07-11,68738280000
2024-07-12,68833380000
2024-07-15,67482960000
2024-07-16,64946960000
2024-07-17,59174389999
2024-07-18,59367760000
2024-07-19,60008100000
2024-07-22,60363139999
2024-07-23,60188790000
2024-07-24,55500360000
2024-07-25,54026310000
2024-07-26,55487680000
2024-07-29,54739560000
2024-07-30,53474730000
2024-07-31,60166600000
2024-08-01,56289690000
2024-08-02,52964360000
2024-08-05,53540550000
2024-08-06,57027600000
2024-08-07,56592900000
2024-08-08,58914450000
2024-08-09,59809050000
