,ARE
2000-05-16,492401560
2000-05-17,493257911
2000-05-18,493257911
2000-05-19,493257911
2000-05-22,493257911
2000-05-23,487120732
2000-05-24,478129051
2000-05-25,478129051
2000-05-26,478985402
2000-05-30,485265306
2000-05-31,482553529
2000-06-01,470992797
2000-06-02,476416350
2000-06-05,478985402
2000-06-06,488833433
2000-06-07,483552604
2000-06-08,487120732
2000-06-09,487120732
2000-06-12,488833433
2000-06-13,488833433
2000-06-14,489689783
2000-06-15,491545209
2000-06-16,484408955
2000-06-19,488833433
2000-06-20,491545209
2000-06-21,493257911
2000-06-22,494256986
2000-06-23,492401560
2000-06-26,488833433
2000-06-27,493257911
2000-06-28,496826038
2000-06-29,492401560
2000-06-30,498112751
2000-07-03,500871172
2000-07-05,505371754
2000-07-06,512630756
2000-07-07,508130175
2000-07-10,505371754
2000-07-11,506388014
2000-07-12,509001255
2000-07-13,510017515
2000-07-14,514518097
2000-07-17,512630756
2000-07-18,504500673
2000-07-19,497241671
2000-07-20,500000092
2000-07-21,500871172
2000-07-24,494483250
2000-07-25,494483250
2000-07-26,505371754
2000-07-27,510888595
2000-07-28,511759676
2000-07-31,519889759
2000-08-01,524535520
2000-08-02,529036102
2000-08-03,529907182
2000-08-04,518147598
2000-08-07,524535520
2000-08-08,529036102
2000-08-09,530778262
2000-08-10,534407764
2000-08-11,536295104
2000-08-14,536295104
2000-08-15,532665603
2000-08-16,532665603
2000-08-17,535424024
2000-08-18,534407764
2000-08-21,529907182
2000-08-22,524535520
2000-08-23,519018678
2000-08-24,512630756
2000-08-25,504500673
2000-08-28,504500673
2000-08-29,503629593
2000-08-30,503629593
2000-08-31,508130175
2000-09-01,501742252
2000-09-05,500000092
2000-09-06,503629593
2000-09-07,503629593
2000-09-08,507259094
2000-09-11,519018678
2000-09-12,504500673
2000-09-13,501742252
2000-09-14,498112751
2000-09-15,499129011
2000-09-18,493612170
2000-09-19,488240508
2000-09-20,487224247
2000-09-21,486353167
2000-09-22,467334580
2000-09-25,463705079
2000-09-26,460075578
2000-09-27,477352004
2000-09-28,493612170
2000-09-29,498112751
2000-10-02,529885175
2000-10-03,526945666
2000-10-04,537620725
2000-10-05,537620725
2000-10-06,542416766
2000-10-09,544428009
2000-10-10,541488500
2000-10-11,542416766
2000-10-12,528956908
2000-10-13,518281850
2000-10-16,516425318
2000-10-17,516425318
2000-10-18,518281850
2000-10-19,520293093
2000-10-20,522149625
2000-10-23,513485808
2000-10-24,518281850
2000-10-25,517353583
2000-10-26,517353583
2000-10-27,518281850
2000-10-30,518281850
2000-10-31,524160868
2000-11-01,520293093
2000-11-02,525089133
2000-11-03,518281850
2000-11-06,518281850
2000-11-07,524160868
2000-11-08,533752950
2000-11-09,553091825
2000-11-10,542416766
2000-11-13,549224050
2000-11-14,540560234
2000-11-15,547367518
2000-11-16,548295784
2000-11-17,550152316
2000-11-20,553091825
2000-11-21,555103068
2000-11-22,556031334
2000-11-24,556031334
2000-11-27,556959600
2000-11-28,556959600
2000-11-29,558970843
2000-11-30,564695150
2000-12-01,563766884
2000-12-04,560827375
2000-12-05,567634659
2000-12-06,556959600
2000-12-07,560827375
2000-12-08,563766884
2000-12-11,556031334
2000-12-12,560827375
2000-12-13,557887866
2000-12-14,556959600
2000-12-15,561755641
2000-12-18,566706393
2000-12-19,565623416
2000-12-20,561755641
2000-12-21,595637350
2000-12-22,593780818
2000-12-26,593780818
2000-12-27,594709084
2000-12-28,594709084
2000-12-29,575370209
2001-01-02,565623416
2001-01-03,575370209
2001-01-04,590841309
2001-01-05,586973534
2001-01-08,586973534
2001-01-09,586045268
2001-01-10,586973534
2001-01-11,586973534
2001-01-12,582177493
2001-01-16,584034025
2001-01-17,584962291
2001-01-18,573358966
2001-01-19,572430700
2001-01-22,565623416
2001-01-23,568562925
2001-01-24,565623416
2001-01-25,559899109
2001-01-26,555103068
2001-01-29,557733155
2001-01-30,549842894
2001-01-31,555412490
2001-02-01,552318270
2001-02-02,553091825
2001-02-05,553091825
2001-02-06,552318270
2001-02-07,556959600
2001-02-08,556650178
2001-02-09,567944081
2001-02-12,578619140
2001-02-13,575060787
2001-02-14,568098792
2001-02-15,575834342
2001-02-16,577845585
2001-02-20,574441943
2001-02-21,571657145
2001-02-22,573977810
2001-02-23,587901800
2001-02-26,587901800
2001-02-27,586354690
2001-02-28,587437667
2001-03-01,586973534
2001-03-02,586354690
2001-03-05,584962291
2001-03-06,587437667
2001-03-07,587592378
2001-03-08,584188736
2001-03-09,581094516
2001-03-12,579702117
2001-03-13,576453186
2001-03-14,577381452
2001-03-15,572430700
2001-03-16,569336480
2001-03-19,564695150
2001-03-20,560053820
2001-03-21,556959600
2001-03-22,558661421
2001-03-23,568562925
2001-03-26,565778127
2001-03-27,567479948
2001-03-28,575524920
2001-03-29,575524920
2001-03-30,584034025
2001-04-02,603319122
2001-04-03,600437025
2001-04-04,598835859
2001-04-05,605240521
2001-04-06,597074577
2001-04-09,605240521
2001-04-10,608282735
2001-04-11,601878073
2001-04-12,605240521
2001-04-16,607642269
2001-04-17,607642269
2001-04-18,604119705
2001-04-19,606041103
2001-04-20,594192479
2001-04-23,592431198
2001-04-24,588748517
2001-04-25,592431198
2001-04-26,593552013
2001-04-27,592431198
2001-04-30,594352596
2001-05-01,596434111
2001-05-02,592431198
2001-05-03,600757258
2001-05-04,597234694
2001-05-07,592431198
2001-05-08,600917374
2001-05-09,604439938
2001-05-10,608442852
2001-05-11,590029449
2001-05-14,597394810
2001-05-15,594832946
2001-05-16,601717957
2001-05-17,609563667
2001-05-18,607001803
2001-05-21,613246348
2001-05-22,613246348
2001-05-23,609563667
2001-05-24,596914461
2001-05-25,598035276
2001-05-29,599316209
2001-05-30,595633528
2001-05-31,582984322
2001-06-01,594512713
2001-06-04,592110964
2001-06-05,592751431
2001-06-06,587467585
2001-06-07,584425371
2001-06-08,587787818
2001-06-11,589228867
2001-06-12,607642269
2001-06-13,610364250
2001-06-14,615808212
2001-06-15,594512713
2001-06-18,584265254
2001-06-19,577380243
2001-06-20,595313295
2001-06-21,598035276
2001-06-22,590830032
2001-06-25,597554927
2001-06-26,606041103
2001-06-27,612445765
2001-06-28,619651009
2001-06-29,637263829
2001-07-02,633314410
2001-07-03,626537543
2001-07-05,627021605
2001-07-06,622180985
2001-07-09,627182959
2001-07-10,629764622
2001-07-11,632507640
2001-07-12,637348260
2001-07-13,641059402
2001-07-16,632184932
2001-07-17,636541490
2001-07-18,633314410
2001-07-19,630248684
2001-07-20,634121180
2001-07-23,632830348
2001-07-24,631862224
2001-07-25,634121180
2001-07-26,635734720
2001-07-27,635412012
2001-07-30,635734720
2001-07-31,634121180
2001-08-01,642995650
2001-08-02,638961800
2001-08-03,641382110
2001-08-06,640575340
2001-08-07,641866172
2001-08-08,640898048
2001-08-09,642834296
2001-08-10,642995650
2001-08-13,645254606
2001-08-14,651547411
2001-08-15,658808341
2001-08-16,661551359
2001-08-17,667360102
2001-08-20,671393952
2001-08-21,676557280
2001-08-22,669619058
2001-08-23,663810314
2001-08-24,666069270
2001-08-27,663487606
2001-08-28,662842190
2001-08-29,657033447
2001-08-30,651224703
2001-08-31,645254606
2001-09-04,635734720
2001-09-05,629119207
2001-09-06,626698897
2001-09-07,618631197
2001-09-10,621212861
2001-09-17,611370268
2001-09-18,602818506
2001-09-19,613145162
2001-09-20,626053481
2001-09-21,626860251
2001-09-24,635250658
2001-09-25,640575340
2001-09-26,617179011
2001-09-27,624439941
2001-09-28,636541490
2001-10-01,665395411
2001-10-02,652268005
2001-10-03,649806616
2001-10-04,626833655
2001-10-05,613706249
2001-10-08,644883839
2001-10-09,662934023
2001-10-10,660472634
2001-10-11,664574949
2001-10-12,672779578
2001-10-15,667856800
2001-10-16,671959115
2001-10-17,663590393
2001-10-18,656698505
2001-10-19,656042134
2001-10-22,650955264
2001-10-23,642422450
2001-10-24,622403155
2001-10-25,621090415
2001-10-26,617808563
2001-10-29,620105859
2001-10-30,625028637
2001-10-31,659652171
2001-11-01,652268005
2001-11-02,648165691
2001-11-05,647509320
2001-11-06,651119357
2001-11-07,648165691
2001-11-08,644555654
2001-11-09,641601987
2001-11-12,646688857
2001-11-13,661129004
2001-11-14,674092318
2001-11-15,674420503
2001-11-16,676389614
2001-11-19,675897337
2001-11-20,679179188
2001-11-21,679999651
2001-11-23,680820114
2001-11-26,677374170
2001-11-27,680163744
2001-11-28,676061429
2001-11-29,680984207
2001-11-30,680656021
2001-12-03,677702355
2001-12-04,676061429
2001-12-05,679015096
2001-12-06,680984207
2001-12-07,680984207
2001-12-10,674420503
2001-12-11,676881892
2001-12-12,674420503
2001-12-13,672779578
2001-12-14,673600040
2001-12-17,678851003
2001-12-18,680820114
2001-12-19,673764133
2001-12-20,666215874
2001-12-21,664574949
2001-12-24,667528615
2001-12-26,678522818
2001-12-27,680984207
2001-12-28,685906984
2001-12-31,674420503
2002-01-02,670974559
2002-01-03,675240966
2002-01-04,682953317
2002-01-07,673600040
2002-01-08,674092318
2002-01-09,670646374
2002-01-10,659488079
2002-01-11,659652171
2002-01-14,682625132
2002-01-15,674420503
2002-01-16,677702355
2002-01-17,676061429
2002-01-18,671959115
2002-01-22,668841356
2002-01-23,663098115
2002-01-24,656370320
2002-01-25,655057579
2002-01-28,650298894
2002-01-29,648329783
2002-01-30,660636727
2002-01-31,663754486
2002-02-01,666051782
2002-02-04,661293097
2002-02-05,667036337
2002-02-06,660472634
2002-02-07,653744838
2002-02-08,657518968
2002-02-11,656042134
2002-02-12,662934023
2002-02-13,671959115
2002-02-14,669497726
2002-02-15,679671466
2002-02-19,683773780
2002-02-20,685086521
2002-02-21,669497726
2002-02-22,683445595
2002-02-25,681476484
2002-02-26,677374170
2002-02-27,683773780
2002-02-28,678522818
2002-03-01,686071076
2002-03-04,691650224
2002-03-05,688860650
2002-03-06,690829761
2002-03-07,694111613
2002-03-08,694932076
2002-03-11,694767983
2002-03-12,692142502
2002-03-13,697229372
2002-03-14,705598094
2002-03-15,713802723
2002-03-18,709536315
2002-03-19,714130908
2002-03-20,710520871
2002-03-21,720038241
2002-03-22,728078777
2002-03-25,719381870
2002-03-26,724468740
2002-03-27,724961018
2002-03-28,731852906
2002-04-01,752451740
2002-04-02,750274604
2002-04-03,737379260
2002-04-04,744748028
2002-04-05,751446908
2002-04-08,754461405
2002-04-09,766184445
2002-04-10,780084622
2002-04-11,769031469
2002-04-12,783769006
2002-04-15,760657869
2002-04-16,765347085
2002-04-17,749269772
2002-04-18,759653037
2002-04-19,755131293
2002-04-22,747762524
2002-04-23,738049148
2002-04-24,737714204
2002-04-25,740896172
2002-04-26,739891340
2002-04-29,740226284
2002-04-30,765347085
2002-05-01,767021805
2002-05-02,768529053
2002-05-03,777237598
2002-05-06,777070126
2002-05-07,770203773
2002-05-08,754963821
2002-05-09,739221452
2002-05-10,734867179
2002-05-13,753456572
2002-05-14,753456572
2002-05-15,753289100
2002-05-16,748599884
2002-05-17,748432412
2002-05-20,745250444
2002-05-21,745250444
2002-05-22,745920332
2002-05-23,761160285
2002-05-24,756136125
2002-05-28,761160285
2002-05-29,775730350
2002-05-30,782094286
2002-05-31,778744846
2002-06-03,778912318
2002-06-04,784103950
2002-06-05,784438894
2002-06-06,789630527
2002-06-07,785778670
2002-06-10,782931646
2002-06-11,781759342
2002-06-12,782094286
2002-06-13,779582206
2002-06-14,787955807
2002-06-17,790467887
2002-06-18,786281086
2002-06-19,786281086
2002-06-20,790467887
2002-06-21,798674015
2002-06-24,800851151
2002-06-25,806042784
2002-06-26,803865648
2002-06-27,817430880
2002-06-28,826306897
2002-07-01,892093990
2002-07-02,868998892
2002-07-03,863133470
2002-07-05,869732070
2002-07-08,866066181
2002-07-09,867899126
2002-07-10,851402627
2002-07-11,830873651
2002-07-12,829407295
2002-07-15,825008229
2002-07-16,815476919
2002-07-17,823908462
2002-07-18,794581354
2002-07-19,771119667
2002-07-22,739226436
2002-07-23,712098860
2002-07-24,707516499
2002-07-25,750957279
2002-07-26,778818033
2002-07-29,791831937
2002-07-30,796414298
2002-07-31,790915465
2002-08-01,794214765
2002-08-02,776801794
2002-08-05,757922468
2002-08-06,773319200
2002-08-07,797330770
2002-08-08,788166049
2002-08-09,775518733
2002-08-12,783766982
2002-08-13,767453778
2002-08-14,780101094
2002-08-15,771119667
2002-08-16,789815698
2002-08-19,782667216
2002-08-20,780834271
2002-08-21,785783221
2002-08-22,786333104
2002-08-23,786333104
2002-08-26,788166049
2002-08-27,785416632
2002-08-28,782667216
2002-08-29,787982754
2002-08-30,805212430
2002-09-03,794581354
2002-09-04,792381820
2002-09-05,785416632
2002-09-06,788899226
2002-09-09,783400393
2002-09-10,784866749
2002-09-11,789082521
2002-09-12,786699693
2002-09-13,788166049
2002-09-16,786699693
2002-09-17,783583688
2002-09-18,782850510
2002-09-19,777168383
2002-09-20,774785555
2002-09-23,777168383
2002-09-24,768920133
2002-09-25,765620834
2002-09-26,768553544
2002-09-27,772586022
2002-09-30,802694476
2002-10-01,802694476
2002-10-02,784176571
2002-10-03,784554487
2002-10-04,781909072
2002-10-07,758100338
2002-10-08,749408260
2002-10-09,727489108
2002-10-10,742983681
2002-10-11,753754299
2002-10-14,739771392
2002-10-15,755265965
2002-10-16,755832840
2002-10-17,770949496
2002-10-18,779452616
2002-10-21,773783869
2002-10-22,771894287
2002-10-23,760556795
2002-10-24,767170332
2002-10-25,783798655
2002-10-28,784365529
2002-10-29,781342198
2002-10-30,790412192
2002-10-31,793624482
2002-11-01,803450308
2002-11-04,806851556
2002-11-05,807796347
2002-11-06,807607389
2002-11-07,801749685
2002-11-08,807607389
2002-11-11,803072392
2002-11-12,804017183
2002-11-13,799293228
2002-11-14,802883434
2002-11-15,795514064
2002-11-18,787577819
2002-11-19,778507825
2002-11-20,776240326
2002-11-21,772839078
2002-11-22,776996159
2002-11-25,769059914
2002-11-26,769059914
2002-11-27,774728661
2002-11-29,770760538
2002-12-02,774728661
2002-12-03,777563034
2002-12-04,772461162
2002-12-05,774161786
2002-12-06,775106577
2002-12-09,783609696
2002-12-10,785688237
2002-12-11,793057607
2002-12-12,794002398
2002-12-13,790034276
2002-12-16,795514064
2002-12-17,778507825
2002-12-18,770949496
2002-12-19,782286989
2002-12-20,792112816
2002-12-23,805906765
2002-12-24,794002398
2002-12-26,797403646
2002-12-27,802127601
2002-12-30,808741138
2002-12-31,804961974
2003-01-02,797403646
2003-01-03,804961974
2003-01-06,803639267
2003-01-07,793624482
2003-01-08,780397407
2003-01-09,783987613
2003-01-10,776618243
2003-01-13,778318866
2003-01-14,778507825
2003-01-15,774728661
2003-01-16,771327413
2003-01-17,763391168
2003-01-21,770004705
2003-01-22,777185117
2003-01-23,776618243
2003-01-24,777563034
2003-01-27,765658666
2003-01-28,765280750
2003-01-29,771894287
2003-01-30,769059914
2003-01-31,781342198
2003-02-03,771516371
2003-02-04,770193663
2003-02-05,770571580
2003-02-06,772461162
2003-02-07,769059914
2003-02-10,773783869
2003-02-11,763769084
2003-02-12,754888048
2003-02-13,755832840
2003-02-14,755832840
2003-02-18,764524917
2003-02-19,761312628
2003-02-20,776429284
2003-02-21,786633028
2003-02-24,779263658
2003-02-25,779452616
2003-02-26,781153240
2003-02-27,784932404
2003-02-28,785121362
2003-03-03,789278443
2003-03-04,788900526
2003-03-05,790790108
2003-03-06,790034276
2003-03-07,794380314
2003-03-10,787388861
2003-03-11,797403646
2003-03-12,793435523
2003-03-13,792112816
2003-03-14,784554487
2003-03-17,784176571
2003-03-18,787955735
2003-03-19,793813440
2003-03-20,795514064
2003-03-21,797025729
2003-03-24,786444070
2003-03-25,793624482
2003-03-26,792490732
2003-03-27,793813440
2003-03-28,790034276
2003-03-31,796950312
2003-04-01,800740801
2003-04-02,807374157
2003-04-03,805857961
2003-04-04,806426534
2003-04-07,810217023
2003-04-08,807184632
2003-04-09,806047485
2003-04-10,797897934
2003-04-11,793349347
2003-04-14,810217023
2003-04-15,813628463
2003-04-16,810217023
2003-04-17,815334183
2003-04-21,813059890
2003-04-22,811733219
2003-04-23,810217023
2003-04-24,810027499
2003-04-25,809269401
2003-04-28,804910339
2003-04-29,809079877
2003-04-30,801688423
2003-05-01,801688423
2003-05-02,807374157
2003-05-05,814955135
2003-05-06,828032322
2003-05-07,818745624
2003-05-08,814955135
2003-05-09,822536113
2003-05-12,828979944
2003-05-13,833339006
2003-05-14,827274224
2003-05-15,829169468
2003-05-16,826326602
2003-05-19,824999930
2003-05-20,826516126
2003-05-21,834286628
2003-05-22,843383802
2003-05-23,852291451
2003-05-27,854755269
2003-05-28,842246655
2003-05-29,825189455
2003-05-30,839593313
2003-06-02,833528531
2003-06-03,841678082
2003-06-04,850964780
2003-06-05,845279047
2003-06-06,851912402
2003-06-09,849259060
2003-06-10,864041967
2003-06-11,860251478
2003-06-12,857598136
2003-06-13,843383802
2003-06-16,837508544
2003-06-17,835613300
2003-06-18,835044726
2003-06-19,834476153
2003-06-20,833907580
2003-06-23,824810406
2003-06-24,829358993
2003-06-25,835802824
2003-06-26,833718055
2003-06-27,844899998
2003-06-30,856042290
2003-07-01,857944606
2003-07-02,874114293
2003-07-03,872211977
2003-07-07,883816106
2003-07-08,885528191
2003-07-09,884577033
2003-07-10,861749238
2003-07-11,867646418
2003-07-14,874494757
2003-07-15,881343095
2003-07-16,880582168
2003-07-17,856042290
2003-07-18,853759510
2003-07-21,849764646
2003-07-22,854520437
2003-07-23,851857194
2003-07-24,861749238
2003-07-25,865173407
2003-07-28,874494757
2003-07-29,874114293
2003-07-30,871260819
2003-07-31,870309661
2003-08-01,860037154
2003-08-04,856042290
2003-08-05,845579550
2003-08-06,852237657
2003-08-07,865934334
2003-08-08,876967768
2003-08-11,872211977
2003-08-12,892376529
2003-08-13,873353367
2003-08-14,877728694
2003-08-15,872211977
2003-08-18,884386801
2003-08-19,889713286
2003-08-20,889713286
2003-08-21,895420235
2003-08-22,879250547
2003-08-25,873924062
2003-08-26,885718422
2003-08-27,889332823
2003-08-28,877538463
2003-08-29,889332823
2003-09-02,912160617
2003-09-03,909307143
2003-09-04,910638764
2003-09-05,903600195
2003-09-08,904170889
2003-09-09,907404827
2003-09-10,897893246
2003-09-11,901507647
2003-09-12,894278845
2003-09-15,893708150
2003-09-16,896942088
2003-09-17,891615602
2003-09-18,892186297
2003-09-19,898273709
2003-09-22,905502511
2003-09-23,906453669
2003-09-24,906453669
2003-09-25,908736448
2003-09-26,913111776
2003-09-29,913111776
2003-09-30,922510000
2003-10-01,939220050
2003-10-02,950744223
2003-10-03,964189090
2003-10-06,962460464
2003-10-07,963997021
2003-10-08,963036673
2003-10-09,971871872
2003-10-10,960347700
2003-10-13,967070133
2003-10-14,970911524
2003-10-15,965149438
2003-10-16,984356392
2003-10-17,968030481
2003-10-20,970335316
2003-10-21,981667418
2003-10-22,966109786
2003-10-23,966878064
2003-10-24,961308047
2003-10-27,978018097
2003-10-28,986469157
2003-10-29,992999521
2003-10-30,984356392
2003-10-31,979554654
2003-11-03,1007788876
2003-11-04,1013935101
2003-11-05,1032949986
2003-11-06,1042937602
2003-11-07,1077510119
2003-11-10,1064065251
2003-11-11,1055998330
2003-11-12,1075205284
2003-11-13,1083848414
2003-11-14,1079814953
2003-11-17,1075589424
2003-11-18,1077510119
2003-11-19,1078470467
2003-11-20,1058303165
2003-11-21,1052541079
2003-11-24,1065025599
2003-11-25,1073284589
2003-11-26,1072900450
2003-11-28,1077510119
2003-12-01,1096332934
2003-12-02,1096525003
2003-12-03,1097101212
2003-12-04,1083272205
2003-12-05,1074821145
2003-12-08,1096525003
2003-12-09,1088073944
2003-12-10,1088458083
2003-12-11,1100558464
2003-12-12,1111122288
2003-12-15,1084232553
2003-12-16,1085192901
2003-12-17,1080007023
2003-12-18,1073668728
2003-12-19,1114003332
2003-12-22,1111698497
2003-12-23,1121109904
2003-12-24,1122646461
2003-12-26,1118805070
2003-12-29,1130329242
2003-12-30,1131289590
2003-12-31,1112082636
2004-01-02,1109201593
2004-01-05,1115924027
2004-01-06,1114195401
2004-01-07,1116500236
2004-01-08,1115539888
2004-01-09,1111122288
2004-01-12,1113042984
2004-01-13,1124567156
2004-01-14,1115924027
2004-01-15,1118228861
2004-01-16,1116308166
2004-01-20,1132249938
2004-01-21,1120341626
2004-01-22,1118228861
2004-01-23,1124183017
2004-01-26,1122646461
2004-01-27,1136283398
2004-01-28,1143966180
2004-01-29,1150688614
2004-01-30,1187950104
2004-02-02,1211958797
2004-02-03,1209077754
2004-02-04,1169703498
2004-02-05,1183148366
2004-02-06,1222522622
2004-02-09,1224827456
2004-02-10,1243842341
2004-02-11,1251333053
2004-02-12,1189870800
2004-02-13,1180843531
2004-02-17,1185837339
2004-02-18,1178922836
2004-02-19,1172008333
2004-02-20,1180459392
2004-02-23,1167398664
2004-02-24,1158179326
2004-02-25,1170663846
2004-02-26,1179114906
2004-02-27,1178922836
2004-03-01,1186989757
2004-03-02,1186989757
2004-03-03,1180843531
2004-03-04,1185069061
2004-03-05,1181995949
2004-03-08,1181227671
2004-03-09,1181227671
2004-03-10,1166822455
2004-03-11,1148383779
2004-03-12,1173160750
2004-03-15,1158371395
2004-03-16,1164133481
2004-03-17,1181227671
2004-03-18,1183148366
2004-03-19,1181227671
2004-03-22,1174313167
2004-03-23,1181227671
2004-03-24,1170087637
2004-03-25,1212919145
2004-03-26,1194672538
2004-03-29,1195824956
2004-03-30,1215800188
2004-03-31,1214931753
2004-04-01,1233252152
2004-04-02,1228430994
2004-04-05,1170577101
2004-04-06,1146471312
2004-04-07,1157849245
2004-04-08,1145507081
2004-04-12,1113687440
2004-04-13,1109251975
2004-04-14,1105973587
2004-04-15,1120244214
2004-04-16,1115615903
2004-04-19,1133743456
2004-04-20,1091510114
2004-04-21,1097874042
2004-04-22,1113687440
2004-04-23,1100188198
2004-04-26,1106552126
2004-04-27,1121401292
2004-04-28,1093824270
2004-04-29,1081867799
2004-04-30,1095752733
2004-05-03,1098259735
2004-05-04,1094981348
2004-05-05,1077625180
2004-05-06,1063354553
2004-05-07,1023628213
2004-05-10,1007043430
2004-05-11,1015914361
2004-05-12,1021121211
2004-05-13,1003572197
2004-05-14,1016300053
2004-05-17,1022471135
2004-05-18,1033270528
2004-05-19,996051191
2004-05-20,1027677985
2004-05-21,1018228516
2004-05-24,1025556676
2004-05-25,1056604932
2004-05-26,1059883319
2004-05-27,1060654705
2004-05-28,1059690473
2004-06-01,1059690473
2004-06-02,1081867799
2004-06-03,1061233243
2004-06-04,1066632940
2004-06-07,1072032637
2004-06-08,1062968860
2004-06-09,1045419846
2004-06-10,1054290776
2004-06-14,1023049674
2004-06-15,1046576924
2004-06-16,1060654705
2004-06-17,1038477379
2004-06-18,1036548916
2004-06-21,1047155463
2004-06-22,1053133698
2004-06-23,1074346793
2004-06-24,1081674952
2004-06-25,1093438577
2004-06-28,1105009356
2004-06-29,1087653188
2004-06-30,1098844602
2004-07-01,1105037457
2004-07-02,1126325394
2004-07-06,1127680080
2004-07-07,1149355071
2004-07-08,1116649059
2004-07-09,1127873607
2004-07-12,1144710430
2004-07-13,1145871590
2004-07-14,1156322032
2004-07-15,1163288993
2004-07-16,1164063100
2004-07-19,1168127161
2004-07-20,1183802823
2004-07-21,1175868229
2004-07-22,1163095467
2004-07-23,1161160200
2004-07-26,1148580964
2004-07-27,1151096811
2004-07-28,1151096811
2004-07-29,1149935651
2004-07-30,1162901940
2004-08-02,1191350365
2004-08-03,1182448137
2004-08-04,1191156838
2004-08-05,1167933634
2004-08-06,1155354399
2004-08-09,1158837879
2004-08-10,1165998367
2004-08-11,1170836535
2004-08-12,1152838551
2004-08-13,1148968017
2004-08-16,1166772474
2004-08-17,1171997695
2004-08-18,1194833845
2004-08-19,1171223588
2004-08-20,1225798117
2004-08-23,1223862850
2004-08-24,1236248559
2004-08-25,1223088744
2004-08-26,1228507491
2004-08-27,1238183826
2004-08-30,1244376681
2004-08-31,1254053016
2004-09-01,1241280253
2004-09-02,1240893200
2004-09-03,1258504130
2004-09-07,1279211487
2004-09-08,1284049654
2004-09-09,1237603246
2004-09-10,1249214848
2004-09-13,1227926911
2004-09-14,1205671341
2004-09-15,1217669996
2004-09-16,1257149443
2004-09-17,1246118421
2004-09-20,1243409047
2004-09-21,1249021321
2004-09-22,1245537841
2004-09-23,1241860833
2004-09-24,1228120438
2004-09-27,1241086727
2004-09-28,1257923550
2004-09-29,1255020649
2004-09-30,1279477706
2004-10-01,1292716368
2004-10-04,1297194150
2004-10-05,1302450678
2004-10-06,1310238126
2004-10-07,1280645823
2004-10-08,1290185447
2004-10-11,1277530844
2004-10-12,1304202853
2004-10-13,1288822644
2004-10-14,1305760343
2004-10-15,1310238126
2004-10-18,1308875322
2004-10-19,1315884025
2004-10-20,1304397540
2004-10-21,1318025574
2004-10-22,1297194150
2004-10-25,1296804778
2004-10-26,1308291264
2004-10-27,1329512059
2004-10-28,1309654067
2004-10-29,1285902351
2004-11-01,1306149715
2004-11-02,1289406702
2004-11-03,1316078712
2004-11-04,1341387918
2004-11-05,1306928460
2004-11-08,1311211557
2004-11-09,1313158419
2004-11-10,1323671473
2004-11-11,1345281642
2004-11-12,1384218882
2004-11-15,1383050764
2004-11-16,1357352186
2004-11-17,1318999005
2004-11-18,1321919298
2004-11-19,1312184988
2004-11-22,1343918838
2004-11-23,1378378296
2004-11-24,1391616957
2004-11-26,1381687961
2004-11-29,1391032899
2004-11-30,1397846916
2004-12-01,1444960976
2004-12-02,1425881728
2004-12-03,1433863863
2004-12-06,1425687042
2004-12-07,1399599091
2004-12-08,1415368674
2004-12-09,1421209260
2004-12-10,1439315076
2004-12-13,1442819428
2004-12-14,1443598173
2004-12-15,1457226207
2004-12-16,1432111687
