,LLY
2000-07-17,106511716699
2000-07-18,108707500033
2000-07-19,106814583366
2000-07-20,104380833365
2000-07-21,105873533365
2000-07-24,109399766700
2000-07-25,109248333367
2000-07-26,106987650032
2000-07-27,107539300033
2000-07-28,110600416700
2000-07-31,112363533367
2000-08-01,115608533368
2000-08-02,115467916702
2000-08-03,116690200035
2000-08-04,116149366702
2000-08-07,115251583368
2000-08-08,117414916702
2000-08-09,83158533358
2000-08-10,83428950025
2000-08-11,83288333359
2000-08-14,84099583359
2000-08-15,83288333359
2000-08-16,83558750025
2000-08-17,84781033359
2000-08-18,82747500025
2000-08-21,83493850025
2000-08-22,82304016692
2000-08-23,83493850025
2000-08-24,81806450025
2000-08-25,81730733358
2000-08-28,80584166691
2000-08-29,80043333358
2000-08-30,80313750024
2000-08-31,78983300024
2000-09-01,78626350024
2000-09-05,75446250023
2000-09-06,72882700022
2000-09-07,74635000023
2000-09-08,75002766689
2000-09-11,75987083356
2000-09-12,77479783357
2000-09-13,80519266691
2000-09-14,79772916691
2000-09-15,78896766690
2000-09-18,80519266691
2000-09-19,82076866691
2000-09-20,80183950024
2000-09-21,84434900026
2000-09-22,88155833360
2000-09-25,89626900027
2000-09-26,89378116694
2000-09-27,88361350027
2000-09-28,89107700027
2000-09-29,87755616693
2000-10-02,87005311973
2000-10-03,87941199972
2000-10-04,88747999972
2000-10-05,90964010638
2000-10-06,89221322639
2000-10-09,88952389305
2000-10-10,90899466638
2000-10-11,94062122637
2000-10-12,94126666637
2000-10-13,93588799971
2000-10-16,96611610636
2000-10-17,95880111970
2000-10-18,96009199970
2000-10-19,95202399970
2000-10-20,92921845304
2000-10-23,95675722637
2000-10-24,94331055970
2000-10-25,95535877303
2000-10-26,94126666637
2000-10-27,94126666637
2000-10-30,94664533304
2000-10-31,96149045303
2000-11-01,97891733303
2000-11-02,95202399970
2000-11-03,94729077303
2000-11-06,96342677303
2000-11-07,93857733304
2000-11-08,97289322636
2000-11-09,96482522636
2000-11-10,97353866636
2000-11-13,92652911971
2000-11-14,94535445304
2000-11-15,94331055970
2000-11-16,93115477304
2000-11-17,96213589303
2000-11-20,94395599970
2000-11-21,96686911970
2000-11-22,93384410637
2000-11-24,91232943971
2000-11-27,95406789303
2000-11-28,98698533302
2000-11-29,101656799968
2000-11-30,100785455968
2000-12-01,96880543969
2000-12-04,97289322636
2000-12-05,97224778636
2000-12-06,97224778636
2000-12-07,99107311969
2000-12-08,99569877302
2000-12-11,99914111969
2000-12-12,99300943969
2000-12-13,97891733303
2000-12-14,96547066636
2000-12-15,96009199970
2000-12-18,95202399970
2000-12-19,95740266637
2000-12-20,97827189303
2000-12-21,97622799969
2000-12-22,94331055970
2000-12-26,96751455970
2000-12-27,95880111970
2000-12-28,98569445302
2000-12-29,100107743968
2001-01-02,98429599969
2001-01-03,92846543971
2001-01-04,87274245306
2001-01-05,86800922639
2001-01-08,86865466639
2001-01-09,90899466638
2001-01-10,89694645305
2001-01-11,87812111972
2001-01-12,86058666640
2001-01-16,89554799972
2001-01-17,87736810639
2001-01-18,87941199972
2001-01-19,86865466639
2001-01-22,87941199972
2001-01-23,89425711972
2001-01-24,89016933305
2001-01-25,89350410638
2001-01-26,88747999972
2001-01-29,87241973306
2001-01-30,85854277306
2001-01-31,84767786640
2001-02-01,86220026639
2001-02-02,88102559972
2001-02-05,85951093306
2001-02-06,83369333307
2001-02-07,84929146640
2001-02-08,87123642639
2001-02-09,86865466639
2001-02-12,86488959973
2001-02-13,86047909306
2001-02-14,82917525307
2001-02-15,80948933308
2001-02-16,78528533309
2001-02-20,79260031975
2001-02-21,79346090642
2001-02-22,79862442641
2001-02-23,81701946641
2001-02-26,83251002640
2001-02-27,83907199974
2001-02-28,85477770640
2001-03-01,84961418640
2001-03-02,85337925306
2001-03-05,85477770640
2001-03-06,83864170640
2001-03-07,82584047974
2001-03-08,83261759974
2001-03-09,84982933307
2001-03-12,84445066640
2001-03-13,84229919973
2001-03-14,82766922641
2001-03-15,81476042641
2001-03-16,80077589308
2001-03-19,81755733308
2001-03-20,82293599974
2001-03-21,79840927975
2001-03-22,78905039975
2001-03-23,78087482642
2001-03-26,80023802641
2001-03-27,81992394641
2001-03-28,83218730640
2001-03-29,81433013308
2001-03-30,82465717307
2001-04-02,81114600004
2001-04-03,80630879225
2001-04-04,81920801303
2001-04-05,82898992212
2001-04-06,83307467537
2001-04-09,83758940264
2001-04-10,84231911693
2001-04-11,82684005199
2001-04-12,83242971433
2001-04-16,84919870135
2001-04-17,86951497407
2001-04-18,85865812992
2001-04-19,85769068836
2001-04-20,86102298706
2001-04-23,86414029875
2001-04-24,84984366238
2001-04-25,87435218187
2001-04-26,87488964940
2001-04-27,89004623382
2001-04-30,91369480525
2001-05-01,92046689615
2001-05-02,92874389616
2001-05-03,91713459745
2001-05-04,92487412992
2001-05-07,93282864940
2001-05-08,92487412992
2001-05-09,91917697408
2001-05-10,91380229875
2001-05-11,90187051953
2001-05-14,90767516888
2001-05-15,91154493512
2001-05-16,92723898706
2001-05-17,94304053252
2001-05-18,91896198706
2001-05-21,92283175330
2001-05-22,91971444161
2001-05-23,90832012992
2001-05-24,91261987018
2001-05-25,90316044161
2001-05-29,92336922083
2001-05-30,91047000005
2001-05-31,91047000005
2001-06-01,92906637667
2001-06-04,93519350655
2001-06-05,94701779226
2001-06-06,93508601304
2001-06-07,93562348057
2001-06-08,93562348057
2001-06-11,93519350655
2001-06-12,92981883122
2001-06-13,89972064940
2001-06-14,89757077927
2001-06-15,87499714291
2001-06-18,86940748057
2001-06-19,84608138966
2001-06-20,85478836368
2001-06-21,84382402602
2001-06-22,82125038966
2001-06-25,81179096108
2001-06-26,81404832472
2001-06-27,79566693511
2001-06-28,79201215589
2001-06-29,79545194810
2001-07-02,81481273557
2001-07-03,82126669783
2001-07-05,81319924501
2001-07-06,80792850916
2001-07-09,82180452802
2001-07-10,80351830161
2001-07-11,81535056576
2001-07-12,80190481105
2001-07-13,81513543369
2001-07-16,80782094312
2001-07-17,80728311293
2001-07-18,82556933934
2001-07-19,83320652802
2001-07-20,83256113179
2001-07-23,82341801859
2001-07-24,81868511293
2001-07-25,82072886765
2001-07-26,84030588651
2001-07-27,84310260349
2001-07-30,85073979216
2001-07-31,85278354688
2001-08-01,84869603745
2001-08-02,85568782990
2001-08-03,85192301858
2001-08-06,85030952801
2001-08-07,84277990537
2001-08-08,83503515066
2001-08-09,83084007519
2001-08-10,84009075443
2001-08-13,84396313179
2001-08-14,84321016953
2001-08-15,85084735820
2001-08-16,86095856575
2001-08-17,85837698084
2001-08-20,87225299970
2001-08-21,86881088650
2001-08-22,87989018838
2001-08-23,88677441479
2001-08-24,90000503743
2001-08-27,88473066008
2001-08-28,85999047141
2001-08-29,85020196198
2001-08-30,85321381103
2001-08-31,83503515066
2001-09-04,84675984877
2001-09-05,85837698084
2001-09-06,84439339594
2001-09-07,82503150915
2001-09-10,83040981104
2001-09-17,83482001858
2001-09-18,83858482990
2001-09-19,81212358463
2001-09-20,79502058464
2001-09-21,79588111294
2001-09-24,82718282991
2001-09-25,83040981104
2001-09-26,84493122613
2001-09-27,86160396197
2001-09-28,86805792423
2001-10-01,87214406715
2001-10-02,88506709337
2001-10-03,84640481658
2001-10-04,84341436423
2001-10-05,85110409884
2001-10-08,85067689136
2001-10-09,84053071375
2001-10-10,85174491006
2001-10-11,84362796797
2001-10-12,84255994927
2001-10-15,83369539409
2001-10-16,84373476984
2001-10-17,80101402200
2001-10-18,81276222765
2001-10-19,81126700148
2001-10-22,82782129126
2001-10-23,82835530061
2001-10-24,83519062027
2001-10-25,84373476984
2001-10-26,85121090071
2001-10-29,84768643901
2001-10-30,82525804639
2001-10-31,81703430244
2001-11-01,82184038657
2001-11-02,83187976231
2001-11-05,83839467636
2001-11-06,85014288201
2001-11-07,85601698484
2001-11-08,84757963714
2001-11-09,83807427075
2001-11-12,83839467636
2001-11-13,84341436423
2001-11-14,83561782775
2001-11-15,83700625205
2001-11-16,84394837357
2001-11-19,85430815493
2001-11-20,86659036993
2001-11-21,88997997937
2001-11-23,88026100924
2001-11-26,88261065037
2001-11-27,87823177372
2001-11-28,86990122789
2001-11-29,88164943354
2001-11-30,88293105598
2001-12-03,89286362985
2001-12-04,88421267841
2001-12-05,88058141485
2001-12-06,87331888771
2001-12-07,87919299054
2001-12-10,87086244471
2001-12-11,85868703158
2001-12-12,84384157170
2001-12-13,85943464467
2001-12-14,87374609519
2001-12-17,88431948028
2001-12-18,88261065037
2001-12-19,87150325593
2001-12-20,85473536240
2001-12-21,83732665766
2001-12-24,85163810819
2001-12-26,84693882592
2001-12-27,84629801471
2001-12-28,85270612688
2001-12-31,85202358604
2002-01-02,85158965501
2002-01-03,84247710328
2002-01-04,84291103432
2002-01-07,83368999984
2002-01-08,82067206880
2002-01-09,81709213777
2002-01-10,83314758604
2002-01-11,82880827570
2002-01-14,83531724122
2002-01-15,83585965501
2002-01-16,82511986191
2002-01-17,81828544811
2002-01-18,80917289639
2002-01-22,82284172398
2002-01-23,82197386191
2002-01-24,80385724122
2002-01-25,81481399984
2002-01-28,80591841363
2002-01-29,79626344812
2002-01-30,80320634467
2002-01-31,81470551708
2002-02-01,81134255156
2002-02-04,79517862053
2002-02-05,80212151708
2002-02-06,79582951708
2002-02-07,79040537915
2002-02-08,79919248260
2002-02-11,81210193087
2002-02-12,82175689639
2002-02-13,82577075846
2002-02-14,82902524122
2002-02-15,82869979294
2002-02-19,82099751708
2002-02-20,83347303432
2002-02-21,83097793087
2002-02-22,83618510328
2002-02-25,83152034466
2002-02-26,82360110329
2002-02-27,84009048259
2002-02-28,82153993087
2002-03-01,84074137915
2002-03-04,85158965501
2002-03-05,83802931018
2002-03-06,84833517225
2002-03-07,85137268949
2002-03-08,84833517225
2002-03-11,85571199983
2002-03-12,86124462052
2002-03-13,86232944811
2002-03-14,85972586190
2002-03-15,86623482742
2002-03-18,87437103431
2002-03-19,87534737914
2002-03-20,85950889638
2002-03-21,85809862052
2002-03-22,85419324121
2002-03-25,83922262052
2002-03-26,83531724122
2002-03-27,82208234467
2002-03-28,82663862053
2002-04-01,83899377070
2002-04-02,85000475431
2002-04-03,83813016415
2002-04-04,82258524611
2002-04-05,81340942643
2002-04-08,80423360676
2002-04-09,80498926250
2002-04-10,81017090184
2002-04-11,80326204938
2002-04-12,79257491823
2002-04-15,81179016414
2002-04-16,80002352479
2002-04-17,79117155758
2002-04-18,80056327889
2002-04-19,79710885266
2002-04-22,79246696741
2002-04-23,77616639364
2002-04-24,75446827888
2002-04-25,75997377068
2002-04-26,75587163953
2002-04-29,73730409855
2002-04-30,71301516411
2002-05-01,72542950838
2002-05-02,73406557396
2002-05-03,72219098379
2002-05-06,70783352477
2002-05-07,70006106575
2002-05-08,72726467231
2002-05-09,70178827886
2002-05-10,69854975427
2002-05-13,69714639362
2002-05-14,70923688542
2002-05-15,68559565591
2002-05-16,68451614771
2002-05-17,70168032805
2002-05-20,69088524608
2002-05-21,69088524608
2002-05-22,69261245919
2002-05-23,70006106575
2002-05-24,68883418050
2002-05-28,69056139362
2002-05-29,69412377067
2002-05-30,69466352476
2002-05-31,69844180345
2002-06-03,69034549198
2002-06-04,66994278705
2002-06-05,67641983624
2002-06-06,66260213131
2002-06-07,66173852476
2002-06-10,66184647558
2002-06-11,64500614770
2002-06-12,63151229524
2002-06-13,64630155754
2002-06-14,65256270508
2002-06-17,67361311492
2002-06-18,67620393460
2002-06-19,65504557393
2002-06-20,64932418049
2002-06-21,63032483622
2002-06-24,62535909852
2002-06-25,61780254114
2002-06-26,62730221327
2002-06-27,64586975426
2002-06-28,60884262310
2002-07-01,57447600000
2002-07-02,55695106250
2002-07-03,53953298437
2002-07-05,55834023437
2002-07-08,55663048437
2002-07-09,53408315625
2002-07-10,51484846875
2002-07-11,53109109375
2002-07-12,53707521875
2002-07-15,55150123437
2002-07-16,55940882812
2002-07-17,54391421875
2002-07-18,51869540625
2002-07-19,51452789062
2002-07-22,52019143750
2002-07-23,52019143750
2002-07-24,52841960937
2002-07-25,55363842187
2002-07-26,57383484375
2002-07-29,61070132812
2002-07-30,62245585937
2002-07-31,62427246875
2002-08-01,58772656250
2002-08-02,57586517187
2002-08-05,55353156250
2002-08-06,56250775000
2002-08-07,59328325000
2002-08-08,60706810937
2002-08-09,61144934375
2002-08-12,61978437500
2002-08-13,59841250000
2002-08-14,62234900000
2002-08-15,61796776562
2002-08-16,61016703125
2002-08-19,61743346875
2002-08-20,60952587500
2002-08-21,62106668750
2002-08-22,66413101562
2002-08-23,63656129687
2002-08-26,63741617187
2002-08-27,62502048437
2002-08-28,61978437500
2002-08-29,60920529687
2002-08-30,62031867187
2002-09-03,59648903125
2002-09-04,61572371875
2002-09-05,60054968750
2002-09-06,59862621875
2002-09-09,61518942187
2002-09-10,61775404687
2002-09-11,62021181250
2002-09-12,61914321875
2002-09-13,62053239062
2002-09-16,62779882812
2002-09-17,61529628125
2002-09-18,60984645312
2002-09-19,59114606250
2002-09-20,60193885937
2002-09-23,58879515625
2002-09-24,58772656250
2002-09-25,60877785937
2002-09-26,61967751562
2002-09-27,59456556250
2002-09-30,59272052654
2002-10-01,61585526340
2002-10-02,61949684234
2002-10-03,61424868445
2002-10-04,59357736865
2002-10-07,60857210550
2002-10-08,63834736867
2002-10-09,64048947393
2002-10-10,65227105288
2002-10-11,66405263184
2002-10-14,66394552657
2002-10-15,68558078974
2002-10-16,68183210553
2002-10-17,67476315816
2002-10-18,67412052658
2002-10-21,67690526342
2002-10-22,67476315816
2002-10-23,62217447392
2002-10-24,59668342128
2002-10-25,60996447392
2002-10-28,60803657918
2002-10-29,60385947392
2002-10-30,60696552655
2002-10-31,59443421076
2002-11-01,60771526339
2002-11-04,62121052656
2002-11-05,62056789498
2002-11-06,64777263183
2002-11-07,63149263182
2002-11-08,66662315815
2002-11-11,66565921078
2002-11-12,65751921078
2002-11-13,64573763183
2002-11-14,66351710552
2002-11-15,65655526341
2002-11-18,64670157920
2002-11-19,65923289499
2002-11-20,67786921079
2002-11-21,69329236869
2002-11-22,70400289501
2002-11-25,72895842133
2002-11-26,68547368448
2002-11-27,73902631608
2002-11-29,73152894765
2002-12-02,73634868450
2002-12-03,71931894765
2002-12-04,72285342133
2002-12-05,71835500028
2002-12-06,70089684238
2002-12-09,70004000027
2002-12-10,70796578975
2002-12-11,70528815817
2002-12-12,68654473711
2002-12-13,69050763185
2002-12-16,69457763185
2002-12-17,68504526342
2002-12-18,67090736868
2002-12-19,66940789500
2002-12-20,67744078974
2002-12-23,69029342132
2002-12-24,69007921079
2002-12-26,68440263184
2002-12-27,67304947394
2002-12-30,68440263184
2002-12-31,68011842132
2003-01-02,70153947396
2003-01-03,71749815817
2003-01-06,72810157923
2003-01-07,71353526343
2003-01-08,71867631607
2003-01-09,72006868449
2003-01-10,72039000028
2003-01-13,71225000028
2003-01-14,71974736870
2003-01-15,72060421080
2003-01-16,72413868449
2003-01-17,70475263185
2003-01-21,70057552659
2003-01-22,69564868448
2003-01-23,68065394763
2003-01-24,65955421078
2003-01-27,64498789499
2003-01-28,65269947394
2003-01-29,65591263183
2003-01-30,63588394761
2003-01-31,64520210551
2003-02-03,66062526341
2003-02-04,65505578973
2003-02-05,64809394762
2003-02-06,65559131604
2003-02-07,64006105288
2003-02-10,64402394762
2003-02-11,64306000025
2003-02-12,63074289498
2003-02-13,61360605287
2003-02-14,60760815813
2003-02-18,61928263182
2003-02-19,62281710550
2003-02-20,60889342129
2003-02-21,61564105287
2003-02-24,60696552655
2003-02-25,59936105286
2003-02-26,59529105286
2003-02-27,60525184234
2003-02-28,60578736865
2003-03-03,60621578971
2003-03-04,60193157918
2003-03-05,61050000024
2003-03-06,59925394760
2003-03-07,61028578971
2003-03-10,59978947392
2003-03-11,57515526338
2003-03-12,57879684233
2003-03-13,59164947391
2003-03-14,57815421075
2003-03-17,59229210549
2003-03-18,59957526339
2003-03-19,60835789497
2003-03-20,60653710550
2003-03-21,62335263182
2003-03-24,60728684234
2003-03-25,62271000024
2003-03-26,61971105287
2003-03-27,62345973708
2003-03-28,62506631603
2003-03-31,61811296875
2003-04-01,63087540625
2003-04-02,64471940625
2003-04-03,65434531250
2003-04-04,66245703125
2003-04-07,64688253125
2003-04-08,64677437500
2003-04-09,64093393750
2003-04-10,64536834375
2003-04-11,63119987500
2003-04-14,64352968750
2003-04-15,63887896875
2003-04-16,62990200000
2003-04-17,63141618750
2003-04-21,64320521875
2003-04-22,66288965625
2003-04-23,67597656250
2003-04-24,69274078125
2003-04-25,68441275000
2003-04-28,69263262500
2003-04-29,69760781250
2003-04-30,69025318750
2003-05-01,69349787500
2003-05-02,69479575000
2003-05-05,69165921875
2003-05-06,69209184375
2003-05-07,69609362500
2003-05-08,69122659375
2003-05-09,69382234375
2003-05-12,69620178125
2003-05-13,69003687500
2003-05-14,68938793750
2003-05-15,69382234375
2003-05-16,68711665625
2003-05-19,65704921875
2003-05-20,63109171875
2003-05-21,63055093750
2003-05-22,62438603125
2003-05-23,62838781250
2003-05-27,64136656250
2003-05-28,63487718750
2003-05-29,62968568750
2003-05-30,64644990625
2003-06-02,62892859375
2003-06-03,64461125000
2003-06-04,65088431250
2003-06-05,66754037500
2003-06-06,66169993750
2003-06-09,64861303125
2003-06-10,65142509375
2003-06-11,68343934375
2003-06-12,69284893750
2003-06-13,70528690625
2003-06-16,73384015625
2003-06-17,75525509375
2003-06-18,74627812500
2003-06-19,72897312500
2003-06-20,74119478125
2003-06-23,72540396875
2003-06-24,74260081250
2003-06-25,73275859375
2003-06-26,75201040625
2003-06-27,73676037500
2003-06-30,74654799970
2003-07-01,75531563606
2003-07-02,75347551485
2003-07-03,74979527243
2003-07-07,76126896939
2003-07-08,74871284819
2003-07-09,73507430274
2003-07-10,72609018153
2003-07-11,73009515122
2003-07-14,72901272698
2003-07-15,71255987850
2003-07-16,71688957547
2003-07-17,72316763608
2003-07-18,72717260577
2003-07-21,71591539365
2003-07-22,71320933305
2003-07-23,71515769668
2003-07-24,72327587850
2003-07-25,72901272698
2003-07-28,72111103002
2003-07-29,70227684820
2003-07-30,72035333305
2003-07-31,71266812093
2003-08-01,69275151488
2003-08-04,69946254518
2003-08-05,69069490882
2003-08-06,68127781791
2003-08-07,69112787851
2003-08-08,68116957549
2003-08-11,68268496942
2003-08-12,68062836336
2003-08-13,67326787852
2003-08-14,66460848458
2003-08-15,66709806034
2003-08-18,66742278761
2003-08-19,66298484822
2003-08-20,66698981792
2003-08-21,68798884821
2003-08-22,67976242397
2003-08-25,68820533306
2003-08-26,69881309063
2003-08-27,70595709063
2003-08-28,71299284820
2003-08-29,72013684820
2003-09-02,72305939365
2003-09-03,67218545428
2003-09-04,66071175731
2003-09-05,66027878762
2003-09-08,66839696943
2003-09-09,66504145428
2003-09-10,67142775731
2003-09-11,66006230277
2003-09-12,66558266640
2003-09-15,65919636337
2003-09-16,66027878762
2003-09-17,65746448459
2003-09-18,66071175731
2003-09-19,65172763610
2003-09-22,64133636338
2003-09-23,64761442398
2003-09-24,64133636338
2003-09-25,63559951490
2003-09-26,62769781793
2003-09-29,62997090884
2003-09-30,63278470609
2003-10-01,67124182375
2003-10-02,67656829434
2003-10-03,67539647081
2003-10-06,67571605904
2003-10-07,67113529434
2003-10-08,66346517669
2003-10-09,66229335316
2003-10-10,66378476492
2003-10-13,66090847080
2003-10-14,66453047080
2003-10-15,65686035315
2003-10-16,65963011786
2003-10-17,65153388256
2003-10-20,65568852962
2003-10-21,66580882375
2003-10-22,64748576492
2003-10-23,69350647081
2003-10-24,70618347082
2003-10-27,71001852964
2003-10-28,71747558847
2003-10-29,70447900023
2003-10-30,70991200023
2003-10-31,70969894141
2003-11-03,71108382376
2003-11-04,69510441199
2003-11-05,70352023552
2003-11-06,70714223552
2003-11-07,70149617670
2003-11-10,69808723552
2003-11-11,69276076493
2003-11-12,70511817670
2003-11-13,73558558847
2003-11-14,75934164731
2003-11-17,75316294142
2003-11-18,75571964730
2003-11-19,77276435319
2003-11-20,76200488260
2003-11-21,74155123553
2003-11-24,75103235319
2003-11-25,75284335319
2003-11-26,73824882377
2003-11-28,73292235318
2003-12-01,74890176495
2003-12-02,74037941201
2003-12-03,73483988259
2003-12-04,73515947083
2003-12-05,73292235318
2003-12-08,74602547083
2003-12-09,75156500024
2003-12-10,74996705907
2003-12-11,76488117672
2003-12-12,76903582378
2003-12-15,76370935319
2003-12-16,78075405908
2003-12-17,77212517672
2003-12-18,77894305908
2003-12-19,78714582379
2003-12-22,76914235319
2003-12-23,75124541201
2003-12-24,75103235319
2003-12-26,75231070613
2003-12-29,76296364731
2003-12-30,75561311789
2003-12-31,76108464853
2004-01-02,77093232420
2004-01-05,75956962150
2004-01-06,75892032421
2004-01-07,75556562150
2004-01-08,73695243232
2004-01-09,73132518907
2004-01-12,74485221610
2004-01-13,74236324313
2004-01-14,74885621610
2004-01-15,75221091880
2004-01-16,75816281069
2004-01-20,75480810799
2004-01-21,76617081069
2004-01-22,76779405393
2004-01-23,75166983772
2004-01-26,74550151340
2004-01-27,74073999988
2004-01-28,72418291881
2004-01-29,74019891880
2004-01-30,73630313502
2004-02-02,74723297286
2004-02-03,75102054042
2004-02-04,76292432421
2004-02-05,77320486474
2004-02-06,78835513501
2004-02-09,79235913501
2004-02-10,80664367555
2004-02-11,80837513501
2004-02-12,79625491879
2004-02-13,79538918907
2004-02-17,78954551339
2004-02-18,78413470258
2004-02-19,78619081069
2004-02-20,78424291880
2004-02-23,77937318907
2004-02-24,78316075663
2004-02-25,78770583771
2004-02-26,79647135123
2004-02-27,80015070258
2004-03-01,79473989177
2004-03-02,78597437826
2004-03-03,79084410798
2004-03-04,79127697285
2004-03-05,79495632420
2004-03-08,78781405393
2004-03-09,77753351339
2004-03-10,76281610799
2004-03-11,74853156745
2004-03-12,76757762150
2004-03-15,75405059448
2004-03-16,76476399988
2004-03-17,75567383772
2004-03-18,75556562150
2004-03-19,74268789178
2004-03-22,73543740529
2004-03-23,73100054043
2004-03-24,71952962151
2004-03-25,70881621611
2004-03-26,70340540530
2004-03-29,70989837827
2004-03-30,71206270259
2004-03-31,72043622957
2004-04-01,72797442629
2004-04-02,73982016400
2004-04-05,74466614760
2004-04-06,74068167219
2004-04-07,74735836072
2004-04-08,74175855744
2004-04-12,74531227875
2004-04-13,74671222957
2004-04-14,75823490170
2004-04-15,78504934433
2004-04-16,78020336072
2004-04-19,79043377056
2004-04-20,77804959023
2004-04-21,79054145908
2004-04-22,79711045908
2004-04-23,78774155744
2004-04-26,78989532794
2004-04-27,79452593449
2004-04-28,79312598367
2004-04-29,79043377056
2004-04-30,79484900007
2004-05-03,80378714761
2004-05-04,81121765581
2004-05-05,81121765581
2004-05-06,82123268859
2004-05-07,81358680335
2004-05-10,80098724597
2004-05-11,79527975417
2004-05-12,79377211482
2004-05-13,78892613121
2004-05-14,79527975417
2004-05-17,78537240990
2004-05-18,78149562302
2004-05-19,77406511482
2004-05-20,77869572138
2004-05-21,77514200007
2004-05-24,76211168859
2004-05-25,77611119679
2004-05-26,79064914761
2004-05-27,79646432794
2004-05-28,79334136072
2004-06-01,80486403286
2004-06-02,80227950827
2004-06-03,80077186892
2004-06-04,80766393450
2004-06-07,81477137712
2004-06-08,81175609843
2004-06-09,79226447548
2004-06-10,79301829515
2004-06-14,78289557384
2004-06-15,78203406564
2004-06-16,78828000007
2004-06-17,79194140990
2004-06-18,79237216400
2004-06-21,78257250826
2004-06-22,78537240990
2004-06-23,78763386892
2004-06-24,78321863941
2004-06-25,76889606564
2004-06-28,77212672138
2004-06-29,75651188531
2004-06-30,75422902867
2004-07-01,74365622866
2004-07-02,74840320009
2004-07-06,73664365724
2004-07-07,72855222866
2004-07-08,73232822866
2004-07-09,72283428581
2004-07-12,73491748581
2004-07-13,73826194295
2004-07-14,73351497152
2004-07-15,72100022866
2004-07-16,71528228580
2004-07-19,70697508580
2004-07-20,69769691437
2004-07-21,70427794295
2004-07-22,69845211437
2004-07-23,67655131437
2004-07-26,67040182866
2004-07-27,68043520009
2004-07-28,68712411437
2004-07-29,68658468580
2004-07-30,68744777151
2004-08-02,68561371437
2004-08-03,68205348580
2004-08-04,68669257151
2004-08-05,66252617151
2004-08-06,65810285723
2004-08-09,65238491437
2004-08-10,65875017151
2004-08-11,67536457151
2004-08-12,66953874294
2004-08-13,66425234294
2004-08-16,68065097151
2004-08-17,67784594294
2004-08-18,69651017152
2004-08-19,69424457152
2004-08-20,69586285723
2004-08-23,69478400009
