,FMC
2000-05-23,896192000
2000-05-24,912000000
2000-05-25,896192000
2000-05-26,871872000
2000-05-30,840256000
2000-05-31,840256000
2000-06-01,854848000
2000-06-02,852416000
2000-06-05,828096000
2000-06-06,840256000
2000-06-07,819584000
2000-06-08,840256000
2000-06-09,867008000
2000-06-12,869440000
2000-06-13,863360000
2000-06-14,870656000
2000-06-15,851200000
2000-06-16,851200000
2000-06-19,824448000
2000-06-20,822016000
2000-06-21,835392000
2000-06-22,826880000
2000-06-23,817152000
2000-06-26,806208000
2000-06-27,828096000
2000-06-28,822016000
2000-06-29,812288000
2000-06-30,1665952000
2000-07-03,1749376000
2000-07-05,1678592000
2000-07-06,1691232000
2000-07-07,1696288000
2000-07-10,1711456000
2000-07-11,1769600000
2000-07-12,1756960000
2000-07-13,1756960000
2000-07-14,1736736000
2000-07-17,1739264000
2000-07-18,1741792000
2000-07-19,1688704000
2000-07-20,1696288000
2000-07-21,1681120000
2000-07-24,1696288000
2000-07-25,1746848000
2000-07-26,1739264000
2000-07-27,1782240000
2000-07-28,1759488000
2000-07-31,1731680000
2000-08-01,1746848000
2000-08-02,1706400000
2000-08-03,1751904000
2000-08-04,1789824000
2000-08-07,1820160000
2000-08-08,1837856000
2000-08-09,1835328000
2000-08-10,1840384000
2000-08-11,1896000000
2000-08-14,1880832000
2000-08-15,1885888000
2000-08-16,1898528000
2000-08-17,1931392000
2000-08-18,1901056000
2000-08-21,1893472000
2000-08-22,1913696000
2000-08-23,1916224000
2000-08-24,1954144000
2000-08-25,1944032000
2000-08-28,1964256000
2000-08-29,1946560000
2000-08-30,1944032000
2000-08-31,1949088000
2000-09-01,1961728000
2000-09-05,1994592000
2000-09-06,2037568000
2000-09-07,2050207999
2000-09-08,2027456000
2000-09-11,2037568000
2000-09-12,2050207999
2000-09-13,2024928000
2000-09-14,1994592000
2000-09-15,1923808000
2000-09-18,1858080000
2000-09-19,1850496000
2000-09-20,1850496000
2000-09-21,1880832000
2000-09-22,1858080000
2000-09-25,1853024000
2000-09-26,1870720000
2000-09-27,1898528000
2000-09-28,1898528000
2000-09-29,1926336000
2000-10-02,915661843
2000-10-03,952435411
2000-10-04,946306483
2000-10-05,929145484
2000-10-06,947532268
2000-10-09,961015910
2000-10-10,958564339
2000-10-11,961015910
2000-10-12,948758054
2000-10-13,936500198
2000-10-16,954886982
2000-10-17,929145484
2000-10-18,926693913
2000-10-19,940177555
2000-10-20,963467481
2000-10-23,952435411
2000-10-24,961015910
2000-10-25,964693267
2000-10-26,967144838
2000-10-27,952435411
2000-10-30,996563692
2000-10-31,1059078758
2000-11-01,1065207686
2000-11-02,1054175616
2000-11-03,1060304544
2000-11-06,1029659904
2000-11-07,1041917760
2000-11-08,1028434118
2000-11-09,1005144191
2000-11-10,1002692620
2000-11-13,995337907
2000-11-14,1010047334
2000-11-15,1027208332
2000-11-16,1000241049
2000-11-17,1012498905
2000-11-20,987983193
2000-11-21,996563692
2000-11-22,989208979
2000-11-24,996563692
2000-11-27,987983193
2000-11-28,1002692620
2000-11-29,987983193
2000-11-30,946306483
2000-12-01,949983840
2000-12-04,975725337
2000-12-05,991660550
2000-12-06,1007595763
2000-12-07,986757408
2000-12-08,968370624
2000-12-11,963467481
2000-12-12,972047980
2000-12-13,964693267
2000-12-14,945080697
2000-12-15,924242342
2000-12-18,941403340
2000-12-19,946306483
2000-12-20,927919699
2000-12-21,934048627
2000-12-22,927919699
2000-12-26,946306483
2000-12-27,963467481
2000-12-28,996563692
2000-12-29,999015264
2001-01-02,965888000
2001-01-03,997920000
2001-01-04,1020095999
2001-01-05,1023792000
2001-01-08,1034880000
2001-01-09,1020095999
2001-01-10,1055824000
2001-01-11,1020095999
2001-01-12,1038576000
2001-01-16,1039807999
2001-01-17,1031183999
2001-01-18,1015168000
2001-01-19,1010239999
2001-01-22,980672000
2001-01-23,990527999
2001-01-24,965888000
2001-01-25,963424000
2001-01-26,959728000
2001-01-29,965888000
2001-01-30,975744000
2001-01-31,985600000
2001-02-01,995456000
2001-02-02,1010239999
2001-02-05,1023792000
2001-02-06,1026256000
2001-02-07,1015168000
2001-02-08,1002848000
2001-02-09,1010239999
2001-02-12,1022560000
2001-02-13,1050895999
2001-02-14,1064448000
2001-02-15,1076768000
2001-02-16,1058288000
2001-02-20,1061983999
2001-02-21,1043504000
2001-02-22,1050895999
2001-02-23,1038576000
2001-02-26,1076768000
2001-02-27,1078000000
2001-02-28,1075536000
2001-03-01,1061983999
2001-03-02,1081696000
2001-03-05,1118656000
2001-03-06,1123584000
2001-03-07,1160544000
2001-03-08,1171632000
2001-03-09,1163008000
2001-03-12,1138368000
2001-03-13,1118656000
2001-03-14,1082928000
2001-03-15,1064448000
2001-03-16,1048432000
2001-03-19,1065680000
2001-03-20,1063216000
2001-03-21,1039807999
2001-03-22,991760000
2001-03-23,1021327999
2001-03-26,1045968000
2001-03-27,1066912000
2001-03-28,1034880000
2001-03-29,1023792000
2001-03-30,1031183999
2001-04-02,1038336000
2001-04-03,1008384000
2001-04-04,1014624000
2001-04-05,1029600000
2001-04-06,995904000
2001-04-09,1010880000
2001-04-10,1030848000
2001-04-11,1010880000
2001-04-12,1013375999
2001-04-16,997152000
2001-04-17,1037088000
2001-04-18,1059552000
2001-04-19,1025856000
2001-04-20,1004640000
2001-04-23,1009632000
2001-04-24,1012127999
2001-04-25,1007136000
2001-04-26,1029600000
2001-04-27,1023359999
2001-04-30,1017120000
2001-05-01,1009632000
2001-05-02,1007136000
2001-05-03,1025856000
2001-05-04,1020864000
2001-05-07,1030848000
2001-05-08,1033343999
2001-05-09,1043327999
2001-05-10,1057056000
2001-05-11,1052064000
2001-05-14,1059552000
2001-05-15,1063296000
2001-05-16,1098240000
2001-05-17,1095744000
2001-05-18,1090752000
2001-05-21,1101984000
2001-05-22,1095744000
2001-05-23,1082016000
2001-05-24,1070784000
2001-05-25,1080768000
2001-05-29,1085760000
2001-05-30,1063296000
2001-05-31,1083264000
2001-06-01,1084512000
2001-06-04,1118208000
2001-06-05,1095744000
2001-06-06,1096992000
2001-06-07,1085760000
2001-06-08,1088256000
2001-06-11,1088256000
2001-06-12,1083264000
2001-06-13,1084512000
2001-06-14,1050816000
2001-06-15,1039584000
2001-06-18,1044575999
2001-06-19,1052064000
2001-06-20,1053311999
2001-06-21,1027104000
2001-06-22,999648000
2001-06-25,988416000
2001-06-26,985920000
2001-06-27,977184000
2001-06-28,963456000
2001-06-29,972192000
2001-07-02,1950624000
2001-07-03,1958126400
2001-07-05,1988136000
2001-07-06,1945622400
2001-07-09,1945622400
2001-07-10,1958126400
2001-07-11,1945622400
2001-07-12,1970630400
2001-07-13,1943121600
2001-07-16,1913112000
2001-07-17,1920614400
2001-07-18,1908110400
2001-07-19,1935619200
2001-07-20,1928116800
2001-07-23,1890604800
2001-07-24,1830585600
2001-07-25,1893105600
2001-07-26,1905609600
2001-07-27,1878100800
2001-07-30,1893105600
2001-07-31,1890604800
2001-08-01,1875600000
2001-08-02,1863096000
2001-08-03,1860595200
2001-08-06,1813080000
2001-08-07,1813080000
2001-08-08,1765564800
2001-08-09,1738056000
2001-08-10,1770566400
2001-08-13,1783070400
2001-08-14,1790572800
2001-08-15,1810579200
2001-08-16,1803076800
2001-08-17,1790572800
2001-08-20,1775568000
2001-08-21,1793073600
2001-08-22,1790572800
2001-08-23,1788072000
2001-08-24,1795574400
2001-08-27,1825584000
2001-08-28,1818081600
2001-08-29,1795574400
2001-08-30,1755561600
2001-08-31,1775568000
2001-09-04,1790572800
2001-09-05,1783070400
2001-09-06,1763064000
2001-09-07,1733054400
2001-09-10,1693041600
2001-09-17,1522987200
2001-09-18,1532990400
2001-09-19,1475472000
2001-09-20,1392945600
2001-09-21,1335427200
2001-09-24,1382942400
2001-09-25,1395446400
2001-09-26,1395446400
2001-09-27,1385443200
2001-09-28,1392945600
2001-10-01,683999999
2001-10-02,687724137
2001-10-03,700137930
2001-10-04,698896551
2001-10-05,700137930
2001-10-08,691448275
2001-10-09,687724137
2001-10-10,710068965
2001-10-11,729931034
2001-10-12,724965517
2001-10-15,712551723
2001-10-16,713793103
2001-10-17,692689654
2001-10-18,683999999
2001-10-19,679034482
2001-10-22,698896551
2001-10-23,696413792
2001-10-24,681517241
2001-10-25,683999999
2001-10-26,697655172
2001-10-29,682758620
2001-10-30,661655172
2001-10-31,670344827
2001-11-01,687724137
2001-11-02,700137930
2001-11-05,697655172
2001-11-06,713793103
2001-11-07,715034482
2001-11-08,713793103
2001-11-09,719999999
2001-11-12,706344827
2001-11-13,726206896
2001-11-14,726206896
2001-11-15,724965517
2001-11-16,732413792
2001-11-19,741103448
2001-11-20,737379310
2001-11-21,731172413
2001-11-23,744827586
2001-11-26,736137930
2001-11-27,744827586
2001-11-28,747310344
2001-11-29,742344827
2001-11-30,755999999
2001-12-03,751034482
2001-12-04,757241379
2001-12-05,791999999
2001-12-06,795724137
2001-12-07,793241379
2001-12-10,777103448
2001-12-11,783310344
2001-12-12,774620689
2001-12-13,762206896
2001-12-14,764689654
2001-12-17,774620689
2001-12-18,795724137
2001-12-19,800689654
2001-12-20,818068965
2001-12-21,818068965
2001-12-24,824275861
2001-12-26,842896551
2001-12-27,832965517
2001-12-28,837931034
2001-12-31,1702276160
2002-01-02,1803002560
2002-01-03,1865956560
2002-01-04,1853365760
2002-01-07,1878547360
2002-01-08,1855883920
2002-01-09,1863438400
2002-01-10,1828184160
2002-01-11,1805520720
2002-01-14,1780339120
2002-01-15,1745084880
2002-01-16,1712348800
2002-01-17,1724939600
2002-01-18,1722421440
2002-01-22,1712348800
2002-01-23,1770266480
2002-01-24,1800484400
2002-01-25,1886101840
2002-01-28,1896174480
2002-01-29,1893656320
2002-01-30,1938983200
2002-01-31,1964164800
2002-02-01,1923874240
2002-02-04,1881065520
2002-02-05,1840774960
2002-02-06,1810557040
2002-02-07,1810557040
2002-02-08,1810557040
2002-02-11,1865956560
2002-02-12,1855883920
2002-02-13,1855883920
2002-02-14,1855883920
2002-02-15,1863438400
2002-02-19,1843293120
2002-02-20,1883583680
2002-02-21,1949055840
2002-02-22,1971719280
2002-02-25,1989346400
2002-02-26,2012009840
2002-02-27,2052300400
2002-02-28,2059854880
2002-03-01,2044745919
2002-03-04,2125327039
2002-03-05,2110218080
2002-03-06,2127845199
2002-03-07,2100145440
2002-03-08,2102663600
2002-03-11,2107699919
2002-03-12,2132881520
2002-03-13,2122808880
2002-03-14,2130363360
2002-03-15,2125327039
2002-03-18,2135399680
2002-03-19,2145472320
2002-03-20,2105181759
2002-03-21,2087554639
2002-03-22,2042227759
2002-03-25,2115254400
2002-03-26,2241162400
2002-03-27,2283971120
2002-03-28,2286489280
2002-04-01,2331051360
2002-04-02,2310191840
2002-04-03,2239790960
2002-04-04,2179819840
2002-04-05,2226753760
2002-04-08,2242398400
2002-04-09,2250220720
2002-04-10,2260650480
2002-04-11,2268472800
2002-04-12,2268472800
2002-04-15,2242398400
2002-04-16,2273687680
2002-04-17,2271080240
2002-04-18,2252828160
2002-04-19,2237183520
2002-04-22,2195464480
2002-04-23,2161567760
2002-04-24,2169390080
2002-04-25,2185034720
2002-04-26,2179819840
2002-04-29,2145923120
2002-04-30,2185034720
2002-05-01,2187642160
2002-05-02,2195464480
2002-05-03,2231968640
2002-05-06,2192857040
2002-05-07,2192857040
2002-05-08,2224146320
2002-05-09,2187642160
2002-05-10,2158960320
2002-05-13,2151138000
2002-05-14,2200679360
2002-05-15,2208501680
2002-05-16,2179819840
2002-05-17,2187642160
2002-05-20,2151138000
2002-05-21,2174604960
2002-05-22,2169390080
2002-05-23,1971224640
2002-05-24,1966009760
2002-05-28,1966009760
2002-05-29,1976439520
2002-05-30,1989476720
2002-05-31,2005121360
2002-06-03,1955580000
2002-06-04,1908646080
2002-06-05,1890394000
2002-06-06,1746984800
2002-06-07,1799133600
2002-06-10,1812170800
2002-06-11,1762629440
2002-06-12,1775666640
2002-06-13,1692228560
2002-06-14,1676583920
2002-06-17,1627042560
2002-06-18,1634864880
2002-06-19,1600968160
2002-06-20,1637472320
2002-06-21,1637472320
2002-06-24,1655724400
2002-06-25,1647902080
2002-06-26,1689621120
2002-06-27,1671369040
2002-06-28,1705265760
2002-07-01,926370000
2002-07-02,892530000
2002-07-03,881250000
2002-07-05,915090000
2002-07-08,903810000
2002-07-09,888300000
2002-07-10,847410000
2002-07-11,843180000
2002-07-12,841770000
2002-07-15,822030000
2002-07-16,812160000
2002-07-17,826260000
2002-07-18,793830000
2002-07-19,759990000
2002-07-22,734610000
2002-07-23,716280000
2002-07-24,762810000
2002-07-25,738840000
2002-07-26,723330000
2002-07-29,764220000
2002-07-30,751530000
2002-07-31,752940000
2002-08-01,757170000
2002-08-02,734610000
2002-08-05,723330000
2002-08-06,748710000
2002-08-07,768450000
2002-08-08,783960000
2002-08-09,799470000
2002-08-12,792420000
2002-08-13,795240000
2002-08-14,819210000
2002-08-15,810750000
2002-08-16,824850000
2002-08-19,847410000
2002-08-20,833310000
2002-08-21,862920000
2002-08-22,881250000
2002-08-23,860100000
2002-08-26,885480000
2002-08-27,878430000
2002-08-28,851640000
2002-08-29,855870000
2002-08-30,864330000
2002-09-03,829080000
2002-09-04,847410000
2002-09-05,829080000
2002-09-06,862920000
2002-09-09,874200000
2002-09-10,884069999
2002-09-11,888300000
2002-09-12,882660000
2002-09-13,885480000
2002-09-16,882660000
2002-09-17,864330000
2002-09-18,860100000
2002-09-19,826260000
2002-09-20,854460000
2002-09-23,843180000
2002-09-24,814980000
2002-09-25,840360000
2002-09-26,840360000
2002-09-27,806520000
2002-09-30,849680000
2002-10-01,898320000
2002-10-02,851200000
2002-10-03,846640000
2002-10-04,829920000
2002-10-07,839039999
2002-10-08,887680000
2002-10-09,848160000
2002-10-10,887680000
2002-10-11,918080000
2002-10-14,918080000
2002-10-15,1003200000
2002-10-16,948480000
2002-10-17,995600000
2002-10-18,995600000
2002-10-21,1054880000
2002-10-22,1021440000
2002-10-23,1041200000
2002-10-24,1009280000
2002-10-25,1038160000
2002-10-28,1015360000
2002-10-29,995600000
2002-10-30,1004720000
2002-10-31,1007760000
2002-11-01,1016880000
2002-11-04,1000160000
2002-11-05,972800000
2002-11-06,986480000
2002-11-07,953039999
2002-11-08,912000000
2002-11-11,884640000
2002-11-12,902880000
2002-11-13,883120000
2002-11-14,907440000
2002-11-15,922640000
2002-11-18,907440000
2002-11-19,898320000
2002-11-20,905920000
2002-11-21,924160000
2002-11-22,899840000
2002-11-25,902880000
2002-11-26,889200000
2002-11-27,930240000
2002-11-29,933280000
2002-12-02,916560000
2002-12-03,905920000
2002-12-04,887680000
2002-12-05,880080000
2002-12-06,895280000
2002-12-09,880080000
2002-12-10,887680000
2002-12-11,895280000
2002-12-12,895280000
2002-12-13,878560000
2002-12-16,912000000
2002-12-17,921120000
2002-12-18,884640000
2002-12-19,883120000
2002-12-20,884640000
2002-12-23,886160000
2002-12-24,881600000
2002-12-26,893760000
2002-12-27,874000000
2002-12-30,884640000
2002-12-31,899840000
2003-01-02,905920000
2003-01-03,902880000
2003-01-06,915039999
2003-01-07,905920000
2003-01-08,887680000
2003-01-09,898320000
2003-01-10,889200000
2003-01-13,901360000
2003-01-14,908960000
2003-01-15,907440000
2003-01-16,905920000
2003-01-17,892240000
2003-01-21,874000000
2003-01-22,846640000
2003-01-23,854240000
2003-01-24,831440000
2003-01-27,814720000
2003-01-28,829920000
2003-01-29,626240000
2003-01-30,641440000
2003-01-31,658160000
2003-02-03,664240000
2003-02-04,650560000
2003-02-05,635360000
2003-02-06,609520000
2003-02-07,626240000
2003-02-10,620160000
2003-02-11,604960000
2003-02-12,580640000
2003-02-13,588240000
2003-02-14,580640000
2003-02-18,589760000
2003-02-19,570000000
2003-02-20,556320000
2003-02-21,556320000
2003-02-24,528960000
2003-02-25,533519999
2003-02-26,535040000
2003-02-27,524400000
2003-02-28,510720000
2003-03-03,521360000
2003-03-04,504640000
2003-03-05,498560000
2003-03-06,500080000
2003-03-07,498560000
2003-03-10,480320000
2003-03-11,475760000
2003-03-12,474240000
2003-03-13,480320000
2003-03-14,494000000
2003-03-17,510720000
2003-03-18,519840000
2003-03-19,521360000
2003-03-20,525920000
2003-03-21,542640000
2003-03-24,521360000
2003-03-25,528960000
2003-03-26,519840000
2003-03-27,516800000
2003-03-28,521360000
2003-03-31,476000000
2003-04-01,485800000
2003-04-02,504000000
2003-04-03,499800000
2003-04-04,492800000
2003-04-07,506800000
2003-04-08,499800000
2003-04-09,492800000
2003-04-10,497000000
2003-04-11,497000000
2003-04-14,515200000
2003-04-15,516600000
2003-04-16,506800000
2003-04-17,516600000
2003-04-21,522200000
2003-04-22,530600000
2003-04-23,534800000
2003-04-24,544600000
2003-04-25,532000000
2003-04-28,550200000
2003-04-29,540400000
2003-04-30,550200000
2003-05-01,561400000
2003-05-02,586600000
2003-05-05,585200000
2003-05-06,581000000
2003-05-07,592200000
2003-05-08,579600000
2003-05-09,593600000
2003-05-12,602000000
2003-05-13,599200000
2003-05-14,596400000
2003-05-15,600600000
2003-05-16,592200000
2003-05-19,574000000
2003-05-20,581000000
2003-05-21,590800000
2003-05-22,588000000
2003-05-23,586600000
2003-05-27,604800000
2003-05-28,614600000
2003-05-29,602000000
2003-05-30,630000000
2003-06-02,637000000
2003-06-03,627200000
2003-06-04,635600000
2003-06-05,632799999
2003-06-06,635600000
2003-06-09,618800000
2003-06-10,618800000
2003-06-11,620200000
2003-06-12,620200000
2003-06-13,620200000
2003-06-16,642600000
2003-06-17,651000000
2003-06-18,649600000
2003-06-19,667799999
2003-06-20,673400000
2003-06-23,659400000
2003-06-24,669200000
2003-06-25,669200000
2003-06-26,688800000
2003-06-27,683200000
2003-06-30,666400000
2003-07-01,680000000
2003-07-02,690880000
2003-07-03,685440000
2003-07-07,692240000
2003-07-08,694960000
2003-07-09,700400000
2003-07-10,689520000
2003-07-11,693600000
2003-07-14,690880000
2003-07-15,689520000
2003-07-16,689520000
2003-07-17,677280000
2003-07-18,692240000
2003-07-21,684080000
2003-07-22,705840000
2003-07-23,703120000
2003-07-24,705840000
2003-07-25,709920000
2003-07-28,727600000
2003-07-29,714000000
2003-07-30,707200000
2003-07-31,704480000
2003-08-01,705840000
2003-08-04,696320000
2003-08-05,675920000
2003-08-06,682720000
2003-08-07,677280000
2003-08-08,685440000
2003-08-11,692240000
2003-08-12,704480000
2003-08-13,700400000
2003-08-14,705840000
2003-08-15,703120000
2003-08-18,712640000
2003-08-19,712640000
2003-08-20,718080000
2003-08-21,728960000
2003-08-22,720800000
2003-08-25,723520000
2003-08-26,716720000
2003-08-27,722160000
2003-08-28,720800000
2003-08-29,733040000
2003-09-02,742560000
2003-09-03,750720000
2003-09-04,764320000
2003-09-05,782000000
2003-09-08,794240000
2003-09-09,802400000
2003-09-10,792880000
2003-09-11,787440000
2003-09-12,784720000
2003-09-15,807840000
2003-09-16,809200000
2003-09-17,794240000
2003-09-18,792880000
2003-09-19,792880000
2003-09-22,782000000
2003-09-23,784720000
2003-09-24,765680000
2003-09-25,753440000
2003-09-26,745280000
2003-09-29,745280000
2003-09-30,764783155
2003-10-01,785793681
2003-10-02,787194383
2003-10-03,809605611
2003-10-06,813807716
2003-10-07,819410523
2003-10-08,827814734
2003-10-09,833417541
2003-10-10,832016839
2003-10-13,843222453
2003-10-14,853027365
2003-10-15,860030874
2003-10-16,847424558
2003-10-17,843222453
2003-10-20,840421050
2003-10-21,836218944
2003-10-22,823612629
2003-10-23,819410523
2003-10-24,815208418
2003-10-27,834818243
2003-10-28,853027365
2003-10-29,860030874
2003-10-30,860030874
2003-10-31,850225962
2003-11-03,876839295
2003-11-04,864232979
2003-11-05,878239997
2003-11-06,911856839
2003-11-07,874037892
2003-11-10,862832278
2003-11-11,847424558
2003-11-12,882442102
2003-11-13,897849821
2003-11-14,879640699
2003-11-17,869835786
2003-11-18,868435085
2003-11-19,882442102
2003-11-20,879640699
2003-11-21,878239997
2003-11-24,889445611
2003-11-25,902051927
2003-11-26,911856839
2003-11-28,909055435
2003-12-01,921661751
2003-12-02,928665260
2003-12-03,934268067
2003-12-04,949675786
2003-12-05,952477190
2003-12-08,960881400
2003-12-09,965083505
2003-12-10,958079997
2003-12-11,967884909
2003-12-12,997299646
2003-12-15,998700347
2003-12-16,994498242
2003-12-17,988895435
2003-12-18,1016909470
2003-12-19,1018310172
2003-12-22,1032317189
2003-12-23,1033717891
2003-12-24,1030916488
2003-12-26,1035118593
2003-12-29,1047724909
2003-12-30,1057529821
2003-12-31,1083866669
2004-01-02,1088266669
2004-01-05,1088266669
2004-01-06,1094133335
2004-01-07,1094133335
2004-01-08,1113200002
2004-01-09,1083866669
2004-01-12,1104400002
2004-01-13,1091200002
2004-01-14,1095600002
2004-01-15,1072133335
2004-01-16,1070666669
2004-01-20,1066266669
2004-01-21,1070666669
2004-01-22,1078000002
2004-01-23,1075066669
2004-01-26,1080933335
2004-01-27,1095600002
2004-01-28,1100000002
2004-01-29,1083866669
2004-01-30,1086800002
2004-02-02,1070666669
2004-02-03,1053066669
2004-02-04,1067733335
2004-02-05,1100000002
2004-02-06,1122000002
2004-02-09,1139600002
2004-02-10,1168933335
2004-02-11,1193866669
2004-02-12,1207066669
2004-02-13,1201200002
2004-02-17,1237866669
2004-02-18,1149866669
2004-02-19,1174800002
2004-02-20,1167466669
2004-02-23,1168933335
2004-02-24,1173333336
2004-02-25,1180666669
2004-02-26,1205600002
2004-02-27,1189466669
2004-03-01,1242266669
2004-03-02,1243733336
2004-03-03,1237866669
2004-03-04,1245200002
2004-03-05,1262800002
2004-03-08,1254000002
2004-03-09,1229066669
2004-03-10,1183600002
2004-03-11,1179200002
2004-03-12,1215866669
2004-03-15,1170400002
2004-03-16,1182133336
2004-03-17,1190933336
2004-03-18,1190933336
2004-03-19,1185066669
2004-03-22,1160133335
2004-03-23,1166000002
2004-03-24,1148400002
2004-03-25,1167466669
2004-03-26,1179200002
2004-03-29,1342000003
2004-03-30,1374266669
2004-03-31,1340687056
2004-04-01,1334908233
2004-04-02,1346465880
2004-04-05,1360912938
2004-04-06,1358023527
2004-04-07,1356578821
2004-04-08,1346465880
2004-04-12,1358023527
2004-04-13,1319016468
2004-04-14,1321905880
2004-04-15,1311792939
2004-04-16,1332018821
2004-04-19,1371025880
2004-04-20,1323350586
2004-04-21,1353689409
2004-04-22,1402809409
2004-04-23,1381138821
2004-04-26,1381138821
2004-04-27,1368136468
2004-04-28,1321905880
2004-04-29,1339242350
2004-04-30,1342131762
2004-05-03,1339242350
2004-05-04,1339242350
2004-05-05,1332018821
2004-05-06,1301679997
2004-05-07,1254004703
2004-05-10,1225110586
2004-05-11,1278564703
2004-05-12,1245336468
2004-05-13,1264117645
2004-05-14,1251115292
2004-05-17,1233778821
2004-05-18,1249670586
2004-05-19,1246781174
2004-05-20,1227999998
2004-05-21,1222221174
2004-05-24,1225110586
2004-05-25,1226555292
2004-05-26,1230889409
2004-05-27,1261228233
2004-05-28,1269896468
2004-06-01,1287232939
2004-06-02,1303124703
2004-06-03,1280009409
2004-06-04,1300235292
2004-06-07,1324795291
2004-06-08,1319016468
2004-06-09,1306014115
2004-06-10,1301679997
2004-06-14,1285788233
2004-06-15,1280009409
2004-06-16,1293011762
2004-06-17,1295901174
2004-06-18,1295901174
2004-06-21,1294456468
2004-06-22,1265562350
2004-06-23,1297345880
2004-06-24,1313237644
2004-06-25,1347910586
2004-06-28,1342131762
2004-06-29,1350799997
2004-06-30,1360641972
2004-07-01,1328592589
2004-07-02,1324222219
2004-07-06,1312567898
2004-07-07,1306740737
2004-07-08,1297999996
2004-07-09,1308197527
2004-07-12,1280518515
2004-07-13,1284888885
2004-07-14,1280518515
2004-07-15,1276148145
2004-07-16,1258666663
2004-07-19,1264493824
2004-07-20,1267407404
2004-07-21,1247012342
2004-07-22,1260123453
2004-07-23,1238271602
2004-07-26,1220790120
2004-07-27,1238271602
2004-07-28,1378123453
2004-07-29,1392691354
2004-07-30,1386864194
2004-08-02,1383950614
2004-08-03,1383950614
2004-08-04,1376666663
2004-08-05,1357728391
2004-08-06,1316938268
2004-08-09,1314024688
2004-08-10,1360641972
2004-08-11,1360641972
2004-08-12,1340246910
2004-08-13,1325679009
2004-08-16,1341703700
2004-08-17,1346074070
2004-08-18,1348987651
2004-08-19,1357728391
2004-08-20,1386864194
2004-08-23,1391234564
2004-08-24,1448049379
2004-08-25,1453876539
2004-08-26,1464074070
2004-08-27,1449506169
2004-08-30,1427654317
2004-08-31,1459703700
2004-09-01,1445135799
2004-09-02,1478641971
2004-09-03,1462617280
2004-09-07,1475728391
2004-09-08,1475728391
2004-09-09,1499037033
2004-09-10,1483012342
2004-09-13,1481555552
2004-09-14,1462617280
2004-09-15,1456790120
2004-09-16,1466987650
2004-09-17,1458246910
2004-09-20,1464074070
2004-09-21,1487382712
2004-09-22,1453876539
2004-09-23,1468444440
2004-09-24,1490296292
2004-09-27,1465530860
2004-09-28,1550024687
2004-09-29,1528172835
2004-09-30,1558177795
2004-10-01,1572989371
2004-10-04,1568545898
2004-10-05,1565583583
2004-10-06,1587800947
2004-10-07,1562621268
2004-10-08,1546328534
2004-10-11,1546328534
2004-10-12,1531516958
2004-10-13,1476714127
2004-10-14,1493006860
2004-10-15,1530035800
2004-10-18,1519667697
2004-10-19,1482638757
2004-10-20,1522630012
2004-10-21,1513743067
2004-10-22,1497450333
2004-10-25,1522630012
2004-10-26,1567064740
2004-10-27,1418948980
2004-10-28,1420430138
