,EQ
2020-02-24,96594030
2020-02-25,94135273
2020-02-26,93257145
2020-02-27,89393384
2020-02-28,84475870
2020-03-02,89569010
2020-03-03,84124619
2020-03-04,85880874
2020-03-05,84124619
2020-03-06,90271512
2020-03-09,74640841
2020-03-10,63225183
2020-03-11,61468928
2020-03-12,61117677
2020-03-13,52336401
2020-03-16,42501373
2020-03-17,57078290
2020-03-18,51985150
2020-03-19,69196450
2020-03-20,56727039
2020-03-23,49175142
2020-03-24,40393867
2020-03-25,46540760
2020-03-26,48121389
2020-03-27,46013883
2020-03-30,45662632
2020-03-31,47947301
2020-04-01,43877972
2020-04-02,43347190
2020-04-03,41400990
2020-04-06,42462554
2020-04-07,41931772
2020-04-08,42993336
2020-04-09,44762609
2020-04-13,44939536
2020-04-14,52370483
2020-04-15,44231827
2020-04-16,48301155
2020-04-17,48301155
2020-04-20,46885737
2020-04-21,44231827
2020-04-22,43347190
2020-04-23,49008864
2020-04-24,50424283
2020-04-27,51485847
2020-04-28,47770373
2020-04-29,50601210
2020-04-30,48301155
2020-05-01,44585682
2020-05-04,46001100
2020-05-05,47416519
2020-05-06,47416519
2020-05-07,52724338
2020-05-08,58562939
2020-05-11,56970593
2020-05-12,59270648
2020-05-13,53785902
2020-05-14,50424283
2020-05-15,52724338
2020-05-18,47062664
2020-05-19,49539646
2020-05-20,52901265
2020-05-21,54316684
2020-05-22,54493611
2020-05-26,58209084
2020-05-27,62455340
2020-05-28,62455340
2020-05-29,61039921
2020-06-01,62101485
2020-06-02,60155285
2020-06-03,57324448
2020-06-04,53785902
2020-06-05,52370483
2020-06-08,53078193
2020-06-09,53078193
2020-06-10,50247356
2020-06-11,49008864
2020-06-12,47593446
2020-06-15,51131992
2020-06-16,50778137
2020-06-17,48124228
2020-06-18,48831937
2020-06-19,48301155
2020-06-22,46354955
2020-06-23,46531882
2020-06-24,47593446
2020-06-25,47770373
2020-06-26,50955065
2020-06-29,50070428
2020-06-30,63054008
2020-07-01,59847871
2020-07-02,59420387
2020-07-06,60489099
2020-07-07,60489099
2020-07-08,59847871
2020-07-09,70962476
2020-07-10,68183825
2020-07-13,566417360
2020-07-14,298811875
2020-07-15,370415579
2020-07-16,315697524
2020-07-17,296246966
2020-07-20,291544633
2020-07-21,271452848
2020-07-22,285987331
2020-07-23,283422422
2020-07-24,284491134
2020-07-27,270384136
2020-07-28,251361062
2020-07-29,244521305
2020-07-30,228490625
2020-07-31,206261416
2020-08-03,215879824
2020-08-04,221650868
2020-08-05,227208171
2020-08-06,208398840
2020-08-07,202627795
2020-08-10,214811112
2020-08-11,216093566
2020-08-12,191726932
2020-08-13,188520796
2020-08-14,154749497
2020-08-17,151970846
2020-08-18,146199801
2020-08-19,146413544
2020-08-20,146199801
2020-08-21,147054771
2020-08-24,143634892
2020-08-25,150474649
2020-08-26,146627286
2020-08-27,127817955
2020-08-28,129955379
2020-08-31,125894273
2020-09-01,116703350
2020-09-02,113924699
2020-09-03,110718563
2020-09-04,108153654
2020-09-08,110291078
2020-09-09,112214760
2020-09-10,109436108
2020-09-11,118840774
2020-09-14,122260652
2020-09-15,128459182
2020-09-16,135085196
2020-09-17,136153908
2020-09-18,137008878
2020-09-21,144917347
2020-09-22,134871454
2020-09-23,119909486
2020-09-24,119695743
2020-09-25,122901880
2020-09-28,120336971
2020-09-29,122688137
2020-09-30,142711216
2020-10-01,150378543
2020-10-02,148399878
2020-10-05,157303870
2020-10-06,152109874
2020-10-07,162745199
2020-10-08,155077872
2020-10-09,159529868
2020-10-12,152357208
2020-10-13,152109874
2020-10-14,151367875
2020-10-15,139495885
2020-10-16,152357208
2020-10-19,144689881
2020-10-20,140732550
2020-10-21,138753885
2020-10-22,143700548
2020-10-23,144442547
2020-10-26,139990551
2020-10-27,142463882
2020-10-28,134796555
2020-10-29,148399878
2020-10-30,157056537
2020-11-02,130591892
2020-11-03,125150563
2020-11-04,124655897
2020-11-05,120945900
2020-11-06,110063242
2020-11-09,87803261
2020-11-10,86071929
2020-11-11,124655897
2020-11-12,110805242
2020-11-13,112041907
2020-11-16,113278573
2020-11-17,110557909
2020-11-18,106353245
2020-11-19,115999237
2020-11-20,121440566
2020-11-23,129849893
2020-11-24,125892563
2020-11-25,121440566
2020-11-27,121687899
2020-11-30,128613227
2020-12-01,122677232
2020-12-02,124655897
2020-12-03,121935233
2020-12-04,121193233
2020-12-07,116741237
2020-12-08,119461901
2020-12-09,113525906
2020-12-10,117730569
2020-12-11,120203901
2020-12-14,119214568
2020-12-15,119214568
2020-12-16,121687899
2020-12-17,118472569
2020-12-18,122429899
2020-12-21,117235903
2020-12-22,119709234
2020-12-23,116246571
2020-12-24,115257238
2020-12-28,107837244
2020-12-29,152851874
2020-12-30,134549222
2020-12-31,146190740
2021-01-04,137446621
2021-01-05,144551217
2021-01-06,137993128
2021-01-07,146463993
2021-01-08,144551217
2021-01-11,142091934
2021-01-12,144277964
2021-01-13,151929068
2021-01-14,144277964
2021-01-15,142091934
2021-01-19,150562799
2021-01-20,150016292
2021-01-21,156301127
2021-01-22,164225485
2021-01-25,185812529
2021-01-26,174335873
2021-01-27,161219694
2021-01-28,166958022
2021-01-29,156574381
2021-02-01,166958022
2021-02-02,166958022
2021-02-03,180893962
2021-02-04,212864647
2021-02-05,231992408
2021-02-08,254945720
2021-02-09,242102795
2021-02-10,262596824
2021-02-11,284730376
2021-02-12,286916406
2021-02-16,268335153
2021-02-17,253032944
2021-02-18,252486437
2021-02-19,253032944
2021-02-22,253579452
2021-02-23,224887811
2021-02-24,214777423
2021-02-25,207399573
2021-02-26,192643872
2021-03-01,204120528
2021-03-02,196742678
2021-03-03,196469424
2021-03-04,182806738
2021-03-05,184446261
2021-03-08,184173007
2021-03-09,209312349
2021-03-10,205213543
2021-03-11,215323931
2021-03-12,216143692
2021-03-15,226800587
2021-03-16,212591394
2021-03-17,221882020
2021-03-18,213957662
2021-03-19,213137901
2021-03-22,225161065
2021-03-23,204940290
2021-03-24,188271813
2021-03-25,187452051
2021-03-26,195649663
2021-03-29,178981186
2021-03-30,180620708
2021-03-31,207897418
2021-04-01,210514308
2021-04-05,203245168
2021-04-06,199465215
2021-04-07,200628277
2021-04-08,205862058
2021-04-09,203245168
2021-04-12,191323777
2021-04-13,190742246
2021-04-14,195394496
2021-04-15,191614543
2021-04-16,193068371
2021-04-19,195976027
2021-04-20,168062528
2021-04-21,171842481
2021-04-22,171260950
2021-04-23,176494731
2021-04-26,178530090
2021-04-27,178820856
2021-04-28,195394496
2021-04-29,189869949
2021-04-30,188416121
2021-05-03,185508465
2021-05-04,174459372
2021-05-05,172714778
2021-05-06,173296309
2021-05-07,175331668
2021-05-10,158467262
2021-05-11,153815012
2021-05-12,148581231
2021-05-13,152651950
2021-05-14,157594966
2021-05-17,166317934
2021-05-18,182891574
2021-05-19,178239325
2021-05-20,192777606
2021-05-21,184054637
2021-05-24,181146981
2021-05-25,190160715
2021-05-26,190451481
2021-05-27,197139090
2021-05-28,190742246
2021-06-01,191905309
2021-06-02,189869949
2021-06-03,195685262
2021-06-04,201500574
2021-06-07,215457324
2021-06-08,222144933
2021-06-09,207025121
2021-06-10,202954402
2021-06-11,178239325
2021-06-14,174168606
2021-06-15,175913200
2021-06-16,170097887
2021-06-17,173005543
2021-06-18,171551715
2021-06-21,173296309
2021-06-22,171551715
2021-06-23,173877840
2021-06-24,174459372
2021-06-25,170097887
2021-06-28,167480997
2021-06-29,163701044
2021-06-30,173064727
2021-07-01,169832618
2021-07-02,168951134
2021-07-06,167188166
2021-07-07,162193089
2021-07-08,158667152
2021-07-09,162780745
2021-07-12,165719025
2021-07-13,171889415
2021-07-14,166600510
2021-07-15,172770899
2021-07-16,164543713
2021-07-19,165131369
2021-07-20,167188166
2021-07-21,166306681
2021-07-22,165425197
2021-07-23,158960980
2021-07-26,161605433
2021-07-27,171595587
2021-07-28,161311604
2021-07-29,163074573
2021-07-30,159254808
2021-08-02,171889415
2021-08-03,171007930
2021-08-04,170126446
2021-08-05,177765976
2021-08-06,177178320
2021-08-09,174827695
2021-08-10,178941288
2021-08-11,179528944
2021-08-12,178941288
2021-08-13,178647460
2021-08-16,170714102
2021-08-17,152790591
2021-08-18,154847387
2021-08-19,148383170
2021-08-20,142212781
2021-08-23,180410428
2021-08-24,177765976
2021-08-25,176884492
2021-08-26,196864800
2021-08-27,183348709
2021-08-30,179822772
2021-08-31,180704256
2021-09-01,177178320
2021-09-02,178647460
2021-09-03,176884492
2021-09-07,166012853
2021-09-08,168363478
2021-09-09,170714102
2021-09-10,171595587
2021-09-13,164543713
2021-09-14,158667152
2021-09-15,172477071
2021-09-16,174240039
2021-09-17,187462302
2021-09-20,176590664
2021-09-21,191575895
2021-09-22,197746284
2021-09-23,202153705
2021-09-24,203035189
2021-09-27,198627768
2021-09-28,195101831
2021-09-29,180704256
2021-09-30,200584670
2021-10-01,189702510
2021-10-04,186173161
2021-10-05,205584581
2021-10-06,200878782
2021-10-07,186173161
2021-10-08,177055676
2021-10-11,176467452
2021-10-12,175585114
2021-10-13,175879227
2021-10-14,172349878
2021-10-15,173820440
2021-10-18,168232304
2021-10-19,168232304
2021-10-20,172643990
2021-10-21,177349789
2021-10-22,172349878
2021-10-25,167349966
2021-10-26,165585292
2021-10-27,170291091
2021-10-28,173232215
2021-10-29,185584937
2021-11-01,183232037
2021-11-02,190290735
2021-11-03,194114197
2021-11-04,194702422
2021-11-05,191467185
2021-11-08,191761297
2021-11-09,192937747
2021-11-10,182937925
2021-11-11,166761742
2021-11-12,163232393
2021-11-15,164997067
2021-11-16,160585381
2021-11-17,159114819
2021-11-18,152938458
2021-11-19,154409020
2021-11-22,152644345
2021-11-23,152350233
2021-11-24,158526594
2021-11-26,159114819
2021-11-29,151467896
2021-11-30,154409020
2021-12-01,139997511
2021-12-02,139703399
2021-12-03,143526860
2021-12-06,129409464
2021-12-07,131468251
2021-12-08,145291535
2021-12-09,139997511
2021-12-10,140879849
2021-12-13,136762275
2021-12-14,130585914
2021-12-15,139409287
2021-12-16,133527038
2021-12-17,126762453
2021-12-20,128821239
2021-12-21,124409553
2021-12-22,118233192
2021-12-23,132056476
2021-12-27,120880204
2021-12-28,117939080
2021-12-29,120880204
2021-12-30,118821417
2021-12-31,120134001
2022-01-03,133517630
2022-01-04,114716818
2022-01-05,108662320
2022-01-06,110574267
2022-01-07,110255609
2022-01-10,110574267
2022-01-11,114079503
2022-01-12,114716818
2022-01-13,119815344
2022-01-14,116947423
2022-01-18,117903397
2022-01-19,123001922
2022-01-20,123639238
2022-01-21,125869842
2022-01-24,126507158
2022-01-25,127463132
2022-01-26,130649710
2022-01-27,124276553
2022-01-28,116310107
2022-01-31,124913869
2022-02-01,125869842
2022-02-02,127781789
2022-02-03,125551185
2022-02-04,128737763
2022-02-07,127463132
2022-02-08,130649710
2022-02-09,131924341
2022-02-10,129056421
2022-02-11,129375078
2022-02-14,119815344
2022-02-15,127463132
2022-02-16,132880315
2022-02-17,133517630
2022-02-18,116947423
2022-02-22,117584739
2022-02-23,117903397
2022-02-24,120771317
2022-02-25,126825816
2022-02-28,119815344
2022-03-01,114398160
2022-03-02,114398160
2022-03-03,111530240
2022-03-04,110892924
2022-03-07,110574267
2022-03-08,106113057
2022-03-09,113760845
2022-03-10,111530240
2022-03-11,111530240
2022-03-14,104838426
2022-03-15,104519768
2022-03-16,104201110
2022-03-17,105157083
2022-03-18,104838426
2022-03-21,104838426
2022-03-22,104838426
2022-03-23,105157083
2022-03-24,104838426
2022-03-25,103882452
2022-03-28,95278691
2022-03-29,95597349
2022-03-30,101014532
2022-03-31,108021822
2022-04-01,109393527
2022-04-04,111451086
2022-04-05,111794012
2022-04-06,108021822
2022-04-07,107335969
2022-04-08,107335969
2022-04-11,106650116
2022-04-12,105964263
2022-04-13,105964263
2022-04-14,102192073
2022-04-18,105278410
2022-04-19,102192073
2022-04-20,102534999
2022-04-21,105278410
2022-04-22,101163293
2022-04-25,99448661
2022-04-26,97734029
2022-04-27,93618912
2022-04-28,92933059
2022-04-29,83674046
2022-05-02,86417457
2022-05-03,87446237
2022-05-04,88475016
2022-05-05,89160869
2022-05-06,86760384
2022-05-09,81616487
2022-05-10,76815518
2022-05-11,74757959
2022-05-12,76815518
2022-05-13,77501370
2022-05-16,76815518
2022-05-17,85045752
2022-05-18,90189648
2022-05-19,86760384
2022-05-20,85731605
2022-05-23,97048176
2022-05-24,88817942
2022-05-25,85731605
2022-05-26,85045752
2022-05-27,85388678
2022-05-31,85731605
2022-06-01,83331120
2022-06-02,82988193
2022-06-03,86417457
2022-06-06,85731605
2022-06-07,83331120
2022-06-08,86760384
2022-06-09,78873076
2022-06-10,74757959
2022-06-13,69271136
2022-06-14,69271136
2022-06-15,72014548
2022-06-16,72014548
2022-06-17,60012123
2022-06-21,62755534
2022-06-22,57954564
2022-06-23,57954564
2022-06-24,58297491
2022-06-27,59669197
2022-06-28,66184799
2022-06-29,61726755
2022-06-30,70078251
2022-07-01,72482897
2022-07-05,69047688
2022-07-06,77292189
2022-07-07,77979230
2022-07-08,79009793
2022-07-11,75231063
2022-07-12,74887543
2022-07-13,76605147
2022-07-14,77979230
2022-07-15,77292189
2022-07-18,72826418
2022-07-19,70078251
2022-07-20,70078251
2022-07-21,68017126
2022-07-22,68704168
2022-07-25,72482897
2022-07-26,71108813
2022-07-27,71795855
2022-07-28,75231063
2022-07-29,75918105
2022-08-01,76605147
2022-08-02,76605147
2022-08-03,75918105
2022-08-04,81757959
2022-08-05,92750626
2022-08-08,90002460
2022-08-09,83475564
2022-08-10,93437668
2022-08-11,94124710
2022-08-12,96872876
2022-08-15,99277522
2022-08-16,98246960
2022-08-17,107865543
2022-08-18,92750626
2022-08-19,95155272
2022-08-22,95498793
2022-08-23,93094147
2022-08-24,97216397
2022-08-25,98590481
2022-08-26,100651606
2022-08-29,97903439
2022-08-30,95842314
2022-08-31,93437668
2022-09-01,93437668
2022-09-02,95155272
2022-09-06,93781189
2022-09-07,82788522
2022-09-08,76261626
2022-09-09,78322751
2022-09-12,78322751
2022-09-13,76605147
2022-09-14,72139376
2022-09-15,75231063
2022-09-16,77635709
2022-09-19,77979230
2022-09-20,76605147
2022-09-21,75574584
2022-09-22,68704168
2022-09-23,69047688
2022-09-26,66299522
2022-09-27,81414439
2022-09-28,76605147
2022-09-29,78666272
2022-09-30,76294575
2022-10-03,77669252
2022-10-04,68733852
2022-10-05,68390182
2022-10-06,71826875
2022-10-07,71139536
2022-10-10,66328167
2022-10-11,65640828
2022-10-12,65640828
2022-10-13,65297159
2022-10-14,63235143
2022-10-17,64953490
2022-10-18,59798451
2022-10-19,63235143
2022-10-20,61516797
2022-10-21,60142120
2022-10-24,58767443
2022-10-25,57049097
2022-10-26,57049097
2022-10-27,59454781
2022-10-28,60142120
2022-10-31,63922482
2022-11-01,61860466
2022-11-02,59454781
2022-11-03,58767443
2022-11-04,58767443
2022-11-07,60829459
2022-11-08,59111112
2022-11-09,56705427
2022-11-10,58423774
2022-11-11,58423774
2022-11-14,59111112
2022-11-15,62204136
2022-11-16,62204136
2022-11-17,61516797
2022-11-18,61860466
2022-11-21,60829459
2022-11-22,58080104
2022-11-23,57736435
2022-11-25,58080104
2022-11-28,57736435
2022-11-29,56705427
2022-11-30,57049097
2022-12-01,54987081
2022-12-02,57049097
2022-12-05,56705427
2022-12-06,57049097
2022-12-07,52237727
2022-12-08,51206719
2022-12-09,48113696
2022-12-12,42958657
2022-12-13,43302326
2022-12-14,41927649
2022-12-15,41240311
2022-12-16,39521964
2022-12-19,37803618
2022-12-20,33335918
2022-12-21,34366926
2022-12-22,30930233
2022-12-23,30586564
2022-12-27,28868217
2022-12-28,28524548
2022-12-29,30242894
2022-12-30,36428941
2023-01-03,36478997
2023-01-04,40608695
2023-01-05,39920412
2023-01-06,39576271
2023-01-09,39232129
2023-01-10,39920412
2023-01-11,39232129
2023-01-12,40608695
2023-01-13,37855563
2023-01-17,37167280
2023-01-18,38199705
2023-01-19,37855563
2023-01-20,36478997
2023-01-23,34758290
2023-01-24,35102431
2023-01-25,34414149
2023-01-26,35790714
2023-01-27,34758290
2023-01-30,34414149
2023-01-31,37167280
2023-02-01,40608695
2023-02-02,41296978
2023-02-03,39920412
2023-02-06,41296978
2023-02-07,42329403
2023-02-08,42673544
2023-02-09,38199705
2023-02-10,39232129
2023-02-13,38887988
2023-02-14,40264554
2023-02-15,39576271
2023-02-16,39576271
2023-02-17,38199705
2023-02-21,35446573
2023-02-22,33725866
2023-02-23,33725866
2023-02-24,31316875
2023-02-27,30628592
2023-02-28,31661017
2023-03-01,32005158
2023-03-02,31316875
2023-03-03,30628592
2023-03-06,31661017
2023-03-07,30284451
2023-03-08,27875460
2023-03-09,26843036
2023-03-10,19271923
2023-03-13,19271923
2023-03-14,20992630
2023-03-15,20648489
2023-03-16,21680913
2023-03-17,21680913
2023-03-20,22713338
2023-03-21,22713338
2023-03-22,22369196
2023-03-23,22369196
2023-03-24,25122328
2023-03-27,24434045
2023-03-28,24778187
2023-03-29,24434045
2023-03-30,24778187
2023-03-31,25148331
2023-04-03,25837326
2023-04-04,27215317
2023-04-05,25837326
2023-04-06,25492829
2023-04-10,25148331
2023-04-11,24803833
2023-04-12,25492829
2023-04-13,25837326
2023-04-14,24459335
2023-04-17,25148331
2023-04-18,24114838
2023-04-19,22392349
2023-04-20,23425842
2023-04-21,21358856
2023-04-24,21014359
2023-04-25,21014359
2023-04-26,20669861
2023-04-27,21358856
2023-04-28,21358856
2023-05-01,20669861
2023-05-02,19291870
2023-05-03,19291870
2023-05-04,18602875
2023-05-05,18258377
2023-05-08,18947372
2023-05-09,16880386
2023-05-10,19291870
2023-05-11,19636368
2023-05-12,19980866
2023-05-15,23425842
2023-05-16,20669861
2023-05-17,19980866
2023-05-18,20325363
2023-05-19,21358856
2023-05-22,22392349
2023-05-23,22736847
2023-05-24,22392349
2023-05-25,22392349
2023-05-26,22047852
2023-05-30,22047852
2023-05-31,21358856
2023-06-01,21358856
2023-06-02,21703354
2023-06-05,22047852
2023-06-06,22047852
2023-06-07,22047852
2023-06-08,22047852
2023-06-09,22736847
2023-06-12,24459335
2023-06-13,26526322
2023-06-14,24114838
2023-06-15,24803833
2023-06-16,25148331
2023-06-20,25492829
2023-06-21,26870819
2023-06-22,26526322
2023-06-23,24459335
2023-06-26,25837326
2023-06-27,24459335
2023-06-28,24803833
2023-06-29,25837326
2023-06-30,26159025
2023-07-03,27205386
2023-07-05,26507812
2023-07-06,28251747
2023-07-07,31390830
2023-07-10,30344469
2023-07-11,28949321
2023-07-12,30344469
2023-07-13,30344469
2023-07-14,30344469
2023-07-17,29646895
2023-07-18,29646895
2023-07-19,29298108
2023-07-20,28949321
2023-07-21,28600534
2023-07-24,27554173
2023-07-25,26159025
2023-07-26,26159025
2023-07-27,25810238
2023-07-28,25810238
2023-07-31,25810238
2023-08-01,25810238
2023-08-02,26159025
2023-08-03,26856599
2023-08-04,27902960
2023-08-07,28600534
2023-08-08,26856599
2023-08-09,26856599
2023-08-10,27902960
2023-08-11,28251747
2023-08-14,27554173
2023-08-15,25810238
2023-08-16,28600534
2023-08-17,29298108
2023-08-18,29298108
2023-08-21,29298108
2023-08-22,29646895
2023-08-23,29995682
2023-08-24,29995682
2023-08-25,28949321
2023-08-28,28600534
2023-08-29,27902960
2023-08-30,27902960
2023-08-31,28251747
2023-09-01,27554173
2023-09-05,28600534
2023-09-06,27902960
2023-09-07,28426140
2023-09-08,28691218
2023-09-11,27902960
2023-09-12,27759957
2023-09-13,27212361
2023-09-14,27892496
2023-09-15,28952808
2023-09-18,28600534
2023-09-19,28028523
2023-09-20,27397218
2023-09-21,27868081
2023-09-22,27554173
2023-09-25,26162512
2023-09-26,25133591
2023-09-27,25287057
2023-09-28,25321936
2023-09-29,25810238
2023-10-02,25482499
2023-10-03,25345402
2023-10-04,26009796
2023-10-05,25071208
2023-10-06,25658265
2023-10-09,25370009
2023-10-10,24536880
2023-10-11,22884683
2023-10-12,23201061
2023-10-13,23236214
2023-10-16,24782952
2023-10-17,24607186
2023-10-18,23833818
2023-10-19,23433072
2023-10-20,20849317
2023-10-23,20525909
2023-10-24,18982686
2023-10-25,18102101
2023-10-26,18279624
2023-10-27,18455390
2023-10-30,18606548
2023-10-31,17752327
