,AMG
2001-05-08,1245956527
2001-05-09,1244629983
2001-05-10,1249936159
2001-05-11,1226390001
2001-05-14,1216109285
2001-05-15,1238992170
2001-05-16,1271160864
2001-05-17,1292385569
2001-05-18,1272487408
2001-05-21,1277130313
2001-05-22,1295701930
2001-05-23,1273813952
2001-05-24,1291722297
2001-05-25,1309962279
2001-05-29,1269171048
2001-05-30,1253584155
2001-05-31,1238660534
2001-06-01,1282436489
2001-06-04,1309299006
2001-06-05,1337819704
2001-06-06,1321569539
2001-06-07,1363355678
2001-06-08,1393202920
2001-06-11,1366672038
2001-06-12,1399835640
2001-06-13,1397182552
2001-06-14,1358381137
2001-06-15,1397182552
2001-06-18,1348763693
2001-06-19,1360702590
2001-06-20,1392539647
2001-06-21,1385906927
2001-06-22,1396850916
2001-06-25,1374962938
2001-06-26,1395856008
2001-06-27,1392871284
2001-06-28,1412769445
2001-06-29,1359707682
2001-07-02,1371725687
2001-07-03,1375052695
2001-07-05,1383037516
2001-07-06,1339786403
2001-07-09,1315166539
2001-07-10,1279900246
2001-07-11,1275242434
2001-07-12,1301858504
2001-07-13,1317495445
2001-07-16,1288550469
2001-07-17,1301525803
2001-07-18,1295204486
2001-07-19,1266592212
2001-07-20,1293873683
2001-07-23,1313170333
2001-07-24,1288550469
2001-07-25,1297533393
2001-07-26,1395347448
2001-07-27,1507800342
2001-07-30,1470537845
2001-07-31,1502477128
2001-08-01,1519444873
2001-08-02,1511460052
2001-08-03,1519444873
2001-08-06,1486174786
2001-08-07,1491830701
2001-08-08,1460556819
2001-08-09,1448246887
2001-08-10,1425290527
2001-08-13,1461554921
2001-08-14,1477524563
2001-08-15,1458227913
2001-08-16,1455566306
2001-08-17,1421630817
2001-08-20,1433940749
2001-08-21,1436269655
2001-08-22,1491498000
2001-08-23,1483513179
2001-08-24,1524768087
2001-08-27,1508133043
2001-08-28,1466878135
2001-08-29,1492828803
2001-08-30,1594635269
2001-08-31,1572677012
2001-09-04,1546060942
2001-09-05,1538076122
2001-09-06,1497153915
2001-09-07,1478522666
2001-09-10,1473199452
2001-09-17,1364406267
2001-09-18,1371725687
2001-09-19,1286554264
2001-09-20,1220014090
2001-09-21,1244301253
2001-09-24,1341782608
2001-09-25,1310508726
2001-09-26,1297533393
2001-09-27,1243968552
2001-09-28,1259938194
2001-10-01,1262153812
2001-10-02,1268487917
2001-10-03,1377834576
2001-10-04,1360499130
2001-10-05,1327828482
2001-10-08,1290157225
2001-10-09,1344497180
2001-10-10,1388502543
2001-10-11,1439175385
2001-10-12,1414505712
2001-10-15,1398170388
2001-10-16,1426840548
2001-10-17,1391169535
2001-10-18,1383501934
2001-10-19,1377834576
2001-10-22,1420173069
2001-10-23,1407504859
2001-10-24,1426840548
2001-10-25,1472512781
2001-10-26,1433841401
2001-10-29,1405171241
2001-10-30,1388502543
2001-10-31,1371167097
2001-11-01,1389836039
2001-11-02,1431174410
2001-11-05,1442509124
2001-11-06,1474513025
2001-11-07,1480180382
2001-11-08,1485847739
2001-11-09,1466845424
2001-11-12,1465845302
2001-11-13,1500182820
2001-11-14,1551189035
2001-11-15,1539520947
2001-11-16,1511184160
2001-11-19,1528852980
2001-11-20,1509183916
2001-11-21,1520852005
2001-11-23,1536853955
2001-11-26,1562857124
2001-11-27,1530186476
2001-11-28,1485847739
2001-11-29,1537187329
2001-11-30,1507850421
2001-12-03,1481180504
2001-12-04,1511184160
2001-12-05,1577858952
2001-12-06,1605862365
2001-12-07,1629865290
2001-12-10,1584526431
2001-12-11,1573525091
2001-12-12,1591193911
2001-12-13,1600195008
2001-12-14,1581526066
2001-12-17,1624531307
2001-12-18,1559856758
2001-12-19,1556523019
2001-12-20,1551189035
2001-12-21,1542521312
2001-12-24,1541187817
2001-12-26,1542854686
2001-12-27,1535187085
2001-12-28,1552855905
2001-12-31,1566524238
2002-01-02,1564523994
2002-01-03,1589860415
2002-01-04,1600195008
2002-01-07,1599861634
2002-01-08,1585859927
2002-01-09,1596527894
2002-01-10,1595527772
2002-01-11,1585526553
2002-01-14,1553189279
2002-01-15,1564523994
2002-01-16,1550522287
2002-01-17,1539187573
2002-01-18,1530186476
2002-01-22,1514184526
2002-01-23,1486847861
2002-01-24,1527852858
2002-01-25,1533186842
2002-01-28,1525852614
2002-01-29,1456844205
2002-01-30,1485180991
2002-01-31,1528519606
2002-02-01,1555189523
2002-02-04,1522518875
2002-02-05,1522518875
2002-02-06,1511184160
2002-02-07,1504516681
2002-02-08,1558523263
2002-02-11,1555522897
2002-02-12,1511184160
2002-02-13,1551189035
2002-02-14,1554856149
2002-02-15,1529519728
2002-02-19,1497182454
2002-02-20,1514517900
2002-02-21,1465845302
2002-02-22,1472179407
2002-02-25,1491515097
2002-02-26,1496849080
2002-02-27,1489514853
2002-02-28,1480847130
2002-03-01,1555856271
2002-03-04,1623531185
2002-03-05,1636532769
2002-03-06,1631532160
2002-03-07,1621864315
2002-03-08,1627531672
2002-03-11,1628531794
2002-03-12,1617863827
2002-03-13,1578859074
2002-03-14,1611529722
2002-03-15,1603862121
2002-03-18,1626531550
2002-03-19,1620864193
2002-03-20,1600528381
2002-03-21,1621864315
2002-03-22,1608862730
2002-03-25,1564190620
2002-03-26,1594527650
2002-03-27,1599194886
2002-03-28,1596527894
2002-04-01,1583834111
2002-04-02,1578506942
2002-04-03,1569517343
2002-04-04,1561859537
2002-04-05,1567186706
2002-04-08,1571515032
2002-04-09,1561859537
2002-04-10,1571515032
2002-04-11,1508254893
2002-04-12,1528231779
2002-04-15,1507256048
2002-04-16,1550539301
2002-04-17,1545878028
2002-04-18,1534557792
2002-04-19,1523903453
2002-04-22,1502594775
2002-04-23,1437336947
2002-04-24,1426016712
2002-04-25,1425017868
2002-04-26,1409369307
2002-04-29,1389392421
2002-04-30,1411699944
2002-05-01,1415695321
2002-05-02,1434340414
2002-05-03,1430677985
2002-05-06,1414030580
2002-05-07,1428347349
2002-05-08,1516245647
2002-05-09,1476624823
2002-05-10,1443330013
2002-05-13,1475958927
2002-05-14,1507256048
2002-05-15,1535223689
2002-05-16,1513249114
2002-05-17,1522238713
2002-05-20,1489942747
2002-05-21,1463639847
2002-05-22,1480953148
2002-05-23,1579172838
2002-05-24,1547875716
2002-05-28,1548541613
2002-05-29,1547209820
2002-05-30,1525901142
2002-05-31,1540550858
2002-06-03,1525568194
2002-06-04,1509253737
2002-06-05,1509253737
2002-06-06,1481951993
2002-06-07,1479288408
2002-06-10,1491607488
2002-06-11,1442664117
2002-06-12,1442664117
2002-06-13,1436338103
2002-06-14,1447991286
2002-06-17,1488943903
2002-06-18,1499931190
2002-06-19,1463306899
2002-06-20,1431676830
2002-06-21,1422021335
2002-06-24,1392388954
2002-06-25,1381401666
2002-06-26,1361757729
2002-06-27,1353434026
2002-06-28,1365087210
2002-07-01,1373261733
2002-07-02,1312140249
2002-07-03,1267449271
2002-07-05,1321669942
2002-07-08,1291437810
2002-07-09,1238860190
2002-07-10,1202713075
2002-07-11,1196140873
2002-07-12,1179381756
2002-07-15,1149806844
2002-07-16,1149806844
2002-07-17,1150135455
2002-07-18,1084413429
2002-07-19,956255478
2002-07-22,969071273
2002-07-23,887575961
2002-07-24,937524700
2002-07-25,946725784
2002-07-26,974986255
2002-07-29,1068968752
2002-07-30,1055824347
2002-07-31,1034464689
2002-08-01,1026249435
2002-08-02,972685984
2002-08-05,949683275
2002-08-06,970385713
2002-08-07,981558458
2002-08-08,1057138788
2002-08-09,1056481567
2002-08-12,1049909365
2002-08-13,1020991673
2002-08-14,1068968752
2002-08-15,1080798717
2002-08-16,1088685360
2002-08-19,1128118576
2002-08-20,1095914783
2002-08-21,1169852062
2002-08-22,1193840602
2002-08-23,1176424265
2002-08-26,1177410095
2002-08-27,1154407386
2002-08-28,1133376338
2002-08-29,1158350708
2002-08-30,1147835184
2002-09-03,1081127327
2002-09-04,1125489695
2002-09-05,1085399259
2002-09-06,1117603052
2002-09-09,1126804135
2002-09-10,1113988340
2002-09-11,1126146915
2002-09-12,1097557834
2002-09-13,1093614512
2002-09-16,1086056479
2002-09-17,1047280484
2002-09-18,1039065231
2002-09-19,983530119
2002-09-20,990102321
2002-09-23,962499070
2002-09-24,976957916
2002-09-25,990430931
2002-09-26,1011461980
2002-09-27,988459271
2002-09-30,954303752
2002-10-01,1002115204
2002-10-02,979974330
2002-10-03,936976111
2002-10-04,867344667
2002-10-07,846166440
2002-10-08,867344667
2002-10-09,843920264
2002-10-10,883067896
2002-10-11,930879349
2002-10-14,953020223
2002-10-15,1013025200
2002-10-16,1000189910
2002-10-17,1058911359
2002-10-18,1061799299
2002-10-21,1062120181
2002-10-22,1035486956
2002-10-23,1070463119
2002-10-24,1062441063
2002-10-25,1102872224
2002-10-28,1091962228
2002-10-29,1084261055
2002-10-30,1112498691
2002-10-31,1110573398
2002-11-01,1117632807
2002-11-04,1157422203
2002-11-05,1133997800
2002-11-06,1136885740
2002-11-07,1111856926
2002-11-08,1090678699
2002-11-11,1069179590
2002-11-12,1067254296
2002-11-13,1067575179
2002-11-14,1076880763
2002-11-15,1080410468
2002-11-18,1065329003
2002-11-19,1068858708
2002-11-20,1102872224
2002-11-21,1149721030
2002-11-22,1171220139
2002-11-25,1155176028
2002-11-26,1125654862
2002-11-27,1164481612
2002-11-29,1166086023
2002-12-02,1168332199
2002-12-03,1140094563
2002-12-04,1136885740
2002-12-05,1101588695
2002-12-06,1129505449
2002-12-09,1090678699
2002-12-10,1090036935
2002-12-11,1101909577
2002-12-12,1118916336
2002-12-13,1105760164
2002-12-16,1135602211
2002-12-17,1136243976
2002-12-18,1106081046
2002-12-19,1082014879
2002-12-20,1106401929
2002-12-23,1110573398
2002-12-24,1099663402
2002-12-26,1112498691
2002-12-27,1090036935
2002-12-30,1066291650
2002-12-31,1075918117
2003-01-02,1123087805
2003-01-03,1098379873
2003-01-06,1141378092
2003-01-07,1158705732
2003-01-08,1144586914
2003-01-09,1168653081
2003-01-10,1175391608
2003-01-13,1182451017
2003-01-14,1165765141
2003-01-15,1155176028
2003-01-16,1164481612
2003-01-17,1141378092
2003-01-21,1115707513
2003-01-22,1084902819
2003-01-23,1073992823
2003-01-24,1032919898
2003-01-27,1015913140
2003-01-28,1022651667
2003-01-29,994734913
2003-01-30,980295212
2003-01-31,993451384
2003-02-03,1011741671
2003-02-04,975481979
2003-02-05,980295212
2003-02-06,961042278
2003-02-07,937938758
2003-02-10,960400514
2003-02-11,961684043
2003-02-12,950774047
2003-02-13,949811400
2003-02-14,954624634
2003-02-18,977728154
2003-02-19,943072873
2003-02-20,936013464
2003-02-21,936013464
2003-02-24,932804642
2003-02-25,931521113
2003-02-26,915156119
2003-02-27,909701122
2003-02-28,907134064
2003-03-03,897507597
2003-03-04,882426132
2003-03-05,874404076
2003-03-06,861889669
2003-03-07,864135845
2003-03-10,827234388
2003-03-11,800280281
2003-03-12,791616461
2003-03-13,855151142
2003-03-14,850337909
2003-03-17,886597601
2003-03-18,912268179
2003-03-19,907775828
2003-03-20,928312291
2003-03-21,949490518
2003-03-24,907134064
2003-03-25,920611117
2003-03-26,931521113
2003-03-27,920290235
2003-03-28,909059357
2003-03-31,874720877
2003-04-01,893345392
2003-04-02,954269654
2003-04-03,957742021
2003-04-04,950797287
2003-04-07,959951709
2003-04-08,948271929
2003-04-09,947009250
2003-04-10,943221213
2003-04-11,933751120
2003-04-14,951112956
2003-04-15,970053141
2003-04-16,972262830
2003-04-17,968159123
2003-04-21,960583049
2003-04-22,994044042
2003-04-23,981732922
2003-04-24,958057691
2003-04-25,939748845
2003-04-28,956163672
2003-04-29,965002425
2003-04-30,974472518
2003-05-01,964371086
2003-05-02,982364262
2003-05-05,985205289
2003-05-06,992781363
2003-05-07,1002882795
2003-05-08,990256005
2003-05-09,990256005
2003-05-12,1010143200
2003-05-13,996569400
2003-05-14,992781363
2003-05-15,1023716999
2003-05-16,1031293073
2003-05-19,1011090209
2003-05-20,1006986502
2003-05-21,1017087934
2003-05-22,1026242357
2003-05-23,1039184817
2003-05-27,1049286249
2003-05-28,1100424748
2003-05-29,1115261226
2003-05-30,1157560973
2003-06-02,1208699472
2003-06-03,1210593491
2003-06-04,1247842521
2003-06-05,1253208907
2003-06-06,1266151367
2003-06-09,1249105200
2003-06-10,1270886413
2003-06-11,1306557095
2003-06-12,1322340582
2003-06-13,1317289866
2003-06-16,1355170236
2003-06-17,1364008989
2003-06-18,1355170236
2003-06-19,1313186160
2003-06-20,1318552545
2003-06-23,1281303515
2003-06-24,1306557095
2003-06-25,1304347407
2003-06-26,1323603261
2003-06-27,1304978746
2003-06-30,1293796041
2003-07-01,1284243031
2003-07-02,1311946761
2003-07-03,1301756883
2003-07-07,1348566634
2003-07-08,1407476865
2003-07-09,1417348309
2003-07-10,1378180967
2003-07-11,1382957472
2003-07-14,1439638667
2003-07-15,1430722524
2003-07-16,1424990718
2003-07-17,1385186508
2003-07-18,1435499029
2003-07-21,1403337227
2003-07-22,1396968554
2003-07-23,1373404461
2003-07-24,1385186508
2003-07-25,1394421084
2003-07-28,1419895779
2003-07-29,1395694819
2003-07-30,1377862533
2003-07-31,1388689278
2003-08-01,1364169885
2003-08-04,1366398920
2003-08-05,1342197961
2003-08-06,1334237119
2003-08-07,1360985548
2003-08-08,1373404461
2003-08-11,1378180967
2003-08-12,1397923855
2003-08-13,1381046870
2003-08-14,1379773135
2003-08-15,1377225666
2003-08-18,1385186508
2003-08-19,1424353850
2003-08-20,1427856621
2003-08-21,1449828545
2003-08-22,1433269993
2003-08-25,1414163972
2003-08-26,1413845539
2003-08-27,1420214212
2003-08-28,1431359391
2003-08-29,1439320233
2003-09-02,1456515652
2003-09-03,1461610591
2003-09-04,1428493488
2003-09-05,1402063493
2003-09-08,1423080115
2003-09-09,1423716983
2003-09-10,1401108192
2003-09-11,1412890238
2003-09-12,1417029876
2003-09-15,1421169513
2003-09-16,1433269993
2003-09-17,1433906861
2003-09-18,1455560351
2003-09-19,1457470953
2003-09-22,1433588427
2003-09-23,1435180595
2003-09-24,1421487947
2003-09-25,1410979636
2003-09-26,1367672655
2003-09-29,1361940849
2003-09-30,1269097787
2003-10-01,1298195802
2003-10-02,1311835496
2003-10-03,1330627964
2003-10-06,1330931069
2003-10-07,1337599364
2003-10-08,1332143486
2003-10-09,1343055241
2003-10-10,1335477633
2003-10-13,1388520889
2003-10-14,1428530660
2003-10-15,1430652390
2003-10-16,1430046181
2003-10-17,1407010253
2003-10-20,1407919566
2003-10-21,1434895850
2003-10-22,1386096055
2003-10-23,1407313357
2003-10-24,1392158141
2003-10-27,1410344400
2003-10-28,1442776563
2003-10-29,1467328013
2003-10-30,1465509387
2003-10-31,1464903178
2003-11-03,1474602516
2003-11-04,1464903178
2003-11-05,1456416257
2003-11-06,1461872135
2003-11-07,1461265926
2003-11-10,1433683433
2003-11-11,1421862365
2003-11-12,1435805163
2003-11-13,1427924451
2003-11-14,1383065012
2003-11-17,1341539720
2003-11-18,1337599364
2003-11-19,1298195802
2003-11-20,1281221960
2003-11-21,1298802011
2003-11-24,1325778295
2003-11-25,1336993155
2003-11-26,1333355903
2003-11-28,1343661450
2003-12-01,1353360788
2003-12-02,1367909796
2003-12-03,1385186742
2003-12-04,1380337073
2003-12-05,1370334630
2003-12-08,1387308472
2003-12-09,1348814224
2003-12-10,1344267659
2003-12-11,1349723536
2003-12-12,1341842824
2003-12-15,1339721094
2003-12-16,1346086285
2003-12-17,1343661450
2003-12-18,1355785623
2003-12-19,1358816666
2003-12-22,1378215343
2003-12-23,1378215343
2003-12-24,1377912238
2003-12-26,1384580533
2003-12-29,1410950609
2003-12-30,1417922008
2003-12-31,1406100940
2004-01-02,1409738192
2004-01-05,1460053509
2004-01-06,1472783890
2004-01-07,1489757732
2004-01-08,1505519157
2004-01-09,1505519157
2004-01-12,1511581243
2004-01-13,1520674373
2004-01-14,1575233151
2004-01-15,1607968417
2004-01-16,1606149791
2004-01-20,1605846687
2004-01-21,1621911216
2004-01-22,1632822971
2004-01-23,1635550910
2004-01-26,1657071317
2004-01-27,1637066432
2004-01-28,1663436508
2004-01-29,1675863785
2004-01-30,1713448720
2004-02-02,1679197932
2004-02-03,1699202817
2004-02-04,1677076202
2004-02-05,1650706126
2004-02-06,1681016558
2004-02-09,1700112130
2004-02-10,1705568008
2004-02-11,1757095743
2004-02-12,1747699509
2004-02-13,1738000170
2004-02-17,1757095743
2004-02-18,1742546735
2004-02-19,1751033656
2004-02-20,1721935641
2004-02-23,1693746940
2004-02-24,1681319663
2004-02-25,1718601494
2004-02-26,1715267346
2004-02-27,1707386634
2004-03-01,1748911926
2004-03-02,1732241188
2004-03-03,1739212588
2004-03-04,1763764038
2004-03-05,1762248516
2004-03-08,1750124343
2004-03-09,1737393962
2004-03-10,1708599051
2004-03-11,1664952029
2004-03-12,1681319663
2004-03-15,1663739612
2004-03-16,1663133403
2004-03-17,1681319663
2004-03-18,1678288619
2004-03-19,1654040274
2004-03-22,1637066432
2004-03-23,1635854015
2004-03-24,1624639155
2004-03-25,1666164447
2004-03-26,1683744497
2004-03-29,1677076202
2004-03-30,1661617882
2004-03-31,1582428770
2004-04-01,1601274111
2004-04-02,1616640312
2004-04-05,1630846800
2004-04-06,1629397158
2004-04-07,1637225223
2004-04-08,1652591424
2004-04-12,1633456154
2004-04-13,1574600705
2004-04-14,1531981242
2004-04-15,1536040239
2004-04-16,1534010741
2004-04-19,1500668984
2004-04-20,1463558159
2004-04-21,1458339449
2004-04-22,1487332281
2004-04-23,1456309951
2004-04-26,1459789091
2004-04-27,1464427944
2004-04-28,1426737262
2004-04-29,1427896976
2004-04-30,1411950918
2004-05-03,1416589771
2004-05-04,1416009914
2004-05-05,1420648768
2004-05-06,1404412782
2004-05-07,1355124967
2004-05-10,1331640773
2004-05-11,1359473892
2004-05-12,1338309125
2004-05-13,1346717046
2004-05-14,1340918480
2004-05-17,1313955146
2004-05-18,1353385397
2004-05-19,1357444394
2004-05-20,1351355899
2004-05-21,1358604107
2004-05-24,1380638659
2004-05-25,1417169628
2004-05-26,1409051635
2004-05-27,1424127907
2004-05-28,1413400560
2004-06-01,1407601993
2004-06-02,1408761706
2004-06-03,1391945864
2004-06-04,1409051635
2004-06-07,1455730094
2004-06-08,1462108517
2004-06-09,1473125793
2004-06-10,1476025077
2004-06-14,1451961026
2004-06-15,1450801313
2004-06-16,1458339449
2004-06-17,1444712818
2004-06-18,1475735148
2004-06-21,1454860309
2004-06-22,1473705650
2004-06-23,1476025077
2004-06-24,1464138016
2004-06-25,1474285507
2004-06-28,1464138016
2004-06-29,1464717872
2004-06-30,1478514035
2004-07-01,1463837501
2004-07-02,1456499234
2004-07-06,1420101429
2004-07-07,1384584217
2004-07-08,1383997156
2004-07-09,1387813055
2004-07-12,1383703625
2004-07-13,1386638932
2004-07-14,1382529502
2004-07-15,1369907683
2004-07-16,1353469965
2004-07-19,1337619308
2004-07-20,1372549459
2004-07-21,1332629287
2004-07-22,1331748695
2004-07-23,1332042225
2004-07-26,1312082139
2004-07-27,1328813388
2004-07-28,1344664045
2004-07-29,1339086962
2004-07-30,1347599351
2004-08-02,1349360535
2004-08-03,1332922817
2004-08-04,1345838167
2004-08-05,1321181590
2004-08-06,1290947930
2004-08-09,1272455497
2004-08-10,1295350890
2004-08-11,1293002645
2004-08-12,1280380826
2004-08-13,1290067338
2004-08-16,1326758673
2004-08-17,1342902861
2004-08-18,1345251106
2004-08-19,1343783453
2004-08-20,1375484766
2004-08-23,1375484766
2004-08-24,1386051870
2004-08-25,1415698469
2004-08-26,1432723249
2004-08-27,1434484433
2004-08-30,1425384982
2004-08-31,1439767985
2004-09-01,1434190902
2004-09-02,1461195725
2004-09-03,1442116230
2004-09-07,1468240461
2004-09-08,1470882237
2004-09-09,1467946930
2004-09-10,1522837167
2004-09-13,1518727738
2004-09-14,1525185413
2004-09-15,1535458987
2004-09-16,1584772141
2004-09-17,1566866769
2004-09-20,1562170278
