,WMB
2000-08-17,15773139039
2000-08-18,15399283600
2000-08-21,15421536900
2000-08-22,15190102580
2000-08-23,15359227660
2000-08-24,15296918419
2000-08-25,15586211320
2000-08-28,15755336400
2000-08-29,15608464620
2000-08-30,15252411820
2000-08-31,15359227660
2000-09-01,15773139039
2000-09-05,15670773860
2000-09-06,15879954880
2000-09-07,15648520559
2000-09-08,15314721059
2000-09-11,15710829799
2000-09-12,15773139039
2000-09-13,15025428160
2000-09-14,15150046640
2000-09-15,15314721059
2000-09-18,14918612320
2000-09-19,14482447640
2000-09-20,14126394840
2000-09-21,13525555740
2000-09-22,13338628020
2000-09-25,13378683960
2000-09-26,13752539400
2000-09-27,13859355240
2000-09-28,13961720420
2000-09-29,14086338900
2000-10-02,15479397900
2000-10-03,15766851899
2000-10-04,15412325300
2000-10-05,15522516000
2000-10-06,15206316600
2000-10-09,15613543100
2000-10-10,15814760900
2000-10-11,15546470500
2000-10-12,15321298200
2000-10-13,14985935200
2000-10-16,15072171400
2000-10-17,14961980700
2000-10-18,14693690300
2000-10-19,14712853900
2000-10-20,14444563500
2000-10-23,14468518000
2000-10-24,14358327300
2000-10-25,13907982700
2000-10-26,13864864600
2000-10-27,14085246000
2000-10-30,14358327300
2000-10-31,15005098800
2000-11-01,15388370799
2000-11-02,15163198500
2000-11-03,14851790000
2000-11-06,14985935200
2000-11-07,15412325300
2000-11-08,15723733800
2000-11-09,15187153000
2000-11-10,15053007800
2000-11-13,14712853900
2000-11-14,14894908100
2000-11-15,14985935200
2000-11-16,14961980700
2000-11-17,15053007800
2000-11-20,14736808400
2000-11-21,14870953600
2000-11-22,14535590600
2000-11-24,14578708700
2000-11-27,14645781300
2000-11-28,14511636100
2000-11-29,13079157000
2000-11-30,12695885000
2000-12-01,12537785300
2000-12-04,13213302200
2000-12-05,13390565500
2000-12-06,13079157000
2000-12-07,13031248000
2000-12-08,13122275100
2000-12-11,13213302200
2000-12-12,13299538400
2000-12-13,13390565500
2000-12-14,12360522000
2000-12-15,12451549100
2000-12-18,12561739800
2000-12-19,12403640100
2000-12-20,12135349700
2000-12-21,11416714700
2000-12-22,11799986700
2000-12-26,13438474500
2000-12-27,13884028200
2000-12-28,14468518000
2000-12-29,14334372800
2001-01-02,13615737800
2001-01-03,13457638100
2001-01-04,12695885000
2001-01-05,13189347700
2001-01-08,13347447400
2001-01-09,12403640100
2001-01-10,12585694300
2001-01-11,12897102800
2001-01-12,13012084400
2001-01-16,12964175400
2001-01-17,13232465800
2001-01-18,13591783300
2001-01-19,13706764900
2001-01-22,13999009800
2001-01-23,14085246000
2001-01-24,14085246000
2001-01-25,14377490900
2001-01-26,13975055300
2001-01-29,14027755200
2001-01-30,14104409600
2001-01-31,14042127900
2001-02-01,13984637100
2001-02-02,14032546100
2001-02-05,14578708700
2001-02-06,14535590600
2001-02-07,14928444400
2001-02-08,15287761900
2001-02-09,15431488900
2001-02-12,15786015500
2001-02-13,16178869300
2001-02-14,16202823800
2001-02-15,15929742500
2001-02-16,15575215900
2001-02-20,15167989400
2001-02-21,14947608000
2001-02-22,15000307900
2001-02-23,14961980700
2001-02-26,15053007800
2001-02-27,14712853900
2001-02-28,14966771600
2001-03-01,15512934200
2001-03-02,15881833500
2001-03-05,16140542099
2001-03-06,15972860600
2001-03-07,16418414300
2001-03-08,16475905100
2001-03-09,16154914800
2001-03-12,15503352400
2001-03-13,15450652500
2001-03-14,15000307900
2001-03-15,15522516000
2001-03-16,15144034900
2001-03-19,15230271100
2001-03-20,15603961300
2001-03-21,14870953600
2001-03-22,13711555800
2001-03-23,14497263400
2001-03-26,14732017500
2001-03-27,15431488900
2001-03-28,15019471500
2001-03-29,14712853900
2001-03-30,15378789000
2001-04-02,15892822819
2001-04-03,14655306880
2001-04-04,14694283760
2001-04-05,15278936960
2001-04-06,14889168160
2001-04-09,14962249810
2001-04-10,15658961540
2001-04-11,15654089430
2001-04-12,15585879890
2001-04-16,15819741170
2001-04-17,15819741170
2001-04-18,15619984660
2001-04-19,15239960080
2001-04-20,15020715130
2001-04-23,15366634940
2001-04-24,15405611820
2001-04-25,15576135670
2001-04-26,16526197120
2001-04-27,16794163170
2001-04-30,16302080060
2001-05-01,16769802620
2001-05-02,15561519340
2001-05-03,15717426859
2001-05-04,16107195660
2001-05-07,15186366870
2001-05-08,15283809070
2001-05-09,15600496220
2001-05-10,15790508509
2001-05-11,15551775120
2001-05-14,15537158790
2001-05-15,15493309800
2001-05-16,15634600990
2001-05-17,15658961540
2001-05-18,16141300430
2001-05-21,16287463730
2001-05-22,16102323549
2001-05-23,16190021529
2001-05-24,16277719509
2001-05-25,15965904470
2001-05-29,15483565580
2001-05-30,15210727420
2001-05-31,15230215860
2001-06-01,15093796780
2001-06-04,15152262100
2001-06-05,14767365410
2001-06-06,14304514960
2001-06-07,14250921750
2001-06-08,14557864680
2001-06-11,14665051100
2001-06-12,14289898630
2001-06-13,14168095880
2001-06-14,13749094420
2001-06-15,13851408730
2001-06-18,13593186900
2001-06-19,13612675340
2001-06-20,13549337910
2001-06-21,13042638470
2001-06-22,13169313330
2001-06-25,12526194810
2001-06-26,12526194810
2001-06-27,12691846550
2001-06-28,12696718660
2001-06-29,12735695540
2001-07-02,13220636330
2001-07-03,13165319860
2001-07-05,13552535150
2001-07-06,13451959750
2001-07-09,13064744460
2001-07-10,13260866490
2001-07-11,12989312910
2001-07-12,12928967670
2001-07-13,13079830770
2001-07-16,12984284140
2001-07-17,13205550020
2001-07-18,13160291090
2001-07-19,13240751410
2001-07-20,13110003390
2001-07-23,12908852590
2001-07-24,12079105540
2001-07-25,12506550990
2001-07-26,12999370450
2001-07-27,13200521250
2001-07-30,13225665100
2001-07-31,13366470660
2001-08-01,13411729590
2001-08-02,13487161140
2001-08-03,13371499430
2001-08-06,13074802000
2001-08-07,12949082750
2001-08-08,12667471630
2001-08-09,12667471630
2001-08-10,12913881360
2001-08-13,12793190880
2001-08-14,12888737510
2001-08-15,12969197830
2001-08-16,12888737510
2001-08-17,12732845640
2001-08-20,12667471630
2001-08-21,12617183930
2001-08-22,12662442860
2001-08-23,12813305960
2001-08-24,13089888310
2001-08-27,13185434940
2001-08-28,12974226600
2001-08-29,13104974620
2001-08-30,12853536120
2001-08-31,12989312910
2001-09-04,13009427990
2001-09-05,13014456760
2001-09-06,12757989490
2001-09-07,12556838690
2001-09-10,12551809920
2001-09-17,12104249390
2001-09-18,11289588650
2001-09-19,10691165020
2001-09-20,10580532080
2001-09-21,10374352510
2001-09-24,10495042990
2001-09-25,10188288020
2001-09-26,9972050910
2001-09-27,10178230480
2001-09-28,10892315820
2001-10-01,11121778080
2001-10-02,11298314240
2001-10-03,11666963280
2001-10-04,11921383040
2001-10-05,11885037360
2001-10-08,12092726960
2001-10-09,12155033840
2001-10-10,12461376000
2001-10-11,12534067360
2001-10-12,12461376000
2001-10-15,12009651120
2001-10-16,12352338960
2001-10-17,11838307200
2001-10-18,11350236640
2001-10-19,11718885680
2001-10-22,11848691680
2001-10-23,11557926240
2001-10-24,10670053200
2001-10-25,11371005600
2001-10-26,11537157280
2001-10-29,11677347760
2001-10-30,11885037360
2001-10-31,11895421840
2001-11-01,12077150240
2001-11-02,11859076160
2001-11-05,11952536480
2001-11-06,11952536480
2001-11-07,11947344240
2001-11-08,12175802800
2001-11-09,12274455360
2001-11-12,12170610560
2001-11-13,12435414800
2001-11-14,11936959760
2001-11-15,11661771040
2001-11-16,11760423600
2001-11-19,11713693440
2001-11-20,12056381280
2001-11-21,11433312480
2001-11-23,11635809840
2001-11-26,11635809840
2001-11-27,11885037360
2001-11-28,11142547040
2001-11-29,11121778080
2001-11-30,11007548800
2001-12-03,10898511760
2001-12-04,11241199600
2001-12-05,11511196080
2001-12-06,11448889200
2001-12-07,11454081440
2001-12-10,11038702240
2001-12-11,10358518800
2001-12-12,9745834480
2001-12-13,9911986160
2001-12-14,10015830960
2001-12-17,9455069040
2001-12-18,9101996720
2001-12-19,10176790400
2001-12-20,10041792160
2001-12-21,9761411200
2001-12-24,9579682800
2001-12-26,9963908560
2001-12-27,10374095520
2001-12-28,10581785120
2001-12-31,10514286000
2002-01-02,10701206640
2002-01-03,10545439440
2002-01-04,10265058480
2002-01-07,10301404160
2002-01-08,10493517040
2002-01-09,10545439440
2002-01-10,10488324800
2002-01-11,10503901520
2002-01-14,10358518800
2002-01-15,10181982640
2002-01-16,9896409440
2002-01-17,9839294800
2002-01-18,10021023200
2002-01-22,9636797440
2002-01-23,9969100800
2002-01-24,10363711040
2002-01-25,10202751600
2002-01-28,9943139600
2002-01-29,7736437600
2002-01-30,7414518720
2002-01-31,7284712720
2002-02-01,7824705680
2002-02-04,6739527520
2002-02-05,5986652720
2002-02-06,6116458720
2002-02-07,6277418160
2002-02-08,6204726800
2002-02-11,6531837920
2002-02-12,6775873200
2002-02-13,6848564560
2002-02-14,6869333520
2002-02-15,6848564560
2002-02-19,6890102480
2002-02-20,6640874960
2002-02-21,6697989600
2002-02-22,6713566320
2002-02-25,6111266480
2002-02-26,6692797360
2002-02-27,6630490480
2002-02-28,6365686240
2002-03-01,6588952560
2002-03-04,6843372320
2002-03-05,7866243600
2002-03-06,8354314160
2002-03-07,9101996720
2002-03-08,9403146640
2002-03-11,9465453520
2002-03-12,9501799200
2002-03-13,9185072560
2002-03-14,9174688080
2002-03-15,9231802720
2002-03-18,9413531120
2002-03-19,9501799200
2002-03-20,9636797440
2002-03-21,10052176640
2002-03-22,9662758640
2002-03-25,9662758640
2002-03-26,9641989680
2002-03-27,9673143120
2002-03-28,9704296560
2002-04-01,9804844680
2002-04-02,9981789860
2002-04-03,9529018370
2002-04-04,9476975670
2002-04-05,9242783520
2002-04-08,9263600600
2002-04-09,9045021260
2002-04-10,9081451150
2002-04-11,8909710240
2002-04-12,8691130900
2002-04-15,8805624840
2002-04-16,9201149360
2002-04-17,9643512310
2002-04-18,9601878150
2002-04-19,9643512310
2002-04-22,9622695230
2002-04-23,9581061070
2002-04-24,9185536550
2002-04-25,8857667540
2002-04-26,8259176490
2002-04-29,7686706790
2002-04-30,7884469050
2002-05-01,7978145910
2002-05-02,7780383650
2002-05-03,7941716020
2002-05-06,7645072630
2002-05-07,6978926070
2002-05-08,7327612160
2002-05-09,7223526760
2002-05-10,6807185160
2002-05-13,6422069180
2002-05-14,6760346730
2002-05-15,6406456370
2002-05-16,6484520420
2002-05-17,6312779510
2002-05-20,6604218630
2002-05-21,6604218630
2002-05-22,7311999350
2002-05-23,7291182270
2002-05-24,7192301140
2002-05-28,7067398660
2002-05-29,6385639290
2002-05-30,5781943970
2002-05-31,5865212290
2002-06-03,4522510630
2002-06-04,4626596030
2002-06-05,3767891480
2002-06-06,3689827430
2002-06-07,3590946300
2002-06-10,3549312140
2002-06-11,3096540650
2002-06-12,3070519300
2002-06-13,3200626050
2002-06-14,3034089410
2002-06-17,3117357730
2002-06-18,3158991890
2002-06-19,3112153460
2002-06-20,3034089410
2002-06-21,2945616820
2002-06-24,2695811860
2002-06-25,2451211170
2002-06-26,2373147120
2002-06-27,2258653180
2002-06-28,2472028250
2002-07-01,2320885490
2002-07-02,2046927960
2002-07-03,2196829250
2002-07-05,2233012320
2002-07-08,2212336280
2002-07-09,2093449050
2002-07-10,2088280040
2002-07-11,2279533410
2002-07-12,2331223510
2002-07-15,2413927670
2002-07-16,2429434700
2002-07-17,2543152920
2002-07-18,2589674010
2002-07-19,2114125090
2002-07-22,821872590
2002-07-23,488042417
2002-07-24,512652073
2002-07-25,360905447
2002-07-26,434729248
2002-07-29,816703580
2002-07-30,987280910
2002-07-31,1209548340
2002-08-01,1555872010
2002-08-02,1395632700
2002-08-05,945928830
2002-08-06,1049309029
2002-08-07,1080323090
2002-08-08,1157858240
2002-08-09,1157858240
2002-08-12,1147520220
2002-08-13,1069985069
2002-08-14,1142351210
2002-08-15,1075154080
2002-08-16,1038971009
2002-08-19,1147520220
2002-08-20,1157858240
2002-08-21,1478336860
2002-08-22,1545533990
2002-08-23,1457660820
2002-08-26,1535195970
2002-08-27,1540364980
2002-08-28,1390463690
2002-08-29,1292252500
2002-08-30,1318097550
2002-09-03,1183703290
2002-09-04,1281914480
2002-09-05,1323266560
2002-09-06,1230224380
2002-09-09,1281914480
2002-09-10,1214717350
2002-09-11,1225055370
2002-09-12,1178534280
2002-09-13,1147520220
2002-09-16,1064816060
2002-09-17,987280910
2002-09-18,930421800
2002-09-19,940759820
2002-09-20,961435860
2002-09-23,816703580
2002-09-24,723661400
2002-09-25,847717640
2002-09-26,904576750
2002-09-27,842548630
2002-09-30,924871520
2002-10-01,940372160
2002-10-02,878369600
2002-10-03,873202720
2002-10-04,785365760
2002-10-07,738863840
2002-10-08,687195040
2002-10-09,604524960
2002-10-10,630359360
2002-10-11,707862560
2002-10-14,764698240
2002-10-15,759531360
2002-10-16,723363200
2002-10-17,635526240
2002-10-18,656193760
2002-10-21,661360640
2002-10-22,651026880
2002-10-23,599358080
2002-10-24,604524960
2002-10-25,573523680
2002-10-28,552856160
2002-10-29,640693120
2002-10-30,620025600
2002-10-31,769865120
2002-11-01,852535200
2002-11-04,904204000
2002-11-05,976540320
2002-11-06,1126379840
2002-11-07,1255551840
2002-11-08,1069544159
2002-11-11,1064377280
2002-11-12,1116046080
2002-11-13,997207840
2002-11-14,1141880480
2002-11-15,1033376000
2002-11-18,1054043520
2002-11-19,1048876639
2002-11-20,1048876639
2002-11-21,1100545440
2002-11-22,1198716160
2002-11-25,1152214240
2002-11-26,1162548000
2002-11-27,1059210399
2002-11-29,1100545440
2002-12-02,1064377280
2002-12-03,1038542879
2002-12-04,986874080
2002-12-05,976540320
2002-12-06,971373440
2002-12-09,914537760
2002-12-10,940372160
2002-12-11,904204000
2002-12-12,961039680
2002-12-13,1157381120
2002-12-16,1095378560
2002-12-17,1028209120
2002-12-18,992040960
2002-12-19,961039680
2002-12-20,924871520
2002-12-23,935205280
2002-12-24,924871520
2002-12-26,919704640
2002-12-27,904204000
2002-12-30,930038400
2002-12-31,1107775280
2003-01-02,1159540480
2003-01-03,1123304840
2003-01-06,1112951800
2003-01-07,1221658720
2003-01-08,1288953480
2003-01-09,1314836080
2003-01-10,1382130840
2003-01-13,1320012600
2003-01-14,1387307360
2003-01-15,1428719520
2003-01-16,1584015120
2003-01-17,1677192480
2003-01-21,1454602120
2003-01-22,1304483040
2003-01-23,1496014280
2003-01-24,1397660400
2003-01-27,1423543000
2003-01-28,1439072560
2003-01-29,1402836920
2003-01-30,1433896040
2003-01-31,1330365640
2003-02-03,1237188280
2003-02-04,1335542160
2003-02-05,1273423920
2003-02-06,1232011760
2003-02-07,1200952640
2003-02-10,1190599600
2003-02-11,1242364800
2003-02-12,1149187440
2003-02-13,1066363120
2003-02-14,1066363120
2003-02-18,1221658720
2003-02-19,1190599600
2003-02-20,1506367320
2003-02-21,1470131680
2003-02-24,1454602120
2003-02-25,1552956000
2003-02-26,1527073400
2003-02-27,1578838600
2003-02-28,1563309040
2003-03-03,1589191640
2003-03-04,1552956000
2003-03-05,1599544680
2003-03-06,1739310720
2003-03-07,1754840280
2003-03-10,1640956840
2003-03-11,1521896880
2003-03-12,1511543840
2003-03-13,1661662920
2003-03-14,1640956840
2003-03-17,1708251600
2003-03-18,1728957680
2003-03-19,1703075080
2003-03-20,1661662920
2003-03-21,1770369840
2003-03-24,1765193320
2003-03-25,1946371520
2003-03-26,1801428960
2003-03-27,1930841960
2003-03-28,1930841960
2003-03-31,1880666700
2003-04-01,2056817300
2003-04-02,1999827400
2003-04-03,1999827400
2003-04-04,2015370100
2003-04-07,2093083600
2003-04-08,2020551000
2003-04-09,2124168999
2003-04-10,2181158900
2003-04-11,2217425200
2003-04-14,2217425200
2003-04-15,2217425200
2003-04-16,2098264500
2003-04-17,2424661200
2003-04-21,2709610700
2003-04-22,2818409600
2003-04-23,2694068000
2003-04-24,2776962400
2003-04-25,2766600600
2003-04-28,2859856800
2003-04-29,2859856800
2003-04-30,2854675900
2003-05-01,2792505100
2003-05-02,2901304000
2003-05-05,2885761300
2003-05-06,2818409600
2003-05-07,2849495000
2003-05-08,2766600600
2003-05-09,2787324200
2003-05-12,2875399500
2003-05-13,2911665800
2003-05-14,3274328800
2003-05-15,3367585000
2003-05-16,3414213100
2003-05-19,3232881600
2003-05-20,3067092800
2003-05-21,3036007400
2003-05-22,3165529900
2003-05-23,3248424300
2003-05-27,3357223200
2003-05-28,3320956900
2003-05-29,3269147900
2003-05-30,3253605200
2003-06-02,3305414200
2003-06-03,3274328800
2003-06-04,3528192900
2003-06-05,3595544600
2003-06-06,3590363700
2003-06-09,3533373800
2003-06-10,3455660300
2003-06-11,3605906400
2003-06-12,3590363700
2003-06-13,3460841200
2003-06-16,3491926600
2003-06-17,3424574900
2003-06-18,3497107500
2003-06-19,3486745700
2003-06-20,3393489500
2003-06-23,3098178200
2003-06-24,3124082700
2003-06-25,3206977100
2003-06-26,3248424300
2003-06-27,3232881600
2003-06-30,3249690840
2003-07-01,3120117840
2003-07-02,3187495800
2003-07-03,3125300760
2003-07-07,3213410400
2003-07-08,3203044560
2003-07-09,3187495800
2003-07-10,3177129960
2003-07-11,3203044560
2003-07-14,3182312880
2003-07-15,3109752000
2003-07-16,2845423080
2003-07-17,2788410960
2003-07-18,2814325560
2003-07-21,2835057240
2003-07-22,2990544840
2003-07-23,2876520600
2003-07-24,2814325560
2003-07-25,2855788920
2003-07-28,2803959720
2003-07-29,2814325560
2003-07-30,2695118400
2003-07-31,2612191680
2003-08-01,2684752560
2003-08-04,2549996640
2003-08-05,2596642920
2003-08-06,2762496360
2003-08-07,2886886440
2003-08-08,3125300760
2003-08-11,3234142080
2003-08-12,3436275960
2003-08-13,3405178440
2003-08-14,3394812600
2003-08-15,3327434640
2003-08-18,3374080920
2003-08-19,3405178440
2003-08-20,3498471000
2003-08-21,3508836840
2003-08-22,3498471000
2003-08-25,3555483120
2003-08-26,3591763560
2003-08-27,3690239040
2003-08-28,3736885320
2003-08-29,3752434080
2003-09-02,3783531600
2003-09-03,3778348680
2003-09-04,3747251160
2003-09-05,3674690280
2003-09-08,3731702400
2003-09-09,3674690280
2003-09-10,3653958600
2003-09-11,3612495240
2003-09-12,3617678160
2003-09-15,3565848960
2003-09-16,3612495240
2003-09-17,3674690280
2003-09-18,3752434080
2003-09-19,3814629120
2003-09-22,3866458320
2003-09-23,3871641240
2003-09-24,3804263280
2003-09-25,3690239040
2003-09-26,3638409840
2003-09-29,3690239040
2003-09-30,3880552950
2003-10-01,4036398450
2003-10-02,4000034500
2003-10-03,4062372700
2003-10-06,4046788150
2003-10-07,4109126350
2003-10-08,4077957250
2003-10-09,4119516050
2003-10-10,4244192450
2003-10-13,4379258550
2003-10-14,4301335800
2003-10-15,4155880000
2003-10-16,4223413050
2003-10-17,4093541800
2003-10-20,4140295450
2003-10-21,4202633650
2003-10-22,4119516050
2003-10-23,4119516050
2003-10-24,4103931500
2003-10-27,4119516050
2003-10-28,4140295450
2003-10-29,4140295450
2003-10-30,4140295450
2003-10-31,4202633650
2003-11-03,4280556400
2003-11-04,4197438800
2003-11-05,4213023349
2003-11-06,4062372700
2003-11-07,3797435350
2003-11-10,3750681700
2003-11-11,3750681700
2003-11-12,3781850800
2003-11-13,3755876550
2003-11-14,3740292000
2003-11-17,3776655950
2003-11-18,3750681700
2003-11-19,3693538350
2003-11-20,3683148650
2003-11-21,3745486850
2003-11-24,3755876550
2003-11-25,3833799300
2003-11-26,3864968400
2003-11-28,3864968400
2003-12-01,4020813900
2003-12-02,4062372700
2003-12-03,4010424200
2003-12-04,4098736650
2003-12-05,4005229350
2003-12-08,4041593300
2003-12-09,3994839650
2003-12-10,3922111750
2003-12-11,4031203600
2003-12-12,4088346950
2003-12-15,4000034500
2003-12-16,4062372700
2003-12-17,4083152100
2003-12-18,4119516050
2003-12-19,4062372700
2003-12-22,4077957250
2003-12-23,4093541800
2003-12-24,4077957250
2003-12-26,4093541800
2003-12-29,4119516050
2003-12-30,4067567550
2003-12-31,4046788150
2004-01-02,4057177850
2004-01-05,4316920350
2004-01-06,4353284300
2004-01-07,4374063700
2004-01-08,4457181300
2004-01-09,4477960700
2004-01-12,4524714350
2004-01-13,4379258550
2004-01-14,4446791600
2004-01-15,4337699750
2004-01-16,4535104050
2004-01-20,4524714350
2004-01-21,4659780450
2004-01-22,4550688600
2004-01-23,4540298900
2004-01-26,4498740100
2004-01-27,4493545250
2004-01-28,4327310050
2004-01-29,4181854250
2004-01-30,4181854250
2004-02-02,4119516050
2004-02-03,4223413050
2004-02-04,4202633650
2004-02-05,4093541800
2004-02-06,4083152100
2004-02-09,4202633650
2004-02-10,4290946100
2004-02-11,4197438800
2004-02-12,4301335800
2004-02-13,4181854250
2004-02-17,4259776999
2004-02-18,4109126350
2004-02-19,3870163250
2004-02-20,3787045650
2004-02-23,3693538350
2004-02-24,3605225900
2004-02-25,3797435350
2004-02-26,3864968400
2004-02-27,3901332350
2004-03-01,3916916900
2004-03-02,3859773550
2004-03-03,3870163250
2004-03-04,4015619050
2004-03-05,4140295450
2004-03-08,4072762400
2004-03-09,3994839650
2004-03-10,3870163250
2004-03-11,3683148650
2004-03-12,3864968400
2004-03-15,3922111750
2004-03-16,3927306600
2004-03-17,3942891150
2004-03-18,4000034500
2004-03-19,3979255100
2004-03-22,3854578700
2004-03-23,3828604450
2004-03-24,3745486850
2004-03-25,3833799300
2004-03-26,3958475700
2004-03-29,3948086000
2004-03-30,3942891150
2004-03-31,3959687820
2004-04-01,4152716080
2004-04-02,4137065140
2004-04-05,4157933060
2004-04-06,4163150040
2004-04-07,4194451919
2004-04-08,4173584000
2004-04-12,4178800980
2004-04-13,4126631180
2004-04-14,4095329300
2004-04-15,4236187759
2004-04-16,4267489640
2004-04-19,4246621720
2004-04-20,4163150040
2004-04-21,4131848160
2004-04-22,4194451919
2004-04-23,4293574540
2004-04-26,4298791520
2004-04-27,4340527360
2004-04-28,4350961320
2004-04-29,4304008500
2004-04-30,4262272660
2004-05-03,4345744340
2004-05-04,4497036760
2004-05-05,4528338640
2004-05-06,4450083940
2004-05-07,4298791520
2004-05-10,4257055680
2004-05-11,4387480180
2004-05-12,4387480180
2004-05-13,4564857500
2004-05-14,4622244280
2004-05-17,4517904680
2004-05-18,4538772600
2004-05-19,4507470720
2004-05-20,4497036760
2004-05-21,4481385820
2004-05-24,4596159380
2004-05-25,4940480060
2004-05-26,4857008380
2004-05-27,4940480060
2004-05-28,4930046100
2004-06-01,5060470600
2004-06-02,4919612140
2004-06-03,4810055560
2004-06-04,4841357440
2004-06-07,4903961200
2004-06-08,4898744220
2004-06-09,4841357440
2004-06-10,4888310260
2004-06-14,4846574420
2004-06-15,4997866840
2004-06-16,4940480060
2004-06-17,4976998920
2004-06-18,4966564960
2004-06-21,4961347980
2004-06-22,4976998920
2004-06-23,5060470600
2004-06-24,5060470600
2004-06-25,5003083820
2004-06-28,4961347980
2004-06-29,4919612140
2004-06-30,4938167840
2004-07-01,5032327820
2004-07-02,5016634490
2004-07-06,5053252260
2004-07-07,5063714480
2004-07-08,4995710050
2004-07-09,5058483370
2004-07-12,5037558930
2004-07-13,5048021150
2004-07-14,5063714480
2004-07-15,5105563360
2004-07-16,5178798900
2004-07-19,5194492230
2004-07-20,5116025580
2004-07-21,4964323390
2004-07-22,4964323390
2004-07-23,5000941160
2004-07-26,4833545640
2004-07-27,4932936730
2004-07-28,4875394520
2004-07-29,4980016720
2004-07-30,5042790040
2004-08-02,4980016720
2004-08-03,4964323390
2004-08-04,4891087850
2004-08-05,4974785610
2004-08-06,4912012290
2004-08-09,4880625630
2004-08-10,4833545640
2004-08-11,4823083420
2004-08-12,4791696760
2004-08-13,4749847880
2004-08-16,4791696760
2004-08-17,4807390090
2004-08-18,4932936730
2004-08-19,4959092280
2004-08-20,4953861170
2004-08-23,4891087850
2004-08-24,4838776750
2004-08-25,4870163410
2004-08-26,4912012290
2004-08-27,4891087850
2004-08-30,4859701190
