,GT
2000-10-26,2742308938
2000-10-27,2773829731
2000-10-30,2923553337
2000-10-31,2915673297
2000-11-01,2915673297
2000-11-02,2985019197
2000-11-03,2843175632
2000-11-06,2874696266
2000-11-07,2915673297
2000-11-08,2857359673
2000-11-09,2865240029
2000-11-10,2758069335
2000-11-13,2756493295
2000-11-14,2816382958
2000-11-15,2852631712
2000-11-16,2824262999
2000-11-17,2906217216
2000-11-20,2855783949
2000-11-21,2762797611
2000-11-22,2737580977
2000-11-24,2740732741
2000-11-27,2751765018
2000-11-28,2682419433
2000-11-29,2709212264
2000-11-30,2671387313
2000-12-01,2751765018
2000-12-04,2865240029
2000-12-05,3008659634
2000-12-06,2840023395
2000-12-07,2814806918
2000-12-08,2876272306
2000-12-11,2876272306
2000-12-12,2973986920
2000-12-13,2918825376
2000-12-14,2877848346
2000-12-15,2851055672
2000-12-18,2992899238
2000-12-19,2994475278
2000-12-20,3032300228
2000-12-21,3054364625
2000-12-22,3322291518
2000-12-26,3508264194
2000-12-27,3776190771
2000-12-28,3735214057
2000-12-29,3623315086
2001-01-02,3594303841
2001-01-03,3760414000
2001-01-04,3969238000
2001-01-05,3920196158
2001-01-08,3861662000
2001-01-09,3798382000
2001-01-10,3735102158
2001-01-11,3709790158
2001-01-12,3697134158
2001-01-16,3769905999
2001-01-17,3787308158
2001-01-18,3817365841
2001-01-19,3780980000
2001-01-22,3856915841
2001-01-23,3912286000
2001-01-24,3948671841
2001-01-25,3951836000
2001-01-26,3939180000
2001-01-29,3970820000
2001-01-30,4136930000
2001-01-31,4159078158
2001-02-01,4106871841
2001-02-02,4043591841
2001-02-05,4114782000
2001-02-06,4168570000
2001-02-07,4059412000
2001-02-08,4026190158
2001-02-09,3790471841
2001-02-12,3831603841
2001-02-13,3793636000
2001-02-14,3828440158
2001-02-15,3992967999
2001-02-16,3955000000
2001-02-20,3994550000
2001-02-21,3921778158
2001-02-22,3844259841
2001-02-23,3860080000
2001-02-26,3994550000
2001-02-27,4034100000
2001-02-28,4034100000
2001-03-01,3947090158
2001-03-02,4110036000
2001-03-05,4184390158
2001-03-06,4227103841
2001-03-07,4285638000
2001-03-08,4318859841
2001-03-09,4326770000
2001-03-12,4027771841
2001-03-13,4106871841
2001-03-14,3994550000
2001-03-15,3912286000
2001-03-16,3948671841
2001-03-19,4011952158
2001-03-20,3945508158
2001-03-21,3752503841
2001-03-22,3700297841
2001-03-23,3801546158
2001-03-26,3826858158
2001-03-27,3882228158
2001-03-28,3788890158
2001-03-29,3746176000
2001-03-30,3773070000
2001-04-02,3803260158
2001-04-03,3620639841
2001-04-04,3727035841
2001-04-05,3714331841
2001-04-06,3634931841
2001-04-09,3731800000
2001-04-10,3855664158
2001-04-11,3804847841
2001-04-12,3849311999
2001-04-16,3906480000
2001-04-17,3890600000
2001-04-18,4166911999
2001-04-19,4095452158
2001-04-20,3998584000
2001-04-23,3903303999
2001-04-24,3970000000
2001-04-25,3912831841
2001-04-26,3996996000
2001-04-27,3993820000
2001-04-30,3909656158
2001-05-01,3925535841
2001-05-02,3911243841
2001-05-03,3873131841
2001-05-04,3954120000
2001-05-07,3938239841
2001-05-08,3896952158
2001-05-09,3919184000
2001-05-10,4049400000
2001-05-11,3908068158
2001-05-14,3901716000
2001-05-15,3963647841
2001-05-16,4271720000
2001-05-17,4289188000
2001-05-18,4333652158
2001-05-21,4484512000
2001-05-22,4827520000
2001-05-23,4684600000
2001-05-24,4625843841
2001-05-25,4587731841
2001-05-29,4597260158
2001-05-30,4586143841
2001-05-31,4622668158
2001-06-01,4779880000
2001-06-04,4503568158
2001-06-05,4635372158
2001-06-06,4621080000
2001-06-07,4651252158
2001-06-08,4748120000
2001-06-11,4632196000
2001-06-12,4573439841
2001-06-13,4543268158
2001-06-14,4398760158
2001-06-15,4443224000
2001-06-18,4505156158
2001-06-19,4468631841
2001-06-20,4567088000
2001-06-21,4571852158
2001-06-22,4435284000
2001-06-25,4325712000
2001-06-26,4349531841
2001-06-27,4422580000
2001-06-28,4527388000
2001-06-29,4446400000
2001-07-02,4581135000
2001-07-03,4561947159
2001-07-05,4539560840
2001-07-06,4494789159
2001-07-09,4489992000
2001-07-10,4526768840
2001-07-11,4627506159
2001-07-12,4789005159
2001-07-13,4742634000
2001-07-16,4817786840
2001-07-17,4956900000
2001-07-18,4955301000
2001-07-19,4955301000
2001-07-20,5059235840
2001-07-23,4771416000
2001-07-24,4474002000
2001-07-25,4539560840
2001-07-26,4605119840
2001-07-27,4557150000
2001-07-30,4523571159
2001-07-31,4569942000
2001-08-01,4541160000
2001-08-02,4561947159
2001-08-03,4517175000
2001-08-06,4483596159
2001-08-07,4480398000
2001-08-08,4302909000
2001-08-09,4293315000
2001-08-10,4394052000
2001-08-13,4422834000
2001-08-14,4341285000
2001-08-15,4346082000
2001-08-16,4325294840
2001-08-17,4197375000
2001-08-20,4064658000
2001-08-21,3944733000
2001-08-22,4042272159
2001-08-23,3997500000
2001-08-24,4034277000
2001-08-27,3987906159
2001-08-28,4040673000
2001-08-29,3951128840
2001-08-30,3816813159
2001-08-31,3917550000
2001-09-04,3987906159
2001-09-05,4015089159
2001-09-06,3895164159
2001-09-07,3757650000
2001-09-10,3664908000
2001-09-17,3281148000
2001-09-18,3167618840
2001-09-19,3081273000
2001-09-20,2945358000
2001-09-21,2833427840
2001-09-24,2926169840
2001-09-25,2942160000
2001-09-26,2854215000
2001-09-27,2876600999
2001-09-28,2946957000
2001-10-01,2896078301
2001-10-02,2967466388
2001-10-03,2964221320
2001-10-04,2983690592
2001-10-05,2996670214
2001-10-08,2925282614
2001-10-09,2896078301
2001-10-10,2949619244
2001-10-11,3071303207
2001-10-12,3105374554
2001-10-15,3106997169
2001-10-16,3126466603
2001-10-17,3071303207
2001-10-18,3059946199
2001-10-19,3071303207
2001-10-22,3163783018
2001-10-23,3071303207
2001-10-24,3042099056
2001-10-25,3119976792
2001-10-26,3231926037
2001-10-29,3170272992
2001-10-30,2995047761
2001-10-31,3022629460
2001-11-01,3081037924
2001-11-02,3139446226
2001-11-05,3087527897
2001-11-06,3087527897
2001-11-07,3063190780
2001-11-08,3081037924
2001-11-09,3118354177
2001-11-12,3103752101
2001-11-13,3175140188
2001-11-14,3339007924
2001-11-15,3738131482
2001-11-16,3715416980
2001-11-19,3833855875
2001-11-20,3762468275
2001-11-21,3549926629
2001-11-23,3634294339
2001-11-26,3639161697
2001-11-27,3650518867
2001-11-28,3571018678
2001-11-29,3569396226
2001-11-30,3634294339
2001-12-03,3583998301
2001-12-04,3600222992
2001-12-05,3717039433
2001-12-06,3803029595
2001-12-07,3669988463
2001-12-10,3661876037
2001-12-11,3785182452
2001-12-12,3856570376
2001-12-13,3804652048
2001-12-14,3900376765
2001-12-17,3983121535
2001-12-18,4101560916
2001-12-19,4020438274
2001-12-20,3893886792
2001-12-21,3861437573
2001-12-24,3837100942
2001-12-26,3877662263
2001-12-27,3892264339
2001-12-28,3914978516
2001-12-31,3885791836
2002-01-02,3907008163
2002-01-03,3884159836
2002-01-04,3978815836
2002-01-07,4045728163
2002-01-08,3998400000
2002-01-09,4042464000
2002-01-10,3972288000
2002-01-11,3954336000
2002-01-14,3836832000
2002-01-15,3729120000
2002-01-16,3554496163
2002-01-17,3551232000
2002-01-18,3606720000
2002-01-22,3593664000
2002-01-23,3619776000
2002-01-24,3748703836
2002-01-25,3809088000
2002-01-28,3874367999
2002-01-29,3778080000
2002-01-30,3840096163
2002-01-31,3897215836
2002-02-01,3866208163
2002-02-04,3737280000
2002-02-05,3642624000
2002-02-06,3474528163
2002-02-07,3492480000
2002-02-08,3828671836
2002-02-11,3996767999
2002-02-12,4011455999
2002-02-13,4048991836
2002-02-14,3972288000
2002-02-15,4027776000
2002-02-19,3911903836
2002-02-20,3949440163
2002-02-21,4114271836
2002-02-22,4102847836
2002-02-25,4313376000
2002-02-26,4576128163
2002-02-27,4494528163
2002-02-28,4488000000
2002-03-01,4404768000
2002-03-04,4551647836
2002-03-05,4425984163
2002-03-06,4543488000
2002-03-07,4551647836
2002-03-08,4582656000
2002-03-11,4603871836
2002-03-12,4620191836
2002-03-13,4496159836
2002-03-14,4512480000
2002-03-15,4489632000
2002-03-18,4478208163
2002-03-19,4561440163
2002-03-20,4145280000
2002-03-21,4073471836
2002-03-22,4024512000
2002-03-25,3882528163
2002-03-26,4019615836
2002-03-27,4112640163
2002-03-28,4173024000
2002-04-01,3870210163
2002-04-02,3768963999
2002-04-03,3610563163
2002-04-04,3608930000
2002-04-05,3757533000
2002-04-08,3749367836
2002-04-09,3705277163
2002-04-10,3844082163
2002-04-11,3693846163
2002-04-12,3751000836
2002-04-15,3716708000
2002-04-16,3870210163
2002-04-17,3796725000
2002-04-18,3711809000
2002-04-19,3744469000
2002-04-22,3719974163
2002-04-23,3706910163
2002-04-24,3803257163
2002-04-25,3723239836
2002-04-26,3713441999
2002-04-29,3558307163
2002-04-30,3633425000
2002-05-01,3643222836
2002-05-02,3747735163
2002-05-03,3649755000
2002-05-06,3504417836
2002-05-07,3530546163
2002-05-08,3610563163
2002-05-09,3600764836
2002-05-10,3553408000
2002-05-13,3530546163
2002-05-14,3672616999
2002-05-15,3715075000
2002-05-16,3628525836
2002-05-17,3667717836
2002-05-20,3675883000
2002-05-21,3651388163
2002-05-22,3659553000
2002-05-23,3716708000
2002-05-24,3684047836
2002-05-28,3631791999
2002-05-29,3618728000
2002-05-30,3568105000
2002-05-31,3579536000
2002-06-03,3484822000
2002-06-04,3359081000
2002-06-05,3486455000
2002-06-06,3404805000
2002-06-07,3404805000
2002-06-10,3429300000
2002-06-11,3313357163
2002-06-12,3305191999
2002-06-13,3176185163
2002-06-14,3143525000
2002-06-17,3174552163
2002-06-18,3266000000
2002-06-19,3239872000
2002-06-20,3066774163
2002-06-21,3120663163
2002-06-24,3097800836
2002-06-25,3065141000
2002-06-26,3061875000
2002-06-27,3021050000
2002-06-28,3055342836
2002-07-01,3023640000
2002-07-02,2943720000
2002-07-03,2928735000
2002-07-05,3083580000
2002-07-08,3046949833
2002-07-09,2922074833
2002-07-10,2818845000
2002-07-11,2810519833
2002-07-12,2782214833
2002-07-15,2788875000
2002-07-16,2753910166
2002-07-17,2713949833
2002-07-18,2649015000
2002-07-19,2665665000
2002-07-22,2639025000
2002-07-23,2539125000
2002-07-24,2823839833
2002-07-25,2832165000
2002-07-26,2738925166
2002-07-29,2972025000
2002-07-30,2922074833
2002-07-31,2903760166
2002-08-01,2897100000
2002-08-02,2615715000
2002-08-05,2484180000
2002-08-06,2609055000
2002-08-07,2599065000
2002-08-08,2670660166
2002-08-09,2662335000
2002-08-12,2530800000
2002-08-13,2462535000
2002-08-14,2394270000
2002-08-15,2427570000
2002-08-16,2422575000
2002-08-19,2414250000
2002-08-20,2347650000
2002-08-21,2404260000
2002-08-22,2430900000
2002-08-23,2460870000
2002-08-26,2457540000
2002-08-27,2442555000
2002-08-28,2349315000
2002-08-29,2335995000
2002-08-30,2251080000
2002-09-03,2099565000
2002-09-04,2142854999
2002-09-05,2112885000
2002-09-06,2117880000
2002-09-09,2121210000
2002-09-10,2179485000
2002-09-11,2177820000
2002-09-12,2122875000
2002-09-13,2074590000
2002-09-16,2067930000
2002-09-17,1944720000
2002-09-18,1821510000
2002-09-19,1763235000
2002-09-20,1696635000
2002-09-23,1510155000
2002-09-24,1413585000
2002-09-25,1460205000
2002-09-26,1535130000
2002-09-27,1490175000
2002-09-30,1548496382
2002-10-01,1626879213
2002-10-02,1497983002
2002-10-03,1473597232
2002-10-04,1452695143
2002-10-07,1376054153
2002-10-08,1358635746
2002-10-09,1238448737
2002-10-10,1278511073
2002-10-11,1421342011
2002-10-14,1414374648
2002-10-15,1562431107
2002-10-16,1430051214
2002-10-17,1510175886
2002-10-18,1457920665
2002-10-21,1511917727
2002-10-22,1630362895
2002-10-23,1623395532
2002-10-24,1612944488
2002-10-25,1578107674
2002-10-28,1611202647
2002-10-29,1536303497
2002-10-30,1412632807
2002-10-31,1236706897
2002-11-01,1186193516
2002-11-04,1264576348
2002-11-05,1278511073
2002-11-06,1325540772
2002-11-07,1316831569
2002-11-08,1241932419
2002-11-11,1186193516
2002-11-12,1196644560
2002-11-13,1207095605
2002-11-14,1236706897
2002-11-15,1210579286
2002-11-18,1214062967
2002-11-19,1207095605
2002-11-20,1219288490
2002-11-21,1309864206
2002-11-22,1396956241
2002-11-25,1389988878
2002-11-26,1372570471
2002-11-27,1428309373
2002-11-29,1435276736
2002-12-02,1428309373
2002-12-03,1351668383
2002-12-04,1332508135
2002-12-05,1339475498
2002-12-06,1308122365
2002-12-09,1254125304
2002-12-10,1301155002
2002-12-11,1288962118
2002-12-12,1268060029
2002-12-13,1240190578
2002-12-16,1302896843
2002-12-17,1276769233
2002-12-18,1203611923
2002-12-19,1156582224
2002-12-20,1184451676
2002-12-23,1156582224
2002-12-24,1154840384
2002-12-26,1168775109
2002-12-27,1149614862
2002-12-30,1174000631
2002-12-31,1193793000
2003-01-02,1230606000
2003-01-03,1188534000
2003-01-06,1241124000
2003-01-07,1232359000
2003-01-08,1213076000
2003-01-09,1225347000
2003-01-10,1237618000
2003-01-13,1251642000
2003-01-14,1274431000
2003-01-15,1223594000
2003-01-16,1202558000
2003-01-17,1185028000
2003-01-21,1202558000
2003-01-22,1151721000
2003-01-23,1169251000
2003-01-24,1132438000
2003-01-27,1058812000
2003-01-28,1064071000
2003-01-29,1032517000
2003-01-30,937854999
2003-01-31,929090000
2003-02-03,906301000
2003-02-04,792355999
2003-02-05,643351000
2003-02-06,625821000
2003-02-07,708212000
2003-02-10,767814000
2003-02-11,736260000
2003-02-12,704705999
2003-02-13,713471000
2003-02-14,706459000
2003-02-18,745025000
2003-02-19,738013000
2003-02-20,745025000
2003-02-21,745025000
2003-02-24,711717999
2003-02-25,718729999
2003-02-26,699447000
2003-02-27,720483000
2003-02-28,701200000
2003-03-03,715224000
2003-03-04,701200000
2003-03-05,752037000
2003-03-06,731001000
2003-03-07,736260000
2003-03-10,683670000
2003-03-11,671399000
2003-03-12,678411000
2003-03-13,697694000
2003-03-14,687176000
2003-03-17,713471000
2003-03-18,743272000
2003-03-19,771320000
2003-03-20,808133000
2003-03-21,937854999
2003-03-24,871241000
2003-03-25,894029999
2003-03-26,885265000
2003-03-27,930842999
2003-03-28,904548000
2003-03-31,906301000
2003-04-01,906301000
2003-04-02,948373000
2003-04-03,1006222000
2003-04-04,1014987000
2003-04-07,974667999
2003-04-08,936102000
2003-04-09,906301000
2003-04-10,858970000
2003-04-11,827416000
2003-04-14,834428000
2003-04-15,858970000
2003-04-16,857217000
2003-04-17,858970000
2003-04-21,915066000
2003-04-22,979927000
2003-04-23,1048294000
2003-04-24,992198000
2003-04-25,972915000
2003-04-28,1007975000
2003-04-29,1043035000
2003-04-30,1002716000
2003-05-01,1081601000
2003-05-02,1113155000
2003-05-05,1199052000
2003-05-06,1239371000
2003-05-07,1195546000
2003-05-08,1127179000
2003-05-09,1169251000
2003-05-12,1178016000
2003-05-13,1155227000
2003-05-14,1146462000
2003-05-15,1237618000
2003-05-16,1281443000
2003-05-19,1193793000
2003-05-20,1135944000
2003-05-21,1137697000
2003-05-22,1162239000
2003-05-23,1142956000
2003-05-27,1135944000
2003-05-28,1172757000
2003-05-29,1149968000
2003-05-30,1142956000
2003-06-02,1160486000
2003-06-03,1146462000
2003-06-04,1183275000
2003-06-05,1248136000
2003-06-06,1207817000
2003-06-09,1174510000
2003-06-10,1197299000
2003-06-11,1211323000
2003-06-12,1234112000
2003-06-13,1178016000
2003-06-16,1220088000
2003-06-17,1220088000
2003-06-18,1228853000
2003-06-19,1178016000
2003-06-20,1163992000
2003-06-23,1085107000
2003-06-24,1067577000
2003-06-25,1021999000
2003-06-26,1007975000
2003-06-27,979927000
2003-06-30,920325000
2003-07-01,929090000
2003-07-02,953632000
2003-07-03,929090000
2003-07-07,972915000
2003-07-08,920325000
2003-07-09,934349000
2003-07-10,913313000
2003-07-11,911560000
2003-07-14,929090000
2003-07-15,913313000
2003-07-16,922078000
2003-07-17,894029999
2003-07-18,908054000
2003-07-21,883512000
2003-07-22,880005999
2003-07-23,855464000
2003-07-24,857217000
2003-07-25,899289000
2003-07-28,944867000
2003-07-29,906301000
2003-07-30,971162000
2003-07-31,965903000
2003-08-01,992198000
2003-08-04,997457000
2003-08-05,944867000
2003-08-06,944867000
2003-08-07,908054000
2003-08-08,902795000
2003-08-11,911560000
2003-08-12,937854999
2003-08-13,923830999
2003-08-14,944867000
2003-08-15,979927000
2003-08-18,1018492999
2003-08-19,1095625000
2003-08-20,1104390000
2003-08-21,1149968000
2003-08-22,1114908000
2003-08-25,1121920000
2003-08-26,1151721000
2003-08-27,1146462000
2003-08-28,1160486000
2003-08-29,1248136000
2003-09-02,1342798000
2003-09-03,1321762000
2003-09-04,1283196000
2003-09-05,1328774000
2003-09-08,1360328000
2003-09-09,1335786000
2003-09-10,1305985000
2003-09-11,1341045000
2003-09-12,1398894000
2003-09-15,1407659000
2003-09-16,1419930000
2003-09-17,1407659000
2003-09-18,1383117000
2003-09-19,1409411999
2003-09-22,1309491000
2003-09-23,1297220000
2003-09-24,1251642000
2003-09-25,1186781000
2003-09-26,1155227000
2003-09-29,1162239000
2003-09-30,1145262164
2003-10-01,1143518995
2003-10-02,1195814071
2003-10-03,1220218440
2003-10-06,1204529917
2003-10-07,1255081824
2003-10-08,1239393301
2003-10-09,1246365978
2003-10-10,1241136470
2003-10-13,1244622808
2003-10-14,1237650132
2003-10-15,1225447947
2003-10-16,1220218440
2003-10-17,1194070902
2003-10-20,1178382379
2003-10-21,1187098225
2003-10-22,1190584563
2003-10-23,1079021734
2003-10-24,1096453426
2003-10-27,1105169272
2003-10-28,1141775826
2003-10-29,1171409702
2003-10-30,1202786748
2003-10-31,1195814071
2003-11-03,1220218440
2003-11-04,1218475270
2003-11-05,1220218440
2003-11-06,1218475270
2003-11-07,1214988932
2003-11-10,1167923364
2003-11-11,1153978010
2003-11-12,1180125548
2003-11-13,1178382379
2003-11-14,1173152871
2003-11-17,1157464348
2003-11-18,1105169272
2003-11-19,1129573641
2003-11-20,1110398780
2003-11-21,1084251242
2003-11-24,1129573641
2003-11-25,1183611886
2003-11-26,1192327732
2003-11-28,1176639210
2003-12-01,1187098225
2003-12-02,1183611886
2003-12-03,1310863238
2003-12-04,1253338654
2003-12-05,1255081824
2003-12-08,1281229362
2003-12-09,1289945208
2003-12-10,1282972531
2003-12-11,1136546318
2003-12-12,1197557240
2003-12-15,1188841394
2003-12-16,1194070902
2003-12-17,1206273086
2003-12-18,1256824993
2003-12-19,1209759424
2003-12-22,1237650132
2003-12-23,1319579084
2003-12-24,1331781268
2003-12-26,1359671976
2003-12-29,1373617329
2003-12-30,1373617329
2003-12-31,1375500000
2004-01-02,1375500000
2004-01-05,1408750000
2004-01-06,1389500000
2004-01-07,1391250000
2004-01-08,1464749999
2004-01-09,1561000000
2004-01-12,1545250000
2004-01-13,1536500000
2004-01-14,1566249999
2004-01-15,1554000000
2004-01-16,1557500000
2004-01-20,1664250000
2004-01-21,1879500000
2004-01-22,1813000000
2004-01-23,1795500000
2004-01-26,1818250000
2004-01-27,1816500000
2004-01-28,1802500000
2004-01-29,1741249999
2004-01-30,1662500000
2004-02-02,1667750000
2004-02-03,1632750000
2004-02-04,1648500000
2004-02-05,1615250000
2004-02-06,1744750000
2004-02-09,1695750000
2004-02-10,1736000000
2004-02-11,1568000000
2004-02-12,1522499999
2004-02-13,1524250000
2004-02-17,1463000000
2004-02-18,1415750000
2004-02-19,1466500000
2004-02-20,1426250000
2004-02-23,1361500000
2004-02-24,1366750000
2004-02-25,1410500000
2004-02-26,1398250000
2004-02-27,1473500000
2004-03-01,1487500000
2004-03-02,1449000000
2004-03-03,1519000000
2004-03-04,1519000000
2004-03-05,1484000000
2004-03-08,1434999999
2004-03-09,1420999999
2004-03-10,1366750000
2004-03-11,1344000000
2004-03-12,1382500000
2004-03-15,1326500000
2004-03-16,1372000000
2004-03-17,1396500000
2004-03-18,1366750000
2004-03-19,1331750000
2004-03-22,1274000000
2004-03-23,1296750000
2004-03-24,1240750000
2004-03-25,1277500000
2004-03-26,1319500000
2004-03-29,1380750000
2004-03-30,1473500000
2004-03-31,1494499999
2004-04-01,1555750000
2004-04-02,1576750000
2004-04-05,1564500000
2004-04-06,1477000000
2004-04-07,1520750000
2004-04-08,1512000000
2004-04-12,1581999999
2004-04-13,1527750000
2004-04-14,1519000000
2004-04-15,1543500000
2004-04-16,1557500000
2004-04-19,1580250000
2004-04-20,1564500000
2004-04-21,1561000000
2004-04-22,1618750000
2004-04-23,1615250000
2004-04-26,1608250000
2004-04-27,1603000000
2004-04-28,1561000000
2004-04-29,1524250000
2004-04-30,1524250000
2004-05-03,1519000000
2004-05-04,1506750000
2004-05-05,1568000000
2004-05-06,1508499999
2004-05-07,1482250000
2004-05-10,1400000000
2004-05-11,1438500000
2004-05-12,1429750000
2004-05-13,1434999999
2004-05-14,1403500000
2004-05-17,1373750000
2004-05-18,1428000000
2004-05-19,1498000000
2004-05-20,1445500000
2004-05-21,1442000000
2004-05-24,1477000000
2004-05-25,1540000000
2004-05-26,1541750000
2004-05-27,1547000000
2004-05-28,1522499999
2004-06-01,1540000000
2004-06-02,1533000000
2004-06-03,1482250000
2004-06-04,1515500000
2004-06-07,1581999999
2004-06-08,1601250000
2004-06-09,1564500000
2004-06-10,1578500000
2004-06-14,1578500000
2004-06-15,1613500000
2004-06-16,1571500000
2004-06-17,1652000000
2004-06-18,1730750000
2004-06-21,1704500000
2004-06-22,1697499999
2004-06-23,1750000000
2004-06-24,1723750000
2004-06-25,1723750000
2004-06-28,1620500000
2004-06-29,1599500000
2004-06-30,1590750000
2004-07-01,1613500000
2004-07-02,1632750000
2004-07-06,1666000000
2004-07-07,1699250000
2004-07-08,1667750000
2004-07-09,1678250000
2004-07-12,1666000000
2004-07-13,1699250000
2004-07-14,1685250000
2004-07-15,1692250000
2004-07-16,1688750000
2004-07-19,1702750000
2004-07-20,1723750000
2004-07-21,1664250000
2004-07-22,1736000000
2004-07-23,1774500000
2004-07-26,1762250000
2004-07-27,1813000000
2004-07-28,1879500000
2004-07-29,1939000000
2004-07-30,1916249999
2004-08-02,1984500000
2004-08-03,1923250000
2004-08-04,1898750000
2004-08-05,1907500000
2004-08-06,1820000000
2004-08-09,1809500000
2004-08-10,1907500000
2004-08-11,1919750000
2004-08-12,1835750000
2004-08-13,1835750000
2004-08-16,1925000000
2004-08-17,1897000000
2004-08-18,1939000000
2004-08-19,1897000000
2004-08-20,1909250000
2004-08-23,1837500000
2004-08-24,1853250000
2004-08-25,1907500000
2004-08-26,1895250000
2004-08-27,1895250000
2004-08-30,1905750000
2004-08-31,1921500000
2004-09-01,1998500000
2004-09-02,2054500000
