,BA
2000-10-13,49103885146
2000-10-16,50305363187
2000-10-17,50566554065
2000-10-18,50775506768
2000-10-19,48842694267
2000-10-20,50148648660
2000-10-23,51193412173
2000-10-24,50984459471
2000-10-25,52290413863
2000-10-26,52708319268
2000-10-27,53282939201
2000-10-30,54066511836
2000-10-31,56678420620
2000-11-01,54954560823
2000-11-02,55267989877
2000-11-03,55215751701
2000-11-06,55215751701
2000-11-07,54484417242
2000-11-08,54327702715
2000-11-09,54902322647
2000-11-10,53073986498
2000-11-13,52499366565
2000-11-14,53805320958
2000-11-15,53126224674
2000-11-16,55006798998
2000-11-17,54641131769
2000-11-20,54797846296
2000-11-21,57357516904
2000-11-22,54432179066
2000-11-24,54902322647
2000-11-27,56312753391
2000-11-28,56417229742
2000-11-29,58454518594
2000-11-30,57723184134
2000-12-01,55006798998
2000-12-04,54170988187
2000-12-05,57618707783
2000-12-06,56312753391
2000-12-07,55842609809
2000-12-08,58454518594
2000-12-11,57148564202
2000-12-12,57775422310
2000-12-13,56730658796
2000-12-14,56208277039
2000-12-15,54223226363
2000-12-18,57253040553
2000-12-19,55476942580
2000-12-20,54327702715
2000-12-21,54014273660
2000-12-22,53021748322
2000-12-26,52656081093
2000-12-27,53544130079
2000-12-28,54693369944
2000-12-29,55163513526
2001-01-02,51820270282
2001-01-03,52290413863
2001-01-04,50984459471
2001-01-05,49103885146
2001-01-08,49312837849
2001-01-09,49260599673
2001-01-10,50462077714
2001-01-11,49417314200
2001-01-12,50671030416
2001-01-16,50984459471
2001-01-17,49103885146
2001-01-18,47954645281
2001-01-19,46544214537
2001-01-22,46805405416
2001-01-23,48059121632
2001-01-24,48006883456
2001-01-25,49521790551
2001-01-26,48529265213
2001-01-29,47189877553
2001-01-30,46930778709
2001-01-31,48894932443
2001-02-01,47240027037
2001-02-02,47515842933
2001-02-05,48418520281
2001-02-06,47415547308
2001-02-07,48017331927
2001-02-08,48067478068
2001-02-09,47925391902
2001-02-12,49371344605
2001-02-13,50750433279
2001-02-14,50641777038
2001-02-15,50274021953
2001-02-16,50140292223
2001-02-20,51694896988
2001-02-21,50315811658
2001-02-22,51218485662
2001-02-23,51494304901
2001-02-26,52455484826
2001-02-27,53241149496
2001-02-28,51987433280
2001-03-01,49856116547
2001-03-02,50232228069
2001-03-05,51745047309
2001-03-06,51928926523
2001-03-07,53575471313
2001-03-08,54118750012
2001-03-09,54745608120
2001-03-12,50984459471
2001-03-13,50625060822
2001-03-14,48493743254
2001-03-15,46888984825
2001-03-16,44924831091
2001-03-19,46822121632
2001-03-20,45969594605
2001-03-21,45008410500
2001-03-22,43462162172
2001-03-23,44297972983
2001-03-26,46337350526
2001-03-27,46136757603
2001-03-28,45969594605
2001-03-29,46763615711
2001-03-30,46563019444
2001-04-02,45310588248
2001-04-03,44972942012
2001-04-04,44989412601
2001-04-05,46784706719
2001-04-06,46101176483
2001-04-09,46834116836
2001-04-10,49263529425
2001-04-11,48687058013
2001-04-12,49823529426
2001-04-16,49205882367
2001-04-17,49905880720
2001-04-18,50482352132
2001-04-19,49930589073
2001-04-20,50811765543
2001-04-23,49527058014
2001-04-24,50070587426
2001-04-25,49691764720
2001-04-26,50218823543
2001-04-27,50737647896
2001-04-30,50894116838
2001-05-01,52236470603
2001-05-02,52705882368
2001-05-03,52705882368
2001-05-04,53117647074
2001-05-07,53274119309
2001-05-08,53224703426
2001-05-09,53529411780
2001-05-10,54311762250
2001-05-11,54361178133
2001-05-14,54962351309
2001-05-15,54838820250
2001-05-16,54970588251
2001-05-17,56650589075
2001-05-18,56288233663
2001-05-21,56568236957
2001-05-22,56000000016
2001-05-23,54352941192
2001-05-24,53694115191
2001-05-25,52154119309
2001-05-29,52318822720
2001-05-30,51923528603
2001-05-31,51791763897
2001-06-01,53529411780
2001-06-04,54377646250
2001-06-05,55118823545
2001-06-06,54435292486
2001-06-07,54064707544
2001-06-08,53191761426
2001-06-11,53117647074
2001-06-12,54114116838
2001-06-13,53932939544
2001-06-14,52343530250
2001-06-15,52911764721
2001-06-18,53430585779
2001-06-19,50894116838
2001-06-20,50325883190
2001-06-21,47558823543
2001-06-22,46941176484
2001-06-25,46908234483
2001-06-26,46957647072
2001-06-27,47517647895
2001-06-28,47138825189
2001-06-29,45788233660
2001-07-02,45227161307
2001-07-03,45203088035
2001-07-05,44320370381
2001-07-06,43574073282
2001-07-09,42394446059
2001-07-10,43453705319
2001-07-11,42450618899
2001-07-12,43734567912
2001-07-13,44191975319
2001-07-16,44360493035
2001-07-17,45179011554
2001-07-18,45845062542
2001-07-19,45251233776
2001-07-20,45572223035
2001-07-23,45138888900
2001-07-24,44344442850
2001-07-25,45475924332
2001-07-26,46631482295
2001-07-27,46655554764
2001-07-30,46061730011
2001-07-31,46968517727
2001-08-01,47345679024
2001-08-02,47201234579
2001-08-03,47514196740
2001-08-06,46864199147
2001-08-07,46141975320
2001-08-08,45427778591
2001-08-09,45227161307
2001-08-10,45620368776
2001-08-13,45299383529
2001-08-14,44849999208
2001-08-15,43686418961
2001-08-16,44240124270
2001-08-17,43333333344
2001-08-20,42803703714
2001-08-21,41680246121
2001-08-22,41969135010
2001-08-23,41864813220
2001-08-24,43036420566
2001-08-27,42579013158
2001-08-28,41447532479
2001-08-29,40685185997
2001-08-30,40524691368
2001-08-31,41086420565
2001-09-04,40083334145
2001-09-05,40612963775
2001-09-06,39192592602
2001-09-07,36255555564
2001-09-10,34875307848
2001-09-17,28728394266
2001-09-18,26593826364
2001-09-19,26168519327
2001-09-20,23881481487
2001-09-21,24154320993
2001-09-24,26320986858
2001-09-25,27548767043
2001-09-26,27516667475
2001-09-27,27604939883
2001-09-28,26882716056
2001-10-01,25940770843
2001-10-02,27421955140
2001-10-03,29295455141
2001-10-04,29127321326
2001-10-05,29031242001
2001-10-08,29319473571
2001-10-09,28823076936
2001-10-10,28630921488
2001-10-11,28967192320
2001-10-12,28743014434
2001-10-15,28238608987
2001-10-16,28118512032
2001-10-17,26981603376
2001-10-18,26309064915
2001-10-19,26781443120
2001-10-22,26981603376
2001-10-23,27133723570
2001-10-24,27413950331
2001-10-25,28743014434
2001-10-26,30168153859
2001-10-29,27021634627
2001-10-30,26445172288
2001-10-31,26100895846
2001-11-01,26573274852
2001-11-02,27502017641
2001-11-05,28062467160
2001-11-06,28438769243
2001-11-07,27934364596
2001-11-08,27942373408
2001-11-09,26613309305
2001-11-12,26469193120
2001-11-13,26909545684
2001-11-14,27301857385
2001-11-15,27413950331
2001-11-16,28014431101
2001-11-19,28102498411
2001-11-20,27998417479
2001-11-21,27782244402
2001-11-23,28526840557
2001-11-26,28735005622
2001-11-27,28422756423
2001-11-28,27357902257
2001-11-29,28142533665
2001-11-30,28102498411
2001-12-03,28022435910
2001-12-04,28326680300
2001-12-05,28735005622
2001-12-06,29711789275
2001-12-07,29863909469
2001-12-10,29543655460
2001-12-11,29679762833
2001-12-12,29463588956
2001-12-13,29623717962
2001-12-14,30064069725
2001-12-17,29671757224
2001-12-18,29823878218
2001-12-19,30032043283
2001-12-20,30536447930
2001-12-21,30936768443
2001-12-24,30760626617
2001-12-26,30904742002
2001-12-27,30976800495
2001-12-28,31305062515
2001-12-31,31048858187
2002-01-02,30504421489
2002-01-03,31024839757
2002-01-04,32313872610
2002-01-07,32826282066
2002-01-08,32289854179
2002-01-09,31945578538
2002-01-10,31897538475
2002-01-11,30976800495
2002-01-14,30624519244
2002-01-15,31505222771
2002-01-16,30440371808
2002-01-17,30688572127
2002-01-18,31345097769
2002-01-22,31849499213
2002-01-23,31489213153
2002-01-24,32025641040
2002-01-25,32409948732
2002-01-28,32746219564
2002-01-29,32209788475
2002-01-30,32025641040
2002-01-31,32786250815
2002-02-01,33194576137
2002-02-04,32906344567
2002-02-05,32746219564
2002-02-06,32810269245
2002-02-07,32874321328
2002-02-08,33386731584
2002-02-11,34427564118
2002-02-12,34547661873
2002-02-13,35948783668
2002-02-14,35844698734
2002-02-15,35948783668
2002-02-19,34996018445
2002-02-20,34675763636
2002-02-21,35396338958
2002-02-22,35836690722
2002-02-25,35980806907
2002-02-26,36148943925
2002-02-27,36749424694
2002-02-28,36797460754
2002-03-01,38302666683
2002-03-04,39335494408
2002-03-05,38598903062
2002-03-06,39919962357
2002-03-07,38815076940
2002-03-08,39551668285
2002-03-11,40736616203
2002-03-12,40256229986
2002-03-13,39407552100
2002-03-14,38118520048
2002-03-15,38414756427
2002-03-18,38134532869
2002-03-19,38462795689
2002-03-20,37654146652
2002-03-21,38166556108
2002-03-22,37141736395
2002-03-25,36605308509
2002-03-26,36661353381
2002-03-27,37894341361
2002-03-28,38630929504
2002-04-01,38484204603
2002-04-02,39423824766
2002-04-03,39134711364
2002-04-04,39415795444
2002-04-05,38781351342
2002-04-08,39351546416
2002-04-09,39006216518
2002-04-10,39817341836
2002-04-11,39206989714
2002-04-12,38990153860
2002-04-15,38267372763
2002-04-16,39110619383
2002-04-17,36436318806
2002-04-18,35095155463
2002-04-19,34332216516
2002-04-22,34645421898
2002-04-23,34131443320
2002-04-24,34051135647
2002-04-25,33649589255
2002-04-26,33336379857
2002-04-29,35038938969
2002-04-30,35817936560
2002-05-01,36540721672
2002-05-02,36034772414
2002-05-03,35842031753
2002-05-06,34838165773
2002-05-07,34645421898
2002-05-08,35665350537
2002-05-09,36123113424
2002-05-10,35038938969
2002-05-13,35560947672
2002-05-14,36524659816
2002-05-15,35777782724
2002-05-16,36139175280
2002-05-17,36476472643
2002-05-20,36243578145
2002-05-21,35617163364
2002-05-22,35665350537
2002-05-23,35456548019
2002-05-24,34814070580
2002-05-28,34532989712
2002-05-29,34532989712
2002-05-30,35063030949
2002-05-31,34251908843
2002-06-03,33617464741
2002-06-04,33609431404
2002-06-05,34163567834
2002-06-06,33697772413
2002-06-07,34340245837
2002-06-10,34468740683
2002-06-11,34131443320
2002-06-12,35199558328
2002-06-13,34131443320
2002-06-14,34155535300
2002-06-17,35336082496
2002-06-18,35159401280
2002-06-19,34637392577
2002-06-20,35151371155
2002-06-21,34508897731
2002-06-24,34324187194
2002-06-25,34428586846
2002-06-26,34308124535
2002-06-27,35978555920
2002-06-28,36139175280
2002-07-01,35300423962
2002-07-02,35252936974
2002-07-03,34643489374
2002-07-05,35617021290
2002-07-08,34904679281
2002-07-09,34208171017
2002-07-10,32292765178
2002-07-11,32585615450
2002-07-12,31778299467
2002-07-15,31469615450
2002-07-16,32348169433
2002-07-17,33986552412
2002-07-18,32680596548
2002-07-19,31596253748
2002-07-22,30496084326
2002-07-23,30749360130
2002-07-24,32601446029
2002-07-25,33986552412
2002-07-26,33242553204
2002-07-29,33266297093
2002-07-30,32965533510
2002-07-31,32862638310
2002-08-01,32158213569
2002-08-02,31540849492
2002-08-05,30559405058
2002-08-06,31192595756
2002-08-07,32530211195
2002-08-08,32846808523
2002-08-09,32451063842
2002-08-12,32055319161
2002-08-13,29467148947
2002-08-14,28770636725
2002-08-15,29672937764
2002-08-16,29680851075
2002-08-19,30472340437
2002-08-20,29981617824
2002-08-21,29736255330
2002-08-22,30472340437
2002-08-23,29388000802
2002-08-26,29198041772
2002-08-27,29308850283
2002-08-28,29704594964
2002-08-29,29419658002
2002-08-30,29340510649
2002-09-03,28066211985
2002-09-04,29166381406
2002-09-05,28517360921
2002-09-06,29451318368
2002-09-09,29562126087
2002-09-10,29427574479
2002-09-11,29348427125
2002-09-12,28849788036
2002-09-13,28161193082
2002-09-16,29467148947
2002-09-17,28723149738
2002-09-18,29103063840
2002-09-19,28113702138
2002-09-20,28873531925
2002-09-23,28018724997
2002-09-24,27670467304
2002-09-25,28026638308
2002-09-26,28928935389
2002-09-27,27464681652
2002-09-30,27190234141
2002-10-01,28680000012
2002-10-02,27389400808
2002-10-03,27333634141
2002-10-04,25501298417
2002-10-07,25796067474
2002-10-08,25501298417
2002-10-09,24250534140
2002-10-10,24975500010
2002-10-11,25493333344
2002-10-14,24744465880
2002-10-15,25612834937
2002-10-16,24298333343
2002-10-17,23884066676
2002-10-18,23103333343
2002-10-21,24186800806
2002-10-22,24011532546
2002-10-23,24457667473
2002-10-24,23860167473
2002-10-25,24154933343
2002-10-28,23087400009
2002-10-29,23661000806
2002-10-30,24059334140
2002-10-31,23700833343
2002-11-01,24218666676
2002-11-04,23637100009
2002-11-05,25110933343
2002-11-06,26752068271
2002-11-07,25724367474
2002-11-08,26433400011
2002-11-11,24879900010
2002-11-12,25222466677
2002-11-13,25031266677
2002-11-14,24975500010
2002-11-15,25095000010
2002-11-18,24632933343
2002-11-19,25015333343
2002-11-20,25278233343
2002-11-21,25843865880
2002-11-22,27086666678
2002-11-25,26680368271
2002-11-26,26823765084
2002-11-27,27899266678
2002-11-29,27126499214
2002-12-02,27166331751
2002-12-03,27277868271
2002-12-04,27030900011
2002-12-05,26258132547
2002-12-06,26608668271
2002-12-09,25812001604
2002-12-10,25692500010
2002-12-11,25915565880
2002-12-12,25533165880
2002-12-13,25015333343
2002-12-16,25429600010
2002-12-17,25373833343
2002-12-18,25509266677
2002-12-19,25692500010
2002-12-20,26058965880
2002-12-23,26122700807
2002-12-24,26011168270
2002-12-26,25995234140
2002-12-27,25756234937
2002-12-30,26210334937
2002-12-31,26282034937
2003-01-02,26991067474
2003-01-03,27230066678
2003-01-06,27190234141
2003-01-07,26528999214
2003-01-08,26688333344
2003-01-09,27007001604
2003-01-10,26967165084
2003-01-13,27325665881
2003-01-14,27206168271
2003-01-15,26568831751
2003-01-16,26656465881
2003-01-17,26521034141
2003-01-21,25812001604
2003-01-22,25318067473
2003-01-23,25373833343
2003-01-24,24704633343
2003-01-27,24393934140
2003-01-28,25055167473
2003-01-29,24385967473
2003-01-30,24425800010
2003-01-31,25166700010
2003-02-03,24784300807
2003-02-04,24887866677
2003-02-05,24433766676
2003-02-06,24338165880
2003-02-07,23900000010
2003-02-10,24115100010
2003-02-11,23772533343
2003-02-12,23605232546
2003-02-13,23501666676
2003-02-14,24019500010
2003-02-18,23900000010
2003-02-19,24043400010
2003-02-20,23238766676
2003-02-21,23613199213
2003-02-24,22697033342
2003-02-25,22458034139
2003-02-26,22179200009
2003-02-27,22266834139
2003-02-28,21956132545
2003-03-03,21597634139
2003-03-04,21868500805
2003-03-05,21302866675
2003-03-06,20840800008
2003-03-07,20585866675
2003-03-10,20330933341
2003-03-11,20091932545
2003-03-12,20036166675
2003-03-13,20195500008
2003-03-14,20354832545
2003-03-17,21430333342
2003-03-18,22171233342
2003-03-19,22266834139
2003-03-20,22163266675
2003-03-21,22386333342
2003-03-24,21533900805
2003-03-25,21804767472
2003-03-26,21032000008
2003-03-27,21127600008
2003-03-28,20793000008
2003-03-31,20050505199
2003-04-01,20538567000
2003-04-02,21330666000
2003-04-03,21242654199
2003-04-04,21202650000
2003-04-07,21922740000
2003-04-08,21890736800
2003-04-09,21986748000
2003-04-10,21674709000
2003-04-11,21178646199
2003-04-14,21802725000
2003-04-15,21834729800
2003-04-16,21314663199
2003-04-17,21322665000
2003-04-21,21426678800
2003-04-22,22242779199
2003-04-23,22514813199
2003-04-24,22106762199
2003-04-25,21754719800
2003-04-28,21906737199
2003-04-29,22210776000
2003-04-30,21826728800
2003-05-01,21690711800
2003-05-02,22898862800
2003-05-05,22098762800
2003-05-06,22514813199
2003-05-07,22706837199
2003-05-08,22514813199
2003-05-09,23282910000
2003-05-12,23858982000
2003-05-13,23642954199
2003-05-14,23594949000
2003-05-15,24131016000
2003-05-16,24339042000
2003-05-19,23258907000
2003-05-20,23146893000
2003-05-21,23042879199
2003-05-22,23282910000
2003-05-23,23994999000
2003-05-27,23922990000
2003-05-28,24307037199
2003-05-29,23962995800
2003-05-30,24539067000
2003-06-02,25571195199
2003-06-03,25691211800
2003-06-04,26843354199
2003-06-05,26947368000
2003-06-06,27891486800
2003-06-09,26539315399
2003-06-10,27451431800
2003-06-11,28323541600
2003-06-12,28603575000
2003-06-13,28275534000
2003-06-16,29131640999
2003-06-17,28923616600
2003-06-18,28667584600
2003-06-19,28403550000
2003-06-20,28427552199
2003-06-23,27571445199
2003-06-24,27603450000
2003-06-25,27531440999
2003-06-26,27523441600
2003-06-27,27379422800
2003-06-30,27459432000
2003-07-01,27723466600
2003-07-02,27843479199
2003-07-03,27667459600
2003-07-07,28011499399
2003-07-08,27995500600
2003-07-09,28187522999
2003-07-10,27755468199
2003-07-11,28147518000
2003-07-14,27667459600
2003-07-15,26755343199
2003-07-16,26715338199
2003-07-17,26539315399
2003-07-18,26683333399
2003-07-21,25883233399
2003-07-22,26059257000
2003-07-23,26155268199
2003-07-24,25763220800
2003-07-25,26147268000
2003-07-28,26219277000
2003-07-29,25643204199
2003-07-30,26198112000
2003-07-31,26681471194
2003-08-01,26117550388
2003-08-04,25956432805
2003-08-05,25150831194
2003-08-06,25706696000
2003-08-07,25722808000
2003-08-08,25980600000
2003-08-11,25956432805
2003-08-12,26270616805
2003-08-13,26085328805
2003-08-14,26568687999
2003-08-15,26536463194
2003-08-18,27052049611
2003-08-19,27656249611
2003-08-20,27680416805
2003-08-21,28147663194
2003-08-22,28743808000
2003-08-25,28437679194
2003-08-26,28767975194
2003-08-27,29114383194
2003-08-28,29791087999
2003-08-29,30121383194
2003-09-02,30363063194
2003-09-03,30910871194
2003-09-04,30524183194
2003-09-05,29936095999
2003-09-08,29774975194
2003-09-09,29267449611
2003-09-10,28695471999
2003-09-11,28776032000
2003-09-12,28727695999
2003-09-15,28598800000
2003-09-16,28848536000
2003-09-17,28542408000
2003-09-18,29114384000
2003-09-19,28832424000
2003-09-22,28107384000
2003-09-23,28316840000
2003-09-24,27551520000
2003-09-25,27197056000
2003-09-26,27398456000
2003-09-29,27752920000
2003-09-30,27419987189
2003-10-01,28226692317
2003-10-02,28218705138
2003-10-03,28634038471
2003-10-06,28602089753
2003-10-07,28889628215
2003-10-08,28977487189
2003-10-09,29384833343
2003-10-10,29512628215
2003-10-13,29792179497
2003-10-14,29672371805
2003-10-15,29552564113
2003-10-16,29911987190
2003-10-17,29744256420
2003-10-20,29768217959
2003-10-21,29233076933
2003-10-22,28881641035
2003-10-23,28705923087
2003-10-24,28977487189
2003-10-27,28785794881
2003-10-28,28785794881
2003-10-29,30750641036
2003-10-30,30966294882
2003-10-31,30742653857
2003-11-03,31078115395
2003-11-04,30934346164
2003-11-05,30830512831
2003-11-06,31062141036
2003-11-07,31070128216
2003-11-10,31014217959
2003-11-11,30606871805
2003-11-12,31205910267
2003-11-13,31868846165
2003-11-14,31349679498
2003-11-17,31741051293
2003-11-18,31014217959
2003-11-19,31469487190
2003-11-20,31429551293
2003-11-21,31038179498
2003-11-24,31062141036
2003-11-25,30558948728
2003-11-26,30574923087
2003-11-28,30662782062
2003-12-01,30367256420
2003-12-02,30215500010
2003-12-03,30766615395
2003-12-04,31237858985
2003-12-05,30351282062
2003-12-08,31245846164
2003-12-09,30814538472
2003-12-10,31046166677
2003-12-11,31597282062
2003-12-12,31445525652
2003-12-15,31309743600
2003-12-16,31892807703
2003-12-17,32635615396
2003-12-18,33026987191
2003-12-19,33130820524
2003-12-22,33226666678
2003-12-23,33498230781
2003-12-24,33034974370
2003-12-26,33122833345
2003-12-29,33546153858
2003-12-30,33769794883
2003-12-31,34002766000
2004-01-02,33881731000
2004-01-05,33946283000
2004-01-06,33833317000
2004-01-07,34115732000
2004-01-08,34583734000
2004-01-09,34406216000
2004-01-12,34220628999
2004-01-13,34083456000
2004-01-14,34785459000
2004-01-15,34728976000
2004-01-16,35511669000
2004-01-20,34841942000
2004-01-21,35180840000
2004-01-22,34616010000
2004-01-23,33768765000
2004-01-26,34244836000
2004-01-27,33841386000
2004-01-28,33518626000
2004-01-29,34131869999
2004-01-30,33688075000
2004-02-02,34325526000
2004-02-03,34777390000
2004-02-04,35148564000
2004-02-05,35794084000
2004-02-06,35786015000
2004-02-09,35471324000
2004-02-10,35318013000
2004-02-11,35898981000
2004-02-12,35802153000
2004-02-13,35866705000
2004-02-17,35987740000
2004-02-18,35979671000
2004-02-19,35923188000
2004-02-20,35777946000
2004-02-23,35196978000
2004-02-24,34874218000
2004-02-25,35358358000
2004-02-26,34244836000
2004-02-27,34995253000
2004-03-01,35318013000
2004-03-02,34962977000
2004-03-03,34745114000
2004-03-04,34398147000
2004-03-05,34470768000
2004-03-08,34228698000
2004-03-09,33631592000
2004-03-10,33179727999
2004-03-11,32397035000
2004-03-12,32518069999
2004-03-15,32098482000
2004-03-16,31799928999
2004-03-17,32114619999
2004-03-18,32050068000
2004-03-19,31816067000
2004-03-22,31210892000
2004-03-23,31557859000
2004-03-24,31493307000
2004-03-25,32050068000
2004-03-26,31751515000
2004-03-29,32219517000
2004-03-30,32542277000
2004-03-31,33176346000
2004-04-01,32934006000
2004-04-02,33798352000
2004-04-05,34363812000
2004-04-06,34218408000
2004-04-07,33733728000
2004-04-08,33402530000
2004-04-12,34048770000
2004-04-13,33749884000
2004-04-14,33580246000
2004-04-15,33547934000
2004-04-16,33523700000
2004-04-19,33515622000
2004-04-20,32756289999
2004-04-21,32998630000
2004-04-22,34145706000
2004-04-23,34291110000
2004-04-26,34929272000
2004-04-27,35179690000
2004-04-28,35567434000
2004-04-29,34937350000
2004-04-30,34484982000
2004-05-03,35203924000
2004-05-04,34961584000
2004-05-05,35349328000
2004-05-06,35486654000
2004-05-07,35058520000
2004-05-10,34404202000
2004-05-11,34880804000
2004-05-12,35203924000
2004-05-13,35236236000
2004-05-14,35090832000
2004-05-17,34517294000
2004-05-18,34751556000
2004-05-19,35042364000
2004-05-20,34670776000
2004-05-21,35058520000
2004-05-24,35995568000
2004-05-25,36108660000
2004-05-26,36157128000
2004-05-27,37320360000
2004-05-28,36997240000
2004-06-01,37061864000
2004-06-02,37764650000
2004-06-03,37239580000
2004-06-04,37885820000
2004-06-07,38879414000
2004-06-08,38847102000
2004-06-09,39307548000
2004-06-10,39380250000
2004-06-14,39444874000
2004-06-15,39784150000
2004-06-16,40309220000
2004-06-17,39961866000
2004-06-18,40228440000
2004-06-21,39986100000
2004-06-22,40123426000
2004-06-23,40931226000
2004-06-24,40672730000
2004-06-25,41440140000
2004-06-28,40559638000
2004-06-29,40801978000
2004-06-30,41628132000
2004-07-01,40658520000
2004-07-02,40348896000
2004-07-06,40177788000
2004-07-07,40242972000
2004-07-08,40715556000
2004-07-09,40772592000
2004-07-12,40902960000
2004-07-13,40951848000
2004-07-14,40185936000
2004-07-15,40039272000
2004-07-16,40031124000
2004-07-19,39656316000
2004-07-20,39729648000
2004-07-21,38882256000
2004-07-22,38540040000
2004-07-23,38344488000
2004-07-26,38295600000
2004-07-27,39289656000
2004-07-28,39933348000
2004-07-29,40479264000
2004-07-30,41351100000
2004-08-02,41481468000
2004-08-03,41359248000
2004-08-04,41554800000
2004-08-05,40748148000
2004-08-06,39379284000
2004-08-09,39729648000
2004-08-10,40422228000
2004-08-11,40479264000
2004-08-12,40194084000
2004-08-13,40511856000
2004-08-16,41514060000
2004-08-17,40992588000
2004-08-18,41342952000
2004-08-19,40943700000
2004-08-20,41114808000
2004-08-23,41269620000
2004-08-24,41481468000
