,DIS
2000-07-19,75993000000
2000-07-20,79324200000
2000-07-21,76888260000
2000-07-24,75222660000
2000-07-25,77013180000
2000-07-26,78179100000
2000-07-27,78054180000
2000-07-28,77783520000
2000-07-31,79199280000
2000-08-01,81135540000
2000-08-02,82405560000
2000-08-03,87298260000
2000-08-04,87152520000
2000-08-07,84341820000
2000-08-08,84987240000
2000-08-09,83571480000
2000-08-10,83175900000
2000-08-11,83446560000
2000-08-14,84071160000
2000-08-15,83175900000
2000-08-16,81905880000
2000-08-17,82530480000
2000-08-18,80365200000
2000-08-21,78949440000
2000-08-22,77929260000
2000-08-23,76888260000
2000-08-24,77783520000
2000-08-25,78304020000
2000-08-28,78179100000
2000-08-29,78949440000
2000-08-30,78824520000
2000-08-31,80011260000
2000-09-01,80094540000
2000-09-05,79324200000
2000-09-06,82155720000
2000-09-07,85237080000
2000-09-08,82676220000
2000-09-11,82030800000
2000-09-12,79324200000
2000-09-13,82155720000
2000-09-14,80864880000
2000-09-15,80490120000
2000-09-18,78949440000
2000-09-19,78699600000
2000-09-20,76388580000
2000-09-21,76242840000
2000-09-22,76888260000
2000-09-25,77158920000
2000-09-26,77408760000
2000-09-27,77158920000
2000-09-28,79719780000
2000-09-29,78553860000
2000-10-02,81135540000
2000-10-03,80739960000
2000-10-04,81905880000
2000-10-05,84716580000
2000-10-06,83571480000
2000-10-09,84071160000
2000-10-10,84987240000
2000-10-11,82801140000
2000-10-12,80094540000
2000-10-13,81635220000
2000-10-16,78553860000
2000-10-17,72786720000
2000-10-18,72911640000
2000-10-19,71766540000
2000-10-20,74702160000
2000-10-23,74327400000
2000-10-24,74327400000
2000-10-25,71495880000
2000-10-26,72141300000
2000-10-27,70475700000
2000-10-30,71620800000
2000-10-31,73557060000
2000-11-01,75222660000
2000-11-02,76638420000
2000-11-03,78179100000
2000-11-06,76638420000
2000-11-07,76242840000
2000-11-08,75743160000
2000-11-09,63917400000
2000-11-10,65083320000
2000-11-13,62522460000
2000-11-14,63542640000
2000-11-15,65333160000
2000-11-16,63417720000
2000-11-17,62001960000
2000-11-20,61356540000
2000-11-21,60336360000
2000-11-22,59690940000
2000-11-24,61106700000
2000-11-27,61481460000
2000-11-28,61356540000
2000-11-29,59170440000
2000-11-30,59441100000
2000-12-01,61606380000
2000-12-04,60461280000
2000-12-05,63022140000
2000-12-06,64562820000
2000-12-07,62897220000
2000-12-08,63542640000
2000-12-11,62376720000
2000-12-12,62251800000
2000-12-13,61106700000
2000-12-14,59566020000
2000-12-15,60336360000
2000-12-18,60211440000
2000-12-19,59815860000
2000-12-20,55589400000
2000-12-21,56859420000
2000-12-22,54298560000
2000-12-26,55318740000
2000-12-27,58150260000
2000-12-28,59045520000
2000-12-29,59441100000
2001-01-02,57379920000
2001-01-03,63792480000
2001-01-04,65603820000
2001-01-05,64687740000
2001-01-08,61877040000
2001-01-09,61877040000
2001-01-10,62376720000
2001-01-11,60586200000
2001-01-12,64833480000
2001-01-16,67914839999
2001-01-17,68539440000
2001-01-18,68039760000
2001-01-19,67144500000
2001-01-22,63917400000
2001-01-23,61606380000
2001-01-24,62647380000
2001-01-25,61752120000
2001-01-26,61231620000
2001-01-29,63292800000
2001-01-30,63459360000
2001-01-31,62543280000
2001-02-01,64687740000
2001-02-02,63147060000
2001-02-05,62501640000
2001-02-06,64916760000
2001-02-07,63667560000
2001-02-08,65999400000
2001-02-09,65624640000
2001-02-12,66769740000
2001-02-13,64687740000
2001-02-14,63979860000
2001-02-15,66561540000
2001-02-16,65749560000
2001-02-20,63979860000
2001-02-21,64708560000
2001-02-22,63667560000
2001-02-23,62230980000
2001-02-26,64500360000
2001-02-27,63147060000
2001-02-28,63563460000
2001-03-01,62314260000
2001-03-02,61606380000
2001-03-05,60648660000
2001-03-06,61065060000
2001-03-07,61585560000
2001-03-08,61314900000
2001-03-09,61044240000
2001-03-12,56505480000
2001-03-13,57546480000
2001-03-14,55631040000
2001-03-15,57504840000
2001-03-16,56526300000
2001-03-19,57525660000
2001-03-20,55277100000
2001-03-21,56234820000
2001-03-22,55402020000
2001-03-23,57130080000
2001-03-26,57338280000
2001-03-27,59982420000
2001-03-28,58254360000
2001-03-29,57713040000
2001-03-30,58733220000
2001-04-02,57690690000
2001-04-03,55892430000
2001-04-04,55892430000
2001-04-05,57920700000
2001-04-06,58778010000
2001-04-09,58987110000
2001-04-10,60346260000
2001-04-11,59049840000
2001-04-12,60011700000
2001-04-16,60158070000
2001-04-17,61872690000
2001-04-18,65803770000
2001-04-19,65761950000
2001-04-20,64695540000
2001-04-23,61935420000
2001-04-24,58945290000
2001-04-25,63545490000
2001-04-26,65009190000
2001-04-27,63796410000
2001-04-30,62395440000
2001-05-01,63022740000
2001-05-02,64465530000
2001-05-03,63859140000
2001-05-04,63754590000
2001-05-07,63921870000
2001-05-08,63043650000
2001-05-09,61579950000
2001-05-10,64110060000
2001-05-11,64507350000
2001-05-14,63838230000
2001-05-15,64151880000
2001-05-16,66138330000
2001-05-17,67058370000
2001-05-18,67246559999
2001-05-21,70717620000
2001-05-22,71156730000
2001-05-23,68292059999
2001-05-24,68689350000
2001-05-25,67330200000
2001-05-29,67288380000
2001-05-30,65552850000
2001-05-31,65218290000
2001-06-01,65427390000
2001-06-04,65218290000
2001-06-05,64674630000
2001-06-06,65176470000
2001-06-07,66326520000
2001-06-08,65699220000
2001-06-11,64988280000
2001-06-12,64946460000
2001-06-13,63524580000
2001-06-14,61600860000
2001-06-15,61266300000
2001-06-18,59886240000
2001-06-19,59509860000
2001-06-20,60346260000
2001-06-21,62081790000
2001-06-22,60220800000
2001-06-25,59802600000
2001-06-26,58276170000
2001-06-27,58067070000
2001-06-28,58464360000
2001-06-29,59593500000
2001-07-02,57834000000
2001-07-03,57058800000
2001-07-05,56732400000
2001-07-06,55773600000
2001-07-09,55732800000
2001-07-10,54529200000
2001-07-11,56344800000
2001-07-12,55590000000
2001-07-13,56732400000
2001-07-16,55549200000
2001-07-17,56956800000
2001-07-18,54366000000
2001-07-19,54631200000
2001-07-20,54345600000
2001-07-23,54100800000
2001-07-24,52632000000
2001-07-25,53264400000
2001-07-26,54141600000
2001-07-27,54406800000
2001-07-30,53529600000
2001-07-31,53019600000
2001-08-01,53672400000
2001-08-02,53325600000
2001-08-03,53529600000
2001-08-06,53998800000
2001-08-07,54937200000
2001-08-08,54386400000
2001-08-09,54814800000
2001-08-10,55141200000
2001-08-13,54814800000
2001-08-14,54488400000
2001-08-15,53570400000
2001-08-16,53223600000
2001-08-17,51612000000
2001-08-20,52122000000
2001-08-21,51918000000
2001-08-22,52550400000
2001-08-23,52632000000
2001-08-24,53631600000
2001-08-27,53121600000
2001-08-28,51836400000
2001-08-29,51142800000
2001-08-30,49572000000
2001-08-31,51183600000
2001-09-04,51734400000
2001-09-05,51040800000
2001-09-06,49286400000
2001-09-07,48511200000
2001-09-10,47450400000
2001-09-17,38739600000
2001-09-18,37026000000
2001-09-19,37230000000
2001-09-20,34170000000
2001-09-21,35965200000
2001-09-24,36026400000
2001-09-25,35128800000
2001-09-26,35088000000
2001-09-27,35312400000
2001-09-28,37474800000
2001-10-01,36253420000
2001-10-02,38210860000
2001-10-03,40045960000
2001-10-04,38822560000
2001-10-05,38618660000
2001-10-08,37639940000
2001-10-09,38414760000
2001-10-10,38822560000
2001-10-11,39923620000
2001-10-12,39454650000
2001-10-15,38516710000
2001-10-16,38537100000
2001-10-17,37211750000
2001-10-18,36008740000
2001-10-19,37191360000
2001-10-22,37313700000
2001-10-23,37252530000
2001-10-24,37089410000
2001-10-25,38251640000
2001-10-26,37639940000
2001-10-29,36702000000
2001-10-30,36518490000
2001-10-31,37395260000
2001-11-01,37884620000
2001-11-02,37966180000
2001-11-05,38537100000
2001-11-06,37721500000
2001-11-07,37130190000
2001-11-08,37905010000
2001-11-09,38108910000
2001-11-12,37639940000
2001-11-13,38414760000
2001-11-14,38863340000
2001-11-15,40841170000
2001-11-16,41758720000
2001-11-19,43247190000
2001-11-20,42778220000
2001-11-21,41942230000
2001-11-23,42248080000
2001-11-26,43022900000
2001-11-27,42390810000
2001-11-28,40657660000
2001-11-29,40759610000
2001-11-30,41167410000
2001-12-03,40168300000
2001-12-04,40229470000
2001-12-05,43553040000
2001-12-06,45347360000
2001-12-07,44959950000
2001-12-10,43512260000
2001-12-11,45061900000
2001-12-12,44735660000
2001-12-13,43451090000
2001-12-14,42186910000
2001-12-17,41819890000
2001-12-18,42186910000
2001-12-19,41636380000
2001-12-20,41330530000
2001-12-21,41595600000
2001-12-24,41534430000
2001-12-26,41432480000
2001-12-27,42248080000
2001-12-28,42146130000
2001-12-31,41677160000
2002-01-02,43145240000
2002-01-03,44490980000
2002-01-04,45653210000
2002-01-07,46774660000
2002-01-08,45836720000
2002-01-09,43858890000
2002-01-10,44837610000
2002-01-11,43981230000
2002-01-14,42982120000
2002-01-15,43206410000
2002-01-16,41228580000
2002-01-17,42717050000
2002-01-18,42635490000
2002-01-22,42472370000
2002-01-23,43063680000
2002-01-24,42635490000
2002-01-25,43818110000
2002-01-28,44531760000
2002-01-29,43756940000
2002-01-30,43043290000
2002-01-31,42370420000
2002-02-01,45163850000
2002-02-04,43614210000
2002-02-05,43858890000
2002-02-06,43084070000
2002-02-07,45367750000
2002-02-08,47100900000
2002-02-11,48181570000
2002-02-12,47060120000
2002-02-13,48018450000
2002-02-14,48752490000
2002-02-15,48079620000
2002-02-19,45979450000
2002-02-20,48936000000
2002-02-21,47732990000
2002-02-22,47610650000
2002-02-25,48711710000
2002-02-26,48059230000
2002-02-27,48772880000
2002-02-28,46264910000
2002-03-01,48263130000
2002-03-04,47386360000
2002-03-05,48365080000
2002-03-06,48568980000
2002-03-07,47794160000
2002-03-08,47773770000
2002-03-11,48120400000
2002-03-12,47692210000
2002-03-13,47202850000
2002-03-14,47264020000
2002-03-15,48915610000
2002-03-18,49303020000
2002-03-19,48874830000
2002-03-20,48283520000
2002-03-21,47529090000
2002-03-22,47162070000
2002-03-25,46672710000
2002-03-26,45979450000
2002-03-27,46040620000
2002-03-28,46428030000
2002-04-01,46106190000
2002-04-02,45820450000
2002-04-03,45187740000
2002-04-04,45432660000
2002-04-05,46800130000
2002-04-08,46555210000
2002-04-09,46453160000
2002-04-10,48432930000
2002-04-11,47249150000
2002-04-12,48330880000
2002-04-15,47596120000
2002-04-16,48126780000
2002-04-17,48534980000
2002-04-18,49126870000
2002-04-19,50229010000
2002-04-22,49412610000
2002-04-23,49330970000
2002-04-24,49371790000
2002-04-25,50331060000
2002-04-26,48514570000
2002-04-29,46351110000
2002-04-30,46677670000
2002-05-01,48657440000
2002-05-02,48392110000
2002-05-03,47514480000
2002-05-06,46085780000
2002-05-07,46085780000
2002-05-08,47983910000
2002-05-09,47412430000
2002-05-10,46616440000
2002-05-13,47208330000
2002-05-14,49126870000
2002-05-15,49330970000
2002-05-16,49392200000
2002-05-17,50024910000
2002-05-20,49188100000
2002-05-21,48004320000
2002-05-22,47208330000
2002-05-23,47983910000
2002-05-24,47432840000
2002-05-28,47392020000
2002-05-29,46412340000
2002-05-30,46779720000
2002-05-31,46126600000
2002-06-03,45310200000
2002-06-04,44779540000
2002-06-05,44534620000
2002-06-06,43697810000
2002-06-07,43595760000
2002-06-10,44248880000
2002-06-11,43452890000
2002-06-12,42575260000
2002-06-13,42371160000
2002-06-14,42350750000
2002-06-17,43350840000
2002-06-18,44187650000
2002-06-19,42003780000
2002-06-20,39391300000
2002-06-21,38758590000
2002-06-24,38248340000
2002-06-25,38717770000
2002-06-26,38289160000
2002-06-27,38350390000
2002-06-28,38044240000
2002-07-01,36980620000
2002-07-02,37266500000
2002-07-03,38164980000
2002-07-05,39859840000
2002-07-08,38267080000
2002-07-09,37797420000
2002-07-10,36837680000
2002-07-11,37674900000
2002-07-12,37164400000
2002-07-15,36225080000
2002-07-16,35551220000
2002-07-17,36551800000
2002-07-18,35571640000
2002-07-19,33529640000
2002-07-22,32038980000
2002-07-23,31487640000
2002-07-24,33080400000
2002-07-25,33305019999
2002-07-26,32222760000
2002-07-29,34959040000
2002-07-30,35122400000
2002-07-31,35714580000
2002-08-01,33897200000
2002-08-02,30834200000
2002-08-05,28751360000
2002-08-06,28975980000
2002-08-07,27995820000
2002-08-08,29200600000
2002-08-09,29506900000
2002-08-12,28669680000
2002-08-13,27730360000
2002-08-14,29200600000
2002-08-15,30527900000
2002-08-16,31957300000
2002-08-19,33550060000
2002-08-20,33141660000
2002-08-21,34040140000
2002-08-22,34999880000
2002-08-23,33897200000
2002-08-26,33570480000
2002-08-27,32222760000
2002-08-28,31017980000
2002-08-29,31773520000
2002-08-30,31589740000
2002-09-03,29670260000
2002-09-04,30303280000
2002-09-05,29731520000
2002-09-06,30936300000
2002-09-09,32038980000
2002-09-10,32733260000
2002-09-11,32590320000
2002-09-12,31222180000
2002-09-13,31222180000
2002-09-16,31875620000
2002-09-17,32181920000
2002-09-18,31712260000
2002-09-19,29833620000
2002-09-20,30691260000
2002-09-23,30364540000
2002-09-24,29711100000
2002-09-25,31079240000
2002-09-26,32038980000
2002-09-27,30691260000
2002-09-30,30507480000
2002-10-01,31630580000
2002-10-02,32733260000
2002-10-03,32222760000
2002-10-04,30323700000
2002-10-07,28485900000
2002-10-08,29506900000
2002-10-09,28608420000
2002-10-10,30650420000
2002-10-11,32222760000
2002-10-14,32386120000
2002-10-15,33733840000
2002-10-16,33039560000
2002-10-17,33733840000
2002-10-18,33733840000
2002-10-21,35020300000
2002-10-22,34468960000
2002-10-23,35857520000
2002-10-24,35061140000
2002-10-25,36225080000
2002-10-28,35020300000
2002-10-29,33733840000
2002-10-30,33897200000
2002-10-31,33631739999
2002-11-01,34305600000
2002-11-04,36368020000
2002-11-05,37531960000
2002-11-06,38001620000
2002-11-07,36776420000
2002-11-08,35612480000
2002-11-11,34999880000
2002-11-12,35347020000
2002-11-13,36061720000
2002-11-14,36510960000
2002-11-15,37327760000
2002-11-18,36878520000
2002-11-19,36613060000
2002-11-20,37368600000
2002-11-21,39390180000
2002-11-22,39349340000
2002-11-25,39553540000
2002-11-26,38287500000
2002-11-27,40064040000
2002-11-29,39921100000
2002-12-02,39063460000
2002-12-03,37348180000
2002-12-04,35612480000
2002-12-05,35530800000
2002-12-06,34591480000
2002-12-09,33938040000
2002-12-10,34326019999
2002-12-11,33958459999
2002-12-12,33978880000
2002-12-13,33284600000
2002-12-16,33999299999
2002-12-17,34305600000
2002-12-18,33305019999
2002-12-19,32631160000
2002-12-20,33162079999
2002-12-23,33509220000
2002-12-24,33059980000
2002-12-26,33366280000
2002-12-27,32243180000
2002-12-30,32304440000
2002-12-31,32855780000
2003-01-02,34775260000
2003-01-03,34979460000
2003-01-06,36756000000
2003-01-07,36368020000
2003-01-08,35612480000
2003-01-09,36429280000
2003-01-10,36551800000
2003-01-13,36858100000
2003-01-14,37205240000
2003-01-15,36245500000
2003-01-16,36368020000
2003-01-17,35857520000
2003-01-21,34550640000
2003-01-22,34897780000
2003-01-23,35612480000
2003-01-24,34448540000
2003-01-27,33733840000
2003-01-28,33938040000
2003-01-29,34366860000
2003-01-30,32937459999
2003-01-31,35244920000
2003-02-03,35142820000
2003-02-04,34040140000
2003-02-05,34040140000
2003-02-06,34244340000
2003-02-07,32937459999
2003-02-10,33162079999
2003-02-11,33202920000
2003-02-12,32835359999
2003-02-13,32488220000
2003-02-14,33693000000
2003-02-18,34856940000
2003-02-19,33938040000
2003-02-20,33938040000
2003-02-21,34285180000
2003-02-24,33468380000
2003-02-25,33754260000
2003-02-26,33570480000
2003-02-27,33243760000
2003-02-28,34366860000
2003-03-03,33835940000
2003-03-04,32324860000
2003-03-05,32100240000
2003-03-06,31548900000
2003-03-07,31671420000
2003-03-10,30589160000
2003-03-11,30262440000
2003-03-12,30589160000
2003-03-13,32631160000
2003-03-14,33080400000
2003-03-17,34264760000
2003-03-18,33407120000
2003-03-19,34183079999
2003-03-20,34530220000
2003-03-21,37756580000
2003-03-24,35061140000
2003-03-25,35632900000
2003-03-26,35510380000
2003-03-27,35408280000
2003-03-28,35632900000
2003-03-31,34285180000
2003-04-01,34485840000
2003-04-02,36242820000
2003-04-03,35568630000
2003-04-04,35139600000
2003-04-07,35752500000
2003-04-08,34526700000
2003-04-09,34465410000
2003-04-10,34955730000
2003-04-11,35956800000
2003-04-14,36671850000
2003-04-15,36896580000
2003-04-16,36263250000
2003-04-17,37080450000
2003-04-21,37182600000
2003-04-22,38040660000
2003-04-23,38776140000
2003-04-24,37591200000
2003-04-25,36590130000
2003-04-28,37182600000
2003-04-29,36937440000
2003-04-30,37611630000
2003-05-01,37734210000
2003-05-02,38061090000
2003-05-05,37264320000
2003-05-06,37203030000
2003-05-07,36998730000
2003-05-08,36610560000
2003-05-09,37611630000
2003-05-12,38367540000
2003-05-13,37284750000
2003-05-14,36876150000
2003-05-15,37203030000
2003-05-16,37162170000
2003-05-19,35915940000
2003-05-20,35977230000
2003-05-21,36038520000
2003-05-22,36528840000
2003-05-23,36753570000
2003-05-27,38040660000
2003-05-28,39184740000
2003-05-29,38857860000
2003-05-30,39593340000
2003-06-02,40451400000
2003-06-03,39818070000
2003-06-04,41779350000
2003-06-05,42208380000
2003-06-06,42882570000
2003-06-09,40962150000
2003-06-10,41554620000
2003-06-11,41922360000
2003-06-12,41922360000
2003-06-13,41023440000
2003-06-16,41656770000
2003-06-17,42596550000
2003-06-18,41534190000
2003-06-19,40492260000
2003-06-20,40982580000
2003-06-23,40022370000
2003-06-24,39552480000
2003-06-25,38510550000
2003-06-26,39103020000
2003-06-27,38980440000
2003-06-30,39797640000
2003-07-01,40122900000
2003-07-02,40777300000
2003-07-03,40491000000
2003-07-07,41513500000
2003-07-08,41554400000
2003-07-09,42208800000
2003-07-10,41472600000
2003-07-11,42045200000
2003-07-14,42985900000
2003-07-15,43067700000
2003-07-16,42474650000
2003-07-17,42004300000
2003-07-18,42392850000
2003-07-21,41165850000
2003-07-22,42004300000
2003-07-23,41574850000
2003-07-24,42065650000
2003-07-25,42945000000
2003-07-28,44192450000
2003-07-29,44478750000
2003-07-30,43763000000
2003-07-31,44212900000
2003-08-01,45439900000
2003-08-04,44601450000
2003-08-05,43476700000
2003-08-06,43190400000
2003-08-07,43681200000
2003-08-08,44069750000
2003-08-11,44478750000
2003-08-12,45296750000
2003-08-13,45399000000
2003-08-14,45521700000
2003-08-15,45296750000
2003-08-18,45194500000
2003-08-19,44846850000
2003-08-20,44335600000
2003-08-21,43578950000
2003-08-22,43190400000
2003-08-25,42863200000
2003-08-26,42065650000
2003-08-27,41799800000
2003-08-28,40961350000
2003-08-29,41349900000
2003-09-02,42270150000
2003-09-03,43006350000
2003-09-04,43292650000
2003-09-05,42740500000
2003-09-08,43088150000
2003-09-09,42720050000
2003-09-10,41554400000
2003-09-11,41718000000
2003-09-12,40838650000
2003-09-15,40552350000
2003-09-16,41227200000
2003-09-17,40900000000
2003-09-18,41247650000
2003-09-19,41309000000
2003-09-22,40368300000
2003-09-23,40756850000
2003-09-24,39959300000
2003-09-25,40981800000
2003-09-26,40511450000
2003-09-29,40920450000
2003-09-30,40695500000
2003-10-01,42024750000
2003-10-02,42249700000
2003-10-03,42924550000
2003-10-06,42740500000
2003-10-07,43497150000
2003-10-08,43292650000
2003-10-09,44131100000
2003-10-10,43701650000
2003-10-13,43374450000
2003-10-14,44274250000
2003-10-15,43885700000
2003-10-16,44172000000
2003-10-17,43538050000
2003-10-20,43476700000
2003-10-21,43967500000
2003-10-22,43619850000
2003-10-23,44090200000
2003-10-24,43987950000
2003-10-27,44662800000
2003-10-28,45480800000
2003-10-29,45930700000
2003-10-30,46155650000
2003-10-31,45664850000
2003-11-03,46237450000
2003-11-04,45889800000
2003-11-05,46441950000
2003-11-06,47198600000
2003-11-07,47198600000
2003-11-10,46707800000
2003-11-11,46646450000
2003-11-12,47075900000
2003-11-13,47055450000
2003-11-14,46544200000
2003-11-17,46462400000
2003-11-18,45439900000
2003-11-19,45971600000
2003-11-20,45746650000
2003-11-21,45562600000
2003-11-24,46053400000
2003-11-25,46380600000
2003-11-26,46564650000
2003-11-28,46585100000
2003-12-01,46748700000
2003-12-02,45562600000
2003-12-03,44090200000
2003-12-04,44785500000
2003-12-05,43722100000
2003-12-08,43926600000
2003-12-09,44990000000
2003-12-10,45214950000
2003-12-11,45685300000
2003-12-12,46032950000
2003-12-15,46053400000
2003-12-16,46298800000
2003-12-17,46278350000
2003-12-18,46687350000
2003-12-19,46871400000
2003-12-22,47300850000
2003-12-23,47321300000
2003-12-24,47137250000
2003-12-26,46830500000
2003-12-29,47362200000
2003-12-30,47014550000
2003-12-31,47075900000
2004-01-02,47820800000
2004-01-05,48762880000
2004-01-06,48885760000
2004-01-07,49704960000
2004-01-08,50421760000
2004-01-09,50237440000
2004-01-12,50257920000
2004-01-13,49868800000
2004-01-14,50298880000
2004-01-15,50135040000
2004-01-16,50196480000
2004-01-20,49438720000
2004-01-21,49664000000
2004-01-22,49909760000
2004-01-23,48599040000
2004-01-26,49295360000
2004-01-27,48803840000
2004-01-28,47820800000
2004-01-29,49397760000
2004-01-30,48496640000
2004-02-02,48087040000
2004-02-03,47001600000
2004-02-04,46858240000
2004-02-05,46878720000
2004-02-06,47165440000
2004-02-09,48025600000
2004-02-10,48640000000
2004-02-11,55767040000
2004-02-12,56565760000
2004-02-13,54394880000
2004-02-17,54353920000
2004-02-18,53964800000
2004-02-19,54558720000
2004-02-20,53637120000
2004-02-23,54046720000
2004-02-24,52449280000
2004-02-25,53125120000
2004-02-26,54005760000
2004-02-27,53596160000
2004-03-01,54292480000
2004-03-02,54067200000
2004-03-03,53841920000
2004-03-04,54149120000
2004-03-05,53493760000
2004-03-08,53022720000
2004-03-09,53002240000
2004-03-10,51425280000
2004-03-11,50401280000
2004-03-12,52736000000
2004-03-15,51179520000
2004-03-16,51322880000
2004-03-17,52121600000
2004-03-18,51978240000
2004-03-19,51302400000
2004-03-22,50298880000
2004-03-23,50708480000
2004-03-24,50053120000
2004-03-25,50606080000
2004-03-26,50708480000
2004-03-29,50913280000
2004-03-30,50872320000
2004-03-31,50483200000
2004-04-01,51345530000
2004-04-02,52556800000
2004-04-05,53665420000
2004-04-06,53850190000
2004-04-07,52679980000
2004-04-08,53172700000
2004-04-12,52043550000
2004-04-13,50626980000
2004-04-14,50626980000
2004-04-15,50031610000
2004-04-16,50421680000
2004-04-19,50544860000
2004-04-20,50236910000
2004-04-21,50626980000
2004-04-22,50380620000
2004-04-23,49928960000
2004-04-26,49374650000
2004-04-27,48964050000
2004-04-28,48512390000
2004-04-29,47999140000
2004-04-30,46644160000
2004-05-03,46849460000
2004-05-04,46623630000
2004-05-05,46582570000
2004-05-06,46069320000
2004-05-07,45473950000
2004-05-10,44755400000
2004-05-11,46541510000
2004-05-12,46582570000
2004-05-13,47198470000
2004-05-14,47075290000
2004-05-17,46377270000
2004-05-18,46254090000
2004-05-19,46582570000
2004-05-20,46685220000
2004-05-21,45925610000
2004-05-24,46993170000
2004-05-25,48101790000
2004-05-26,47917020000
2004-05-27,48019670000
2004-05-28,47526950000
2004-06-01,48286560000
2004-06-02,49456770000
2004-06-03,48553450000
2004-06-04,48738220000
2004-06-07,49415710000
2004-06-08,49826310000
2004-06-09,49785250000
2004-06-10,50072670000
2004-06-14,50072670000
2004-06-15,50031610000
2004-06-16,50360090000
2004-06-17,50339560000
2004-06-18,50668040000
2004-06-21,50524330000
2004-06-22,50462740000
2004-06-23,49928960000
2004-06-24,51325000000
2004-06-25,50996520000
2004-06-28,51119700000
2004-06-29,51632950000
2004-06-30,51632950000
2004-07-01,50927480000
2004-07-02,50907060000
2004-07-06,49763540000
2004-07-07,49824800000
2004-07-08,49048840000
2004-07-09,49559340000
2004-07-12,49048840000
2004-07-13,48803800000
2004-07-14,48722120000
2004-07-15,48089100000
2004-07-16,47231460000
2004-07-19,47313140000
2004-07-20,48150360000
2004-07-21,47619440000
2004-07-22,46966000000
2004-07-23,46251300000
2004-07-26,46026680000
2004-07-27,46230880000
2004-07-28,46006260000
2004-07-29,46332980000
2004-07-30,46516760000
2004-08-02,46537180000
2004-08-03,45863320000
2004-08-04,45311980000
2004-08-05,44883160000
2004-08-06,44290980000
2004-08-09,44188880000
2004-08-10,45209880000
2004-08-11,43882580000
2004-08-12,42718640000
2004-08-13,42085620000
2004-08-16,43412920000
2004-08-17,44270560000
2004-08-18,44842320000
2004-08-19,45128200000
2004-08-20,45209880000
2004-08-23,44658540000
