,HES
2000-07-17,5538864000
2000-07-18,5579274000
2000-07-19,5573886000
2000-07-20,5517312000
2000-07-21,5366448000
2000-07-24,5191338000
2000-07-25,5180562000
2000-07-26,5175174000
2000-07-27,5455350000
2000-07-28,5352978000
2000-07-31,5433798000
2000-08-01,5538864000
2000-08-02,5657400000
2000-08-03,5724750000
2000-08-04,5616990000
2000-08-07,5668176000
2000-08-08,5673564000
2000-08-09,5684340000
2000-08-10,5792100000
2000-08-11,5775936000
2000-08-14,5824428000
2000-08-15,5881002000
2000-08-16,6010314000
2000-08-17,6145014000
2000-08-18,6010314000
2000-08-21,6072276000
2000-08-22,6056112000
2000-08-23,6430578000
2000-08-24,6134238000
2000-08-25,6309348000
2000-08-28,6274326000
2000-08-29,6236610000
2000-08-30,6169260000
2000-08-31,6145014000
2000-09-01,6285102000
2000-09-05,6279714000
2000-09-06,6363228000
2000-09-07,6409026000
2000-09-08,6285102000
2000-09-11,6314736000
2000-09-12,6309348000
2000-09-13,6223140000
2000-09-14,6169260000
2000-09-15,6578748000
2000-09-18,6600300000
2000-09-19,6241998000
2000-09-20,6088440000
2000-09-21,6010314000
2000-09-22,5891778000
2000-09-25,5740914000
2000-09-26,5843286000
2000-09-27,5994150000
2000-09-28,5864838000
2000-09-29,6010314000
2000-10-02,5712131880
2000-10-03,5771231760
2000-10-04,5599071240
2000-10-05,5604210360
2000-10-06,5509136640
2000-10-09,5653032000
2000-10-10,5866305480
2000-10-11,5856027240
2000-10-12,5889431520
2000-10-13,5658171120
2000-10-16,5568236520
2000-10-17,5545110480
2000-10-18,5460315000
2000-10-19,5444897640
2000-10-20,5583653880
2000-10-23,5524554000
2000-10-24,5347254360
2000-10-25,5252180640
2000-10-26,5316419640
2000-10-27,5203359000
2000-10-30,5283015360
2000-10-31,5311280520
2000-11-01,5460315000
2000-11-02,5426910720
2000-11-03,5380658640
2000-11-06,5169954720
2000-11-07,5257319760
2000-11-08,5213637240
2000-11-09,5203359000
2000-11-10,5241902400
2000-11-13,5272737120
2000-11-14,5306141400
2000-11-15,5380658640
2000-11-16,5390936880
2000-11-17,5326697880
2000-11-20,5306141400
2000-11-21,5380658640
2000-11-22,5416632480
2000-11-24,5380658640
2000-11-27,5519414880
2000-11-28,5416632480
2000-11-29,5316419640
2000-11-30,5247041520
2000-12-01,5293293600
2000-12-04,5331837000
2000-12-05,5159676480
2000-12-06,5159676480
2000-12-07,5085159240
2000-12-08,5139120000
2000-12-11,5182802520
2000-12-12,5229054600
2000-12-13,5218776360
2000-12-14,5036337600
2000-12-15,5020920240
2000-12-18,5203359000
2000-12-19,5342115240
2000-12-20,5380658640
2000-12-21,5653032000
2000-12-22,5915127120
2000-12-26,6285143760
2000-12-27,6326256720
2000-12-28,6513834600
2000-12-29,6256878600
2001-01-02,6574155000
2001-01-03,6222111000
2001-01-04,6246114000
2001-01-05,6390132000
2001-01-08,6323457000
2001-01-09,6190107000
2001-01-10,6160770000
2001-01-11,6283452000
2001-01-12,6211443000
2001-01-16,6251448000
2001-01-17,6040755000
2001-01-18,5990082000
2001-01-19,5950077000
2001-01-22,5995416000
2001-01-23,6072759000
2001-01-24,6072759000
2001-01-25,6379464000
2001-01-26,6267450000
2001-01-29,6187440000
2001-01-30,6128766000
2001-01-31,6168771000
2001-02-01,6123432000
2001-02-02,6176772000
2001-02-05,6307455000
2001-02-06,6323457000
2001-02-07,6360795000
2001-02-08,6368796000
2001-02-09,6470142000
2001-02-12,6435471000
2001-02-13,6376797000
2001-02-14,6379464000
2001-02-15,6320790000
2001-02-16,6312789000
2001-02-20,6467475000
2001-02-21,6339459000
2001-02-22,6318123000
2001-02-23,6283452000
2001-02-26,6438138000
2001-02-27,6438138000
2001-02-28,6400800000
2001-03-01,6438138000
2001-03-02,6579489000
2001-03-05,6710172000
2001-03-06,6814185000
2001-03-07,6902196000
2001-03-08,6976872000
2001-03-09,6984873000
2001-03-12,6896862000
2001-03-13,6755511000
2001-03-14,6704838000
2001-03-15,6587490000
2001-03-16,6702171000
2001-03-19,6888861000
2001-03-20,6934200000
2001-03-21,6854190000
2001-03-22,6662166000
2001-03-23,6648831000
2001-03-26,6680835000
2001-03-27,6835521000
2001-03-28,6795516000
2001-03-29,6790182000
2001-03-30,6944868000
2001-04-02,6607958636
2001-04-03,6504418907
2001-04-04,6700878906
2001-04-05,6873445122
2001-04-06,6984949446
2001-04-09,7178754581
2001-04-10,7261055392
2001-04-11,7093798905
2001-04-12,7160170527
2001-04-16,7494683499
2001-04-17,7611497553
2001-04-18,7473444580
2001-04-19,7353975662
2001-04-20,7393798635
2001-04-23,7558400256
2001-04-24,7499993229
2001-04-25,7619462148
2001-04-26,7699108094
2001-04-27,7784063769
2001-04-30,7744240796
2001-05-01,7696453229
2001-05-02,7282294310
2001-05-03,7255745662
2001-05-04,7314152689
2001-05-07,7364595121
2001-05-08,7444241067
2001-05-09,7531851607
2001-05-10,7542471067
2001-05-11,7526541878
2001-05-14,7669904580
2001-05-15,7725656742
2001-05-16,7773444310
2001-05-17,7810612418
2001-05-18,7956629985
2001-05-21,7858399985
2001-05-22,7749550526
2001-05-23,7592913499
2001-05-24,7569019715
2001-05-25,7555745391
2001-05-29,7579639175
2001-05-30,7513267553
2001-05-31,7579639175
2001-06-01,7547780796
2001-06-04,7669904580
2001-06-05,7664594850
2001-06-06,7486718905
2001-06-07,7412382689
2001-06-08,7460170256
2001-06-11,7494683499
2001-06-12,7579639175
2001-06-13,7510612688
2001-06-14,7409727824
2001-06-15,7452205662
2001-06-18,7399108364
2001-06-19,7404418094
2001-06-20,7292913770
2001-06-21,7202648365
2001-06-22,7399108364
2001-06-25,7396453499
2001-06-26,7409727824
2001-06-27,7210612959
2001-06-28,7014152960
2001-06-29,7149551067
2001-07-02,7100926105
2001-07-03,7061226555
2001-07-05,7169738657
2001-07-06,7227964663
2001-07-09,7000353912
2001-07-10,6823029257
2001-07-11,6674817606
2001-07-12,6598065143
2001-07-13,6685404152
2001-07-16,6555718957
2001-07-17,6471026584
2001-07-18,6296348566
2001-07-19,6404860668
2001-07-20,6484259768
2001-07-23,6420740488
2001-07-24,6246062470
2001-07-25,6563658867
2001-07-26,6680110879
2001-07-27,6873315354
2001-07-30,6846848987
2001-07-31,6817735984
2001-08-01,6770096525
2001-08-02,6815089348
2001-08-03,6748923432
2001-08-06,6740983522
2001-08-07,6764803251
2001-08-08,6624531509
2001-08-09,6674817606
2001-08-10,6770096525
2001-08-13,6764803251
2001-08-14,6799209528
2001-08-15,6960654363
2001-08-16,6891841810
2001-08-17,6809796074
2001-08-20,6767449888
2001-08-21,6780683071
2001-08-22,6764803251
2001-08-23,6846848987
2001-08-24,6907721630
2001-08-27,6881255264
2001-08-28,6873315354
2001-08-29,6894488447
2001-08-30,6854788897
2001-08-31,6854788897
2001-09-04,6950067816
2001-09-05,6894488447
2001-09-06,6878608627
2001-09-07,6881255264
2001-09-10,6785976344
2001-09-17,6648351239
2001-09-18,6359867845
2001-09-19,6126963821
2001-09-20,5894059797
2001-09-21,5804074151
2001-09-24,5505004211
2001-09-25,5250927093
2001-09-26,5248280457
2001-09-27,5409725292
2001-09-28,5602929766
2001-10-01,5413454399
2001-10-02,5547346821
2001-10-03,5513217381
2001-10-04,5704867318
2001-10-05,5767875517
2001-10-08,5825633032
2001-10-09,5904393280
2001-10-10,5893891914
2001-10-11,6004156262
2001-10-12,5970026821
2001-10-15,5830883715
2001-10-16,5862387815
2001-10-17,5817757007
2001-10-18,5584101604
2001-10-19,5602478995
2001-10-22,5649735144
2001-10-23,5468586573
2001-10-24,5423955766
2001-10-25,5500090672
2001-10-26,5589352287
2001-10-29,5526344089
2001-10-30,5295314027
2001-10-31,5140418872
2001-11-01,5221804462
2001-11-02,5106289431
2001-11-05,5080036015
2001-11-06,5038030549
2001-11-07,5101038748
2001-11-08,5177173654
2001-11-09,5413454399
2001-11-12,5316316760
2001-11-13,5311066077
2001-11-14,4988149059
2001-11-15,4738741606
2001-11-16,4856881978
2001-11-19,4856881978
2001-11-20,5035405207
2001-11-21,4912014152
2001-11-23,4977647692
2001-11-26,4967146326
2001-11-27,4988149059
2001-11-28,4954019618
2001-11-29,5040655891
2001-11-30,5085286698
2001-12-03,5111540114
2001-12-04,5140418872
2001-12-05,5274311294
2001-12-06,5145669555
2001-12-07,5119416139
2001-12-10,5077410673
2001-12-11,5035405207
2001-12-12,5077410673
2001-12-13,5022278499
2001-12-14,5098413406
2001-12-17,5064283965
2001-12-18,5143044213
2001-12-19,5232305828
2001-12-20,5255933903
2001-12-21,5287438002
2001-12-24,5347820859
2001-12-26,5400327691
2001-12-27,5476462598
2001-12-28,5536845455
2001-12-31,5554666673
2002-01-02,5525333340
2002-01-03,5450666673
2002-01-04,5480000006
2002-01-07,5512000006
2002-01-08,5408000006
2002-01-09,5429333340
2002-01-10,5421333340
2002-01-11,5325333339
2002-01-14,5242666673
2002-01-15,5373333340
2002-01-16,5277333339
2002-01-17,5213333339
2002-01-18,5181333339
2002-01-22,5133333339
2002-01-23,5173333339
2002-01-24,5288000006
2002-01-25,5314666673
2002-01-28,5298666673
2002-01-29,5245333339
2002-01-30,5277333339
2002-01-31,5453333340
2002-02-01,5565333340
2002-02-04,5413333340
2002-02-05,5442666673
2002-02-06,5490666673
2002-02-07,5469333340
2002-02-08,5512000006
2002-02-11,5613333340
2002-02-12,5677333340
2002-02-13,5730666673
2002-02-14,5816000007
2002-02-15,5850666673
2002-02-19,5778666673
2002-02-20,5826666673
2002-02-21,5922666674
2002-02-22,6122666674
2002-02-25,6170666674
2002-02-26,6122666674
2002-02-27,6165333341
2002-02-28,6157333341
2002-03-01,6394666674
2002-03-04,6506666674
2002-03-05,6378666674
2002-03-06,6533333341
2002-03-07,6578666674
2002-03-08,6605333341
2002-03-11,6672000008
2002-03-12,6733333341
2002-03-13,6709333341
2002-03-14,6568000008
2002-03-15,6642666674
2002-03-18,6746666675
2002-03-19,6909333341
2002-03-20,6874666675
2002-03-21,6930666675
2002-03-22,6869333341
2002-03-25,6952000008
2002-03-26,6965333342
2002-03-27,7088000008
2002-03-28,7053333342
2002-04-01,7103836760
2002-04-02,7254813156
2002-04-03,7127675138
2002-04-04,6897237480
2002-04-05,6817776219
2002-04-08,6976698742
2002-04-09,6889291354
2002-04-10,6947562946
2002-04-11,6899886189
2002-04-12,6635015318
2002-04-15,6778045588
2002-04-16,6849560724
2002-04-17,6952860363
2002-04-18,6931670694
2002-04-19,6997888411
2002-04-22,6981996159
2002-04-23,7019078081
2002-04-24,6891940063
2002-04-25,6955509072
2002-04-26,6889291354
2002-04-29,6788640423
2002-04-30,6788640423
2002-05-01,6799235258
2002-05-02,6846912015
2002-05-03,6960806489
2002-05-06,6719773997
2002-05-07,6735666249
2002-05-08,6857506850
2002-05-09,6807181384
2002-05-10,6923724567
2002-05-13,7132972556
2002-05-14,7191244147
2002-05-15,7185946730
2002-05-16,7350166670
2002-05-17,7355464087
2002-05-20,7294543787
2002-05-21,7352815378
2002-05-22,7434925348
2002-05-23,7426979222
2002-05-24,7342220544
2002-05-28,7342220544
2002-05-29,7315733457
2002-05-30,7246867030
2002-05-31,7262759282
2002-06-03,7146216099
2002-06-04,7106485468
2002-06-05,7074700964
2002-06-06,7019078081
2002-06-07,7013780664
2002-06-10,6894588772
2002-06-11,6825722345
2002-06-12,6881345228
2002-06-13,6891940063
2002-06-14,6865452976
2002-06-17,7045565168
2002-06-18,6995239703
2002-06-19,6891940063
2002-06-20,7040267751
2002-06-21,6931670694
2002-06-24,6955509072
2002-06-25,7024375498
2002-06-26,7000537120
2002-06-27,7130323847
2002-06-28,7283948952
2002-07-01,7297006839
2002-07-02,7106027380
2002-07-03,7058282515
2002-07-05,7228042035
2002-07-08,7148467260
2002-07-09,7029105098
2002-07-10,6819558191
2002-07-11,6631231225
2002-07-12,6660408642
2002-07-15,6655103657
2002-07-16,6644493687
2002-07-17,6639188702
2002-07-18,6533089002
2002-07-19,6140520114
2002-07-22,5745298733
2002-07-23,5726731285
2002-07-24,5801001075
2002-07-25,5610021616
2002-07-26,5663071466
2002-07-29,5928320715
2002-07-30,5793043598
2002-07-31,6047682877
2002-08-01,5665723958
2002-08-02,5657766481
2002-08-05,5432304619
2002-08-06,5610021616
2002-08-07,5766518673
2002-08-08,5968108102
2002-08-09,6095427742
2002-08-12,6124605159
2002-08-13,6013200474
2002-08-14,6190917471
2002-08-15,6350067021
2002-08-16,6289059693
2002-08-19,6326194588
2002-08-20,6233357351
2002-08-21,6254577291
2002-08-22,6371286960
2002-08-23,6371286960
2002-08-26,6472081675
2002-08-27,6549003957
2002-08-28,6405769363
2002-08-29,6373939453
2002-08-30,6464124198
2002-09-03,6225399874
2002-09-04,6238662336
2002-09-05,6249272306
2002-09-06,6323542096
2002-09-09,6326194588
2002-09-10,6320889603
2002-09-11,6273144738
2002-09-12,6132562636
2002-09-13,6198874949
2002-09-16,6228052366
2002-09-17,6013200474
2002-09-18,5994633027
2002-09-19,5824873508
2002-09-20,5867313387
2002-09-23,5843440955
2002-09-24,5700206361
2002-09-25,5827526000
2002-09-26,6047682877
2002-09-27,6005242997
2002-09-30,5983511423
2002-10-01,6113070442
2002-10-02,6049612963
2002-10-03,6081341703
2002-10-04,5909477698
2002-10-07,5793138987
2002-10-08,5692664646
2002-10-09,5494360025
2002-10-10,5719105262
2002-10-11,5597478428
2002-10-14,5771986494
2002-10-15,5959714868
2002-10-16,5798427110
2002-10-17,5888325205
2002-10-18,5732325570
2002-10-21,5798427110
2002-10-22,5663579968
2002-10-23,5803715233
2002-10-24,5092462660
2002-10-25,4595379078
2002-10-28,4608599386
2002-10-29,4378566026
2002-10-30,4494904737
2002-10-31,4521345353
2002-11-01,4568938462
2002-11-04,4542497845
2002-11-05,4521345353
2002-11-06,4563650338
2002-11-07,4508125045
2002-11-08,4576870646
2002-11-11,4595379078
2002-11-12,4619175632
2002-11-13,4516057229
2002-11-14,4682633111
2002-11-15,4679989049
2002-11-18,4674700926
2002-11-19,4727582158
2002-11-20,4846564931
2002-11-21,4915310532
2002-11-22,4923242717
2002-11-25,4933818964
2002-11-26,4870361485
2002-11-27,4931174902
2002-11-29,4936463025
2002-12-02,4907378348
2002-12-03,5015784874
2002-12-04,4981412073
2002-12-05,5039581428
2002-12-06,5073954229
2002-12-09,5007852689
2002-12-10,5092462660
2002-12-11,5110971092
2002-12-12,5100394845
2002-12-13,4970835826
2002-12-16,4997276442
2002-12-17,4957615518
2002-12-18,4915310532
2002-12-19,4891513978
2002-12-20,4928530841
2002-12-23,4936463025
2002-12-24,4902090224
2002-12-26,4896802101
2002-12-27,4817480253
2002-12-30,4859785239
2002-12-31,4904955000
2003-01-02,4966434000
2003-01-03,4969107000
2003-01-06,5084046000
2003-01-07,4955742000
2003-01-08,4899609000
2003-01-09,4977126000
2003-01-10,4923666000
2003-01-13,4947723000
2003-01-14,4958415000
2003-01-15,5025240000
2003-01-16,5059989000
2003-01-17,4987818000
2003-01-21,4966434000
2003-01-22,4971780000
2003-01-23,5025240000
2003-01-24,4937031000
2003-01-27,4773978000
2003-01-28,4854168000
2003-01-29,5014548000
2003-01-30,4311549000
2003-01-31,4204629000
2003-02-03,4172553000
2003-02-04,4196610000
2003-02-05,4124439000
2003-02-06,4089690000
2003-02-07,4081671000
2003-02-10,4057614000
2003-02-11,4022865000
2003-02-12,3937329000
2003-02-13,3921291000
2003-02-14,3921291000
2003-02-18,3950694000
2003-02-19,3948021000
2003-02-20,3835755000
2003-02-21,3894561000
2003-02-24,3929310000
2003-02-25,3902580000
2003-02-26,3945348000
2003-02-27,3923964000
2003-02-28,3966732000
2003-03-03,3915945000
2003-03-04,3873177000
2003-03-05,3830409000
2003-03-06,3843774000
2003-03-07,3841101000
2003-03-10,3827736000
2003-03-11,3801006000
2003-03-12,3715470000
2003-03-13,3704778000
2003-03-14,3723489000
2003-03-17,3854466000
2003-03-18,3881196000
2003-03-19,3940002000
2003-03-20,3945348000
2003-03-21,3942675000
2003-03-24,3899907000
2003-03-25,3937329000
2003-03-26,3937329000
2003-03-27,3977424000
2003-03-28,4001481000
2003-03-31,3938250000
2003-04-01,4061070000
2003-04-02,4045050000
2003-04-03,4013010000
2003-04-04,4031700000
2003-04-07,4013010000
2003-04-08,3930240000
2003-04-09,3898200000
2003-04-10,3916890000
2003-04-11,3898200000
2003-04-14,3930240000
2003-04-15,3975630000
2003-04-16,3954270000
2003-04-17,4026360000
2003-04-21,4039710000
2003-04-22,4082430000
2003-04-23,4021020000
2003-04-24,4010340000
2003-04-25,3991650000
2003-04-28,4018350000
2003-04-29,3988980000
2003-04-30,4018350000
2003-05-01,4018350000
2003-05-02,4069080000
2003-05-05,4050390000
2003-05-06,4063740000
2003-05-07,4071750000
2003-05-08,4047720000
2003-05-09,4077090000
2003-05-12,4106460000
2003-05-13,4149180000
2003-05-14,4162530000
2003-05-15,4186560000
2003-05-16,4239960000
2003-05-19,4183890000
2003-05-20,4106460000
2003-05-21,4218600000
2003-05-22,4258650000
2003-05-23,4336080000
2003-05-27,4410840000
2003-05-28,4354770000
2003-05-29,4317390000
2003-05-30,4360110000
2003-06-02,4376130000
2003-06-03,4360110000
2003-06-04,4370790000
2003-06-05,4362780000
2003-06-06,4349430000
2003-06-09,4333410000
2003-06-10,4370790000
2003-06-11,4544340000
2003-06-12,4498950000
2003-06-13,4418850000
2003-06-16,4421520000
2003-06-17,4386810000
2003-06-18,4376130000
2003-06-19,4357440000
2003-06-20,4450890000
2003-06-23,4445550000
2003-06-24,4464240000
2003-06-25,4472250000
2003-06-26,4416180000
2003-06-27,4386810000
2003-06-30,4381047000
2003-07-01,4413123000
2003-07-02,4365009000
2003-07-03,4316895000
2003-07-07,4306203000
2003-07-08,4300857000
2003-07-09,4370355000
2003-07-10,4308876000
2003-07-11,4276800000
2003-07-14,4234032000
2003-07-15,4247397000
2003-07-16,4260762000
2003-07-17,4287492000
2003-07-18,4340952000
2003-07-21,4343625000
2003-07-22,4351644000
2003-07-23,4365009000
2003-07-24,4348971000
2003-07-25,4287492000
2003-07-28,4204629000
2003-07-29,4258089000
2003-07-30,4228686000
2003-07-31,4185918000
2003-08-01,4132458000
2003-08-04,4078998000
2003-08-05,4038903000
2003-08-06,4081671000
2003-08-07,4204629000
2003-08-08,4212648000
2003-08-11,4188591000
2003-08-12,4185918000
2003-08-13,4196610000
2003-08-14,4180572000
2003-08-15,4164534000
2003-08-18,4153842000
2003-08-19,4103055000
2003-08-20,4143150000
2003-08-21,4183245000
2003-08-22,4127112000
2003-08-25,4196610000
2003-08-26,4124439000
2003-08-27,4140477000
2003-08-28,4180572000
2003-08-29,4201956000
2003-09-02,4271454000
2003-09-03,4303530000
2003-09-04,4290165000
2003-09-05,4316895000
2003-09-08,4383720000
2003-09-09,4426488000
2003-09-10,4367682000
2003-09-11,4335606000
2003-09-12,4354317000
2003-09-15,4338279000
2003-09-16,4362336000
2003-09-17,4295511000
2003-09-18,4311549000
2003-09-19,4381047000
2003-09-22,4356990000
2003-09-23,4399758000
2003-09-24,4479948000
2003-09-25,4447872000
2003-09-26,4418469000
2003-09-29,4437180000
2003-09-30,4367317200
2003-10-01,4466693280
2003-10-02,4524226800
2003-10-03,4594836120
2003-10-06,4602681600
2003-10-07,4600066440
2003-10-08,4579145160
2003-10-09,4626218040
2003-10-10,4691597040
2003-10-13,4694212200
2003-10-14,4662830280
2003-10-15,4628833200
2003-10-16,4657599960
2003-10-17,4618372560
2003-10-20,4600066440
2003-10-21,4594836120
2003-10-22,4594836120
2003-10-23,4613142240
2003-10-24,4607911920
2003-10-27,4634063520
2003-10-28,4673290920
2003-10-29,4722978960
2003-10-30,4568684520
2003-10-31,4500690360
2003-11-03,4427465880
2003-11-04,4401314280
2003-11-05,4356856560
2003-11-06,4349011080
2003-11-07,4356856560
2003-11-10,4296707880
2003-11-11,4288862399
2003-11-12,4333320120
2003-11-13,4346395920
2003-11-14,4356856560
2003-11-17,4220868240
2003-11-18,4192101480
2003-11-19,4231328880
2003-11-20,4150258920
2003-11-21,4097955720
2003-11-24,4090110240
2003-11-25,4113646680
2003-11-26,4150258920
2003-11-28,4129337640
2003-12-01,4097955720
2003-12-02,4043037360
2003-12-03,4027346400
2003-12-04,4113646680
2003-12-05,4095340560
2003-12-08,4139798280
2003-12-09,4328089800
2003-12-10,4356856560
2003-12-11,4367317200
2003-12-12,4375162680
2003-12-15,4330704960
2003-12-16,4367317200
2003-12-17,4437926520
2003-12-18,4662830280
2003-12-19,4639293840
2003-12-22,4615757400
2003-12-23,4571299680
2003-12-24,4654984800
2003-12-26,4639293840
2003-12-29,4641909000
2003-12-30,4678521240
2003-12-31,5390424000
2004-01-02,5448222000
2004-01-05,5585112000
2004-01-06,5697666000
2004-01-07,5685498000
2004-01-08,5761548000
2004-01-09,5825430000
2004-01-12,5831514000
2004-01-13,5819346000
2004-01-14,5825430000
2004-01-15,5715918000
2004-01-16,5752422000
2004-01-20,5904522000
2004-01-21,5959278000
2004-01-22,5825430000
2004-01-23,5822388000
2004-01-26,5795010000
2004-01-27,5798052000
2004-01-28,5749380000
2004-01-29,5718960000
2004-01-30,5718960000
2004-02-02,5804135999
2004-02-03,5849766000
2004-02-04,5804135999
2004-02-05,5718960000
2004-02-06,5779800000
2004-02-09,5892354000
2004-02-10,6035328000
2004-02-11,6132672000
2004-02-12,6147882000
2004-02-13,6117462000
2004-02-17,6163092000
2004-02-18,6211764000
2004-02-19,6239142000
2004-02-20,6242184000
2004-02-23,6230016000
2004-02-24,6233058000
2004-02-25,6321276000
2004-02-26,6318234000
2004-02-27,6525090000
2004-03-01,6713694000
2004-03-02,6582888000
2004-03-03,6634602000
2004-03-04,6601140000
2004-03-05,6792785999
2004-03-08,6786702000
2004-03-09,6719778000
2004-03-10,6601140000
2004-03-11,6479460000
2004-03-12,6549426000
2004-03-15,6549426000
2004-03-16,6616350000
2004-03-17,6707610000
2004-03-18,6762366000
2004-03-19,6674148000
2004-03-22,6625476000
2004-03-23,6552468000
2004-03-24,6421662000
2004-03-25,6309108000
2004-03-26,6351696000
2004-03-29,6351696000
2004-03-30,6479460000
2004-03-31,5819646720
2004-04-01,5629759350
2004-04-02,5589642300
2004-04-05,5600340180
2004-04-06,5578944420
2004-04-07,5619061470
2004-04-08,5709993450
2004-04-12,5889182940
2004-04-13,5771506260
2004-04-14,5728714740
2004-04-15,5806274370
2004-04-16,5824995660
2004-04-19,5948021280
2004-04-20,5865112710
2004-04-21,5857089300
2004-04-22,6004185150
2004-04-23,5985463860
2004-04-26,6017557500
2004-04-27,6204770400
2004-04-28,6333144960
2004-04-29,6274306620
2004-04-30,6341168370
2004-05-03,6589894080
2004-05-04,6587219610
2004-05-05,6576521730
2004-05-06,6512334450
2004-05-07,6381285420
2004-05-10,6164653350
2004-05-11,6349191780
2004-05-12,6432100350
2004-05-13,6391983300
2004-05-14,6544428090
2004-05-17,6584545140
2004-05-18,6421402470
2004-05-19,6260934270
2004-05-20,6239538510
2004-05-21,6218142750
2004-05-24,6432100350
2004-05-25,6418728000
2004-05-26,6338493900
2004-05-27,6242212980
2004-05-28,6293027910
2004-06-01,6496287630
2004-06-02,6456170580
2004-06-03,6357215190
2004-06-04,6250236390
2004-06-07,6429425880
2004-06-08,6349191780
2004-06-09,6215468280
2004-06-10,6330470490
2004-06-14,6202095930
2004-06-15,6274306620
2004-06-16,6359889660
2004-06-17,6611289840
2004-06-18,6621987720
2004-06-21,6627336660
2004-06-22,6750362280
2004-06-23,7023158220
2004-06-24,6910830480
2004-06-25,6886760250
2004-06-28,6726292050
2004-06-29,6884085780
2004-06-30,7113189600
2004-07-01,7175160570
2004-07-02,7123967160
2004-07-06,7172466180
2004-07-07,7358379090
2004-07-08,7247909100
2004-07-09,7374545430
2004-07-12,7291019340
2004-07-13,7245214710
2004-07-14,7371851040
2004-07-15,7355684700
2004-07-16,7595485410
2004-07-19,7511959320
2004-07-20,7471543470
2004-07-21,7299102510
2004-07-22,7385322990
2004-07-23,7285630560
2004-07-26,7194021300
2004-07-27,7355684700
2004-07-28,7414961280
2004-07-29,7490404200
2004-07-30,7485015420
2004-08-02,7428433230
2004-08-03,7509264930
2004-08-04,7242520320
2004-08-05,7180549350
2004-08-06,7016191560
2004-08-09,7118578380
2004-08-10,7045829850
2004-08-11,6986553270
2004-08-12,6962303760
2004-08-13,7045829850
2004-08-16,7083551310
2004-08-17,6814112310
2004-08-18,6932665470
2004-08-19,6924582300
2004-08-20,6981164490
2004-08-23,6951526200
2004-08-24,6849139380
