,TSCO
2000-07-10,120938461
2000-07-11,120938461
2000-07-12,125257692
2000-07-13,128497461
2000-07-14,127957039
2000-07-17,123098768
2000-07-18,127417999
2000-07-19,125257692
2000-07-20,125257692
2000-07-21,119858999
2000-07-24,125257692
2000-07-25,133355732
2000-07-26,129576923
2000-07-27,128497461
2000-07-28,126337154
2000-07-31,126337154
2000-08-01,123098768
2000-08-02,123098768
2000-08-03,124178230
2000-08-04,123098768
2000-08-07,124717270
2000-08-08,123098768
2000-08-09,125257692
2000-08-10,124178230
2000-08-11,125798114
2000-08-14,124178230
2000-08-15,125798114
2000-08-16,125257692
2000-08-17,124717270
2000-08-18,120938461
2000-08-21,121478884
2000-08-22,119858999
2000-08-23,120398039
2000-08-24,121478884
2000-08-25,120938461
2000-08-28,117159653
2000-08-29,110680116
2000-08-30,112840422
2000-08-31,112300000
2000-09-01,111759578
2000-09-05,115539768
2000-09-06,115539768
2000-09-07,114460306
2000-09-08,115539768
2000-09-11,112300000
2000-09-12,111759578
2000-09-13,111759578
2000-09-14,117159653
2000-09-15,114460306
2000-09-18,110141075
2000-09-19,98801885
2000-09-20,99342307
2000-09-21,98801885
2000-09-22,92864152
2000-09-25,92864152
2000-09-26,87464077
2000-09-27,90703846
2000-09-28,94482655
2000-09-29,95023077
2000-10-02,92550230
2000-10-03,94193299
2000-10-04,93096985
2000-10-05,92002072
2000-10-06,90359003
2000-10-09,93096985
2000-10-10,90359003
2000-10-11,88715934
2000-10-12,88715934
2000-10-13,88715934
2000-10-16,85977952
2000-10-17,77764007
2000-10-18,77215850
2000-10-19,80501989
2000-10-20,79953831
2000-10-23,82145058
2000-10-24,78310762
2000-10-25,78858919
2000-10-26,81050146
2000-10-27,78858919
2000-10-30,77764007
2000-10-31,79407076
2000-11-01,78858919
2000-11-02,73929711
2000-11-03,76120937
2000-11-06,76120937
2000-11-07,78310762
2000-11-08,78310762
2000-11-09,77764007
2000-11-10,79953831
2000-11-13,74477868
2000-11-14,72834799
2000-11-15,78310762
2000-11-16,70644974
2000-11-17,71191729
2000-11-20,70096817
2000-11-21,62156250
2000-11-22,64072697
2000-11-24,69548660
2000-11-27,68453748
2000-11-28,66810678
2000-11-29,66810678
2000-11-30,65167609
2000-12-01,64620854
2000-12-04,65715766
2000-12-05,64620854
2000-12-06,66263923
2000-12-07,68453748
2000-12-08,68453748
2000-12-11,69001905
2000-12-12,69275282
2000-12-13,69001905
2000-12-14,71191729
2000-12-15,72288044
2000-12-18,67085458
2000-12-19,66810678
2000-12-20,66810678
2000-12-21,69001905
2000-12-22,70644974
2000-12-26,68180370
2000-12-27,68180370
2000-12-28,73929711
2000-12-29,74477868
2001-01-02,75391301
2001-01-03,79242856
2001-01-04,85296306
2001-01-05,79242856
2001-01-08,76491544
2001-01-09,82544994
2001-01-10,83645237
2001-01-11,93550242
2001-01-12,104556899
2001-01-16,110059523
2001-01-17,114461904
2001-01-18,113361661
2001-01-19,113361661
2001-01-22,116112973
2001-01-23,116112973
2001-01-24,118864285
2001-01-25,124917735
2001-01-26,127669047
2001-01-29,128769290
2001-01-30,127669047
2001-01-31,129870942
2001-02-01,130420359
2001-02-02,127669047
2001-02-05,124366909
2001-02-06,124917735
2001-02-07,123817492
2001-02-08,123817492
2001-02-09,123817492
2001-02-12,124366909
2001-02-13,123817492
2001-02-14,124366909
2001-02-15,123266666
2001-02-16,123266666
2001-02-20,124366909
2001-02-21,122715840
2001-02-22,125468561
2001-02-23,123266666
2001-02-26,127118221
2001-02-27,127118221
2001-02-28,127118221
2001-03-01,128769290
2001-03-02,129870942
2001-03-05,130971185
2001-03-06,128769290
2001-03-07,127669047
2001-03-08,127669047
2001-03-09,126017978
2001-03-12,124366909
2001-03-13,126017978
2001-03-14,123817492
2001-03-15,123266666
2001-03-16,123817492
2001-03-19,123817492
2001-03-20,123266666
2001-03-21,121066180
2001-03-22,119964528
2001-03-23,120515354
2001-03-26,122166423
2001-03-27,120515354
2001-03-28,124917735
2001-03-29,123266666
2001-03-30,123266666
2001-04-02,123592521
2001-04-03,122492871
2001-04-04,124140940
2001-04-05,122492871
2001-04-06,122492871
2001-04-09,123042696
2001-04-10,122428186
2001-04-11,123834388
2001-04-12,122955512
2001-04-16,122603961
2001-04-17,122339595
2001-04-18,123921573
2001-04-19,123834388
2001-04-20,123745798
2001-04-23,123042696
2001-04-24,122163820
2001-04-25,123042696
2001-04-26,125679326
2001-04-27,132271602
2001-04-30,133589213
2001-05-01,140620225
2001-05-02,144838831
2001-05-03,139565573
2001-05-04,142026427
2001-05-07,142026427
2001-05-08,142026427
2001-05-09,140620225
2001-05-10,135346966
2001-05-11,140533040
2001-05-14,142026427
2001-05-15,138510921
2001-05-16,139741348
2001-05-17,143432629
2001-05-18,140620225
2001-05-21,138686696
2001-05-22,136665984
2001-05-23,136753168
2001-05-24,136138658
2001-05-25,136841759
2001-05-29,135698517
2001-05-30,134819640
2001-05-31,136577393
2001-06-01,139302613
2001-06-04,138951062
2001-06-05,137896411
2001-06-06,136928944
2001-06-07,140620225
2001-06-08,140620225
2001-06-11,140620225
2001-06-12,140268674
2001-06-13,140092899
2001-06-14,140444449
2001-06-15,140620225
2001-06-18,139654164
2001-06-19,138862472
2001-06-20,136490208
2001-06-21,137983595
2001-06-22,140620225
2001-06-25,142026427
2001-06-26,142026427
2001-06-27,142026427
2001-06-28,140444449
2001-06-29,140533040
2001-07-02,135973214
2001-07-03,136406943
2001-07-05,138571429
2001-07-06,136839286
2001-07-09,141342857
2001-07-10,135540871
2001-07-11,133808728
2001-07-12,132076586
2001-07-13,134155157
2001-07-16,135107143
2001-07-17,160742857
2001-07-18,184300000
2001-07-19,199542857
2001-07-20,178757143
2001-07-23,178757143
2001-07-24,191228572
2001-07-25,191228572
2001-07-26,192614286
2001-07-27,189842857
2001-07-30,191228572
2001-07-31,191228572
2001-08-01,185685714
2001-08-02,189842857
2001-08-03,187071429
2001-08-06,184300000
2001-08-07,187071429
2001-08-08,180142857
2001-08-09,175985714
2001-08-10,175985714
2001-08-13,189842857
2001-08-14,182914286
2001-08-15,185685714
2001-08-16,185685714
2001-08-17,185685714
2001-08-20,185685714
2001-08-21,175985714
2001-08-22,180142857
2001-08-23,178757143
2001-08-24,178757143
2001-08-27,187071429
2001-08-28,194000000
2001-08-29,203700000
2001-08-30,203700000
2001-08-31,206471429
2001-09-04,203700000
2001-09-05,198157143
2001-09-06,195385714
2001-09-07,180142857
2001-09-10,177371429
2001-09-17,170442857
2001-09-18,171828571
2001-09-19,163514286
2001-09-20,163514286
2001-09-21,155200000
2001-09-24,163514286
2001-09-25,156585714
2001-09-26,153814286
2001-09-27,146885714
2001-09-28,164900000
2001-10-01,641249280
2001-10-02,698503680
2001-10-03,772934400
2001-10-04,790110719
2001-10-05,807287040
2001-10-08,784385280
2001-10-09,807287040
2001-10-10,830188800
2001-10-11,893168640
2001-10-12,916070400
2001-10-15,950423040
2001-10-16,956148480
2001-10-17,984775680
2001-10-18,973324800
2001-10-19,944697600
2001-10-22,1007677440
2001-10-23,1001952000
2001-10-24,1007677440
2001-10-25,1007677440
2001-10-26,990501120
2001-10-29,990501120
2001-10-30,979050240
2001-10-31,967599360
2001-11-01,973324800
2001-11-02,956148480
2001-11-05,967599360
2001-11-06,990501120
2001-11-07,996226560
2001-11-08,1059206400
2001-11-09,1076382720
2001-11-12,1150813439
2001-11-13,1116460800
2001-11-14,1105009920
2001-11-15,1001952000
2001-11-16,961873920
2001-11-19,961873920
2001-11-20,1030579200
2001-11-21,967599360
2001-11-23,996226560
2001-11-26,1042030080
2001-11-27,1019128320
2001-11-28,996226560
2001-11-29,1001952000
2001-11-30,1047755520
2001-12-03,1105009920
2001-12-04,1116460800
2001-12-05,1127911680
2001-12-06,1116460800
2001-12-07,1110735360
2001-12-10,1053480960
2001-12-11,1059206400
2001-12-12,1064931840
2001-12-13,1070657280
2001-12-14,1093559040
2001-12-17,1105009920
2001-12-18,1208067840
2001-12-19,1110735360
2001-12-20,1145088000
2001-12-21,1099284480
2001-12-24,1110735360
2001-12-26,1042030080
2001-12-27,1093559040
2001-12-28,1179440640
2001-12-31,1219518720
2002-01-02,1219518720
2002-01-03,1276773120
2002-01-04,1305400320
2002-01-07,1299674880
2002-01-08,1322576640
2002-01-09,1311125760
2002-01-10,1339752960
2002-01-11,1334027520
2002-01-14,1328302080
2002-01-15,1351203840
2002-01-16,1351203840
2002-01-17,1356929280
2002-01-18,1425634560
2002-01-22,1442810880
2002-01-23,1311125760
2002-01-24,1385556480
2002-01-25,1339752960
2002-01-28,1328302080
2002-01-29,1288224000
2002-01-30,1305400320
2002-01-31,1334027520
2002-02-01,1351203840
2002-02-04,1356929280
2002-02-05,1345478400
2002-02-06,1328302080
2002-02-07,1334027520
2002-02-08,1334027520
2002-02-11,1334027520
2002-02-12,1311125760
2002-02-13,1334027520
2002-02-14,1356929280
2002-02-15,1374105600
2002-02-19,1356929280
2002-02-20,1356929280
2002-02-21,1356929280
2002-02-22,1345478400
2002-02-25,1414183680
2002-02-26,1482888960
2002-02-27,1540143360
2002-02-28,1551594240
2002-03-01,1500065280
2002-03-04,1500065280
2002-03-05,1465712640
2002-03-06,1563045120
2002-03-07,1608848640
2002-03-08,1620299520
2002-03-11,1603123200
2002-03-12,1626024960
2002-03-13,1614574080
2002-03-14,1563045120
2002-03-15,1574496000
2002-03-18,1563045120
2002-03-19,1574496000
2002-03-20,1574496000
2002-03-21,1540143360
2002-03-22,1540143360
2002-03-25,1511516160
2002-03-26,1494339840
2002-03-27,1591672320
2002-03-28,1648926720
2002-04-01,424977000
2002-04-02,424977000
2002-04-03,426422500
2002-04-04,427868000
2002-04-05,436541000
2002-04-08,445214000
2002-04-09,439432000
2002-04-10,443768500
2002-04-11,439432000
2002-04-12,427868000
2002-04-15,442323000
2002-04-16,478460500
2002-04-17,481351500
2002-04-18,487133500
2002-04-19,492915500
2002-04-22,484242500
2002-04-23,487133500
2002-04-24,485688000
2002-04-25,492915500
2002-04-26,494361000
2002-04-29,497252000
2002-04-30,498697500
2002-05-01,501588500
2002-05-02,511707000
2002-05-03,531944000
2002-05-06,531944000
2002-05-07,520380000
2002-05-08,517489000
2002-05-09,508816000
2002-05-10,501588500
2002-05-13,500143000
2002-05-14,514598000
2002-05-15,516043500
2002-05-16,521825500
2002-05-17,521825500
2002-05-20,513152500
2002-05-21,521825500
2002-05-22,518934500
2002-05-23,523271000
2002-05-24,524716500
2002-05-28,513152500
2002-05-29,507370499
2002-05-30,500143000
2002-05-31,504479500
2002-06-03,510261500
2002-06-04,510261500
2002-06-05,508816000
2002-06-06,508816000
2002-06-07,537726000
2002-06-10,557963000
2002-06-11,602773500
2002-06-12,604219000
2002-06-13,612892000
2002-06-14,638911000
2002-06-17,659148000
2002-06-18,646138500
2002-06-19,644693000
2002-06-20,654811500
2002-06-21,651920500
2002-06-24,646138500
2002-06-25,625901500
2002-06-26,634574500
2002-06-27,627347000
2002-06-28,641802000
2002-07-01,613920559
2002-07-02,600858419
2002-07-03,590698977
2002-07-05,611017861
2002-07-08,605212466
2002-07-09,615371908
2002-07-10,599407070
2002-07-11,587796280
2002-07-12,600858419
2002-07-15,589247629
2002-07-16,535547721
2002-07-17,515228838
2002-07-18,525388280
2002-07-19,502166698
2002-07-22,497812652
2002-07-23,476042419
2002-07-24,499264000
2002-07-25,519582884
2002-07-26,542804466
2002-07-29,596504373
2002-07-30,574734140
2002-07-31,542804466
2002-08-01,554415256
2002-08-02,519582884
2002-08-05,516680187
2002-08-06,523936931
2002-08-07,538450419
2002-08-08,548609861
2002-08-09,552963908
2002-08-12,529742326
2002-08-13,529742326
2002-08-14,542804466
2002-08-15,552963908
2002-08-16,554415256
2002-08-19,586344931
2002-08-20,586344931
2002-08-21,603761117
2002-08-22,626982698
2002-08-23,622628652
2002-08-26,616823257
2002-08-27,628434047
2002-08-28,626982698
2002-08-29,619725954
2002-08-30,602309768
2002-09-03,586344931
2002-09-04,626982698
2002-09-05,615371908
2002-09-06,619725954
2002-09-09,635690791
2002-09-10,637142140
2002-09-11,624080001
2002-09-12,606663815
2002-09-13,606663815
2002-09-16,612469210
2002-09-17,600858419
2002-09-18,576185489
2002-09-19,548609861
2002-09-20,560220652
2002-09-23,558769303
2002-09-24,566026047
2002-09-25,592150326
2002-09-26,592150326
2002-09-27,580539536
2002-09-30,1162924160
2002-10-01,1154136320
2002-10-02,1127772800
2002-10-03,1089692160
2002-10-04,1075045760
2002-10-07,1039894400
2002-10-08,1077975040
2002-10-09,1086762880
2002-10-10,1095550720
2002-10-11,1186358400
2002-10-14,1180499840
2002-10-15,1400195840
2002-10-16,1370903040
2002-10-17,1441205760
2002-10-18,1429488640
2002-10-21,1406054400
2002-10-22,1394337280
2002-10-23,1373832320
2002-10-24,1417771520
2002-10-25,1411912960
2002-10-28,1353327360
2002-10-29,1379690880
2002-10-30,1397266559
2002-10-31,1391408000
2002-11-01,1464640000
2002-11-04,1526154880
2002-11-05,1590599040
2002-11-06,1584740480
2002-11-07,1482215680
2002-11-08,1435347200
2002-11-11,1379690880
2002-11-12,1452922880
2002-11-13,1532013440
2002-11-14,1581811200
2002-11-15,1593528320
2002-11-18,1619891840
2002-11-19,1508579200
2002-11-20,1561306240
2002-11-21,1602316160
2002-11-22,1596457600
2002-11-25,1660901760
2002-11-26,1616962559
2002-11-27,1655043200
2002-11-29,1628679680
2002-12-02,1596457600
2002-12-03,1631608960
2002-12-04,1628679680
2002-12-05,1608174720
2002-12-06,1605245440
2002-12-09,1552518400
2002-12-10,1561306240
2002-12-11,1546659840
2002-12-12,1520296320
2002-12-13,1508579200
2002-12-16,1575952640
2002-12-17,1526154880
2002-12-18,1499791360
2002-12-19,1461710720
2002-12-20,1432417920
2002-12-23,1341610240
2002-12-24,1283024640
2002-12-26,1353327360
2002-12-27,1376761600
2002-12-30,1408983680
2002-12-31,1376761600
2003-01-02,1452922880
2003-01-03,1458781440
2003-01-06,1493932800
2003-01-07,1526154880
2003-01-08,1546659840
2003-01-09,1573023360
2003-01-10,1561306240
2003-01-13,1546659840
2003-01-14,1561306240
2003-01-15,1570094080
2003-01-16,1549589120
2003-01-17,1514437760
2003-01-21,1426559360
2003-01-22,1423630080
2003-01-23,1414842240
2003-01-24,1479286400
2003-01-27,1455852160
2003-01-28,1414842240
2003-01-29,1423630080
2003-01-30,1356256640
2003-01-31,1350398080
2003-02-03,1332822400
2003-02-04,1309388160
2003-02-05,1318176000
2003-02-06,1291812480
2003-02-07,1224439040
2003-02-10,1171712000
2003-02-11,1165853440
2003-02-12,1148277760
2003-02-13,1189287680
2003-02-14,1253731840
2003-02-18,1315246720
2003-02-19,1268378240
2003-02-20,1253731840
2003-02-21,1250802559
2003-02-24,1265448960
2003-02-25,1253731840
2003-02-26,1230297600
2003-02-27,1224439040
2003-02-28,1209792640
2003-03-03,1177570559
2003-03-04,1206863360
2003-03-05,1148277760
2003-03-06,1151207040
2003-03-07,1148277760
2003-03-10,1089692160
2003-03-11,1168782720
2003-03-12,1151207040
2003-03-13,1247873280
2003-03-14,1209792640
2003-03-17,1274236800
2003-03-18,1268378240
2003-03-19,1259590400
2003-03-20,1274236800
2003-03-21,1294741760
2003-03-24,1239085440
2003-03-25,1233226880
2003-03-26,1247873280
2003-03-27,1247873280
2003-03-28,1239085440
2003-03-31,611396270
2003-04-01,612876649
2003-04-02,646925352
2003-04-03,676532919
2003-04-04,688375946
2003-04-07,689856325
2003-04-08,686895568
2003-04-09,691336703
2003-04-10,694297460
2003-04-11,695777838
2003-04-14,713542379
2003-04-15,719463892
2003-04-16,786080919
2003-04-17,793482811
2003-04-21,784600541
2003-04-22,775718271
2003-04-23,765355622
2003-04-24,762394865
2003-04-25,774237892
2003-04-28,786080919
2003-04-29,786080919
2003-04-30,783120163
2003-05-01,777198649
2003-05-02,829011892
2003-05-05,824570757
2003-05-06,818649244
2003-05-07,812727730
2003-05-08,806806217
2003-05-09,806806217
2003-05-12,830492271
2003-05-13,834933406
2003-05-14,836413784
2003-05-15,821610000
2003-05-16,803845460
2003-05-19,781639784
2003-05-20,780159406
2003-05-21,796443568
2003-05-22,796443568
2003-05-23,796443568
2003-05-27,803845460
2003-05-28,818649244
2003-05-29,824570757
2003-05-30,837894163
2003-06-02,851217568
2003-06-03,874903622
2003-06-04,904511190
2003-06-05,913393460
2003-06-06,900070055
2003-06-09,882305514
2003-06-10,916354217
2003-06-11,925236487
2003-06-12,920795352
2003-06-13,926716865
2003-06-16,968167460
2003-06-17,962245947
2003-06-18,941520649
2003-06-19,903030811
2003-06-20,900070055
2003-06-23,870462487
2003-06-24,868982109
2003-06-25,876384000
2003-06-26,876384000
2003-06-27,879344757
2003-06-30,870347637
2003-07-01,871817819
2003-07-02,868877455
2003-07-03,865937091
2003-07-07,899751273
2003-07-08,937976001
2003-07-09,918863637
2003-07-10,901221455
2003-07-11,933565455
2003-07-14,968849819
2003-07-15,952677819
2003-07-16,921804001
2003-07-17,912982910
2003-07-18,910042546
2003-07-21,937976001
2003-07-22,967379637
2003-07-23,1023246546
2003-07-24,1029127274
2003-07-25,1017365819
2003-07-28,1023246546
2003-07-29,1020306183
2003-07-30,1027657092
2003-07-31,1018836001
2003-08-01,1023246546
2003-08-04,1007074546
2003-08-05,989432364
2003-08-06,987962183
2003-08-07,996783273
2003-08-08,982081455
2003-08-11,1007074546
2003-08-12,1024716728
2003-08-13,1058530910
2003-08-14,1065881819
2003-08-15,1070292364
2003-08-18,1137920728
2003-08-19,1186436728
2003-08-20,1186436728
2003-08-21,1189377092
2003-08-22,1190847274
2003-08-25,1179085819
2003-08-26,1198198183
2003-08-27,1229072001
2003-08-28,1276117819
2003-08-29,1268766910
2003-09-02,1309932001
2003-09-03,1308461819
2003-09-04,1293760001
2003-09-05,1277588001
2003-09-08,1287879274
2003-09-09,1239363274
2003-09-10,1245244001
2003-09-11,1293760001
2003-09-12,1301110910
2003-09-15,1317282910
2003-09-16,1327574183
2003-09-17,1305521456
2003-09-18,1349626910
2003-09-19,1351097092
2003-09-22,1334925092
2003-09-23,1379030547
2003-09-24,1373149819
2003-09-25,1336395274
2003-09-26,1286409092
2003-09-29,1330173119
2003-09-30,1240889600
2003-10-01,1298394240
2003-10-02,1301420800
2003-10-03,1310500480
2003-10-06,1339252800
2003-10-07,1343792640
2003-10-08,1324120000
2003-10-09,1384651200
2003-10-10,1399784000
2003-10-13,1396757440
2003-10-14,1476961280
2003-10-15,1478474560
2003-10-16,1464855040
2003-10-17,1454262080
2003-10-20,1501173760
2003-10-21,1564731520
2003-10-22,1539005760
2003-10-23,1523872960
2003-10-24,1534465920
2003-10-27,1563218240
2003-10-28,1611643200
2003-10-29,1635855680
2003-10-30,1569271360
2003-10-31,1590457280
2003-11-03,1646448640
2003-11-04,1641908800
2003-11-05,1660068160
2003-11-06,1608616640
2003-11-07,1599536960
2003-11-10,1548085440
2003-11-11,1567758080
2003-11-12,1573811200
2003-11-13,1560191680
2003-11-14,1543545600
2003-11-17,1526899520
2003-11-18,1522359680
2003-11-19,1529926080
2003-11-20,1523872960
2003-11-21,1560191680
2003-11-24,1607103360
2003-11-25,1635855680
2003-11-26,1632829119
2003-11-28,1647961920
2003-12-01,1672174400
2003-12-02,1649475200
2003-12-03,1588944000
2003-12-04,1588944000
2003-12-05,1523872960
2003-12-08,1458801920
2003-12-09,1422483200
2003-12-10,1417943360
2003-12-11,1455775360
2003-12-12,1507226880
2003-12-15,1483014400
2003-12-16,1478474560
2003-12-17,1493607360
2003-12-18,1520846400
2003-12-19,1493607360
2003-12-22,1479987840
2003-12-23,1487554240
2003-12-24,1469394880
2003-12-26,1473934720
2003-12-29,1502567880
2003-12-30,1496515240
2003-12-31,1475331000
2004-01-02,1488949440
2004-01-05,1505594200
2004-01-06,1498028400
2004-01-07,1523752120
2004-01-08,1522238960
2004-01-09,1517699480
2004-01-12,1510133680
2004-01-13,1504081040
2004-01-14,1496515240
2004-01-15,1505594200
2004-01-16,1484409960
2004-01-20,1472304680
2004-01-21,1664476000
2004-01-22,1608489080
2004-01-23,1682633920
2004-01-26,1647831240
2004-01-27,1638752280
2004-01-28,1594870639
2004-01-29,1579739040
2004-01-30,1602436440
2004-02-02,1597896960
2004-02-03,1566120600
2004-02-04,1543423200
2004-02-05,1557041639
2004-02-06,1591844320
2004-02-09,1608489080
2004-02-10,1599410120
2004-02-11,1653883880
2004-02-12,1626647000
2004-02-13,1608489080
2004-02-17,1626647000
2004-02-18,1646318080
2004-02-19,1594870639
2004-02-20,1594870639
2004-02-23,1561581120
2004-02-24,1590331160
2004-02-25,1608489080
2004-02-26,1613028560
2004-02-27,1620594360
2004-03-01,1637239120
2004-03-02,1640265440
2004-03-03,1641778600
2004-03-04,1661449680
2004-03-05,1664476000
2004-03-08,1632699639
2004-03-09,1608489080
2004-03-10,1593357480
2004-03-11,1578225880
2004-03-12,1593357480
2004-03-15,1540396880
2004-03-16,1516186320
2004-03-17,1537370560
2004-03-18,1493488920
2004-03-19,1470791520
2004-03-22,1458686240
2004-03-23,1476844160
2004-03-24,1461712560
2004-03-25,1504081040
2004-03-26,1510133680
2004-03-29,1492273175
2004-03-30,1493803711
2004-03-31,1481559419
2004-04-01,1483089955
2004-04-02,1492273175
2004-04-05,1489212102
2004-04-06,1478498345
2004-04-07,1472376199
2004-04-08,1458601370
2004-04-12,1487681565
2004-04-13,1525944980
2004-04-14,1504517467
2004-04-15,1502986931
2004-04-16,1545841955
2004-04-19,1551964102
2004-04-20,1570330541
2004-04-21,1585635907
2004-04-22,1636143614
2004-04-23,1623899321
2004-04-26,1585635907
2004-04-27,1594819126
2004-04-28,1565738931
2004-04-29,1515231224
2004-04-30,1490742638
2004-05-03,1455540297
2004-05-04,1499925858
2004-05-05,1506048004
2004-05-06,1473906736
2004-05-07,1382074540
2004-05-10,1322383613
2004-05-11,1394318833
2004-05-12,1375952394
2004-05-13,1385135613
2004-05-14,1369830248
2004-05-17,1343811126
2004-05-18,1360647028
2004-05-19,1363708101
2004-05-20,1349933272
2004-05-21,1385135613
2004-05-24,1403502053
2004-05-25,1472376199
2004-05-26,1447887614
2004-05-27,1466254053
2004-05-28,1473906736
2004-06-01,1493803711
2004-06-02,1481559419
2004-06-03,1435643321
2004-06-04,1427990638
2004-06-07,1461662443
2004-06-08,1493803711
2004-06-09,1472376199
2004-06-10,1454009760
2004-06-14,1443296004
2004-06-15,1464723516
2004-06-16,1467784589
2004-06-17,1458601370
2004-06-18,1476967809
2004-06-21,1480028882
2004-06-22,1509109077
2004-06-23,1521353370
2004-06-24,1530536590
2004-06-25,1591758053
2004-06-28,1581773600
2004-06-29,1574161600
2004-06-30,1592430400
2004-07-01,1551325600
2004-07-02,1543713600
2004-07-06,1537624000
2004-07-07,1533056800
2004-07-08,1531534400
2004-07-09,1540668800
2004-07-12,1508698400
2004-07-13,1479772800
2004-07-14,1452369599
2004-07-15,1441712800
2004-07-16,1432578400
2004-07-19,1396040800
2004-07-20,1414309599
2004-07-21,1362548000
2004-07-22,1368637600
2004-07-23,1342756800
2004-07-26,1307741600
2004-07-27,1379294400
2004-07-28,1367115200
2004-07-29,1386906400
2004-07-30,1382339200
2004-08-02,1362548000
2004-08-03,1330577600
2004-08-04,1338189599
2004-08-05,1300129599
2004-08-06,1252935200
2004-08-09,1234666400
2004-08-10,1298607200
2004-08-11,1289472800
2004-08-12,1252935200
2004-08-13,1251412800
2004-08-16,1269681600
2004-08-17,1301652000
2004-08-18,1316876000
2004-08-19,1307741600
2004-08-20,1309264000
2004-08-23,1292517600
2004-08-24,1312308800
2004-08-25,1322965600
2004-08-26,1322965600
2004-08-27,1332100000
2004-08-30,1309264000
2004-08-31,1326010400
2004-09-01,1391473600
2004-09-02,1458459200
2004-09-03,1444757600
2004-09-07,1441712800
2004-09-08,1426488800
2004-09-09,1459981600
2004-09-10,1459981600
2004-09-13,1484340000
2004-09-14,1467593600
2004-09-15,1456936800
2004-09-16,1496519200
2004-09-17,1484340000
2004-09-20,1447802400
2004-09-21,1444757600
2004-09-22,1396040800
2004-09-23,1394518400
2004-09-24,1379294400
2004-09-27,1393617960
2004-09-28,1331885160
2004-09-29,1223852760
2004-09-30,1213049520
2004-10-01,1260892440
2004-10-04,1239285960
2004-10-05,1259349120
2004-10-06,1274782320
2004-10-07,1248545880
2004-10-08,1205332920
2004-10-11,1209962880
2004-10-12,1254719160
2004-10-13,1284042240
2004-10-14,1282498920
2004-10-15,1302562080
2004-10-18,1321081920
2004-10-19,1325711880
2004-10-20,1325711880
2004-10-21,1333428480
2004-10-22,1325711880
2004-10-25,1339601760
2004-10-26,1376641440
2004-10-27,1407507839
2004-10-28,1416767760
2004-10-29,1399791240
2004-11-01,1393617960
2004-11-02,1402877880
2004-11-03,1398247920
2004-11-04,1381271400
2004-11-05,1376641440
2004-11-08,1351948320
2004-11-09,1359664920
2004-11-10,1356578279
