,CDNS
2000-05-23,3513307500
2000-05-24,3620234250
2000-05-25,3467481750
2000-05-26,3498032250
2000-05-30,3956289750
2000-05-31,3910464000
2000-06-01,4368721500
2000-06-02,4643676000
2000-06-05,4445097750
2000-06-06,4414547250
2000-06-07,4720052250
2000-06-08,4613125500
2000-06-09,4613125500
2000-06-12,4399272000
2000-06-13,4475648250
2000-06-14,4399272000
2000-06-15,4460373000
2000-06-16,4628400750
2000-06-19,4689501750
2000-06-20,5025557250
2000-06-21,4964456250
2000-06-22,4658951250
2000-06-23,4857529500
2000-06-26,4888080000
2000-06-27,4643676000
2000-06-28,4888080000
2000-06-29,5086658250
2000-06-30,4979731500
2000-07-03,4998951187
2000-07-05,4907227312
2000-07-06,4769641500
2000-07-07,4846078062
2000-07-10,4891940000
2000-07-11,5304697437
2000-07-12,5595156375
2000-07-13,5686880250
2000-07-14,5610443687
2000-07-17,5549294437
2000-07-18,5426995937
2000-07-19,5319984750
2000-07-20,5503432500
2000-07-21,5304697437
2000-07-24,5319984750
2000-07-25,5442283250
2000-07-26,5350559375
2000-07-27,5212973562
2000-07-28,4983663875
2000-07-31,5105962375
2000-08-01,5075387750
2000-08-02,4968376562
2000-08-03,4968376562
2000-08-04,5197686250
2000-08-07,5136537000
2000-08-08,5060100437
2000-08-09,4937801937
2000-08-10,4815503437
2000-08-11,4998951187
2000-08-14,4968376562
2000-08-15,4891940000
2000-08-16,4907227312
2000-08-17,4891940000
2000-08-18,4907227312
2000-08-21,4968376562
2000-08-22,4968376562
2000-08-23,4876652687
2000-08-24,4937801937
2000-08-25,4983663875
2000-08-28,4907227312
2000-08-29,5014238500
2000-08-30,5090675062
2000-08-31,5197686250
2000-09-01,5365846687
2000-09-05,5060100437
2000-09-06,5381134000
2000-09-07,5381134000
2000-09-08,5396421312
2000-09-11,5702167562
2000-09-12,5778604125
2000-09-13,6007913812
2000-09-14,6267798125
2000-09-15,6634693625
2000-09-18,6283085437
2000-09-19,6374809312
2000-09-20,6451245875
2000-09-21,6298372750
2000-09-22,6053775750
2000-09-25,6191361562
2000-09-26,6069063062
2000-09-27,6221936187
2000-09-28,6313660062
2000-09-29,6283085437
2000-10-02,6299248250
2000-10-03,6268669375
2000-10-04,6222801062
2000-10-05,6054617250
2000-10-06,6024038375
2000-10-09,6069906687
2000-10-10,5626513000
2000-10-11,5443039750
2000-10-12,5198408750
2000-10-13,5443039750
2000-10-16,5443039750
2000-10-17,5228987625
2000-10-18,6008748937
2000-10-19,6314537687
2000-10-20,6421563750
2000-10-23,6589747562
2000-10-24,6650905312
2000-10-25,6360406000
2000-10-26,6253379937
2000-10-27,6375695437
2000-10-30,6222801062
2000-10-31,6283958812
2000-11-01,6268669375
2000-11-02,6283958812
2000-11-03,6238090500
2000-11-06,6436853187
2000-11-07,6299248250
2000-11-08,6176932750
2000-11-09,6008748937
2000-11-10,5855854562
2000-11-13,5626513000
2000-11-14,5978170062
2000-11-15,6100485562
2000-11-16,6039327812
2000-11-17,6069906687
2000-11-20,5855854562
2000-11-21,5809986250
2000-11-22,5764117937
2000-11-24,5917012312
2000-11-27,6069906687
2000-11-28,5962880625
2000-11-29,5871144000
2000-11-30,5733539062
2000-12-01,5871144000
2000-12-04,6054617250
2000-12-05,6390984875
2000-12-06,6360406000
2000-12-07,6559168687
2000-12-08,6849668000
2000-12-11,7017851812
2000-12-12,6788510250
2000-12-13,6528589812
2000-12-14,6574458125
2000-12-15,6115775000
2000-12-18,6253379937
2000-12-19,6329827125
2000-12-20,5718249625
2000-12-21,5748828500
2000-12-22,6176932750
2000-12-26,6238090500
2000-12-27,6757931375
2000-12-28,6757931375
2000-12-29,6727352500
2001-01-02,6119100750
2001-01-03,6103726125
2001-01-04,6580339500
2001-01-05,6211348500
2001-01-08,6518841000
2001-01-09,7118451375
2001-01-10,7256823000
2001-01-11,7287572250
2001-01-12,7195324500
2001-01-16,7241448375
2001-01-17,7625814000
2001-01-18,7841058750
2001-01-19,7871808000
2001-01-22,7948681125
2001-01-23,7871808000
2001-01-24,7379820000
2001-01-25,7133826000
2001-01-26,6933955875
2001-01-29,7008369060
2001-01-30,7330620954
2001-01-31,7254363060
2001-02-01,6892751880
2001-02-02,6966550080
2001-02-05,7023128454
2001-02-06,7047728100
2001-02-07,6828793440
2001-02-08,6604938900
2001-02-09,6545900585
2001-02-12,6509000994
2001-02-13,6673816974
2001-02-14,6654137454
2001-02-15,6978850025
2001-02-16,6784514520
2001-02-20,6437662980
2001-02-21,6017012994
2001-02-22,6518841000
2001-02-23,6725475960
2001-02-26,6939490494
2001-02-27,6617238600
2001-02-28,6235947900
2001-03-01,6174449400
2001-03-02,6112950900
2001-03-05,5716900560
2001-03-06,6002253600
2001-03-07,6144930120
2001-03-08,5916155454
2001-03-09,5903856000
2001-03-12,4897740540
2001-03-13,4942019460
2001-03-14,4882980900
2001-03-15,5023197480
2001-03-16,4673886000
2001-03-19,4612387500
2001-03-20,4644366474
2001-03-21,4600088045
2001-03-22,4723085045
2001-03-23,4833782100
2001-03-26,4895280600
2001-03-27,4932179454
2001-03-28,4509070020
2001-03-29,4482010434
2001-03-30,4548429060
2001-04-02,4459399600
2001-04-03,4166735751
2001-04-04,4139454048
2001-04-05,4265944248
2001-04-06,4315548000
2001-04-09,4365152000
2001-04-10,4699979248
2001-04-11,4801667448
2001-04-12,4786785751
2001-04-16,4377553000
2001-04-17,4213859799
2001-04-18,4848790751
2001-04-19,5196019248
2001-04-20,5208420000
2001-04-23,4819028600
2001-04-24,4675177000
2001-04-25,4838870200
2001-04-26,5010004248
2001-04-27,5029845848
2001-04-30,5134014248
2001-05-01,5486202648
2001-05-02,5481242000
2001-05-03,5208420000
2001-05-04,5406835751
2001-05-07,5391954800
2001-05-08,5391954800
2001-05-09,5320029248
2001-05-10,5300187648
2001-05-11,5151375400
2001-05-14,5173697448
2001-05-15,5158815751
2001-05-16,5456440000
2001-05-17,5444039248
2001-05-18,5431638000
2001-05-21,5729262000
2001-05-22,5880553951
2001-05-23,5612692351
2001-05-24,5788786800
2001-05-25,5853272000
2001-05-29,5508523951
2001-05-30,5320029248
2001-05-31,5245623000
2001-06-01,5329949800
2001-06-04,5481242000
2001-06-05,5818548951
2001-06-06,5739182551
2001-06-07,5969841400
2001-06-08,5890475000
2001-06-11,5736702351
2001-06-12,5721821400
2001-06-13,5602771800
2001-06-14,5367152551
2001-06-15,5419237000
2001-06-18,5379554048
2001-06-19,5302667351
2001-06-20,5146415000
2001-06-21,4997603000
2001-06-22,4943038600
2001-06-25,4900875200
2001-06-26,4873593000
2001-06-27,4667736400
2001-06-28,4697499048
2001-06-29,4620612351
2001-07-02,4794172396
2001-07-03,4589588186
2001-07-05,4670928896
2001-07-06,4451554973
2001-07-09,4560009500
2001-07-10,4311057630
2001-07-11,4283943813
2001-07-12,4527966436
2001-07-13,4527966436
2001-07-16,4510711853
2001-07-17,4572333603
2001-07-18,5052983500
2001-07-19,5309330226
2001-07-20,5267427436
2001-07-23,5422714000
2001-07-24,5277286670
2001-07-25,5442432960
2001-07-26,5508984450
2001-07-27,5644552300
2001-07-30,5590325160
2001-07-31,5437502973
2001-08-01,5619903353
2001-08-02,5787514760
2001-08-03,5676595856
2001-08-06,5605114380
2001-08-07,5787514760
2001-08-08,5656876896
2001-08-09,5508984450
2001-08-10,5486800620
2001-08-13,5659341273
2001-08-14,5632227950
2001-08-15,5669201000
2001-08-16,5669201000
2001-08-17,5597719523
2001-08-20,5568141330
2001-08-21,5570606200
2001-08-22,5528703410
2001-08-23,5430108856
2001-08-24,5676595856
2001-08-27,5669201000
2001-08-28,5538562643
2001-08-29,5545957500
2001-08-30,5410389896
2001-08-31,5417784260
2001-09-04,5257567710
2001-09-05,5188551103
2001-09-06,5018475566
2001-09-07,4939599726
2001-09-10,4929740000
2001-09-17,4621631250
2001-09-18,4451554973
2001-09-19,4170560040
2001-09-20,4000484010
2001-09-21,3869845900
2001-09-24,4017737853
2001-09-25,3968440700
2001-09-26,3815618760
2001-09-27,3820548500
2001-09-28,4104008549
2001-10-01,4275024265
2001-10-02,4354584000
2001-10-03,4739124265
2001-10-04,4641000000
2001-10-05,4471272265
2001-10-08,4505748000
2001-10-09,4564091734
2001-10-10,4972500000
2001-10-11,5105100000
2001-10-12,5083884000
2001-10-15,5136924265
2001-10-16,4932720000
2001-10-17,5304000000
2001-10-18,5542680000
2001-10-19,5547984000
2001-10-22,5701800000
2001-10-23,5635500000
2001-10-24,5768100000
2001-10-25,5834400000
2001-10-26,5829096000
2001-10-29,5728320000
2001-10-30,5601024265
2001-10-31,5606327734
2001-11-01,5993520000
2001-11-02,6266675734
2001-11-05,6375408265
2001-11-06,6537180000
2001-11-07,6497400000
2001-11-08,6338280000
2001-11-09,6465575734
2001-11-12,6510659734
2001-11-13,6112859734
2001-11-14,6152640265
2001-11-15,6126120000
2001-11-16,6261372265
2001-11-19,6364800000
2001-11-20,6192420000
2001-11-21,6107556265
2001-11-23,6123468000
2001-11-26,6293196000
2001-11-27,6258720000
2001-11-28,6245459734
2001-11-29,6431100000
2001-11-30,6325020000
2001-12-03,6245459734
2001-12-04,5834400000
2001-12-05,5980259734
2001-12-06,6049211734
2001-12-07,6099600000
2001-12-10,6009432000
2001-12-11,6139380000
2001-12-12,6147336000
2001-12-13,6046559734
2001-12-14,5919264000
2001-12-17,6171204000
2001-12-18,6348888265
2001-12-19,6123468000
2001-12-20,6126120000
2001-12-21,6065124265
2001-12-24,6006780000
2001-12-26,5993520000
2001-12-27,5876832000
2001-12-28,5940480000
2001-12-31,5473862400
2002-01-02,5344008000
2002-01-03,5531298000
2002-01-04,5493840000
2002-01-07,5416427049
2002-01-08,5388957600
2002-01-09,5393952000
2002-01-10,5556270000
2002-01-11,5461376649
2002-01-14,5319035750
2002-01-15,5368980000
2002-01-16,5219148000
2002-01-17,5324030400
2002-01-18,5221645200
2002-01-22,5269092000
2002-01-23,5541287049
2002-01-24,5621197200
2002-01-25,5668644249
2002-01-28,5838453350
2002-01-29,5993280000
2002-01-30,5978297049
2002-01-31,5918364249
2002-02-01,6023246649
2002-02-04,5888397600
2002-02-05,5913369600
2002-02-06,5880905750
2002-02-07,5696112950
2002-02-08,5766034800
2002-02-11,5845945200
2002-02-12,5731074249
2002-02-13,5788509600
2002-02-14,5718588000
2002-02-15,5558767200
2002-02-19,5346505200
2002-02-20,5388957600
2002-02-21,5186684400
2002-02-22,5199170400
2002-02-25,5241622800
2002-02-26,5244120000
2002-02-27,5339013350
2002-02-28,5281578000
2002-03-01,5486348150
2002-03-04,5618700000
2002-03-05,5561264400
2002-03-06,5593728000
2002-03-07,5681130000
2002-03-08,5970805200
2002-03-11,5950827600
2002-03-12,5791007049
2002-03-13,5746057200
2002-03-14,5728577049
2002-03-15,5633682950
2002-03-18,5756045750
2002-03-19,5738565600
2002-03-20,5591230550
2002-03-21,5633682950
2002-03-22,5601219600
2002-03-25,5483850950
2002-03-26,5436404400
2002-03-27,5556270000
2002-03-28,5646169449
2002-04-01,5630512500
2002-04-02,5444587500
2002-04-03,5125500000
2002-04-04,5057662248
2002-04-05,5138062751
2002-04-08,5178262751
2002-04-09,5070225000
2002-04-10,5138062751
2002-04-11,4967212500
2002-04-12,5090325000
2002-04-15,5479762248
2002-04-16,5708399748
2002-04-17,5640562751
2002-04-18,5602874748
2002-04-19,5545087500
2002-04-22,5474737751
2002-04-23,5334037500
2002-04-24,5293837500
2002-04-25,5394337248
2002-04-26,5052637751
2002-04-29,5065200000
2002-04-30,5145600000
2002-05-01,5027512500
2002-05-02,4949625251
2002-05-03,4826512248
2002-05-06,4879275000
2002-05-07,4753650000
2002-05-08,5329012248
2002-05-09,5030025000
2002-05-10,4949625251
2002-05-13,4954649748
2002-05-14,5241075251
2002-05-15,5175750000
2002-05-16,5190825000
2002-05-17,5163187248
2002-05-20,5055150251
2002-05-21,5014949748
2002-05-22,4987312500
2002-05-23,5025000000
2002-05-24,4954649748
2002-05-28,4801387751
2002-05-29,4670737500
2002-05-30,4748625000
2002-05-31,4839075000
2002-06-03,4535062248
2002-06-04,4542600000
2002-06-05,4384312751
2002-06-06,4248637500
2002-06-07,4318987751
2002-06-10,4253662500
2002-06-11,4072762248
2002-06-12,4198387248
2002-06-13,4105425000
2002-06-14,4133062751
2002-06-17,4268737499
2002-06-18,4248637500
2002-06-19,4115474748
2002-06-20,4097887248
2002-06-21,3952162500
2002-06-24,4057687499
2002-06-25,3899400000
2002-06-26,3693375000
2002-06-27,3771262500
2002-06-28,4050150251
2002-07-01,4078998000
2002-07-02,4036230000
2002-07-03,4009500000
2002-07-05,4239378000
2002-07-08,4089690000
2002-07-09,3849120000
2002-07-10,3835755000
2002-07-11,3849120000
2002-07-12,3811698000
2002-07-15,3875850000
2002-07-16,4143150000
2002-07-17,4276800000
2002-07-18,4009500000
2002-07-19,4009500000
2002-07-22,3878523000
2002-07-23,3595185000
2002-07-24,2940300000
2002-07-25,2988414000
2002-07-26,3015144000
2002-07-29,3207600000
2002-07-30,3418767000
2002-07-31,3327885000
2002-08-01,3207600000
2002-08-02,3199581000
2002-08-05,2956338000
2002-08-06,3140775000
2002-08-07,3180870000
2002-08-08,3341250000
2002-08-09,3426786000
2002-08-12,3488265000
2002-08-13,3394710000
2002-08-14,3525687000
2002-08-15,3667356000
2002-08-16,3814371000
2002-08-19,4164534000
2002-08-20,3881196000
2002-08-21,3942675000
2002-08-22,4014846000
2002-08-23,3942675000
2002-08-26,3982770000
2002-08-27,3718143000
2002-08-28,3576474000
2002-08-29,3632607000
2002-08-30,3600531000
2002-09-03,3381345000
2002-09-04,3434805000
2002-09-05,3301155000
2002-09-06,3504303000
2002-09-09,3539052000
2002-09-10,3742200000
2002-09-11,3779622000
2002-09-12,3643299000
2002-09-13,3629934000
2002-09-16,3539052000
2002-09-17,3354615000
2002-09-18,3234330000
2002-09-19,3196908000
2002-09-20,3164832000
2002-09-23,3116718000
2002-09-24,3044547000
2002-09-25,2913570000
2002-09-26,2929608000
2002-09-27,2793285000
2002-09-30,2746886490
2002-10-01,2854925290
2002-10-02,2719876790
2002-10-03,2646950600
2002-10-04,2544313740
2002-10-07,2430873000
2002-10-08,2452480760
2002-10-09,2417368150
2002-10-10,2541612770
2002-10-11,2917047600
2002-10-14,3084507740
2002-10-15,3157433930
2002-10-16,2922449540
2002-10-17,2863028200
2002-10-18,2781999100
2002-10-21,3079105800
2002-10-22,2946758270
2002-10-23,3065600950
2002-10-24,2981870880
2002-10-25,3011581550
2002-10-28,2962964090
2002-10-29,2819812680
2002-10-30,2733381640
2002-10-31,2736082610
2002-11-01,2765793280
2002-11-04,2981870880
2002-11-05,3160134900
2002-11-06,3187144600
2002-11-07,3019684460
2002-11-08,3079105800
2002-11-11,3008880580
2002-11-12,3130424230
2002-11-13,2998076700
2002-11-14,3335697950
2002-11-15,3357305710
2002-11-18,3446437720
2002-11-19,3403222200
2002-11-20,3697627930
2002-11-21,3983930750
2002-11-22,3875891950
2002-11-25,3816470610
2002-11-26,3703029870
2002-11-27,3767853150
2002-11-29,3894798740
2002-12-02,3889396800
2002-12-03,3727338600
2002-12-04,3449138690
2002-12-05,3251967880
2002-12-06,3284379520
2002-12-09,3046694160
2002-12-10,3181742660
2002-12-11,3270874670
2002-12-12,3281678550
2002-12-13,3170938780
2002-12-16,3311389220
2002-12-17,3335697950
2002-12-18,3238463030
2002-12-19,3154732960
2002-12-20,3257369820
2002-12-23,3311389220
2002-12-24,3341099890
2002-12-26,3357305710
2002-12-27,3289781460
2002-12-30,3134421440
2002-12-31,3163940820
2003-01-02,3129054280
2003-01-03,2479627920
2003-01-06,2629908400
2003-01-07,2511830880
2003-01-08,2589654700
2003-01-09,2718466540
2003-01-10,2713099380
2003-01-13,2683580000
2003-01-14,2737251600
2003-01-15,2683580000
2003-01-16,2683580000
2003-01-17,2643326300
2003-01-21,2576236800
2003-01-22,2686263580
2003-01-23,2761403820
2003-01-24,2688947160
2003-01-27,2680896420
2003-01-28,2782872460
2003-01-29,2705048640
2003-01-30,2603072600
2003-01-31,2662111360
2003-02-03,2629908400
2003-02-04,2586971120
2003-02-05,2603072600
2003-02-06,2581603960
2003-02-07,2552084580
2003-02-10,2573553220
2003-02-11,2589654700
2003-02-12,2552084580
2003-02-13,2570869640
2003-02-14,2643326300
2003-02-18,2683580000
2003-02-19,2699681480
2003-02-20,2758720240
2003-02-21,2745302340
2003-02-24,2729200860
2003-02-25,2772138140
2003-02-26,2807024680
2003-02-27,2833860480
2003-02-28,2841911220
2003-03-03,2852645540
2003-03-04,2798973940
2003-03-05,2764087400
2003-03-06,2723833700
2003-03-07,2764087400
2003-03-10,2731884440
2003-03-11,2683580000
2003-03-12,2702365060
2003-03-13,2723833700
2003-03-14,2731884440
2003-03-17,2925102200
2003-03-18,2922418620
2003-03-19,2911684300
2003-03-20,2914367880
2003-03-21,2941203680
2003-03-24,2812391840
2003-03-25,2849961960
2003-03-26,2847278380
2003-03-27,2823126160
2003-03-28,2734568020
2003-03-31,2678870000
2003-04-01,2649402430
2003-04-02,2713695310
2003-04-03,2727089660
2003-04-04,2727089660
2003-04-07,2777988190
2003-04-08,2721731920
2003-04-09,2646723560
2003-04-10,2668154520
2003-04-11,2638686950
2003-04-14,2611898250
2003-04-15,2625292600
2003-04-16,2839602200
2003-04-17,2799419150
2003-04-21,2847638810
2003-04-22,2925326040
2003-04-23,2970866830
2003-04-24,2989618920
2003-04-25,2866390900
2003-04-28,2941399260
2003-04-29,3005692140
2003-04-30,3061948410
2003-05-01,3104810330
2003-05-02,3222680610
2003-05-05,3203928520
2003-05-06,3286973490
2003-05-07,3308404450
2003-05-08,3228038350
2003-05-09,3238753830
2003-05-12,3268221400
2003-05-13,3182497560
2003-05-14,3144993380
2003-05-15,3278936880
2003-05-16,3345908630
2003-05-19,3236074960
2003-05-20,3241432700
2003-05-21,3257505920
2003-05-22,3659336420
2003-05-23,3605759020
2003-05-27,3728987040
2003-05-28,3758454610
2003-05-29,3723629300
2003-05-30,3723629300
2003-06-02,3670051900
2003-06-03,3637905460
2003-06-04,3696840600
2003-06-05,3710234950
2003-06-06,3683446250
2003-06-09,3544145010
2003-06-10,3554860490
2003-06-11,3589685800
2003-06-12,3562897100
2003-06-13,3482531000
2003-06-16,3538787270
2003-06-17,3487888740
2003-06-18,3522714050
2003-06-19,3445026820
2003-06-20,3319119930
2003-06-23,3329835410
2003-06-24,3249469310
2003-06-25,3214644000
2003-06-26,3222680610
2003-06-27,3139635640
2003-06-30,3217065300
2003-07-01,3174384500
2003-07-02,3310429550
2003-07-03,3286421600
2003-07-07,3435804400
2003-07-08,3489155400
2003-07-09,3513163350
2003-07-10,3385120950
2003-07-11,3481152750
2003-07-14,3539838850
2003-07-15,3467815000
2003-07-16,3307762000
2003-07-17,3355777900
2003-07-18,3395791150
2003-07-21,3361113000
2003-07-22,3499825600
2003-07-23,3494490500
2003-07-24,3473150100
2003-07-25,3555844150
2003-07-28,3654543500
2003-07-29,3633203100
2003-07-30,3619865350
2003-07-31,3646540850
2003-08-01,3571849450
2003-08-04,3569181900
2003-08-05,3561179250
2003-08-06,3494490500
2003-08-07,3446474600
2003-08-08,3518498450
2003-08-11,3569181900
2003-08-12,3518498450
2003-08-13,3481152750
2003-08-14,3494490500
2003-08-15,3539838850
2003-08-18,3555844150
2003-08-19,3651875950
2003-08-20,3659878600
2003-08-21,3651875950
2003-08-22,3713229600
2003-08-25,3755910400
2003-08-26,3686554100
2003-08-27,3707894500
2003-08-28,3798591200
2003-08-29,3793256100
2003-09-02,3857277300
2003-09-03,3793256100
2003-09-04,3723899800
2003-09-05,3593189850
2003-09-08,3646540850
2003-09-09,3691889200
2003-09-10,3657211050
2003-09-11,3715897150
2003-09-12,3729234900
2003-09-15,3625200450
2003-09-16,3734570000
2003-09-17,3726567350
2003-09-18,3742572650
2003-09-19,3726567350
2003-09-22,3686554100
2003-09-23,3726567350
2003-09-24,3582519650
2003-09-25,3603860050
2003-09-26,3553176600
2003-09-29,4054152000
2003-09-30,4036080000
2003-10-01,3993912000
2003-10-02,3915600000
2003-10-03,3999936000
2003-10-06,3975840000
2003-10-07,4005960000
2003-10-08,4126440000
2003-10-09,3972828000
2003-10-10,4008972000
2003-10-13,4177644000
2003-10-14,4165596000
2003-10-15,4219812000
2003-10-16,4418604000
2003-10-17,4376436000
2003-10-20,4620408000
2003-10-21,4566192000
2003-10-22,4508964000
2003-10-23,4487880000
2003-10-24,4415592000
2003-10-27,4566192000
2003-10-28,4653540000
2003-10-29,4647516000
2003-10-30,4623420000
2003-10-31,4635468000
2003-11-03,4755948000
2003-11-04,4882451698
2003-11-05,4861367698
2003-11-06,4999920000
2003-11-07,5017992000
2003-11-10,4894500000
2003-11-11,4810164000
2003-11-12,4894500000
2003-11-13,4957751698
2003-11-14,4849320000
2003-11-17,4767996000
2003-11-18,4668600000
2003-11-19,4804140000
2003-11-20,4752936000
2003-11-21,4939680000
2003-11-24,4990884000
2003-11-25,4963776000
2003-11-26,4966788000
2003-11-28,5039076000
2003-12-01,5243892000
2003-12-02,5258951698
2003-12-03,5451720000
2003-12-04,5376420000
2003-12-05,5267988000
2003-12-08,5177628301
2003-12-09,5114376000
2003-12-10,4969800000
2003-12-11,5286059698
2003-12-12,5240880000
2003-12-15,5189676000
2003-12-16,5180640301
2003-12-17,5186663698
2003-12-18,5280036301
2003-12-19,5277024000
2003-12-22,5406540301
2003-12-23,5481840301
2003-12-24,5517984000
2003-12-26,5478828301
2003-12-29,5472804000
2003-12-30,5466780000
2003-12-31,5415576000
2004-01-02,5499912000
2004-01-05,5041327890
2004-01-06,5049472200
2004-01-07,5136344840
2004-01-08,5155348230
2004-01-09,5098338331
2004-01-12,5054902011
2004-01-13,5003321110
2004-01-14,5177066390
2004-01-15,5193354738
2004-01-16,5266653800
2004-01-20,5212358671
2004-01-21,5117341450
2004-01-22,5016894960
2004-01-23,4962599831
2004-01-26,4916448741
2004-01-27,5044042660
2004-01-28,4970743598
2004-01-29,4574387450
2004-01-30,4498373890
2004-02-02,4465796921
2004-02-03,4425074828
2004-02-04,4281192290
2004-02-05,4278477520
2004-02-06,4302910450
2004-02-09,4305625220
2004-02-10,4370779700
2004-02-11,4373494741
2004-02-12,4308339990
2004-02-13,4332772920
2004-02-17,4406071710
2004-02-18,4346346770
2004-02-19,4205178730
2004-02-20,4118306090
2004-02-23,4053151610
2004-02-24,3977138050
2004-02-25,4088443620
2004-02-26,4099302700
2004-02-27,4188890110
2004-03-01,4243185510
2004-03-02,4245900280
2004-03-03,4218752580
2004-03-04,4235041200
2004-03-05,4199749190
2004-03-08,4102017470
2004-03-09,4083014080
2004-03-10,4186175340
2004-03-11,4110161780
2004-03-12,4129165170
2004-03-15,4058581150
2004-03-16,3944560810
2004-03-17,3947275580
2004-03-18,3917413110
2004-03-19,3960849430
2004-03-22,3903839260
2004-03-23,3933701730
2004-03-24,3936416500
2004-03-25,3952705120
2004-03-26,3955419890
2004-03-29,4020574370
2004-03-30,3998856210
2004-03-31,4001570980
2004-04-01,4026003910
2004-04-02,4091158390
2004-04-05,4134455160
2004-04-06,4123560680
2004-04-07,4096324480
2004-04-08,4118113440
2004-04-12,4101771720
2004-04-13,4039128460
2004-04-14,3984656060
2004-04-15,3902947460
2004-04-16,3834856960
2004-04-19,3845751440
2004-04-20,3731359400
2004-04-21,3744977500
2004-04-22,3913841940
2004-04-23,3853922300
2004-04-26,3843027820
2004-04-27,3788555420
2004-04-28,3717741300
2004-04-29,3584283920
2004-04-30,3491680840
2004-05-03,3527087900
2004-05-04,3573389440
2004-05-05,3576113060
2004-05-06,3527087900
2004-05-07,3475339120
2004-05-10,3418143100
2004-05-11,3595178400
2004-05-12,3614243740
2004-05-13,3576113060
2004-05-14,3581560300
2004-05-17,3527087900
2004-05-18,3611520120
2004-05-19,3633309080
2004-05-20,3665992520
2004-05-21,3720464920
2004-05-24,3725912160
2004-05-25,3731359400
2004-05-26,3774937320
2004-05-27,3788555420
2004-05-28,3769490080
2004-06-01,3813068000
2004-06-02,3818515240
2004-06-03,3753148360
2004-06-04,3845751440
2004-06-07,3886605740
2004-06-08,3881158500
2004-06-09,3780384560
2004-06-10,3826686100
2004-06-14,3791279040
2004-06-15,3883882120
2004-06-16,3954696240
2004-06-17,3905671080
2004-06-18,3954696240
2004-06-21,3943801760
2004-06-22,3976485200
2004-06-23,3995550540
2004-06-24,3954696240
2004-06-25,4011892260
2004-06-28,3954696240
2004-06-29,3960143480
2004-06-30,3984656060
2004-07-01,3946525380
2004-07-02,3872987640
2004-07-06,3746549650
2004-07-07,3687037670
2004-07-08,3627525690
2004-07-09,3665396950
2004-07-12,3651871500
2004-07-13,3622115510
2004-07-14,3557193350
2004-07-15,3584244250
2004-07-16,3492271190
2004-07-19,3511206820
2004-07-20,3630230780
2004-07-21,3519322090
2004-07-22,3600474790
2004-07-23,3508501730
2004-07-26,3562603530
2004-07-27,3630230780
2004-07-28,3565308620
2004-07-29,3630230780
2004-07-30,3643756230
2004-08-02,3530142450
2004-08-03,3440874480
2004-08-04,3476040650
2004-08-05,3386772680
2004-08-06,3386772680
2004-08-09,3367837050
2004-08-10,3394887950
2004-08-11,3321850520
2004-08-12,3316440340
2004-08-13,3327260700
2004-08-16,3327260700
2004-08-17,3386772680
2004-08-18,3470630470
2004-08-19,3173070570
2004-08-20,3124378950
2004-08-23,3170365480
