,COTY
2014-03-12,5929522715
2014-03-13,5845089381
2014-03-14,5726115139
2014-03-17,5818224230
2014-03-18,5837413624
2014-03-19,5779845442
2014-03-20,5772169685
2014-03-21,5822062109
2014-03-24,5791359079
2014-03-25,5768331806
2014-03-26,5718439382
2014-03-27,5729953018
2014-03-28,5752980291
2014-03-31,5305916000
2014-04-01,5313000000
2014-04-02,5313000000
2014-04-03,5351962000
2014-04-04,5387382000
2014-04-07,5380298000
2014-04-08,5408634000
2014-04-09,5426344000
2014-04-10,5500726000
2014-04-11,5447596000
2014-04-14,5521978000
2014-04-15,5529062000
2014-04-16,5578650000
2014-04-17,5578650000
2014-04-21,5546772000
2014-04-22,5543230000
2014-04-23,5582192000
2014-04-24,5536146000
2014-04-25,5536146000
2014-04-28,5638864000
2014-04-29,5628238000
2014-04-30,5684910000
2014-05-01,5681368000
2014-05-02,5794712000
2014-05-05,5720329999
2014-05-06,5606986000
2014-05-07,5624696000
2014-05-08,5578650000
2014-05-09,5564482000
2014-05-12,5610528000
2014-05-13,5468848000
2014-05-14,5585734000
2014-05-15,5656574000
2014-05-16,5695535999
2014-05-19,5738040000
2014-05-20,5738040000
2014-05-21,5727414000
2014-05-22,5819506000
2014-05-23,5801796000
2014-05-27,5872635999
2014-05-28,5858468000
2014-05-29,5847842000
2014-05-30,5908056000
2014-06-02,5883262000
2014-06-03,5989522000
2014-06-04,5993064000
2014-06-05,5982438000
2014-06-06,6322470000
2014-06-09,6304760000
2014-06-10,6177248000
2014-06-11,6099324000
2014-06-12,6060362000
2014-06-13,6060362000
2014-06-16,6010774000
2014-06-17,6042652000
2014-06-18,6063904000
2014-06-19,6152454000
2014-06-20,5996606000
2014-06-23,6007232000
2014-06-24,5932850000
2014-06-25,5954102000
2014-06-26,5957644000
2014-06-27,5964728000
2014-06-30,6067446000
2014-07-01,6194957999
2014-07-02,6304760000
2014-07-03,6428729999
2014-07-07,6375600000
2014-07-08,6361432000
2014-07-09,6347264000
2014-07-10,6311844000
2014-07-11,6194957999
2014-07-14,6088698000
2014-07-15,6205584000
2014-07-16,6159538000
2014-07-17,6131202000
2014-07-18,6134744000
2014-07-21,6085156000
2014-07-22,6131202000
2014-07-23,6120576000
2014-07-24,6060362000
2014-07-25,6067446000
2014-07-28,6021400000
2014-07-29,6021400000
2014-07-30,6024942000
2014-07-31,6060362000
2014-08-01,6014316000
2014-08-04,6095782000
2014-08-05,6131202000
2014-08-06,6177248000
2014-08-07,6039110000
2014-08-08,6138285999
2014-08-11,6241004000
2014-08-12,6223294000
2014-08-13,6219752000
2014-08-14,6241004000
2014-08-15,6322470000
2014-08-18,6347264000
2014-08-19,6379142000
2014-08-20,6361432000
2014-08-21,6407478000
2014-08-22,6499570000
2014-08-25,6457066000
2014-08-26,6382684000
2014-08-27,6379142000
2014-08-28,6159538000
2014-08-29,6088698000
2014-09-02,6099324000
2014-09-03,6099324000
2014-09-04,6088698000
2014-09-05,6127660000
2014-09-08,6113492000
2014-09-09,6074529999
2014-09-10,6134744000
2014-09-11,6219752000
2014-09-12,6219752000
2014-09-15,6155996000
2014-09-16,6102866000
2014-09-17,6212668000
2014-09-18,6269340000
2014-09-19,6191416000
2014-09-22,6138285999
2014-09-23,6120576000
2014-09-24,6141828000
2014-09-25,6021400000
2014-09-26,6063904000
2014-09-29,5929307999
2014-09-30,5848770000
2014-10-01,5785158000
2014-10-02,5668536000
2014-10-03,5640264000
2014-10-06,5633196000
2014-10-07,5760420000
2014-10-08,5802828000
2014-10-09,5742750000
2014-10-10,5746284000
2014-10-13,5728614000
2014-10-14,5799294000
2014-10-15,5785158000
2014-10-16,5848770000
2014-10-17,5802828000
2014-10-20,5799294000
2014-10-21,5869974000
2014-10-22,5862906000
2014-10-23,5795759999
2014-10-24,5767488000
2014-10-27,5834634000
2014-10-28,5862906000
2014-10-29,5763954000
2014-10-30,5732148000
2014-10-31,5866440000
2014-11-03,6046674000
2014-11-04,5937120000
2014-11-05,6089082000
2014-11-06,6336462000
2014-11-07,6488424000
2014-11-10,6650988000
2014-11-11,6608580000
2014-11-12,6838290000
2014-11-13,6873630000
2014-11-14,6767609999
2014-11-17,6707532000
2014-11-18,6760542000
2014-11-19,6870096000
2014-11-20,6979650000
2014-11-21,7029126000
2014-11-24,7011456000
2014-11-25,7117476000
2014-11-26,7064465999
2014-11-28,7152815999
2014-12-01,7149282000
2014-12-02,7099806000
2014-12-03,7068000000
2014-12-04,7050330000
2014-12-05,7138680000
2014-12-08,7053864000
2014-12-09,7064465999
2014-12-10,7039728000
2014-12-11,7092738000
2014-12-12,6983184000
2014-12-15,6877164000
2014-12-16,6753474000
2014-12-17,6940776000
2014-12-18,7082136000
2014-12-19,7085670000
2014-12-22,7089204000
2014-12-23,7163418000
2014-12-24,7304778000
2014-12-26,7378992000
2014-12-29,7378992000
2014-12-30,7364856000
2014-12-31,7121502000
2015-01-02,7042221000
2015-01-05,7021539000
2015-01-06,6969834000
2015-01-07,6993963000
2015-01-08,7052562000
2015-01-09,6845742000
2015-01-12,6659604000
2015-01-13,6556194000
2015-01-14,6518277000
2015-01-15,6525171000
2015-01-16,6449337000
2015-01-20,6452784000
2015-01-21,6473466000
2015-01-22,6594111000
2015-01-23,6532065000
2015-01-26,6669945000
2015-01-27,6583770000
2015-01-28,6452784000
2015-01-29,6659604000
2015-01-30,6556194000
2015-02-02,6621687000
2015-02-03,6756120000
2015-02-04,6525171000
2015-02-05,7321427999
2015-02-06,7542036000
2015-02-09,7635104999
2015-02-10,7562718000
2015-02-11,7566165000
2015-02-12,7593741000
2015-02-13,7593741000
2015-02-17,7683363000
2015-02-18,7686810000
2015-02-19,7610975999
2015-02-20,7662681000
2015-02-23,7738515000
2015-02-24,7690257000
2015-02-25,7724727000
2015-02-26,7645446000
2015-02-27,7790220000
2015-03-02,7941888000
2015-03-03,7838477999
2015-03-04,7821243000
2015-03-05,7948782000
2015-03-06,7772985000
2015-03-09,7983252000
2015-03-10,7645446000
2015-03-11,7590294000
2015-03-12,7748856000
2015-03-13,7679916000
2015-03-16,7717833000
2015-03-17,7914312000
2015-03-18,8010827999
2015-03-19,7972911000
2015-03-20,8148708000
2015-03-23,8417574000
2015-03-24,8438256000
2015-03-25,8400339000
2015-03-26,8259012000
2015-03-27,8383104000
2015-03-30,8334846000
2015-03-31,8737200000
2015-04-01,8715600000
2015-04-02,8557200000
2015-04-06,8643600000
2015-04-07,8506800000
2015-04-08,8510400000
2015-04-09,8460000000
2015-04-10,8398799999
2015-04-13,8467200000
2015-04-14,8920800000
2015-04-15,8989200000
2015-04-16,9021600000
2015-04-17,9025200000
2015-04-20,9072000000
2015-04-21,9057600000
2015-04-22,8985600000
2015-04-23,9000000000
2015-04-24,8920800000
2015-04-27,8910000000
2015-04-28,8820000000
2015-04-29,8740800000
2015-04-30,8607600000
2015-05-01,8830800000
2015-05-04,8910000000
2015-05-05,8874000000
2015-05-06,8719200000
2015-05-07,8884800000
2015-05-08,8593200000
2015-05-11,8528400000
2015-05-12,8496000000
2015-05-13,8470800000
2015-05-14,8618400000
2015-05-15,8535600000
2015-05-18,8665200000
2015-05-19,8852400000
2015-05-20,8802000000
2015-05-21,8773200000
2015-05-22,8744400000
2015-05-26,8841600000
2015-05-27,8953200000
2015-05-28,9050400000
2015-05-29,8974800000
2015-06-01,9079200000
2015-06-02,9165600000
2015-06-03,9244800000
2015-06-04,9234000000
2015-06-05,9291600000
2015-06-08,9183600000
2015-06-09,9266400000
2015-06-10,9428400000
2015-06-11,9331200000
2015-06-12,9457200000
2015-06-15,9378000000
2015-06-16,11188800000
2015-06-17,11239200000
2015-06-18,11127600000
2015-06-19,11397600000
2015-06-22,11318400000
2015-06-23,11448000000
2015-06-24,11502000000
2015-06-25,11566800000
2015-06-26,11682000000
2015-06-29,11599200000
2015-06-30,11509200000
2015-07-01,11764800000
2015-07-02,11649600000
2015-07-06,11602799999
2015-07-07,11570400000
2015-07-08,11347200000
2015-07-09,10814400000
2015-07-10,10328400000
2015-07-13,10069200000
2015-07-14,10033200000
2015-07-15,10044000000
2015-07-16,9936000000
2015-07-17,9892800000
2015-07-20,9936000000
2015-07-21,9727200000
2015-07-22,9831600000
2015-07-23,9795600000
2015-07-24,9612000000
2015-07-27,9543600000
2015-07-28,9572400000
2015-07-29,9662400000
2015-07-30,9687600000
2015-07-31,9622800000
2015-08-03,9658800000
2015-08-04,9896400000
2015-08-05,10195200000
2015-08-06,10072800000
2015-08-07,10296000000
2015-08-10,10515600000
2015-08-11,10677600000
2015-08-12,10339200000
2015-08-13,10969200000
2015-08-14,10659600000
2015-08-17,10540800000
2015-08-18,10544400000
2015-08-19,10458000000
2015-08-20,10332000000
2015-08-21,10188000000
2015-08-24,9990000000
2015-08-25,9946800000
2015-08-26,10195200000
2015-08-27,10407600000
2015-08-28,10850400000
2015-08-31,10911600000
2015-09-01,10206000000
2015-09-02,10328400000
2015-09-03,10389600000
2015-09-04,10364400000
2015-09-08,10342800000
2015-09-09,10400400000
2015-09-10,10234800000
2015-09-11,10573200000
2015-09-14,10137600000
2015-09-15,10350000000
2015-09-16,10368000000
2015-09-17,10519200000
2015-09-18,10191600000
2015-09-21,10047600000
2015-09-22,9788400000
2015-09-23,9770400000
2015-09-24,9687600000
2015-09-25,9673200000
2015-09-28,9280800000
2015-09-29,9201600000
2015-09-30,9335700000
2015-10-01,9473700000
2015-10-02,9277050000
2015-10-05,9660000000
2015-10-06,9397800000
2015-10-07,9177000000
2015-10-08,9442650000
2015-10-09,9642750000
2015-10-12,9853200000
2015-10-13,9818700000
2015-10-14,9553050000
2015-10-15,9760050000
2015-10-16,9835950000
2015-10-19,9832500000
2015-10-20,9977400000
2015-10-21,9677250000
2015-10-22,9687600000
2015-10-23,9863550000
2015-10-26,9860100000
2015-10-27,9798000000
2015-10-28,9908400000
2015-10-29,9984300000
2015-10-30,9987750000
2015-11-02,10232700000
2015-11-03,10215450000
2015-11-04,10332750000
2015-11-05,9735900000
2015-11-06,9832500000
2015-11-09,9811800000
2015-11-10,10308600000
2015-11-11,10474200000
2015-11-12,10067100000
2015-11-13,9891150000
2015-11-16,9511650000
2015-11-17,9142500000
2015-11-18,9308100000
2015-11-19,9252900000
2015-11-20,9363300000
2015-11-23,9635850000
2015-11-24,9784200000
2015-11-25,9977400000
2015-11-27,9984300000
2015-11-30,9584100000
2015-12-01,9608250000
2015-12-02,9456450000
2015-12-03,9201150000
2015-12-04,9273600000
2015-12-07,9421950000
2015-12-08,9456450000
2015-12-09,9749700000
2015-12-10,9622050000
2015-12-11,9214950000
2015-12-14,9177000000
2015-12-15,9425400000
2015-12-16,9611700000
2015-12-17,9504750000
2015-12-18,9249450000
2015-12-21,9308100000
2015-12-22,9073500000
2015-12-23,9132150000
2015-12-24,9108000000
2015-12-28,8959650000
2015-12-29,8928600000
2015-12-30,8776800000
2015-12-31,8586050000
2016-01-04,8358250000
2016-01-05,8354900000
2016-01-06,8096950000
2016-01-07,7862450000
2016-01-08,7849050000
2016-01-11,7621250000
2016-01-12,7755250000
2016-01-13,7560950000
2016-01-14,7416900000
2016-01-15,7299650000
2016-01-19,7353250000
2016-01-20,7688250000
2016-01-21,7520750000
2016-01-22,7671500000
2016-01-25,7520750000
2016-01-26,7758600000
2016-01-27,7778700000
2016-01-28,7855750000
2016-01-29,8244350000
2016-02-01,8143850000
2016-02-02,8277850000
2016-02-03,8244350000
2016-02-04,9500600000
2016-02-05,9396750000
2016-02-08,8941150000
2016-02-09,9182350000
2016-02-10,9055050000
2016-02-11,8961250000
2016-02-12,8870800000
2016-02-16,9045000000
2016-02-17,9704950000
2016-02-18,9678150000
2016-02-19,9661400000
2016-02-22,9651350000
2016-02-23,9624550000
2016-02-24,9852350000
2016-02-25,9872450000
2016-02-26,9684850000
2016-02-29,9540800000
2016-03-01,9527400000
2016-03-02,9688200000
2016-03-03,9416850000
2016-03-04,9252700000
2016-03-07,9192400000
2016-03-08,9259400000
2016-03-09,9158900000
2016-03-10,9246000000
2016-03-11,9219200000
2016-03-14,9112000000
2016-03-15,9041650000
2016-03-16,9024900000
2016-03-17,9108650000
2016-03-18,9363250000
2016-03-21,9048350000
2016-03-22,8947850000
2016-03-23,8867450000
2016-03-24,8941150000
2016-03-28,9088550000
2016-03-29,9205800000
2016-03-30,9266100000
2016-03-31,9428804000
2016-04-01,9825200000
2016-04-04,9754052000
2016-04-05,9618532000
2016-04-06,9835364000
2016-04-07,9794708000
2016-04-08,9808260000
2016-04-11,9652412000
2016-04-12,9886184000
2016-04-13,10099628000
2016-04-14,10021704000
2016-04-15,10363892000
2016-04-18,10289356000
2016-04-19,10164000000
2016-04-20,10150448000
2016-04-21,10062360000
2016-04-22,9997988000
2016-04-25,10096240000
2016-04-26,10038644000
2016-04-27,10157224000
2016-04-28,10174164000
2016-04-29,10299520000
2016-05-02,10523128000
2016-05-03,9604980000
2016-05-04,9242464000
2016-05-05,9144212000
2016-05-06,9100168000
2016-05-09,9012080000
2016-05-10,9130660000
2016-05-11,8876560000
2016-05-12,8764756000
2016-05-13,8639400000
2016-05-16,8636012000
2016-05-17,8808800000
2016-05-18,8568252000
2016-05-19,8514044000
2016-05-20,8541148000
2016-05-23,8734264000
2016-05-24,8829128000
2016-05-25,8724100000
2016-05-26,8842680000
2016-05-27,8896888000
2016-05-31,8923992000
2016-06-01,9008692000
2016-06-02,9090004000
2016-06-03,8900276000
2016-06-06,9093392000
2016-06-07,8930768000
2016-06-08,8913828000
2016-06-09,9052736000
2016-06-10,9110332000
2016-06-13,8930768000
2016-06-14,8981588000
2016-06-15,8944320000
2016-06-16,8893500000
2016-06-17,8893500000
2016-06-20,8920604000
2016-06-21,8934156000
2016-06-22,8981588000
2016-06-23,9056124000
2016-06-24,8591968000
2016-06-27,8585192000
2016-06-28,8588580000
2016-06-29,8710548000
2016-06-30,8740437000
2016-07-01,8817786000
2016-07-05,8804334000
2016-07-06,8811060000
2016-07-07,8891772000
2016-07-08,9127182000
2016-07-11,9110367000
2016-07-12,9154086000
2016-07-13,9170901000
2016-07-14,9217983000
2016-07-15,9281880000
2016-07-18,9315510000
2016-07-19,9180990000
2016-07-20,9123819000
2016-07-21,8952306000
2016-07-22,8945580000
2016-07-25,8979210000
2016-07-26,9100278000
2016-07-27,8999388000
2016-07-28,8945580000
2016-07-29,9036381000
2016-08-01,9049833000
2016-08-02,9033018000
2016-08-03,9110367000
2016-08-04,9143997000
2016-08-05,9295332000
2016-08-08,9419763000
2016-08-09,9298695000
2016-08-10,9413037000
2016-08-11,9735885000
2016-08-12,9742611000
2016-08-15,10004925000
2016-08-16,9510564000
2016-08-17,9318873000
2016-08-18,9611454000
2016-08-19,9641721000
2016-08-22,9722433000
2016-08-23,9497112000
2016-08-24,9352503000
2016-08-25,9295332000
2016-08-26,9258339000
2016-08-29,9231435000
2016-08-30,9170901000
2016-08-31,9063285000
2016-09-01,8646273000
2016-09-02,8888409000
2016-09-06,8703444000
2016-09-07,8441130000
2016-09-08,8333514000
2016-09-09,8155275000
2016-09-12,8256165000
2016-09-13,8118282000
2016-09-14,8101467000
2016-09-15,8182178999
2016-09-16,8232624000
2016-09-19,8077926000
2016-09-20,8101467000
2016-09-21,8020755000
2016-09-22,7980399000
2016-09-23,7866057000
2016-09-26,7926591000
2016-09-27,7886235000
2016-09-28,8010666000
2016-09-29,7761803999
2016-09-30,17545100000
2016-10-03,17761614000
2016-10-04,17903468000
2016-10-05,18739660000
2016-10-06,18485816000
2016-10-07,17627226000
2016-10-10,17104606000
2016-10-11,17141936000
2016-10-12,17448042000
2016-10-13,17530168000
2016-10-14,17425644000
2016-10-17,17462974000
2016-10-18,17492838000
2016-10-19,17582430000
2016-10-20,17455508000
2016-10-21,17171800000
2016-10-24,16992616000
2016-10-25,17253926000
2016-10-26,17119538000
2016-10-27,16962752000
2016-10-28,17097139999
2016-10-31,17164333999
2016-11-01,16746238000
2016-11-02,16611850000
2016-11-03,16686510000
2016-11-04,16343074000
2016-11-07,16581986000
2016-11-08,16343074000
2016-11-09,14670689999
2016-11-10,13849430000
2016-11-11,13931556000
2016-11-14,13617983999
2016-11-15,13632916000
2016-11-16,13700110000
2016-11-17,13886760000
2016-11-18,13998750000
2016-11-21,14521370000
2016-11-22,14715486000
2016-11-23,14797612000
2016-11-25,14842408000
2016-11-28,14745350000
2016-11-29,14596030000
2016-11-30,13968886000
2016-12-01,13498527999
2016-12-02,13505994000
2016-12-05,13834498000
2016-12-06,14021148000
2016-12-07,14021148000
2016-12-08,14237662000
2016-12-09,14304856000
2016-12-12,13879294000
2016-12-13,14080876000
2016-12-14,13901692000
2016-12-15,13700110000
2016-12-16,13953954000
2016-12-19,14006216000
2016-12-20,13939022000
2016-12-21,14006216000
2016-12-22,13983818000
2016-12-23,13939022000
2016-12-27,14006216000
2016-12-28,13804633999
2016-12-29,13744906000
2016-12-30,13670245999
2017-01-03,13934609084
2017-01-04,14180909084
2017-01-05,14113736356
2017-01-06,14240618174
2017-01-09,14068954538
2017-01-10,14151054538
2017-01-11,13867436356
2017-01-12,13837581811
2017-01-13,13971927265
2017-01-17,14255545447
2017-01-18,14128663629
2017-01-19,13882363629
2017-01-20,14195836356
2017-01-23,14001781811
2017-01-24,14180909084
2017-01-25,14576481811
2017-01-26,14606336356
2017-01-27,14554090902
2017-01-30,14068954538
2017-01-31,14330181811
2017-02-01,14136127265
2017-02-02,14427209083
2017-02-03,14479454538
2017-02-06,14389890902
2017-02-07,14569018174
2017-02-08,14957127265
2017-02-09,13673381811
2017-02-10,13643527266
2017-02-13,13710699993
2017-02-14,14382427265
2017-02-15,14755609083
2017-02-16,13949536356
2017-02-17,14098809084
2017-02-21,14300327265
2017-02-22,14061490902
2017-02-23,14046563629
2017-02-24,13927145447
2017-02-27,13994318175
2017-02-28,14016709084
2017-03-01,14457063629
2017-03-02,13964463629
2017-03-03,13986854538
2017-03-06,14128663629
2017-03-07,14031636356
2017-03-08,13986854538
2017-03-09,13949536356
2017-03-10,14255545447
2017-03-13,14330181811
2017-03-14,14128663629
2017-03-15,14285399993
2017-03-16,14412281811
2017-03-17,14501845447
2017-03-20,14292863629
2017-03-21,13830118175
2017-03-22,13718163629
2017-03-23,13725627266
2017-03-24,13785336356
2017-03-27,13628599993
2017-03-28,13859972720
2017-03-29,13867436356
2017-03-30,13598745447
2017-03-31,13382536415
2017-04-03,13094660563
2017-04-04,12681300364
2017-04-05,12666537500
2017-04-06,12762496118
2017-04-07,12585341747
2017-04-10,12703444661
2017-04-11,12828929007
2017-04-12,12991320513
2017-04-13,13205382044
2017-04-17,13397299279
2017-04-18,13589216514
2017-04-19,13279196365
2017-04-20,13212763476
2017-04-21,12991320513
2017-04-24,13161093452
2017-04-25,13448969304
2017-04-26,13375154983
2017-04-27,13293959230
2017-04-28,13175856316
2017-05-01,13375154983
2017-05-02,13330866390
2017-05-03,13367773551
2017-05-04,13530165057
2017-05-05,13338247822
2017-05-08,13301340662
2017-05-09,13161093452
2017-05-10,14725957059
2017-05-11,14467606935
2017-05-12,14452844071
2017-05-15,14150205354
2017-05-16,13928762391
2017-05-17,13773752317
2017-05-18,13751608020
2017-05-19,13840185206
2017-05-22,13884473798
2017-05-23,14009958144
2017-05-24,13950906687
2017-05-25,13825422342
2017-05-26,14069009601
2017-05-30,13928762391
2017-05-31,13980432416
2017-06-01,14260926836
2017-06-02,14091153897
2017-06-05,14032102441
2017-06-06,14083772465
2017-06-07,13899236663
2017-06-08,13648267971
2017-06-09,13832803774
2017-06-12,14246163972
2017-06-13,14275689700
2017-06-14,14179731083
2017-06-15,14024721009
2017-06-16,14061628169
2017-06-19,14253545404
2017-06-20,14069009601
2017-06-21,14009958144
2017-06-22,14083772465
2017-06-23,14128061058
2017-06-26,14172349651
2017-06-27,13891855231
2017-06-28,13884473798
2017-06-29,13950906687
2017-06-30,14043736000
2017-07-03,14328204000
2017-07-05,14118596000
2017-07-06,14066194000
2017-07-07,14066194000
2017-07-10,13796698000
2017-07-11,13639492000
2017-07-12,13587089999
2017-07-13,13669436000
2017-07-14,13759268000
2017-07-17,13804184000
2017-07-18,13849100000
2017-07-19,13998820000
2017-07-20,14141054000
2017-07-21,14163512000
2017-07-24,14358148000
2017-07-25,14620158000
2017-07-26,14829765999
2017-07-27,15226524000
2017-07-28,15376244000
2017-07-31,15331328000
2017-08-01,15144178000
2017-08-02,15106748000
2017-08-03,14919598000
2017-08-04,14754906000
2017-08-07,15001944000
2017-08-08,14897139999
2017-08-09,14867196000
2017-08-10,14567756000
2017-08-11,14582728000
2017-08-14,14747420000
2017-08-15,14642615999
2017-08-16,14724962000
2017-08-17,14343176000
2017-08-18,14395578000
2017-08-21,14635130000
2017-08-22,13257706000
2017-08-23,12531563999
2017-08-24,12157263999
2017-08-25,12277039999
2017-08-28,12044974000
2017-08-29,12359386000
2017-08-30,12374358000
2017-08-31,12411787999
2017-09-01,12389330000
2017-09-05,12262068000
2017-09-06,12344413999
2017-09-07,12239610000
2017-09-08,12329442000
2017-09-11,12516592000
2017-09-12,12771115999
2017-09-13,12853462000
2017-09-14,12845976000
2017-09-15,12621396000
2017-09-18,12673798000
2017-09-19,12441732000
2017-09-20,12464189999
2017-09-21,11977600000
2017-09-22,12089889999
2017-09-25,12157263999
2017-09-26,12187208000
2017-09-27,12209665999
2017-09-28,12089889999
2017-09-29,12374358000
2017-10-02,12480839999
2017-10-03,12533312000
2017-10-04,12473344000
2017-10-05,12668239999
2017-10-06,12653248000
2017-10-09,12555800000
2017-10-10,12600775999
2017-10-11,12630760000
2017-10-12,12563296000
2017-10-13,12788175999
2017-10-16,12615767999
2017-10-17,11993600000
2017-10-18,11813696000
2017-10-19,11866168000
2017-10-20,11881160000
2017-10-23,11581320000
2017-10-24,11506360000
2017-10-25,11431400000
2017-10-26,11423904000
2017-10-27,11176536000
2017-10-30,11221512000
2017-10-31,11543840000
2017-11-01,11476376000
2017-11-02,10839216000
2017-11-03,10764256000
2017-11-06,10884192000
2017-11-07,10831720000
2017-11-08,11064096000
2017-11-09,12593280000
2017-11-10,12225975999
2017-11-13,12555800000
2017-11-14,12705720000
2017-11-15,12608272000
2017-11-16,12630760000
2017-11-17,12780680000
2017-11-20,12818160000
2017-11-21,12645752000
2017-11-22,12728208000
2017-11-24,12743200000
2017-11-27,12743200000
2017-11-28,12893120000
2017-11-29,12810664000
2017-11-30,12915608000
2017-12-01,12780680000
2017-12-04,13162975999
2017-12-05,13222944000
2017-12-06,13215448000
2017-12-07,13192960000
2017-12-08,13327888000
2017-12-11,13425336000
2017-12-12,13957552000
2017-12-13,14557232000
2017-12-14,14647184000
2017-12-15,14827088000
2017-12-18,14767120000
2017-12-19,14527248000
2017-12-20,14579720000
2017-12-21,14804600000
2017-12-22,14939528000
2017-12-26,15104439999
2017-12-27,14879560000
2017-12-28,15044472000
2017-12-29,14909544000
2018-01-02,14911988000
2018-01-03,14829477000
2018-01-04,15062007999
2018-01-05,15302039999
2018-01-08,15242032000
2018-01-09,15444559000
2018-01-10,15392052000
2018-01-11,15392052000
2018-01-12,15587078000
2018-01-16,15302039999
2018-01-17,15527070000
2018-01-18,15009501000
2018-01-19,15399553000
2018-01-22,15669589000
2018-01-23,15579577000
2018-01-24,15287038000
2018-01-25,15189525000
2018-01-26,15167022000
