,BIO
2000-11-21,367620000
2000-11-22,367620000
2000-11-24,368600320
2000-11-27,366394600
2000-11-28,378648600
2000-11-29,410386484
2000-11-30,404382000
2000-12-01,402911544
2000-12-04,398255000
2000-12-05,390289900
2000-12-06,379874000
2000-12-07,381712100
2000-12-08,389677200
2000-12-11,398132484
2000-12-12,395191500
2000-12-13,387226400
2000-12-14,381712100
2000-12-15,382324800
2000-12-18,379874000
2000-12-19,381099400
2000-12-20,376810500
2000-12-21,377790820
2000-12-22,388451800
2000-12-26,391025140
2000-12-27,387226400
2000-12-28,387226400
2000-12-29,389677200
2001-01-02,393353375
2001-01-03,398255000
2001-01-04,376810500
2001-01-05,374972400
2001-01-08,376687960
2001-01-09,382937500
2001-01-10,376810500
2001-01-11,371908900
2001-01-12,369458100
2001-01-16,398255000
2001-01-17,398255000
2001-01-18,395804199
2001-01-19,407445500
2001-01-22,406220124
2001-01-23,428890000
2001-01-24,452172624
2001-01-25,486483800
2001-01-26,461975800
2001-01-29,438938280
2001-01-30,459525000
2001-01-31,510991800
2001-02-01,505477500
2001-02-02,491385375
2001-02-05,490160000
2001-02-06,484033000
2001-02-07,464426624
2001-02-08,468838015
2001-02-09,474842500
2001-02-12,453520515
2001-02-13,480356800
2001-02-14,495674300
2001-02-15,488812060
2001-02-16,477906000
2001-02-20,459525000
2001-02-21,447271000
2001-02-22,441266515
2001-02-23,435017000
2001-02-26,434404300
2001-02-27,428890000
2001-02-28,429502699
2001-03-01,448496375
2001-03-02,496287000
2001-03-05,481092015
2001-03-06,467490124
2001-03-07,463201199
2001-03-08,465652000
2001-03-09,465039300
2001-03-12,458299624
2001-03-13,457074199
2001-03-14,456461500
2001-03-15,459402484
2001-03-16,441144000
2001-03-19,428890000
2001-03-20,448496375
2001-03-21,430115375
2001-03-22,410509000
2001-03-23,403156624
2001-03-26,408058199
2001-03-27,428890000
2001-03-28,428890000
2001-03-29,432566199
2001-03-30,441144000
2001-04-02,430465000
2001-04-03,430465000
2001-04-04,420625800
2001-04-05,430465000
2001-04-06,427390250
2001-04-09,449528449
2001-04-10,478062105
2001-04-11,459982624
2001-04-12,456292875
2001-04-16,455063000
2001-04-17,453833124
2001-04-18,466009110
2001-04-19,453833124
2001-04-20,455677949
2001-04-23,455677949
2001-04-24,469821800
2001-04-25,493189875
2001-04-26,491960000
2001-04-27,504381965
2001-04-30,504259000
2001-05-01,554684875
2001-05-02,587277250
2001-05-03,578053000
2001-05-04,578667950
2001-05-07,616179875
2001-05-08,590352000
2001-05-09,587277250
2001-05-10,580881770
2001-05-11,584694460
2001-05-14,588507125
2001-05-15,586662300
2001-05-16,590352000
2001-05-17,590352000
2001-05-18,587892200
2001-05-21,579282875
2001-05-22,578053000
2001-05-23,573133375
2001-05-24,571903500
2001-05-25,559727465
2001-05-29,541156000
2001-05-30,520247699
2001-05-31,530086875
2001-06-01,560834375
2001-06-04,573748374
2001-06-05,595271624
2001-06-06,623559300
2001-06-07,600191200
2001-06-08,594041700
2001-06-11,607570624
2001-06-12,575593200
2001-06-13,574363300
2001-06-14,566983875
2001-06-15,570550610
2001-06-18,568213800
2001-06-19,562064300
2001-06-20,574363300
2001-06-21,578053000
2001-06-22,571903500
2001-06-25,574363300
2001-06-26,593426750
2001-06-27,592934790
2001-06-28,600191200
2001-06-29,612490200
2001-07-02,591612924
2001-07-03,592848000
2001-07-05,616438410
2001-07-06,611374500
2001-07-09,610139424
2001-07-10,586672500
2001-07-11,573086424
2001-07-12,581732075
2001-07-13,581979095
2001-07-16,581732075
2001-07-17,586672500
2001-07-18,586672500
2001-07-19,590377800
2001-07-20,594083075
2001-07-23,585437424
2001-07-24,584202300
2001-07-25,591612924
2001-07-26,608904300
2001-07-27,601493700
2001-07-30,601617210
2001-07-31,605075514
2001-08-01,607545665
2001-08-02,601493700
2001-08-03,599023500
2001-08-06,599023500
2001-08-07,595441710
2001-08-08,610756950
2001-08-09,615079800
2001-08-10,641016924
2001-08-13,649662575
2001-08-14,639781800
2001-08-15,642252000
2001-08-16,636076500
2001-08-17,636323520
2001-08-20,636076500
2001-08-21,652750325
2001-08-22,642252000
2001-08-23,648427500
2001-08-24,663248700
2001-08-27,659543424
2001-08-28,660778500
2001-08-29,662013575
2001-08-30,671894424
2001-08-31,688568250
2001-09-04,708947424
2001-09-05,696596424
2001-09-06,670041750
2001-09-07,634841424
2001-09-10,626195700
2001-09-17,602728800
2001-09-18,590377800
2001-09-19,553324800
2001-09-20,531093000
2001-09-21,537145014
2001-09-24,561970500
2001-09-25,557524140
2001-09-26,552089700
2001-09-27,551472174
2001-09-28,580497000
2001-10-01,579622500
2001-10-02,606671525
2001-10-03,643193975
2001-10-04,665007725
2001-10-05,682458750
2001-10-08,666877500
2001-10-09,711128250
2001-10-10,713621250
2001-10-11,714743100
2001-10-12,713621250
2001-10-15,744783750
2001-10-16,731695500
2001-10-17,732318750
2001-10-18,714244500
2001-10-19,716737500
2001-10-22,721723524
2001-10-23,719230500
2001-10-24,722970000
2001-10-25,749271150
2001-10-26,766472874
2001-10-29,779062500
2001-10-30,772954625
2001-10-31,772830000
2001-11-01,777816024
2001-11-02,780308975
2001-11-05,793646525
2001-11-06,788411250
2001-11-07,760365000
2001-11-08,760365000
2001-11-09,760240374
2001-11-12,747900000
2001-11-13,753509250
2001-11-14,742913975
2001-11-15,744409824
2001-11-16,753509250
2001-11-19,766722125
2001-11-20,761611475
2001-11-21,772206750
2001-11-23,779062500
2001-11-26,778439250
2001-11-27,760365000
2001-11-28,760365000
2001-11-29,782178750
2001-11-30,786541475
2001-12-03,767843975
2001-12-04,782178750
2001-12-05,785170374
2001-12-06,800876250
2001-12-07,791527500
2001-12-10,803992500
2001-12-11,803244624
2001-12-12,774076475
2001-12-13,779062500
2001-12-14,775946250
2001-12-17,803992500
2001-12-18,807108750
2001-12-19,810848299
2001-12-20,772830000
2001-12-21,803992500
2001-12-24,803992500
2001-12-26,800876250
2001-12-27,810225000
2001-12-28,788411250
2001-12-31,789034500
2002-01-02,770337000
2002-01-03,729202500
2002-01-04,701280875
2002-01-07,710505000
2002-01-08,719853750
2002-01-09,735435000
2002-01-10,744783750
2002-01-11,747900000
2002-01-14,735435000
2002-01-15,741667500
2002-01-16,746653524
2002-01-17,741044250
2002-01-18,716737500
2002-01-22,707388750
2002-01-23,714867725
2002-01-24,716114250
2002-01-25,701156250
2002-01-28,713621250
2002-01-29,709133850
2002-01-30,719230500
2002-01-31,712748700
2002-02-01,718731900
2002-02-04,713621250
2002-02-05,713621250
2002-02-06,713122650
2002-02-07,760365000
2002-02-08,797760000
2002-02-11,816457500
2002-02-12,820820225
2002-02-13,820197049
2002-02-14,819573750
2002-02-15,810848299
2002-02-19,806485450
2002-02-20,838271250
2002-02-21,824559774
2002-02-22,841387500
2002-02-25,847620000
2002-02-26,819573750
2002-02-27,813964549
2002-02-28,815834200
2002-03-01,818327274
2002-03-04,809601700
2002-03-05,813341250
2002-03-06,835155000
2002-03-07,822690000
2002-03-08,822690000
2002-03-11,818950450
2002-03-12,810723600
2002-03-13,814961675
2002-03-14,837647950
2002-03-15,899972950
2002-03-18,917423975
2002-03-19,924902950
2002-03-20,922410000
2002-03-21,928642500
2002-03-22,927396024
2002-03-25,922410000
2002-03-26,934875000
2002-03-27,932382049
2002-03-28,936121475
2002-04-01,917833860
2002-04-02,936155374
2002-04-03,934398539
2002-04-04,939920125
2002-04-05,976312250
2002-04-08,1010194500
2002-04-09,988861250
2002-04-10,1003920000
2002-04-11,1002665125
2002-04-12,1056625749
2002-04-15,1039057250
2002-04-16,1034037625
2002-04-17,1022743500
2002-04-18,1026508250
2002-04-19,1046837554
2002-04-22,1072939500
2002-04-23,1061645374
2002-04-24,1150743249
2002-04-25,1159527625
2002-04-26,1157017749
2002-04-29,1154508000
2002-04-30,1212233374
2002-05-01,1202194250
2002-05-02,1202947140
2002-05-03,1195919750
2002-05-06,1204704000
2002-05-07,1200939249
2002-05-08,1204704000
2002-05-09,1192405929
2002-05-10,1154508000
2002-05-13,1168060945
2002-05-14,1181864820
2002-05-15,1188390249
2002-05-16,1199684374
2002-05-17,1254900000
2002-05-20,1210978500
2002-05-21,1206209905
2002-05-22,1059135625
2002-05-23,1079715960
2002-05-24,1073190429
2002-05-28,1084233625
2002-05-29,1095527750
2002-05-30,1104312000
2002-05-31,1110837429
2002-06-03,1072939500
2002-06-04,1066414070
2002-06-05,1042821874
2002-06-06,1007935679
2002-06-07,1115606125
2002-06-10,1094272749
2002-06-11,1075951234
2002-06-12,1153253125
2002-06-13,1169817805
2002-06-14,1219762749
2002-06-17,1248625500
2002-06-18,1228045140
2002-06-19,1267699929
2002-06-20,1179606000
2002-06-21,1190900125
2002-06-24,1210978500
2002-06-25,1180860874
2002-06-26,1148233500
2002-06-27,1190649094
2002-06-28,1142209929
2002-07-01,1086912025
2002-07-02,1052694400
2002-07-03,1016715599
2002-07-05,1054204050
2002-07-08,1006651549
2002-07-09,993820000
2002-07-10,981491549
2002-07-11,997594050
2002-07-12,980736799
2002-07-15,986020374
2002-07-16,1029044050
2002-07-17,1006651549
2002-07-18,966144050
2002-07-19,949790000
2002-07-22,942242025
2002-07-23,905760000
2002-07-24,948783574
2002-07-25,981240000
2002-07-26,1000110000
2002-07-29,1060494050
2002-07-30,1031560000
2002-07-31,1036340374
2002-08-01,1031560000
2002-08-02,993820000
2002-08-05,995077974
2002-08-06,1019231549
2002-08-07,1006400000
2002-08-08,1050430000
2002-08-09,1046152850
2002-08-12,1035585599
2002-08-13,997594050
2002-08-14,1012690000
2002-08-15,1043888450
2002-08-16,1024012025
2002-08-19,1026527974
2002-08-20,1029547149
2002-08-21,1045397974
2002-08-22,1113330000
2002-08-23,1100750000
2002-08-26,1090685949
2002-08-27,1114587974
2002-08-28,1039107974
2002-08-29,1087163574
2002-08-30,1055462025
2002-09-03,993820000
2002-09-04,1094460000
2002-09-05,1078105949
2002-09-06,1113330000
2002-09-09,1155850374
2002-09-10,1127167974
2002-09-11,1100750000
2002-09-12,1077099625
2002-09-13,1059235949
2002-09-16,1050430000
2002-09-17,1034075949
2002-09-18,1012690000
2002-09-19,970924400
2002-09-20,1008412850
2002-09-23,984762374
2002-09-24,962621549
2002-09-25,931171549
2002-09-26,1003884050
2002-09-27,966144050
2002-09-30,952195439
2002-10-01,1011360000
2002-10-02,1017681000
2002-10-03,1005039000
2002-10-04,962309065
2002-10-07,939300650
2002-10-08,960792000
2002-10-09,982283349
2002-10-10,983041945
2002-10-11,975962349
2002-10-14,1012624174
2002-10-15,1073305825
2002-10-16,1045999054
2002-10-17,1041700825
2002-10-18,1053078650
2002-10-21,1046757650
2002-10-22,1024002000
2002-10-23,1021473650
2002-10-24,1051814349
2002-10-25,1082155174
2002-10-28,1061422319
2002-10-29,1049286000
2002-10-30,1049286000
2002-10-31,1077351265
2002-11-01,1117552825
2002-11-04,1110220440
2002-11-05,1093785789
2002-11-06,1093533000
2002-11-07,1160535650
2002-11-08,1122609650
2002-11-11,1082155174
2002-11-12,1087212000
2002-11-13,1086706320
2002-11-14,1077098349
2002-11-15,1112748789
2002-11-18,1098842614
2002-11-19,1102382349
2002-11-20,1128930650
2002-11-21,1083419349
2002-11-22,1065467734
2002-11-25,1036896789
2002-11-26,1035379825
2002-11-27,1038666770
2002-11-29,998718000
2002-12-02,990374229
2002-12-03,987340174
2002-12-04,1013888349
2002-12-05,1006303174
2002-12-06,1007567349
2002-12-09,1025266174
2002-12-10,1056618385
2002-12-11,1069513174
2002-12-12,1104910825
2002-12-13,1068249000
2002-12-16,1070777349
2002-12-17,1010854319
2002-12-18,1009084439
2002-12-19,1011865680
2002-12-20,1024002000
2002-12-23,1018945174
2002-12-24,1017681000
2002-12-26,1024002000
2002-12-27,1018186680
2002-12-30,1010095825
2002-12-31,978490825
2003-01-02,966101614
2003-01-03,960539210
2003-01-06,974698174
2003-01-07,981524880
2003-01-08,970905650
2003-01-09,983547650
2003-01-10,944610265
2003-01-13,935508000
2003-01-14,937530770
2003-01-15,925394349
2003-01-16,939300650
2003-01-17,928681319
2003-01-21,915280825
2003-01-22,897329210
2003-01-23,895053650
2003-01-24,889743934
2003-01-27,876849120
2003-01-28,894295054
2003-01-29,889743934
2003-01-30,881147349
2003-01-31,895053650
2003-02-03,901374650
2003-02-04,891261000
2003-02-05,897582000
2003-02-06,879124680
2003-02-07,848278174
2003-02-10,851565120
2003-02-11,862184349
2003-02-12,847014000
2003-02-13,844485650
2003-02-14,910224000
2003-02-18,957505054
2003-02-19,950678349
2003-02-20,960792000
2003-02-21,964331734
2003-02-24,899099065
2003-02-25,902638825
2003-02-26,902638825
2003-02-27,912752349
2003-02-28,908959825
2003-03-03,897582000
2003-03-04,892778065
2003-03-05,901374650
2003-03-06,895053650
2003-03-07,898846174
2003-03-10,901374650
2003-03-11,896317825
2003-03-12,877354825
2003-03-13,894547945
2003-03-14,891261000
2003-03-17,890755319
2003-03-18,876596229
2003-03-19,869516734
2003-03-20,859656000
2003-03-21,931209770
2003-03-24,900110349
2003-03-25,920590439
2003-03-26,900363265
2003-03-27,898087680
2003-03-28,917556385
2003-03-31,907549500
2003-04-01,927858274
2003-04-02,934204774
2003-04-03,944359225
2003-04-04,922781049
2003-04-07,921511774
2003-04-08,923796514
2003-04-09,925319725
2003-04-10,926589000
2003-04-11,921004054
2003-04-14,932935500
2003-04-15,921511774
2003-04-16,913896000
2003-04-17,922781049
2003-04-21,917450014
2003-04-22,946136220
2003-04-23,969745225
2003-04-24,972283774
2003-04-25,984976774
2003-04-28,978630274
2003-04-29,987515450
2003-04-30,1186795500
2003-05-01,1208373549
2003-05-02,1241375450
2003-05-05,1246198740
2003-05-06,1225636054
2003-05-07,1209642950
2003-05-08,1196949950
2003-05-09,1214720049
2003-05-12,1228682450
2003-05-13,1218528000
2003-05-14,1227920794
2003-05-15,1240106049
2003-05-16,1269300000
2003-05-19,1240106049
2003-05-20,1394960725
2003-05-21,1439386225
2003-05-22,1491427500
2003-05-23,1477211314
2003-05-27,1467818520
2003-05-28,1505643685
2003-05-29,1478734500
2003-05-30,1497774000
2003-06-02,1478734500
2003-06-03,1485081000
2003-06-04,1499804930
2003-06-05,1559461980
2003-06-06,1575201274
2003-06-09,1483811725
2003-06-10,1505389774
2003-06-11,1496504725
2003-06-12,1501581950
2003-06-13,1502851225
2003-06-16,1520621450
2003-06-17,1521890725
2003-06-18,1515544225
2003-06-19,1454871685
2003-06-20,1433039725
2003-06-23,1401307225
2003-06-24,1396230000
2003-06-25,1396230000
2003-06-26,1442178685
2003-06-27,1425423950
2003-06-30,1409653749
2003-07-01,1440215374
2003-07-02,1492424749
2003-07-03,1507705625
2003-07-07,1532918894
2003-07-08,1531900250
2003-07-09,1526551894
2003-07-10,1502357370
2003-07-11,1472050374
2003-07-14,1482237625
2003-07-15,1490132629
2003-07-16,1468739509
2003-07-17,1446582374
2003-07-18,1553548000
2003-07-21,1569083505
2003-07-22,1557368250
2003-07-23,1556094749
2003-07-24,1553548000
2003-07-25,1581562749
2003-07-28,1414747374
2003-07-29,1409908505
2003-07-30,1430028250
2003-07-31,1426208000
2003-08-01,1413983360
2003-08-04,1400230640
2003-08-05,1355661640
2003-08-06,1325609374
2003-08-07,1362538000
2003-08-08,1351077374
2003-08-11,1326882749
2003-08-12,1327646865
2003-08-13,1316695625
2003-08-14,1312366014
2003-08-15,1314912865
2003-08-18,1324336000
2003-08-19,1323062625
2003-08-20,1316186240
2003-08-21,1315422250
2003-08-22,1306508374
2003-08-25,1288680749
2003-08-26,1298358640
2003-08-27,1297594625
2003-08-28,1307781749
2003-08-29,1302688250
2003-09-02,1315422250
2003-09-03,1338598105
2003-09-04,1373489240
2003-09-05,1324336000
2003-09-08,1348530625
2003-09-09,1337070000
2003-09-10,1320006440
2003-09-11,1306508400
2003-09-12,1311602000
2003-09-15,1303197560
2003-09-16,1305489680
2003-09-17,1311602000
2003-09-18,1308291160
2003-09-19,1299377360
2003-09-22,1299122680
2003-09-23,1300141400
2003-09-24,1316695600
2003-09-25,1299122680
2003-09-26,1298868000
2003-09-29,1299377360
2003-09-30,1306824000
2003-10-01,1306824000
2003-10-02,1323735840
2003-10-03,1336291600
2003-10-06,1317073600
2003-10-07,1335010400
2003-10-08,1345003760
2003-10-09,1353715920
2003-10-10,1373446400
2003-10-13,1363965520
2003-10-14,1368321600
2003-10-15,1354228400
2003-10-16,1343210080
2003-10-17,1334497920
2003-10-20,1319636000
2003-10-21,1331166800
2003-10-22,1311692560
2003-10-23,1309386400
2003-10-24,1307080240
2003-10-27,1320917200
2003-10-28,1320917200
2003-10-29,1325785760
2003-10-30,1333729200
2003-10-31,1338854000
2003-11-03,1356790800
2003-11-04,1361915600
2003-11-05,1370371520
2003-11-06,1394458080
2003-11-07,1340903920
2003-11-10,1304261600
2003-11-11,1314511200
2003-11-12,1310667600
2003-11-13,1356790800
2003-11-14,1334497920
2003-11-17,1319636000
2003-11-18,1306824000
2003-11-19,1311692560
2003-11-20,1310155120
2003-11-21,1313998720
2003-11-24,1313230000
2003-11-25,1307080240
2003-11-26,1313998720
2003-11-28,1313230000
2003-12-01,1328604400
2003-12-02,1320917200
2003-12-03,1306824000
2003-12-04,1306824000
2003-12-05,1307080240
2003-12-08,1307848960
2003-12-09,1306824000
2003-12-10,1306824000
2003-12-11,1308873920
2003-12-12,1307592720
2003-12-15,1310155120
2003-12-16,1304774080
2003-12-17,1258138400
2003-12-18,1263775680
2003-12-19,1267619280
2003-12-22,1271719120
2003-12-23,1275562720
2003-12-24,1532827680
2003-12-26,1592531600
2003-12-29,1531802720
2003-12-30,1498747760
2003-12-31,1477736080
2004-01-02,1496697840
2004-01-05,1492598000
2004-01-06,1488754400
2004-01-07,1506434960
2004-01-08,1497722800
2004-01-09,1505666240
2004-01-12,1479786000
2004-01-13,1488754400
2004-01-14,1460568000
2004-01-15,1450318400
2004-01-16,1433662800
2004-01-20,1399582880
2004-01-21,1409320000
2004-01-22,1399070400
2004-01-23,1404195200
2004-01-26,1413163600
2004-01-27,1433406560
2004-01-28,1396508000
2004-01-29,1386258400
2004-01-30,1384977200
2004-02-02,1384977200
2004-02-03,1381133600
2004-02-04,1377290000
2004-02-05,1379083680
2004-02-06,1373958880
2004-02-09,1401632800
2004-02-10,1408038800
2004-02-11,1413163600
2004-02-12,1410601200
2004-02-13,1371652720
2004-02-17,1345260000
2004-02-18,1346541200
2004-02-19,1354228400
2004-02-20,1334241680
2004-02-23,1341416400
2004-02-24,1327579440
2004-02-25,1341416400
2004-02-26,1339110240
2004-02-27,1335010400
2004-03-01,1360634400
2004-03-02,1384464720
2004-03-03,1414957280
2004-03-04,1478761040
2004-03-05,1484654560
2004-03-08,1487473200
2004-03-09,1478504800
2004-03-10,1466461520
2004-03-11,1450574640
2004-03-12,1461849200
2004-03-15,1460824240
2004-03-16,1447756000
2004-03-17,1438787600
2004-03-18,1461849200
2004-03-19,1485167040
2004-03-22,1441862480
2004-03-23,1435200240
2004-03-24,1428538000
2004-03-25,1423413200
2004-03-26,1412138640
2004-03-29,1423156960
2004-03-30,1441350000
2004-03-31,1448652630
2004-04-01,1444540790
2004-04-02,1463558050
2004-04-05,1490028020
2004-04-06,1498508690
2004-04-07,1496195780
2004-04-08,1510330230
2004-04-12,1513414110
2004-04-13,1492083940
2004-04-14,1492597920
2004-04-15,1500564610
2004-04-16,1493111900
2004-04-19,1541940000
2004-04-20,1526777590
2004-04-21,1545794850
2004-04-22,1567895990
2004-04-23,1590768100
2004-04-26,1532174380
2004-04-27,1534230300
2004-04-28,1516241000
2004-04-29,1511101200
2004-04-30,1505961400
2004-05-03,1504162470
2004-05-04,1497994710
2004-05-05,1490285010
2004-05-06,1490798990
2004-05-07,1473837650
2004-05-10,1446082730
2004-05-11,1445825740
2004-05-12,1465099990
2004-05-13,1458418250
2004-05-14,1468183870
2004-05-17,1450708550
2004-05-18,1447110690
2004-05-19,1439400990
2004-05-20,1446082730
2004-05-21,1442998850
2004-05-24,1448138650
2004-05-25,1447110690
2004-05-26,1449423600
2004-05-27,1447110690
2004-05-28,1442227880
2004-06-01,1457647280
2004-06-02,1495681800
2004-06-03,1498251700
2004-06-04,1520609830
2004-06-07,1525492640
2004-06-08,1524978660
2004-06-09,1522408760
2004-06-10,1500307620
2004-06-14,1489771030
2004-06-15,1489771030
2004-06-16,1489257050
2004-06-17,1487201130
2004-06-18,1487972100
2004-06-21,1472295710
2004-06-22,1471267750
2004-06-23,1459703200
2004-06-24,1432719250
2004-06-25,1417299850
2004-06-28,1452507480
2004-06-29,1458418250
2004-06-30,1515821580
2004-07-01,1497536950
2004-07-02,1506550500
2004-07-06,1496764360
2004-07-07,1493674000
2004-07-08,1483372800
2004-07-09,1477449610
2004-07-12,1460195100
2004-07-13,1477964670
2004-07-14,1455302030
2004-07-15,1457619800
2004-07-16,1449636370
2004-07-19,1438047520
2004-07-20,1458907450
2004-07-21,1406371330
2004-07-22,1398387900
2004-07-23,1364909000
2004-07-26,1345594250
2004-07-27,1345079190
2004-07-28,1321128900
2004-07-29,1346109310
2004-07-30,1349457200
2004-08-02,1370059600
2004-08-03,1358470750
2004-08-04,1371089720
2004-08-05,1320613840
2004-08-06,1313403000
2004-08-09,1287907530
2004-08-10,1324219260
2004-08-11,1312115350
2004-08-12,1300526500
2004-08-13,1313918060
2004-08-16,1327309620
2004-08-17,1321386430
2004-08-18,1338640940
2004-08-19,1319841250
2004-08-20,1325249380
2004-08-23,1327309620
2004-08-24,1322674080
2004-08-25,1329884920
2004-08-26,1318296070
2004-08-27,1336323170
2004-08-30,1303359330
2004-08-31,1296406020
2004-09-01,1303616860
2004-09-02,1335550580
2004-09-03,1324734320
2004-09-07,1334005400
2004-09-08,1329369860
2004-09-09,1341731300
2004-09-10,1338125880
2004-09-13,1351517440
2004-09-14,1352032500
2004-09-15,1344564130
2004-09-16,1354865330
2004-09-17,1339413530
2004-09-20,1339671060
2004-09-21,1345851780
2004-09-22,1314690650
2004-09-23,1317265950
2004-09-24,1322416550
2004-09-27,1304904510
2004-09-28,1305677100
2004-09-29,1334262930
2004-09-30,1323949900
2004-10-01,1372658820
2004-10-04,1393904200
2004-10-05,1362813400
2004-10-06,1384836050
2004-10-07,1383022420
2004-10-08,1354263430
2004-10-11,1365145210
2004-10-12,1365922480
2004-10-13,1353745250
2004-10-14,1344677100
2004-10-15,1347008910
2004-10-18,1344158920
2004-10-19,1330427150
2004-10-20,1333536230
2004-10-21,1318768100
2004-10-22,1297004540
2004-10-25,1305813600
2004-10-26,1323949900
2004-10-27,1362813400
2004-10-28,1350117990
2004-10-29,1347786180
2004-11-01,1365404300
2004-11-02,1373954270
2004-11-03,1386131500
2004-11-04,1389758760
2004-11-05,1355817970
2004-11-08,1360222500
2004-11-09,1356336150
2004-11-10,1362554310
2004-11-11,1360222500
