,PRU
2003-12-31,22123809104
2004-01-02,22208554363
2004-01-05,22245630414
2004-01-06,22155588576
2004-01-07,22044360424
2004-01-08,22378044880
2004-01-09,22219147520
2004-01-12,22383341459
2004-01-13,22335672251
2004-01-14,22875923275
2004-01-15,22838847225
2004-01-16,22976558270
2004-01-20,22981854849
2004-01-21,23553885345
2004-01-22,23506216137
2004-01-23,23119565894
2004-01-26,23140752209
2004-01-27,22860033539
2004-01-28,22987151427
2004-01-29,23029524057
2004-01-30,23040117214
2004-02-02,23214904310
2004-02-03,23543292188
2004-02-04,23511512716
2004-02-05,23792231385
2004-02-06,24125915841
2004-02-09,23765748492
2004-02-10,23834604015
2004-02-11,24735022388
2004-02-12,24581421607
2004-02-13,24422524247
2004-02-17,24899216327
2004-02-18,24893919749
2004-02-19,24639683972
2004-02-20,24486083191
2004-02-23,24300702937
2004-02-24,24263626887
2004-02-25,24358965303
2004-02-26,24321889252
2004-02-27,24570828450
2004-03-01,24697946338
2004-03-02,24872733434
2004-03-03,25217011047
2004-03-04,25481839981
2004-03-05,25116376053
2004-03-08,24846250540
2004-03-09,24586718186
2004-03-10,24215957679
2004-03-11,23707486126
2004-03-12,24210661100
2004-03-15,23559181924
2004-03-16,23638630604
2004-03-17,24311296095
2004-03-18,24893919749
2004-03-19,24231847415
2004-03-22,23940535588
2004-03-23,23733969020
2004-03-24,23379098249
2004-03-25,23310242726
2004-03-26,23315539305
2004-03-29,23590961396
2004-03-30,23681003233
2004-03-31,23351874400
2004-04-01,23664762400
2004-04-02,23862924800
2004-04-05,24050657600
2004-04-06,24165383200
2004-04-07,23988080000
2004-04-08,23930717200
2004-04-12,24102805600
2004-04-13,23482244400
2004-04-14,23252793200
2004-04-15,23038986400
2004-04-16,23075490000
2004-04-19,22965979200
2004-04-20,22402780800
2004-04-21,22434069600
2004-04-22,23336230000
2004-04-23,23268437600
2004-04-26,23226719200
2004-04-27,23205860000
2004-04-28,22971194000
2004-04-29,22819964800
2004-04-30,22913831200
2004-05-03,22705239200
2004-05-04,23211074800
2004-05-05,22804320400
2004-05-06,22423640000
2004-05-07,21777004800
2004-05-10,21406754000
2004-05-11,21756145600
2004-05-12,22215048000
2004-05-13,22423640000
2004-05-14,22423640000
2004-05-17,21996026400
2004-05-18,22215048000
2004-05-19,22173329600
2004-05-20,22246336800
2004-05-21,22100322400
2004-05-24,22058604000
2004-05-25,22324558800
2004-05-26,22710454000
2004-05-27,23111993600
2004-05-28,23101564000
2004-06-01,22992053200
2004-06-02,23122423200
2004-06-03,23148497200
2004-06-04,23289296800
2004-06-07,23492674000
2004-06-08,23795132400
2004-06-09,23534392400
2004-06-10,23576110800
2004-06-14,23310156000
2004-06-15,23310156000
2004-06-16,23518748000
2004-06-17,23763843600
2004-06-18,23675192000
2004-06-21,23649118000
2004-06-22,23852495200
2004-06-23,23977650400
2004-06-24,24035013200
2004-06-25,23810776800
2004-06-28,23701266000
2004-06-29,24102805600
2004-06-30,23880933000
2004-07-01,23844960000
2004-07-02,23716485000
2004-07-06,23433840000
2004-07-07,23166612000
2004-07-08,22853133000
2004-07-09,23027859000
2004-07-12,23588010000
2004-07-13,23454396000
2004-07-14,23485230000
2004-07-15,23310504000
2004-07-16,23618844000
2004-07-19,23778153000
2004-07-20,23844960000
2004-07-21,23639400000
2004-07-22,23588010000
2004-07-23,23325921000
2004-07-26,23464674000
2004-07-27,23603427000
2004-07-28,23490369000
2004-07-29,23798709000
2004-07-30,23927184000
2004-08-02,23690790000
2004-08-03,23516064000
2004-08-04,23824404000
2004-08-05,23469813000
2004-08-06,23166612000
2004-08-09,23079249000
2004-08-10,23166612000
2004-08-11,23074110000
2004-08-12,22894245000
2004-08-13,22765770000
2004-08-16,23053554000
2004-08-17,23099805000
2004-08-18,23392728000
2004-08-19,23367033000
2004-08-20,23618844000
2004-08-23,23289948000
2004-08-24,23408145000
2004-08-25,23536620000
2004-08-26,23752458000
2004-08-27,23701068000
2004-08-30,23608566000
2004-08-31,23731902000
2004-09-01,23649678000
2004-09-02,24168717000
2004-09-03,24281775000
2004-09-07,24718590000
2004-09-08,24348582000
2004-09-09,24461640000
2004-09-10,24646644000
2004-09-13,24497613000
2004-09-14,24456501000
2004-09-15,24559281000
2004-09-16,24698034000
2004-09-17,24667200000
2004-09-20,24435945000
2004-09-21,24538725000
2004-09-22,24209829000
2004-09-23,23968296000
2004-09-24,24297192000
2004-09-27,23983713000
2004-09-28,24071076000
2004-09-29,24050520000
2004-09-30,24340848000
2004-10-01,24708237500
2004-10-04,25029056500
2004-10-05,24941090000
2004-10-06,25008358500
2004-10-07,24666841500
2004-10-08,24325324500
2004-10-11,24304626500
2004-10-12,24190787500
2004-10-13,24123519000
2004-10-14,23652639500
2004-10-15,23104142500
2004-10-18,23238679500
2004-10-19,22183081500
2004-10-20,22695357000
2004-10-21,22690182500
2004-10-22,22933384000
2004-10-25,22845417500
2004-10-26,23647465000
2004-10-27,23776827500
2004-10-28,23988982000
2004-10-29,24045901500
2004-11-01,24144217000
2004-11-02,24232183500
2004-11-03,24837600000
2004-11-04,25769010000
2004-11-05,25567204500
2004-11-08,25706916000
2004-11-09,25391271500
2004-11-10,25701741500
2004-11-11,25758661000
2004-11-12,24837600000
2004-11-15,25479238000
2004-11-16,25049754500
2004-11-17,25329177500
2004-11-18,25070452500
2004-11-19,24594398500
2004-11-22,24884170500
2004-11-23,25422318500
2004-11-24,25520634000
2004-11-26,25551681000
2004-11-29,25334352000
2004-11-30,25329177500
2004-12-01,26276111000
2004-12-02,26389950000
2004-12-03,26721118000
2004-12-06,26565883000
2004-12-07,26405473500
2004-12-08,26457218500
2004-12-09,26462393000
2004-12-10,26850480500
2004-12-13,26974668500
2004-12-14,27481769500
2004-12-15,27849159000
2004-12-16,27662877000
2004-12-17,28004394000
2004-12-20,27766367000
2004-12-21,27942300000
2004-12-22,28423528500
2004-12-23,28232072000
2004-12-27,28294166000
