,MCHP
2002-01-30,5022371950
2002-01-31,5026373840
2002-02-01,4962343600
2002-02-04,4830281230
2002-02-05,4898313360
2002-02-06,4858294460
2002-02-07,4698218860
2002-02-08,4870300130
2002-02-11,4918322810
2002-02-12,4914320920
2002-02-13,5074396520
2002-02-14,5110413530
2002-02-15,4958341710
2002-02-19,4802268000
2002-02-20,4838285010
2002-02-21,4454103570
2002-02-22,4470111130
2002-02-25,4726232090
2002-02-26,4494122470
2002-02-27,4598171610
2002-02-28,4558152710
2002-03-01,4982353050
2002-03-04,5326515590
2002-03-05,5418559060
2002-03-06,5426562840
2002-03-07,5518606310
2002-03-08,5766723490
2002-03-11,5594642220
2002-03-12,5394547720
2002-03-13,5474585520
2002-03-14,5486591190
2002-03-15,5638663010
2002-03-18,5694689470
2002-03-19,5750715930
2002-03-20,5546619540
2002-03-21,5666676240
2002-03-22,5670678130
2002-03-25,5442570400
2002-03-26,5506600640
2002-03-27,5486591190
2002-03-28,5578634660
2002-04-01,5716692800
2002-04-02,5519426640
2002-04-03,5467090720
2002-04-04,5503323280
2002-04-05,5463064880
2002-04-08,5547607520
2002-04-09,5656305200
2002-04-10,5809287120
2002-04-11,5732796160
2002-04-12,5825390480
2002-04-15,5893829760
2002-04-16,6376930560
2002-04-17,6397059760
2002-04-18,6296413760
2002-04-19,6191741920
2002-04-22,6131354320
2002-04-23,6070966720
2002-04-24,5853571360
2002-04-25,5897855600
2002-04-26,5777080400
2002-04-29,5857597200
2002-04-30,5970320720
2002-05-01,6058889200
2002-05-02,5926036480
2002-05-03,5664356880
2002-05-06,5716692800
2002-05-07,5664356880
2002-05-08,6207845280
2002-05-09,5958243200
2002-05-10,5640201840
2002-05-13,6042785840
2002-05-14,6513809120
2002-05-15,6574196719
2002-05-16,6541990000
2002-05-17,6634584320
2002-05-20,6658739360
2002-05-21,6352775520
2002-05-22,6409137280
2002-05-23,6368878880
2002-05-24,6199793600
2002-05-28,6135380160
2002-05-29,6014604960
2002-05-30,6054863360
2002-05-31,6018630800
2002-06-03,5744873680
2002-06-04,5950191520
2002-06-05,5986424080
2002-06-06,5809287120
2002-06-07,5986424080
2002-06-10,5901881440
2002-06-11,5551633360
2002-06-12,5752925360
2002-06-13,5938114000
2002-06-14,5889803920
2002-06-17,6079018400
2002-06-18,6083044240
2002-06-19,5930062320
2002-06-20,5704615280
2002-06-21,5350341360
2002-06-24,5616046800
2002-06-25,5338263840
2002-06-26,5471116560
2002-06-27,5527478320
2002-06-28,5523452480
2002-07-01,5196648840
2002-07-02,4958233380
2002-07-03,5140075680
2002-07-05,5564374380
2002-07-08,5443146180
2002-07-09,5164321320
2002-07-10,4727899800
2002-07-11,5047134060
2002-07-12,4913783040
2002-07-15,5055215940
2002-07-16,5249181060
2002-07-17,5358286440
2002-07-18,5160280380
2002-07-19,5087543460
2002-07-22,4841046120
2002-07-23,4562221260
2002-07-24,4816800480
2002-07-25,4323805800
2002-07-26,4303601100
2002-07-29,4570303140
2002-07-30,4489484340
2002-07-31,4449074940
2002-08-01,4242987000
2002-08-02,4247027940
2002-08-05,3931834620
2002-08-06,4069226580
2002-08-07,4081349400
2002-08-08,4146004440
2002-08-09,4158127259
2002-08-12,4117717860
2002-08-13,3867179580
2002-08-14,4101554100
2002-08-15,4238946060
2002-08-16,4610712540
2002-08-19,4679408520
2002-08-20,4550098440
2002-08-21,4889537400
2002-08-22,4723858860
2002-08-23,4489484340
2002-08-26,4618794420
2002-08-27,4376338020
2002-08-28,4198536660
2002-08-29,4255109819
2002-08-30,4255109819
2002-09-03,3984366840
2002-09-04,4036899060
2002-09-05,3749992319
2002-09-06,3968203080
2002-09-09,3830811120
2002-09-10,3976284960
2002-09-11,4036899060
2002-09-12,3766156080
2002-09-13,3426717120
2002-09-16,3103441920
2002-09-17,3434799000
2002-09-18,3519658740
2002-09-19,3503494980
2002-09-20,3572190960
2002-09-23,3390348660
2002-09-24,3455003700
2002-09-25,3939916500
2002-09-26,3996489660
2002-09-27,4226823240
2002-09-30,4155610140
2002-10-01,4301848620
2002-10-02,4346532600
2002-10-03,4285599900
2002-10-04,4033744740
2002-10-07,3948438960
2002-10-08,4005309480
2002-10-09,4058117820
2002-10-10,4399340940
2002-10-11,4708066620
2002-10-14,4838056380
2002-10-15,5211776940
2002-10-16,4639009560
2002-10-17,5069600640
2002-10-18,5016792300
2002-10-21,5370201960
2002-10-22,4955859600
2002-10-23,5211776940
2002-10-24,4606512120
2002-10-25,4882740360
2002-10-28,4748688420
2002-10-29,4602449940
2002-10-30,5089911540
2002-10-31,4955859600
2002-11-01,5276771820
2002-11-04,5362077600
2002-11-05,5439259020
2002-11-06,5532689160
2002-11-07,5232087840
2002-11-08,5386450680
2002-11-11,4976170500
2002-11-12,5081787180
2002-11-13,5057414100
2002-11-14,5256460920
2002-11-15,5301144900
2002-11-18,5341766700
2002-11-19,5232087840
2002-11-20,5630181480
2002-11-21,5930782800
2002-11-22,5760171240
2002-11-25,5817041760
2002-11-26,5577373140
2002-11-27,5886098820
2002-11-29,5841414840
2002-12-02,5951093700
2002-12-03,5727673800
2002-12-04,5276771820
2002-12-05,5126471160
2002-12-06,5219901300
2002-12-09,4890864720
2002-12-10,5187403860
2002-12-11,5317393620
2002-12-12,5228025660
2002-12-13,5028978840
2002-12-16,5345828880
2002-12-17,5386450680
2002-12-18,5171155140
2002-12-19,5219901300
2002-12-20,5244274380
2002-12-23,5374264140
2002-12-24,5309269260
2002-12-26,5305207080
2002-12-27,5183341680
2002-12-30,5077725000
2002-12-31,4977022960
2003-01-02,5139803760
2003-01-03,5221194160
2003-01-06,5599659520
2003-01-07,5481643440
2003-01-08,5302584560
2003-01-09,5449087280
2003-01-10,5440948240
2003-01-13,5090969520
2003-01-14,4915980160
2003-01-15,4675878480
2003-01-16,4684017520
2003-01-17,4472402480
2003-01-21,4407290160
2003-01-22,4439846320
2003-01-23,4598557600
2003-01-24,4431707280
2003-01-27,4529375760
2003-01-28,4639252800
2003-01-29,4639252800
2003-01-30,4403220640
2003-01-31,4496819600
2003-02-03,4594488080
2003-02-04,4643322320
2003-02-05,4639252800
2003-02-06,4667739440
2003-02-07,4720643200
2003-02-10,4846798320
2003-02-11,4883424000
2003-02-12,4777616480
2003-02-13,4765407920
2003-02-14,4915980160
2003-02-18,5127595200
2003-02-19,5066552400
2003-02-20,5152012320
2003-02-21,5062482880
2003-02-24,5066552400
2003-02-25,5021787680
2003-02-26,4854937360
2003-02-27,5050274320
2003-02-28,5180498960
2003-03-03,4936327760
2003-03-04,4761338400
2003-03-05,4871215440
2003-03-06,4777616480
2003-03-07,4570070960
2003-03-10,4488680560
2003-03-11,4476472000
2003-03-12,4496819600
2003-03-13,4826450720
2003-03-14,4419498720
2003-03-17,4692156560
2003-03-18,4830520240
2003-03-19,4374734000
2003-03-20,4415429200
2003-03-21,4533445280
2003-03-24,4415429200
2003-03-25,4578210000
2003-03-26,4651461360
2003-03-27,4309621680
2003-03-28,4338108320
2003-03-31,4057669699
2003-04-01,4126996719
2003-04-02,4347211960
2003-04-03,4436929280
2003-04-04,4233026280
2003-04-07,4188167620
2003-04-08,3804829980
2003-04-09,3768127440
2003-04-10,3800751920
2003-04-11,3698800420
2003-04-14,3800751920
2003-04-15,3698800420
2003-04-16,3776283560
2003-04-17,3976108500
2003-04-21,4053591640
2003-04-22,4029123280
2003-04-23,4037279400
2003-04-24,4371680320
2003-04-25,4098450300
2003-04-28,4167777320
2003-04-29,4310509420
2003-04-30,4241182400
2003-05-01,4257494640
2003-05-02,4477709880
2003-05-05,4489944060
2003-05-06,4555193020
2003-05-07,4306431360
2003-05-08,4257494640
2003-05-09,4196323739
2003-05-12,4171855380
2003-05-13,4057669699
2003-05-14,4114762540
2003-05-15,4114762540
2003-05-16,4061747760
2003-05-19,3984264620
2003-05-20,3988342679
2003-05-21,3919015660
2003-05-22,3972030440
2003-05-23,4098450300
2003-05-27,4355368080
2003-05-28,4375758380
2003-05-29,4555193020
2003-05-30,4714237360
2003-06-02,4530724660
2003-06-03,4616363920
2003-06-04,4783564380
2003-06-05,4697925120
2003-06-06,4657144520
2003-06-09,4551114960
2003-06-10,4551114960
2003-06-11,4734627660
2003-06-12,4689769000
2003-06-13,4510334360
2003-06-16,4555193020
2003-06-17,4498100180
2003-06-18,4591895560
2003-06-19,4775408260
2003-06-20,4816188860
2003-06-23,4824344980
2003-06-24,4763174080
2003-06-25,4861047520
2003-06-26,5044560220
2003-06-27,5069028580
2003-06-30,5078003640
2003-07-01,5143632120
2003-07-02,5258481960
2003-07-03,5283092640
2003-07-07,5488181640
2003-07-08,5512792320
2003-07-09,5508690540
2003-07-10,5402044260
2003-07-11,5418451380
2003-07-14,5570217240
2003-07-15,5406146040
2003-07-16,5414349600
2003-07-17,5082105420
2003-07-18,5016476940
2003-07-21,5000069820
2003-07-22,5143632120
2003-07-23,5069800080
2003-07-24,4959052020
2003-07-25,5123123220
2003-07-28,5114919660
2003-07-29,5172344580
2003-07-30,5110817880
2003-07-31,5418451380
2003-08-01,5377433580
2003-08-04,5385637140
2003-08-05,5221565940
2003-08-06,5192853480
2003-08-07,5119021440
2003-08-08,4852405740
2003-08-11,4987764480
2003-08-12,5049291180
2003-08-13,5127225000
2003-08-14,5176446360
2003-08-15,5217464160
2003-08-18,5512792320
2003-08-19,5434858500
2003-08-20,5410247820
2003-08-21,5644049280
2003-08-22,5590726140
2003-08-25,5525097660
2003-08-26,5500486980
2003-08-27,5627642160
2003-08-28,5672761740
2003-08-29,5746593780
2003-09-02,5783509800
2003-09-03,5529199440
2003-09-04,5611235040
2003-09-05,5545606560
2003-09-08,5775306240
2003-09-09,5726084880
2003-09-10,5402044260
2003-09-11,5443062060
2003-09-12,5516894100
2003-09-15,5496385200
2003-09-16,5763000900
2003-09-17,5570217240
2003-09-18,5557911900
2003-09-19,5541504780
2003-09-22,5328212220
2003-09-23,5385637140
2003-09-24,5176446360
2003-09-25,5086207200
2003-09-26,5020578720
2003-09-29,5086207200
2003-09-30,4963122320
2003-10-01,5087407520
2003-10-02,5141264440
2003-10-03,5315263720
2003-10-06,5323549400
2003-10-07,5456120280
2003-10-08,5389834840
2003-10-09,5414691880
2003-10-10,5563834120
2003-10-13,5667405120
2003-10-14,5733690560
2003-10-15,5592834000
2003-10-16,5630119560
2003-10-17,5596976840
2003-10-20,5601119680
2003-10-21,5853832920
2003-10-22,5712976360
2003-10-23,5708833520
2003-10-24,5675690800
2003-10-27,5841404400
2003-10-28,6570544240
2003-10-29,6761114880
2003-10-30,6703115120
2003-10-31,6794257599
2003-11-03,7001399599
2003-11-04,7009685280
2003-11-05,7055256520
2003-11-06,7208541599
2003-11-07,7129827640
2003-11-10,6843971680
2003-11-11,6827400320
2003-11-12,7216827280
2003-11-13,7063542200
2003-11-14,6765257719
2003-11-17,6761114880
2003-11-18,6616115480
2003-11-19,6794257599
2003-11-20,6727972159
2003-11-21,6719686480
2003-11-24,6959971200
2003-11-25,7113256280
2003-11-26,7096684920
2003-11-28,7142256159
2003-12-01,7266541360
2003-12-02,7461254840
2003-12-03,7386683719
2003-12-04,7146399000
2003-12-05,6719686480
2003-12-08,6674115240
2003-12-09,6384116440
2003-12-10,6574687080
2003-12-11,6640972520
2003-12-12,6765257719
2003-12-15,6591258440
2003-12-16,6466973240
2003-12-17,6404830640
2003-12-18,6752829200
2003-12-19,6814971800
2003-12-22,6765257719
2003-12-23,6781829080
2003-12-24,6475258920
2003-12-26,6690686599
2003-12-29,6943399840
2003-12-30,6939257000
2003-12-31,6895311840
2004-01-02,6949052279
2004-01-05,7060667039
2004-01-06,6932516760
2004-01-07,7031729880
2004-01-08,7164014039
2004-01-09,7097871960
2004-01-12,7164014039
2004-01-13,6787830960
2004-01-14,6866374680
2004-01-15,6907713480
2004-01-16,6998658840
2004-01-20,6858106920
2004-01-21,6577003080
2004-01-22,6614208000
2004-01-23,6300033120
2004-01-26,6138811800
2004-01-27,5923850040
2004-01-28,5915582280
2004-01-29,5919716160
2004-01-30,5932117800
2004-02-02,5853574080
2004-02-03,5973456600
2004-02-04,5857707960
2004-02-05,5994126000
2004-02-06,6233891040
2004-02-09,6130544040
2004-02-10,6221489400
2004-02-11,6287631480
2004-02-12,6283497600
2004-02-13,6266962080
2004-02-17,6328970280
2004-02-18,6320702520
2004-02-19,6217355520
2004-02-20,6109874640
2004-02-23,5841172440
2004-02-24,5948653320
2004-02-25,5919716160
2004-02-26,5981724360
2004-02-27,5948653320
2004-03-01,6233891040
2004-03-02,6027197040
2004-03-03,5816369160
2004-03-04,5899046760
2004-03-05,5923850040
2004-03-08,5605541280
2004-03-09,5634478440
2004-03-10,5584871880
2004-03-11,5502194280
2004-03-12,5700620520
2004-03-15,5489792640
2004-03-16,5365776240
2004-03-17,5357508480
2004-03-18,5560068600
2004-03-19,5452587720
2004-03-22,5332705200
2004-03-23,5229358200
2004-03-24,5407115040
2004-03-25,5555934720
2004-03-26,5477391000
2004-03-29,5522863680
2004-03-30,5464989360
2004-03-31,5460855480
2004-04-01,5593139640
2004-04-02,5762628720
2004-04-05,5911448400
2004-04-06,5812235280
2004-04-07,5779164240
2004-04-08,5713022160
2004-04-12,5684085000
2004-04-13,5551800840
2004-04-14,5584871880
2004-04-15,5580738000
2004-04-16,5539399200
2004-04-19,5708888280
2004-04-20,5543533080
2004-04-21,5737825440
2004-04-22,5857707960
2004-04-23,6746492160
2004-04-26,6461254440
2004-04-27,6291765360
2004-04-28,6093339120
2004-04-29,5973456600
2004-04-30,5795699760
2004-05-03,5762628720
2004-05-04,5985858240
2004-05-05,6262828200
2004-05-06,6291765360
2004-05-07,6341371920
2004-05-10,6238024920
2004-05-11,6279363720
2004-05-12,6147079560
2004-05-13,6039598680
2004-05-14,5927983920
2004-05-17,5882511240
2004-05-18,6027197040
2004-05-19,6233891040
2004-05-20,6126410160
2004-05-21,6238024920
2004-05-24,6192552240
2004-05-25,6366175200
2004-05-26,6444718920
2004-05-27,6572869200
2004-05-28,6543932040
2004-06-01,6548065920
2004-06-02,6225623280
2004-06-03,6068535840
2004-06-04,6167748960
2004-06-07,6378576840
2004-06-08,6407514000
2004-06-09,6213221640
2004-06-10,6337238040
2004-06-14,6134677920
2004-06-15,6283497600
2004-06-16,6250426560
2004-06-17,6064401960
2004-06-18,6122276280
2004-06-21,6097473000
2004-06-22,6328970280
2004-06-23,6395112360
2004-06-24,6304167000
2004-06-25,6345505800
2004-06-28,6419915640
2004-06-29,6481923840
2004-06-30,6503264140
2004-07-01,6313568420
2004-07-02,6185730000
2004-07-06,5905310240
2004-07-07,5979539000
2004-07-08,5777471820
2004-07-09,5835205300
2004-07-12,5422823300
2004-07-13,5455813860
2004-07-14,5303232520
2004-07-15,5422823300
2004-07-16,5294984880
2004-07-19,5521794980
2004-07-20,5719738340
2004-07-21,5414575660
2004-07-22,5822833840
2004-07-23,5629014300
2004-07-26,5525918800
2004-07-27,5674376320
2004-07-28,5645509580
2004-07-29,5946548440
2004-07-30,5975415180
2004-08-02,6020777200
2004-08-03,5826957660
2004-08-04,5822833840
2004-08-05,5777471820
2004-08-06,5521794980
2004-08-09,5616642840
2004-08-10,5567157000
2004-08-11,5402204200
2004-08-12,5323851620
2004-08-13,5439318580
2004-08-16,5550661720
2004-08-17,5645509580
2004-08-18,5740357440
2004-08-19,5674376320
2004-08-20,5765100360
2004-08-23,5765100360
