,GS
2000-05-12,42744708138
2000-05-15,44423472490
2000-05-16,43627462645
2000-05-17,43214149841
2000-05-18,43499896965
2000-05-19,43147815687
2000-05-22,41841543122
2000-05-23,42254855926
2000-05-24,40821017680
2000-05-25,37249178633
2000-05-26,35525934748
2000-05-30,36640414008
2000-05-31,37434289644
2000-06-01,38869372526
2000-06-02,44212766236
2000-06-05,43001596995
2000-06-06,42304411340
2000-06-07,44116076254
2000-06-08,43286577993
2000-06-09,42365478696
2000-06-12,42396012375
2000-06-13,43322200618
2000-06-14,45769983831
2000-06-15,45927741169
2000-06-16,45897207491
2000-06-19,46630015771
2000-06-20,45291622871
2000-06-21,44085542576
2000-06-22,42874373335
2000-06-23,43764938954
2000-06-26,44655504572
2000-06-27,44940485570
2000-06-28,45739450153
2000-06-29,47138910410
2000-06-30,48283923348
2000-07-03,48314457026
2000-07-05,48823351665
2000-07-06,47423891408
2000-07-07,48314457026
2000-07-10,49713917283
2000-07-11,50126121941
2000-07-12,51876719499
2000-07-13,53052266115
2000-07-14,53021732437
2000-07-17,51464514842
2000-07-18,52863975099
2000-07-19,51337291182
2000-07-20,52767285117
2000-07-21,53052266115
2000-07-24,53627317057
2000-07-25,53942831734
2000-07-26,53912298055
2000-07-27,51907253178
2000-07-28,49301712626
2000-07-31,50350035582
2000-08-01,51271134879
2000-08-02,51973409481
2000-08-03,53754540717
2000-08-04,56741752248
2000-08-07,58044522524
2000-08-08,57505094207
2000-08-09,58395659825
2000-08-10,56996199568
2000-08-11,59988500045
2000-08-14,61479561337
2000-08-15,60146257383
2000-08-16,57250646887
2000-08-17,60370171024
2000-08-18,59540672763
2000-08-21,59952877420
2000-08-22,61006289323
2000-08-23,60558462041
2000-08-24,60176791061
2000-08-25,61838840000
2000-08-28,63392840000
2000-08-29,66013920000
2000-08-30,64071420000
2000-08-31,66335080000
2000-09-01,67148340000
2000-09-05,66723580000
2000-09-06,66371340000
2000-09-07,66661420000
2000-09-08,64750000000
2000-09-11,68536580000
2000-09-12,68018580000
2000-09-13,66563000000
2000-09-14,66822000000
2000-09-15,64750000000
2000-09-18,61414080000
2000-09-19,62128920000
2000-09-20,61124000000
2000-09-21,58663500000
2000-09-22,59507840000
2000-09-25,60347000000
2000-09-26,57435840000
2000-09-27,55457080000
2000-09-28,58534000000
2000-09-29,59020920000
2000-10-02,59766840000
2000-10-03,58989840000
2000-10-04,56689920000
2000-10-05,59507840000
2000-10-06,56399840000
2000-10-09,54519500000
2000-10-10,53193420000
2000-10-11,53872000000
2000-10-12,48852580000
2000-10-13,52577000000
2000-10-16,53680340000
2000-10-17,51411500000
2000-10-18,50764000000
2000-10-19,52090080000
2000-10-20,54358920000
2000-10-23,53063920000
2000-10-24,52385340000
2000-10-25,49826420000
2000-10-26,48142920000
2000-10-27,48174000000
2000-10-30,49987000000
2000-10-31,51701580000
2000-11-01,50085420000
2000-11-02,51411500000
2000-11-03,52027920000
2000-11-06,49759080000
2000-11-07,48562500000
2000-11-08,47883920000
2000-11-09,47593840000
2000-11-10,46200420000
2000-11-13,44744840000
2000-11-14,46039840000
2000-11-15,46651080000
2000-11-16,47365920000
2000-11-17,45615080000
2000-11-20,42994000000
2000-11-21,43610420000
2000-11-22,41408920000
2000-11-24,42217000000
2000-11-27,42735000000
2000-11-28,41699000000
2000-11-29,42931840000
2000-11-30,42543340000
2000-12-01,44985199508
2000-12-04,44848049509
2000-12-05,48688249467
2000-12-06,48139649473
2000-12-07,47113767484
2000-12-08,50405367448
2000-12-11,52665599424
2000-12-12,50712583445
2000-12-13,51601315435
2000-12-14,47969583475
2000-12-15,47558133479
2000-12-18,47146683484
2000-12-19,49033867463
2000-12-20,49373999460
2000-12-21,51464165437
2000-12-22,54207165407
2000-12-26,55852965389
2000-12-27,55891367388
2000-12-28,58771517357
2000-12-29,58667283358
2001-01-02,54997149398
2001-01-03,63363299307
2001-01-04,61854649323
2001-01-05,59182967352
2001-01-08,58360067361
2001-01-09,57465849371
2001-01-10,59523099349
2001-01-11,60620299337
2001-01-12,59660249347
2001-01-16,60345999340
2001-01-17,60345999340
2001-01-18,58974499355
2001-01-19,60861683334
2001-01-22,62063117321
2001-01-23,63637599304
2001-01-24,64668967292
2001-01-25,62299015318
2001-01-26,62918933311
2001-01-29,63588225304
2001-01-30,65074931288
2001-01-31,62403249317
2001-02-01,64844519290
2001-02-02,62518455316
2001-02-05,61498059327
2001-02-06,59769969346
2001-02-07,57712719368
2001-02-08,58124169364
2001-02-09,59111649353
2001-02-12,60071699343
2001-02-13,58096739364
2001-02-14,57191549374
2001-02-15,58809919356
2001-02-16,55682899391
2001-02-20,52665599424
2001-02-21,51787839433
2001-02-22,53323919416
2001-02-23,52418631423
2001-02-26,53652139410
2001-02-27,53673971409
2001-02-28,50077149449
2001-03-01,50000737450
2001-03-02,49886119451
2001-03-05,50295469447
2001-03-06,52042029427
2001-03-07,51823709430
2001-03-08,50077149449
2001-03-09,47484599478
2001-03-12,45023041505
2001-03-13,47762957474
2001-03-14,45798077496
2001-03-15,48003109472
2001-03-16,47784789474
2001-03-19,49635051454
2001-03-20,47517347477
2001-03-21,46392999490
2001-03-22,46889677484
2001-03-23,49018297461
2001-03-26,48707191464
2001-03-27,51032299439
2001-03-28,47621049476
2001-03-29,48084979471
2001-03-30,46447579489
2001-04-02,45934527495
2001-04-03,44378997512
2001-04-04,42315873534
2001-04-05,46938799484
2001-04-06,45956359494
2001-04-09,45847199496
2001-04-10,47926697473
2001-04-11,49831539452
2001-04-12,51305199436
2001-04-16,50093523449
2001-04-17,50813979441
2001-04-18,54388969402
2001-04-19,53319201413
2001-04-20,52211227426
2001-04-23,50737567442
2001-04-24,49886119451
2001-04-25,50661155443
2001-04-26,50481041445
2001-04-27,50726651442
2001-04-30,49722379453
2001-05-01,50568369444
2001-05-02,53488399412
2001-05-03,52396799424
2001-05-04,53051759416
2001-05-07,52402257423
2001-05-08,51987449428
2001-05-09,51665427432
2001-05-10,51583557432
2001-05-11,50677529442
2001-05-14,51359779435
2001-05-15,51769129430
2001-05-16,54552709400
2001-05-17,53461109412
2001-05-18,53079049416
2001-05-21,55617019388
2001-05-22,56375681380
2001-05-23,54197939404
2001-05-24,54498129400
2001-05-25,52869011412
2001-05-29,52286135418
2001-05-30,51141971431
2001-05-31,51325469429
2001-06-01,52188989419
2001-06-04,52086446420
2001-06-05,52539794415
2001-06-06,51562937426
2001-06-07,52296929418
2001-06-08,51465791427
2001-06-11,49657796447
2001-06-12,49576841448
2001-06-13,48119651465
2001-06-14,46959296477
2001-06-15,48189812464
2001-06-18,47844404468
2001-06-19,47590745470
2001-06-20,47709479469
2001-06-21,50192099442
2001-06-22,49706369447
2001-06-25,49085714454
2001-06-26,48734909458
2001-06-27,47223749475
2001-06-28,46738019480
2001-06-29,46306259485
2001-07-02,45658619492
2001-07-03,45334799496
2001-07-05,45334799496
2001-07-06,44849069501
2001-07-09,44206826508
2001-07-10,44039519510
2001-07-11,44039519510
2001-07-12,46711034480
2001-07-13,46495154483
2001-07-16,45010979499
2001-07-17,46333244484
2001-07-18,45334799496
2001-07-19,44795099502
2001-07-20,44768114502
2001-07-23,44115077509
2001-07-24,44174444508
2001-07-25,44903039500
2001-07-26,45680207492
2001-07-27,45777353491
2001-07-30,44627792503
2001-07-31,44881451501
2001-08-01,46063394487
2001-08-02,46576109482
2001-08-03,46144349487
2001-08-06,45307814496
2001-08-07,45086537498
2001-08-08,44147459509
2001-08-09,43202984519
2001-08-10,43607759515
2001-08-13,44363339506
2001-08-14,43877609512
2001-08-15,44174444508
2001-08-16,43769669513
2001-08-17,41691824536
2001-08-20,42010247532
2001-08-21,40693379547
2001-08-22,41826749535
2001-08-23,41934689533
2001-08-24,43877609512
2001-08-27,44201429508
2001-08-28,43742684513
2001-08-29,43607759515
2001-08-30,42965516522
2001-08-31,42773400000
2001-09-04,42517080000
2001-09-05,41945700000
2001-09-06,41171400000
2001-09-07,39772320000
2001-09-10,40690800000
2001-09-17,37059600000
2001-09-18,36045000000
2001-09-19,36050340000
2001-09-20,35110500000
2001-09-21,36146460000
2001-09-24,37652340000
2001-09-25,37396020000
2001-09-26,37299900000
2001-09-27,36792600000
2001-09-28,38100900000
2001-10-01,39249000000
2001-10-02,39302400000
2001-10-03,40952460000
2001-10-04,42186000000
2001-10-05,40717500000
2001-10-08,40210200000
2001-10-09,41614620000
2001-10-10,43099140000
2001-10-11,44775900000
2001-10-12,44215200000
2001-10-15,45069600000
2001-10-16,44989500000
2001-10-17,43825380000
2001-10-18,43472940000
2001-10-19,42586500000
2001-10-22,43574400000
2001-10-23,43574400000
2001-10-24,42987000000
2001-10-25,43467600000
2001-10-26,44386080000
2001-10-29,43173900000
2001-10-30,42746700000
2001-10-31,41737440000
2001-11-01,43093800000
2001-11-02,43921500000
2001-11-05,45235140000
2001-11-06,46191000000
2001-11-07,46725000000
2001-11-08,46297800000
2001-11-09,46383240000
2001-11-12,47045400000
2001-11-13,48620700000
2001-11-14,48861000000
2001-11-15,47365800000
2001-11-16,46858500000
2001-11-19,48353700000
2001-11-20,47926500000
2001-11-21,47072100000
2001-11-23,48140100000
2001-11-26,48828960000
2001-11-27,48060000000
2001-11-28,46356540000
2001-11-29,47712900000
2001-11-30,47526000000
2001-12-03,45963743483
2001-12-04,46583647476
2001-12-05,49378559445
2001-12-06,50180159436
2001-12-07,48956383450
2001-12-10,48817439451
2001-12-11,49068607449
2001-12-12,49554911443
2001-12-13,48630399454
2001-12-14,47914303462
2001-12-17,47636415465
2001-12-18,48523519455
2001-12-19,50452703433
2001-12-20,49330463446
2001-12-21,49330463446
2001-12-24,49415967445
2001-12-26,49592319443
2001-12-27,49228927447
2001-12-28,49843487440
2001-12-31,49565599443
2002-01-02,48667807453
2002-01-03,49405279445
2002-01-04,51703199419
2002-01-07,51168799425
2002-01-08,49431999445
2002-01-09,50099999437
2002-01-10,49699199442
2002-01-11,48710559453
2002-01-14,48079967460
2002-01-15,48042559460
2002-01-16,47363871468
2002-01-17,48021183460
2002-01-18,47673823464
2002-01-22,46482111478
2002-01-23,46626399476
2002-01-24,45691199487
2002-01-25,46653119476
2002-01-28,46947039472
2002-01-29,45146111493
2002-01-30,45958399484
2002-01-31,46482111478
2002-02-01,45637759487
2002-02-04,44087999505
2002-02-05,43307775513
2002-02-06,43767359508
2002-02-07,43345183513
2002-02-08,44782719497
2002-02-11,45343839490
2002-02-12,44622399499
2002-02-13,45199551492
2002-02-14,45482783489
2002-02-15,44226943503
2002-02-19,41923679529
2002-02-20,43072639516
2002-02-21,42468767523
2002-02-22,41948999526
2002-02-25,43520759508
2002-02-26,43223399511
2002-02-27,42952589514
2002-02-28,42979139514
2002-03-01,44322569499
2002-03-04,47312099465
2002-03-05,47535119462
2002-03-06,48251969454
2002-03-07,47768759460
2002-03-08,47943989458
2002-03-11,48161699455
2002-03-12,47683799461
2002-03-13,46727999472
2002-03-14,46940399469
2002-03-15,47789999460
2002-03-18,47365199464
2002-03-19,48347549453
2002-03-20,47710349460
2002-03-21,47975849457
2002-03-22,47646629461
2002-03-25,46743929471
2002-03-26,47179349466
2002-03-27,47418299464
2002-03-28,47922749458
2002-04-01,46977569469
2002-04-02,46478429474
2002-04-03,45910259481
2002-04-04,45958049480
2002-04-05,45745649483
2002-04-08,45697859483
2002-04-09,44922599492
2002-04-10,44864189493
2002-04-11,43138439512
2002-04-12,44072999502
2002-04-15,43329599510
2002-04-16,44917289492
2002-04-17,45161549489
2002-04-18,44880119492
2002-04-19,45830609482
2002-04-22,44657099495
2002-04-23,43329599510
2002-04-24,42209189523
2002-04-25,40998509536
2002-04-26,42028649525
2002-04-29,41683499529
2002-04-30,41816249527
2002-05-01,42060509524
2002-05-02,42857009515
2002-05-03,41710049528
2002-05-06,39909959549
2002-05-07,39745349550
2002-05-08,42214499523
2002-05-09,41757839528
2002-05-10,40754249539
2002-05-13,41476409531
2002-05-14,42108299524
2002-05-15,42193259523
2002-05-16,42506549519
2002-05-17,42745499517
2002-05-20,42607439518
2002-05-21,42055199524
2002-05-22,41524199530
2002-05-23,42039269524
2002-05-24,41518889530
2002-05-28,40833899538
2002-05-29,40435649543
2002-05-30,39867479549
2002-05-31,40063949547
2002-06-03,36518670631
2002-06-04,36523619631
2002-06-05,37488674621
2002-06-06,36597854630
2002-06-07,36597854630
2002-06-10,36988825626
2002-06-11,35682289639
2002-06-12,35880249637
2002-06-13,35286369643
2002-06-14,36053464635
2002-06-17,37285765623
2002-06-18,37503521621
2002-06-19,36845304627
2002-06-20,35979229636
2002-06-21,34915194647
2002-06-24,35360604642
2002-06-25,35311114643
2002-06-26,35038919646
2002-06-27,36127699635
2002-06-28,36300914633
2002-07-01,35207185644
2002-07-02,34989429646
2002-07-03,34741979649
2002-07-05,36597854630
2002-07-08,36424639632
2002-07-09,35093358645
2002-07-10,35410094642
2002-07-11,36251424633
2002-07-12,36201934634
2002-07-15,36102954635
2002-07-16,35954484636
2002-07-17,36860151627
2002-07-18,37414439622
2002-07-19,38107299615
2002-07-22,35632799640
2002-07-23,33519576661
2002-07-24,35063664645
2002-07-25,34301518653
2002-07-26,34435141652
2002-07-29,35979229636
2002-07-30,36573109630
2002-07-31,36201934634
2002-08-01,35627850640
2002-08-02,34885500647
2002-08-05,33677944659
2002-08-06,34593509650
2002-08-07,35113154645
2002-08-08,36771069628
2002-08-09,37340204622
2002-08-12,37290714623
2002-08-13,37013570626
2002-08-14,38849649607
2002-08-15,39369294602
2002-08-16,39359396602
2002-08-19,40334349592
2002-08-20,39844398597
2002-08-21,39532611600
2002-08-22,39547458600
2002-08-23,38750669608
2002-08-26,39468274601
2002-08-27,39146589604
2002-08-28,38146891614
2002-08-29,38295361613
2002-08-30,37938839613
2002-09-03,36196499631
2002-09-04,37055399622
2002-09-05,35774411635
2002-09-06,35504471638
2002-09-09,36466439628
2002-09-10,36029627632
2002-09-11,36167051631
2002-09-12,35435759639
2002-09-13,35828399635
2002-09-16,35632079637
2002-09-17,34782995645
2002-09-18,34557227647
2002-09-19,32957219664
2002-09-20,33060287663
2002-09-23,32230835671
2002-09-24,32544947668
2002-09-25,33104459662
2002-09-26,33394031659
2002-09-27,32456603669
2002-09-30,32407523669
2002-10-01,33595259657
2002-10-02,32171939672
2002-10-03,30871319685
2002-10-04,30454139689
2002-10-07,29217323702
2002-10-08,30233279692
2002-10-09,29094623703
2002-10-10,29978063694
2002-10-11,31509359679
2002-10-14,32049239673
2002-10-15,34355999650
2002-10-16,33374399660
2002-10-17,35573183637
2002-10-18,34625939647
2002-10-21,36662759626
2002-10-22,35582999637
2002-10-23,36451715628
2002-10-24,35582999637
2002-10-25,36314291630
2002-10-28,36113063632
2002-10-29,35519195638
2002-10-30,35514287638
2002-10-31,35141279642
2002-11-01,36049259632
2002-11-04,37281167620
2002-11-05,37663991616
2002-11-06,37570739617
2002-11-07,36343739629
2002-11-08,35867663634
2002-11-11,35229623641
2002-11-12,35371955639
2002-11-13,35578091637
2002-11-14,36805091625
2002-11-15,36932699623
2002-11-18,37016135622
2002-11-19,36849263624
2002-11-20,37992827612
2002-11-21,39239459600
2002-11-22,38827187604
2002-11-25,38773199605
2002-11-26,37708163615
2002-11-27,39087311601
2002-11-29,38591090605
2002-12-02,38547053606
2002-12-03,38410049607
2002-12-04,37358054618
2002-12-05,36428384627
2002-12-06,36452849627
2002-12-09,35939084632
2002-12-10,36208199630
2002-12-11,35948870632
2002-12-12,36320738628
2002-12-13,35767829634
2002-12-16,36467528627
2002-12-17,36545816626
2002-12-18,36061409631
2002-12-19,34397789648
2002-12-20,35161097640
2002-12-23,34569044646
2002-12-24,33942740653
2002-12-26,34030814652
2002-12-27,33233255660
2002-12-30,33340901659
2002-12-31,33321329659
2003-01-02,34079744651
2003-01-03,34436933648
2003-01-06,35718899635
2003-01-07,35572109636
2003-01-08,34701155645
2003-01-09,36071195631
2003-01-10,36658355625
2003-01-13,36413705627
2003-01-14,36550709626
2003-01-15,35968442632
2003-01-16,36022265631
2003-01-17,35513393637
2003-01-21,34740299645
2003-01-22,34373324648
2003-01-23,35190455640
2003-01-24,33835094654
2003-01-27,33468119658
2003-01-28,33786164654
2003-01-29,34011242652
2003-01-30,32978819663
2003-01-31,33321329659
2003-02-03,33884024653
2003-02-04,33037535662
2003-02-05,32983712662
2003-02-06,32611844666
2003-02-07,32147009671
2003-02-10,32166581671
2003-02-11,31828964674
2003-02-12,31461989678
2003-02-13,31765355675
2003-02-14,32636309666
2003-02-18,33272399660
2003-02-19,33384938658
2003-02-20,33145181661
2003-02-21,33517049657
2003-02-24,32391659669
2003-02-25,32582486667
2003-02-26,32528663667
2003-02-27,33120716661
2003-02-28,33981884652
2003-03-03,33044115659
2003-03-04,31912201671
2003-03-05,32208539668
2003-03-06,31868479671
2003-03-07,32393143666
2003-03-10,31256371678
2003-03-11,30581109685
2003-03-12,30532529685
2003-03-13,32441723666
2003-03-14,32363995666
2003-03-17,33471619655
2003-03-18,33801963652
2003-03-19,34137165648
2003-03-20,34044863649
2003-03-21,35026179639
2003-03-24,33967135650
2003-03-25,34341201646
2003-03-26,34516089644
2003-03-27,34287763647
2003-03-28,34059437649
2003-03-31,33073263659
2003-04-01,33821395651
2003-04-02,35171919638
2003-04-03,35147629638
2003-04-04,35006747639
2003-04-07,35128197638
2003-04-08,35317659636
2003-04-09,34933877640
2003-04-10,35147629638
2003-04-11,35181635637
2003-04-14,36187241627
2003-04-15,37183131617
2003-04-16,36532159624
2003-04-17,36969379619
2003-04-21,37090829618
2003-04-22,38052713608
2003-04-23,38101293607
2003-04-24,37576629613
2003-04-25,36857645620
2003-04-28,37168557617
2003-04-29,37139409617
2003-04-30,36872219620
2003-05-01,36595313623
2003-05-02,37212279617
2003-05-05,37158841617
2003-05-06,37503759614
2003-05-07,37503759614
2003-05-08,35978347629
2003-05-09,36434999625
2003-05-12,36673041622
2003-05-13,36410709625
2003-05-14,36410709625
2003-05-15,36969379619
2003-05-16,37260859616
2003-05-19,36119229628
2003-05-20,36167809627
2003-05-21,36483579624
2003-05-22,36935373619
2003-05-23,36993669619
2003-05-27,38125583607
2003-05-28,38815419600
2003-05-29,38664821602
2003-05-30,39812749592
2003-06-02,40809289582
2003-06-03,40545499585
2003-06-04,41644624573
2003-06-05,42646049563
2003-06-06,43329949556
2003-06-09,42763289562
2003-06-10,43329949556
2003-06-11,43837989551
2003-06-12,44135974548
2003-06-13,43559544554
2003-06-16,44697749542
2003-06-17,44697749542
2003-06-18,43427649555
2003-06-19,41971919570
2003-06-20,42133124568
2003-06-23,41659279573
2003-06-24,42304099567
2003-06-25,41415029576
2003-06-26,41107274579
2003-06-27,40242629588
2003-06-30,40911874581
2003-07-01,41937724570
2003-07-02,41717899573
2003-07-03,41375949576
2003-07-07,42860989561
2003-07-08,43017309559
2003-07-09,43100354558
2003-07-10,42279674567
2003-07-11,42655819563
2003-07-14,43691439552
2003-07-15,42997769559
2003-07-16,42626509563
2003-07-17,42225939567
2003-07-18,42836564561
2003-07-21,41864449571
2003-07-22,42089159569
2003-07-23,42059849569
2003-07-24,41717899573
2003-07-25,42216169567
2003-07-28,42255249567
2003-07-29,42416454565
2003-07-30,42475074565
2003-07-31,42567889564
2003-08-01,41571349574
2003-08-04,41351524576
2003-08-05,40496649585
2003-08-06,41058424579
2003-08-07,41400374576
2003-08-08,41923069570
2003-08-11,41893759571
2003-08-12,42831679561
2003-08-13,42694899563
2003-08-14,42963574560
2003-08-15,42870759561
2003-08-18,43119894558
2003-08-19,43491154554
2003-08-20,42841449561
2003-08-21,43036849559
2003-08-22,42494614565
2003-08-25,42367604566
2003-08-26,42260134567
2003-08-27,41996344570
2003-08-28,42431109565
2003-08-29,43351250557
2003-09-02,44311454547
2003-09-03,44492717545
2003-09-04,44708273543
2003-09-05,44561303545
2003-09-08,44752364543
2003-09-09,44967920541
2003-09-10,43816655552
2003-09-11,44012615550
2003-09-12,44448626546
2003-09-15,43699079554
2003-09-16,44546606545
2003-09-17,44580899545
2003-09-18,45683174533
2003-09-19,45918326531
2003-09-22,45394133536
2003-09-23,43630493554
2003-09-24,42043217570
2003-09-25,41896247572
2003-09-26,41494529576
2003-09-29,41641499575
2003-09-30,41102609580
2003-10-01,42131399570
2003-10-02,42111803570
2003-10-03,42454733566
2003-10-06,42484127566
2003-10-07,42542915565
2003-10-08,42258773568
2003-10-09,42621299565
2003-10-10,42591905565
2003-10-13,43194482559
2003-10-14,43424735556
2003-10-15,43478624556
2003-10-16,43106300560
2003-10-17,42704582564
2003-10-20,42626198564
2003-10-21,42925037561
2003-10-22,42361652567
2003-10-23,42621299565
2003-10-24,42043217570
2003-10-27,43204280559
2003-10-28,45193274538
2003-10-29,45389234536
2003-10-30,45771356532
2003-10-31,46001609530
2003-11-03,47123480519
2003-11-04,47005904520
2003-11-05,46770752522
2003-11-06,47290046517
2003-11-07,47510501515
2003-11-10,47069591519
2003-11-11,47079389519
2003-11-12,47373329516
2003-11-13,47040197519
2003-11-14,45952619531
2003-11-17,46173074528
2003-11-18,45918326531
2003-11-19,46016306530
2003-11-20,44953223541
2003-11-21,45546002535
2003-11-24,46501307525
2003-11-25,47152874518
2003-11-26,47358632516
2003-11-28,47271359519
2003-12-01,47960159512
2003-12-02,47920799513
2003-12-03,48850679503
2003-12-04,48575159506
2003-12-05,48230759509
2003-12-08,48609599506
2003-12-09,48314399509
2003-12-10,48019199512
2003-12-11,48383279508
2003-12-12,48781799504
2003-12-15,48092999511
2003-12-16,47979839512
2003-12-17,48388199508
2003-12-18,47896199513
2003-12-19,47418959518
2003-12-22,48289799509
2003-12-23,48324239508
2003-12-24,47994599512
2003-12-26,48186479510
2003-12-29,48993359502
2003-12-30,48786719504
2003-12-31,48575159506
2004-01-02,47787959514
2004-01-05,47812559514
2004-01-06,47527199517
2004-01-07,48525959506
2004-01-08,48584999506
2004-01-09,47969999512
2004-01-12,48107759511
2004-01-13,48053639511
2004-01-14,48894959503
2004-01-15,49760879494
2004-01-16,49436159497
2004-01-20,49396799498
2004-01-21,49937999492
2004-01-22,49534559496
2004-01-23,48953999502
2004-01-26,50321759488
2004-01-27,49716599494
2004-01-28,48363599508
2004-01-29,48904799503
2004-01-30,48978599502
2004-02-02,49106519500
2004-02-03,49765799494
2004-02-04,49076999501
2004-02-05,48629279505
2004-02-06,49859279493
2004-02-09,50120039490
2004-02-10,50272559489
2004-02-11,52688279464
2004-02-12,52840799463
2004-02-13,52078199470
2004-02-17,52604639465
2004-02-18,52594799465
2004-02-19,52038839471
2004-02-20,52407839467
2004-02-23,52481639466
2004-02-24,51325439478
2004-02-25,52063439470
2004-02-26,52294679468
2004-02-27,51653972470
2004-03-01,52376064463
2004-03-02,51912559468
2004-03-03,51966228467
2004-03-04,52946907457
2004-03-05,53205494454
2004-03-08,52376064463
2004-03-09,51600303471
2004-03-10,50522044482
2004-03-11,50248820485
2004-03-12,51195346475
2004-03-15,50165877485
2004-03-16,50282973484
2004-03-17,50746478479
2004-03-18,50595229481
2004-03-19,50087813486
2004-03-22,49424269493
2004-03-23,49468180493
2004-03-24,48419195503
2004-03-25,49692614490
2004-03-26,50619624481
2004-03-29,50848937478
2004-03-30,50868453478
2004-03-31,50912364478
2004-04-01,51717399470
2004-04-02,51693004470
2004-04-05,51571029471
2004-04-06,51512481472
2004-04-07,51351474473
2004-04-08,51571029471
2004-04-12,51629577470
2004-04-13,50312247484
2004-04-14,49477938492
2004-04-15,49634066491
2004-04-16,50429343483
2004-04-19,49999991487
2004-04-20,48746088500
2004-04-21,48789999500
2004-04-22,49668219491
2004-04-23,48990038497
2004-04-26,49351084494
2004-04-27,49233988495
2004-04-28,48009359508
2004-04-29,47941053508
2004-04-30,47204324516
2004-05-03,47287267515
2004-05-04,47506822513
2004-05-05,46911584519
2004-05-06,46423684524
2004-05-07,45394215534
2004-05-10,44935589539
2004-05-11,45428368534
2004-05-12,45335667535
2004-05-13,45594254532
2004-05-14,45867478529
2004-05-17,45218571536
2004-05-18,45525948533
2004-05-19,45218571536
2004-05-20,45081959538
2004-05-21,44759945541
2004-05-24,44755066541
2004-05-25,45428368534
2004-05-26,45564980533
2004-05-27,45516190533
2004-05-28,45940771530
2004-06-01,45495599535
2004-06-02,44893883541
2004-06-03,44297059547
2004-06-04,44771583542
2004-06-07,45779335532
2004-06-08,45984799530
2004-06-09,45495599535
2004-06-10,45500491534
2004-06-14,44776475542
2004-06-15,44130731548
2004-06-16,44018215550
2004-06-17,43705127553
2004-06-18,43626855554
2004-06-21,43436067556
2004-06-22,44321519547
2004-06-23,44869423541
2004-06-24,45588547534
2004-06-25,46253859527
2004-06-28,45622791533
2004-06-29,45984799530
2004-06-30,46063071529
2004-07-01,45813579531
2004-07-02,45794011531
2004-07-06,45104239539
2004-07-07,44306843547
2004-07-08,44027999550
2004-07-09,44052459549
2004-07-12,44350871546
2004-07-13,44204111548
2004-07-14,43974187550
2004-07-15,43211035558
2004-07-16,42682699563
2004-07-19,42804999562
2004-07-20,43881239551
2004-07-21,42765863562
2004-07-22,42932191561
2004-07-23,42829459562
2004-07-26,42575075564
2004-07-27,43436067556
2004-07-28,43396931556
2004-07-29,43876347551
2004-07-30,43142547559
2004-08-02,43264847557
2004-08-03,42893055561
2004-08-04,42878379561
2004-08-05,41973359571
2004-08-06,41361859577
2004-08-09,41361859577
2004-08-10,41733651573
2004-08-11,41410779576
2004-08-12,41024311580
2004-08-13,41215099578
2004-08-16,41983143570
2004-08-17,42261987568
2004-08-18,42775647562
2004-08-19,42364719567
2004-08-20,42956651560
2004-08-23,42804999562
2004-08-24,42819675562
