,SRCL
2001-06-08,700804474
2001-06-11,707428917
2001-06-12,722526485
2001-06-13,719445349
2001-06-14,707891087
2001-06-15,699417962
2001-06-18,705580235
2001-06-19,739472736
2001-06-20,765662395
2001-06-21,755648702
2001-06-22,684782564
2001-06-25,685244735
2001-06-26,694180030
2001-06-27,694796258
2001-06-28,739472736
2001-06-29,723296769
2001-07-02,741340234
2001-07-03,747134401
2001-07-05,741653432
2001-07-06,736015864
2001-07-09,741496833
2001-07-10,762167917
2001-07-11,741653432
2001-07-12,751675776
2001-07-13,758096339
2001-07-16,759505732
2001-07-17,797559318
2001-07-18,789102965
2001-07-19,789572763
2001-07-20,793174542
2001-07-23,761384921
2001-07-24,723487934
2001-07-25,755590754
2001-07-26,735232868
2001-07-27,764986701
2001-07-30,781899406
2001-07-31,771094066
2001-08-01,750266383
2001-08-02,752615370
2001-08-03,746977802
2001-08-06,700624462
2001-08-07,699998066
2001-08-08,727089714
2001-08-09,749639987
2001-08-10,757156745
2001-08-13,758722736
2001-08-14,767335688
2001-08-15,774852445
2001-08-16,782995600
2001-08-17,781742807
2001-08-20,782995600
2001-08-21,767335688
2001-08-22,758722736
2001-08-23,734919670
2001-08-24,714405185
2001-08-27,712525996
2001-08-28,721765344
2001-08-29,718946559
2001-08-30,717537167
2001-08-31,754337961
2001-09-04,736015864
2001-09-05,726776515
2001-09-06,711273203
2001-09-07,704539440
2001-09-10,717693766
2001-09-17,701407458
2001-09-18,685121150
2001-09-19,653801326
2001-09-20,595233255
2001-09-21,557649466
2001-09-24,574718770
2001-09-25,600401026
2001-09-26,624673889
2001-09-27,614651546
2001-09-28,652705132
2001-10-01,798047441
2001-10-02,811447491
2001-10-03,860022674
2001-10-04,864489357
2001-10-05,833594796
2001-10-08,800280783
2001-10-09,826522548
2001-10-10,842342052
2001-10-11,849228189
2001-10-12,818705852
2001-10-15,844389281
2001-10-16,868583817
2001-10-17,850717083
2001-10-18,841225381
2001-10-19,840294822
2001-10-22,825219765
2001-10-23,849414300
2001-10-24,859836562
2001-10-25,912692316
2001-10-26,938561857
2001-10-29,921067347
2001-10-30,876586625
2001-10-31,893336688
2001-11-01,926092366
2001-11-02,912133980
2001-11-05,950100790
2001-11-06,963873063
2001-11-07,951961908
2001-11-08,874725507
2001-11-09,954567473
2001-11-12,962198057
2001-11-13,993278729
2001-11-14,1006864892
2001-11-15,1026220520
2001-11-16,1025476073
2001-11-19,1063628994
2001-11-20,1037573340
2001-11-21,1005189885
2001-11-23,1017101041
2001-11-26,1044459477
2001-11-27,1077959603
2001-11-28,1043156695
2001-11-29,1045762260
2001-11-30,1030687203
2001-12-03,1033106657
2001-12-04,1056184521
2001-12-05,1102898586
2001-12-06,1102526362
2001-12-07,1116298636
2001-12-10,1110901393
2001-12-11,1099362461
2001-12-12,1091731877
2001-12-13,1131559804
2001-12-14,1147193196
2001-12-17,1138818165
2001-12-18,1144401519
2001-12-19,1155754340
2001-12-20,1157801570
2001-12-21,1140865395
2001-12-24,1162082141
2001-12-26,1157057122
2001-12-27,1144587631
2001-12-28,1124487556
2001-12-31,1133048699
2002-01-02,1111087505
2002-01-03,1096570784
2002-01-04,1078517938
2002-01-07,1078517938
2002-01-08,1099362461
2002-01-09,1071259578
2002-01-10,1078331827
2002-01-11,1102712474
2002-01-14,1080192945
2002-01-15,1042970583
2002-01-16,1079448498
2002-01-17,1090801318
2002-01-18,1089312423
2002-01-22,1082240175
2002-01-23,1076470709
2002-01-24,1095454113
2002-01-25,1058231751
2002-01-28,986206481
2002-01-29,1055253962
2002-01-30,1066420671
2002-01-31,1060837317
2002-02-01,1036084446
2002-02-04,1047809490
2002-02-05,1018776047
2002-02-06,999606531
2002-02-07,1036270558
2002-02-08,1055812298
2002-02-11,1066979006
2002-02-12,1064931776
2002-02-13,1082984622
2002-02-14,1079448498
2002-02-15,1105504151
2002-02-19,1098059679
2002-02-20,1161523806
2002-02-21,1144215407
2002-02-22,1191115584
2002-02-25,1194837745
2002-02-26,1194837745
2002-02-27,1207865646
2002-02-28,1200607360
2002-03-01,1220335138
2002-03-04,1246576977
2002-03-05,1212704628
2002-03-06,1230012877
2002-03-07,1216798939
2002-03-08,1216426790
2002-03-11,1230199064
2002-03-12,1231129623
2002-03-13,1230199064
2002-03-14,1214751709
2002-03-15,1223498964
2002-03-18,1187393347
2002-03-19,1230199064
2002-03-20,1209726765
2002-03-21,1181809993
2002-03-22,1184043335
2002-03-25,1184043335
2002-03-26,1203771187
2002-03-27,1168596054
2002-03-28,1164315483
2002-04-01,1168109387
2002-04-02,1130398178
2002-04-03,1125707730
2002-04-04,1097565036
2002-04-05,1103193575
2002-04-08,1104694519
2002-04-09,1123081078
2002-04-10,1191561632
2002-04-11,1192874957
2002-04-12,1191561632
2002-04-15,1178991229
2002-04-16,1216327202
2002-04-17,1174488398
2002-04-18,1178240757
2002-04-19,1172612218
2002-04-22,1179366465
2002-04-23,1182931206
2002-04-24,1230210930
2002-04-25,1243719423
2002-04-26,1242030787
2002-04-29,1248597565
2002-04-30,1266984050
2002-05-01,1294376196
2002-05-02,1341468378
2002-05-03,1352725455
2002-05-06,1364920622
2002-05-07,1357040668
2002-05-08,1377303482
2002-05-09,1360230173
2002-05-10,1322894275
2002-05-13,1358729230
2002-05-14,1360230173
2002-05-15,1368860599
2002-05-16,1323644747
2002-05-17,1363982457
2002-05-20,1345783666
2002-05-21,1313325685
2002-05-22,1301880989
2002-05-23,1280492542
2002-05-24,1287059171
2002-05-28,1275989787
2002-05-29,1315014171
2002-05-30,1294376196
2002-05-31,1290061133
2002-06-03,1286683935
2002-06-04,1267922139
2002-06-05,1311824741
2002-06-06,1313325685
2002-06-07,1313325685
2002-06-10,1348222624
2002-06-11,1333963660
2002-06-12,1376365317
2002-06-13,1408635606
2002-06-14,1369235910
2002-06-17,1455164783
2002-06-18,1494939865
2002-06-19,1506572253
2002-06-20,1473176107
2002-06-21,1447284904
2002-06-24,1406759501
2002-06-25,1402256520
2002-06-26,1326083705
2002-06-27,1341843539
2002-06-28,1328710357
2002-07-01,1337730856
2002-07-02,1283452608
2002-07-03,1215604893
2002-07-05,1265359884
2002-07-08,1248021024
2002-07-09,1218243416
2002-07-10,1180927172
2002-07-11,1217489552
2002-07-12,1295891431
2002-07-15,1254051932
2002-07-16,1250659546
2002-07-17,1272144656
2002-07-18,1248774963
2002-07-19,1205804668
2002-07-22,1161703653
2002-07-23,1131926045
2002-07-24,1216358757
2002-07-25,1273652383
2002-07-26,1281567950
2002-07-29,1311722490
2002-07-30,1286091055
2002-07-31,1244251631
2002-08-01,1227666709
2002-08-02,1194496715
2002-08-05,1168111493
2002-08-06,1203543077
2002-08-07,1225405043
2002-08-08,1220505081
2002-08-09,1249528826
2002-08-12,1272144656
2002-08-13,1215604893
2002-08-14,1097248324
2002-08-15,1071240033
2002-08-16,1129287523
2002-08-19,1111948662
2002-08-20,1125518205
2002-08-21,1137203089
2002-08-22,1149641837
2002-08-23,1133433772
2002-08-26,1164719107
2002-08-27,1161326721
2002-08-28,1151149564
2002-08-29,1168111493
2002-08-30,1169996152
2002-09-03,1157180472
2002-09-04,1132302977
2002-09-05,1130795250
2002-09-06,1172257742
2002-09-09,1174896264
2002-09-10,1168865356
2002-09-11,1149641837
2002-09-12,1145872520
2002-09-13,1156803540
2002-09-16,1148887974
2002-09-17,1149641837
2002-09-18,1165849902
2002-09-19,1164342175
2002-09-20,1215228037
2002-09-23,1155672745
2002-09-24,1160195926
2002-09-25,1174142401
2002-09-26,1176780923
2002-09-27,1238220723
2002-09-30,1374492523
2002-10-01,1406504666
2002-10-02,1382191707
2002-10-03,1375302955
2002-10-04,1335186654
2002-10-07,1284534656
2002-10-08,1314925855
2002-10-09,1256574753
2002-10-10,1303174591
2002-10-11,1380570843
2002-10-14,1334376222
2002-10-15,1380165708
2002-10-16,1348558700
2002-10-17,1384622922
2002-10-18,1397995131
2002-10-21,1459182662
2002-10-22,1443784617
2002-10-23,1476201815
2002-10-24,1466071415
2002-10-25,1413798554
2002-10-28,1436490649
2002-10-29,1472960006
2002-10-30,1435274920
2002-10-31,1349369213
2002-11-01,1480253893
2002-11-04,1500919989
2002-11-05,1477822760
2002-11-06,1428386329
2002-11-07,1415824553
2002-11-08,1458777528
2002-11-11,1482685270
2002-11-12,1483090405
2002-11-13,1482685270
2002-11-14,1420282009
2002-11-15,1394348187
2002-11-18,1341670109
2002-11-19,1347343133
2002-11-20,1387459596
2002-11-21,1402857641
2002-11-22,1382191707
2002-11-25,1393132620
2002-11-26,1350990077
2002-11-27,1374897820
2002-11-29,1349774510
2002-12-02,1320598878
2002-12-03,1298717215
2002-12-04,1325461470
2002-12-05,1296691136
2002-12-06,1313710126
2002-12-09,1271162529
2002-12-10,1270352097
2002-12-11,1271162529
2002-12-12,1287776384
2002-12-13,1296285920
2002-12-16,1313304991
2002-12-17,1284939872
2002-12-18,1290612896
2002-12-19,1288992032
2002-12-20,1298311999
2002-12-23,1297096270
2002-12-24,1278861632
2002-12-26,1285750304
2002-12-27,1275619905
2002-12-30,1290612896
2002-12-31,1311684046
2003-01-02,1344911756
2003-01-03,1343291054
2003-01-06,1376518765
2003-01-07,1399210697
2003-01-08,1403668154
2003-01-09,1450267992
2003-01-10,1458372393
2003-01-13,1444189752
2003-01-14,1477012247
2003-01-15,1477822760
2003-01-16,1420282009
2003-01-17,1451078505
2003-01-21,1452294072
2003-01-22,1400426507
2003-01-23,1393943052
2003-01-24,1389890811
2003-01-27,1397589996
2003-01-28,1400021210
2003-01-29,1393132620
2003-01-30,1370845741
2003-01-31,1373276956
2003-02-03,1365983068
2003-02-04,1339238813
2003-02-05,1338833597
2003-02-06,1348558700
2003-02-07,1345317053
2003-02-10,1411772474
2003-02-11,1406909963
2003-02-12,1453104504
2003-02-13,1448241993
2003-02-14,1411772474
2003-02-18,1438516729
2003-02-19,1397995131
2003-02-20,1410151610
2003-02-21,1452294072
2003-02-24,1420282009
2003-02-25,1428791464
2003-02-26,1433654218
2003-02-27,1457156664
2003-02-28,1435680217
2003-03-03,1430412409
2003-03-04,1396779564
2003-03-05,1458372393
2003-03-06,1466071415
2003-03-07,1445405319
2003-03-10,1406504666
2003-03-11,1412582906
2003-03-12,1399210697
2003-03-13,1420282009
2003-03-14,1427575897
2003-03-17,1515912981
2003-03-18,1535363348
2003-03-19,1528879892
2003-03-20,1560081523
2003-03-21,1597361312
2003-03-24,1548330259
2003-03-25,1529690324
2003-03-26,1562512899
2003-03-27,1556434579
2003-03-28,1566564978
2003-03-31,1546901462
2003-04-01,1572004146
2003-04-02,1639493329
2003-04-03,1651015790
2003-04-04,1617271281
2003-04-07,1611921446
2003-04-08,1525914054
2003-04-09,1508218719
2003-04-10,1522210379
2003-04-11,1534144278
2003-04-14,1565419835
2003-04-15,1547312899
2003-04-16,1513979909
2003-04-17,1525091015
2003-04-21,1487231147
2003-04-22,1513156870
2003-04-23,1551016573
2003-04-24,1541140190
2003-04-25,1519741181
2003-04-28,1578176855
2003-04-29,1605748737
2003-04-30,1615213684
2003-05-01,1635378217
2003-05-02,1650604353
2003-05-05,1704924915
2003-05-06,1687229581
2003-05-07,1646077640
2003-05-08,1649781314
2003-05-09,1691344692
2003-05-12,1699163643
2003-05-13,1705336352
2003-05-14,1689287178
2003-05-15,1687229581
2003-05-16,1676941595
2003-05-19,1664596013
2003-05-20,1639904766
2003-05-21,1632497417
2003-05-22,1616036723
2003-05-23,1604925699
2003-05-27,1618917358
2003-05-28,1614802247
2003-05-29,1615213684
2003-05-30,1627970868
2003-06-02,1588464840
2003-06-03,1573650306
2003-06-04,1562950719
2003-06-05,1567888869
2003-06-06,1525914054
2003-06-09,1496696011
2003-06-10,1525091015
2003-06-11,1523444855
2003-06-12,1531263724
2003-06-13,1522210379
2003-06-16,1560481520
2003-06-17,1640316368
2003-06-18,1629205344
2003-06-19,1593403237
2003-06-20,1573650306
2003-06-23,1580234616
2003-06-24,1578176855
2003-06-25,1558835607
2003-06-26,1573650306
2003-06-27,1574473180
2003-06-30,1609959878
2003-07-01,1696837275
2003-07-02,1751397959
2003-07-03,1769025341
2003-07-07,1817290478
2003-07-08,1905427051
2003-07-09,1888639065
2003-07-10,1924313274
2003-07-11,1930608822
2003-07-14,1880245113
2003-07-15,1865975396
2003-07-16,1862617899
2003-07-17,1834498078
2003-07-18,1872270859
2003-07-21,1856742133
2003-07-22,1865135917
2003-07-23,1868913195
2003-07-24,1813093502
2003-07-25,1842052634
2003-07-28,1889478460
2003-07-29,1849607190
2003-07-30,1855063259
2003-07-31,1895773839
2003-08-01,1892416343
2003-08-04,1898292109
2003-08-05,1905846665
2003-08-06,1855902738
2003-08-07,1878566239
2003-08-08,1899131504
2003-08-11,1960407349
2003-08-12,1986008901
2003-08-13,2008252788
2003-08-14,1993563457
2003-08-15,2001957408
2003-08-18,2048124141
2003-08-19,2026299784
2003-08-20,2031755936
2003-08-21,2063233254
2003-08-22,2021683110
2003-08-25,2022522505
2003-08-26,1996921121
2003-08-27,1970899788
2003-08-28,1973837587
2003-08-29,2010771057
2003-09-02,2043927165
2003-09-03,2046025653
2003-09-04,2064492262
2003-09-05,2000698232
2003-09-08,2004055896
2003-09-09,2033434726
2003-09-10,1993563457
2003-09-11,1967961905
2003-09-12,1976775554
2003-09-15,1971739183
2003-09-16,2008252872
2003-09-17,2001957408
2003-09-18,2027978658
2003-09-19,2053160512
2003-09-22,2035113516
2003-09-23,2072466600
2003-09-24,2034274121
2003-09-25,2025460472
2003-09-26,1997760433
2003-09-29,1995242247
2003-09-30,1988838353
2003-10-01,1985891926
2003-10-02,1948851127
2003-10-03,1959374081
2003-10-06,1956427654
2003-10-07,1948009290
2003-10-08,1937107510
2003-10-09,1937907254
2003-10-10,1938791182
2003-10-13,1944599853
2003-10-14,1970317953
2003-10-15,1988838353
2003-10-16,2025416142
2003-10-17,2012409770
2003-10-20,2045662306
2003-10-21,2086491368
2003-10-22,2065866378
2003-10-23,2099960750
2003-10-24,2082703105
2003-10-27,2097856159
2003-10-28,2142473485
2003-10-29,2160993884
2003-10-30,2030930170
2003-10-31,1946325618
2003-11-03,1977894480
2003-11-04,1949272045
2003-11-05,1937065418
2003-11-06,1975789889
2003-11-07,1992205698
2003-11-10,2017460788
2003-11-11,1996835798
2003-11-12,2035560270
2003-11-13,2059973523
2003-11-14,2041874042
2003-11-17,2046925060
2003-11-18,2049450569
2003-11-19,2075126578
2003-11-20,2027983743
2003-11-21,2011988852
2003-11-24,2035139351
2003-11-25,2033876597
2003-11-26,2038506697
2003-11-28,2075968414
2003-12-01,2051976078
2003-12-02,2005675080
2003-12-03,1978315399
2003-12-04,1941274600
2003-12-05,1928226136
2003-12-08,1945483781
2003-12-09,1929909809
2003-12-10,1860458311
2003-12-11,1860037393
2003-12-12,1877715956
2003-12-15,1879820547
2003-12-16,1892027174
2003-12-17,1940853681
2003-12-18,1976210808
2003-12-19,1988417435
2003-12-22,2002728652
2003-12-23,1993047534
2003-12-24,1981682744
2003-12-26,1970738871
2003-12-29,2007358752
2003-12-30,1976210808
2003-12-31,2015319026
2004-01-02,2055452788
2004-01-05,2035601680
2004-01-06,2012298205
2004-01-07,1954902609
2004-01-08,1940661597
2004-01-09,1929009860
2004-01-12,1992447097
2004-01-13,1951450243
2004-01-14,2005393472
2004-01-15,1967848984
2004-01-16,1940230051
2004-01-20,1875066631
2004-01-21,1867730352
2004-01-22,1860825618
2004-01-23,1870751173
2004-01-26,1879382089
2004-01-27,1873340448
2004-01-28,1881108272
2004-01-29,1866867260
2004-01-30,1907432568
2004-02-02,1908295660
2004-02-03,1913905756
2004-02-04,1941093143
2004-02-05,1952313334
2004-02-06,1967848984
2004-02-09,1993310188
2004-02-10,2046390325
2004-02-11,2124500121
2004-02-12,2122773937
2004-02-13,2068399163
2004-02-17,2064946796
2004-02-18,2086524088
2004-02-19,2056747425
2004-02-20,2026107671
2004-02-23,2000214922
2004-02-24,2011003567
2004-02-25,1981270060
2004-02-26,1996762555
2004-02-27,1995467917
2004-03-01,2042074867
2004-03-02,1985973909
2004-03-03,2028696946
2004-03-04,2019634484
2004-03-05,2052000421
2004-03-08,2029560038
2004-03-09,2034738588
2004-03-10,2013592842
2004-03-11,1985542363
2004-03-12,2031286221
2004-03-15,1972595988
2004-03-16,2001078013
2004-03-17,2062357521
2004-03-18,2080482446
2004-03-19,2080913992
2004-03-22,2021360667
2004-03-23,1988563184
2004-03-24,2027402309
2004-03-25,2034307042
2004-03-26,2021792213
2004-03-29,2030854675
2004-03-30,2071419984
2004-03-31,2114787759
2004-04-01,2118756293
2004-04-02,2183134736
2004-04-05,2180489046
2004-04-06,2175197667
2004-04-07,2193276545
2004-04-08,2194158442
2004-04-12,2210914475
2004-04-13,2196363183
2004-04-14,2178284305
2004-04-15,2173433874
2004-04-16,2190189908
2004-04-19,2182693788
2004-04-20,2160205427
2004-04-21,2169465340
2004-04-22,2182693788
2004-04-23,2191071804
2004-04-26,2212678268
2004-04-27,2237812318
2004-04-28,2201213614
2004-04-29,2137717067
2004-04-30,2105968794
2004-05-03,2119638189
2004-05-04,2165937754
2004-05-05,2136835171
2004-05-06,2134189481
2004-05-07,2101118363
2004-05-10,2087448968
2004-05-11,2075543365
2004-05-12,2033653282
2004-05-13,2076866210
2004-05-14,2076425262
2004-05-17,2015133456
2004-05-18,2031448541
2004-05-19,2037180868
2004-05-20,2038503713
2004-05-21,2024393369
2004-05-24,2013369663
2004-05-25,2065842504
2004-05-26,2037180868
2004-05-27,2048645523
2004-05-28,2029684748
2004-06-01,2030125696
2004-06-02,2027039059
2004-06-03,2003227854
2004-06-04,2019101990
2004-06-07,2034535179
2004-06-08,2060992073
2004-06-09,2039385610
2004-06-10,2053495953
2004-06-14,2123165775
2004-06-15,2176961460
2004-06-16,2224583870
2004-06-17,2217087750
2004-06-18,2231198094
2004-06-21,2226347663
2004-06-22,2237812318
2004-06-23,2230316197
2004-06-24,2205182148
2004-06-25,2186662322
2004-06-28,2167260599
2004-06-29,2194158442
2004-06-30,2340157462
2004-07-01,2298094330
2004-07-02,2273218285
2004-07-06,2313019958
2004-07-07,2360510591
2004-07-08,2330659336
2004-07-09,2337443712
2004-07-12,2339705171
2004-07-13,2367747258
2004-07-14,2372270176
2004-07-15,2393527888
2004-07-16,2379054552
2004-07-19,2348751005
2004-07-20,2399859972
2004-07-21,2346037255
2004-07-22,2335182253
2004-07-23,2290405371
2004-07-26,2274575160
2004-07-27,2313924541
2004-07-28,2254222032
2004-07-29,2237487237
2004-07-30,2216229526
2004-08-02,2199494731
2004-08-03,2171000352
2004-08-04,2194519522
2004-08-05,2144315139
2004-08-06,2137078471
2004-08-09,2098633673
2004-08-10,2133460137
2004-08-11,2153360974
2004-08-12,2095015339
2004-08-13,2095015339
2004-08-16,2089587838
2004-08-17,2076019086
2004-08-18,2094563047
2004-08-19,2087326380
2004-08-20,2135269304
2004-08-23,2108131800
2004-08-24,2049786165
2004-08-25,2059284292
2004-08-26,2062902626
2004-08-27,2087778671
2004-08-30,2082351170
2004-08-31,2133912429
2004-09-01,2167834309
2004-09-02,2185473687
2004-09-03,2177784728
2004-09-07,2193162647
2004-09-08,2143862847
2004-09-09,2121248260
2004-09-10,2093658464
2004-09-13,2090040130
2004-09-14,2062450334
2004-09-15,2033503663
2004-09-16,2006366158
2004-09-17,2017673452
2004-09-20,2023553244
2004-09-21,2025362411
2004-09-22,2013150534
2004-09-23,2028528453
2004-09-24,2062450334
2004-09-27,2053404499
2004-09-28,2079637420
2004-09-29,2114463884
2004-09-30,2023521787
2004-10-01,2023962642
2004-10-04,2021317515
2004-10-05,2016468117
2004-10-06,2023521787
2004-10-07,1990457706
2004-10-08,1993102832
2004-10-11,1982963181
2004-10-12,1990898560
2004-10-13,1984726598
2004-10-14,1982522326
2004-10-15,2004565047
2004-10-18,2008091883
