,FMCC
2001-06-18,45348870701
2001-06-19,45667983967
2001-06-20,46444953618
2001-06-21,48352700118
2001-06-22,48484509446
2001-06-25,47658974118
2001-06-26,47582663565
2001-06-27,47103996787
2001-06-28,47672851413
2001-06-29,47208056381
2001-07-02,46959082210
2001-07-03,47202212866
2001-07-05,47445348383
2001-07-06,46889617500
2001-07-09,46889617500
2001-07-10,46229691633
2001-07-11,46375569749
2001-07-12,47584278500
2001-07-13,47236948000
2001-07-16,47264735134
2001-07-17,46854882366
2001-07-18,46681217116
2001-07-19,46750687383
2001-07-20,46931295770
2001-07-23,46910456635
2001-07-24,46500608729
2001-07-25,46583965270
2001-07-26,46632590846
2001-07-27,47125799461
2001-07-30,47403665250
2001-07-31,47542600229
2001-08-01,47744052613
2001-08-02,47549543366
2001-08-03,47348096538
2001-08-06,46959082210
2001-08-07,47223056863
2001-08-08,47382826115
2001-08-09,47792678883
2001-08-10,47757943750
2001-08-13,47598169636
2001-08-14,48327565769
2001-08-15,48265048363
2001-08-16,48070539116
2001-08-17,47931609000
2001-08-20,47757943750
2001-08-21,46646487539
2001-08-22,46208847636
2001-08-23,46125491789
2001-08-24,45076551595
2001-08-27,44736169789
2001-08-28,43624710105
2001-08-29,44020666875
2001-08-30,43992882519
2001-08-31,43680284374
2001-09-04,44180438210
2001-09-05,43791430134
2001-09-06,43055088780
2001-09-07,42235388105
2001-09-10,42422947270
2001-09-17,43284327604
2001-09-18,44944564616
2001-09-19,44298531970
2001-09-20,42728596720
2001-09-21,42527147114
2001-09-24,42707758280
2001-09-25,43187072980
2001-09-26,43860894845
2001-09-27,44847312770
2001-09-28,45152965000
2001-10-01,45366302522
2001-10-02,46606386477
2001-10-03,46682169217
2001-10-04,46689055113
2001-10-05,47054194266
2001-10-08,47095528928
2001-10-09,47391770548
2001-10-10,45986344500
2001-10-11,44560251120
2001-10-12,44160668022
2001-10-15,45014944804
2001-10-16,46220579304
2001-10-17,45917452477
2001-10-18,46069018646
2001-10-19,46000121113
2001-10-22,45745218977
2001-10-23,45779662233
2001-10-24,45476534717
2001-10-25,45986344500
2001-10-26,46447928902
2001-10-29,46137910668
2001-10-30,45800334386
2001-10-31,46723503879
2001-11-01,48025588451
2001-11-02,47894689613
2001-11-05,48287381304
2001-11-06,47743128266
2001-11-07,48769638548
2001-11-08,47846464233
2001-11-09,47129977695
2001-11-12,47536446000
2001-11-13,48252938048
2001-11-14,47874022282
2001-11-15,47198869717
2001-11-16,46351478831
2001-11-19,46482377668
2001-11-20,46489268386
2001-11-21,46055236522
2001-11-23,46234361428
2001-11-26,47157530233
2001-11-27,46764837853
2001-11-28,45869227097
2001-11-29,45696993597
2001-11-30,45586761402
2001-12-03,45318077831
2001-12-04,45262961733
2001-12-05,45090728233
2001-12-06,43616412228
2001-12-07,44264009500
2001-12-10,44780710000
2001-12-11,44918494733
2001-12-12,45262961733
2001-12-13,44353568853
2001-12-14,44126224766
2001-12-17,44022883977
2001-12-18,44009104608
2001-12-19,44677368522
2001-12-20,45166511662
2001-12-21,45228518477
2001-12-24,45090728233
2001-12-26,44801377331
2001-12-27,45180293097
2001-12-28,45414527902
2001-12-31,45056284977
2002-01-02,45473166676
2002-01-03,45632772427
2002-01-04,44883327720
2002-01-07,43717527000
2002-01-08,43689769146
2002-01-09,44619636781
2002-01-10,44890268397
2002-01-11,44890268397
2002-01-14,45799314000
2002-01-15,47603528012
2002-01-16,47159414146
2002-01-17,46743058133
2002-01-18,47228806352
2002-01-22,47589652207
2002-01-23,47548012998
2002-01-24,46840207500
2002-01-25,46562634512
2002-01-28,46638967396
2002-01-29,45556440237
2002-01-30,47013689750
2002-01-31,46576516561
2002-02-01,46611209542
2002-02-04,45577256720
2002-02-05,45244168718
2002-02-06,44404518097
2002-02-07,44133883012
2002-02-08,45320501602
2002-02-11,45799314000
2002-02-12,45452349500
2002-02-13,45237232897
2002-02-14,44168582237
2002-02-15,44140824383
2002-02-19,44355940292
2002-02-20,43821617737
2002-02-21,42329669000
2002-02-22,43058293756
2002-02-25,44217156573
2002-02-26,43509348993
2002-02-27,44390638823
2002-02-28,44231035847
2002-03-01,44883327720
2002-03-04,44689028987
2002-03-05,44543303897
2002-03-06,45105385000
2002-03-07,44689028987
2002-03-08,44175520140
2002-03-11,44668211811
2002-03-12,44987418457
2002-03-13,44862511237
2002-03-14,44793119031
2002-03-15,45355200133
2002-03-18,45070686468
2002-03-19,44827812012
2002-03-20,43995099987
2002-03-21,44640453957
2002-03-22,44237973750
2002-03-25,43682831243
