,PBY
2004-12-28,87765061
2004-12-29,87475885
2004-12-30,87548179
2004-12-31,86752944
2005-01-03,85728500
2005-01-04,84370000
2005-01-05,83369000
2005-01-06,81438500
2005-01-07,82511000
2005-01-10,80795000
2005-01-11,77935000
2005-01-12,76362000
2005-01-13,75861500
2005-01-14,76290500
2005-01-18,81295500
2005-01-19,80080000
2005-01-20,77363000
2005-01-21,77863500
2005-01-24,78507000
2005-01-25,77935000
2005-01-26,78006500
2005-01-27,77792000
2005-01-28,76934000
2005-01-31,77577500
2005-02-01,77863500
2005-02-02,81224000
2005-02-03,81867500
2005-02-04,84012500
2005-02-07,84727500
2005-02-08,85871500
2005-02-09,87015500
2005-02-10,90876500
2005-02-11,93736500
2005-02-14,96525000
2005-02-15,96167500
2005-02-16,97240000
2005-02-17,97955000
2005-02-18,97955000
2005-02-22,98098000
2005-02-23,95881500
2005-02-24,95095000
2005-02-25,95309500
2005-02-28,94380000
2005-03-01,94022500
2005-03-02,94237000
2005-03-03,93808000
2005-03-04,93665000
2005-03-07,94165500
2005-03-08,93665000
2005-03-09,92735500
2005-03-10,92735500
2005-03-11,92521000
2005-03-14,91806000
2005-03-15,92592500
2005-03-16,92449500
2005-03-17,93951000
2005-03-18,91734500
2005-03-21,90805000
2005-03-22,93307500
2005-03-23,92092000
2005-03-24,90304500
2005-03-28,91806000
2005-03-29,88803000
2005-03-30,89446500
2005-03-31,92235000
2005-04-01,93445743
2005-04-04,92727482
2005-04-05,92009221
2005-04-06,95313221
2005-04-07,94810438
2005-04-08,96031482
2005-04-11,96749743
2005-04-12,95600525
2005-04-13,95528699
2005-04-14,95241395
2005-04-15,94451308
2005-04-18,95528699
2005-04-19,96103308
2005-04-20,95600525
2005-04-21,95600525
2005-04-22,94451308
2005-04-25,93445743
2005-04-26,93948525
2005-04-27,93804873
2005-04-28,93302090
2005-04-29,91290960
2005-05-02,92583830
2005-05-03,93014786
2005-05-04,93302090
2005-05-05,92296525
2005-05-06,92009221
2005-05-09,92296525
2005-05-10,92009221
2005-05-11,91865569
2005-05-12,90860003
2005-05-13,89782612
2005-05-16,88848873
2005-05-17,89782612
2005-05-18,90860003
2005-05-19,92009221
2005-05-20,92655656
2005-05-23,92799308
2005-05-24,91937395
2005-05-25,92799308
2005-05-26,93014786
2005-05-27,95169569
2005-05-31,95169569
2005-06-01,94666786
2005-06-02,96175134
2005-06-03,94882264
2005-06-06,95528699
2005-06-07,95887830
2005-06-08,93733047
2005-06-09,93445743
2005-06-10,93445743
2005-06-13,92871134
2005-06-14,92871134
2005-06-15,93373917
2005-06-16,93445743
2005-06-17,92368351
2005-06-20,92512003
2005-06-21,90644525
2005-06-22,89423482
2005-06-23,88777047
2005-06-24,90716351
2005-06-27,89854438
2005-06-28,88130612
2005-06-29,90285395
2005-06-30,90500873
2005-07-01,88118199
2005-07-05,87765444
2005-07-06,87765444
2005-07-07,87342138
2005-07-08,88259301
2005-07-11,88259301
2005-07-12,86566077
2005-07-13,86495526
2005-07-14,86424975
2005-07-15,86283873
2005-07-18,85578363
2005-07-19,85013955
2005-07-20,87835995
2005-07-21,90446382
2005-07-22,89952525
2005-07-25,88329852
2005-07-26,88188750
2005-07-27,87694893
2005-07-28,88753158
2005-07-29,88682607
2005-08-01,87201036
2005-08-02,86424975
2005-08-03,86001669
2005-08-04,86424975
2005-08-05,86142771
2005-08-08,87059934
2005-08-09,87059934
2005-08-10,86424975
2005-08-11,86918832
2005-08-12,86495526
2005-08-15,86283873
2005-08-16,86707179
2005-08-17,85860567
2005-08-18,85507812
2005-08-19,83602935
2005-08-22,82685772
2005-08-23,80428140
2005-08-24,79934283
2005-08-25,78382161
2005-08-26,79934283
2005-08-29,80075385
2005-08-30,81486405
2005-08-31,80428140
2005-09-01,78029406
2005-09-02,78029406
2005-09-06,78452712
2005-09-07,79017120
2005-09-08,78523263
2005-09-09,78805467
2005-09-12,80075385
2005-09-13,82191915
2005-09-14,82474119
2005-09-15,83320731
2005-09-16,92704014
2005-09-19,93197871
2005-09-20,94538340
2005-09-21,95949360
2005-09-22,94397238
2005-09-23,93409524
2005-09-26,94961646
2005-09-27,92421810
2005-09-28,92774565
2005-09-29,94115034
2005-09-30,94185585
2005-10-03,94538340
2005-10-04,93832830
2005-10-05,94185585
2005-10-06,94467789
2005-10-07,93832830
2005-10-10,92774565
2005-10-11,92774565
2005-10-12,92280708
2005-10-13,90587484
2005-10-14,92280708
2005-10-17,91857402
2005-10-18,94538340
2005-10-19,98136441
2005-10-20,98771400
2005-10-21,99476910
2005-10-24,100182420
2005-10-25,100887930
2005-10-26,101240685
2005-10-27,102298950
2005-10-28,103004460
2005-10-31,100605726
2005-11-01,100041318
2005-11-02,97572033
2005-11-03,98771400
2005-11-04,97078176
2005-11-07,98771400
2005-11-08,99688563
2005-11-09,103286664
2005-11-10,101099583
2005-11-11,99829665
2005-11-14,100111869
2005-11-15,100535175
2005-11-16,100464624
2005-11-17,98771400
2005-11-18,99406359
2005-11-21,100182420
2005-11-22,100182420
2005-11-23,100394073
2005-11-25,100746828
2005-11-28,99476910
2005-11-29,99053604
2005-11-30,105685398
2005-12-01,105755949
2005-12-02,105332643
2005-12-05,105120990
2005-12-06,104697684
2005-12-07,104415480
2005-12-08,103921623
2005-12-09,105685398
2005-12-12,103921623
2005-12-13,105826500
2005-12-14,106249806
2005-12-15,106673112
2005-12-16,107590275
2005-12-19,107872479
2005-12-20,105826500
2005-12-21,109071846
2005-12-22,108719091
2005-12-23,107590275
2005-12-27,106814214
2005-12-28,105403194
2005-12-29,107590275
2005-12-30,106320357
2006-01-03,107097571
2006-01-04,106744812
2006-01-05,105827640
2006-01-06,106815364
2006-01-09,106392054
2006-01-10,107168123
2006-01-11,108367503
2006-01-12,108367503
2006-01-13,106674261
2006-01-17,108649710
2006-01-18,108720262
2006-01-19,109284676
2006-01-20,109002469
2006-01-23,108649710
2006-01-24,111048470
2006-01-25,112247850
2006-01-26,110766263
2006-01-27,112177298
2006-01-30,114646610
2006-01-31,113729437
2006-02-01,114152747
2006-02-02,115987093
2006-02-03,114999368
2006-02-06,114223299
2006-02-07,114646610
2006-02-08,116057645
2006-02-09,116974818
2006-02-10,114011644
2006-02-13,113235574
2006-02-14,112388953
2006-02-15,112741712
2006-02-16,111824539
2006-02-17,114223299
2006-02-21,114646610
2006-02-22,115281575
2006-02-23,115140472
2006-02-24,115281575
2006-02-27,114717161
2006-02-28,116692611
2006-03-01,117398128
2006-03-02,116763162
2006-03-03,116904266
2006-03-06,117398128
2006-03-07,116763162
2006-03-08,115987093
2006-03-09,114858265
2006-03-10,114646610
2006-03-13,115281575
2006-03-14,114787713
2006-03-15,114858265
2006-03-16,115775438
2006-03-17,115493231
2006-03-20,114999368
2006-03-21,115140472
2006-03-22,112953367
2006-03-23,113941092
2006-03-24,114364402
2006-03-27,114293851
2006-03-28,114293851
2006-03-29,113658885
2006-03-30,115352127
2006-03-31,115987093
2006-04-03,115852597
2006-04-04,114866018
2006-04-05,114866018
2006-04-06,115500248
2006-04-07,116345887
2006-04-10,119446565
2006-04-11,118107636
2006-04-12,118953275
2006-04-13,118953275
2006-04-17,118741865
2006-04-18,116980117
2006-04-19,117825756
2006-04-20,116627767
2006-04-21,116768707
2006-04-24,117966696
2006-04-25,118812335
2006-04-26,119728445
2006-04-27,120292204
2006-04-28,119517035
2006-05-01,119587505
2006-05-02,119305625
2006-05-03,118389516
2006-05-04,119094215
2006-05-05,119798915
2006-05-08,120010324
2006-05-09,119305625
2006-05-10,118107636
2006-05-11,119869384
2006-05-12,120151264
2006-05-15,118319046
2006-05-16,119728445
2006-05-17,117121056
2006-05-18,117684816
2006-05-19,117473406
2006-05-22,114443198
2006-05-23,114654608
2006-05-24,113738499
2006-05-25,114513668
2006-05-26,115218368
2006-05-30,113949909
2006-05-31,115852597
2006-06-01,114372728
2006-06-02,115429778
2006-06-05,114090849
2006-06-06,112399570
2006-06-07,111553930
2006-06-08,112399570
2006-06-09,112047220
2006-06-12,111624400
2006-06-13,111624400
2006-06-14,111835810
2006-06-15,116204947
2006-06-16,116204947
2006-06-19,116839177
2006-06-20,117050586
2006-06-21,115993537
2006-06-22,116275417
2006-06-23,115711657
2006-06-26,114090849
2006-06-27,116345887
2006-06-28,115500248
2006-06-29,116768707
2006-06-30,119728445
2006-07-03,163515000
2006-07-05,161433900
2006-07-06,160343800
2006-07-07,160244700
2006-07-10,160244700
2006-07-11,160046500
2006-07-12,160740200
2006-07-13,160343800
2006-07-14,159848300
2006-07-17,160046500
2006-07-18,161433900
2006-07-19,161136600
2006-07-20,156677100
2006-07-21,158956400
2006-07-24,157370800
2006-07-25,157271700
2006-07-26,158956400
2006-07-27,158956400
2006-07-28,159551000
2006-07-31,160641100
2006-08-01,166190700
2006-08-02,161433900
2006-08-03,160046500
2006-08-04,158560000
2006-08-07,153505900
2006-08-08,156082500
2006-08-09,157370800
2006-08-10,151623000
2006-08-11,151920300
2006-08-14,153505900
2006-08-15,153605000
2006-08-16,152812200
2006-08-17,152415800
2006-08-18,152019400
2006-08-21,152911300
2006-08-22,153605000
2006-08-23,153803200
2006-08-24,154893300
2006-08-25,154992400
2006-08-28,155587000
2006-08-29,155388800
2006-08-30,156082500
2006-08-31,156082500
2006-09-01,160145600
2006-09-05,160839300
2006-09-06,160740200
2006-09-07,162920400
2006-09-08,161334800
2006-09-11,160839300
2006-09-12,161334800
2006-09-13,159947400
2006-09-14,160542000
2006-09-15,159650100
2006-09-18,160938399
2006-09-19,161929400
2006-09-20,157767200
2006-09-21,153109500
2006-09-22,156082500
2006-09-25,154794200
2006-09-26,155091500
2006-09-27,153406800
2006-09-28,154893300
2006-09-29,154001400
2006-10-02,212384441
2006-10-03,212520323
2006-10-04,211976793
2006-10-05,216460918
2006-10-06,215373857
2006-10-09,217140330
2006-10-10,219450334
2006-10-11,220809160
2006-10-12,223662693
2006-10-13,223526811
2006-10-16,226108579
2006-10-17,225836814
2006-10-18,226923875
2006-10-19,227195640
2006-10-20,227739170
2006-10-23,230456821
2006-10-24,229505643
2006-10-25,233718003
2006-10-26,231000352
2006-10-27,231272117
2006-10-30,230456821
2006-10-31,230592704
2006-11-01,232902707
2006-11-02,234125650
2006-11-03,236163889
2006-11-06,235076828
2006-11-07,233038590
2006-11-08,234669181
2006-11-09,233582120
2006-11-10,234397416
2006-11-13,232087412
2006-11-14,230320939
2006-11-15,229097996
2006-11-16,231000352
2006-11-17,231136234
2006-11-20,230728586
2006-11-21,231000352
2006-11-22,230864469
2006-11-24,230320939
2006-11-27,229641526
2006-11-28,230592704
2006-11-29,236299771
2006-11-30,239832718
2006-12-01,241735074
2006-12-04,244180960
2006-12-05,245811551
2006-12-06,250975088
2006-12-07,252333913
2006-12-08,254643917
2006-12-11,255323330
2006-12-12,249888027
2006-12-13,250023910
2006-12-14,250431558
2006-12-15,240512131
2006-12-18,239560953
2006-12-19,239832718
2006-12-20,241463309
2006-12-21,239560953
2006-12-22,239832718
2006-12-26,240240366
2006-12-27,235892124
2006-12-28,235212711
2006-12-29,232766825
2007-01-03,341948131
2007-01-04,343523929
2007-01-05,340766282
2007-01-08,340372333
2007-01-09,339584434
2007-01-10,341948131
2007-01-11,343917878
2007-01-12,342736030
2007-01-16,344508802
2007-01-17,346478550
2007-01-18,342145106
2007-01-19,346872499
2007-01-22,346675524
2007-01-23,348251322
2007-01-24,348054347
2007-01-25,347266448
2007-01-26,347660398
2007-01-29,346281575
2007-01-30,347266448
2007-01-31,346675524
2007-02-01,346872499
2007-02-02,346675524
2007-02-05,346675524
2007-02-06,346675524
2007-02-07,338402586
2007-02-08,336826788
2007-02-09,338599560
2007-02-12,328553849
2007-02-13,327372001
2007-02-14,335054015
2007-02-15,338796535
2007-02-16,346281575
2007-02-20,348251322
2007-02-21,345099726
2007-02-22,343917878
2007-02-23,345099726
2007-02-26,345099726
2007-02-27,339781409
2007-02-28,343523929
2007-03-01,342342080
2007-03-02,342145106
2007-03-05,336038889
2007-03-06,333478217
2007-03-07,333872167
2007-03-08,335250990
2007-03-09,334660066
2007-03-12,337023763
2007-03-13,329341748
2007-03-14,323038557
2007-03-15,333675192
2007-03-16,334463091
2007-03-19,335841914
2007-03-20,337614687
2007-03-21,329538723
2007-03-22,334857041
2007-03-23,334857041
2007-03-26,331705445
2007-03-27,331902420
2007-03-28,334660066
2007-03-29,337220737
2007-03-30,337614687
2007-04-02,266837892
2007-04-03,270611674
2007-04-04,274228216
2007-04-05,273599253
2007-04-09,279102686
2007-04-10,279102686
2007-04-11,282404746
2007-04-12,281146818
2007-04-13,276115108
2007-04-16,271083397
2007-04-17,273913734
2007-04-18,277215794
2007-04-19,278159240
2007-04-20,276115108
2007-04-23,274857180
2007-04-24,273442012
2007-04-25,272498566
2007-04-26,272655807
2007-04-27,272184084
2007-04-30,269668229
2007-05-01,268567542
2007-05-02,273599253
2007-05-03,275800626
2007-05-04,275171662
2007-05-07,279259927
2007-05-08,274228216
2007-05-09,274228216
2007-05-10,274070975
2007-05-11,271240638
2007-05-14,273284771
2007-05-15,274699939
2007-05-16,275328903
2007-05-17,274070975
2007-05-18,274542698
2007-05-21,275171662
2007-05-22,278316481
2007-05-23,279574409
2007-05-24,276744072
2007-05-25,275014421
2007-05-29,276272349
2007-05-30,279259927
2007-05-31,278945445
2007-06-01,281304059
2007-06-04,286335769
2007-06-05,288851625
2007-06-06,293254371
2007-06-07,286807492
2007-06-08,286335769
2007-06-11,289166107
2007-06-12,284920601
2007-06-13,290895757
2007-06-14,293726094
2007-06-15,289480588
2007-06-18,286650251
2007-06-19,285549565
2007-06-20,276586831
2007-06-21,268882024
2007-06-22,267938578
2007-06-25,265894446
2007-06-26,269196506
2007-06-27,271869602
2007-06-28,281304059
2007-06-29,274699939
2007-07-02,350869832
2007-07-03,349273155
2007-07-05,354861525
2007-07-06,363044496
2007-07-09,362445742
2007-07-10,366038266
2007-07-11,372824144
2007-07-12,366836605
2007-07-13,363044496
2007-07-16,369032036
2007-07-17,366437435
2007-07-18,362246157
2007-07-19,367235774
2007-07-20,362246157
2007-07-23,366237851
2007-07-24,352466509
2007-07-25,347277308
2007-07-26,327917596
2007-07-27,322927979
2007-07-30,309156638
2007-07-31,309755392
2007-08-01,297381143
2007-08-02,315343762
2007-08-03,289397757
2007-08-06,282611878
2007-08-07,290994434
2007-08-08,321331302
2007-08-09,305164945
2007-08-10,331310535
2007-08-13,321131717
2007-08-14,302570344
2007-08-15,304366606
2007-08-16,314545424
2007-08-17,326720088
2007-08-20,316341686
2007-08-21,317738778
2007-08-22,330711781
2007-08-23,331709704
2007-08-24,334503890
2007-08-27,319934209
2007-08-28,317339609
2007-08-29,322927979
2007-08-30,328915519
2007-08-31,334104720
2007-09-04,333306382
2007-09-05,320732548
2007-09-06,329713858
2007-09-07,320732548
2007-09-10,326520503
2007-09-11,334703474
2007-09-12,337098490
2007-09-13,340092260
2007-09-14,344083953
2007-09-17,323327149
2007-09-18,344083953
2007-09-19,344283538
2007-09-20,338295998
2007-09-21,343086030
2007-09-24,336499736
2007-09-25,331510120
2007-09-26,336699321
2007-09-27,336699321
2007-09-28,339693091
2007-10-01,399192180
2007-10-02,368735468
2007-10-03,353855852
2007-10-04,378965203
2007-10-05,379895179
2007-10-08,384545059
2007-10-09,398727192
2007-10-10,398494698
2007-10-11,379895179
2007-10-12,377105251
2007-10-15,372687865
2007-10-16,374082829
2007-10-17,369897938
2007-10-18,369432950
2007-10-19,353855852
2007-10-22,349438466
2007-10-23,349205972
2007-10-24,346881033
2007-10-25,346648539
2007-10-26,349205972
2007-10-29,340371201
2007-10-30,337116285
2007-10-31,340371201
2007-11-01,333163887
2007-11-02,326189067
2007-11-05,325491586
2007-11-06,338511249
2007-11-07,315494344
2007-11-08,309217006
2007-11-09,324794104
2007-11-12,317354296
2007-11-13,332466405
2007-11-14,335953815
2007-11-15,313866886
2007-11-16,337581273
2007-11-19,326886549
2007-11-20,332233911
2007-11-21,321074200
2007-11-23,335023839
2007-11-26,311541946
2007-11-27,322934152
2007-11-28,333396381
2007-11-29,330141465
2007-11-30,325956573
2007-12-03,325491586
2007-12-04,324096622
2007-12-05,317586790
2007-12-06,327351537
2007-12-07,319446742
2007-12-10,320841706
2007-12-11,315261850
2007-12-12,306659572
2007-12-13,299684753
2007-12-14,291547463
2007-12-17,260858256
2007-12-18,318051778
2007-12-19,325491586
2007-12-20,321074200
2007-12-21,336186309
2007-12-24,351763406
2007-12-26,324329116
2007-12-27,308984512
2007-12-28,299917247
2007-12-31,303404656
2008-01-02,328054265
2008-01-03,333541718
2008-01-04,323521151
2008-01-07,335211812
2008-01-08,323282566
2008-01-09,326861340
2008-01-10,335927567
2008-01-11,335450397
2008-01-14,341892190
2008-01-15,331155868
2008-01-16,339506341
2008-01-17,329485774
2008-01-18,329724359
2008-01-22,325191245
2008-01-23,339506341
2008-01-24,334734642
2008-01-25,333780303
2008-01-28,345232379
2008-01-29,345470964
2008-01-30,343323699
2008-01-31,345470964
2008-02-01,356923040
2008-02-04,363842003
2008-02-05,341892190
2008-02-06,347141058
2008-02-07,357877380
2008-02-08,361694738
2008-02-11,355014360
2008-02-12,334496057
2008-02-13,354537191
2008-02-14,349288322
2008-02-15,359547474
2008-02-19,363603418
2008-02-20,369806626
2008-02-21,375294079
2008-02-22,370760965
2008-02-25,371715305
2008-02-26,377918513
2008-02-27,377441343
2008-02-28,375532664
2008-02-29,359070304
2008-03-03,350242662
2008-03-04,339983511
2008-03-05,330917284
2008-03-06,328770019
2008-03-07,334018888
2008-03-10,334257472
2008-03-11,345709549
2008-03-12,332110208
2008-03-13,339744926
2008-03-14,332587378
2008-03-17,332587378
2008-03-18,339506341
2008-03-19,342369360
2008-03-20,359547474
2008-03-24,374339739
2008-03-25,381735872
2008-03-26,379350022
2008-03-27,359070304
2008-03-28,360024644
2008-03-31,363126248
2008-04-01,361960155
2008-04-02,356053494
2008-04-03,359597491
2008-04-04,357707359
2008-04-07,359124958
2008-04-08,361487622
2008-04-09,354399630
2008-04-10,356526027
2008-04-11,354635896
2008-04-14,334316984
2008-04-15,340223644
2008-04-16,352273232
2008-04-17,348729235
2008-04-18,355580962
2008-04-21,351800699
2008-04-22,342586309
2008-04-23,354635896
2008-04-24,356762294
2008-04-25,359361224
2008-04-28,361723889
2008-04-29,356762294
2008-04-30,350619367
2008-05-01,361487622
2008-05-02,359833757
2008-05-05,361960155
2008-05-06,356998560
2008-05-07,344948973
2008-05-08,341168710
2008-05-09,340223644
2008-05-12,354399630
2008-05-13,350619367
2008-05-14,356289761
2008-05-15,363377753
2008-05-16,367630549
2008-05-19,372355877
2008-05-20,377790005
2008-05-21,378262538
2008-05-22,380861469
2008-05-23,376844939
2008-05-27,376136140
2008-05-28,342586309
2008-05-29,346602838
2008-05-30,341641243
2008-06-02,345421506
2008-06-03,343767641
2008-06-04,345421506
2008-06-05,348492969
2008-06-06,347311637
2008-06-09,350146834
2008-06-10,350146834
2008-06-11,343058841
2008-06-12,343058841
2008-06-13,348256703
2008-06-16,349910568
2008-06-17,349674301
2008-06-18,342822575
2008-06-19,344948973
2008-06-20,343295108
2008-06-23,340223644
2008-06-24,342822575
2008-06-25,335262049
2008-06-26,319904732
2008-06-27,326520192
2008-06-30,311399141
2008-07-01,380222481
2008-07-02,373137590
2008-07-03,367528718
2008-07-07,348045268
2008-07-08,373137590
2008-07-09,356901382
2008-07-10,366052699
2008-07-11,378451258
2008-07-14,359263012
2008-07-15,328266614
2008-07-16,361329438
2008-07-17,373432794
2008-07-18,371956775
2008-07-21,367233514
2008-07-22,400886746
2008-07-23,399705931
2008-07-24,386126557
2008-07-25,379041666
2008-07-28,371956775
2008-07-29,388783391
2008-07-30,392916244
2008-07-31,389669002
2008-08-01,371956775
2008-08-04,362215050
2008-08-05,370480756
2008-08-06,369890348
2008-08-07,360443827
2008-08-08,377270443
2008-08-11,397049097
2008-08-12,389373799
2008-08-13,396753893
2008-08-14,396163486
2008-08-15,387307372
2008-08-18,389669002
2008-08-19,396753893
2008-08-20,395868282
2008-08-21,405314803
2008-08-22,415646936
2008-08-25,402362765
2008-08-26,411809287
2008-08-27,413285306
2008-08-28,420370196
2008-08-29,413285306
2008-09-02,406495618
2008-09-03,411809287
2008-09-04,393801855
2008-09-05,400591543
2008-09-08,398229912
2008-09-09,394392263
2008-09-10,389373799
2008-09-11,383469723
2008-09-12,388783391
2008-09-15,369595145
2008-09-16,371956775
2008-09-17,350111694
2008-09-18,379336870
2008-09-19,361919846
2008-09-22,361624642
2008-09-23,383174519
2008-09-24,384060130
2008-09-25,401772358
2008-09-26,391145021
2008-09-29,358672604
2008-09-30,378156054
2008-10-01,387413406
2008-10-02,373788776
2008-10-03,354832768
2008-10-06,330249196
2008-10-07,284340115
2008-10-08,258275604
2008-10-09,186302012
2008-10-10,318697879
2008-10-13,362829834
2008-10-14,366087898
2008-10-15,342689076
2008-10-16,370530712
2008-10-17,356313706
2008-10-20,363126022
2008-10-21,337357699
2008-10-22,306554186
2008-10-23,303592310
2008-10-24,313958877
2008-10-27,303296122
2008-10-28,354536581
2008-10-29,351574704
2008-10-30,356017519
2008-10-31,372604025
2008-11-03,370530712
2008-11-04,374677339
2008-11-05,354832768
2008-11-06,341800513
2008-11-07,315736002
2008-11-10,312477939
2008-11-11,304480873
2008-11-12,293521931
2008-11-13,309219875
2008-11-14,295595244
2008-11-17,296187620
2008-11-18,281674426
2008-11-19,275158298
2008-11-20,263310794
2008-11-21,284340115
2008-11-24,318401691
2008-11-25,320475004
2008-11-26,346539515
2008-11-28,373788776
2008-12-01,322844505
2008-12-02,350093766
2008-12-03,345058577
2008-12-04,321363567
2008-12-05,328472070
2008-12-08,326398757
2008-12-09,308627500
2008-12-10,316920753
2008-12-11,316032190
2008-12-12,332026322
2008-12-15,322548318
2008-12-16,332618697
2008-12-17,341504325
2008-12-18,327583507
2008-12-19,331433946
2008-12-22,341208138
2008-12-23,341504325
2008-12-24,344170014
2008-12-26,346539515
2008-12-29,337357699
2008-12-30,337653886
2008-12-31,354536581
2009-01-02,365052967
2009-01-05,386332738
2009-01-06,377641000
2009-01-07,371646699
2009-01-08,382136727
2009-01-09,356061515
2009-01-12,353364079
2009-01-13,356660945
2009-01-14,359658096
2009-01-15,356361230
2009-01-16,347369777
2009-01-20,321893995
2009-01-21,344072911
2009-01-22,328188012
2009-01-23,333283168
2009-01-26,326989152
2009-01-27,333882599
2009-01-28,348568638
2009-01-29,336879749
2009-01-30,324591431
2009-02-02,324891146
2009-02-03,326689437
2009-02-04,321893995
2009-02-05,319196560
2009-02-06,319196560
2009-02-09,324891146
2009-02-10,302112800
2009-02-11,286527616
2009-02-12,274239298
2009-02-13,267945281
2009-02-17,255057533
2009-02-18,259253544
2009-02-19,253259242
2009-02-20,245166935
2009-02-23,239472348
2009-02-24,248164086
2009-02-25,243968075
2009-02-26,246066080
2009-02-27,242469499
2009-03-02,229581751
2009-03-03,211299131
2009-03-04,225086025
2009-03-05,207702550
2009-03-06,197212522
2009-03-09,191218221
2009-03-10,218792008
2009-03-11,213696852
2009-03-12,230181181
2009-03-13,228682606
2009-03-16,224786310
2009-03-17,228083175
2009-03-18,261351549
2009-03-19,264948130
2009-03-20,246365795
2009-03-23,277835879
2009-03-24,276936733
2009-03-25,287426761
2009-03-26,291922487
2009-03-27,269743572
2009-03-30,254757818
2009-03-31,255357248
2009-04-01,259738018
2009-04-02,278042763
2009-04-03,274571173
2009-04-06,272677579
2009-04-07,261000414
2009-04-08,262262810
2009-04-09,284670343
2009-04-13,290982324
2009-04-14,279620758
2009-04-15,289719927
2009-04-16,288141932
2009-04-17,288457531
2009-04-20,259738018
2009-04-21,277727164
2009-04-22,250901244
2009-04-23,268259192
2009-04-24,270468385
2009-04-27,271730782
2009-04-28,271415183
2009-04-29,281829951
2009-04-30,286248338
2009-05-01,288773130
2009-05-04,292875918
2009-05-05,299503498
2009-05-06,295085111
2009-05-07,312758658
2009-05-08,330747804
2009-05-11,327591813
2009-05-12,315599050
2009-05-13,299819097
2009-05-14,307709073
2009-05-15,301397092
2009-05-18,312443059
2009-05-19,266996796
2009-05-20,260369216
2009-05-21,262262810
2009-05-22,266996796
2009-05-26,272361980
2009-05-27,258791220
2009-05-28,272993178
2009-05-29,268890390
2009-06-01,279620758
2009-06-02,286879536
2009-06-03,280883154
2009-06-04,291297923
2009-06-05,292244720
2009-06-08,292560319
2009-06-09,291613522
2009-06-10,291929121
2009-06-11,294769512
2009-06-12,295716309
2009-06-15,294769512
2009-06-16,294769512
2009-06-17,298241102
2009-06-18,300450295
2009-06-19,301081493
2009-06-22,286879536
2009-06-23,279305159
2009-06-24,292875918
2009-06-25,303606286
2009-06-26,320964233
2009-06-29,313389856
2009-06-30,290351126
2009-07-01,498049060
2009-07-02,495558814
2009-07-06,470656361
2009-07-07,456710988
2009-07-08,439279270
2009-07-09,443761712
2009-07-10,442765614
2009-07-13,462189527
2009-07-14,468166116
2009-07-15,480119293
2009-07-16,477130999
2009-07-17,486095882
2009-07-20,483605637
2009-07-21,469660263
2009-07-22,470656361
2009-07-23,468166116
2009-07-24,478625146
2009-07-27,484103686
2009-07-28,491076373
2009-07-29,497551010
2009-07-30,499543207
2009-07-31,499045158
2009-08-03,498049060
2009-08-04,501037354
2009-08-05,497052961
2009-08-06,497052961
2009-08-07,501535403
2009-08-10,498547109
2009-08-11,490578324
