,CDAY
2019-08-15,7199008893
2019-08-16,7230420674
2019-08-19,7483142723
2019-08-20,7721586691
2019-08-21,8097100245
2019-08-22,8289854351
2019-08-23,8147073532
2019-08-26,8182768736
2019-08-27,8134223258
2019-08-28,8169918463
2019-08-29,8325549555
2019-08-30,8248447913
2019-09-03,8010003945
2019-09-04,8202758051
2019-09-05,7881501208
2019-09-06,7748715047
2019-09-09,7524549161
2019-09-10,7384623958
2019-09-11,7394618616
2019-09-12,7477431491
2019-09-13,7394618616
2019-09-16,7408896697
2019-09-17,7483142723
2019-09-18,7474575874
2019-09-19,7394618616
2019-09-20,7408896697
2019-09-23,7377484917
2019-09-24,7079073006
2019-09-25,7181875195
2019-09-26,7183303003
2019-09-27,6997687939
2019-09-30,7112551404
2019-10-01,7106788753
2019-10-02,6861876106
2019-10-03,6871960745
2019-10-04,6958400502
2019-10-07,7082297489
2019-10-08,6952637852
2019-10-09,7070772188
2019-10-10,7034755622
2019-10-11,7119754717
2019-10-14,7083738151
2019-10-15,7167296584
2019-10-16,6655861350
2019-10-17,6573743580
2019-10-18,6445524606
2019-10-21,6537727014
2019-10-22,6147307442
2019-10-23,6215018585
2019-10-24,6500269786
2019-10-25,6654420687
2019-10-28,6655861350
2019-10-29,6485863160
2019-10-30,6544930328
2019-10-31,6951197189
2019-11-01,7132720681
2019-11-04,7171618572
2019-11-05,7203313150
2019-11-06,7249414354
2019-11-07,7207635137
2019-11-08,7943813741
2019-11-11,7779578202
2019-11-12,7940932416
2019-11-13,7729155009
2019-11-14,7935169766
2019-11-15,8145506510
2019-11-18,8311182712
2019-11-19,8450926987
2019-11-20,8489824878
2019-11-21,8293894760
2019-11-22,8409147771
2019-11-25,8592111925
2019-11-26,8651179093
2019-11-27,8720330899
2019-11-29,8695839634
2019-12-02,8697280297
2019-12-03,8870159812
2019-12-04,8873041138
2019-12-05,8923464330
2019-12-06,8999819449
2019-12-09,8896091740
2019-12-10,8929226980
2019-12-11,8937870956
2019-12-12,8870159812
2019-12-13,9005582100
2019-12-16,9104987821
2019-12-17,9100665833
2019-12-18,9277867337
2019-12-19,9368629082
2019-12-20,9468034804
2019-12-23,9576084501
2019-12-24,9613541729
2019-12-26,9772014619
2019-12-27,9774895944
2019-12-30,9797946546
2019-12-31,9818524661
2020-01-02,10128065656
2020-01-03,10054296540
2020-01-06,10039832008
2020-01-07,10141083735
2020-01-08,10180137973
2020-01-09,10339247831
2020-01-10,10340694284
2020-01-13,10501250595
2020-01-14,10479553796
2020-01-15,10609734588
2020-01-16,10533072566
2020-01-17,10520054487
2020-01-21,10446285371
2020-01-22,10486786062
2020-01-23,10498357688
2020-01-24,10353712363
2020-01-27,10339247831
2020-01-28,10540304832
2020-01-29,10514268674
2020-01-30,10823809669
2020-01-31,10601055869
2020-02-03,10855631641
2020-02-04,11266424364
2020-02-05,10621306214
2020-02-06,9529234011
2020-02-07,9678218695
2020-02-10,9993545504
2020-02-11,9912544122
2020-02-12,10099136591
2020-02-13,10467982170
2020-02-14,10657467546
2020-02-18,10721111489
2020-02-19,10920722037
2020-02-20,10877328440
2020-02-21,10841167108
2020-02-24,10710986316
2020-02-25,10572126804
2020-02-26,10680610798
2020-02-27,10478107343
2020-02-28,10230763837
2020-03-02,10734129568
2020-03-03,10048510727
2020-03-04,10405784680
2020-03-05,9895186683
2020-03-06,9592877953
2020-03-09,8954992070
2020-03-10,9088065769
2020-03-11,8191264754
2020-03-12,7032655701
2020-03-13,7962725141
2020-03-16,6879331657
2020-03-17,7094853191
2020-03-18,6386091098
2020-03-19,6639220417
2020-03-20,6908260722
2020-03-23,6757829584
2020-03-24,7207676544
2020-03-25,7274213394
2020-03-26,7556271778
2020-03-27,7036995061
2020-03-30,7436216158
2020-03-31,7289842461
2020-04-01,6697278874
2020-04-02,6301265862
2020-04-03,5708702274
2020-04-06,6474521554
2020-04-07,6620114573
2020-04-08,7209766300
2020-04-09,7847463724
2020-04-13,7716430007
2020-04-14,7969761860
2020-04-15,7643633497
2020-04-16,7301489902
2020-04-17,7800873958
2020-04-20,7770299424
2020-04-21,7332064436
2020-04-22,7525703152
2020-04-23,7498040478
2020-04-24,7515511640
2020-04-27,7926083954
2020-04-28,7850375584
2020-04-29,8710830326
2020-04-30,8585620330
2020-05-01,8255124177
2020-05-04,8534662773
2020-05-05,8744316721
2020-05-06,9007840085
2020-05-07,9389293795
2020-05-08,9501400419
2020-05-11,9630978206
2020-05-12,9441707282
2020-05-13,8857879275
2020-05-14,8971441830
2020-05-15,9213126242
2020-05-18,9446075072
2020-05-19,9376190423
2020-05-20,9495576699
2020-05-21,9348527749
2020-05-22,9233509264
2020-05-26,9504312280
2020-05-27,9817337271
2020-05-28,9888677850
2020-05-29,10026991218
2020-06-01,10455034694
2020-06-02,10484153298
2020-06-03,10993728864
2020-06-04,10833576543
2020-06-05,11928436046
2020-06-08,12210886503
2020-06-09,11069437234
2020-06-10,11264531880
2020-06-11,10261395979
2020-06-12,10571509109
2020-06-15,11085452466
2020-06-16,11146601534
2020-06-17,11172808278
2020-06-18,11413036759
2020-06-19,11287826763
2020-06-22,11462538385
2020-06-23,11743532912
2020-06-24,11414492689
2020-06-25,11611043265
2020-06-26,11634338148
2020-06-29,11397021527
2020-06-30,11663899015
2020-07-01,12380477648
2020-07-02,12458462592
2020-07-06,12418734413
2020-07-07,12323092501
2020-07-08,12505547840
2020-07-09,12557047332
2020-07-10,12234807659
2020-07-13,11597685384
2020-07-14,11684498812
2020-07-15,12028809695
2020-07-16,11896382432
2020-07-17,12108266052
2020-07-20,12139165747
2020-07-21,11855182839
2020-07-22,11875782636
2020-07-23,11434358427
2020-07-24,11379916108
2020-07-27,11712455678
2020-07-28,11696270124
2020-07-29,12019981211
2020-07-30,11618285180
2020-07-31,11519700440
2020-08-03,12105323224
2020-08-04,12130337263
2020-08-05,12399606030
2020-08-06,10962034523
2020-08-07,10360226185
2020-08-10,10189542157
2020-08-11,10329326490
2020-08-12,10285184069
2020-08-13,10719251208
2020-08-14,10717779794
2020-08-17,10948791797
2020-08-18,10923777758
2020-08-19,10950263211
2020-08-20,11178332385
2020-08-21,10917892102
2020-08-24,10922306344
2020-08-25,11038548053
2020-08-26,11272502883
2020-08-27,11324002374
2020-08-28,11602099626
2020-08-31,11700684366
2020-09-01,12312792603
2020-09-02,12190665238
2020-09-03,10879635337
2020-09-04,10691294341
2020-09-08,11256317329
2020-09-09,11438772669
2020-09-10,11216589150
2020-09-11,10819307362
2020-09-14,11076804817
2020-09-15,11300459750
2020-09-16,11478500848
2020-09-17,11122418652
2020-09-18,11040019467
2020-09-21,11219531978
2020-09-22,11532943167
2020-09-23,11232774705
2020-09-24,11193046526
2020-09-25,11713927092
2020-09-28,12096494740
2020-09-29,12131808677
2020-09-30,12239372201
2020-10-01,12362284227
2020-10-02,12483715385
2020-10-05,13068658158
2020-10-06,12643649105
2020-10-07,13031636464
2020-10-08,13015346918
2020-10-09,13212302333
2020-10-12,13153067621
2020-10-13,13332252623
2020-10-14,13246362292
2020-10-15,13318924813
2020-10-16,13326329152
2020-10-19,13191570184
2020-10-20,13105679853
2020-10-21,13179723242
2020-10-22,13262651837
2020-10-23,13655081799
2020-10-26,13150105886
2020-10-27,13156029357
2020-10-28,13123450266
2020-10-29,13065696422
2020-10-30,12768041999
2020-11-02,12452617162
2020-11-03,12913167041
2020-11-04,13612136633
2020-11-05,13481820269
2020-11-06,13923118867
2020-11-09,13960140562
2020-11-10,14016413537
2020-11-11,14364417466
2020-11-12,14271122795
2020-11-13,14195598539
2020-11-16,14056396967
2020-11-17,14383668747
2020-11-18,14318510564
2020-11-19,14416247838
2020-11-20,14242986308
2020-11-23,14281488870
2020-11-24,14054916099
2020-11-25,14226696762
2020-11-27,14718344865
2020-11-30,14278527134
2020-12-01,14074167381
2020-12-02,13905348454
2020-12-03,14028260479
2020-12-04,14426613912
2020-12-07,14294816680
2020-12-08,14709459658
2020-12-09,14345166184
2020-12-10,14361455730
2020-12-11,14493252962
2020-12-14,14623569327
2020-12-15,14543602467
2020-12-16,14380707011
2020-12-17,14422171309
2020-12-18,14460673871
2020-12-21,14633935401
2020-12-22,16055568470
2020-12-23,16313239464
2020-12-24,16298430786
2020-12-28,15796416609
2020-12-29,15854170452
2020-12-30,15608346401
2020-12-31,15847182288
2021-01-04,15247856606
2021-01-05,15038166976
2021-01-06,14774939567
2021-01-07,15424828706
2021-01-08,15722260806
2021-01-11,15192831668
2021-01-12,15134832408
2021-01-13,14782375370
2021-01-14,15005449445
2021-01-15,15056012902
2021-01-19,15163088458
2021-01-20,15853130930
2021-01-21,15406982780
2021-01-22,15636005497
2021-01-25,15051551420
2021-01-26,14486430430
2021-01-27,14031359317
2021-01-28,14223203022
2021-01-29,13817208205
2021-02-01,14294586726
2021-02-02,14663402530
2021-02-03,14709504505
2021-02-04,15169037100
2021-02-05,15145242532
2021-02-08,15169037100
2021-02-09,15575031916
2021-02-10,13534647710
2021-02-11,14242536108
2021-02-12,14531045245
2021-02-16,14480481788
2021-02-17,14261869195
2021-02-18,14304996849
2021-02-19,14310945491
2021-02-22,13875207465
2021-02-23,13723517094
2021-02-24,13409726228
2021-02-25,12905578819
2021-02-26,13333881043
2021-03-01,13818695366
2021-03-02,13329419561
2021-03-03,12718196596
2021-03-04,12316663260
2021-03-05,12533788694
2021-03-08,12038564247
2021-03-09,12695889188
2021-03-10,12683991904
2021-03-11,13095935363
2021-03-12,12960603757
2021-03-15,13421623512
2021-03-16,13118242770
2021-03-17,13237215610
2021-03-18,12300304495
2021-03-19,12340457829
2021-03-22,12527840052
2021-03-23,12459430669
2021-03-24,12016256840
2021-03-25,12040051408
2021-03-26,12431174619
2021-03-29,12144152643
2021-03-30,12181331655
2021-03-31,12580991306
2021-04-01,12627272395
2021-04-05,12988563471
2021-04-06,12922874184
2021-04-07,12915409492
2021-04-08,13346868670
2021-04-09,13385685066
2021-04-12,13560358851
2021-04-13,13829087750
2021-04-14,13697709177
2021-04-15,14187392949
2021-04-16,14024662672
2021-04-19,13755933772
2021-04-20,13593203494
2021-04-21,13881340592
2021-04-22,13966438077
2021-04-23,14066464945
2021-04-26,14127675416
2021-04-27,14354602042
2021-04-28,14665133215
2021-04-29,14502402937
2021-04-30,14105281341
2021-05-03,13894777037
2021-05-04,13402107388
2021-05-05,13302080520
2021-05-06,13258785308
2021-05-07,13048281004
2021-05-10,12530231403
2021-05-11,12960197642
2021-05-12,12525752588
2021-05-13,12704905188
2021-05-14,13184138392
2021-05-17,13113970290
2021-05-18,13167716070
2021-05-19,13001999915
2021-05-20,13308052273
2021-05-21,13112477352
2021-05-24,13331939286
2021-05-25,13193096022
2021-05-26,13381206251
2021-05-27,13373741560
2021-05-28,13355826300
2021-06-01,13218475973
2021-06-02,12993042285
2021-06-03,12651159408
2021-06-04,12903465986
2021-06-07,12855691959
2021-06-08,12851213144
2021-06-09,12870621342
2021-06-10,13094562092
2021-06-11,13258785308
2021-06-14,13306559335
2021-06-15,12621300641
2021-06-16,12795974426
2021-06-17,13294615828
2021-06-18,13630526952
2021-06-21,13796243107
2021-06-22,14033620302
2021-06-23,14338179721
2021-06-24,14481501801
2021-06-25,14638260325
2021-06-28,14795018850
2021-06-29,14924904485
2021-06-30,14431221072
2021-07-01,14459806685
2021-07-02,14726104238
2021-07-06,14929212541
2021-07-07,14869032303
2021-07-08,14760707875
2021-07-09,14927708035
2021-07-12,14467329215
2021-07-13,14419185024
2021-07-14,14444761625
2021-07-15,14352986763
2021-07-16,14339446209
2021-07-19,14390599411
2021-07-20,14683978072
2021-07-21,14655392458
2021-07-22,14864518786
2021-07-23,15097717208
2021-07-26,14983374756
2021-07-27,14807347559
2021-07-28,14832924161
2021-07-29,14762212381
2021-07-30,14804338548
2021-08-02,14822392619
2021-08-03,14679464554
2021-08-04,15045059500
2021-08-05,14855491750
2021-08-06,15421185987
2021-08-09,16007943308
2021-08-10,15907141409
2021-08-11,15857492713
2021-08-12,16132817301
2021-08-13,16004934296
2021-08-16,16010952319
2021-08-17,15889087337
2021-08-18,15862006230
2021-08-19,15830411605
2021-08-20,15977853189
2021-08-23,16290790426
2021-08-24,16442745527
2021-08-25,16511952801
2021-08-26,16445754539
2021-08-27,16662403396
2021-08-30,16767718812
2021-08-31,16903124348
2021-09-01,17034016365
2021-09-02,17161899371
2021-09-03,17446250996
2021-09-07,17468818585
2021-09-08,17032511859
2021-09-09,16903124348
2021-09-10,16526997860
2021-09-13,16511952801
2021-09-14,16092195641
2021-09-15,16189988527
2021-09-16,16424691456
2021-09-17,16423186950
2021-09-20,15970330659
2021-09-21,15932718010
2021-09-22,16337430111
2021-09-23,16991890199
2021-09-24,17289782377
2021-09-27,17438728466
2021-09-28,17000917235
2021-09-29,16997908223
2021-09-30,17058021185
2021-10-01,17353378504
2021-10-04,16965627356
2021-10-05,17162532236
2021-10-06,17586635054
2021-10-07,17953181060
2021-10-08,18009223218
2021-10-11,17718409858
2021-10-12,18165232469
2021-10-13,18605996469
2021-10-14,18578732716
2021-10-15,18542381046
2021-10-18,18695360991
2021-10-19,18889236565
2021-10-20,18798357390
2021-10-21,19370896193
2021-10-22,19398159946
2021-10-25,19537508015
2021-10-26,19298192853
2021-10-27,18933161500
2021-10-28,19033128592
2021-10-29,18971027823
2021-11-01,19239121389
2021-11-02,19738956853
2021-11-03,19419365087
2021-11-04,18425752771
2021-11-05,18701419603
2021-11-08,18778666902
2021-11-09,18398489019
2021-11-10,18027399053
2021-11-11,18168261775
2021-11-12,18084955864
2021-11-15,18228847892
2021-11-16,18280346091
2021-11-17,17869875150
2021-11-18,17551798036
2021-11-19,17400332744
2021-11-22,16889894710
2021-11-23,16711165666
2021-11-24,17059535837
2021-11-26,16865660264
2021-11-29,17111034037
2021-11-30,16570302944
2021-12-01,15885679824
2021-12-02,16382485982
2021-12-03,15914458230
2021-12-06,15719068003
2021-12-07,16185581103
2021-12-08,16444586752
2021-12-09,15775110161
2021-12-10,15731185227
2021-12-13,15611527646
2021-12-14,15534280347
2021-12-15,15678172374
2021-12-16,15187424828
2021-12-17,15426739990
2021-12-20,14869347715
2021-12-21,15449459784
2021-12-22,15522163124
2021-12-23,15735729185
2021-12-27,16096216580
2021-12-28,15943236635
2021-12-29,15929604759
2021-12-30,15855386766
2021-12-31,15890888813
2022-01-03,15963908405
2022-01-04,15299125866
2022-01-05,14139939835
2022-01-06,13729204627
2022-01-07,13625760205
2022-01-10,13645536344
2022-01-11,14071483967
2022-01-12,13686609865
2022-01-13,12973147597
2022-01-14,12600443427
2022-01-18,12166889596
2022-01-19,12078657589
2022-01-20,11988904340
2022-01-21,11611636445
2022-01-24,11812440325
2022-01-25,11036607155
2022-01-26,10533076215
2022-01-27,10428110551
2022-01-28,10933162732
2022-01-31,11534053128
2022-02-01,11890023642
2022-02-02,11865683778
2022-02-03,11404747600
2022-02-04,11745505698
2022-02-07,11705953419
2022-02-08,11759196872
2022-02-09,12323577472
2022-02-10,11692262245
2022-02-11,10930120249
2022-02-14,10641084362
2022-02-15,10907301626
2022-02-16,10809942170
2022-02-17,10495045177
2022-02-18,10169499494
2022-02-22,10303368747
2022-02-23,9980865547
2022-02-24,10774953615
2022-02-25,10930120249
2022-02-28,11091371849
2022-03-01,10777996098
2022-03-02,10805378445
2022-03-03,10574149736
2022-03-04,10149723354
2022-03-07,9669011037
2022-03-08,9670532279
2022-03-09,10046278932
2022-03-10,9742030630
2022-03-11,9337380388
2022-03-14,9039217052
2022-03-15,9404315014
2022-03-16,9717690765
2022-03-17,10034108999
2022-03-18,10724752645
2022-03-21,10250125294
2022-03-22,10511778834
2022-03-23,10339878543
2022-03-24,10558937320
2022-03-25,10248604052
2022-03-28,10362697166
2022-03-29,10812984653
2022-03-30,10530033732
2022-03-31,10442151944
2022-04-01,10542968508
2022-04-04,10712523637
2022-04-05,10029720548
2022-04-06,9803647042
2022-04-07,9592848773
2022-04-08,9383578027
2022-04-11,9432458785
2022-04-12,9377467932
2022-04-13,9504252399
2022-04-14,9261376132
2022-04-18,9100986145
2022-04-19,9366775267
2022-04-20,9091821002
2022-04-21,8879495209
2022-04-22,8664114369
2022-04-25,8951288823
2022-04-26,8583155614
2022-04-27,8561770282
2022-04-28,8855054830
2022-04-29,8573990471
2022-05-02,8757293314
2022-05-03,8731325412
2022-05-04,9354555077
2022-05-05,8625926277
2022-05-06,8384577534
2022-05-09,8008806706
2022-05-10,7993531469
2022-05-11,7672751494
2022-05-12,7932430522
2022-05-13,8615233611
2022-05-16,8376939915
2022-05-17,8752710743
2022-05-18,8451788576
2022-05-19,8500669334
2022-05-20,8645784085
2022-05-23,8567880377
2022-05-24,8216549928
2022-05-25,8355554584
2022-05-26,8676334559
2022-05-27,8847417212
2022-05-31,8599958374
2022-06-01,8216549928
2022-06-02,8729797888
2022-06-03,8428875721
2022-06-06,8564825329
2022-06-07,8654949227
2022-06-08,8691609796
2022-06-09,8418183055
2022-06-10,7998114040
2022-06-13,7188526485
2022-06-14,6898296984
2022-06-15,7211439340
2022-06-16,6728741854
2022-06-17,6872329081
2022-06-21,6838723560
2022-06-22,6876911652
2022-06-23,7374884375
2022-06-24,7880494716
2022-06-27,7755237774
2022-06-28,7437512846
2022-06-29,7411544943
2022-06-30,7211942549
2022-07-01,7291598669
2022-07-05,7790981267
2022-07-06,7666901542
2022-07-07,7922720235
2022-07-08,7996248961
2022-07-11,7790981267
2022-07-12,7441719818
2022-07-13,7424869485
2022-07-14,7392700667
2022-07-15,7620946088
2022-07-18,7558140301
2022-07-19,7823150085
2022-07-20,8443548711
2022-07-21,8514013740
2022-07-22,8302618653
2022-07-25,8175475231
2022-07-26,7850723357
2022-07-27,8271981684
2022-07-28,8373083682
2022-07-29,8389934015
2022-08-01,8514013740
2022-08-02,8466526438
2022-08-03,9004205247
2022-08-04,9938632808
2022-08-05,9963142383
2022-08-08,10110199836
2022-08-09,10264916530
2022-08-10,10464056830
2022-08-11,10263384682
2022-08-12,10617241676
2022-08-15,10745916946
2022-08-16,10676983766
2022-08-17,10378273316
2022-08-18,10182196713
2022-08-19,9932505414
2022-08-22,9590903208
2022-08-23,9549543299
2022-08-24,9690473357
2022-08-25,9829871567
2022-08-26,9376444423
2022-08-29,9249301001
2022-08-30,9221727729
2022-08-31,9135944215
2022-09-01,8898507704
2022-09-02,8898507704
2022-09-06,9145135306
2022-09-07,9443845755
2022-09-08,9613880934
2022-09-09,9737960660
2022-09-12,9764002084
2022-09-13,9232450668
2022-09-14,9393294756
2022-09-15,9223259577
2022-09-16,9028714823
2022-09-19,9063947337
2022-09-20,8858679644
2022-09-21,8783619069
2022-09-22,8497163407
2022-09-23,8392997712
2022-09-26,8311809743
2022-09-27,8521672982
2022-09-28,8835701917
2022-09-29,8670262283
2022-09-30,8587640858
2022-10-03,8801256119
2022-10-04,9331452271
2022-10-05,9459006708
2022-10-06,9572729940
2022-10-07,9165477824
2022-10-10,8838139330
2022-10-11,8610692865
2022-10-12,8556904849
2022-10-13,8521558439
2022-10-14,7968310281
2022-10-17,8609156064
2022-10-18,8962620166
2022-10-19,8735173700
2022-10-20,8572272854
2022-10-21,8899611348
2022-10-24,9219265839
2022-10-25,9752535592
2022-10-26,9732557186
2022-10-27,9829375614
2022-10-28,10135198901
2022-10-31,10172082112
2022-11-01,10058358879
2022-11-02,9520478725
2022-11-03,9746388390
2022-11-04,9306863464
2022-11-07,8825844926
2022-11-08,8916516152
2022-11-09,8532316042
2022-11-10,9721799583
2022-11-11,10035306873
2022-11-14,10313467752
2022-11-15,11169465597
2022-11-16,10736087873
2022-11-17,10268900540
2022-11-18,10032233272
2022-11-21,9821691612
2022-11-22,10049138077
2022-11-23,10278121342
2022-11-25,10311930952
2022-11-28,9975371656
2022-11-29,9852427620
2022-11-30,10517862211
2022-12-01,10948166334
2022-12-02,10714572667
2022-12-05,9916973239
2022-12-06,9643422761
2022-12-07,9631128357
2022-12-08,10115220496
