,NE
2021-11-02,1798478650
2021-11-03,1781153550
2021-11-04,1818469150
2021-11-05,1862448250
2021-11-08,1921753400
2021-11-09,1903761950
2021-11-10,1751834150
2021-11-11,1714518550
2021-11-12,1787150700
2021-11-15,1741838900
2021-11-16,1768492900
2021-11-17,1745837000
2021-11-18,1726512850
2021-11-19,1702524250
2021-11-22,1705189650
2021-11-23,1705856000
2021-11-24,1696527100
2021-11-26,1508616400
2021-11-29,1549930100
2021-11-30,1556593600
2021-12-01,1541267550
2021-12-02,1522609750
2021-12-03,1530605950
2021-12-06,1553261850
2021-12-07,1571919650
2021-12-08,1585913000
2021-12-09,1539934850
2021-12-10,1580582200
2021-12-13,1565922500
2021-12-14,1526607850
2021-12-15,1537269450
2021-12-16,1530605950
2021-12-17,1533937700
2021-12-20,1519278000
2021-12-21,1591910150
2021-12-22,1643219100
2021-12-23,1673204850
2021-12-27,1713852200
2021-12-28,1684532800
2021-12-29,1658545150
2021-12-30,1641886400
2021-12-31,2032584060
2022-01-03,2141545640
2022-01-04,2163665660
2022-01-05,2136630079
2022-01-06,2161207880
2022-01-07,2157111580
2022-01-10,2171858260
2022-01-11,2207905700
2022-01-12,2193978280
2022-01-13,2155473060
2022-01-14,2139907120
2022-01-18,2131714520
2022-01-19,2138268600
2022-01-20,2070270020
2022-01-21,1992440320
2022-01-24,2039957400
2022-01-25,2092390040
2022-01-26,2128437480
2022-01-27,2083378180
2022-01-28,2044872960
2022-01-31,2022752940
2022-02-01,2153015280
2022-02-02,2125979700
2022-02-03,2094847820
2022-02-04,2212002000
2022-02-07,2116967840
2022-02-08,2077643360
2022-02-09,2115329320
2022-02-10,2074366320
2022-02-11,2115329320
2022-02-14,2084197440
2022-02-15,2121064140
2022-02-16,2158750100
2022-02-17,2212002000
2022-02-18,2198074580
2022-02-22,2112052280
2022-02-23,2096486340
2022-02-24,2112052280
2022-02-25,2141545640
2022-02-28,2114510060
2022-03-01,2195616800
2022-03-02,2293928000
2022-03-03,2403708840
2022-03-04,2483996320
2022-03-07,2593777160
2022-03-08,2539706000
2022-03-09,2453683700
2022-03-10,2533151920
2022-03-11,2652763880
2022-03-14,2462695560
2022-03-15,2449587400
2022-03-16,2434021460
2022-03-17,2609343100
2022-03-18,2647029060
2022-03-21,2756809900
2022-03-22,2698642440
2022-03-23,2712569860
2022-03-24,2809242540
2022-03-25,2994395300
2022-03-28,2964082680
2022-03-29,2855940360
2022-03-30,2837097380
2022-03-31,2446104450
2022-04-01,2414699400
2022-04-04,2421678300
2022-04-05,2377013340
2022-04-06,2367940770
2022-04-07,2337931500
2022-04-08,2405626830
2022-04-11,2340025170
2022-04-12,2321182140
2022-04-13,2348399850
2022-04-14,2370732330
2022-04-18,2397252150
2022-04-19,2360263980
2022-04-20,2363055540
2022-04-21,2201842950
2022-04-22,2197655610
2022-04-25,2153688540
2022-04-26,2127168720
2022-04-27,2156480100
2022-04-28,2245112130
2022-04-29,2228362770
2022-05-02,2151594870
2022-05-03,2304432780
2022-05-04,2347004070
2022-05-05,2358170310
2022-05-06,2359566090
2022-05-09,2212311300
2022-05-10,2143220190
2022-05-11,2210217630
2022-05-12,2264653050
2022-05-13,2417490960
2022-05-16,2477509500
2022-05-17,2437729770
2022-05-18,2296058100
2022-05-19,2278610850
2022-05-20,2226966990
2022-05-23,2326067370
2022-05-24,2340025170
2022-05-25,2471926380
2022-05-26,2574516210
2022-05-27,2603129700
2022-05-31,2531944920
2022-06-01,2601036030
2022-06-02,2575214100
2022-06-03,2517289230
2022-06-06,2561256300
2022-06-07,2591265570
2022-06-08,2635232640
2022-06-09,2441219220
2022-06-10,2397252150
2022-06-13,2243018460
2022-06-14,2217894420
2022-06-15,2222779650
2022-06-16,2171833680
2022-06-17,2194166160
2022-06-21,2230456440
2022-06-22,2029464120
2022-06-23,1886396670
2022-06-24,1854991620
2022-06-27,1961768790
2022-06-28,1924780620
2022-06-29,1888490340
2022-06-30,2076535971
2022-07-01,2083908288
2022-07-05,1998717069
2022-07-06,1924993899
2022-07-07,2170737801
2022-07-08,2245280117
2022-07-11,2113397557
2022-07-12,2088823167
2022-07-13,2092918898
2022-07-14,2031482923
2022-07-15,2089642313
2022-07-18,2106025240
2022-07-19,2180567557
2022-07-20,2212514264
2022-07-21,2175652679
2022-07-22,2159269752
2022-07-25,2264120483
2022-07-26,2257567313
2022-07-27,2361598898
2022-07-28,2384534995
2022-07-29,2457439020
2022-08-01,2342758532
2022-08-02,2534438775
2022-08-03,2508226093
2022-08-04,2414024263
2022-08-05,2442694385
2022-08-08,2442694385
2022-08-09,2536077068
2022-08-10,2537715361
2022-08-11,2643385239
2022-08-12,2690076580
2022-08-15,2586864141
2022-08-16,2491843166
2022-08-17,2532800483
2022-08-18,2681885117
2022-08-19,2645842678
2022-08-22,2549183410
2022-08-23,2575396092
2022-08-24,2595874751
2022-08-25,2587683288
2022-08-26,2513960117
2022-08-29,2546725971
2022-08-30,2463992190
2022-08-31,2486109141
2022-09-01,2414843410
2022-09-02,2547545117
2022-09-06,2528704751
2022-09-07,2511502678
2022-09-08,2574576946
2022-09-09,2699906336
2022-09-12,2811310238
2022-09-13,2769533775
2022-09-14,2813767677
2022-09-15,2848171824
2022-09-16,2655672434
2022-09-19,2604885361
2022-09-20,2519694141
2022-09-21,2454981580
2022-09-22,2413205117
2022-09-23,2282141703
2022-09-26,2218248288
2022-09-27,2260024752
2022-09-28,2365694629
2022-09-29,2432864629
2022-09-30,3902311920
2022-10-03,3962996960
2022-10-04,4090963240
2022-10-05,4019724280
2022-10-06,3940569880
2022-10-07,3955081520
2022-10-10,3747960840
2022-10-11,3828434480
2022-10-12,3957720000
2022-10-13,4240037360
2022-10-14,4126582720
2022-10-17,4295445440
2022-10-18,4292806960
2022-10-19,4390430720
2022-10-20,4344257320
2022-10-21,4502566120
2022-10-24,4610743800
2022-10-25,4729475400
2022-10-26,4671428840
2022-10-27,4619978480
2022-10-28,4684621240
2022-10-31,4754540960
2022-11-01,4612063040
2022-11-02,4621297720
2022-11-03,4900976600
2022-11-04,5034219840
2022-11-07,5250575200
2022-11-08,5377222240
2022-11-09,5141078280
2022-11-10,5344241240
2022-11-11,5426034120
2022-11-14,5400968560
2022-11-15,5390414640
2022-11-16,5255852160
2022-11-17,5147674480
2022-11-18,5047412240
2022-11-21,4878549520
2022-11-22,4943192280
2022-11-23,4861399400
2022-11-25,4808629800
2022-11-28,4707048320
2022-11-29,4728156160
2022-11-30,4898338120
2022-12-01,4923403680
2022-12-02,4964300120
2022-12-05,4774329560
2022-12-06,4745306280
2022-12-07,4688578960
2022-12-08,4626574680
2022-12-09,4534227880
2022-12-12,4544781800
2022-12-13,4641086320
2022-12-14,4655597960
2022-12-15,4547420280
2022-12-16,4550058760
2022-12-19,4575124320
2022-12-20,4754540960
2022-12-21,4829737640
2022-12-22,4844249280
2022-12-23,5005196560
2022-12-27,4968257840
2022-12-28,4841610800
2022-12-29,4986727200
2022-12-30,4974854040
2023-01-03,4864511100
2023-01-04,4852383510
2023-01-05,4844298450
2023-01-06,4979049450
2023-01-09,5030254830
2023-01-10,5136708120
2023-01-11,5101672860
2023-01-12,5255289000
2023-01-13,5276849160
2023-01-17,5468195580
2023-01-18,5352309720
2023-01-19,5419685220
2023-01-20,5438550360
2023-01-23,5380607430
2023-01-24,5434507830
2023-01-25,5460110520
2023-01-26,5520748470
2023-01-27,5526138510
2023-01-30,5430465300
2023-01-31,5483018190
2023-02-01,5437202850
2023-02-02,5245856430
2023-02-03,5297061810
2023-02-06,5346919680
2023-02-07,5457415500
2023-02-08,5689187220
2023-02-09,5691882240
2023-02-10,5753867700
2023-02-13,5807768100
2023-02-14,5865711030
2023-02-15,5864363520
2023-02-16,5794293000
2023-02-17,5629896780
2023-02-21,5360394780
2023-02-22,5175785910
2023-02-23,5125928040
2023-02-24,5170395870
2023-02-27,5605641600
2023-02-28,5617769190
2023-03-01,5857625970
2023-03-02,5962731750
2023-03-03,5999114520
2023-03-06,6097482750
2023-03-07,5840108340
2023-03-08,5736350070
2023-03-09,5507273370
2023-03-10,5373869880
2023-03-13,5240466390
2023-03-14,5349614700
2023-03-15,5043729930
2023-03-16,5070680130
2023-03-17,4764795360
2023-03-20,5146140690
2023-03-21,5356352250
2023-03-22,5198693580
2023-03-23,5028907320
2023-03-24,5027559810
2023-03-27,5252593980
2023-03-28,5364437310
2023-03-29,5381954940
2023-03-30,5268764100
2023-03-31,5449149260
2023-04-03,5649333360
2023-04-04,5422918240
2023-04-05,5309710680
2023-04-06,5222734140
2023-04-10,5334561120
2023-04-11,5346986340
2023-04-12,5533364640
2023-04-13,5558215080
2023-04-14,5527842320
2023-04-17,5601013060
2023-04-18,5537506380
2023-04-19,5293143720
2023-04-20,5184077900
2023-04-21,5204786600
2023-04-24,5402209540
2023-04-25,5225495300
2023-04-26,5017027720
2023-04-27,5084676140
2023-04-28,5308330100
2023-05-01,5283479660
2023-05-02,4978371480
2023-05-03,4905200740
2023-05-04,5065348020
2023-05-05,5120571220
2023-05-08,5113668320
2023-05-09,5072250920
2023-05-10,5121951800
2023-05-11,4936954080
2023-05-12,5139899340
2023-05-15,5164749780
2023-05-16,5081914980
2023-05-17,5188219640
2023-05-18,5208928340
2023-05-19,5173033260
2023-05-22,5446388100
2023-05-23,5407731860
2023-05-24,5520939420
2023-05-25,5447768680
2023-05-26,5534745220
2023-05-30,5497469560
2023-05-31,5210308920
2023-06-01,5540267540
2023-06-02,5632766400
2023-06-05,5548551020
2023-06-06,5453291000
2023-06-07,5638288720
2023-06-08,5576162620
2023-06-09,5522320000
2023-06-12,5164749780
2023-06-13,5146802240
2023-06-14,5324897060
2023-06-15,5346986340
2023-06-16,5337322280
2023-06-20,5406351280
2023-06-21,5387023160
2023-06-22,5266912700
2023-06-23,5041878160
2023-06-26,5290382560
2023-06-27,5240681680
2023-06-28,5199264280
2023-06-29,5396687220
2023-06-30,5758614000
2023-07-03,5907772000
2023-07-05,6058324000
2023-07-06,6094568000
2023-07-07,6438886000
2023-07-10,6491858000
2023-07-11,6657744000
2023-07-12,6751142000
2023-07-13,6876602000
2023-07-14,6773446000
2023-07-17,6850116000
2023-07-18,7247406000
2023-07-19,7109400000
2023-07-20,7048064000
2023-07-21,7142856000
2023-07-24,7252982000
2023-07-25,7300378000
2023-07-26,7110794000
2023-07-27,7169342000
2023-07-28,7236254000
2023-07-31,7286438000
2023-08-01,7241830000
2023-08-02,7206980000
2023-08-03,7343592000
2023-08-04,7328258000
2023-08-07,7206980000
2023-08-08,7282256000
2023-08-09,7310136000
2023-08-10,7264134000
2023-08-11,7404928000
2023-08-14,7272498000
2023-08-15,7215344000
2023-08-16,7201404000
2023-08-17,7152614000
2023-08-18,7244618000
2023-08-21,7180494000
2023-08-22,7063398000
2023-08-23,7088490000
2023-08-24,6965818000
2023-08-25,7006244000
2023-08-28,7025760000
2023-08-29,7059216000
2023-08-30,7261346000
2023-08-31,7351956000
2023-09-01,7496932000
2023-09-05,7432808000
2023-09-06,7310136000
2023-09-07,7149826000
2023-09-08,7177706000
2023-09-11,7318500000
2023-09-12,7535964000
2023-09-13,7386806000
2023-09-14,7460688000
2023-09-15,7389594000
2023-09-18,7358926000
2023-09-19,7160978000
2023-09-20,7197222000
2023-09-21,7055034000
2023-09-22,7074550000
2023-09-25,7145644000
2023-09-26,7092672000
2023-09-27,7177706000
2023-09-28,7163766000
2023-09-29,7060610000
2023-10-02,7044236760
2023-10-03,7062573780
2023-10-04,6767770920
2023-10-05,6808676580
2023-10-06,6879203580
2023-10-09,6935625180
2023-10-10,6834066300
2023-10-11,6838297920
2023-10-12,6800213340
2023-10-13,6873561420
2023-10-16,6736739040
2023-10-17,6835476840
2023-10-18,6726865260
2023-10-19,6760718220
2023-10-20,6705707160
2023-10-23,6606969360
2023-10-24,6594274500
2023-10-25,6482841840
2023-10-26,6465915360
2023-10-27,6539263440
2023-10-30,6578758560
2023-10-31,6585811260
2023-11-01,6921519780
2023-11-02,7220554260
2023-11-03,7087963500
2023-11-06,6941267340
2023-11-07,6731096880
2023-11-08,6606969360
2023-11-09,6616843139
2023-11-10,6643643400
2023-11-13,6731096880
2023-11-14,6856634940
2023-11-15,6753665520
2023-11-16,6458862660
2023-11-17,6575937480
2023-11-20,6426420240
2023-11-21,6379872420
2023-11-22,6298061100
2023-11-24,6346019460
2023-11-27,6303703260
2023-11-28,6386925120
2023-11-29,6302292720
2023-11-30,6508231560
2023-12-01,6587221800
2023-12-04,6305113800
2023-12-05,6147133320
2023-12-06,6000437160
2023-12-07,5901699360
2023-12-08,6000437160
2023-12-11,6006079320
2023-12-12,5928499620
2023-12-13,6107638200
2023-12-14,6351661620
2023-12-15,6193681139
2023-12-18,6426420240
2023-12-19,6578758560
2023-12-20,6456041580
2023-12-21,6537852900
2023-12-22,6684549060
2023-12-26,6987815160
2023-12-27,6918698700
2023-12-28,6876382500
2023-12-29,6793160639
2024-01-02,6803034420
2024-01-03,6793160639
2024-01-04,6684549060
2024-01-05,6738149580
2024-01-08,6670443660
2024-01-09,6481431300
2024-01-10,6312166500
2024-01-11,6305113800
2024-01-12,6312166500
2024-01-16,6158417639
2024-01-17,6149954400
2024-01-18,6182396820
2024-01-19,6159828180
2024-01-22,6255744900
2024-01-23,6288187320
2024-01-24,6361535400
2024-01-25,6384104040
2024-01-26,6326271900
2024-01-29,6361535400
2024-01-30,6334735139
2024-01-31,6224713020
2024-02-01,6155596560
2024-02-02,6117511980
2024-02-05,6056858760
2024-02-06,6165470340
2024-02-07,6197912760
2024-02-08,6303703260
2024-02-09,6240228960
2024-02-12,6299471639
2024-02-13,6185217900
2024-02-14,6131617380
2024-02-15,6155596560
2024-02-16,6104817120
2024-02-20,5960942040
2024-02-21,6154186020
2024-02-22,6230355180
2024-02-23,6110459280
2024-02-26,6049806060
2024-02-27,6055448220
2024-02-28,5886183420
2024-02-29,5897467740
2024-03-01,6116101440
2024-03-04,6068143080
2024-03-05,6069553620
2024-03-06,6104817120
2024-03-07,6291008400
2024-03-08,6204965460
2024-03-11,6375640800
2024-03-12,6416546460
2024-03-13,6615432600
2024-03-14,6659159340
2024-03-15,6684549060
2024-03-18,6683138520
2024-03-19,6810087120
2024-03-20,6781876320
2024-03-21,6824192520
2024-03-22,6728275800
2024-03-25,6718402020
2024-03-26,6731096880
2024-03-27,6787518480
2024-03-28,6839708460
2024-04-01,6738149580
2024-04-02,6922930320
2024-04-03,7066805400
2024-04-04,7013204880
2024-04-05,7174006440
2024-04-08,7202217240
2024-04-09,7179648600
2024-04-10,7133100780
2024-04-11,7051289460
2024-04-12,6877793040
2024-04-15,6755076060
2024-04-16,6638001240
2024-04-17,6518105340
2024-04-18,6368588100
2024-04-19,6509642100
2024-04-22,6535031820
2024-04-23,6645053940
2024-04-24,6495536700
2024-04-25,6412314840
2024-04-26,6529389660
2024-04-29,6536442360
2024-04-30,6259976520
2024-05-01,6157007100
2024-05-02,6216249780
2024-05-03,6388335660
2024-05-06,6495536700
2024-05-07,6437704560
2024-05-08,6547726680
2024-05-09,6664801500
2024-05-10,6496947240
2024-05-13,6615432600
2024-05-14,6694422840
2024-05-15,6705707160
2024-05-16,6724044180
2024-05-17,6729686340
2024-05-20,6773413080
2024-05-21,6714170400
2024-05-22,6560421540
2024-05-23,6446167800
2024-05-24,6399619980
2024-05-28,6657748800
2024-05-29,6453220500
2024-05-30,6453220500
2024-05-31,6553368840
2024-06-03,6193681139
2024-06-04,6051216600
2024-06-05,6027237420
2024-06-06,6018774180
2024-06-07,6008900400
2024-06-10,6374230260
2024-06-11,6285366240
2024-06-12,6460273200
2024-06-13,6322040280
2024-06-14,6068143080
2024-06-17,6128796300
2024-06-18,6185217900
2024-06-20,6283955700
2024-06-21,6272671380
2024-06-24,6346019460
2024-06-25,6310755960
2024-06-26,6317808660
2024-06-27,6364356480
2024-06-28,6298061100
2024-07-01,6092122260
2024-07-02,6292418940
2024-07-03,6272671380
2024-07-05,6207786540
2024-07-08,6192270600
2024-07-09,6121743600
2024-07-10,6178165200
2024-07-11,6312166500
2024-07-12,6454631040
2024-07-15,6715580940
2024-07-16,6807266040
2024-07-17,6728275800
2024-07-18,6609790440
2024-07-19,6530800200
2024-07-22,6632359080
2024-07-23,6719812560
2024-07-24,6472968060
2024-07-25,6728275800
2024-07-26,6700065000
2024-07-29,6542084520
2024-07-30,6582712320
2024-07-31,6745565880
2024-08-01,6374145480
2024-08-02,6009867780
2024-08-05,5698446060
2024-08-06,5664161100
2024-08-07,5692731900
2024-08-08,5782729920
2024-08-09,5624161980
