,DD
2000-11-08,10340536326
2000-11-09,10040843292
2000-11-10,9901136765
2000-11-13,10040843292
2000-11-14,10061123272
2000-11-15,10221109778
2000-11-16,9939443393
2000-11-17,10139989860
2000-11-20,10081403251
2000-11-21,9939443393
2000-11-22,9919163414
2000-11-24,9919163414
2000-11-27,9680310319
2000-11-28,9538350461
2000-11-29,10020563312
2000-11-30,9799736866
2000-12-01,10480242853
2000-12-04,11482975183
2000-12-05,11703801629
2000-12-06,11223842109
2000-12-07,10622202711
2000-12-08,10843029156
2000-12-11,10701069298
2000-12-12,10701069298
2000-12-13,10462216204
2000-12-14,10340536326
2000-12-15,9820016846
2000-12-18,10200829799
2000-12-19,10861055805
2000-12-20,10622202711
2000-12-21,11241868758
2000-12-22,11944908055
2000-12-26,11884068115
2000-12-27,12244601088
2000-12-28,12125174541
2000-12-29,11744361588
2001-01-02,14830609821
2001-01-03,14989273995
2001-01-04,15680810303
2001-01-05,14803666848
2001-01-08,14962331022
2001-01-09,14004358648
2001-01-10,13684036635
2001-01-11,13366708286
2001-01-12,13285879367
2001-01-16,13710979608
2001-01-17,13606201380
2001-01-18,13660087326
2001-01-19,13285879367
2001-01-22,13178107475
2001-01-23,13471486515
2001-01-24,13633144353
2001-01-25,13791808527
2001-01-26,13872637446
2001-01-29,13693017626
2001-01-30,14186972132
2001-01-31,14612072373
2001-02-01,14531243454
2001-02-02,14393534925
2001-02-05,14222896096
2001-02-06,13887605765
2001-02-07,14333661651
2001-02-08,13678049308
2001-02-09,13722954263
2001-02-12,13420594232
2001-02-13,13393651259
2001-02-14,13375689277
2001-02-15,13860662792
2001-02-16,13423587896
2001-02-20,13202056784
2001-02-21,13175113811
2001-02-22,12938614381
2001-02-23,12546444440
2001-02-26,13393651259
2001-02-27,13737922581
2001-02-28,13977415675
2001-03-01,14177991141
2001-03-02,14534237117
2001-03-05,14462389189
2001-03-06,14270794714
2001-03-07,14740799911
2001-03-08,15294627690
2001-03-09,15186855797
2001-03-12,14423471562
2001-03-13,13908561410
2001-03-14,13567283752
2001-03-15,13333777986
2001-03-16,13522378797
2001-03-19,13956460029
2001-03-20,13393651259
2001-03-21,13100272219
2001-03-22,12827848825
2001-03-23,13234987085
2001-03-26,13441549878
2001-03-27,13696011290
2001-03-28,13737922581
2001-03-29,13474480178
2001-03-30,13447537205
2001-04-02,13699672268
2001-04-03,13384357584
2001-04-04,13660633307
2001-04-05,14345316621
2001-04-06,14060031907
2001-04-09,14123094843
2001-04-10,14627598338
2001-04-11,14237208729
2001-04-12,14285256681
2001-04-16,14375346591
2001-04-17,14489460476
2001-04-18,15243212721
2001-04-19,14849820115
2001-04-20,14741712223
2001-04-23,14600571365
2001-04-24,14438409527
2001-04-25,14132103834
2001-04-26,14615586350
2001-04-27,14648619317
2001-04-30,14294265672
2001-05-01,14528499437
2001-05-02,15081050883
2001-05-03,15126095838
2001-05-04,15645614317
2001-05-07,15468437495
2001-05-08,15918887043
2001-05-09,15948917013
2001-05-10,16162129800
2001-05-11,15960929001
2001-05-14,16042009920
2001-05-15,16014982947
2001-05-16,16912879047
2001-05-17,16777744183
2001-05-18,16495462466
2001-05-21,16498465463
2001-05-22,16231198730
2001-05-23,15972940989
2001-05-24,15468437495
2001-05-25,15357326606
2001-05-29,15477446486
2001-05-30,15123092841
2001-05-31,15303272661
2001-06-01,15234203730
2001-06-04,15585554378
2001-06-05,15468437495
2001-06-06,15474443489
2001-06-07,15729698233
2001-06-08,15498467465
2001-06-11,15237206727
2001-06-12,15171140793
2001-06-13,15261230703
2001-06-14,14681652284
2001-06-15,14585556380
2001-06-18,14588559377
2001-06-19,14741712223
2001-06-20,14900871064
2001-06-21,14546517419
2001-06-22,14111082856
2001-06-25,14023995943
2001-06-26,14315286651
2001-06-27,14525496440
2001-06-28,14546517419
2001-06-29,14210181756
2001-07-02,14712615934
2001-07-03,14559140088
2001-07-05,14718634595
2001-07-06,14504972142
2001-07-09,14601270712
2001-07-10,14538074775
2001-07-11,14444785536
2001-07-12,14760765219
2001-07-13,14760765219
2001-07-16,14619326694
2001-07-17,14483906830
2001-07-18,14980446332
2001-07-19,15464948514
2001-07-20,15326519319
2001-07-23,14842017138
2001-07-24,14507981472
2001-07-25,14854054459
2001-07-26,15133922179
2001-07-27,14902203744
2001-07-30,15157996821
2001-07-31,15588331057
2001-08-01,15389715256
2001-08-02,15678610967
2001-08-03,15672592306
2001-08-06,15353603292
2001-08-07,15001511645
2001-08-08,14781830531
2001-08-09,14823961156
2001-08-10,15136931509
2001-08-13,15197118116
2001-08-14,15046651600
2001-08-15,15203136776
2001-08-16,14881138432
2001-08-17,14799886513
2001-08-20,14748727898
2001-08-21,14911231735
2001-08-22,14727662586
2001-08-23,14881138432
2001-08-24,15440873871
2001-08-27,15419808559
2001-08-28,15157996821
2001-08-29,15034614278
2001-08-30,14920259726
2001-08-31,15013548966
2001-09-04,15434855211
2001-09-05,15182071464
2001-09-06,14992483654
2001-09-07,14890166423
2001-09-10,14610298703
2001-09-17,13102624213
2001-09-18,13207950774
2001-09-19,13078549570
2001-09-20,12666271316
2001-09-21,12744513905
2001-09-24,13704490277
2001-09-25,13746620901
2001-09-26,13334342647
2001-09-27,13563051752
2001-09-28,14029497951
2001-10-01,13941814039
2001-10-02,14128185853
2001-10-03,14095119886
2001-10-04,14116161865
2001-10-05,14251431729
2001-10-08,14095119886
2001-10-09,14125179856
2001-10-10,14410749570
2001-10-11,14918763061
2001-10-12,14756439223
2001-10-15,14681289299
2001-10-16,14684295296
2001-10-17,14488905491
2001-10-18,14621169359
2001-10-19,14500929479
2001-10-22,14843613136
2001-10-23,14891709088
2001-10-24,14972871007
2001-10-25,14906739073
2001-10-26,14978883001
2001-10-29,14744415235
2001-10-30,14573073407
2001-10-31,14224377756
2001-11-01,14732391247
2001-11-02,14987900992
2001-11-05,14906739073
2001-11-06,15270464709
2001-11-07,15369662609
2001-11-08,15261446718
2001-11-09,15318560661
2001-11-12,15096116883
2001-11-13,15417758561
2001-11-14,15634190344
2001-11-15,16039999938
2001-11-16,15958838019
2001-11-19,16340599637
2001-11-20,16181281797
2001-11-21,16055029923
2001-11-23,16232383746
2001-11-26,16139197839
2001-11-27,16058035920
2001-11-28,15913748065
2001-11-29,15772466206
2001-11-30,16039999938
2001-12-03,15814550164
2001-12-04,15868658110
2001-12-05,16379677598
2001-12-06,16208335770
2001-12-07,15916754062
2001-12-10,15634190344
2001-12-11,15742406236
2001-12-12,15565052414
2001-12-13,15078080901
2001-12-14,14885697094
2001-12-17,14927781052
2001-12-18,15823568155
2001-12-19,15498920480
2001-12-20,15357638621
2001-12-21,14756439223
2001-12-24,14693313287
2001-12-26,14621169359
2001-12-27,14543013437
2001-12-28,14437803542
2001-12-31,14449827530
2002-01-02,14713366909
2002-01-03,15251697702
2002-01-04,15817247469
2002-01-07,15333354621
2002-01-08,14922045700
2002-01-09,14631709991
2002-01-10,13367539926
2002-01-11,13019741941
2002-01-14,11640647324
2002-01-15,11383579249
2002-01-16,10818029483
2002-01-17,11310995322
2002-01-18,11546893085
2002-01-22,11362408937
2002-01-23,11407773891
2002-01-24,12048931915
2002-01-25,12439070523
2002-01-28,12073126557
2002-01-29,12073126557
2002-01-30,12239464724
2002-01-31,12714284581
2002-02-01,12720333241
2002-02-04,12708235920
2002-02-05,12378583917
2002-02-06,12566092396
2002-02-07,12632627663
2002-02-08,12877598417
2002-02-11,13092325868
2002-02-12,12880622747
2002-02-13,12910866050
2002-02-14,12832233462
2002-02-15,13155836805
2002-02-19,12811063150
2002-02-20,12801990159
2002-02-21,12756625205
2002-02-22,13080228547
2002-02-25,13043936583
2002-02-26,13080228547
2002-02-27,13095350199
2002-02-28,13461294165
2002-03-01,13857481434
2002-03-04,14374641915
2002-03-05,13691143268
2002-03-06,13927041031
2002-03-07,13945187013
2002-03-08,13939138352
2002-03-11,14051038573
2002-03-12,13945187013
2002-03-13,13809092149
2002-03-14,13987527637
2002-03-15,14159914464
2002-03-18,14153865804
2002-03-19,14631709991
2002-03-20,14504688118
2002-03-21,14250644373
2002-03-22,14038941252
2002-03-25,13863530095
2002-03-26,14072208885
2002-03-27,14280887676
2002-03-28,14081281876
2002-04-01,14070300925
2002-04-02,13818340843
2002-04-03,13529952798
2002-04-04,13420668908
2002-04-05,13815305180
2002-04-08,13806198189
2002-04-09,14082443579
2002-04-10,14471008524
2002-04-11,14234226761
2002-04-12,14264583397
2002-04-15,14039944288
2002-04-16,14398152597
2002-04-17,14358688969
2002-04-18,14009587652
2002-04-19,14146192515
2002-04-22,13715128280
2002-04-23,13724235271
2002-04-24,13390312271
2002-04-25,13262814399
2002-04-26,13478346517
2002-04-29,12959248036
2002-04-30,13736377925
2002-05-01,13602808726
2002-05-02,13818340843
2002-05-03,13645308016
2002-05-06,13563345098
2002-05-07,13888161107
2002-05-08,14073336588
2002-05-09,14531721796
2002-05-10,14392081269
2002-05-13,14467972860
2002-05-14,14826181168
2002-05-15,14589399405
2002-05-16,14519579142
2002-05-17,14789753205
2002-05-20,14510472151
2002-05-21,14458865869
2002-05-22,14634934360
2002-05-23,14838323823
2002-05-24,14671362323
2002-05-28,14601542060
2002-05-29,14103693224
2002-05-30,14085479243
2002-05-31,14401188260
2002-06-03,13957981370
2002-06-04,14039944288
2002-06-05,14334403660
2002-06-06,13900303761
2002-06-07,14228155433
2002-06-10,14103693224
2002-06-11,13939767388
2002-06-12,14337439324
2002-06-13,13803162525
2002-06-14,13748520580
2002-06-17,14255476406
2002-06-18,14103693224
2002-06-19,14100657561
2002-06-20,14276726051
2002-06-21,13757627571
2002-06-24,13888161107
2002-06-25,14164406497
2002-06-26,13888161107
2002-06-27,14686540641
2002-06-28,14850466477
2002-07-01,14933631061
2002-07-02,14322792672
2002-07-03,14362299632
2002-07-05,14590224404
2002-07-08,14499054496
2002-07-09,14289363705
2002-07-10,13681564313
2002-07-11,13177090818
2002-07-12,13082881912
2002-07-15,12976517019
2002-07-16,12943088052
2002-07-17,13158856836
2002-07-18,12684773311
2002-07-19,12040505955
2002-07-22,11523876472
2002-07-23,11326341669
2002-07-24,11870322125
2002-07-25,12699968295
2002-07-26,12736436259
2002-07-29,13256104739
2002-07-30,12739475256
2002-07-31,12484199511
2002-08-01,12541940453
2002-08-02,11888556107
2002-08-05,11545149451
2002-08-06,12116480879
2002-08-07,12438614557
2002-08-08,12663500332
2002-08-09,12596642399
2002-08-12,12563213432
2002-08-13,12669578326
2002-08-14,13055530940
2002-08-15,12909659086
2002-08-16,12757709238
2002-08-19,12973478022
2002-08-20,12572330423
2002-08-21,12766826228
2002-08-22,13000828994
2002-08-23,12751631244
2002-08-26,13016023979
2002-08-27,13134544861
2002-08-28,12800255195
2002-08-29,13067686928
2002-08-30,13067686928
2002-09-03,12760748235
2002-09-04,12976517019
2002-09-05,12526745469
2002-09-06,12943088052
2002-09-09,12715163280
2002-09-10,12973478022
2002-09-11,12903581092
2002-09-12,12584486411
2002-09-13,12535862460
2002-09-16,12581447414
2002-09-17,12557135438
2002-09-18,12614876380
2002-09-19,12298820697
2002-09-20,12654383341
2002-09-23,12450770545
2002-09-24,11952375043
2002-09-25,12605759390
2002-09-26,12453809542
2002-09-27,11958453037
2002-09-30,11809542186
2002-10-01,12871422107
2002-10-02,11769718210
2002-10-03,11526918454
2002-10-04,11329643651
2002-10-07,10992758989
2002-10-08,11193068788
2002-10-09,10579999402
2002-10-10,10862254119
2002-10-11,11560303420
2002-10-14,11557268423
2002-10-15,11963958016
2002-10-16,11748473232
2002-10-17,12109637870
2002-10-18,12036797943
2002-10-21,12507222472
2002-10-22,12003412976
2002-10-23,11894153086
2002-10-24,10783344198
2002-10-25,11554233426
2002-10-28,11305363676
2002-10-29,11177893803
2002-10-30,11229488752
2002-10-31,11223418758
2002-11-01,11435868545
2002-11-04,11229488752
2002-11-05,11405518575
2002-11-06,11963958016
2002-11-07,11444973536
2002-11-08,11457113524
2002-11-11,10998828983
2002-11-12,11299293682
2002-11-13,11444973536
2002-11-14,12027692952
2002-11-15,11875943104
2002-11-18,11739368241
2002-11-19,11936643043
2002-11-20,12136952843
2002-11-21,12662007317
2002-11-22,12516327463
2002-11-25,12901772076
2002-11-26,12874457104
2002-11-27,13302391675
2002-11-29,13775851201
2002-12-02,13162781815
2002-12-03,12923017055
2002-12-04,12892667086
2002-12-05,12698427280
2002-12-06,12847142131
2002-12-09,12622552356
2002-12-10,12707532271
2002-12-11,13132431845
2002-12-12,12589167390
2002-12-13,12546677432
2002-12-16,13111186867
2002-12-17,12892667086
2002-12-18,12743952235
2002-12-19,12628622350
2002-12-20,12913912064
2002-12-23,12810722168
2002-12-24,12953367025
2002-12-26,13044416934
2002-12-27,12570957408
2002-12-30,12722707256
2002-12-31,12825897152
2003-01-02,13215956749
2003-01-03,13167178131
2003-01-06,13401925229
2003-01-07,13380584584
2003-01-08,13154983477
2003-01-09,13273881357
2003-01-10,13313513984
2003-01-13,13362292602
2003-01-14,13478141819
2003-01-15,13340951957
2003-01-16,13514725783
2003-01-17,13344000620
2003-01-21,13261686703
2003-01-22,13124496841
2003-01-23,13209859422
2003-01-24,12798289834
2003-01-27,12499520801
2003-01-28,12584883382
2003-01-29,12624516009
2003-01-30,12145875822
2003-01-31,12606224027
2003-02-03,12438547528
2003-02-04,12417206883
2003-02-05,12490374810
2003-02-06,12356233611
2003-02-07,12246481721
2003-02-10,12334892966
2003-02-11,12130632504
2003-02-12,11950761351
2003-02-13,11862350106
2003-02-14,12008685959
2003-02-18,12365379602
2003-02-19,12185508449
2003-02-20,11935518033
2003-02-21,12215995085
2003-02-24,11700770935
2003-02-25,11496510473
2003-02-26,11630651672
2003-02-27,11703819598
2003-02-28,11844058124
2003-03-03,11673332962
2003-03-04,11258714711
2003-03-05,11466023837
2003-03-06,11127622176
2003-03-07,11289201347
2003-03-10,11002626968
2003-03-11,10914215723
2003-03-12,11042259595
2003-03-13,11664186971
2003-03-14,11831863470
2003-03-17,12307454993
2003-03-18,12520861446
2003-03-19,12365379602
2003-03-20,12365379602
2003-03-21,13023890941
2003-03-24,12398914901
2003-03-25,12365379602
2003-03-26,12447693519
2003-03-27,12258676375
2003-03-28,12267822366
2003-03-31,11978199323
2003-04-01,12093059538
2003-04-02,12401883561
2003-04-03,12227596736
2003-04-04,12548651414
2003-04-07,12597574032
2003-04-08,12466094497
2003-04-09,12138924492
2003-04-10,12331557298
2003-04-11,12221481409
2003-04-14,12551709078
2003-04-15,13083742544
2003-04-16,12921686373
2003-04-17,13184645443
2003-04-21,13209106752
2003-04-22,13508757784
2003-04-23,13698332928
2003-04-24,13845100780
2003-04-25,13432316194
2003-04-28,13949061343
2003-04-29,14059137232
2003-04-30,14202847422
2003-05-01,13936830688
2003-05-02,14049964242
2003-05-05,14022445269
2003-05-06,13967407324
2003-05-07,13796178163
2003-05-08,13585199374
2003-05-09,13909311716
2003-05-12,14150867140
2003-05-13,13918484707
2003-05-14,13872619753
2003-05-15,13909311716
2003-05-16,13903196389
2003-05-19,13423143204
2003-05-20,13692217600
2003-05-21,13569911056
2003-05-22,13465950494
2003-05-23,13508757784
2003-05-27,13771716854
2003-05-28,13731967227
2003-05-29,13646352646
2003-05-30,13835927790
2003-06-02,13793120499
2003-06-03,13835927790
2003-06-04,13967407324
2003-06-05,13924600034
2003-06-06,13866504426
2003-06-09,13771716854
2003-06-10,13848158444
2003-06-11,13750313209
2003-06-12,13946003679
2003-06-13,13771716854
2003-06-16,13894023398
2003-06-17,13835927790
2003-06-18,13848158444
2003-06-19,13814524144
2003-06-20,13835927790
2003-06-23,13637179656
2003-06-24,13771716854
2003-06-25,13692217600
2003-06-26,13793120499
2003-06-27,13441489185
2003-06-30,13472065821
2003-07-01,13487320495
2003-07-02,13585432396
2003-07-03,13355482627
2003-07-07,13634488347
2003-07-08,13613026369
2003-07-09,13603828378
2003-07-10,13324822657
2003-07-11,13468924513
2003-07-14,13643686338
2003-07-15,13490386492
2003-07-16,13315624666
2003-07-17,13349350633
2003-07-18,13634488347
2003-07-21,13530244452
2003-07-22,13922692059
2003-07-23,13941088040
2003-07-24,14725983254
2003-07-25,14986592993
2003-07-28,15314654665
2003-07-29,15293192686
2003-07-30,15234938745
2003-07-31,15400502579
2003-08-01,15247202732
2003-08-04,15216542763
2003-08-05,14943669036
2003-08-06,14833293147
2003-08-07,14833293147
2003-08-08,14900745079
2003-08-11,14811831168
2003-08-12,14808765171
2003-08-13,14689191291
2003-08-14,14778105202
2003-08-15,14747445233
2003-08-18,14882349098
2003-08-19,15020318960
2003-08-20,15047912932
2003-08-21,15213476766
2003-08-22,14965131015
2003-08-25,14873151107
2003-08-26,14793435187
2003-08-27,14913009067
2003-08-28,15038714941
2003-08-29,15066308914
2003-09-02,15192014788
2003-09-03,15204278775
2003-09-04,14922207058
2003-09-05,14750511230
2003-09-08,14790369190
2003-09-09,14676927303
2003-09-10,14318205663
2003-09-11,14440845540
2003-09-12,14738247242
2003-09-15,14637069343
2003-09-16,14747445233
2003-09-17,14575749405
2003-09-18,14676927303
2003-09-19,14637069343
2003-09-22,14345799635
2003-09-23,14400987580
2003-09-24,14266083715
2003-09-25,14241555739
2003-09-26,14220093761
2003-09-29,14422449558
2003-09-30,14195565785
2003-10-01,14513962800
2003-10-02,14605842708
2003-10-03,15013176967
2003-10-06,14970299676
2003-10-07,14795727851
2003-10-08,14875357105
2003-10-09,14909046404
2003-10-10,14884545096
2003-10-13,15049928930
2003-10-14,15092806220
2003-10-15,15245939400
2003-10-16,15322505990
2003-10-17,15340881972
2003-10-20,15494015152
2003-10-21,15631835014
2003-10-22,15187748792
2003-10-23,15784968194
2003-10-24,15947289365
2003-10-27,16103485208
2003-10-28,16051419927
2003-10-29,16213741098
2003-10-30,16513882131
2003-10-31,16425064886
2003-11-03,16507756804
2003-11-04,16391375587
2003-11-05,16434252877
2003-11-06,16556759421
2003-11-07,16403626241
2003-11-10,16207615771
2003-11-11,16078983900
2003-11-12,16213741098
2003-11-13,16134111844
2003-11-14,16274994370
2003-11-17,16219866425
2003-11-18,15993229319
2003-11-19,16042231936
2003-11-20,15965665346
2003-11-21,15864597448
2003-11-24,16167801144
2003-11-25,16250493061
2003-11-26,16501631476
2003-11-28,16363811614
2003-12-01,16780333864
2003-12-02,16761957882
2003-12-03,17010033634
2003-12-04,17126414851
2003-12-05,16844649800
2003-12-08,17059036252
2003-12-09,17368365275
2003-12-10,17215232095
2003-12-11,17297924012
2003-12-12,17371427939
2003-12-15,17380615930
2003-12-16,17564375746
2003-12-17,17454119856
2003-12-18,17760386216
2003-12-19,17671568972
2003-12-22,17965584677
2003-12-23,17987023322
2003-12-24,18081965894
2003-12-26,18146281830
2003-12-29,18305540337
2003-12-30,17895143414
2003-12-31,18115655194
2004-01-02,18177448816
2004-01-05,18522177471
2004-01-06,18310992349
2004-01-07,18348260312
2004-01-08,18733362593
2004-01-09,18155709171
2004-01-12,18357577303
2004-01-13,18230245097
2004-01-14,18137075190
2004-01-15,17981792012
2004-01-16,18168131826
2004-01-20,17947629713
2004-01-21,18251984742
2004-01-22,18025271302
2004-01-23,17792346535
2004-01-26,17981792012
2004-01-27,17935207059
2004-01-28,18165026162
2004-01-29,18233350760
2004-01-30,18540811453
2004-02-02,18419690574
2004-02-03,18115335545
2004-02-04,18230245097
2004-02-05,18522177471
2004-02-06,18593607733
2004-02-09,18469381191
2004-02-10,18649509677
2004-02-11,19283065044
2004-02-12,19370023623
2004-02-13,19130887529
2004-02-17,19059457267
2004-02-18,19224057436
2004-02-19,19074985585
2004-02-20,18922808071
2004-02-23,18984921342
2004-02-24,18932125061
2004-02-25,19335861324
2004-02-26,19065668594
2004-02-27,19211634782
2004-03-01,19345178315
2004-03-02,19059457267
2004-03-03,19003555323
2004-03-04,19137098856
2004-03-05,18699200294
2004-03-08,18491120836
2004-03-09,18081173246
2004-03-10,17637063357
2004-03-11,17227115767
2004-03-12,17397927263
2004-03-15,16938289056
2004-03-16,17115311879
2004-03-17,17329602664
2004-03-18,17360659300
2004-03-19,17301651692
2004-03-22,16674307653
2004-03-23,17245749748
2004-03-24,17270595057
2004-03-25,17655697338
2004-03-26,17562527431
2004-03-29,17969369358
2004-03-30,17832720161
2004-03-31,17801663525
2004-04-01,18031468635
2004-04-02,18416048250
2004-04-05,18272221727
2004-04-06,18419174914
2004-04-07,18122141877
2004-04-08,18144028522
2004-04-12,18419174914
2004-04-13,18147155186
2004-04-14,18240955092
2004-04-15,18290981709
2004-04-16,18550494782
2004-04-19,18553621446
2004-04-20,18050228616
2004-04-21,18178421821
2004-04-22,18625534707
2004-04-23,18419174914
2004-04-26,18556748109
2004-04-27,18634914698
2004-04-28,18206561793
2004-04-29,17650015683
2004-04-30,17659395673
2004-05-03,17712548954
2004-05-04,17965808700
2004-05-05,17784462215
2004-05-06,17509315824
2004-05-07,16858969807
2004-05-10,16505656827
2004-05-11,16943389723
2004-05-12,16596330070
2004-05-13,16752663247
2004-05-14,16746409920
2004-05-17,16399350267
2004-05-18,16618216715
2004-05-19,16640103359
2004-05-20,16515036818
2004-05-21,16790183209
2004-05-24,16968403031
2004-05-25,17215409451
2004-05-26,17343602656
2004-05-27,17743815589
2004-05-28,17753195580
2004-06-01,17618749047
2004-06-02,17934542065
2004-06-03,17105976227
2004-06-04,17459289207
2004-06-07,17715675617
2004-06-08,17703168963
2004-06-09,17681282318
2004-06-10,17740688925
2004-06-14,17546835786
2004-06-15,17453035880
2004-06-16,17449909216
2004-06-17,17374869291
2004-06-18,17800095533
2004-06-21,17681282318
2004-06-22,17650015683
2004-06-23,18131521868
2004-06-24,17987695345
2004-06-25,17940795392
2004-06-28,17859502140
2004-06-29,18209688456
2004-06-30,18109635223
2004-07-01,17732810894
2004-07-02,17585403375
2004-07-06,17390950903
2004-07-07,17607357686
2004-07-08,17422314205
2004-07-09,17472495488
2004-07-12,17569721724
2004-07-13,17469359158
2004-07-14,17441132186
2004-07-15,17437995856
2004-07-16,17601085026
2004-07-19,17516404111
2004-07-20,17629311997
2004-07-21,17601085026
2004-07-22,17306269988
2004-07-23,17218452743
2004-07-26,17143180818
2004-07-27,17441132186
2004-07-28,17585403375
2004-07-29,18074670884
2004-07-30,17801810158
2004-08-02,17886491073
2004-08-03,17739083554
2004-08-04,17914718045
2004-08-05,17557176403
2004-08-06,17174544120
2004-08-09,17325087969
2004-08-10,17575994384
2004-08-11,17607357686
2004-08-12,17337633290
2004-08-13,17174544120
2004-08-16,17695174931
2004-08-17,17851991441
2004-08-18,18074670884
2004-08-19,18074670884
2004-08-20,18259714366
2004-08-23,18115443177
2004-08-24,18253441705
