,BRO
2000-09-25,1799946400
2000-09-26,1799946400
2000-09-27,1853458320
2000-09-28,1887511360
2000-09-29,1936158560
2000-10-02,896578640
2000-10-03,889699520
2000-10-04,912629920
2000-10-05,928681200
2000-10-06,937853360
2000-10-09,960783760
2000-10-10,986007200
2000-10-11,972248960
2000-10-12,960783760
2000-10-13,960783760
2000-10-16,956197680
2000-10-17,910336880
2000-10-18,910336880
2000-10-19,903457760
2000-10-20,901164720
2000-10-23,875941280
2000-10-24,885113440
2000-10-25,866769120
2000-10-26,889699520
2000-10-27,889699520
2000-10-30,921802079
2000-10-31,930974239
2000-11-01,942439440
2000-11-02,963076800
2000-11-03,969955920
2000-11-06,967662880
2000-11-07,947025520
2000-11-08,926388160
2000-11-09,910336880
2000-11-10,873648240
2000-11-13,866769120
2000-11-14,889699520
2000-11-15,905750800
2000-11-16,905750800
2000-11-17,926388160
2000-11-20,926388160
2000-11-21,914922960
2000-11-22,903457760
2000-11-24,910336880
2000-11-27,912629920
2000-11-28,875941280
2000-11-29,910336880
2000-11-30,905750800
2000-12-01,912629920
2000-12-04,919509040
2000-12-05,930974239
2000-12-06,937853360
2000-12-07,944732480
2000-12-08,944732480
2000-12-11,947025520
2000-12-12,944732480
2000-12-13,942439440
2000-12-14,926388160
2000-12-15,912629920
2000-12-18,947025520
2000-12-19,953904640
2000-12-20,963076800
2000-12-21,1013523680
2000-12-22,1015816719
2000-12-26,1002058480
2000-12-27,1011230640
2000-12-28,1015816719
2000-12-29,1004351520
2001-01-02,2082141599
2001-01-03,2146897199
2001-01-04,2107047600
2001-01-05,2002442399
2001-01-08,2092104000
2001-01-09,2126972399
2001-01-10,2136934800
2001-01-11,2151878400
2001-01-12,2141916000
2001-01-16,2131953600
2001-01-17,2161840800
2001-01-18,2181765600
2001-01-19,2037310800
2001-01-22,2057235600
2001-01-23,2057235600
2001-01-24,1982517600
2001-01-25,2072179200
2001-01-26,2171803200
2001-01-29,2136934800
2001-01-30,2117010000
2001-01-31,2146897199
2001-02-01,2136934800
2001-02-02,2117010000
2001-02-05,2161840800
2001-02-06,2216634000
2001-02-07,2221615200
2001-02-08,2276408400
2001-02-09,2306295600
2001-02-12,2346145200
2001-02-13,2405919600
2001-02-14,2381013600
2001-02-15,2366070000
2001-02-16,2381013600
2001-02-20,2430825600
2001-02-21,2445769200
2001-02-22,2381013600
2001-02-23,2400938400
2001-02-26,2425844400
2001-02-27,2410900800
2001-02-28,2430825600
2001-03-01,2430825600
2001-03-02,2425844400
2001-03-05,2420863200
2001-03-06,2425844400
2001-03-07,2440788000
2001-03-08,2435806800
2001-03-09,2425844400
2001-03-12,2405919600
2001-03-13,2425844400
2001-03-14,2326220400
2001-03-15,2331201600
2001-03-16,2241540000
2001-03-19,2191728000
2001-03-20,2151878400
2001-03-21,2121991200
2001-03-22,2042291999
2001-03-23,2052254400
2001-03-26,2012404800
2001-03-27,1922743200
2001-03-28,2002442399
2001-03-29,2017386000
2001-03-30,2121991200
2001-04-02,2159734720
2001-04-03,2249515840
2001-04-04,2244528000
2001-04-05,2299394240
2001-04-06,2309369920
2001-04-09,2229564480
2001-04-10,2229564480
2001-04-11,2229564480
2001-04-12,2344284800
2001-04-16,2399151040
2001-04-17,2399151040
2001-04-18,2379199680
2001-04-19,2419102400
2001-04-20,2429078080
2001-04-23,2503895680
2001-04-24,2463992960
2001-04-25,2583701120
2001-04-26,2693433600
2001-04-27,2683457920
2001-04-30,2643555200
2001-05-01,2693433600
2001-05-02,2773239040
2001-05-03,2663506560
2001-05-04,2658518720
2001-05-07,2638567360
2001-05-08,2648543040
2001-05-09,2643555200
2001-05-10,2618616000
2001-05-11,2543798400
2001-05-14,2538810560
2001-05-15,2533822720
2001-05-16,2628591680
2001-05-17,2663506560
2001-05-18,2653530880
2001-05-21,2673482240
2001-05-22,2663506560
2001-05-23,2558761920
2001-05-24,2533822720
2001-05-25,2533822720
2001-05-29,2533822720
2001-05-30,2538810560
2001-05-31,2548786240
2001-06-01,2483944320
2001-06-04,2538810560
2001-06-05,2578713280
2001-06-06,2533822720
2001-06-07,2558761920
2001-06-08,2548786240
2001-06-11,2553774080
2001-06-12,2553774080
2001-06-13,2558761920
2001-06-14,2538810560
2001-06-15,2553774080
2001-06-18,2523847040
2001-06-19,2543798400
2001-06-20,2558761920
2001-06-21,2563749760
2001-06-22,2533822720
2001-06-25,2518859200
2001-06-26,2553774080
2001-06-27,2563749760
2001-06-28,2623603840
2001-06-29,2618616000
2001-07-02,2618138000
2001-07-03,2578090000
2001-07-05,2673204000
2001-07-06,2623144000
2001-07-09,2673204000
2001-07-10,2768318000
2001-07-11,2788342000
2001-07-12,2888462000
2001-07-13,2943528000
2001-07-16,2998594000
2001-07-17,2988582000
2001-07-18,3018618000
2001-07-19,3013612000
2001-07-20,2998594000
2001-07-23,2973564000
2001-07-24,2963552000
2001-07-25,2998594000
2001-07-26,3018618000
2001-07-27,3008606000
2001-07-30,3008606000
2001-07-31,3023624000
2001-08-01,3153780000
2001-08-02,3098714000
2001-08-03,3028630000
2001-08-06,3028630000
2001-08-07,3003600000
2001-08-08,2998594000
2001-08-09,2998594000
2001-08-10,2993588000
2001-08-13,3003600000
2001-08-14,2998594000
2001-08-15,2978570000
2001-08-16,2978570000
2001-08-17,2953540000
2001-08-20,2948534000
2001-08-21,2908486000
2001-08-22,2923504000
2001-08-23,2903480000
2001-08-24,2883456000
2001-08-27,2818378000
2001-08-28,2783336000
2001-08-29,2793348000
2001-08-30,2788342000
2001-08-31,2768318000
2001-09-04,2673204000
2001-09-05,2653180000
2001-09-06,2608126000
2001-09-07,2588102000
2001-09-10,2598114000
2001-09-17,2848414000
2001-09-18,2783336000
2001-09-19,2733276000
2001-09-20,2798354000
2001-09-21,2773324000
2001-09-24,3018618000
2001-09-25,3083696000
2001-09-26,3123744000
2001-09-27,3123744000
2001-09-28,3258906000
2001-10-01,1666678320
2001-10-02,1701713600
2001-10-03,1764276600
2001-10-04,1761774080
2001-10-05,1686698480
2001-10-08,1669180840
2001-10-09,1701713600
2001-10-10,1714226200
2001-10-11,1716728720
2001-10-12,1704216120
2001-10-15,1704216120
2001-10-16,1741753920
2001-10-17,1701713600
2001-10-18,1784296760
2001-10-19,1811824480
2001-10-22,1879392520
2001-10-23,1849362280
2001-10-24,1846859760
2001-10-25,1856869840
2001-10-26,1871884960
2001-10-29,1799311880
2001-10-30,1799311880
2001-10-31,1794306840
2001-11-01,1836849680
2001-11-02,1841854720
2001-11-05,1876890000
2001-11-06,1874387480
2001-11-07,1861874880
2001-11-08,1819332040
2001-11-09,1801814400
2001-11-12,1809321960
2001-11-13,1816829520
2001-11-14,1826839600
2001-11-15,1841854720
2001-11-16,1861874880
2001-11-19,1874387480
2001-11-20,1874387480
2001-11-21,1886900080
2001-11-23,1901915200
2001-11-26,1926940400
2001-11-27,1926940400
2001-11-28,1886900080
2001-11-29,1911925280
2001-11-30,1821834560
2001-12-03,1701713600
2001-12-04,1681693440
2001-12-05,1751764000
2001-12-06,1731743840
2001-12-07,1736748880
2001-12-10,1721733760
2001-12-11,1564075000
2001-12-12,1529039720
2001-12-13,1564075000
2001-12-14,1556567440
2001-12-17,1599110280
2001-12-18,1659170760
2001-12-19,1659170760
2001-12-20,1639150600
2001-12-21,1666678320
2001-12-24,1679190920
2001-12-26,1704216120
2001-12-27,1734246360
2001-12-28,1749261480
2001-12-31,1756676000
2002-01-02,1751532000
2002-01-03,1766964000
2002-01-04,1810688000
2002-01-07,1748960000
2002-01-08,1700092000
2002-01-09,1748960000
2002-01-10,1833836000
2002-01-11,1808116000
2002-01-14,1779824000
2002-01-15,1797828000
2002-01-16,1772108000
2002-01-17,1856984000
2002-01-18,1931572000
2002-01-22,1967580000
2002-01-23,1947004000
2002-01-24,1988156000
2002-01-25,2065315999
2002-01-28,2096180000
2002-01-29,2139904000
2002-01-30,2155336000
2002-01-31,2235068000
2002-02-01,2235068000
2002-02-04,2183628000
2002-02-05,2242784000
2002-02-06,2278792000
2002-02-07,2265932000
2002-02-08,2245356000
2002-02-11,2263360000
2002-02-12,2229924000
2002-02-13,2258216000
2002-02-14,2237640000
2002-02-15,2191344000
2002-02-19,2178484000
2002-02-20,2129615999
2002-02-21,2116756000
2002-02-22,2121900000
2002-02-25,2170768000
2002-02-26,2222208000
2002-02-27,2276220000
2002-02-28,2247928000
2002-03-01,2250500000
2002-03-04,2247928000
2002-03-05,2227352000
2002-03-06,2073032000
2002-03-07,2008732000
2002-03-08,2019020000
2002-03-11,2019020000
2002-03-12,1944432000
2002-03-13,1910996000
2002-03-14,1910996000
2002-03-15,1913568000
2002-03-18,1936716000
2002-03-19,2008732000
2002-03-20,1993300000
2002-03-21,2026736000
2002-03-22,1998444000
2002-03-25,2011304000
2002-03-26,1993300000
2002-03-27,1967580000
2002-03-28,2019020000
2002-04-01,2142734720
2002-04-02,2180997840
2002-04-03,2235659440
2002-04-04,2262990240
2002-04-05,2230193280
2002-04-08,2295787200
2002-04-09,2334050320
2002-04-10,2331317240
2002-04-11,2306719520
2002-04-12,2383245760
2002-04-15,2339516480
2002-04-16,2388711920
2002-04-17,2405110400
2002-04-18,2380512680
2002-04-19,2375046520
2002-04-22,2366847280
2002-04-23,2361381120
2002-04-24,2290321040
2002-04-25,2314918760
2002-04-26,2262990240
2002-04-29,2238392520
2002-04-30,2268456400
2002-05-01,2246591760
2002-05-02,2314918760
2002-05-03,2347715720
2002-05-06,2440640440
2002-05-07,2457038920
2002-05-08,2467971240
2002-05-09,2396911160
2002-05-10,2380512680
2002-05-13,2383245760
2002-05-14,2424241960
2002-05-15,2416042720
2002-05-16,2416042720
2002-05-17,2429708120
2002-05-20,2410576560
2002-05-21,2391445000
2002-05-22,2353181880
2002-05-23,2358648040
2002-05-24,2369580360
2002-05-28,2342249560
2002-05-29,2377779600
2002-05-30,2402377320
2002-05-31,2435174280
2002-06-03,2380512680
2002-06-04,2282121800
2002-06-05,2295787200
2002-06-06,2238392520
2002-06-07,2243858680
2002-06-10,2243858680
2002-06-11,2186464000
2002-06-12,2224727120
2002-06-13,2161866280
2002-06-14,2213794800
2002-06-17,2271189480
2002-06-18,2254791000
2002-06-19,2273922560
2002-06-20,2295787200
2002-06-21,2314918760
2002-06-24,2252057920
2002-06-25,2145467800
2002-06-26,2131802400
2002-06-27,2213794800
2002-06-28,2153667040
2002-07-01,2102592800
2002-07-02,2080747680
2002-07-03,2061633200
2002-07-05,2143552400
2002-07-08,2099862160
2002-07-09,1987905920
2002-07-10,1979714000
2002-07-11,1911448000
2002-07-12,1862296480
2002-07-15,1810414320
2002-07-16,1821336880
2002-07-17,1837720720
2002-07-18,1783107920
2002-07-19,1810414320
2002-07-22,1728495120
2002-07-23,1690266160
2002-07-24,1802222400
2002-07-25,1834990080
2002-07-26,1881410960
2002-07-29,1966060800
2002-07-30,1963330160
2002-07-31,1963330160
2002-08-01,1952407600
2002-08-02,1867757760
2002-08-05,1783107920
2002-08-06,1843182000
2002-08-07,1875949680
2002-08-08,1968791440
2002-08-09,2001559120
2002-08-12,1996097840
2002-08-13,1979714000
2002-08-14,2028865520
2002-08-15,2058902560
2002-08-16,2097131520
2002-08-19,2094400880
2002-08-20,2050710640
2002-08-21,2017942960
2002-08-22,2047980000
2002-08-23,2042518720
2002-08-26,2050710640
2002-08-27,2007020400
2002-08-28,1952407600
2002-08-29,1990636560
2002-08-30,1996097840
2002-09-03,1886872240
2002-09-04,1944215680
2002-09-05,1925101200
2002-09-06,1966060800
2002-09-09,1968791440
2002-09-10,1955138240
2002-09-11,1990636560
2002-09-12,1968791440
2002-09-13,1955138240
2002-09-16,1949676960
2002-09-17,1884141600
2002-09-18,1851373920
2002-09-19,1859565840
2002-09-20,1813144960
2002-09-23,1810414320
2002-09-24,1834990080
2002-09-25,1900525440
2002-09-26,2001559120
2002-09-27,2007020400
2002-09-30,2018490000
2002-10-01,2101920920
2002-10-02,2072316400
2002-10-03,2069625080
2002-10-04,2029255280
2002-10-07,1951207000
2002-10-08,2034637920
2002-10-09,1935059080
2002-10-10,2069625080
2002-10-11,2166512600
2002-10-14,2166512600
2002-10-15,2220339000
2002-10-16,2118068840
2002-10-17,2169203920
2002-10-18,2182660520
2002-10-21,2147673360
2002-10-22,2171895240
2002-10-23,2193425800
2002-10-24,2091155640
2002-10-25,2163821280
2002-10-28,2120760160
2002-10-29,2005033400
2002-10-30,2026563960
2002-10-31,2045403200
2002-11-01,2002342080
2002-11-04,1921602480
2002-11-05,1932367760
2002-11-06,2034637920
2002-11-07,2112686200
2002-11-08,2142290720
2002-11-11,2155747320
2002-11-12,2144982040
2002-11-13,2118068840
2002-11-14,2193425800
2002-11-15,2220339000
2002-11-18,2231104280
2002-11-19,2223030320
2002-11-20,2239178240
2002-11-21,2263400120
2002-11-22,2287622000
2002-11-25,2249943520
2002-11-26,2268782760
2002-11-27,2322609160
2002-11-29,2317226520
2002-12-02,2298387280
2002-12-03,2225721640
2002-12-04,2271474080
2002-12-05,2268782760
2002-12-06,2255326160
2002-12-09,2204191080
2002-12-10,2196117120
2002-12-11,2255326160
2002-12-12,2263400120
2002-12-13,2236486920
2002-12-16,2247252200
2002-12-17,2212265040
2002-12-18,2190734480
2002-12-19,2179969200
2002-12-20,2239178240
2002-12-23,2225721640
2002-12-24,2217647680
2002-12-26,2201499760
2002-12-27,2169203920
2002-12-30,2163821280
2002-12-31,2203351360
2003-01-02,2244255160
2003-01-03,2252435920
2003-01-06,2287885880
2003-01-07,2274251280
2003-01-08,2241528240
2003-01-09,2282432040
2003-01-10,2268797440
2003-01-13,2285158960
2003-01-14,2304247400
2003-01-15,2293339720
2003-01-16,2192443680
2003-01-17,2233347480
2003-01-21,2227893640
2003-01-22,2151539880
2003-01-23,2170628320
2003-01-24,2077913040
2003-01-27,2004286200
2003-01-28,2023374640
2003-01-29,2026101560
2003-01-30,1960655480
2003-01-31,2031555400
2003-02-03,2047916920
2003-02-04,2012466960
2003-02-05,2031555400
2003-02-06,2001559280
2003-02-07,2004286200
2003-02-10,2047916920
2003-02-11,2042463080
2003-02-12,1930659360
2003-02-13,1900663240
2003-02-14,1908844000
2003-02-18,1906117080
2003-02-19,1908844000
2003-02-20,1908844000
2003-02-21,1936113200
2003-02-24,1914297840
2003-02-25,1949747800
2003-02-26,1908844000
2003-02-27,1974290080
2003-02-28,1966109320
2003-03-03,1955201640
2003-03-04,1925205520
2003-03-05,1963382400
2003-03-06,1914297840
2003-03-07,1925205520
2003-03-10,1884301720
2003-03-11,1862486360
2003-03-12,1859759440
2003-03-13,1966109320
2003-03-14,1974290080
2003-03-17,2028828480
2003-03-18,2077913040
2003-03-19,2091547640
2003-03-20,2121543760
2003-03-21,2178809080
2003-03-24,2132451440
2003-03-25,2126997600
2003-03-26,2124270680
2003-03-27,2124270680
2003-03-28,2129724520
2003-03-31,2138216400
2003-04-01,2157332000
2003-04-02,2220140400
2003-04-03,2192832400
2003-04-04,2203755600
2003-04-07,2190101600
2003-04-08,2181909200
2003-04-09,2190101600
2003-04-10,2179178400
2003-04-11,2345757200
2003-04-14,2457720000
2003-04-15,2449527600
2003-04-16,2474104800
2003-04-17,2490489600
2003-04-21,2493220400
2003-04-22,2520528400
2003-04-23,2556028800
2003-04-24,2468643200
2003-04-25,2441335200
2003-04-28,2498682000
2003-04-29,2498682000
2003-04-30,2441335200
2003-05-01,2400373200
2003-05-02,2444066000
2003-05-05,2422219600
2003-05-06,2416758000
2003-05-07,2373065200
2003-05-08,2345757200
2003-05-09,2348488000
2003-05-12,2370334400
2003-05-13,2337564800
2003-05-14,2394911600
2003-05-15,2351218800
2003-05-16,2329372400
2003-05-19,2285679600
2003-05-20,2272025600
2003-05-21,2282948800
2003-05-22,2332103200
2003-05-23,2351218800
2003-05-27,2381257600
2003-05-28,2403104000
2003-05-29,2386719200
2003-05-30,2419488800
2003-06-02,2394911600
2003-06-03,2378526800
2003-06-04,2394911600
2003-06-05,2408565600
2003-06-06,2397642400
2003-06-09,2351218800
2003-06-10,2373065200
2003-06-11,2427681200
2003-06-12,2397642400
2003-06-13,2403104000
2003-06-16,2433142800
2003-06-17,2446796800
2003-06-18,2408565600
2003-06-19,2386719200
2003-06-20,2334834000
2003-06-23,2312987600
2003-06-24,2348488000
2003-06-25,2282948800
2003-06-26,2272025600
2003-06-27,2252910000
2003-06-30,2228660640
2003-07-01,2280744960
2003-07-02,2330088000
2003-07-03,2313640320
2003-07-07,2327346720
2003-07-08,2275262400
2003-07-09,2239625760
2003-07-10,2160128640
2003-07-11,2225919360
2003-07-14,2261556000
2003-07-15,2236884480
2003-07-16,2220436800
2003-07-17,2206730400
2003-07-18,2193024000
2003-07-21,2157387360
2003-07-22,2146422240
2003-07-23,2149163520
2003-07-24,2135457120
2003-07-25,2160128640
2003-07-28,2154646080
2003-07-29,2149163520
2003-07-30,2160128640
2003-07-31,2124492000
2003-08-01,2091596640
2003-08-04,2094337920
2003-08-05,2102561760
2003-08-06,2113526880
2003-08-07,2097079200
2003-08-08,2108044320
2003-08-11,2088855360
2003-08-12,2127233280
2003-08-13,2146422240
2003-08-14,2140939680
2003-08-15,2129974560
2003-08-18,2154646080
2003-08-19,2149163520
2003-08-20,2138198400
2003-08-21,2105303040
2003-08-22,2055960000
2003-08-25,2058701280
2003-08-26,2113526880
2003-08-27,2094337920
2003-08-28,2113526880
2003-08-29,2124492000
2003-09-02,2135457120
2003-09-03,2140939680
2003-09-04,2143680960
2003-09-05,2146422240
2003-09-08,2209471680
2003-09-09,2256073440
2003-09-10,2258814720
2003-09-11,2269779840
2003-09-12,2269779840
2003-09-15,2261556000
2003-09-16,2261556000
2003-09-17,2253332160
2003-09-18,2294451360
2003-09-19,2267038560
2003-09-22,2261556000
2003-09-23,2291710080
2003-09-24,2184800160
2003-09-25,2154646080
2003-09-26,2116268160
2003-09-29,2129974560
2003-09-30,2104471600
2003-10-01,2145467800
2003-10-02,2142734720
2003-10-03,2150933960
2003-10-06,2142734720
2003-10-07,2137268560
2003-10-08,2150933960
2003-10-09,2118137000
2003-10-10,2047076920
2003-10-13,2093539280
2003-10-14,2079873880
2003-10-15,2085340040
2003-10-16,2096272360
2003-10-17,2077140800
2003-10-20,2041610760
2003-10-21,2063475400
2003-10-22,2030678440
2003-10-23,2060742320
2003-10-24,2052543080
2003-10-27,2063475400
2003-10-28,2077140800
2003-10-29,2074407720
2003-10-30,2058009240
2003-10-31,2079873880
2003-11-03,2093539280
2003-11-04,2099005440
2003-11-05,2099005440
2003-11-06,2101738520
2003-11-07,2077140800
2003-11-10,2060742320
2003-11-11,2060742320
2003-11-12,2058009240
2003-11-13,2058009240
2003-11-14,2049810000
2003-11-17,2077140800
2003-11-18,2047076920
2003-11-19,2063475400
2003-11-20,2066208480
2003-11-21,2060742320
2003-11-24,2107204680
2003-11-25,2120870080
2003-11-26,2140001640
2003-11-28,2148200880
2003-12-01,2219260960
2003-12-02,2208328640
2003-12-03,2180997840
2003-12-04,2194663240
2003-12-05,2167332440
2003-12-08,2178264760
2003-12-09,2148200880
2003-12-10,2183730920
2003-12-11,2249324840
2003-12-12,2262990240
2003-12-15,2194663240
2003-12-16,2227460200
2003-12-17,2216527880
2003-12-18,2216527880
2003-12-19,2200129400
2003-12-22,2213794800
2003-12-23,2219260960
2003-12-24,2211061720
2003-12-26,2216527880
2003-12-29,2246591760
2003-12-30,2241125600
2003-12-31,2239000600
2004-01-02,2258231280
2004-01-05,2296692640
2004-01-06,2277461960
2004-01-07,2285703680
2004-01-08,2241747840
2004-01-09,2203286480
2004-01-12,2228011640
2004-01-13,2222517160
2004-01-14,2244495080
2004-01-15,2310428840
2004-01-16,2310428840
2004-01-20,2315923320
2004-01-21,2346142960
2004-01-22,2370868120
2004-01-23,2365373640
2004-01-26,2357131920
2004-01-27,2357131920
2004-01-28,2409329480
2004-01-29,2373615360
2004-01-30,2379109840
2004-02-02,2403835000
2004-02-03,2395593280
2004-02-04,2395593280
2004-02-05,2381857080
2004-02-06,2414823960
2004-02-09,2434054640
2004-02-10,2423065680
2004-02-11,2436801880
2004-02-12,2436801880
2004-02-13,2420318440
2004-02-17,2467021520
2004-02-18,2516471840
2004-02-19,2543944240
2004-02-20,2549438720
2004-02-23,2508230120
2004-02-24,2530208040
2004-02-25,2494493920
2004-02-26,2502735640
2004-02-27,2532955280
2004-03-01,2571416640
2004-03-02,2579658360
2004-03-03,2568669400
2004-03-04,2552185960
2004-03-05,2585152840
2004-03-08,2615372480
2004-03-09,2609878000
2004-03-10,2590647320
2004-03-11,2565922160
2004-03-12,2590647320
2004-03-15,2532955280
2004-03-16,2598889040
2004-03-17,2637350400
2004-03-18,2631855920
2004-03-19,2618119720
2004-03-22,2645592120
2004-03-23,2642844880
2004-03-24,2684053480
2004-03-25,2640097640
2004-03-26,2686800720
2004-03-29,2697789680
2004-03-30,2686800720
2004-03-31,2666300400
2004-04-01,2729587200
2004-04-02,2765358000
2004-04-05,2792874000
2004-04-06,2765358000
2004-04-07,2748848400
2004-04-08,2743345200
2004-04-12,2765358000
2004-04-13,2729587200
2004-04-14,2693816400
2004-04-15,2762606400
2004-04-16,2784619200
2004-04-19,2823141600
2004-04-20,2787370800
2004-04-21,2768109600
2004-04-22,2779116000
2004-04-23,2696568000
2004-04-26,2682810000
2004-04-27,2737842000
2004-04-28,2693816400
2004-04-29,2674555200
2004-04-30,2682810000
2004-05-03,2724084000
2004-05-04,2737842000
2004-05-05,2740593600
2004-05-06,2710326000
2004-05-07,2644287600
2004-05-10,2644287600
2004-05-11,2655294000
2004-05-12,2677306800
2004-05-13,2688313200
2004-05-14,2663548800
2004-05-17,2636032800
2004-05-18,2652542400
2004-05-19,2638784400
2004-05-20,2666300400
2004-05-21,2649790800
2004-05-24,2647039200
2004-05-25,2702071200
2004-05-26,2721332400
2004-05-27,2729587200
2004-05-28,2748848400
2004-06-01,2743345200
2004-06-02,2795625600
2004-06-03,2737842000
2004-06-04,2779116000
2004-06-07,2795625600
2004-06-08,2850657600
2004-06-09,2817638400
2004-06-10,2825893200
2004-06-14,2806632000
2004-06-15,2839651200
2004-06-16,2831396400
2004-06-17,2856160800
2004-06-18,2856160800
2004-06-21,2941460400
2004-06-22,2938708800
2004-06-23,2946963600
2004-06-24,2957970000
2004-06-25,2990989200
2004-06-28,2990989200
2004-06-29,2993740800
2004-06-30,2975668080
2004-07-01,2950824840
2004-07-02,2961866280
2004-07-06,3069520320
2004-07-07,3166132920
2004-07-08,2983949160
2004-07-09,2978428440
2004-07-12,3058478880
2004-07-13,3097123920
2004-07-14,3088842840
2004-07-15,3052958160
2004-07-16,3047437440
2004-07-19,3019833840
2004-07-20,2964626640
2004-07-21,2923221240
2004-07-22,2879055480
2004-07-23,2837650080
2004-07-26,2834889720
2004-07-27,2856972600
2004-07-28,2934262680
2004-07-29,2925981600
2004-07-30,2934262680
2004-08-02,2931502320
2004-08-03,2923221240
2004-08-04,2912179800
2004-08-05,2870774400
2004-08-06,2829369000
2004-08-09,2821087920
2004-08-10,2895617640
2004-08-11,2881815840
2004-08-12,2865253680
2004-08-13,2865253680
2004-08-16,2914940160
2004-08-17,2920460880
2004-08-18,2961866280
2004-08-19,2992230240
2004-08-20,3030875280
2004-08-23,3022594200
2004-08-24,3061239240
2004-08-25,3099884280
2004-08-26,3099884280
2004-08-27,3061239240
2004-08-30,3047437440
2004-08-31,3097123920
2004-09-01,3146810400
