,UNH
2000-05-03,9970256000
2000-05-04,10152480000
2000-05-05,10256608000
2000-05-08,10738200000
2000-05-09,11037568000
2000-05-10,11128680000
2000-05-11,11258840000
2000-05-12,11610272000
2000-05-15,12143928000
2000-05-16,12300120000
2000-05-17,12143928000
2000-05-18,12612504000
2000-05-19,12430280000
2000-05-22,12417263999
2000-05-23,12274088000
2000-05-24,12664568000
2000-05-25,12456312000
2000-05-26,12339168000
2000-05-30,12352184000
2000-05-31,12130912000
2000-06-01,12365200000
2000-06-02,12182976000
2000-06-05,12195991999
2000-06-06,11935672000
2000-06-07,11974720000
2000-06-08,12039800000
2000-06-09,12521391999
2000-06-12,13002984000
2000-06-13,13133144000
2000-06-14,13341400000
2000-06-15,13341400000
2000-06-16,13133144000
2000-06-19,13016000000
2000-06-20,13042032000
2000-06-21,13185208000
2000-06-22,13081080000
2000-06-23,12989968000
2000-06-26,12976952000
2000-06-27,13042032000
2000-06-28,13406480000
2000-06-29,13992200000
2000-06-30,13798784000
2000-07-03,14172072000
2000-07-05,14326536000
2000-07-06,14764184000
2000-07-07,14442384000
2000-07-10,14056224000
2000-07-11,14107712000
2000-07-12,14365152000
2000-07-13,13798784000
2000-07-14,13592832000
2000-07-17,13991863999
2000-07-18,13502728000
2000-07-19,13502728000
2000-07-20,13657192000
2000-07-21,13682936000
2000-07-24,13245287999
2000-07-25,12666048000
2000-07-26,12575944000
2000-07-27,13142312000
2000-07-28,13065080000
2000-07-31,13168056000
2000-08-01,13425496000
2000-08-02,13489856000
2000-08-03,13670063999
2000-08-04,14107712000
2000-08-07,14184944000
2000-08-08,14004736000
2000-08-09,14133456000
2000-08-10,14223560000
2000-08-11,14841416000
2000-08-14,15047368000
2000-08-15,14970136000
2000-08-16,14828544000
2000-08-17,14931520000
2000-08-18,14699824000
2000-08-21,14777056000
2000-08-22,15047368000
2000-08-23,14699824000
2000-08-24,14686952000
2000-08-25,14442384000
2000-08-28,14481000000
2000-08-29,14596848000
2000-08-30,14583976000
2000-08-31,15201832000
2000-09-01,15111728000
2000-09-05,14931520000
2000-09-06,14880032000
2000-09-07,14777056000
2000-09-08,14558232000
2000-09-11,15021624000
2000-09-12,14712696000
2000-09-13,14725568000
2000-09-14,15188960000
2000-09-15,14918648000
2000-09-18,14674080000
2000-09-19,15176087999
2000-09-20,14854287999
2000-09-21,15188960000
2000-09-22,15742456000
2000-09-25,15652352000
2000-09-26,15678096000
2000-09-27,15768200000
2000-09-28,15999896000
2000-09-29,15884048000
2000-10-02,16825392000
2000-10-03,16723728000
2000-10-04,16291656000
2000-10-05,16647480000
2000-10-06,16355195999
2000-10-09,16367904000
2000-10-10,16812684000
2000-10-11,16761852000
2000-10-12,16126452000
2000-10-13,16494984000
2000-10-16,17308296000
2000-10-17,16965180000
2000-10-18,16647480000
2000-10-19,16609356000
2000-10-20,16723728000
2000-10-23,16609356000
2000-10-24,16939764000
2000-10-25,16596648000
2000-10-26,17066844000
2000-10-27,17422668000
2000-10-30,18426600000
2000-10-31,17371836000
2000-11-01,16863516000
2000-11-02,16558524000
2000-11-03,16863516000
2000-11-06,17321004000
2000-11-07,17270172000
2000-11-08,17549748000
2000-11-09,18045360000
2000-11-10,17956404000
2000-11-13,17460792000
2000-11-14,17994528000
2000-11-15,18261396000
2000-11-16,18312228000
2000-11-17,18337644000
2000-11-20,18274104000
2000-11-21,18312228000
2000-11-22,17905572000
2000-11-24,18274104000
2000-11-27,18312228000
2000-11-28,18490140000
2000-11-29,18782424000
2000-11-30,18629928000
2000-12-01,18426600000
2000-12-04,18566388000
2000-12-05,18807840000
2000-12-06,18706176000
2000-12-07,18540972000
2000-12-08,18947628000
2000-12-11,19125540000
2000-12-12,18795132000
2000-12-13,18769716000
2000-12-14,18312228000
2000-12-15,18668052000
2000-12-18,19201788000
2000-12-19,18591804000
2000-12-20,18718884000
2000-12-21,19176372000
2000-12-22,18985752000
2000-12-26,19455948000
2000-12-27,19341576000
2000-12-28,19862604000
2000-12-29,19494072000
2001-01-02,18718884000
2001-01-03,18172440000
2001-01-04,16901640000
2001-01-05,17130384000
2001-01-08,17079552000
2001-01-09,17257464000
2001-01-10,17956404000
2001-01-11,17587872000
2001-01-12,17219340000
2001-01-16,17054136000
2001-01-17,16736436000
2001-01-18,16596648000
2001-01-19,16380612000
2001-01-22,17575164000
2001-01-23,18591804000
2001-01-24,18960336000
2001-01-25,19227204000
2001-01-26,18998460000
2001-01-29,18668052000
2001-01-30,18134316000
2001-01-31,17918280000
2001-02-01,18032652000
2001-02-02,19417824000
2001-02-05,19824480000
2001-02-06,19341576000
2001-02-07,19659276000
2001-02-08,19341576000
2001-02-09,18604512000
2001-02-12,18782424000
2001-02-13,18617220000
2001-02-14,18108900000
2001-02-15,17867448000
2001-02-16,18083484000
2001-02-20,17981820000
2001-02-21,17943696000
2001-02-22,17498916000
2001-02-23,17257464000
2001-02-26,17854740000
2001-02-27,18235980000
2001-02-28,18820548000
2001-03-01,18744300000
2001-03-02,19316160000
2001-03-05,19062000000
2001-03-06,19227204000
2001-03-07,19227204000
2001-03-08,19544904000
2001-03-09,19379700000
2001-03-12,18960336000
2001-03-13,18706176000
2001-03-14,18464724000
2001-03-15,18401184000
2001-03-16,17740368000
2001-03-19,18032652000
2001-03-20,18032652000
2001-03-21,17257464000
2001-03-22,16749144000
2001-03-23,17321004000
2001-03-26,17829324000
2001-03-27,17905572000
2001-03-28,17829324000
2001-03-29,18363060000
2001-03-30,18820548000
2001-04-02,18310908000
2001-04-03,18223296000
2001-04-04,18736452000
2001-04-05,18774000000
2001-04-06,18448584000
2001-04-09,18711420000
2001-04-10,18511164000
2001-04-11,18098136000
2001-04-12,18285876000
2001-04-16,18223296000
2001-04-17,18473616000
2001-04-18,18986772000
2001-04-19,18899160000
2001-04-20,18836580000
2001-04-23,18698904000
2001-04-24,19011804000
2001-04-25,19712700000
2001-04-26,20300952000
2001-04-27,20413596000
2001-04-30,20488692000
2001-05-01,20701464000
2001-05-02,19775280000
2001-05-03,19274640000
2001-05-04,19136964000
2001-05-07,19024320000
2001-05-08,18498648000
2001-05-09,18523680000
2001-05-10,17972976000
2001-05-11,18285876000
2001-05-14,18511164000
2001-05-15,18548712000
2001-05-16,19011804000
2001-05-17,18260844000
2001-05-18,17747688000
2001-05-21,17359692000
2001-05-22,16996728000
2001-05-23,16596216000
2001-05-24,17309628000
2001-05-25,17034276000
2001-05-29,16834020000
2001-05-30,17284596000
2001-05-31,17998008000
2001-06-01,17747688000
2001-06-04,17760204000
2001-06-05,17872848000
2001-06-06,18273360000
2001-06-07,18085620000
2001-06-08,18223296000
2001-06-11,17747688000
2001-06-12,17772720000
2001-06-13,18023040000
2001-06-14,18198264000
2001-06-15,17885364000
2001-06-18,18273360000
2001-06-19,18160716000
2001-06-20,18398520000
2001-06-21,18949224000
2001-06-22,19136964000
2001-06-25,19487412000
2001-06-26,19324704000
2001-06-27,19675152000
2001-06-28,19575024000
2001-06-29,19324704000
2001-07-02,19312568000
2001-07-03,19250748000
2001-07-05,19139472000
2001-07-06,19139472000
2001-07-09,19634032000
2001-07-10,19436208000
2001-07-11,19621668000
2001-07-12,20116228000
2001-07-13,20338780000
2001-07-16,20004952000
2001-07-17,20400600000
2001-07-18,20511876000
2001-07-19,20598424000
2001-07-20,20351144000
2001-07-23,20326416000
2001-07-24,20091500000
2001-07-25,19930768000
2001-07-26,20091500000
2001-07-27,20091500000
2001-07-30,20573696000
2001-07-31,20845704000
2001-08-01,20091500000
2001-08-02,19770036000
2001-08-03,19868948000
2001-08-06,19634032000
2001-08-07,19906040000
2001-08-08,19683488000
2001-08-09,19671124000
2001-08-10,19906040000
2001-08-13,20178048000
2001-08-14,20252232000
2001-08-15,20215140000
2001-08-16,20524240000
2001-08-17,20289324000
2001-08-20,20425328000
2001-08-21,20635516000
2001-08-22,20833340000
2001-08-23,21253716000
2001-08-24,21055892000
2001-08-27,21179532000
2001-08-28,21303172000
2001-08-29,21402084000
2001-08-30,21241352000
2001-08-31,21043528000
2001-09-04,21018800000
2001-09-05,21117711999
2001-09-06,20672608000
2001-09-07,20190411999
2001-09-10,20524240000
2001-09-17,19943132000
2001-09-18,19324932000
2001-09-19,19090016000
2001-09-20,18978740000
2001-09-21,18533636000
2001-09-24,19040560000
2001-09-25,19473300000
2001-09-26,20276960000
2001-09-27,20400600000
2001-09-28,20561332000
2001-10-01,20558912000
2001-10-02,20669576000
2001-10-03,20669576000
2001-10-04,20940088000
2001-10-05,21099936000
2001-10-08,20940088000
2001-10-09,20927792000
2001-10-10,21186008000
2001-10-11,20804832000
2001-10-12,20620392000
2001-10-15,20976976000
2001-10-16,21087640000
2001-10-17,20915496000
2001-10-18,20841720000
2001-10-19,20780240000
2001-10-22,21161416000
2001-10-23,20903200000
2001-10-24,20288400000
2001-10-25,20448248000
2001-10-26,20718760000
2001-10-29,20681872000
2001-10-30,20546616000
2001-10-31,20214624000
2001-11-01,20054776000
2001-11-02,20153144000
2001-11-05,20325288000
2001-11-06,20522024000
2001-11-07,20251512000
2001-11-08,19735080000
2001-11-09,19526048000
2001-11-12,19808856000
2001-11-13,19968703999
2001-11-14,19993296000
2001-11-15,20030184000
2001-11-16,20116256000
2001-11-19,20718760000
2001-11-20,21751624000
2001-11-21,21788512000
2001-11-23,21899176000
2001-11-26,21960656000
2001-11-27,21874584000
2001-11-28,22046728000
2001-11-29,21923767999
2001-11-30,21960656000
2001-12-03,21923767999
2001-12-04,21911472000
2001-12-05,22120503999
2001-12-06,22194280000
2001-12-07,22181984000
2001-12-10,21985248000
2001-12-11,22059024000
2001-12-12,21431928000
2001-12-13,21518000000
2001-12-14,21813103999
2001-12-17,21813103999
2001-12-18,21825400000
2001-12-19,21345856000
2001-12-20,21284376000
2001-12-21,21333560000
2001-12-24,21591776000
2001-12-26,21591776000
2001-12-27,21690144000
2001-12-28,21763920000
2001-12-31,21751624000
2002-01-02,21653256000
2002-01-03,21407336000
2002-01-04,21518000000
2002-01-07,21382744000
2002-01-08,21321264000
2002-01-09,21382744000
2002-01-10,21702440000
2002-01-11,22059024000
2002-01-14,22292648000
2002-01-15,22329536000
2002-01-16,22440200000
2002-01-17,22243464000
2002-01-18,22317240000
2002-01-22,22304944000
2002-01-23,22255760000
2002-01-24,22845967999
2002-01-25,22809080000
2002-01-28,22747600000
2002-01-29,22427903999
2002-01-30,22292648000
2002-01-31,22858264000
2002-02-01,23042703999
2002-02-04,22710712000
2002-02-05,23055000000
2002-02-06,22932040000
2002-02-07,23091888000
2002-02-08,22882856000
2002-02-11,22870560000
2002-02-12,23227144000
2002-02-13,23116480000
2002-02-14,22907448000
2002-02-15,22845967999
2002-02-19,22686120000
2002-02-20,22710712000
2002-02-21,23030408000
2002-02-22,22968928000
2002-02-25,22858264000
2002-02-26,22661528000
2002-02-27,22427903999
2002-02-28,22280352000
2002-03-01,21899176000
2002-03-04,20940088000
2002-03-05,21136824000
2002-03-06,21530296000
2002-03-07,21702440000
2002-03-08,21972952000
2002-03-11,22464792000
2002-03-12,22550864000
2002-03-13,22636936000
2002-03-14,22870560000
2002-03-15,22919744000
2002-03-18,23030408000
2002-03-19,23153367999
2002-03-20,23153367999
2002-03-21,23165664000
2002-03-22,22956632000
2002-03-25,22858264000
2002-03-26,22870560000
2002-03-27,23177960000
2002-03-28,23497656000
2002-04-01,23143400000
2002-04-02,23497200000
2002-04-03,23375200000
2002-04-04,23436200000
2002-04-05,23619200000
2002-04-08,23509400000
2002-04-09,23582599999
2002-04-10,23777800000
2002-04-11,23899800000
2002-04-12,23424000000
2002-04-15,23338600000
2002-04-16,23436200000
2002-04-17,24265800000
2002-04-18,25693200000
2002-04-19,26169000000
2002-04-22,26230000000
2002-04-23,25973800000
2002-04-24,26230000000
2002-04-25,26535000000
2002-04-26,26242200000
2002-04-29,26230000000
2002-04-30,26779000000
2002-05-01,27328000000
2002-05-02,27425600000
2002-05-03,27315800000
2002-05-06,27376800000
2002-05-07,27010800000
2002-05-08,27425600000
2002-05-09,26998600000
2002-05-10,26901000000
2002-05-13,26803400000
2002-05-14,26657000000
2002-05-15,26962000000
2002-05-16,27145000000
2002-05-17,27010800000
2002-05-20,26498400000
2002-05-21,26596000000
2002-05-22,26339800000
2002-05-23,26840000000
2002-05-24,26974200000
2002-05-28,27108400000
2002-05-29,27413400000
2002-05-30,27803800000
2002-05-31,27694000000
2002-06-03,27559800000
2002-06-04,27450000000
2002-06-05,27986800000
2002-06-06,27913600000
2002-06-07,28792000000
2002-06-10,28987200000
2002-06-11,29633800000
2002-06-12,29597200000
2002-06-13,29109200000
2002-06-14,27986800000
2002-06-17,28670000000
2002-06-18,29097000000
2002-06-19,29682599999
2002-06-20,29328800000
2002-06-21,28548000000
2002-06-24,27462200000
2002-06-25,27376800000
2002-06-26,27755000000
2002-06-27,28047800000
2002-06-28,27925800000
2002-07-01,27717236000
2002-07-02,27081024000
2002-07-03,27069020000
2002-07-05,27573188000
2002-07-08,28017336000
2002-07-09,27585192000
2002-07-10,26480824000
2002-07-11,26900964000
2002-07-12,27645212000
2002-07-15,27717236000
2002-07-16,26936976000
2002-07-17,27765252000
2002-07-18,26924972000
2002-07-19,26468820000
2002-07-22,24740244000
2002-07-23,25136376000
2002-07-24,26636876000
2002-07-25,26180724000
2002-07-26,25724572000
2002-07-29,26156716000
2002-07-30,25616536000
2002-07-31,26312768000
2002-08-01,25880624000
2002-08-02,25532508000
2002-08-05,24656216000
2002-08-06,25304431999
2002-08-07,25652548000
2002-08-08,26468820000
2002-08-09,26504831999
2002-08-12,26780924000
2002-08-13,26048680000
2002-08-14,27009000000
2002-08-15,26456816000
2002-08-16,26588860000
2002-08-19,26936976000
2002-08-20,26768920000
2002-08-21,26792928000
2002-08-22,27609200000
2002-08-23,27081024000
2002-08-26,27117036000
2002-08-27,26480824000
2002-08-28,25976656000
2002-08-29,26204731999
2002-08-30,26516836000
2002-09-03,25364452000
2002-09-04,26048680000
2002-09-05,25880624000
2002-09-06,26000664000
2002-09-09,26540844000
2002-09-10,26648880000
2002-09-11,26648880000
2002-09-12,26912968000
2002-09-13,27549180000
2002-09-16,27753248000
2002-09-17,27453148000
2002-09-18,27549180000
2002-09-19,26888960000
2002-09-20,27021004000
2002-09-23,26948980000
2002-09-24,25916636000
2002-09-25,26216736000
2002-09-26,26264752000
2002-09-27,26228740000
2002-09-30,26023692000
2002-10-01,26393584000
2002-10-02,26703816000
2002-10-03,27324280000
2002-10-04,26811204000
2002-10-07,26918592000
2002-10-08,27360076000
2002-10-09,27145300000
2002-10-10,27491328000
2002-10-11,27885084000
2002-10-14,28266908000
2002-10-15,28779984000
2002-10-16,29233400000
2002-10-17,29149876000
2002-10-18,29746476000
2002-10-21,29627155999
2002-10-22,29519768000
2002-10-23,29937388000
2002-10-24,29316924000
2002-10-25,28958964000
2002-10-28,28529412000
2002-10-29,28243044000
2002-10-30,28433955999
2002-10-31,27133368000
2002-11-01,27646444000
2002-11-04,27861220000
2002-11-05,27204960000
2002-11-06,28195316000
2002-11-07,28350432000
2002-11-08,25904372000
2002-11-11,26250400000
2002-11-12,26644155999
2002-11-13,26906660000
2002-11-14,27061776000
2002-11-15,27706104000
2002-11-18,27729968000
2002-11-19,27300416000
2002-11-20,26775408000
2002-11-21,25319704000
2002-11-22,25248112000
2002-11-25,22802052000
2002-11-26,23601496000
2002-11-27,23983320000
2002-11-29,24293552000
2002-12-02,22861712000
2002-12-03,23541836000
2002-12-04,24782764000
2002-12-05,24854355999
2002-12-06,24866288000
2002-12-09,24138436000
2002-12-10,24412872000
2002-12-11,24782764000
2002-12-12,24985608000
2002-12-13,24436736000
2002-12-16,24675376000
2002-12-17,24567988000
2002-12-18,24460600000
2002-12-19,24460600000
2002-12-20,24186164000
2002-12-23,24973676000
2002-12-24,25140724000
2002-12-26,24818560000
2002-12-27,24532192000
2002-12-30,24937880000
2002-12-31,24930720000
2003-01-02,25587420000
2003-01-03,25850100000
2003-01-06,25193400000
2003-01-07,25014300000
2003-01-08,25229220000
2003-01-09,25229220000
2003-01-10,24906840000
2003-01-13,24668040000
2003-01-14,24548640000
2003-01-15,24477000000
2003-01-16,24548640000
2003-01-17,25181460000
2003-01-21,24823260000
2003-01-22,24703860000
2003-01-23,25312800000
2003-01-24,25312800000
2003-01-27,24632220000
2003-01-28,25121760000
2003-01-29,25671000000
2003-01-30,25587420000
2003-01-31,26232180000
2003-02-03,25682940000
2003-02-04,25169519999
2003-02-05,25050120000
2003-02-06,25085940000
2003-02-07,25265040000
2003-02-10,25551600000
2003-02-11,24906840000
2003-02-12,23951640000
2003-02-13,23808360000
2003-02-14,23880000000
2003-02-18,24488940000
2003-02-19,24441180000
2003-02-20,24333720000
2003-02-21,24536700000
2003-02-24,23951640000
2003-02-25,24118800000
2003-02-26,24524760000
2003-02-27,24668040000
2003-02-28,24739680000
2003-03-03,25026240000
2003-03-04,24608340000
2003-03-05,25133700000
2003-03-06,25229220000
2003-03-07,25491900000
2003-03-10,25014300000
2003-03-11,24930720000
2003-03-12,24966540000
2003-03-13,25587420000
2003-03-14,24966540000
2003-03-17,25873980000
2003-03-18,26041140000
2003-03-19,26196360000
2003-03-20,26088900000
2003-03-21,26829180000
2003-03-24,26662019999
2003-03-25,27067980000
2003-03-26,26745600000
2003-03-27,26781420000
2003-03-28,27509760000
2003-03-31,27045600000
2003-04-01,26927600000
2003-04-02,27045600000
2003-04-03,27435000000
2003-04-04,27234399999
2003-04-07,27269800000
2003-04-08,27647400000
2003-04-09,27269800000
2003-04-10,27033800000
2003-04-11,27411400000
2003-04-14,27777200000
2003-04-15,27659200000
2003-04-16,26561800000
2003-04-17,27092800000
2003-04-21,26408400000
2003-04-22,26939399999
2003-04-23,26774200000
2003-04-24,26880400000
2003-04-25,26762400000
2003-04-28,26797800000
2003-04-29,26703400000
2003-04-30,27175400000
2003-05-01,26821400000
2003-05-02,27328800000
2003-05-05,27541200000
2003-05-06,27753600000
2003-05-07,27364200000
2003-05-08,27199000000
2003-05-09,27576600000
2003-05-12,27789000000
2003-05-13,27623800000
2003-05-14,27623800000
2003-05-15,27494000000
2003-05-16,28143000000
2003-05-19,27824399999
2003-05-20,28249200000
2003-05-21,28874600000
2003-05-22,28556000000
2003-05-23,28166600000
2003-05-27,28131200000
2003-05-28,28166600000
2003-05-29,28036800000
2003-05-30,28308200000
2003-06-02,27836200000
2003-06-03,28320000000
2003-06-04,28131200000
2003-06-05,28615000000
2003-06-06,28874600000
2003-06-09,28662200000
2003-06-10,29157800000
2003-06-11,29865800000
2003-06-12,30101800000
2003-06-13,29759600000
2003-06-16,30385000000
2003-06-17,30939600000
2003-06-18,30762600000
2003-06-19,29452800000
2003-06-20,29854000000
2003-06-23,29700600000
2003-06-24,29806800000
2003-06-25,29500000000
2003-06-26,29830400000
2003-06-27,29629800000
2003-06-30,29603140000
2003-07-01,29638480000
2003-07-02,30321720000
2003-07-03,29991880000
2003-07-07,30616220000
2003-07-08,30745800000
2003-07-09,30781140000
2003-07-10,30368840000
2003-07-11,30156800000
2003-07-14,29367540000
2003-07-15,29473560000
2003-07-16,28637180000
2003-07-17,30498420000
2003-07-18,30887160000
2003-07-21,30922500000
2003-07-22,31122760000
2003-07-23,32100500000
2003-07-24,31370140000
2003-07-25,31876680000
2003-07-28,32206520000
2003-07-29,32477460000
2003-07-30,32253640000
2003-07-31,30686900000
2003-08-01,30922500000
2003-08-04,30863600000
2003-08-05,29956540000
2003-08-06,28731420000
2003-08-07,29438220000
2003-08-08,29379320000
2003-08-11,29909420000
2003-08-12,30133239999
2003-08-13,29709160000
2003-08-14,30168580000
2003-08-15,30168580000
2003-08-18,30427739999
2003-08-19,30321720000
2003-08-20,29626700000
2003-08-21,29202620000
2003-08-22,28813880000
2003-08-25,28684300000
2003-08-26,29002360000
2003-08-27,28837440000
2003-08-28,28743200000
2003-08-29,29108380000
2003-09-02,29332200000
2003-09-03,29190840000
2003-09-04,29379320000
2003-09-05,29214400000
2003-09-08,29744500000
2003-09-09,29638480000
2003-09-10,29450000000
2003-09-11,29461780000
2003-09-12,29391100000
2003-09-15,29473560000
2003-09-16,29497120000
2003-09-17,29850520000
2003-09-18,29803400000
2003-09-19,29426440000
2003-09-22,29273300000
2003-09-23,29190840000
2003-09-24,28896340000
2003-09-25,28272000000
2003-09-26,28472260000
2003-09-29,28731420000
2003-09-30,30242320000
2003-10-01,31107760000
2003-10-02,31408260000
2003-10-03,31612600000
2003-10-06,30951500000
2003-10-07,31035640000
2003-10-08,30807260000
2003-10-09,30999580000
2003-10-10,31360180000
2003-10-13,31828960000
2003-10-14,31528460000
2003-10-15,30855340000
2003-10-16,32081380000
2003-10-17,32454000000
2003-10-20,32994900000
2003-10-21,33391560000
2003-10-22,33055000000
2003-10-23,32441980000
2003-10-24,32610260000
2003-10-27,31492400000
2003-10-28,31468360000
2003-10-29,31420280000
2003-10-30,30687060000
2003-10-31,30578880000
2003-11-03,30302420000
2003-11-04,29857680000
2003-11-05,30050000000
2003-11-06,29509100000
2003-11-07,28763860000
2003-11-10,28992240000
2003-11-11,29400920000
2003-11-12,29833640000
2003-11-13,29989900000
2003-11-14,29857680000
2003-11-17,29965860000
2003-11-18,29509100000
2003-11-19,30999580000
2003-11-20,30530800000
2003-11-21,31083720000
2003-11-24,31732800000
2003-11-25,32357840000
2003-11-26,32321780000
2003-11-28,32393900000
2003-12-01,32838640000
2003-12-02,33006920000
2003-12-03,32754500000
2003-12-04,32562180000
2003-12-05,32069360000
2003-12-08,32309760000
2003-12-09,32093400000
2003-12-10,31997240000
2003-12-11,32309760000
2003-12-12,32742480000
2003-12-15,32742480000
2003-12-16,32982880000
2003-12-17,33607920000
2003-12-18,33824280000
2003-12-19,33692060000
2003-12-22,33908420000
2003-12-23,33668020000
2003-12-24,33788220000
2003-12-26,33956500000
2003-12-29,34918100000
2003-12-30,34749820000
2003-12-31,34966180000
2004-01-02,35483040000
2004-01-05,33776200000
2004-01-06,34124780000
2004-01-07,34449320000
2004-01-08,34509420000
2004-01-09,34208920000
2004-01-12,34076700000
2004-01-13,33956500000
2004-01-14,34845980000
2004-01-15,35038300000
2004-01-16,35254660000
2004-01-20,35206580000
2004-01-21,35122440000
2004-01-22,36468680000
2004-01-23,35867680000
2004-01-26,35999900000
2004-01-27,35735460000
2004-01-28,35711420000
2004-01-29,36612920000
2004-01-30,36588880000
2004-02-02,36072020000
2004-02-03,36120100000
2004-02-04,36108080000
2004-02-05,35531120000
2004-02-06,35831620000
2004-02-09,35795560000
2004-02-10,36060000000
2004-02-11,35699400000
2004-02-12,35579200000
2004-02-13,35867680000
2004-02-17,36360500000
2004-02-18,36240300000
2004-02-19,36697060000
2004-02-20,36685040000
2004-02-23,36793220000
2004-02-24,37213920000
2004-02-25,37189880000
2004-02-26,37249980000
2004-02-27,37262000000
2004-03-01,37045640000
2004-03-02,36829280000
2004-03-03,37454320000
2004-03-04,37562500000
2004-03-05,37971180000
2004-03-08,37538460000
2004-03-09,36913420000
2004-03-10,37033620000
2004-03-11,36432620000
2004-03-12,37153820000
2004-03-15,37334120000
2004-03-16,37814920000
2004-03-17,38067340000
2004-03-18,38512080000
2004-03-19,38151480000
2004-03-22,37838960000
2004-03-23,38283700000
2004-03-24,37262000000
2004-03-25,37430280000
2004-03-26,37310080000
2004-03-29,38019260000
2004-03-30,38247640000
2004-03-31,39308400000
2004-04-01,39637800000
2004-04-02,39723200000
2004-04-05,40870000000
2004-04-06,40979800000
2004-04-07,40784600000
2004-04-08,40565000000
2004-04-12,41528800000
2004-04-13,41114000000
2004-04-14,40809000000
2004-04-15,39015600000
2004-04-16,39906200000
2004-04-19,39686600000
2004-04-20,38735000000
2004-04-21,39515800000
2004-04-22,40394200000
2004-04-23,40235600000
2004-04-26,38979000000
2004-04-27,39357200000
2004-04-28,38649600000
2004-04-29,37990800000
2004-04-30,37502800000
2004-05-03,38100600000
2004-05-04,37515000000
2004-05-05,38149400000
2004-05-06,37637000000
2004-05-07,36929400000
2004-05-10,36807400000
2004-05-11,37417400000
2004-05-12,37746800000
2004-05-13,38015200000
2004-05-14,38137200000
2004-05-17,38186000000
2004-05-18,38405600000
2004-05-19,38515400000
2004-05-20,38210400000
2004-05-21,38552000000
2004-05-24,38869200000
2004-05-25,38808200000
2004-05-26,38430000000
2004-05-27,39296200000
2004-05-28,39808600000
2004-06-01,39894000000
2004-06-02,40064800000
2004-06-03,40003800000
2004-06-04,39625600000
2004-06-07,39967200000
2004-06-08,39686600000
2004-06-09,39430400000
2004-06-10,38954600000
2004-06-14,38771600000
2004-06-15,38869200000
2004-06-16,38918000000
2004-06-17,38893600000
2004-06-18,39040000000
2004-06-21,37966400000
2004-06-22,37454000000
2004-06-23,37490600000
2004-06-24,37393000000
2004-06-25,37661400000
2004-06-28,37063600000
2004-06-29,37466200000
2004-06-30,39877530000
2004-07-01,39582900000
2004-07-02,39044880000
2004-07-06,38481240000
2004-07-07,39249840000
2004-07-08,38647770000
2004-07-09,38596530000
2004-07-12,38775870000
2004-07-13,39711000000
2004-07-14,39646950000
2004-07-15,42093660000
2004-07-16,42042420000
2004-07-19,41850270000
2004-07-20,42234570000
2004-07-21,41196959999
2004-07-22,40953570000
2004-07-23,40287450000
2004-07-26,40799850000
2004-07-27,39390750000
2004-07-28,39582900000
2004-07-29,40992000000
2004-07-30,40287450000
2004-08-02,40389930000
2004-08-03,39915960000
2004-08-04,39941580000
2004-08-05,39685380000
2004-08-06,39301080000
2004-08-09,39313890000
2004-08-10,40402740000
2004-08-11,41120100000
2004-08-12,41171340000
2004-08-13,41568450000
2004-08-16,41773410000
2004-08-17,41632500000
2004-08-18,41683740000
2004-08-19,41568450000
2004-08-20,42003990000
2004-08-23,41606879999
