,CTSH
2000-08-15,744846720
2000-08-16,807288960
2000-08-17,798368640
2000-08-18,793908480
2000-08-21,798368640
2000-08-22,820669440
2000-08-23,793908480
2000-08-24,798368640
2000-08-25,780528000
2000-08-28,776067840
2000-08-29,753767040
2000-08-30,802828800
2000-08-31,793908480
2000-09-01,713625600
2000-09-05,700245120
2000-09-06,584280960
2000-09-07,655643520
2000-09-08,664563840
2000-09-11,686864640
2000-09-12,686864640
2000-09-13,686864640
2000-09-14,677944320
2000-09-15,700245120
2000-09-18,700245120
2000-09-19,731466240
2000-09-20,753767040
2000-09-21,767147520
2000-09-22,767147520
2000-09-25,798368640
2000-09-26,740386560
2000-09-27,700245120
2000-09-28,731466240
2000-09-29,727006080
2000-10-02,724956480
2000-10-03,684681120
2000-10-04,671256000
2000-10-05,671256000
2000-10-06,653355840
2000-10-09,630980640
2000-10-10,644405760
2000-10-11,662305920
2000-10-12,635455680
2000-10-13,653355840
2000-10-16,653355840
2000-10-17,680206080
2000-10-18,689156160
2000-10-19,729431520
2000-10-20,729431520
2000-10-23,720481440
2000-10-24,716006400
2000-10-25,742856640
2000-10-26,742856640
2000-10-27,738381600
2000-10-30,716006400
2000-10-31,765231840
2000-11-01,733906560
2000-11-02,742856640
2000-11-03,783132000
2000-11-06,774181920
2000-11-07,832357440
2000-11-08,783132000
2000-11-09,792082080
2000-11-10,765231840
2000-11-13,716006400
2000-11-14,792082080
2000-11-15,801032160
2000-11-16,751806720
2000-11-17,747331680
2000-11-20,738381600
2000-11-21,742856640
2000-11-22,729431520
2000-11-24,724956480
2000-11-27,716006400
2000-11-28,702581280
2000-11-29,689156160
2000-11-30,689156160
2000-12-01,720481440
2000-12-04,720481440
2000-12-05,827882400
2000-12-06,778656960
2000-12-07,733906560
2000-12-08,747331680
2000-12-11,756281760
2000-12-12,738381600
2000-12-13,707056320
2000-12-14,707056320
2000-12-15,689156160
2000-12-18,689156160
2000-12-19,680206080
2000-12-20,635455680
2000-12-21,635455680
2000-12-22,644405760
2000-12-26,613080480
2000-12-27,577280160
2000-12-28,644405760
2000-12-29,675731040
2001-01-02,619277760
2001-01-03,735953280
2001-01-04,740440800
2001-01-05,650690400
2001-01-08,623765280
2001-01-09,668640480
2001-01-10,664152960
2001-01-11,718003200
2001-01-12,744928320
2001-01-16,830191200
2001-01-17,861603840
2001-01-18,884041440
2001-01-19,915454080
2001-01-22,888528960
2001-01-23,933404160
2001-01-24,937891679
2001-01-25,937891679
2001-01-26,884041440
2001-01-29,910966559
2001-01-30,937891679
2001-01-31,919941599
2001-02-01,928916639
2001-02-02,879553920
2001-02-05,870578880
2001-02-06,893016480
2001-02-07,861603840
2001-02-08,852628800
2001-02-09,839166240
2001-02-12,825703680
2001-02-13,794291040
2001-02-14,753903360
2001-02-15,780828480
2001-02-16,767365920
2001-02-20,821216160
2001-02-21,807753600
2001-02-22,767365920
2001-02-23,776340960
2001-02-26,785316000
2001-02-27,776340960
2001-02-28,785316000
2001-03-01,789803520
2001-03-02,771853440
2001-03-05,744928320
2001-03-06,767365920
2001-03-07,758390880
2001-03-08,753903360
2001-03-09,753903360
2001-03-12,709028160
2001-03-13,704540640
2001-03-14,659665440
2001-03-15,655177920
2001-03-16,601327680
2001-03-19,650690400
2001-03-20,650690400
2001-03-21,664152960
2001-03-22,695565600
2001-03-23,682103040
2001-03-26,673128000
2001-03-27,659665440
2001-03-28,619277760
2001-03-29,529527360
2001-03-30,560940000
2001-04-02,626398560
2001-04-03,630937680
2001-04-04,640015920
2001-04-05,703563600
2001-04-06,680868000
2001-04-09,644555040
2001-04-10,699024480
2001-04-11,635476800
2001-04-12,630937680
2001-04-16,594624720
2001-04-17,717180960
2001-04-18,835198080
2001-04-19,876050160
2001-04-20,789806880
2001-04-23,753493920
2001-04-24,717180960
2001-04-25,753493920
2001-04-26,744415680
2001-04-27,739876560
2001-04-30,798885120
2001-05-01,812502480
2001-05-02,817041600
2001-05-03,817041600
2001-05-04,807963360
2001-05-07,789806880
2001-05-08,785267760
2001-05-09,758033040
2001-05-10,771650400
2001-05-11,780728640
2001-05-14,753493920
2001-05-15,767111280
2001-05-16,780728640
2001-05-17,794346000
2001-05-18,803424240
2001-05-21,830658960
2001-05-22,839737200
2001-05-23,821580720
2001-05-24,844276320
2001-05-25,830658960
2001-05-29,803424240
2001-05-30,758033040
2001-05-31,771650400
2001-06-01,771650400
2001-06-04,776189520
2001-06-05,807963360
2001-06-06,817041600
2001-06-07,821580720
2001-06-08,835198080
2001-06-11,830658960
2001-06-12,844276320
2001-06-13,835198080
2001-06-14,771650400
2001-06-15,739876560
2001-06-18,708102720
2001-06-19,717180960
2001-06-20,771650400
2001-06-21,762572160
2001-06-22,739876560
2001-06-25,726259200
2001-06-26,753493920
2001-06-27,780728640
2001-06-28,789806880
2001-06-29,803424240
2001-07-02,805728000
2001-07-03,801123840
2001-07-05,741269760
2001-07-06,755082240
2001-07-09,750478080
2001-07-10,741269760
2001-07-11,750478080
2001-07-12,824144640
2001-07-13,814936320
2001-07-16,805728000
2001-07-17,847165440
2001-07-18,847165440
2001-07-19,819540480
2001-07-20,810332160
2001-07-23,833352960
2001-07-24,842561280
2001-07-25,847165440
2001-07-26,865582080
2001-07-27,874790400
2001-07-30,860977920
2001-07-31,847165440
2001-08-01,865582080
2001-08-02,870186240
2001-08-03,851769600
2001-08-06,824144640
2001-08-07,824144640
2001-08-08,782707200
2001-08-09,805728000
2001-08-10,837957120
2001-08-13,833352960
2001-08-14,847165440
2001-08-15,796519680
2001-08-16,787311360
2001-08-17,791915520
2001-08-20,796519680
2001-08-21,787311360
2001-08-22,791915520
2001-08-23,796519680
2001-08-24,801123840
2001-08-27,791915520
2001-08-28,805728000
2001-08-29,801123840
2001-08-30,796519680
2001-08-31,810332160
2001-09-04,801123840
2001-09-05,796519680
2001-09-06,782707200
2001-09-07,713644800
2001-09-10,718248960
2001-09-17,630769920
2001-09-18,593936640
2001-09-19,575520000
2001-09-20,437013054
2001-09-21,424733760
2001-09-24,431640000
2001-09-25,422049534
2001-09-26,413798880
2001-09-27,401712960
2001-09-28,429720065
2001-10-01,402403150
2001-10-02,396984049
2001-10-03,395822149
2001-10-04,444426750
2001-10-05,442298149
2001-10-08,387298450
2001-10-09,393107950
2001-10-10,406665000
2001-10-11,483350400
2001-10-12,464760000
2001-10-15,464760000
2001-10-16,520531200
2001-10-17,553064400
2001-10-18,529826399
2001-10-19,520531200
2001-10-22,534473999
2001-10-23,543769200
2001-10-24,543769200
2001-10-25,534473999
2001-10-26,604188000
2001-10-29,599540400
2001-10-30,543769200
2001-10-31,548416800
2001-11-01,553064400
2001-11-02,543769200
2001-11-05,548416800
2001-11-06,562359600
2001-11-07,576302400
2001-11-08,580950000
2001-11-09,585597600
2001-11-12,576302400
2001-11-13,599540400
2001-11-14,594892800
2001-11-15,650664000
2001-11-16,627426000
2001-11-19,646016400
2001-11-20,627426000
2001-11-21,636721200
2001-11-23,632073600
2001-11-26,636721200
2001-11-27,669254400
2001-11-28,650664000
2001-11-29,650664000
2001-11-30,618130800
2001-12-03,632073600
2001-12-04,669254400
2001-12-05,762206400
2001-12-06,776149200
2001-12-07,766854000
2001-12-10,752911200
2001-12-11,771501600
2001-12-12,757558800
2001-12-13,771501600
2001-12-14,757558800
2001-12-17,766854000
2001-12-18,785444400
2001-12-19,804034800
2001-12-20,813330000
2001-12-21,841215600
2001-12-24,864453600
2001-12-26,873748800
2001-12-27,855158400
2001-12-28,831920400
2001-12-31,794739600
2002-01-02,743616000
2002-01-03,762206400
2002-01-04,762206400
2002-01-07,729673200
2002-01-08,752911200
2002-01-09,738968400
2002-01-10,711082800
2002-01-11,725025600
2002-01-14,734320800
2002-01-15,720378000
2002-01-16,715730400
2002-01-17,729673200
2002-01-18,692492400
2002-01-22,697140000
2002-01-23,697140000
2002-01-24,706435200
2002-01-25,715730400
2002-01-28,715730400
2002-01-29,655311600
2002-01-30,664606800
2002-01-31,711082800
2002-02-01,715730400
2002-02-04,669254400
2002-02-05,683197200
2002-02-06,655311600
2002-02-07,641368800
2002-02-08,669254400
2002-02-11,655311600
2002-02-12,659959200
2002-02-13,687844800
2002-02-14,678549600
2002-02-15,678549600
2002-02-19,673902000
2002-02-20,678549600
2002-02-21,678549600
2002-02-22,673902000
2002-02-25,678549600
2002-02-26,683197200
2002-02-27,706435200
2002-02-28,687844800
2002-03-01,697140000
2002-03-04,748263600
2002-03-05,738968400
2002-03-06,743616000
2002-03-07,734320800
2002-03-08,734320800
2002-03-11,738968400
2002-03-12,738968400
2002-03-13,720378000
2002-03-14,771501600
2002-03-15,776149200
2002-03-18,771501600
2002-03-19,780796800
2002-03-20,799387200
2002-03-21,799387200
2002-03-22,804034800
2002-03-25,790092000
2002-03-26,794739600
2002-03-27,808682400
2002-03-28,813330000
2002-04-01,822318000
2002-04-02,817619040
2002-04-03,817619040
2002-04-04,827016960
2002-04-05,794124240
2002-04-08,794124240
2002-04-09,761231520
2002-04-10,756532560
2002-04-11,737736720
2002-04-12,751833600
2002-04-15,747134640
2002-04-16,869307600
2002-04-17,911598240
2002-04-18,930394080
2002-04-19,906899280
2002-04-22,883404480
2002-04-23,902200320
2002-04-24,883404480
2002-04-25,911598240
2002-04-26,897501360
2002-04-29,888103440
2002-04-30,920996160
2002-05-01,920996160
2002-05-02,888103440
2002-05-03,920996160
2002-05-06,939792000
2002-05-07,920996160
2002-05-08,958587840
2002-05-09,953888879
2002-05-10,958587840
2002-05-13,1014975360
2002-05-14,1033771200
2002-05-15,1029072240
2002-05-16,1029072240
2002-05-17,1057266000
2002-05-20,1061964959
2002-05-21,1019674320
2002-05-22,1014975360
2002-05-23,1029072240
2002-05-24,1038470160
2002-05-28,1038470160
2002-05-29,1038470160
2002-05-30,1033771200
2002-05-31,953888879
2002-06-03,794124240
2002-06-04,869307600
2002-06-05,888103440
2002-06-06,883404480
2002-06-07,888103440
2002-06-10,902200320
2002-06-11,869307600
2002-06-12,883404480
2002-06-13,958587840
2002-06-14,977383680
2002-06-17,986781600
2002-06-18,1000878480
2002-06-19,949189920
2002-06-20,953888879
2002-06-21,958587840
2002-06-24,967985760
2002-06-25,949189920
2002-06-26,977383680
2002-06-27,1010276400
2002-06-28,1052567040
2002-07-01,1029646080
2002-07-02,991511040
2002-07-03,996277919
2002-07-05,1015345440
2002-07-08,1034412960
2002-07-09,1005811680
2002-07-10,962909760
2002-07-11,986744159
2002-07-12,1010578560
2002-07-15,977210399
2002-07-16,1086848640
2002-07-17,1091615520
2002-07-18,1101149280
2002-07-19,1086848640
2002-07-22,1067781120
2002-07-23,1082081760
2002-07-24,1110683040
2002-07-25,1101149280
2002-07-26,1129750560
2002-07-29,1196486880
2002-07-30,1186953120
2002-07-31,1163118720
2002-08-01,1158351840
2002-08-02,1144051200
2002-08-05,977210399
2002-08-06,1015345440
2002-08-07,1029646080
2002-08-08,1053480480
2002-08-09,1048713600
2002-08-12,1043946720
2002-08-13,1067781120
2002-08-14,1096382400
2002-08-15,1163118720
2002-08-16,1163118720
2002-08-19,1148818080
2002-08-20,1124983680
2002-08-21,1153584960
2002-08-22,1186953120
2002-08-23,1163118720
2002-08-26,1186953120
2002-08-27,1153584960
2002-08-28,1134517440
2002-08-29,1139284320
2002-08-30,1139284320
2002-09-03,1144051200
2002-09-04,1186953120
2002-09-05,1158351840
2002-09-06,1201253760
2002-09-09,1248922560
2002-09-10,1248922560
2002-09-11,1263223200
2002-09-12,1253689440
2002-09-13,1244155680
2002-09-16,1258456320
2002-09-17,1253689440
2002-09-18,1248922560
2002-09-19,1167885600
2002-09-20,1186953120
2002-09-23,1124983680
2002-09-24,1067781120
2002-09-25,1091615520
2002-09-26,1134517440
2002-09-27,1153584960
2002-09-30,1154771520
2002-10-01,1111286400
2002-10-02,1111286400
2002-10-03,1106454720
2002-10-04,1043642880
2002-10-07,966336000
2002-10-08,1000157759
2002-10-09,1067801280
2002-10-10,1154771520
2002-10-11,1178929920
2002-10-14,1188593280
2002-10-15,1261068480
2002-10-16,1270731840
2002-10-17,1304553600
2002-10-18,1294890240
2002-10-21,1328712000
2002-10-22,1348038720
2002-10-23,1372197120
2002-10-24,1386692160
2002-10-25,1401187200
2002-10-28,1352870400
2002-10-29,1348038720
2002-10-30,1343207040
2002-10-31,1333543680
2002-11-01,1367365440
2002-11-04,1410850560
2002-11-05,1415682240
2002-11-06,1488157440
2002-11-07,1463999040
2002-11-08,1410850560
2002-11-11,1348038720
2002-11-12,1391523840
2002-11-13,1396355520
2002-11-14,1449504000
2002-11-15,1377028800
2002-11-18,1338375360
2002-11-19,1323880320
2002-11-20,1343207040
2002-11-21,1425345600
2002-11-22,1463999040
2002-11-25,1468830720
2002-11-26,1406018880
2002-11-27,1454335680
2002-11-29,1435008960
2002-12-02,1468830720
2002-12-03,1449504000
2002-12-04,1449504000
2002-12-05,1420513920
2002-12-06,1444672320
2002-12-09,1377028800
2002-12-10,1415682240
2002-12-11,1410850560
2002-12-12,1425345600
2002-12-13,1425345600
2002-12-16,1449504000
2002-12-17,1449504000
2002-12-18,1449504000
2002-12-19,1459167360
2002-12-20,1483325760
2002-12-23,1521979200
2002-12-24,1492989120
2002-12-26,1517147520
2002-12-27,1502652480
2002-12-30,1497820800
2002-12-31,1476561520
2003-01-02,1476561520
2003-01-03,1466750480
2003-01-06,1466750480
2003-01-07,1368640080
2003-01-08,1319584880
2003-01-09,1314679360
2003-01-10,1275435200
2003-01-13,1265624160
2003-01-14,1255813120
2003-01-15,1255813120
2003-01-16,1255813120
2003-01-17,1231285520
2003-01-21,1211663440
2003-01-22,1192041360
2003-01-23,1201852400
2003-01-24,1182230320
2003-01-27,1152797200
2003-01-28,1152797200
2003-01-29,1167513760
2003-01-30,1201852400
2003-01-31,1231285520
2003-02-03,1280340720
2003-02-04,1241096560
2003-02-05,1241096560
2003-02-06,1275435200
2003-02-07,1329395920
2003-02-10,1329395920
2003-02-11,1349018000
2003-02-12,1324490400
2003-02-13,1344112480
2003-02-14,1373545600
2003-02-18,1388262160
2003-02-19,1388262160
2003-02-20,1373545600
2003-02-21,1393167680
2003-02-24,1398073200
2003-02-25,1427506320
2003-02-26,1422600800
2003-02-27,1417695280
2003-02-28,1437317360
2003-03-03,1437317360
2003-03-04,1432411840
2003-03-05,1427506320
2003-03-06,1437317360
2003-03-07,1422600800
2003-03-10,1388262160
2003-03-11,1378451120
2003-03-12,1344112480
2003-03-13,1275435200
2003-03-14,1304868320
2003-03-17,1314679360
2003-03-18,1329395920
2003-03-19,1304868320
2003-03-20,1314679360
2003-03-21,1324490400
2003-03-24,1358829040
2003-03-25,1388262160
2003-03-26,1402978720
2003-03-27,1393167680
2003-03-28,1368640080
2003-03-31,1386224000
2003-04-01,1361470000
2003-04-02,1361470000
2003-04-03,1410978000
2003-04-04,1406027200
2003-04-07,1391174800
2003-04-08,1401076400
2003-04-09,1366420800
2003-04-10,1207995200
2003-04-11,1173339600
2003-04-14,1178290400
2003-04-15,1222847600
2003-04-16,1247601600
2003-04-17,1277306400
2003-04-21,1272355600
2003-04-22,1232749200
2003-04-23,1222847600
2003-04-24,1203044400
2003-04-25,1178290400
2003-04-28,1158487200
2003-04-29,1153536400
2003-04-30,1113930000
2003-05-01,1084225200
2003-05-02,1133733200
2003-05-05,1153536400
2003-05-06,1153536400
2003-05-07,1153536400
2003-05-08,1123831600
2003-05-09,1138684000
2003-05-12,1123831600
2003-05-13,1138684000
2003-05-14,1163438000
2003-05-15,1287208000
2003-05-16,1302060400
2003-05-19,1242650800
2003-05-20,1242650800
2003-05-21,1252552400
2003-05-22,1267404800
2003-05-23,1267404800
2003-05-27,1292158800
2003-05-28,1277306400
2003-05-29,1292158800
2003-05-30,1282257200
2003-06-02,1222847600
2003-06-03,1217896800
2003-06-04,1361470000
2003-06-05,1356519200
2003-06-06,1420879600
2003-06-09,1420879600
2003-06-10,1480289200
2003-06-11,1495141600
2003-06-12,1514944800
2003-06-13,1500092400
2003-06-16,1529797200
2003-06-17,1534748000
2003-06-18,1524846400
2003-06-19,1475338400
2003-06-20,1470387600
2003-06-23,1420879600
2003-06-24,1415928800
2003-06-25,1440682800
2003-06-26,1559502000
2003-06-27,1544649600
2003-06-30,1534808800
2003-07-01,1575066080
2003-07-02,1630419840
2003-07-03,1660612800
2003-07-07,1715966560
2003-07-08,1761256000
2003-07-09,1736095200
2003-07-10,1781384640
2003-07-11,1791448960
2003-07-14,1861899200
2003-07-15,1801513280
2003-07-16,1801513280
2003-07-17,1741127360
2003-07-18,1731063040
2003-07-21,1700870080
2003-07-22,1932349440
2003-07-23,1977638880
2003-07-24,1977638880
2003-07-25,1967574560
2003-07-28,1972606720
2003-07-29,1977638880
2003-07-30,1922285120
2003-07-31,1937381600
2003-08-01,1912220800
2003-08-04,1917252960
2003-08-05,1897124320
2003-08-06,1846802720
2003-08-07,1831706240
2003-08-08,1851834880
2003-08-11,1826674080
2003-08-12,1851834880
2003-08-13,1851834880
2003-08-14,1826674080
2003-08-15,1846802720
2003-08-18,1902156480
2003-08-19,1992735360
2003-08-20,1947445920
2003-08-21,1952478080
2003-08-22,2007831840
2003-08-25,2007831840
2003-08-26,2032992640
2003-08-27,2098410720
2003-08-28,2194021760
2003-08-29,2188989600
2003-09-02,2319825760
2003-09-03,2370147360
2003-09-04,2410404640
2003-09-05,2440597600
2003-09-08,2375179520
2003-09-09,2350018720
2003-09-10,2254407680
2003-09-11,2319825760
2003-09-12,2329890080
2003-09-15,2294664960
2003-09-16,2425501120
2003-09-17,2566401600
2003-09-18,2506015680
2003-09-19,2541240800
2003-09-22,2465758400
2003-09-23,2475822720
2003-09-24,2355050880
2003-09-25,2294664960
2003-09-26,2274536320
2003-09-29,2350018720
2003-09-30,2332129920
2003-10-01,2378158800
2003-10-02,2429302000
2003-10-03,2536702720
2003-10-06,2582731600
2003-10-07,2557160000
2003-10-08,2531588400
2003-10-09,2562274320
2003-10-10,2812876000
2003-10-13,2812876000
2003-10-14,2812876000
2003-10-15,2812876000
2003-10-16,2741275520
2003-10-17,2700360960
2003-10-20,2807761680
2003-10-21,2695246640
2003-10-22,2679903680
2003-10-23,2685018000
2003-10-24,2649217760
2003-10-27,2669675040
2003-10-28,2736161200
2003-10-29,2787304400
2003-10-30,2858904880
2003-10-31,2899819440
2003-11-03,2945848320
2003-11-04,2925391040
2003-11-05,2879362160
2003-11-06,2935619680
2003-11-07,3012334480
2003-11-10,2925391040
2003-11-11,2843561920
2003-11-12,2996991520
2003-11-13,2976534240
2003-11-14,2925391040
2003-11-17,2864019200
2003-11-18,2838447600
2003-11-19,2884476480
2003-11-20,2879362160
2003-11-21,2802647360
2003-11-24,2910048080
2003-11-25,2961191280
2003-11-26,2950962640
2003-11-28,2930505360
2003-12-01,3037906080
2003-12-02,3094163600
2003-12-03,3022563120
2003-12-04,2945848320
2003-12-05,2956076960
2003-12-08,3058363360
2003-12-09,2935619680
2003-12-10,2874247840
2003-12-11,2950962640
2003-12-12,2925391040
2003-12-15,2869133520
2003-12-16,2731046880
2003-12-17,2623646160
2003-12-18,2782190080
2003-12-19,2710589600
2003-12-22,2761732800
2003-12-23,2848676240
2003-12-24,2817990320
2003-12-26,2792418720
2003-12-29,2899819440
2003-12-30,2894705120
2003-12-31,2943642040
2004-01-02,3031281120
2004-01-05,3242645960
2004-01-06,3268422160
2004-01-07,3376682200
2004-01-08,3325129800
2004-01-09,3289043120
2004-01-12,3376682200
2004-01-13,3247801200
2004-01-14,3319974560
2004-01-15,3392147920
2004-01-16,3417924120
2004-01-20,3325129800
2004-01-21,3572581320
2004-01-22,3588047040
2004-01-23,3649909920
2004-01-26,3593202280
2004-01-27,3624133720
2004-01-28,3500407960
2004-01-29,3479787000
2004-01-30,3490097480
2004-02-02,3459166040
2004-02-03,3490097480
2004-02-04,3340595520
2004-02-05,3407613640
2004-02-06,3417924120
2004-02-09,3345750760
2004-02-10,3273577400
2004-02-11,3356061240
2004-02-12,3345750760
2004-02-13,3232335480
2004-02-17,3191093560
2004-02-18,3170472600
2004-02-19,3062212560
2004-02-20,3134385920
2004-02-23,3082833520
2004-02-24,3015815400
2004-02-25,3087988760
2004-02-26,3093144000
2004-02-27,3046746840
2004-03-01,3067367800
2004-03-02,2964263000
2004-03-03,2912710600
2004-03-04,2948797280
2004-03-05,2990039200
2004-03-08,2881779160
2004-03-09,2794140080
2004-03-10,2721966720
2004-03-11,2763208640
2004-03-12,2825071520
2004-03-15,2768363880
2004-03-16,2799295320
2004-03-17,2861158200
2004-03-18,2819916280
2004-03-19,2830226760
2004-03-22,2742587680
2004-03-23,2701345760
2004-03-24,2716811480
2004-03-25,2856002960
2004-03-26,2871468680
2004-03-29,2948797280
2004-03-30,2923021080
2004-03-31,2945848880
2004-04-01,3003100360
2004-04-02,3128012680
2004-04-05,3164445440
2004-04-06,3075965880
2004-04-07,3049942480
2004-04-08,3044737800
2004-04-12,3055147160
2004-04-13,3039533120
2004-04-14,3008305040
2004-04-15,3013509720
2004-04-16,3023919080
2004-04-19,3128012680
2004-04-20,3029123760
2004-04-21,3070761200
2004-04-22,3169650120
2004-04-23,3138422040
2004-04-26,3101989280
2004-04-27,3023919080
2004-04-28,2909416120
2004-04-29,2846959960
2004-04-30,2815731880
2004-05-03,2794913160
2004-05-04,2841755280
2004-05-05,2919825480
2004-05-06,2883392720
2004-05-07,2784503800
2004-05-10,2779299120
2004-05-11,2784503800
2004-05-12,2810527200
2004-05-13,2857369320
2004-05-14,2732457000
2004-05-17,2649182120
2004-05-18,2800117840
2004-05-19,2789708480
2004-05-20,2779299120
2004-05-21,2810527200
2004-05-24,2872983360
2004-05-25,2971872280
2004-05-26,2987486320
2004-05-27,2961462920
2004-05-28,3008305040
2004-06-01,3003100360
2004-06-02,3013509720
2004-06-03,2878188040
2004-06-04,2930234840
2004-06-07,2987486320
2004-06-08,2992691000
2004-06-09,2956258240
2004-06-10,2992691000
2004-06-14,3013509720
2004-06-15,3154036080
2004-06-16,3211287560
2004-06-17,3206082880
2004-06-18,3190468840
2004-06-21,3232106280
2004-06-22,3200878200
2004-06-23,3304971800
2004-06-24,3289357760
2004-06-25,3372632640
2004-06-28,3429884120
2004-06-29,3284153080
2004-06-30,3346373800
2004-07-01,3267325600
2004-07-02,3262055720
2004-07-06,3198817160
2004-07-07,3193547280
2004-07-08,3119768960
2004-07-09,3267325600
2004-07-12,3183007520
2004-07-13,3325294280
2004-07-14,3325294280
2004-07-15,3309484640
2004-07-16,3283135240
2004-07-19,3246246080
2004-07-20,3209356920
2004-07-21,3114499080
2004-07-22,3119768960
2004-07-23,3014371360
2004-07-26,3404342480
2004-07-27,3625677440
2004-07-28,3572978640
2004-07-29,3615137680
2004-07-30,3630947320
2004-08-02,3583518400
2004-08-03,3483390680
2004-08-04,3446501520
2004-08-05,3346373800
2004-08-06,3262055720
2004-08-09,3314754520
2004-08-10,3383262960
2004-08-11,3330564160
2004-08-12,3225166560
2004-08-13,3272595480
2004-08-16,3330564160
2004-08-17,3341103920
2004-08-18,3441231640
2004-08-19,3404342480
2004-08-20,3493930440
2004-08-23,3435961760
2004-08-24,3451771400
2004-08-25,3536089480
2004-08-26,3557169000
2004-08-27,3588788280
2004-08-30,3551899120
2004-08-31,3615137680
2004-09-01,3688916000
2004-09-02,3662566600
2004-09-03,3620407560
2004-09-07,3609867800
2004-09-08,3673106360
2004-09-09,3810123240
2004-09-10,3847012400
2004-09-13,3889171440
2004-09-14,3868091920
2004-09-15,3789043720
2004-09-16,3831202760
2004-09-17,3794313600
2004-09-20,3762694320
2004-09-21,3825932880
2004-09-22,3752154560
2004-09-23,3767964200
2004-09-24,3767964200
2004-09-27,3699455760
2004-09-28,3752154560
2004-09-29,3883901560
2004-09-30,4065752320
2004-10-01,4017794560
2004-10-04,4156339200
2004-10-05,4161667840
2004-10-06,4140353280
2004-10-07,4145681920
2004-10-08,4028451840
2004-10-11,4103052800
2004-10-12,4300212480
2004-10-13,4246926080
2004-10-14,4284226559
2004-10-15,4305541120
2004-10-18,4289555200
2004-10-19,4236268800
2004-10-20,4204296960
2004-10-21,4230940160
2004-10-22,4262912000
2004-10-25,4294883840
2004-10-26,4103052800
2004-10-27,4374813440
