,AMD
2000-12-08,5049198687
2000-12-11,5442132437
2000-12-12,5422485750
2000-12-13,5265312250
2000-12-14,5186725500
2000-12-15,5088492062
2000-12-18,4793791750
2000-12-19,4833085125
2000-12-20,4577678187
2000-12-21,4302624562
2000-12-22,4499091437
2000-12-26,4440151375
2000-12-27,4597324875
2000-12-28,4499091437
2000-12-29,4341917937
2001-01-02,4518738125
2001-01-03,5108138750
2001-01-04,5245665562
2001-01-05,5029552000
2001-01-08,5088492062
2001-01-09,5265312250
2001-01-10,5383192375
2001-01-11,5717186062
2001-01-12,5599305937
2001-01-16,5383192375
2001-01-17,5815419500
2001-01-18,7131747562
2001-01-19,6915634000
2001-01-22,6738813812
2001-01-23,7013867437
2001-01-24,7131747562
2001-01-25,6895987312
2001-01-26,6719167125
2001-01-29,7229981000
2001-01-30,7550614940
2001-01-31,7732936200
2001-02-01,8081861055
2001-02-02,7509749515
2001-02-05,7544328000
2001-02-06,7560045035
2001-02-07,7409158790
2001-02-08,7544328000
2001-02-09,7660636704
2001-02-12,7544328000
2001-02-13,7547471470
2001-02-14,7842957964
2001-02-15,8245321810
2001-02-16,7767514055
2001-02-20,7094811790
2001-02-21,7229981000
2001-02-22,6601287000
2001-02-23,6947068700
2001-02-26,7176542009
2001-02-27,6909347060
2001-02-28,6758460500
2001-03-01,6585569964
2001-03-02,6833903779
2001-03-05,7270845795
2001-03-06,7780088250
2001-03-07,7890109700
2001-03-08,8173022000
2001-03-09,7324284785
2001-03-12,7145107310
2001-03-13,7475171974
2001-03-14,7525467494
2001-03-15,7406015005
2001-03-16,7355719800
2001-03-19,7459454310
2001-03-20,7050803210
2001-03-21,7321141944
2001-03-22,8314478464
2001-03-23,9254375994
2001-03-26,9034332780
2001-03-27,9332962744
2001-03-28,8707412214
2001-03-29,8896019785
2001-03-30,8342769694
2001-04-02,8418060000
2001-04-03,7817241600
2001-04-04,6846688799
2001-04-05,7599362400
2001-04-06,6618905669
2001-04-09,6503364330
2001-04-10,7038158400
2001-04-11,7761121200
2001-04-12,8203482000
2001-04-16,7757820000
2001-04-17,7592760000
2001-04-18,9193842000
2001-04-19,9576781200
2001-04-20,9573480000
2001-04-23,9111312000
2001-04-24,9028782000
2001-04-25,8880228000
2001-04-26,9081601200
2001-04-27,9903600000
2001-04-30,10233720000
2001-05-01,10517623530
2001-05-02,10877454330
2001-05-03,10765213530
2001-05-04,10230418800
2001-05-07,9906901200
2001-05-08,9821070000
2001-05-09,9292878000
2001-05-10,9474444330
2001-05-11,9137721600
2001-05-14,8979264330
2001-05-15,9619696469
2001-05-16,10398780000
2001-05-17,10415285669
2001-05-18,10725599460
2001-05-21,11356128660
2001-05-22,11220779460
2001-05-23,10781719199
2001-05-24,10547334330
2001-05-25,10544033130
2001-05-29,9715431600
2001-05-30,9226854330
2001-05-31,9325890000
2001-06-01,9771552000
2001-06-04,9114613530
2001-06-05,9540468000
2001-06-06,9365504730
2001-06-07,9996033930
2001-06-08,10266732000
2001-06-11,9920105669
2001-06-12,9794660400
2001-06-13,9665913930
2001-06-14,9058493130
2001-06-15,9098106869
2001-06-18,8715168000
2001-06-19,8249698799
2001-06-20,7906374330
2001-06-21,8081337600
2001-06-22,8144060400
2001-06-25,8348735130
2001-06-26,8632638000
2001-06-27,8748180000
2001-06-28,9055191600
2001-06-29,9540468000
2001-07-02,10261608560
2001-07-03,10268509440
2001-07-05,9882059814
2001-07-06,7176914854
2001-07-09,7314933145
2001-07-10,7245924000
2001-07-11,7287329625
2001-07-12,7832499145
2001-07-13,7273527519
2001-07-16,6900880000
2001-07-17,7045798480
2001-07-18,6165936625
2001-07-19,6052072105
2001-07-20,5865748000
2001-07-23,5820892625
2001-07-24,5651820374
2001-07-25,5624216854
2001-07-26,6038270000
2001-07-27,6100377920
2001-07-30,6283250894
2001-07-31,6300503440
2001-08-01,6521331599
2001-08-02,6818069440
2001-08-03,6642097000
2001-08-06,6079675625
2001-08-07,6055521854
2001-08-08,5762235145
2001-08-09,5758784705
2001-08-10,5593162894
2001-08-13,5731181185
2001-08-14,5348182000
2001-08-15,5089399000
2001-08-16,5175660000
2001-08-17,4965183160
2001-08-20,4989336240
2001-08-21,5089399000
2001-08-22,5006588440
2001-08-23,4934129200
2001-08-24,5175660000
2001-08-27,5279173200
2001-08-28,5127353840
2001-08-29,4899624800
2001-08-30,4585634760
2001-08-31,4675346200
2001-09-04,4468319800
2001-09-05,4157780200
2001-09-06,3933501600
2001-09-07,3968006000
2001-09-10,4088771400
2001-09-17,3498746160
2001-09-18,3277918000
2001-09-19,3143350840
2001-09-20,3101945560
2001-09-21,3208909200
2001-09-24,3384881640
2001-09-25,3122648200
2001-09-26,2881117400
2001-09-27,2760352000
2001-09-28,2812108600
2001-10-01,2697127810
2001-10-02,2720936000
2001-10-03,2877389820
2001-10-04,3061053000
2001-10-05,2925006200
2001-10-08,2986227260
2001-10-09,3013436620
2001-10-10,3261722030
2001-10-11,3571228500
2001-10-12,3537216800
2001-10-15,3479396910
2001-10-16,3608641370
2001-10-17,3302536070
2001-10-18,3231111500
2001-10-19,3125675230
2001-10-22,3258320860
2001-10-23,3285530220
2001-10-24,3384164149
2001-10-25,3489600420
2001-10-26,3516809780
2001-10-29,3251518520
2001-10-30,3207303310
2001-10-31,3346751280
2001-11-01,3911345500
2001-11-02,4166433250
2001-11-05,4435125680
2001-11-06,4421521000
2001-11-07,4598381840
2001-11-08,4217450800
2001-11-09,4214049630
2001-11-12,4353497600
2001-11-13,4642597050
2001-11-14,4761638000
2001-11-15,4676608750
2001-11-16,4642597050
2001-11-19,4642597050
2001-11-20,4486143230
2001-11-21,4537160780
2001-11-23,4543963120
2001-11-26,4812655550
2001-11-27,4693614600
2001-11-28,4492945570
2001-11-29,4601783010
2001-11-30,4611986520
2001-12-03,4778643850
2001-12-04,5067743300
2001-12-05,5523500079
2001-12-06,5526901250
2001-12-07,6071088450
2001-12-10,5952047500
2001-12-11,6074489960
2001-12-12,6227541929
2001-12-13,5503093060
2001-12-14,5941843649
2001-12-17,6054082259
2001-12-18,5979256859
2001-12-19,5768383979
2001-12-20,5322831050
2001-12-21,5397656790
2001-12-24,5292220520
2001-12-26,5312627540
2001-12-27,5482686380
2001-12-28,5571116119
2001-12-31,5405183160
2002-01-02,5585809999
2002-01-03,6601412560
2002-01-04,6816120000
2002-01-07,6809303880
2002-01-08,6782039399
2002-01-09,6505986540
2002-01-10,6352623499
2002-01-11,6526434899
2002-01-14,6683206000
2002-01-15,6526434899
2002-01-16,6100427399
2002-01-17,5889128020
2002-01-18,5728948519
2002-01-22,5551730080
2002-01-23,5691460540
2002-01-24,5497200439
2002-01-25,5555137459
2002-01-28,5575586500
2002-01-29,5415407340
2002-01-30,5371102560
2002-01-31,5469935959
2002-02-01,5384734800
2002-02-04,5129130300
2002-02-05,4968951480
2002-02-06,4788324300
2002-02-07,4597472940
2002-02-08,5197291500
2002-02-11,5112090000
2002-02-12,5152986720
2002-02-13,5282493000
2002-02-14,5060969100
2002-02-15,4948503120
2002-02-19,4689490560
2002-02-20,5016664320
2002-02-21,4478190840
2002-02-22,4379357100
2002-02-25,4624737420
2002-02-26,4669042200
2002-02-27,4778100120
2002-02-28,4600881000
2002-03-01,5163210900
2002-03-04,5193883440
2002-03-05,5364286440
2002-03-06,5268860760
2002-03-07,5217739860
2002-03-08,5524464919
2002-03-11,5538097500
2002-03-12,5367694500
2002-03-13,4873525800
2002-03-14,4890566100
2002-03-15,4975767600
2002-03-18,5050744920
2002-03-19,5040520740
2002-03-20,4829221020
2002-03-21,4938278940
2002-03-22,5030296560
2002-03-25,4815588780
2002-03-26,4893974160
2002-03-27,4818996840
2002-03-28,5013256260
2002-04-01,5041284500
2002-04-02,4843050940
2002-04-03,4716591600
2002-04-04,4702920320
2002-04-05,4614057000
2002-04-08,4699502500
2002-04-09,4566207520
2002-04-10,4614057000
2002-04-11,4521775860
2002-04-12,4494433300
2002-04-15,4614057000
2002-04-16,4904571700
2002-04-17,5065209240
2002-04-18,4306453200
2002-04-19,4156069120
2002-04-22,3923657360
2002-04-23,4046698880
2002-04-24,3995431580
2002-04-25,3879225700
2002-04-26,3827958399
2002-04-29,3759602000
2002-04-30,3821122760
2002-05-01,3937328640
2002-05-02,3875807880
2002-05-03,3776691100
2002-05-06,3626307020
2002-05-07,3636560480
2002-05-08,3933910820
2002-05-09,3899732620
2002-05-10,3773273279
2002-05-13,3930493000
2002-05-14,4238096800
2002-05-15,4275692820
2002-05-16,4238096800
2002-05-17,4169740399
2002-05-20,4149233480
2002-05-21,4012520680
2002-05-22,4026191960
2002-05-23,4101384000
2002-05-24,3981760300
2002-05-28,4009102860
2002-05-29,3964671200
2002-05-30,3889479160
2002-05-31,3906568260
2002-06-03,3677574320
2002-06-04,3756184180
2002-06-05,3749348540
2002-06-06,3626307020
2002-06-07,3352881420
2002-06-10,3380223980
2002-06-11,3188826060
2002-06-12,3305031940
2002-06-13,3209332980
2002-06-14,3281107200
2002-06-17,3691245600
2002-06-18,3520354600
2002-06-19,2973503399
2002-06-20,2826537140
2002-06-21,2747927279
2002-06-24,2973503399
2002-06-25,2864133160
2002-06-26,3065784540
2002-06-27,3093127100
2002-06-28,3322121040
2002-07-01,3133009200
2002-07-02,3016464000
2002-07-03,2889635400
2002-07-05,3201565200
2002-07-08,3102159000
2002-07-09,3078164400
2002-07-10,3088447800
2002-07-11,3198137400
2002-07-12,3119298000
2002-07-15,3170715000
2002-07-16,3222132000
2002-07-17,3198137400
2002-07-18,2989041600
2002-07-19,2910202200
2002-07-22,2886207600
2002-07-23,2793657000
2002-07-24,2899918800
2002-07-25,2694250800
2002-07-26,2680539600
2002-07-29,2793657000
2002-07-30,2896490999
2002-07-31,2752523400
2002-08-01,2649689400
2002-08-02,2505721800
2002-08-05,2594844600
2002-08-06,2851929600
2002-08-07,2947908000
2002-08-08,3064453200
2002-08-09,3026747400
2002-08-12,3026747400
2002-08-13,2913630000
2002-08-14,3102159000
2002-08-15,3119298000
2002-08-16,3403805400
2002-08-19,3599190000
2002-08-20,3492928200
2002-08-21,3667745999
2002-08-22,3568339800
2002-08-23,3314682600
2002-08-26,3331821600
2002-08-27,3115870200
2002-08-28,2982185999
2002-08-29,3002752800
2002-08-30,3033603000
2002-09-03,2831362800
2002-09-04,2896490999
2002-09-05,2738812200
2002-09-06,2755951199
2002-09-09,2731956600
2002-09-10,2834790600
2002-09-11,2824507200
2002-09-12,2618839200
2002-09-13,2471443800
2002-09-16,2409743400
2002-09-17,2341187400
2002-09-18,2324048400
2002-09-19,2149230600
2002-09-20,2193792000
2002-09-23,2049824400
2002-09-24,1970985000
2002-09-25,2032685400
2002-09-26,2080674600
2002-09-27,1967557200
2002-09-30,1829548080
2002-10-01,1805565239
2002-10-02,1839826440
2002-10-03,1243681560
2002-10-04,1202568120
2002-10-07,1096358400
2002-10-08,1216272600
2002-10-09,1219698720
2002-10-10,1243681560
2002-10-11,1288221120
2002-10-14,1346465160
2002-10-15,1438970400
2002-10-16,1195715880
2002-10-17,1483509960
2002-10-18,1507492800
2002-10-21,1901496600
2002-10-22,1822695840
2002-10-23,2004280199
2002-10-24,2028263040
2002-10-25,2086507080
2002-10-28,2093359320
2002-10-29,1997427960
2002-10-30,2165307840
2002-10-31,2103637680
2002-11-01,2230404120
2002-11-04,2305778760
2002-11-05,2329761600
2002-11-06,2477084760
2002-11-07,2336613840
2002-11-08,2089933199
2002-11-11,2038541400
2002-11-12,2182438440
2002-11-13,2168733960
2002-11-14,2257813080
2002-11-15,2220125760
2002-11-18,2233830240
2002-11-19,1911774960
2002-11-20,1901496600
2002-11-21,2103637680
2002-11-22,2350318320
2002-11-25,2723765400
2002-11-26,2727191520
2002-11-27,2929332600
2002-11-29,3083508000
2002-12-02,3059525160
2002-12-03,2782009439
2002-12-04,2689504200
2002-12-05,2826549000
2002-12-06,2778583320
2002-12-09,2504493720
2002-12-10,2723765400
2002-12-11,2644964640
2002-12-12,2655243000
2002-12-13,2507919840
2002-12-16,2559311640
2002-12-17,2514772080
2002-12-18,2285222040
2002-12-19,2216699640
2002-12-20,2268091440
2002-12-23,2316057120
2002-12-24,2250960840
2002-12-26,2213273520
2002-12-27,2175586200
2002-12-30,2190826200
2002-12-31,2228777520
2003-01-02,2418534120
2003-01-03,2394383280
2003-01-06,2470285920
2003-01-07,2473736040
2003-01-08,2308130280
2003-01-09,2384032920
2003-01-10,2556538920
2003-01-13,2570339400
2003-01-14,2563439160
2003-01-15,2570339400
2003-01-16,2484086400
2003-01-17,2080422360
2003-01-21,2070072000
2003-01-22,1973468640
2003-01-23,1949317800
2003-01-24,1873415160
2003-01-27,1821663360
2003-01-28,1828563600
2003-01-29,1935517320
2003-01-30,1783712040
2003-01-31,1807862880
2003-02-03,1742310600
2003-02-04,1745760719
2003-02-05,1735410360
2003-02-06,1749210840
2003-02-07,1738860480
2003-02-10,1783712040
2003-02-11,1752660960
2003-02-12,1704359280
2003-02-13,1725060000
2003-02-14,1759561199
2003-02-18,1890665760
2003-02-19,1925166960
2003-02-20,1838913960
2003-02-21,1859614680
2003-02-24,1832013719
2003-02-25,1811313000
2003-02-26,1776811800
2003-02-27,1804412760
2003-02-28,1894115880
2003-03-03,1852714440
2003-03-04,1814763120
2003-03-05,1869965040
2003-03-06,1835463840
2003-03-07,1811313000
2003-03-10,1907916360
2003-03-11,1932067199
2003-03-12,1904466239
2003-03-13,1997619480
2003-03-14,1990719239
2003-03-17,2004519719
2003-03-18,2259828600
2003-03-19,2370232440
2003-03-20,2432334600
2003-03-21,2466835800
2003-03-24,2273629080
2003-03-25,2308130280
2003-03-26,2228777520
2003-03-27,2221877280
2003-03-28,2145974640
2003-03-31,2140257600
2003-04-01,2209521600
2003-04-02,2424240000
2003-04-03,2493504000
2003-04-04,2458872000
2003-04-07,2476188000
2003-04-08,2424240000
2003-04-09,2396534400
2003-04-10,2417313600
2003-04-11,2476188000
2003-04-14,2562768000
2003-04-15,2632032000
2003-04-16,2735928000
2003-04-17,2780949600
2003-04-21,2881382400
2003-04-22,2922940800
2003-04-23,2902161600
2003-04-24,2701296000
2003-04-25,2611252800
2003-04-28,2628568800
2003-04-29,2652811200
2003-04-30,2576620800
2003-05-01,2548915200
2003-05-02,2562768000
2003-05-05,2621642400
2003-05-06,2645884800
2003-05-07,2593936800
2003-05-08,2510820000
2003-05-09,2545452000
2003-05-12,2573157600
2003-05-13,2597400000
2003-05-14,2604326400
2003-05-15,2587010400
2003-05-16,2632032000
2003-05-19,2496967200
2003-05-20,2424240000
2003-05-21,2441556000
2003-05-22,2441556000
2003-05-23,2393071200
2003-05-27,2493504000
2003-05-28,2535062400
2003-05-29,2569694400
2003-05-30,2521209600
2003-06-02,2379218400
2003-06-03,2403460800
2003-06-04,2427703200
2003-06-05,2431166400
2003-06-06,2399997600
2003-06-09,2268396000
2003-06-10,2313417600
2003-06-11,2219911200
2003-06-12,2389608000
2003-06-13,2258006400
2003-06-16,2289175200
2003-06-17,2278785600
2003-06-18,2337660000
2003-06-19,2358439200
2003-06-20,2351512800
2003-06-23,2282248800
2003-06-24,2185279200
2003-06-25,2199132000
2003-06-26,2268396000
2003-06-27,2209521600
2003-06-30,2226410940
2003-07-01,2271564360
2003-07-02,2344504500
2003-07-03,2330611140
2003-07-07,2493858120
2003-07-08,2466071400
2003-07-09,2473018080
2003-07-10,2448704700
2003-07-11,2500804800
2003-07-14,2500804800
2003-07-15,2528591520
2003-07-16,2542484880
2003-07-17,2525118180
2003-07-18,2473018080
2003-07-21,2466071400
2003-07-22,2532064860
2003-07-23,2497331460
2003-07-24,2452178040
2003-07-25,2486911440
2003-07-28,2545958220
2003-07-29,2539011540
2003-07-30,2528591520
2003-07-31,2535538200
2003-08-01,2497331460
2003-08-04,2507751480
2003-08-05,2525118180
2003-08-06,2521644840
2003-08-07,2625845040
2003-08-08,2521644840
2003-08-11,2566798260
2003-08-12,2570271600
2003-08-13,2629318380
2003-08-14,2716151880
2003-08-15,2709205200
2003-08-18,3094745940
2003-08-19,3205892820
2003-08-20,3167686079
2003-08-21,3282306299
2003-08-22,3442079940
2003-08-25,3504600060
2003-08-26,3508073400
2003-08-27,3556700160
2003-08-28,3792887280
2003-08-29,3921400859
2003-09-02,3876247440
2003-09-03,3824147340
2003-09-04,4063807799
2003-09-05,4202741400
2003-09-08,4324308300
2003-09-09,4265261520
2003-09-10,3910980840
2003-09-11,4108961220
2003-09-12,4223581440
2003-09-15,4133274600
2003-09-16,4251368160
2003-09-17,4341675000
2003-09-18,4442401860
2003-09-19,4404195120
2003-09-22,4313888280
2003-09-23,4299994920
2003-09-24,4011707700
2003-09-25,3949187579
2003-09-26,3775520579
2003-09-29,3934873599
2003-09-30,3903254080
2003-10-01,3924333760
2003-10-02,4107024320
2003-10-03,4177289920
2003-10-06,4272148480
2003-10-07,4493485120
2003-10-08,4553210880
2003-10-09,4598883520
2003-10-10,4651582720
2003-10-13,4707795200
2003-10-14,4788600640
2003-10-15,4799140480
2003-10-16,4904538880
2003-10-17,4915078720
2003-10-20,4960751360
2003-10-21,5020477120
2003-10-22,4904538880
2003-10-23,4795627200
2003-10-24,4774547520
2003-10-27,4865892800
2003-10-28,5217220800
2003-10-29,5301539520
2003-10-30,5333159040
2003-10-31,5340185600
2003-11-03,5596655040
2003-11-04,5814478400
2003-11-05,5976089280
2003-11-06,5986629120
2003-11-07,5976089280
2003-11-10,5909336960
2003-11-11,5839071360
2003-11-12,6352010239
2003-11-13,6425789120
2003-11-14,6274718080
2003-11-17,6099054080
2003-11-18,6088514239
2003-11-19,6183372800
2003-11-20,5796912000
2003-11-21,5902310400
2003-11-24,6116620480
2003-11-25,6144726719
2003-11-26,6229045440
2003-11-28,6313364160
2003-12-01,6348496960
2003-12-02,6288771199
2003-12-03,6074461120
2003-12-04,5853124480
2003-12-05,5645840960
2003-12-08,5529902720
2003-12-09,5241813760
2003-12-10,5157495040
2003-12-11,5336672320
2003-12-12,5364778560
2003-12-15,5175061440
2003-12-16,5045070080
2003-12-17,4915078720
2003-12-18,5115335680
2003-12-19,5009937280
2003-12-22,4999397440
2003-12-23,5153981760
2003-12-24,5097769280
2003-12-26,5164521600
2003-12-29,5368291840
2003-12-30,5308566080
2003-12-31,5234787200
2004-01-02,5220734080
2004-01-05,5340185600
2004-01-06,5484230080
2004-01-07,5501796480
2004-01-08,5596655040
2004-01-09,5459637120
2004-01-12,5540442560
2004-01-13,5336672320
2004-01-14,5340185600
2004-01-15,5586115200
2004-01-16,5888257280
2004-01-20,6106080640
2004-01-21,5586115200
2004-01-22,5420991040
2004-01-23,5382344960
2004-01-26,5480716800
2004-01-27,5466663680
2004-01-28,5375318400
2004-01-29,5157495040
2004-01-30,5220734080
2004-02-02,5143441920
2004-02-03,5182088000
2004-02-04,4964264640
2004-02-05,4978317760
2004-02-06,5248840320
2004-02-09,5290999680
2004-02-10,5459637120
2004-02-11,5519362880
2004-02-12,5301539520
2004-02-13,5248840320
2004-02-17,5245327040
2004-02-18,5357752000
2004-02-19,5259380160
2004-02-20,5146955200
2004-02-23,4915078720
2004-02-24,4922105280
2004-02-25,5101282560
2004-02-26,5287486400
2004-02-27,5269920000
2004-03-01,5231273920
2004-03-02,5245327040
2004-03-03,5164521600
2004-03-04,5406937920
2004-03-05,5396398080
2004-03-08,5164521600
2004-03-09,5104795840
2004-03-10,5069663040
2004-03-11,5073176320
2004-03-12,5269920000
2004-03-15,5129388800
2004-03-16,5241813760
2004-03-17,5392884800
2004-03-18,5392884800
2004-03-19,5357752000
2004-03-22,5196141120
2004-03-23,5220734080
2004-03-24,5459637120
2004-03-25,5575575360
2004-03-26,5449097280
2004-03-29,5562993150
2004-03-30,5669089650
2004-03-31,5739820650
2004-04-01,5937867450
2004-04-02,6171279750
2004-04-05,6164206650
2004-04-06,6047500500
2004-04-07,5976769499
2004-04-08,6012135000
2004-04-12,6142987350
2004-04-13,6068719800
2004-04-14,6054573600
2004-04-15,5736284100
2004-04-16,5676162750
2004-04-19,5761039950
2004-04-20,5584212450
2004-04-21,5757503400
2004-04-22,5821161300
2004-04-23,5785795800
2004-04-26,5658480000
2004-04-27,5513481450
2004-04-28,5364946350
2004-04-29,5163363000
2004-04-30,5028974100
2004-05-03,5028974100
2004-05-04,5113851300
2004-05-05,5074949250
2004-05-06,5082022350
2004-05-07,5272996050
2004-05-10,5311898100
2004-05-11,5474579400
2004-05-12,5354336700
2004-05-13,5188118850
2004-05-14,4905194850
2004-05-17,4908731400
2004-05-18,4933487250
2004-05-19,5124460950
2004-05-20,5018364450
2004-05-21,5036047200
2004-05-24,5078485800
2004-05-25,5276532600
2004-05-26,5347263600
2004-05-27,5375556000
2004-05-28,5499335250
2004-06-01,5410921500
2004-06-02,5333117400
2004-06-03,5159826450
2004-06-04,5347263600
2004-06-07,5587749000
2004-06-08,5722137900
2004-06-09,5485189050
2004-06-10,5570066250
2004-06-14,5357873250
2004-06-15,5442750450
2004-06-16,5389702200
2004-06-17,5219947800
2004-06-18,5262386400
2004-06-21,4986535500
2004-06-22,5188118850
2004-06-23,5446287000
2004-06-24,5417994600
2004-06-25,5481652500
2004-06-28,5431833660
2004-06-29,5620118280
2004-06-30,5648538600
2004-07-01,5506437000
2004-07-02,5424728580
2004-07-06,5261311740
2004-07-07,5406965880
2004-07-08,5364335400
2004-07-09,5261311740
2004-07-12,5126315220
2004-07-13,5151183000
2004-07-14,4881189960
2004-07-15,4607644380
2004-07-16,4490410560
2004-07-19,4458437700
2004-07-20,4504620720
2004-07-21,4305678480
2004-07-22,4490410560
2004-07-23,4305678480
2004-07-26,4138709100
2004-07-27,4124498940
2004-07-28,4025027820
2004-07-29,4206207360
2004-07-30,4437122460
2004-08-02,4366071660
2004-08-03,4120946400
2004-08-04,4213312440
2004-08-05,4195549740
2004-08-06,4000160040
2004-08-09,3968187180
2004-08-10,4092526080
2004-08-11,3882926220
2004-08-12,3872268600
2004-08-13,3929109240
2004-08-16,3993054960
2004-08-17,4042790520
2004-08-18,4216864979
2004-08-19,4174234500
2004-08-20,4252390380
2004-08-23,4355414040
