,FTI
2002-05-29,464993554
2002-05-30,470350623
2002-05-31,467136381
2002-06-03,458565072
2002-06-04,466064968
2002-06-05,459636485
2002-06-06,462850727
2002-06-07,447850934
2002-06-10,446779521
2002-06-11,426422660
2002-06-12,439279625
2002-06-13,440351038
2002-06-14,446779521
2002-06-17,445708107
2002-06-18,447850934
2002-06-19,442493866
2002-06-20,437136797
2002-06-21,425351246
2002-06-24,428565488
2002-06-25,427494074
2002-06-26,425351246
2002-06-27,416779937
2002-06-28,431779729
2002-07-01,442971991
2002-07-02,412692893
2002-07-03,427271718
2002-07-05,434000406
2002-07-08,423907374
2002-07-09,429514614
2002-07-10,427271718
2002-07-11,412692893
2002-07-12,403721308
2002-07-15,394749724
2002-07-16,398114068
2002-07-17,391385379
2002-07-18,390263931
2002-07-19,382413795
2002-07-22,359984833
2002-07-23,339798768
2002-07-24,364470626
2002-07-25,377928002
2002-07-26,379049451
2002-07-29,414935789
2002-07-30,413814341
2002-07-31,402599860
2002-08-01,394749724
2002-08-02,379049451
2002-08-05,368956418
2002-08-06,388021035
2002-08-07,385778139
2002-08-08,411571445
2002-08-09,407085653
2002-08-12,435121855
2002-08-13,417178685
2002-08-14,410449997
2002-08-15,434000406
2002-08-16,431757510
2002-08-19,441850543
2002-08-20,422785926
2002-08-21,432878958
2002-08-22,438486199
2002-08-23,416057237
2002-08-26,431757510
2002-08-27,411571445
2002-08-28,391385379
2002-08-29,395871172
2002-08-30,400356964
2002-09-03,379049451
2002-09-04,382413795
2002-09-05,377928002
2002-09-06,393628276
2002-09-09,398114068
2002-09-10,412692893
2002-09-11,413814341
2002-09-12,400356964
2002-09-13,402599860
2002-09-16,403721308
2002-09-17,392506828
2002-09-18,392506828
2002-09-19,389142483
2002-09-20,381292347
2002-09-23,380170899
2002-09-24,370077866
2002-09-25,398114068
2002-09-26,389142483
2002-09-27,366713522
2002-09-30,365592074
2002-10-01,744641525
2002-10-02,767070486
2002-10-03,769313382
2002-10-04,767070486
2002-10-07,744641525
2002-10-08,740155732
2002-10-09,726698355
2002-10-10,742398628
2002-10-11,773799175
2002-10-14,798471032
2002-10-15,825385786
2002-10-16,818657098
2002-10-17,841086060
2002-10-18,836600267
2002-10-21,834357371
2002-10-22,791742344
2002-10-23,825385786
2002-10-24,802956825
2002-10-25,769313382
2002-10-28,791742344
2002-10-29,796228136
2002-10-30,807442617
2002-10-31,805199721
2002-11-01,832114475
2002-11-04,827628683
2002-11-05,816414202
2002-11-06,843328956
2002-11-07,818657098
2002-11-08,809685513
2002-11-11,782770759
2002-11-12,778284967
2002-11-13,755856005
2002-11-14,778284967
2002-11-15,785013656
2002-11-18,811928409
2002-11-19,807442617
2002-11-20,825385786
2002-11-21,818657098
2002-11-22,814171306
2002-11-25,827628683
2002-11-26,816414202
2002-11-27,829871579
2002-11-29,838843163
2002-12-02,874729502
2002-12-03,879215294
2002-12-04,870243710
2002-12-05,868000813
2002-12-06,865757917
2002-12-09,856786333
2002-12-10,859029229
2002-12-11,861272125
2002-12-12,868000813
2002-12-13,854543436
2002-12-16,903887152
2002-12-17,897158464
2002-12-18,854543436
2002-12-19,850057644
2002-12-20,872486606
2002-12-23,868000813
2002-12-24,852300540
2002-12-26,859029229
2002-12-27,897158464
2002-12-30,872486606
2002-12-31,890429775
2003-01-02,930465179
2003-01-03,925836000
2003-01-06,921206820
2003-01-07,888802560
2003-01-08,870285840
2003-01-09,900375510
2003-01-10,870285840
2003-01-13,856398300
2003-01-14,858712890
2003-01-15,900375510
2003-01-16,900375510
2003-01-17,895746330
2003-01-21,872600430
2003-01-22,888802560
2003-01-23,888802560
2003-01-24,874915020
2003-01-27,844825350
2003-01-28,856398300
2003-01-29,858712890
2003-01-30,879544200
2003-01-31,872600430
2003-02-03,865656660
2003-02-04,872600430
2003-02-05,895746330
2003-02-06,884173380
2003-02-07,879544200
2003-02-10,886487970
2003-02-11,881858790
2003-02-12,854083710
2003-02-13,844825350
2003-02-14,854083710
2003-02-18,881858790
2003-02-19,872600430
2003-02-20,872600430
2003-02-21,907319280
2003-02-24,928150590
2003-02-25,914263050
2003-02-26,932779770
2003-02-27,907319280
2003-02-28,898060920
2003-03-03,895746330
2003-03-04,898060920
2003-03-05,886487970
2003-03-06,888802560
2003-03-07,881858790
2003-03-10,867971250
2003-03-11,833252400
2003-03-12,817050270
2003-03-13,826308630
2003-03-14,854083710
2003-03-17,854083710
2003-03-18,898060920
2003-03-19,886487970
2003-03-20,900375510
2003-03-21,870285840
2003-03-24,849454530
2003-03-25,872600430
2003-03-26,861027480
2003-03-27,877229610
2003-03-28,884173380
2003-03-31,863342070
2003-04-01,866980928
2003-04-02,878479349
2003-04-03,850883139
2003-04-04,848583455
2003-04-07,837085034
2003-04-08,837085034
2003-04-09,855482507
2003-04-10,866980928
2003-04-11,848583455
2003-04-14,846283770
2003-04-15,848583455
2003-04-16,827886297
2003-04-17,846283770
2003-04-21,848583455
2003-04-22,846283770
2003-04-23,848583455
2003-04-24,832485665
2003-04-25,823286929
2003-04-28,841684402
2003-04-29,837085034
2003-04-30,841684402
2003-05-01,866980928
2003-05-02,871580296
2003-05-05,892277454
2003-05-06,899176506
2003-05-07,896876822
2003-05-08,922173348
2003-05-09,933671768
2003-05-12,935971453
2003-05-13,947469873
2003-05-14,949769558
2003-05-15,945170189
2003-05-16,929072400
2003-05-19,906075559
2003-05-20,917573979
2003-05-21,947469873
2003-05-22,947469873
2003-05-23,970466715
2003-05-27,1004961977
2003-05-28,981965136
2003-05-29,956668610
2003-05-30,998062925
2003-06-02,995763241
2003-06-03,981965136
2003-06-04,988864188
2003-06-05,988864188
2003-06-06,988864188
2003-06-09,988864188
2003-06-10,981965136
2003-06-11,1009561346
2003-06-12,979665452
2003-06-13,940570821
2003-06-16,942870505
2003-06-17,947469873
2003-06-18,938271137
2003-06-19,945170189
2003-06-20,935971453
2003-06-23,922173348
2003-06-24,933671768
2003-06-25,942870505
2003-06-26,933671768
2003-06-27,947469873
2003-06-30,940570821
2003-07-01,956816789
2003-07-02,968600247
2003-07-03,963886864
2003-07-07,945033331
2003-07-08,966243555
2003-07-09,961530172
2003-07-10,942676640
2003-07-11,949746714
2003-07-14,935606565
2003-07-15,937963256
2003-07-16,937963256
2003-07-17,942676640
2003-07-18,999237238
2003-07-21,966243555
2003-07-22,973313630
2003-07-23,956816789
2003-07-24,978027014
2003-07-25,992167163
2003-07-28,1013377388
2003-07-29,994523855
2003-07-30,1018090771
2003-07-31,1027517537
2003-08-01,1032230920
2003-08-04,1018090771
2003-08-05,1015734079
2003-08-06,1015734079
2003-08-07,1039300995
2003-08-08,1044014378
2003-08-11,1058154528
2003-08-12,1062867911
2003-08-13,1062867911
2003-08-14,1058154528
2003-08-15,1079364752
2003-08-18,1084078136
2003-08-19,1093504902
2003-08-20,1107645052
2003-08-21,1124141893
2003-08-22,1086434827
2003-08-25,1069937986
2003-08-26,1058154528
2003-08-27,1067581294
2003-08-28,1088791519
2003-08-29,1084078136
2003-09-02,1072294678
2003-09-03,1086434827
2003-09-04,1065224603
2003-09-05,1060511220
2003-09-08,1074651369
2003-09-09,1041657687
2003-09-10,1041657687
2003-09-11,1036944304
2003-09-12,1053441145
2003-09-15,1044014378
2003-09-16,1044014378
2003-09-17,1027517537
2003-09-18,1029874229
2003-09-19,1036944304
2003-09-22,1013377388
2003-09-23,1011020696
2003-09-24,1027517537
2003-09-25,1027517537
2003-09-26,996880546
2003-09-29,999237238
2003-09-30,980383705
2003-10-01,1022804154
2003-10-02,1015734079
2003-10-03,1025160845
2003-10-06,1029874229
2003-10-07,1011020696
2003-10-08,1003950621
2003-10-09,987453780
2003-10-10,982740397
2003-10-13,975670322
2003-10-14,968600247
2003-10-15,956816789
2003-10-16,961530172
2003-10-17,956816789
2003-10-20,954460098
2003-10-21,973313630
2003-10-22,956816789
2003-10-23,945033331
2003-10-24,928536490
2003-10-27,937963256
2003-10-28,888472733
2003-10-29,897899499
2003-10-30,904969574
2003-10-31,919109724
2003-11-03,921466415
2003-11-04,933249873
2003-11-05,919109724
2003-11-06,945033331
2003-11-07,940319948
2003-11-10,933249873
2003-11-11,923823107
2003-11-12,942676640
2003-11-13,966243555
2003-11-14,966243555
2003-11-17,963886864
2003-11-18,956816789
2003-11-19,952103406
2003-11-20,947390023
2003-11-21,912039649
2003-11-24,916753032
2003-11-25,968600247
2003-11-26,970956939
2003-11-28,973313630
2003-12-01,1006307313
2003-12-02,1018090771
2003-12-03,1008664004
2003-12-04,1048727762
2003-12-05,1058154528
2003-12-08,1065224603
2003-12-09,1046371070
2003-12-10,1036944304
2003-12-11,1036944304
2003-12-12,1046371070
2003-12-15,1036944304
2003-12-16,1034587612
2003-12-17,1034587612
2003-12-18,1077008061
2003-12-19,1053441145
2003-12-22,1067581294
2003-12-23,1048727762
2003-12-24,1053441145
2003-12-26,1058154528
2003-12-29,1069937986
2003-12-30,1062867911
2003-12-31,1067581294
2004-01-02,1049744148
2004-01-05,1063648044
2004-01-06,1047426831
2004-01-07,1042792200
2004-01-08,1038157568
2004-01-09,1068282676
2004-01-12,1040474884
2004-01-13,1052061464
2004-01-14,1059013412
2004-01-15,1047426831
2004-01-16,1059013412
2004-01-20,1109994364
2004-01-21,1093773152
2004-01-22,1086821204
2004-01-23,1109994364
2004-01-26,1128532892
2004-01-27,1119263628
2004-01-28,1151706052
2004-01-29,1128532892
2004-01-30,1107677048
2004-02-02,1114628996
2004-02-03,1109994364
2004-02-04,1100725100
2004-02-05,1086821204
2004-02-06,1091455836
2004-02-09,1119263628
2004-02-10,1140119472
2004-02-11,1142436788
2004-02-12,1149388736
2004-02-13,1135484840
2004-02-17,1149388736
2004-02-18,1142436788
2004-02-19,1135484840
2004-02-20,1128532892
2004-02-23,1116946312
2004-02-24,1121580944
2004-02-25,1142436788
2004-02-26,1154023368
2004-02-27,1184148476
2004-03-01,1205004320
2004-03-02,1230494796
2004-03-03,1239764060
2004-03-04,1244398692
2004-03-05,1258302588
2004-03-08,1276841116
2004-03-09,1260619904
2004-03-10,1214273584
2004-03-11,1200369688
2004-03-12,1225860164
2004-03-15,1211956268
2004-03-16,1198052372
2004-03-17,1228177480
2004-03-18,1235129428
2004-03-19,1202687004
2004-03-22,1191100424
2004-03-23,1179513844
2004-03-24,1137802156
2004-03-25,1154023368
2004-03-26,1191100424
2004-03-29,1191100424
2004-03-30,1211956268
2004-03-31,1216590900
2004-04-01,1209436145
2004-04-02,1214078894
2004-04-05,1218721644
2004-04-06,1202472022
2004-04-07,1195507898
2004-04-08,1200150647
2004-04-12,1230328516
2004-04-13,1272113258
2004-04-14,1251220887
2004-04-15,1262827760
2004-04-16,1272113258
2004-04-19,1269791884
2004-04-20,1232649891
2004-04-21,1237292640
2004-04-22,1246578138
2004-04-23,1258185011
2004-04-26,1262827760
2004-04-27,1288362880
2004-04-28,1290684255
2004-04-29,1234971265
2004-04-30,1228007142
2004-05-03,1248899513
2004-05-04,1253542262
2004-05-05,1207114771
2004-05-06,1207114771
2004-05-07,1158365905
2004-05-10,1123545287
2004-05-11,1156044530
2004-05-12,1146759032
2004-05-13,1176936901
2004-05-14,1181579651
2004-05-17,1172294152
2004-05-18,1160687280
2004-05-19,1179258276
2004-05-20,1172294152
2004-05-21,1153723156
2004-05-24,1195507898
2004-05-25,1216400269
2004-05-26,1200150647
2004-05-27,1183901025
2004-05-28,1216400269
2004-06-01,1239614015
2004-06-02,1216400269
2004-06-03,1200150647
2004-06-04,1204793396
2004-06-07,1234971265
2004-06-08,1225685767
2004-06-09,1197829272
2004-06-10,1218721644
2004-06-14,1214078894
2004-06-15,1251220887
2004-06-16,1274434633
2004-06-17,1267470509
2004-06-18,1260506386
2004-06-21,1251220887
2004-06-22,1253542262
2004-06-23,1269791884
2004-06-24,1255863636
2004-06-25,1262827760
2004-06-28,1228007142
2004-06-29,1244256764
2004-06-30,1299969753
2004-07-01,1286011989
2004-07-02,1295297274
2004-07-06,1279048025
2004-07-07,1290654631
2004-07-08,1276726704
2004-07-09,1299939916
2004-07-12,1323153129
2004-07-13,1316189165
2004-07-14,1339402378
2004-07-15,1346366342
2004-07-16,1355651627
2004-07-19,1360294270
2004-07-20,1348687663
2004-07-21,1323153129
2004-07-22,1325474450
2004-07-23,1318510487
2004-07-26,1309225201
2004-07-27,1327795772
2004-07-28,1341723699
2004-07-29,1360294270
2004-07-30,1353330306
2004-08-02,1337081057
2004-08-03,1376543519
2004-08-04,1346366342
2004-08-05,1316189165
2004-08-06,1292975952
2004-08-09,1306903880
2004-08-10,1313867844
2004-08-11,1327795772
2004-08-12,1306903880
2004-08-13,1304582559
2004-08-16,1330117093
2004-08-17,1306903880
2004-08-18,1353330306
2004-08-19,1353330306
2004-08-20,1385828804
2004-08-23,1360294270
2004-08-24,1351008984
2004-08-25,1355651627
2004-08-26,1378864840
2004-08-27,1381186161
2004-08-30,1381186161
2004-08-31,1385828804
2004-09-01,1427612587
2004-09-02,1427612587
2004-09-03,1429933908
2004-09-07,1409042016
2004-09-08,1420648623
2004-09-09,1443861836
2004-09-10,1432255229
2004-09-13,1422969944
2004-09-14,1427612587
2004-09-15,1446183157
2004-09-16,1457789763
2004-09-17,1467075048
2004-09-20,1471717691
2004-09-21,1487966940
2004-09-22,1481002976
2004-09-23,1467075048
2004-09-24,1490288261
2004-09-27,1490288261
2004-09-28,1506537510
2004-09-29,1499573546
2004-09-30,1506537510
2004-10-01,1525108080
2004-10-04,1504216189
2004-10-05,1518144117
2004-10-06,1552963936
2004-10-07,1532072044
2004-10-08,1534393366
2004-10-11,1499573546
2004-10-12,1490288261
2004-10-13,1469396370
2004-10-14,1490288261
2004-10-15,1490288261
2004-10-18,1464753727
2004-10-19,1462432406
2004-10-20,1501894868
2004-10-21,1508858832
2004-10-22,1490288261
2004-10-25,1511180153
2004-10-26,1506537510
2004-10-27,1425291265
2004-10-28,1367258233
2004-10-29,1362615591
2004-11-01,1351008984
2004-11-02,1311546523
2004-11-03,1339402378
2004-11-04,1346366342
2004-11-05,1337081057
2004-11-08,1292975952
2004-11-09,1302261238
2004-11-10,1327795772
2004-11-11,1313867844
2004-11-12,1367258233
2004-11-15,1339402378
2004-11-16,1353330306
2004-11-17,1371900876
2004-11-18,1411363338
2004-11-19,1446183157
2004-11-22,1464753727
2004-11-23,1485645619
2004-11-24,1492609583
2004-11-26,1490288261
2004-11-29,1476360334
2004-11-30,1481002976
2004-12-01,1432255229
2004-12-02,1406720695
2004-12-03,1416005980
2004-12-06,1443861836
2004-12-07,1369579555
2004-12-08,1397435410
2004-12-09,1436897872
2004-12-10,1432255229
2004-12-13,1429933908
2004-12-14,1446183157
2004-12-15,1439219193
2004-12-16,1427612587
2004-12-17,1436897872
2004-12-20,1443861836
2004-12-21,1481002976
2004-12-22,1467075048
2004-12-23,1481002976
2004-12-27,1439219193
2004-12-28,1460111085
2004-12-29,1469396370
2004-12-30,1453147121
2004-12-31,1453147121
2005-01-03,684424335
2005-01-04,678672870
2005-01-05,666019647
2005-01-06,677522577
2005-01-07,657967596
2005-01-10,667169940
2005-01-11,668320233
2005-01-12,672921405
2005-01-13,687875214
2005-01-14,700528437
2005-01-18,703979316
2005-01-19,697077558
2005-01-20,685574628
2005-01-21,682123749
2005-01-24,697077558
2005-01-25,698227851
2005-01-26,689025507
2005-01-27,692476386
2005-01-28,679823163
2005-01-31,684424335
2005-02-01,692476386
2005-02-02,700528437
2005-02-03,703979316
2005-02-04,701678730
2005-02-07,702829023
2005-02-08,717782832
2005-02-09,718933125
2005-02-10,747690450
2005-02-11,749991036
2005-02-14,741938985
2005-02-15,743089278
2005-02-16,769546017
2005-02-17,747690450
2005-02-18,756892794
2005-02-22,747690450
2005-02-23,759193380
2005-02-24,766095138
2005-02-25,767245431
2005-02-28,771846603
2005-03-01,759193380
2005-03-02,759193380
2005-03-03,777598068
2005-03-04,801754221
2005-03-07,779898654
2005-03-08,789100998
2005-03-09,763794552
2005-03-10,745389864
2005-03-11,759193380
2005-03-14,764944845
2005-03-15,752291622
2005-03-16,747690450
2005-03-17,759193380
2005-03-18,758043087
2005-03-21,759193380
2005-03-22,761493966
2005-03-23,740788692
2005-03-24,747690450
2005-03-28,751141329
2005-03-29,744239571
2005-03-30,748840743
2005-03-31,741938985
2005-04-01,752056558
2005-04-04,745177992
2005-04-05,734860142
2005-04-06,740592281
2005-04-07,744031564
2005-04-08,726835149
2005-04-11,730274432
2005-04-12,709638733
2005-04-13,686710180
2005-04-14,692442318
2005-04-15,678685186
2005-04-18,682124469
2005-04-19,694735174
2005-04-20,686710180
2005-04-21,722249438
2005-04-22,718810155
2005-04-25,736006570
2005-04-26,719956583
2005-04-27,701613740
2005-04-28,692442318
2005-04-29,675245903
2005-05-02,700467312
2005-05-03,679831614
2005-05-04,697028029
2005-05-05,702760167
2005-05-06,703906595
2005-05-09,695881601
2005-05-10,687856608
2005-05-11,680978041
2005-05-12,656903060
2005-05-13,650024494
2005-05-16,651170922
2005-05-17,646585211
2005-05-18,648878066
2005-05-19,666074482
2005-05-20,666074482
2005-05-23,669513765
2005-05-24,679831614
2005-05-25,693588746
2005-05-26,710785161
2005-05-27,719956583
2005-05-31,702760167
2005-06-01,711931589
2005-06-02,698174457
2005-06-03,706199450
2005-06-06,698174457
2005-06-07,692442318
2005-06-08,694735174
2005-06-09,711931589
2005-06-10,709638733
2005-06-13,709638733
2005-06-14,709638733
2005-06-15,708492306
2005-06-16,719956583
2005-06-17,727981576
2005-06-20,725688721
2005-06-21,721103010
2005-06-22,730274432
2005-06-23,731420859
2005-06-24,713078016
2005-06-27,715370872
2005-06-28,711931589
2005-06-29,713078016
2005-06-30,711931589
2005-07-01,715044557
2005-07-05,715044557
2005-07-06,719642914
2005-07-07,716194146
2005-07-08,726540450
2005-07-11,732288396
2005-07-12,763327308
2005-07-13,761028129
2005-07-14,754130593
2005-07-15,747233058
2005-07-18,758728951
2005-07-19,775972791
2005-07-20,780571148
2005-07-21,777122380
2005-07-22,802413345
2005-07-25,801263756
2005-07-26,800114166
2005-07-27,801263756
2005-07-28,810460470
2005-07-29,809310881
2005-08-01,820806774
2005-08-02,833452257
2005-08-03,838050614
2005-08-04,879435829
2005-08-05,877136651
2005-08-08,880585419
2005-08-09,880585419
2005-08-10,894380490
2005-08-11,900128437
2005-08-12,898978848
2005-08-15,889782133
2005-08-16,871388704
2005-08-17,852995275
2005-08-18,851845686
2005-08-19,849546507
2005-08-22,844948150
2005-08-23,843798560
2005-08-24,856444043
2005-08-25,855294454
2005-08-26,843798560
2005-08-29,846097739
2005-08-30,862191990
2005-08-31,897829258
2005-09-01,900128437
2005-09-02,898978848
2005-09-06,896679669
2005-09-07,909325152
2005-09-08,898978848
2005-09-09,900128437
2005-09-12,890931723
2005-09-13,875987061
2005-09-14,878286240
2005-09-15,879435829
2005-09-16,884034187
2005-09-19,903577205
2005-09-20,893230901
2005-09-21,895530080
2005-09-22,886333365
2005-09-23,872538293
2005-09-26,890931723
2005-09-27,911624330
2005-09-28,911624330
2005-09-29,900128437
2005-09-30,940364063
2005-10-03,1907655659
2005-10-04,1829698577
2005-10-05,1772377193
2005-10-06,1719641520
2005-10-07,1742570073
2005-10-10,1710470098
2005-10-11,1710470098
2005-10-12,1685248689
2005-10-13,1655441569
2005-10-14,1676077268
2005-10-17,1669198702
2005-10-18,1577484487
2005-10-19,1582070198
2005-10-20,1552263078
2005-10-21,1556848789
2005-10-24,1586655909
2005-10-25,1625634450
2005-10-26,1600413041
2005-10-27,1561434500
2005-10-28,1600413041
2005-10-31,1623341594
2005-11-01,1646270148
2005-11-02,1634805871
2005-11-03,1641684437
2005-11-04,1643977293
2005-11-07,1637098727
2005-11-08,1660027280
2005-11-09,1657734425
2005-11-10,1625634450
2005-11-11,1646270148
2005-11-14,1678370123
2005-11-15,1696712966
2005-11-16,1737984362
2005-11-17,1749448639
2005-11-18,1744862928
2005-11-21,1786134325
2005-11-22,1829698577
2005-11-23,1836577143
2005-11-25,1841162854
2005-11-28,1786134325
2005-11-29,1790720036
2005-11-30,1829698577
2005-12-01,1889312816
2005-12-02,1891605672
2005-12-05,1884727105
2005-12-06,1896191382
2005-12-07,1900777093
2005-12-08,1923705647
2005-12-09,1912241370
2005-12-12,1951219911
2005-12-13,1937462779
2005-12-14,1946634200
2005-12-15,1930584213
2005-12-16,1870969973
2005-12-19,1861798552
2005-12-20,1891605672
2005-12-21,1909948514
2005-12-22,1912241370
2005-12-23,1923705647
2005-12-27,1864091407
2005-12-28,1909948514
2005-12-29,1896191382
2005-12-30,1912241370
2006-01-03,989888580
2006-01-04,1008733043
2006-01-05,1013167034
2006-01-06,1025360511
2006-01-09,1012058537
2006-01-10,1006516047
2006-01-11,997648065
2006-01-12,1000973558
2006-01-13,1012058537
2006-01-17,1009841541
2006-01-18,995431069
2006-01-19,1017601026
2006-01-20,1037553987
2006-01-23,1026469009
2006-01-24,1041987979
2006-01-25,1020926519
2006-01-26,1028686004
2006-01-27,1051964459
2006-01-30,1105172356
2006-01-31,1116257334
2006-02-01,1067483429
2006-02-02,1071917420
2006-02-03,1058615446
2006-02-06,1066374931
2006-02-07,1012058537
2006-02-08,1020926519
2006-02-09,990997077
2006-02-10,995431069
2006-02-13,979912099
2006-02-14,968827120
2006-02-15,1005407549
2006-02-16,1009841541
2006-02-17,999865060
2006-02-21,1029794502
2006-02-22,1015384030
2006-02-23,1014275532
2006-02-24,1018709524
2006-02-27,1012058537
2006-02-28,1010950039
2006-03-01,1037553987
2006-03-02,1056398451
2006-03-03,1055289953
2006-03-06,1025360511
2006-03-07,1000973558
2006-03-08,999865060
2006-03-09,1003190554
2006-03-10,1012058537
2006-03-13,1041987979
2006-03-14,1065266433
2006-03-15,1070808923
2006-03-16,1080785403
2006-03-17,1066374931
2006-03-20,1053072957
2006-03-21,1046421970
2006-03-22,1064157936
2006-03-23,1091870382
2006-03-24,1091870382
2006-03-27,1081893901
2006-03-28,1098521369
2006-03-29,1100738365
2006-03-30,1102955360
2006-03-31,1102955360
2006-04-03,1072307366
2006-04-04,1084282372
2006-04-05,1110409658
2006-04-06,1111498295
2006-04-07,1095168741
2006-04-10,1106055110
2006-04-11,1081016461
2006-04-12,1073396003
2006-04-13,1085371009
2006-04-17,1087548283
2006-04-18,1122384664
2006-04-19,1156132409
2006-04-20,1168107415
2006-04-21,1186614242
2006-04-24,1178993784
2006-04-25,1171373325
2006-04-26,1146334676
2006-04-27,1137625581
2006-04-28,1153955135
2006-05-01,1177905147
2006-05-02,1214918802
2006-05-03,1188791516
2006-05-04,1225805171
2006-05-05,1267173374
