,FNMA
2000-05-04,55304775000
2000-05-05,55367550000
2000-05-08,56936925000
2000-05-09,56936925000
2000-05-10,58004100000
2000-05-11,60264000000
2000-05-12,60577875000
2000-05-15,63716625000
2000-05-16,62586675000
2000-05-17,62335575000
2000-05-18,62837775000
2000-05-19,61017300000
2000-05-22,60515100000
2000-05-23,57376350000
2000-05-24,60012900000
2000-05-25,58882950000
2000-05-26,59322375000
2000-05-30,60577875000
2000-05-31,60389550000
2000-06-01,61205625000
2000-06-02,63779400000
2000-06-05,62084475000
2000-06-06,61645050000
2000-06-07,62335575000
2000-06-08,61707825000
2000-06-09,60891750000
2000-06-12,60577875000
2000-06-13,60640650000
2000-06-14,62272800000
2000-06-15,60264000000
2000-06-16,56999700000
2000-06-19,57125250000
2000-06-20,55242000000
2000-06-21,55555875000
2000-06-22,56089462500
2000-06-23,56183625000
2000-06-26,55995300000
2000-06-27,56497500000
2000-06-28,55540181250
2000-06-29,53672625000
2000-06-30,52417125000
2000-07-03,53455375000
2000-07-05,53892000000
2000-07-06,56324625000
2000-07-07,57385000000
2000-07-10,57260250000
2000-07-11,58632500000
2000-07-12,56948375000
2000-07-13,54266250000
2000-07-14,54515750000
2000-07-17,53018750000
2000-07-18,52145500000
2000-07-19,50087125000
2000-07-20,51459375000
2000-07-21,51584125000
2000-07-24,53642500000
2000-07-25,54702875000
2000-07-26,51272250000
2000-07-27,51272250000
2000-07-28,50274250000
2000-07-31,49900000000
2000-08-01,49276250000
2000-08-02,48278250000
2000-08-03,50523750000
2000-08-04,52395000000
2000-08-07,53892000000
2000-08-08,55201875000
2000-08-09,56262250000
2000-08-10,55576125000
2000-08-11,57260250000
2000-08-14,57821625000
2000-08-15,57447375000
2000-08-16,57135500000
2000-08-17,57447375000
2000-08-18,58258250000
2000-08-21,58819625000
2000-08-22,58882000000
2000-08-23,58133500000
2000-08-24,55139500000
2000-08-25,55139500000
2000-08-28,56511750000
2000-08-29,53767250000
2000-08-30,53892000000
2000-08-31,53658093750
2000-09-01,52769250000
2000-09-05,52862812500
2000-09-06,53829625000
2000-09-07,55451375000
2000-09-08,58008750000
2000-09-11,59381000000
2000-09-12,60878000000
2000-09-13,64745250000
2000-09-14,64885593750
2000-09-15,64682875000
2000-09-18,62874000000
2000-09-19,62874000000
2000-09-20,62375000000
2000-09-21,65057125000
2000-09-22,67614500000
2000-09-25,67676875000
2000-09-26,67676875000
2000-09-27,68051125000
2000-09-28,70858000000
2000-09-29,71357000000
2000-10-02,73763073072
2000-10-03,70825052365
2000-10-04,69324786472
2000-10-05,71575185311
2000-10-06,69262275393
2000-10-09,69824875103
2000-10-10,68012053816
2000-10-11,71137607759
2000-10-12,70012408340
2000-10-13,70887563444
2000-10-16,71012585602
2000-10-17,70449985892
2000-10-18,70825052365
2000-10-19,77576248883
2000-10-20,75075805728
2000-10-23,73388006599
2000-10-24,74013117388
2000-10-25,74763250334
2000-10-26,74200650624
2000-10-27,78201359672
2000-10-30,79514092329
2000-10-31,77013649174
2000-11-01,77513737805
2000-11-02,74575717097
2000-11-03,73888095230
2000-11-06,75825938675
2000-11-07,73825584151
2000-11-08,73262984441
2000-11-09,76763604858
2000-11-10,76888627016
2000-11-13,76075982990
2000-11-14,77638759962
2000-11-15,78013826436
2000-11-16,78638937224
2000-11-17,77951315357
2000-11-20,77888804278
2000-11-21,78326381830
2000-11-22,78513915067
2000-11-24,76638582700
2000-11-27,78388892909
2000-11-28,80076692038
2000-11-29,79576603407
2000-11-30,79014003698
2000-12-01,78513915067
2000-12-04,78013826436
2000-12-05,82077046562
2000-12-06,82139557641
2000-12-07,82014535484
2000-12-08,83014712746
2000-12-11,84264934323
2000-12-12,83264757061
2000-12-13,83639823534
2000-12-14,83327268140
2000-12-15,84765022954
2000-12-18,87828065819
2000-12-19,84014890008
2000-12-20,84077401086
2000-12-21,85077578348
2000-12-22,81889513326
2000-12-26,85390133743
2000-12-27,86015244532
2000-12-28,87015421794
2000-12-29,86765377478
2001-01-02,85283925000
2001-01-03,81447406250
2001-01-04,76856162500
2001-01-05,79434806250
2001-01-08,80189531250
2001-01-09,78365612500
2001-01-10,78302718750
2001-01-11,76856162500
2001-01-12,77988250000
2001-01-16,78742975000
2001-01-17,80252425000
2001-01-18,77799568750
2001-01-19,77296418750
2001-01-22,77170631250
2001-01-23,76667481250
2001-01-24,74969350000
2001-01-25,78176931250
2001-01-26,77233525000
2001-01-29,73409581981
2001-01-30,73691352018
2001-01-31,74647334000
2001-02-01,76981950000
2001-02-02,78763097981
2001-02-05,78078812974
2001-02-06,78944231981
2001-02-07,79497700000
2001-02-08,82617227987
2001-02-09,82033572981
2001-02-12,82516600000
2001-02-13,81812193018
2001-02-14,82254959987
2001-02-15,81027272981
2001-02-16,82969431981
2001-02-20,83100256012
2001-02-21,82506534987
2001-02-22,81570675987
2001-02-23,79990784987
2001-02-26,78239825000
2001-02-27,78290143018
2001-02-28,80202106981
2001-03-01,82114077987
2001-03-02,81711556981
2001-03-05,82405905993
2001-03-06,80393305993
2001-03-07,81359352987
2001-03-08,81510300000
2001-03-09,80403372012
2001-03-12,77132897012
2001-03-13,76579427987
2001-03-14,75120297012
2001-03-15,74405824012
2001-03-16,76116530993
2001-03-19,76478800000
2001-03-20,77485100000
2001-03-21,77283843018
2001-03-22,77434781981
2001-03-23,76086344006
2001-03-26,74466200000
2001-03-27,77283843018
2001-03-28,78893922012
2001-03-29,79497700000
2001-03-30,80101477987
2001-04-02,80364854024
2001-04-03,80764184487
2001-04-04,78288343997
2001-04-05,77968881224
2001-04-06,78018801275
2001-04-09,79496311612
2001-04-10,77270060399
2001-04-11,75373248184
2001-04-12,74325007962
2001-04-16,75872408768
2001-04-17,77978867430
2001-04-18,78068712342
2001-04-19,78717622100
2001-04-20,78118631396
2001-04-23,77669389865
2001-04-24,77998829860
2001-04-25,80065354678
2001-04-26,80115273732
2001-04-27,80564515262
2001-04-30,80125258940
2001-05-01,79805796166
2001-05-02,78977188598
2001-05-03,78567872926
2001-05-04,78867372272
2001-05-07,79126937772
2001-05-08,80065354678
2001-05-09,78468041808
2001-05-10,78887335700
2001-05-11,77070391174
2001-05-14,78677689253
2001-05-15,78218461516
2001-05-16,79366532856
2001-05-17,76950597626
2001-05-18,75433145457
2001-05-21,75083734046
2001-05-22,76231805386
2001-05-23,79676010421
2001-05-24,79017122443
2001-05-25,79106967355
2001-05-29,80364854024
2001-05-30,82071982222
2001-05-31,82301599086
2001-06-01,82061997014
2001-06-04,82601091443
2001-06-05,82720892978
2001-06-06,82161835121
2001-06-07,83858978112
2001-06-08,83669295093
2001-06-11,84138507040
2001-06-12,83858978112
2001-06-13,82790774462
2001-06-14,82541194170
2001-06-15,80524589404
2001-06-18,81463005312
2001-06-19,82171813341
2001-06-20,83868963320
2001-06-21,85985399204
2001-06-22,87343116991
2001-06-25,85516195244
2001-06-26,84857299280
2001-06-27,84408057749
2001-06-28,85845635239
2001-06-29,84887247916
2001-07-02,85351541046
2001-07-03,85522181896
2001-07-05,85662710304
2001-07-06,85321428605
2001-07-09,85833359184
2001-07-10,84377871975
2001-07-11,84167077857
2001-07-12,85743014832
2001-07-13,86365362382
2001-07-16,86405514646
2001-07-17,85451917190
2001-07-18,85200971812
2001-07-19,83815756335
2001-07-20,84247382386
2001-07-23,83865948422
2001-07-24,82902311143
2001-07-25,82962544057
2001-07-26,82862166909
2001-07-27,83062920200
2001-07-30,83765564248
2001-07-31,83564810957
2001-08-01,84699081055
2001-08-02,84729201527
2001-08-03,84046629094
2001-08-06,83494546251
2001-08-07,83815756335
2001-08-08,83815756335
2001-08-09,84227310770
2001-08-10,84719161704
2001-08-13,84407983413
2001-08-14,85522181896
2001-08-15,85170859370
2001-08-16,85321428605
2001-08-17,84668968613
2001-08-20,85110635491
2001-08-21,83333938197
2001-08-22,82310084066
2001-08-23,81727888780
2001-08-24,79399115670
2001-08-27,79097986235
2001-08-28,76929814152
2001-08-29,77843259344
2001-08-30,77441745735
2001-08-31,76498188101
2001-09-04,77000078858
2001-09-05,76789285744
2001-09-06,75986257522
2001-09-07,74922251126
2001-09-10,75735312144
2001-09-17,77893443401
2001-09-18,80332633481
2001-09-19,80001383574
2001-09-20,77441745735
2001-09-21,75725279348
2001-09-24,75715239525
2001-09-25,77592313966
2001-09-26,78937377178
2001-09-27,80182064247
2001-09-28,80362745923
2001-10-01,79298181960
2001-10-02,80866500000
2001-10-03,80954714079
2001-10-04,80484222980
2001-10-05,80856696039
2001-10-08,81180164000
2001-10-09,81356600000
2001-10-10,78857087059
2001-10-11,76063518039
2001-10-12,75896886000
2001-10-15,77386787059
2001-10-16,79964717960
2001-10-17,79249168039
2001-10-18,79494218039
2001-10-19,79386396039
2001-10-22,79229567960
2001-10-23,78857087059
2001-10-24,77974912940
2001-10-25,78759068039
2001-10-26,79347187059
2001-10-29,78219962940
2001-10-30,77465205019
2001-10-31,79356991019
2001-11-01,80993923059
2001-11-02,80925310039
2001-11-05,81533036000
2001-11-06,81572244980
2001-11-07,82719077019
2001-11-08,81356600000
2001-11-09,80621450000
2001-11-12,81170360039
2001-11-13,82611255019
2001-11-14,81925117960
2001-11-15,80533235920
2001-11-16,79504022980
2001-11-19,79200162940
2001-11-20,79268776940
2001-11-21,78612037059
2001-11-23,78955112940
2001-11-26,79886300000
2001-11-27,79043327019
2001-11-28,77425996039
2001-11-29,77827881960
2001-11-30,77043718039
2001-12-03,76063518039
2001-12-04,76769264000
2001-12-05,76308568039
2001-12-06,74985300000
2001-12-07,76132132039
2001-12-10,76602631960
2001-12-11,77092731960
2001-12-12,76945700000
2001-12-13,75955696039
2001-12-14,75249951059
2001-12-17,76357581960
2001-12-18,76465403960
2001-12-19,77876887059
2001-12-20,78465012940
2001-12-21,78504214079
2001-12-24,77935703960
2001-12-26,77582831960
2001-12-27,78386594980
2001-12-28,78210158980
2001-12-31,77925900000
2002-01-02,79301522988
2002-01-03,79042560996
2002-01-04,78136197012
2002-01-07,75845401992
2002-01-08,75476879004
2002-01-09,76194000000
2002-01-10,77050560996
2002-01-11,77737802988
2002-01-14,78684000000
2002-01-15,81821401992
2002-01-16,81821401992
2002-01-17,81771598008
2002-01-18,82269598008
2002-01-22,82807439004
2002-01-23,82817401992
2002-01-24,81174000000
2002-01-25,80974802988
2002-01-28,81781560996
2002-01-29,79640159004
2002-01-30,81532560996
2002-01-31,80626197012
2002-02-01,81074401992
2002-02-04,79182000000
2002-02-05,79132197012
2002-02-06,77707917012
2002-02-07,77170082988
2002-02-08,79182000000
2002-02-11,79431000000
2002-02-12,78743758008
2002-02-13,78693961992
2002-02-14,77269681992
2002-02-15,77439000000
2002-02-19,78136197012
2002-02-20,77090401992
2002-02-21,75048598008
2002-02-22,75696000000
2002-02-25,77239802988
2002-02-26,76462917012
2002-02-27,77598363984
2002-02-28,77937000000
2002-03-01,79172038008
2002-03-04,79092363984
2002-03-05,78664082988
2002-03-06,79978802988
2002-03-07,79281598008
2002-03-08,78693961992
2002-03-11,79480802988
2002-03-12,79799522988
2002-03-13,79680000000
2002-03-14,79570439004
2002-03-15,80964840996
2002-03-18,80187961992
2002-03-19,79680000000
2002-03-20,78723840996
2002-03-21,79769636016
2002-03-22,79680000000
2002-03-25,78873241992
2002-03-26,79411082988
2002-03-27,79779598008
2002-03-28,79560477012
2002-04-01,79490549005
2002-04-02,80396002985
2002-04-03,80694498010
2002-04-04,82216847015
2002-04-05,82565102985
2002-04-08,82684498010
2002-04-09,82585000000
2002-04-10,82624800995
2002-04-11,81112397015
2002-04-12,81082548010
2002-04-15,80296497015
2002-04-16,81520350000
2002-04-17,80097500000
2002-04-18,79828852985
2002-04-19,79619897015
2002-04-22,79898502985
2002-04-23,80296497015
2002-04-24,80226847015
2002-04-25,79530350000
2002-04-26,78605000000
2002-04-29,78356250000
2002-04-30,78535350000
2002-05-01,78853750000
2002-05-02,78903502985
2002-05-03,79729347015
2002-05-06,79410948010
2002-05-07,79609951990
2002-05-08,79102500000
2002-05-09,78803997015
2002-05-10,77659752985
2002-05-13,79082602985
2002-05-14,80893502985
2002-05-15,79600000000
2002-05-16,80206950995
2002-05-17,79948248010
2002-05-20,79102500000
2002-05-21,78117451990
2002-05-22,79371147015
2002-05-23,78605000000
2002-05-24,78505501990
2002-05-28,78445796020
2002-05-29,78505501990
2002-05-30,79331352985
2002-05-31,79609951990
2002-06-03,78216950995
2002-06-04,77590102985
2002-06-05,78236847015
2002-06-06,77610000000
2002-06-07,77082650995
2002-06-10,78077650995
2002-06-11,76316497015
2002-06-12,76654800995
2002-06-13,75311551990
2002-06-14,76018001990
2002-06-17,77898550995
2002-06-18,79003001990
2002-06-19,77998049005
2002-06-20,76037898010
2002-06-21,74535453980
2002-06-24,75620000000
2002-06-25,74376250000
2002-06-26,72595199005
2002-06-27,74734450995
2002-06-28,73381250000
2002-07-01,73116057982
2002-07-02,72310832011
2002-07-03,71426083011
2002-07-05,72668708011
2002-07-08,72479834976
2002-07-09,69487591988
2002-07-10,69298710005
2002-07-11,71465848005
2002-07-12,70213280017
2002-07-15,72300895982
2002-07-16,72201480017
2002-07-17,72151779988
2002-07-18,70382282982
2002-07-19,68274788000
2002-07-22,66604700000
2002-07-23,66644464994
2002-07-24,69606879017
2002-07-25,68871247005
2002-07-26,71475791988
2002-07-29,73463991988
2002-07-30,74209566988
2002-07-31,74448148005
2002-08-01,74418326994
2002-08-02,71724316988
2002-08-05,72579242988
2002-08-06,71088092988
2002-08-07,71247145011
2002-08-08,72788002994
2002-08-09,74656908011
2002-08-12,73662808011
2002-08-13,72330717988
2002-08-14,75660951994
2002-08-15,75064492988
2002-08-16,75849832982
2002-08-19,76873754988
2002-08-20,75998942017
2002-08-21,76247467017
2002-08-22,75631129988
2002-08-23,75949241988
2002-08-26,76356819011
2002-08-27,74945198005
2002-08-28,75462134976
2002-08-29,75541657011
2002-08-30,75332897005
2002-09-03,72479834976
2002-09-04,74040570982
2002-09-05,73871569011
2002-09-06,74179744982
2002-09-09,76267352994
2002-09-10,74706616988
2002-09-11,74885554988
2002-09-12,72559357011
2002-09-13,72271067017
2002-09-16,70561220982
2002-09-17,65859125000
2002-09-18,67201158011
2002-09-19,66107650000
2002-09-20,64218858011
2002-09-23,65113550000
2002-09-24,63224758011
2002-09-25,62856943000
2002-09-26,64487269982
2002-09-27,61147089011
2002-09-30,59188714994
2002-10-01,63387318971
2002-10-02,62804180915
2002-10-03,62881927084
2002-10-04,61375486943
2002-10-07,59966230971
2002-10-08,62133567000
2002-10-09,59966230971
2002-10-10,61958625000
2002-10-11,63251253943
2002-10-14,64611914915
2002-10-15,68985464915
2002-10-16,67644238056
2002-10-17,66575150000
2002-10-18,69869890028
2002-10-21,67896934971
2002-10-22,68033000000
2002-10-23,68081597915
2002-10-24,66186388056
2002-10-25,66575150000
2002-10-28,66545993971
2002-10-29,65408872915
2002-10-30,65787912943
2002-10-31,64981234971
2002-11-01,65554652084
2002-11-04,66137797915
2002-11-05,66089200000
2002-11-06,66293298028
2002-11-07,65020111943
2002-11-08,64145400000
2002-11-11,63659450000
2002-11-12,62502887056
2002-11-13,62493172915
2002-11-14,64514719084
2002-11-15,62736147915
2002-11-18,61229700000
2002-11-19,60889536943
2002-11-20,61375486943
2002-11-21,63270688056
2002-11-22,63027713056
2002-11-25,61696212000
2002-11-26,60257800000
2002-11-27,61773964971
2002-11-29,61278294028
2002-12-02,61822559971
2002-12-03,62298788056
2002-12-04,62250197915
2002-12-05,61424080971
2002-12-06,62026658000
2002-12-09,62046096000
2002-12-10,63260967112
2002-12-11,63776080915
2002-12-12,63465072915
2002-12-13,64738259971
2002-12-16,65632406028
2002-12-17,66186388056
2002-12-18,65661562056
2002-12-19,65622685084
2002-12-20,64825727084
2002-12-23,64553596056
2002-12-24,64475842112
2002-12-26,64621629056
2002-12-27,63367877084
2002-12-30,63212376971
2002-12-31,63493711973
2003-01-02,65665109013
2003-01-03,66948211973
2003-01-06,68280660000
2003-01-07,67313397039
2003-01-08,67629237039
2003-01-09,67313397039
2003-01-10,67757551974
2003-01-13,69090000000
2003-01-14,69139352961
2003-01-15,68241179013
2003-01-16,68063519013
2003-01-17,68784031974
2003-01-21,68024038026
2003-01-22,66721198026
2003-01-23,66642237039
2003-01-24,64944602961
2003-01-27,63316051974
2003-01-28,63858897039
2003-01-29,64648500000
2003-01-30,62674500000
2003-01-31,63858897039
2003-02-03,64046429013
2003-02-04,63385140987
2003-02-05,63266698026
2003-02-06,62190868026
2003-02-07,62279698026
2003-02-10,63375269013
2003-02-11,62181000000
2003-02-12,62200740000
2003-02-13,61342051974
2003-02-14,63612147039
2003-02-18,64253698026
2003-02-19,64076038026
2003-02-20,63098910000
2003-02-21,63967468025
2003-02-24,62546189013
2003-02-25,63128519013
2003-02-26,63168000000
2003-02-27,63098910000
2003-02-28,63266698026
2003-03-03,63404878026
2003-03-04,62319179013
2003-03-05,62131650987
2003-03-06,61549320987
2003-03-07,62457359013
2003-03-10,58163910000
2003-03-11,58479750000
2003-03-12,59604929013
2003-03-13,61371660000
2003-03-14,61766461974
2003-03-17,63691109013
2003-03-18,64076038026
2003-03-19,65576281974
2003-03-20,64885378026
2003-03-21,66740942961
2003-03-24,65132128026
2003-03-25,64836031974
2003-03-26,65447968025
2003-03-27,65901987039
2003-03-28,65832897039
2003-03-31,63977648042
2003-04-01,65406988041
2003-04-02,65230767063
2003-04-03,66180398042
2003-04-04,66669898042
2003-04-07,66180398042
2003-04-08,66846119021
2003-04-09,66170606084
2003-04-10,66836327063
2003-04-11,67560791958
2003-04-14,69988708042
2003-04-15,71564898042
2003-04-16,70517369021
2003-04-17,71143928042
2003-04-21,70556530000
2003-04-22,71878178042
2003-04-23,71829232937
2003-04-24,71016660979
2003-04-25,70458630979
2003-04-28,71682380979
2003-04-29,71467000000
2003-04-30,70869809021
2003-05-01,70683797063
2003-05-02,71515952937
2003-05-05,71300571958
2003-05-06,71858601958
2003-05-07,70938339021
2003-05-08,70008291958
2003-05-09,70928547063
2003-05-12,71476791958
2003-05-13,71594267063
2003-05-14,71378893916
2003-05-15,71927130979
2003-05-16,72113143916
2003-05-19,71388678042
2003-05-20,70987291958
2003-05-21,70096398042
2003-05-22,70546738042
2003-05-23,69763541958
2003-05-27,70781702937
2003-05-28,72406839021
2003-05-29,71555106084
2003-05-30,72446000000
2003-06-02,72446000000
2003-06-03,73043190979
2003-06-04,73787232937
2003-06-05,73356470000
2003-06-06,73366261958
2003-06-09,69812488042
2003-06-10,68402732937
2003-06-11,68236297063
2003-06-12,65661529999
2003-06-13,67110452937
2003-06-16,71143928042
2003-06-17,69411101958
2003-06-18,69665643916
2003-06-19,69411101958
2003-06-20,68383148042
2003-06-23,66542630979
2003-06-24,67551000000
2003-06-25,66454517063
2003-06-26,65201398042
2003-06-27,65083922937
2003-06-30,65619121946
2003-07-01,67409439027
2003-07-02,68878670973
2003-07-03,68226762919
2003-07-07,68985701946
2003-07-08,69423548054
2003-07-09,69024621946
2003-07-10,68246219027
2003-07-11,68450548054
2003-07-14,69910048054
2003-07-15,67195378053
2003-07-16,67137000000
2003-07-17,65803987081
2003-07-18,64967207081
2003-07-21,63556359999
2003-07-22,62310920973
2003-07-23,62651469027
2003-07-24,61882798054
2003-07-25,63585548054
2003-07-28,62602816108
2003-07-29,61104399027
2003-07-30,61960640000
2003-07-31,62310920973
2003-08-01,60763850973
2003-08-04,61386570000
2003-08-05,61736850973
2003-08-06,62758500000
2003-08-07,62369298054
2003-08-08,62096860000
2003-08-11,62554170973
2003-08-12,61931451946
2003-08-13,60734658054
2003-08-14,61046021946
2003-08-15,60686009027
2003-08-18,60326000000
2003-08-19,59255701946
2003-08-20,58778930000
2003-08-21,59596250000
2003-08-22,58769201946
2003-08-25,61639548054
2003-08-26,61415759027
2003-08-27,61191969027
2003-08-28,62272000000
2003-08-29,63040670973
2003-09-02,65872097081
2003-09-03,67613768054
2003-09-04,67273219027
2003-09-05,67224566108
2003-09-08,67866750000
2003-09-09,66514280973
2003-09-10,64879640000
2003-09-11,65823451946
2003-09-12,66154268054
2003-09-15,66212652919
2003-09-16,67458091945
2003-09-17,67234298054
2003-09-18,68226762919
2003-09-19,67623500000
2003-09-22,66631042919
2003-09-23,67526201946
2003-09-24,66426707081
2003-09-25,66718609999
2003-09-26,67000780973
2003-09-29,67857018054
2003-09-30,67953597096
2003-10-01,68737681936
2003-10-02,68882883872
2003-10-03,68679597096
2003-10-06,68698960968
2003-10-07,69182960968
2003-10-08,69996078064
2003-10-09,68979681936
2003-10-10,69115201936
2003-10-13,69821837096
2003-10-14,70557519032
2003-10-15,70247760000
2003-10-16,70034798064
2003-10-17,70935039032
2003-10-20,71070558064
2003-10-21,71786883872
2003-10-22,70422000000
2003-10-23,71564240000
2003-10-24,71980480968
2003-10-27,71438402904
2003-10-28,72938798064
2003-10-29,70760798064
2003-10-30,70770480968
2003-10-31,69395921936
2003-11-03,69831519032
2003-11-04,68602162904
2003-11-05,68640883872
2003-11-06,67856798064
2003-11-07,66937201936
2003-11-10,67518000000
2003-11-11,67179201936
2003-11-12,67740642904
2003-11-13,67663201936
2003-11-14,67324402904
2003-11-17,67237279032
2003-11-18,66308000000
2003-11-19,67256642904
2003-11-20,67314720968
2003-11-21,67121116128
2003-11-24,67305039032
2003-11-25,67634162904
2003-11-26,68147201936
2003-11-28,67760000000
2003-12-01,67363116128
2003-12-02,67914883872
2003-12-03,67760000000
2003-12-04,68108480968
2003-12-05,68389201936
2003-12-08,68728000000
2003-12-09,68050402904
2003-12-10,67779357096
2003-12-11,68185921936
2003-12-12,67769681936
2003-12-15,67518000000
2003-12-16,68340798064
2003-12-17,67537357096
2003-12-18,67663201936
2003-12-19,68360162904
2003-12-22,71099597096
2003-12-23,70644642904
2003-12-24,70470402904
2003-12-26,70538162904
2003-12-29,72135357096
2003-12-30,72522558064
2003-12-31,72958318056
2004-01-02,72015476112
2004-01-05,72316801944
2004-01-06,72316801944
2004-01-07,72132119028
2004-01-08,71354523888
2004-01-09,70615801944
2004-01-12,70217278056
2004-01-13,69332761944
2004-01-14,70674119028
2004-01-15,71626681944
2004-01-16,71004602916
2004-01-20,70956000000
2004-01-21,73551238056
2004-01-22,77128198056
2004-01-23,75825721944
2004-01-26,77021278056
2004-01-27,76661642916
2004-01-28,74319119028
2004-01-29,74562119028
2004-01-30,74941198056
2004-02-02,75534119028
2004-02-03,75874318056
2004-02-04,75524397084
2004-02-05,75339721944
2004-02-06,75592437084
2004-02-09,75339721944
2004-02-10,75368880972
2004-02-11,77069880972
2004-02-12,77254562916
2004-02-13,76865761944
2004-02-17,76982397084
2004-02-18,76817159028
2004-02-19,77643357084
2004-02-20,77429523888
2004-02-23,76690801944
2004-02-24,74115000000
2004-02-25,73405437084
2004-02-26,73045801944
2004-02-27,72802801944
2004-03-01,75087000000
2004-03-02,74241357084
2004-03-03,73998357084
2004-03-04,74037238056
2004-03-05,76525562916
2004-03-08,76088159028
2004-03-09,74892602916
2004-03-10,73891437084
2004-03-11,73279079028
2004-03-12,73580397084
2004-03-15,73094397084
2004-03-16,73580397084
2004-03-17,73434602916
2004-03-18,73045801944
2004-03-19,72948602916
2004-03-22,73483198056
2004-03-23,73969198056
2004-03-24,72190437084
2004-03-25,72443159028
2004-03-26,71451721944
2004-03-29,72968040000
2004-03-30,73123562916
2004-03-31,72045148062
2004-04-01,73004456124
2004-04-02,72878489031
2004-04-05,72723452907
2004-04-06,71783521938
2004-04-07,71686622907
2004-04-08,71424989031
2004-04-12,70833898062
2004-04-13,70136217093
2004-04-14,70543202907
2004-04-15,70397851938
2004-04-16,71909489031
2004-04-19,71541271938
2004-04-20,69758308062
2004-04-21,68508297093
2004-04-22,68973420000
2004-04-23,67733101938
2004-04-26,67461782907
2004-04-27,67704032907
2004-04-28,65872622907
2004-04-29,66861000000
2004-04-30,66589680969
2004-05-03,67684648062
2004-05-04,67868760969
2004-05-05,67975351938
2004-05-06,66744717093
2004-05-07,65756340969
2004-05-10,66221456124
2004-05-11,67355191938
2004-05-12,67907521937
2004-05-13,68217601938
2004-05-14,67771861938
2004-05-17,66454021937
2004-05-18,66066420000
2004-05-19,65552851938
2004-05-20,65707888061
2004-05-21,65116797093
2004-05-24,64690441938
2004-05-25,65126489031
2004-05-26,66502467093
2004-05-27,65746648062
2004-05-28,65601297093
2004-06-01,64729202907
2004-06-02,65165250000
2004-06-03,65165250000
2004-06-04,65659441938
2004-06-07,67490851938
2004-06-08,66938521937
2004-06-09,66957898062
2004-06-10,67946282907
2004-06-14,67297047093
2004-06-15,68178840969
2004-06-16,68508297093
2004-06-17,68983111938
2004-06-18,69351330000
2004-06-21,68304808062
2004-06-22,68905590969
2004-06-23,68673032907
2004-06-24,68314500000
2004-06-25,67975351938
2004-06-28,69525750000
2004-06-29,69138148062
2004-06-30,71590194519
2004-07-01,70245867926
2004-07-02,70928061474
2004-07-06,70737453587
2004-07-07,71921260038
2004-07-08,71148772155
2004-07-09,69904774162
2004-07-12,70366257029
2004-07-13,71188902190
2004-07-14,71489872942
2004-07-15,72031615880
2004-07-16,73355873944
2004-07-19,74088223766
2004-07-20,74519611866
2004-07-21,71830965703
2004-07-22,70597002977
2004-07-23,70105416313
2004-07-26,70426448571
2004-07-27,70446517100
2004-07-28,71339388067
2004-07-29,70928061474
2004-07-30,71188902190
2004-08-02,72031615880
2004-08-03,71158806419
2004-08-04,71690515093
2004-08-05,70546838677
2004-08-06,70426448571
2004-08-09,70175642120
2004-08-10,70486647136
2004-08-11,72543256025
2004-08-12,71540030219
2004-08-13,71499900183
2004-08-16,72202162261
2004-08-17,73305709644
2004-08-18,74599871937
2004-08-19,74539680395
2004-08-20,74619932440
2004-08-23,73506351795
