,HBAN
2000-06-02,4549030119
2000-06-05,4353162299
2000-06-06,4228296564
2000-06-07,4353162299
2000-06-08,4257676737
2000-06-09,4186674652
2000-06-12,4242986650
2000-06-13,4201364739
2000-06-14,4120569263
2000-06-15,3880631183
2000-06-16,3839009272
2000-06-19,3782697273
2000-06-20,3755765448
2000-06-21,3728833623
2000-06-22,3657831538
2000-06-23,3714143536
2000-06-26,3728833623
2000-06-27,3714143536
2000-06-28,3782697273
2000-06-29,3562345976
2000-06-30,3608501569
2000-07-03,3867148516
2000-07-05,3952527119
2000-07-06,4022838910
2000-07-07,4065528212
2000-07-10,4052972535
2000-07-11,4108217514
2000-07-12,4128306597
2000-07-13,3987683015
2000-07-14,4128306597
2000-07-17,4017816640
2000-07-18,4123284326
2000-07-19,4158440222
2000-07-20,4221218607
2000-07-21,4176018170
2000-07-24,4221218607
2000-07-25,4206151795
2000-07-26,4017816640
2000-07-27,4080595025
2000-07-28,3987683015
2000-07-31,3939971442
2000-08-01,4032883452
2000-08-02,4065528212
2000-08-03,4191084982
2000-08-04,4301574940
2000-08-07,4379420137
2000-08-08,4301574940
2000-08-09,4301574940
2000-08-10,4301574940
2000-08-11,4346775377
2000-08-14,4394486950
2000-08-15,4331708565
2000-08-16,4253863367
2000-08-17,4283996992
2000-08-18,4176018170
2000-08-21,4191084982
2000-08-22,4268930180
2000-08-23,4301574940
2000-08-24,4221218607
2000-08-25,4206151795
2000-08-28,4143373410
2000-08-29,4128306597
2000-08-30,4143373410
2000-08-31,4238796555
2000-09-01,4221218607
2000-09-05,4253863367
2000-09-06,4268930180
2000-09-07,4394486950
2000-09-08,4567755292
2000-09-11,4630533677
2000-09-12,4693312062
2000-09-13,4708378875
2000-09-14,4520043720
2000-09-15,4457265335
2000-09-18,4206151795
2000-09-19,4346775377
2000-09-20,4301574940
2000-09-21,4206151795
2000-09-22,4191084982
2000-09-25,4283996992
2000-09-26,4221218607
2000-09-27,4301574940
2000-09-28,4427131710
2000-09-29,3688857902
2000-10-02,3827725295
2000-10-03,3797605489
2000-10-04,3749915797
2000-10-05,3717286007
2000-10-06,3591786817
2000-10-09,3529037222
2000-10-10,3466287627
2000-10-11,3421107919
2000-10-12,3373418227
2000-10-13,3325728535
2000-10-16,3403538032
2000-10-17,3340788437
2000-10-18,3278038842
2000-10-19,3388478130
2000-10-20,3310668632
2000-10-23,3215289247
2000-10-24,3325728535
2000-10-25,3436167822
2000-10-26,3403538032
2000-10-27,3483857514
2000-10-30,3687166202
2000-10-31,3609356704
2000-11-01,3546607109
2000-11-02,3576726915
2000-11-03,3591786817
2000-11-06,3672106299
2000-11-07,3624416607
2000-11-08,3534057190
2000-11-09,3591786817
2000-11-10,3591786817
2000-11-13,3549117093
2000-11-14,3498917417
2000-11-15,3421107919
2000-11-16,3466287627
2000-11-17,3513977320
2000-11-20,3421107919
2000-11-21,3466287627
2000-11-22,3498917417
2000-11-24,3591786817
2000-11-27,3529037222
2000-11-28,3576726915
2000-11-29,3717286007
2000-11-30,3827725295
2000-12-01,3827725295
2000-12-04,3702226105
2000-12-05,3905534792
2000-12-06,3812665392
2000-12-07,3890474890
2000-12-08,3953224485
2000-12-11,3938164582
2000-12-12,3923104679
2000-12-13,3797605489
2000-12-14,3717286007
2000-12-15,3687166202
2000-12-18,3780035602
2000-12-19,3734855894
2000-12-20,3780035602
2000-12-21,3890474890
2000-12-22,3953224485
2000-12-26,3938164582
2000-12-27,4000914177
2000-12-28,4000914177
2000-12-29,4063663772
2001-01-02,4015974080
2001-01-03,4415061504
2001-01-04,4377411747
2001-01-05,4189162962
2001-01-08,4156533172
2001-01-09,4156533172
2001-01-10,4219282767
2001-01-11,4282032362
2001-01-12,4111353464
2001-01-16,4204222865
2001-01-17,4282032362
2001-01-18,3860355084
2001-01-19,3905534792
2001-01-22,3890474890
2001-01-23,3985854274
2001-01-24,3985854274
2001-01-25,3923104679
2001-01-26,3923104679
2001-01-29,3918084711
2001-01-30,3923104679
2001-01-31,3875414987
2001-02-01,3702226105
2001-02-02,3764975700
2001-02-05,3797605489
2001-02-06,3687166202
2001-02-07,3717286007
2001-02-08,3764975700
2001-02-09,3717286007
2001-02-12,3780035602
2001-02-13,3734855894
2001-02-14,3812665392
2001-02-15,3842785197
2001-02-16,3890474890
2001-02-20,3780035602
2001-02-21,3734855894
2001-02-22,3764975700
2001-02-23,3764975700
2001-02-26,3890474890
2001-02-27,3842785197
2001-02-28,3749915797
2001-03-01,3827725295
2001-03-02,3842785197
2001-03-05,3812665392
2001-03-06,3812665392
2001-03-07,3890474890
2001-03-08,3860355084
2001-03-09,3764975700
2001-03-12,3639476510
2001-03-13,3759955732
2001-03-14,3591786817
2001-03-15,3654536412
2001-03-16,3624416607
2001-03-19,3639476510
2001-03-20,3498917417
2001-03-21,3388478130
2001-03-22,3247919037
2001-03-23,3446207757
2001-03-26,3591786817
2001-03-27,3591786817
2001-03-28,3561667012
2001-03-29,3486367498
2001-03-30,3576726915
2001-04-02,3654914885
2001-04-03,3592158791
2001-04-04,3514341236
2001-04-05,3639853423
2001-04-06,3529402698
2001-04-09,3657425129
2001-04-10,3639853423
2001-04-11,3637343179
2001-04-12,3574587085
2001-04-16,3546974404
2001-04-17,3531912942
2001-04-18,3617261229
2001-04-19,3557015379
2001-04-20,3524382210
2001-04-23,3511830992
2001-04-24,3599689523
2001-04-25,3594669035
2001-04-26,3617261229
2001-04-27,3762855366
2001-04-30,3782937316
2001-05-01,3770386097
2001-05-02,3742773416
2001-05-03,3747793903
2001-05-04,3795488534
2001-05-07,3750304147
2001-05-08,3740263172
2001-05-09,3682527566
2001-05-10,3682527566
2001-05-11,3644873910
2001-05-14,3690058297
2001-05-15,3700099272
2001-05-16,3740263172
2001-05-17,3722691466
2001-05-18,3740263172
2001-05-21,3752814391
2001-05-22,3815570484
2001-05-23,3813060241
2001-05-24,3823101216
2001-05-25,3747793903
2001-05-29,3727711953
2001-05-30,3715160735
2001-05-31,3760345122
2001-06-01,3885857309
2001-06-04,3863265115
2001-06-05,3910959746
2001-06-06,3878326578
2001-06-07,3953633890
2001-06-08,3845693409
2001-06-11,3830631947
2001-06-12,3853224140
2001-06-13,3815570484
2001-06-14,3745283660
2001-06-15,3747793903
2001-06-18,3780427072
2001-06-19,3825611459
2001-06-20,3865775359
2001-06-21,3988777302
2001-06-22,3971205596
2001-06-25,3966185109
2001-06-26,3981246571
2001-06-27,3991287546
2001-06-28,3998818277
2001-06-29,4104248514
2001-07-02,4066080615
2001-07-03,4061057662
2001-07-05,4113798670
2001-07-06,4053523232
2001-07-09,4013339606
2001-07-10,3862651010
2001-07-11,3875208393
2001-07-12,4169051156
2001-07-13,4113798670
2001-07-16,4053523232
2001-07-17,4101241287
2001-07-18,4329785658
2001-07-19,4385038143
2001-07-20,4374992237
2001-07-23,4362434854
2001-07-24,4337320088
2001-07-25,4357411901
2001-07-26,4528192309
2001-07-27,4601025131
2001-07-30,4636185803
2001-07-31,4598513654
2001-08-01,4696461242
2001-08-02,4673857952
2001-08-03,4711530101
2001-08-06,4671346476
2001-08-07,4706507148
2001-08-08,4721576008
2001-08-09,4726598961
2001-08-10,4746690774
2001-08-13,4776828493
2001-08-14,4764271110
2001-08-15,4761759633
2001-08-16,4693949765
2001-08-17,4651254663
2001-08-20,4794408829
2001-08-21,4781851446
2001-08-22,4806966212
2001-08-23,4784362923
2001-08-24,4751713727
2001-08-27,4633674327
2001-08-28,4590979224
2001-08-29,4548284122
2001-08-30,4585956271
2001-08-31,4565864458
2001-09-04,4518146403
2001-09-05,4465405394
2001-09-06,4395084050
2001-09-07,4374992237
2001-09-10,4367457807
2001-09-17,4231838071
2001-09-18,4377503713
2001-09-19,4452848011
2001-09-20,4269510220
2001-09-21,4023385513
2001-09-24,4287090556
2001-09-25,4362434854
2001-09-26,4272021696
2001-09-27,4322251228
2001-09-28,4347365994
2001-10-01,4188490463
2001-10-02,4279277896
2001-10-03,4198305321
2001-10-04,4124693889
2001-10-05,3930850452
2001-10-08,3756636731
2001-10-09,3702655014
2001-10-10,3707562443
2001-10-11,3722284729
2001-10-12,3638858440
2001-10-15,3638858440
2001-10-16,3741914444
2001-10-17,3732099587
2001-10-18,3746821873
2001-10-19,3771359017
2001-10-22,3867053878
2001-10-23,3862146449
2001-10-24,3913674452
2001-10-25,3965202454
2001-10-26,3967656168
2001-10-29,3832701877
2001-10-30,3822887019
2001-10-31,3786081303
2001-11-01,3867053878
2001-11-02,3928396738
2001-11-05,4036360171
2001-11-06,4136962461
2001-11-07,4080527030
2001-11-08,4009369313
2001-11-09,4011823027
2001-11-12,3962748739
2001-11-13,3987285883
2001-11-14,4026545313
2001-11-15,3994647026
2001-11-16,3938211595
2001-11-19,3992193312
2001-11-20,3975017311
2001-11-21,3979924740
2001-11-23,4033906457
2001-11-26,4087888173
2001-11-27,4053536172
2001-11-28,4024091599
2001-11-29,4048628743
2001-11-30,3972563597
2001-12-03,3943119024
2001-12-04,4046175029
2001-12-05,4114879032
2001-12-06,4171314463
2001-12-07,4149231033
2001-12-10,4070712173
2001-12-11,4105064174
2001-12-12,4136962461
2001-12-13,4038813885
2001-12-14,4038813885
2001-12-17,4033906457
2001-12-18,4058443601
2001-12-19,4173768177
2001-12-20,4215481322
2001-12-21,4173768177
2001-12-24,4190944178
2001-12-26,4159045891
2001-12-27,4181129320
2001-12-28,4215481322
2001-12-31,4310375310
2002-01-02,4325420250
2002-01-03,4375570050
2002-01-04,4455809730
2002-01-07,4440764790
2002-01-08,4448287260
2002-01-09,4423212360
2002-01-10,4463332200
2002-01-11,4443272280
2002-01-14,4378077540
2002-01-15,4470854670
2002-01-16,4398137460
2002-01-17,4460824710
2002-01-18,4358017620
2002-01-22,4315390290
2002-01-23,4413182400
2002-01-24,4450794750
2002-01-25,4453302240
2002-01-28,4450794750
2002-01-29,4345480170
2002-01-30,4322912760
2002-01-31,4390614990
2002-02-01,4347987660
2002-02-04,4260225509
2002-02-05,4257718020
2002-02-06,4220105669
2002-02-07,4270255470
2002-02-08,4340465190
2002-02-11,4415689890
2002-02-12,4470854670
2002-02-13,4548586860
2002-02-14,4538556900
2002-02-15,4558616820
2002-02-19,4475869650
2002-02-20,4488407100
2002-02-21,4480884630
2002-02-22,4528526940
2002-02-25,4553601840
2002-02-26,4578676740
2002-02-27,4593721680
2002-02-28,4626319050
2002-03-01,4714081200
2002-03-04,4811873310
2002-03-05,4851993150
2002-03-06,4914680400
2002-03-07,4924710360
2002-03-08,4949785260
2002-03-11,5012472510
2002-03-12,5009965020
2002-03-13,4982382630
2002-03-14,4987397610
2002-03-15,5055099840
2002-03-18,5030024940
2002-03-19,5014980000
2002-03-20,4927217850
2002-03-21,4864530600
2002-03-22,4914680400
2002-03-25,4864530600
2002-03-26,4894620480
2002-03-27,4999935060
2002-03-28,4939755300
2002-04-01,4835982900
2002-04-02,4875359860
2002-04-03,4826138660
2002-04-04,4863054560
2002-04-05,4870437740
2002-04-08,4885204100
2002-04-09,4890126220
2002-04-10,4941808480
2002-04-11,4880281980
2002-04-12,4909814700
2002-04-15,4885204100
2002-04-16,4919658940
2002-04-17,4936886360
2002-04-18,4988568620
2002-04-19,4988568620
2002-04-22,4961496960
2002-04-23,4961496960
2002-04-24,4968880140
2002-04-25,5027945580
2002-04-26,5005796040
2002-04-29,5005796040
2002-04-30,4993490740
2002-05-01,5015640280
2002-05-02,5143615400
2002-05-03,5153459640
2002-05-06,5119004800
2002-05-07,5141154340
2002-05-08,5131310100
2002-05-09,5101777380
2002-05-10,5023023460
2002-05-13,5042711940
2002-05-14,5089472080
2002-05-15,5087011020
2002-05-16,5116543740
2002-05-17,5104238440
2002-05-20,5072244660
2002-05-21,5050095120
2002-05-22,4949191660
2002-05-23,5032867700
2002-05-24,4961496960
2002-05-28,4880281980
2002-05-29,4890126220
2002-05-30,4914736820
2002-05-31,4914736820
2002-06-03,4872898800
2002-06-04,4838443960
2002-06-05,4860593500
2002-06-06,4762151100
2002-06-07,4845827140
2002-06-10,4902431520
2002-06-11,4912275760
2002-06-12,4929503180
2002-06-13,4821216540
2002-06-14,4840905020
2002-06-17,4934425300
2002-06-18,4922120000
2002-06-19,4882743040
2002-06-20,4877820920
2002-06-21,4863054560
2002-06-24,4803989120
2002-06-25,4767073220
2002-06-26,4811372300
2002-06-27,4828599720
2002-06-28,4779378520
2002-07-01,4695332250
2002-07-02,4714526250
2002-07-03,4594563750
2002-07-05,4740918000
2002-07-08,4721724000
2002-07-09,4647347250
2002-07-10,4527384750
2002-07-11,4532183250
2002-07-12,4491396000
2002-07-15,4378631250
2002-07-16,4333045500
2002-07-17,4385829000
2002-07-18,4201086750
2002-07-19,4162698750
2002-07-22,4150702500
2002-07-23,4064329500
2002-07-24,4270665000
2002-07-25,4371433500
2002-07-26,4498593750
2002-07-29,4678537500
2002-07-30,4642548750
2002-07-31,4736119500
2002-08-01,4666541250
2002-08-02,4625754000
2002-08-05,4436213250
2002-08-06,4529784000
2002-08-07,4592164500
2002-08-08,4769709000
2002-08-09,4726522500
2002-08-12,4733720250
2002-08-13,4668940500
2002-08-14,4774507500
2002-08-15,4793701500
2002-08-16,4762511250
2002-08-19,4822492500
2002-08-20,4697731500
2002-08-21,4767309750
2002-08-22,4791302250
2002-08-23,4661742750
2002-08-26,4781705250
2002-08-27,4784104500
2002-08-28,4731321000
2002-08-29,4796100750
2002-08-30,4844085750
2002-09-03,4700130750
2002-09-04,4762511250
2002-09-05,4769709000
2002-09-06,4776906750
2002-09-09,4846485000
2002-09-10,4745716500
2002-09-11,4740918000
2002-09-12,4594563750
2002-09-13,4642548750
2002-09-16,4652145750
2002-09-17,4604160750
2002-09-18,4498593750
2002-09-19,4366635000
2002-09-20,4460205750
2002-09-23,4419418500
2002-09-24,4287459750
2002-09-25,4414620000
2002-09-26,4556175750
2002-09-27,4431414750
2002-09-30,4208347450
2002-10-01,4388804350
2002-10-02,4215288099
2002-10-03,4009382149
2002-10-04,3967738249
2002-10-07,3747951000
2002-10-08,3976992450
2002-10-09,3879823350
2002-10-10,4069534450
2002-10-11,4203720350
2002-10-14,4280067500
2002-10-15,4437388900
2002-10-16,4400372100
2002-10-17,4465151500
2002-10-18,4490600550
2002-10-21,4557693500
2002-10-22,4453583750
2002-10-23,4499854750
2002-10-24,4402685650
2002-10-25,4529930900
2002-10-28,4439702450
2002-10-29,4374923050
2002-10-30,4407312750
2002-10-31,4374923050
2002-11-01,4476719250
2002-11-04,4467465050
2002-11-05,4465151500
2002-11-06,4361041750
2002-11-07,4231482950
2002-11-08,4219915199
2002-11-11,4166703550
2002-11-12,4189839050
2002-11-13,4196779700
2002-11-14,4284694600
2002-11-15,4310143650
2002-11-18,4256931999
2002-11-19,4289321700
2002-11-20,4404999200
2002-11-21,4504481850
2002-11-22,4566947700
2002-11-25,4578515450
2002-11-26,4522990250
2002-11-27,4585456100
2002-11-29,4527617350
2002-12-02,4513736050
2002-12-03,4448956650
2002-12-04,4407312750
2002-12-05,4349474000
2002-12-06,4398058550
2002-12-09,4310143650
2002-12-10,4388804350
2002-12-11,4384177250
2002-12-12,4374923050
2002-12-13,4344846900
2002-12-16,4416566950
2002-12-17,4372609500
2002-12-18,4291635250
2002-12-19,4300889450
2002-12-20,4404999200
2002-12-23,4384177250
2002-12-24,4333279150
2002-12-26,4356414650
2002-12-27,4282381050
2002-12-30,4335592700
2002-12-31,4328652050
2003-01-02,4479032800
2003-01-03,4446643100
2003-01-06,4541498650
2003-01-07,4506795400
2003-01-08,4462837950
2003-01-09,4522990250
2003-01-10,4488287000
2003-01-13,4479032800
2003-01-14,4485973450
2003-01-15,4421194050
2003-01-16,4370295950
2003-01-17,4398058550
2003-01-21,4402685650
2003-01-22,4372609500
2003-01-23,4472092150
2003-01-24,4347160450
2003-01-27,4333279150
2003-01-28,4365668850
2003-01-29,4372609500
2003-01-30,4296262350
2003-01-31,4388804350
2003-02-03,4411939850
2003-02-04,4335592700
2003-02-05,4305516550
2003-02-06,4300889450
2003-02-07,4259245550
2003-02-10,4324024950
2003-02-11,4268499750
2003-02-12,4280067500
2003-02-13,4298575900
2003-02-14,4384177250
2003-02-18,4414253400
2003-02-19,4402685650
2003-02-20,4381863700
2003-02-21,4442016000
2003-02-24,4330965600
2003-02-25,4372609500
2003-02-26,4340219800
2003-02-27,4409626300
2003-02-28,4442016000
2003-03-03,4421194050
2003-03-04,4398058550
2003-03-05,4446643100
2003-03-06,4379550150
2003-03-07,4393431450
2003-03-10,4240737149
2003-03-11,4222228750
2003-03-12,4162076449
2003-03-13,4249991350
2003-03-14,4210661000
2003-03-17,4307830100
2003-03-18,4268499750
2003-03-19,4298575900
2003-03-20,4317084300
2003-03-21,4423507600
2003-03-24,4312457200
2003-03-25,4365668850
2003-03-26,4344846900
2003-03-27,4340219800
2003-03-28,4321711400
2003-03-31,4250287470
2003-04-01,4332595350
2003-04-02,4373749290
2003-04-03,4296014070
2003-04-04,4330309020
2003-04-07,4245714810
2003-04-08,4245714810
2003-04-09,4151975280
2003-04-10,4252573800
2003-04-11,4254860130
2003-04-14,4316591040
2003-04-15,4371462960
2003-04-16,4339454340
2003-04-17,4350885990
2003-04-21,4350885990
2003-04-22,4451484510
2003-04-23,4529219730
2003-04-24,4467488820
2003-04-25,4428621210
2003-04-28,4515501750
2003-04-29,4492638450
2003-04-30,4430907540
2003-05-01,4444625520
2003-05-02,4508642760
2003-05-05,4476634140
2003-05-06,4517788080
2003-05-07,4497211110
2003-05-08,4453770840
2003-05-09,4494924780
2003-05-12,4494924780
2003-05-13,4533792390
2003-05-14,4533792390
2003-05-15,4558942020
2003-05-16,4552083030
2003-05-19,4490352120
2003-05-20,4492638450
2003-05-21,4536078720
2003-05-22,4545224040
2003-05-23,4558942020
2003-05-27,4625245590
2003-05-28,4613813940
2003-05-29,4613813940
2003-05-30,4684690170
2003-06-02,4762425390
2003-06-03,4801293000
2003-06-04,4853878590
2003-06-05,4867596570
2003-06-06,4835587950
2003-06-09,4771570710
2003-06-10,4757852730
2003-06-11,4764711720
2003-06-12,4755566400
2003-06-13,4682403840
2003-06-16,4783002360
2003-06-17,4709839800
2003-06-18,4652681550
2003-06-19,4577232660
2003-06-20,4661826870
2003-06-23,4526933400
2003-06-24,4542937710
2003-06-25,4526933400
2003-06-26,4533792390
2003-06-27,4467488820
2003-06-30,4462229650
2003-07-01,4562864250
2003-07-02,4574300000
2003-07-03,4558289950
2003-07-07,4633765900
2003-07-08,4613181550
2003-07-09,4581161450
2003-07-10,4578874300
2003-07-11,4610894400
2003-07-14,4700093250
2003-07-15,4631478750
2003-07-16,4654350250
2003-07-17,4608607250
2003-07-18,4697806100
2003-07-21,4677221750
2003-07-22,4716103300
2003-07-23,4690944650
2003-07-24,4661211700
2003-07-25,4766420600
2003-07-28,4697806100
2003-07-29,4706954700
2003-07-30,4690944650
2003-07-31,4684083200
2003-08-01,4615468700
2003-08-04,4631478750
2003-08-05,4546854200
2003-08-06,4560577100
2003-08-07,4576587150
2003-08-08,4585735750
2003-08-11,4597171500
2003-08-12,4620043000
2003-08-13,4549141350
2003-08-14,4597171500
2003-08-15,4583448600
2003-08-18,4617755850
2003-08-19,4599458650
2003-08-20,4652063100
2003-08-21,4633765900
2003-08-22,4572012850
2003-08-25,4583448600
2003-08-26,4546854200
2003-08-27,4512546950
2003-08-28,4539992750
2003-08-29,4567438550
2003-09-02,4636053050
2003-09-03,4622330150
2003-09-04,4626904450
2003-09-05,4656637400
2003-09-08,4672647450
2003-09-09,4604032950
2003-09-10,4544567050
2003-09-11,4574300000
2003-09-12,4642914500
2003-09-15,4642914500
2003-09-16,4688657500
2003-09-17,4608607250
2003-09-18,4695518950
2003-09-19,4729826200
2003-09-22,4636053050
2003-09-23,4640627350
2003-09-24,4569725700
2003-09-25,4565151400
2003-09-26,4583448600
2003-09-29,4601745800
2003-09-30,4544260500
2003-10-01,4693065000
2003-10-02,4644989700
2003-10-03,4670172000
2003-10-06,4720536600
2003-10-07,4731983100
2003-10-08,4720536600
2003-10-09,4736561700
2003-10-10,4741140300
2003-10-13,4784637000
2003-10-14,4800662100
2003-10-15,4809819300
2003-10-16,4802951400
2003-10-17,4791504900
2003-10-20,4752586800
2003-10-21,4786926300
2003-10-22,4775479800
2003-10-23,4761744000
2003-10-24,4791504900
2003-10-27,4887655500
2003-10-28,4926573600
2003-10-29,4933441500
2003-10-30,4944888000
2003-10-31,4944888000
2003-11-03,4990674000
2003-11-04,5020434900
2003-11-05,4992963300
2003-11-06,5045617200
2003-11-07,5068510200
2003-11-10,5034170700
2003-11-11,5029592100
2003-11-12,5027302800
2003-11-13,5029592100
2003-11-14,4976938200
2003-11-17,4979227500
2003-11-18,4880787600
2003-11-19,4908259200
2003-11-20,4853316000
2003-11-21,4873919700
2003-11-24,4938020100
2003-11-25,4988384700
2003-11-26,5029592100
2003-11-28,5034170700
2003-12-01,5079956700
2003-12-02,5068510200
2003-12-03,5075378100
2003-12-04,5034170700
2003-12-05,4976938200
2003-12-08,5052485100
2003-12-09,5022724200
2003-12-10,5002120500
2003-12-11,5070799500
2003-12-12,5059353000
2003-12-15,5002120500
2003-12-16,5100560400
2003-12-17,5038749300
2003-12-18,5059353000
2003-12-19,5045617200
2003-12-22,5091403200
2003-12-23,5075378100
2003-12-24,5068510200
2003-12-26,5057063700
2003-12-29,5130321300
2003-12-30,5125742700
2003-12-31,5157607500
2004-01-02,5109469830
2004-01-05,5068208970
2004-01-06,5054455350
2004-01-07,5077378050
2004-01-08,5063624430
2004-01-09,5111762100
2004-01-12,5075085780
2004-01-13,4987979520
2004-01-14,4985687250
2004-01-15,5157607500
2004-01-16,5178237930
2004-01-20,5171361120
2004-01-21,5214914250
2004-01-22,5194283820
2004-01-23,5217206520
2004-01-26,5295143700
2004-01-27,5180530200
2004-01-28,5091131670
2004-01-29,5054455350
2004-01-30,5118638910
2004-02-02,5118638910
2004-02-03,5123223450
2004-02-04,5107177560
2004-02-05,5079670320
2004-02-06,5139269340
2004-02-09,5136977070
2004-02-10,5159899770
2004-02-11,5292851430
2004-02-12,5285974620
2004-02-13,5267636460
2004-02-17,5251590570
2004-02-18,5242421490
2004-02-19,5196576090
2004-02-20,5217206520
2004-02-23,5249298300
2004-02-24,5214914250
2004-02-25,5244713760
2004-02-26,5240129220
2004-02-27,5302020510
2004-03-01,5331820020
2004-03-02,5285974620
2004-03-03,5327235480
2004-03-04,5386834500
2004-03-05,5409757200
2004-03-08,5391419040
2004-03-09,5370788610
2004-03-10,5263051920
2004-03-11,5146146150
2004-03-12,5240129220
2004-03-15,5111762100
2004-03-16,5159899770
2004-03-17,5150730690
2004-03-18,5130100260
2004-03-19,5017779030
2004-03-22,4965056820
2004-03-23,4939841850
2004-03-24,4905457800
2004-03-25,4974225900
2004-03-26,4939841850
2004-03-29,5004025410
2004-03-30,5006317680
2004-03-31,5054320870
2004-04-01,5081852350
2004-04-02,5013023650
2004-04-05,5013023650
2004-04-06,5008435070
2004-04-07,5008435070
2004-04-08,4996963620
2004-04-12,5013023650
2004-04-13,4898309150
2004-04-14,4843246190
2004-04-15,4831774740
2004-04-16,4921252050
2004-04-19,4941900660
2004-04-20,4875366250
2004-04-21,4978609300
2004-04-22,5006140780
2004-04-23,4992375040
2004-04-26,4971726430
2004-04-27,4985492170
2004-04-28,4925840630
2004-04-29,4932723500
2004-04-30,4909780600
2004-05-03,4969432140
2004-05-04,4985492170
2004-05-05,5035966550
2004-05-06,5024495100
2004-05-07,4932723500
2004-05-10,4879954830
2004-05-11,4893720570
2004-05-12,5003846490
2004-05-13,5049732290
2004-05-14,5070380900
2004-05-17,5006140780
2004-05-18,5086440930
2004-05-19,5068086610
2004-05-20,5104795250
2004-05-21,5134621020
2004-05-24,5139209600
2004-05-25,5180506820
2004-05-26,5251629810
2004-05-27,5237864070
2004-05-28,5224098330
2004-06-01,5196566850
2004-06-02,5196566850
2004-06-03,5148386760
2004-06-04,5171329660
2004-06-07,5224098330
2004-06-08,5221804040
2004-06-09,5164446790
2004-06-10,5162152500
2004-06-14,5072675190
2004-06-15,5079558060
2004-06-16,5035966550
2004-06-17,4999257910
2004-06-18,4999257910
2004-06-21,5054320870
2004-06-22,5045143710
2004-06-23,5214921170
2004-06-24,5203449720
2004-06-25,5258512680
2004-06-28,5276867000
2004-06-29,5226392620
2004-06-30,5281907040
2004-07-01,5265817680
2004-07-02,5325578160
2004-07-06,5295697920
2004-07-07,5293399440
2004-07-08,5297996400
2004-07-09,5275011600
2004-07-12,5314085760
2004-07-13,5304891840
2004-07-14,5297996400
2004-07-15,5291100960
2004-07-16,5456591520
2004-07-19,5566918560
2004-07-20,5654260800
2004-07-21,5550829200
2004-07-22,5520948960
2004-07-23,5491068720
2004-07-26,5514053520
2004-07-27,5555426160
2004-07-28,5507158080
2004-07-29,5617485120
2004-07-30,5615186640
2004-08-02,5762289360
2004-08-03,5746200000
2004-08-04,5608291200
2004-08-05,5541635280
2004-08-06,5461188480
2004-08-09,5491068720
2004-08-10,5417517360
2004-08-11,5463486960
2004-08-12,5422114320
2004-08-13,5383040160
2004-08-16,5463486960
2004-08-17,5458890000
2004-08-18,5534739840
2004-08-19,5468083920
2004-08-20,5548530720
2004-08-23,5537038320
