,UNP
2001-04-10,14118900000
2001-04-11,14099084000
2001-04-12,14118900000
2001-04-16,14148624000
2001-04-17,14208072000
2001-04-18,14614300000
2001-04-19,14743104000
2001-04-20,14574668000
2001-04-23,13623500000
2001-04-24,13841476000
2001-04-25,13811752000
2001-04-26,14227888000
2001-04-27,14485496000
2001-04-30,14089176000
2001-05-01,13623500000
2001-05-02,13692856000
2001-05-03,13623500000
2001-05-04,13861292000
2001-05-07,13791936000
2001-05-08,14049544000
2001-05-09,14307152000
2001-05-10,14564760000
2001-05-11,14445864000
2001-05-14,14525128000
2001-05-15,14505312000
2001-05-16,15010620000
2001-05-17,14723288000
2001-05-18,14951172000
2001-05-21,15010620000
2001-05-22,14495404000
2001-05-23,14326968000
2001-05-24,13990096000
2001-05-25,13762212000
2001-05-29,13811752000
2001-05-30,13811752000
2001-05-31,14247704000
2001-06-01,14059452000
2001-06-04,14227888000
2001-06-05,14297244000
2001-06-06,14277428000
2001-06-07,14366600000
2001-06-08,14099084000
2001-06-11,13801844000
2001-06-12,13633408000
2001-06-13,13603684000
2001-06-14,13029020000
2001-06-15,12711964000
2001-06-18,12791228000
2001-06-19,12811044000
2001-06-20,12890308000
2001-06-21,12999296000
2001-06-22,12949756000
2001-06-25,12702056000
2001-06-26,12702056000
2001-06-27,13108284000
2001-06-28,13326260000
2001-06-29,13603684000
2001-07-02,13634500000
2001-07-03,13575004000
2001-07-05,13565088000
2001-07-06,13515508000
2001-07-09,13575004000
2001-07-10,13624584000
2001-07-11,14288956000
2001-07-12,14169964000
2001-07-13,14338536000
2001-07-16,14259208000
2001-07-17,14308788000
2001-07-18,14288956000
2001-07-19,14179880000
2001-07-20,13951812000
2001-07-23,14011308000
2001-07-24,13218028000
2001-07-25,13178364000
2001-07-26,13684080000
2001-07-27,13535340000
2001-07-30,13327104000
2001-07-31,13307272000
2001-08-01,13337020000
2001-08-02,13604752000
2001-08-03,13456012000
2001-08-06,13277524000
2001-08-07,13386600000
2001-08-08,13386600000
2001-08-09,13436180000
2001-08-10,13634500000
2001-08-13,13436180000
2001-08-14,13515508000
2001-08-15,13465928000
2001-08-16,13594836000
2001-08-17,13376684000
2001-08-20,13108952000
2001-08-21,12811472000
2001-08-22,12890800000
2001-08-23,13029624000
2001-08-24,13089120000
2001-08-27,12920548000
2001-08-28,13079204000
2001-08-29,12930464000
2001-08-30,13049456000
2001-08-31,13208112000
2001-09-04,13456012000
2001-09-05,13436180000
2001-09-06,13436180000
2001-09-07,13178364000
2001-09-10,12950296000
2001-09-17,12147100000
2001-09-18,12127268000
2001-09-19,11720712000
2001-09-20,11105920000
2001-09-21,11343904000
2001-09-24,11383568000
2001-09-25,11096004000
2001-09-26,11234828000
2001-09-27,11304240000
2001-09-28,11631468000
2001-10-01,11405440000
2001-10-02,11445600000
2001-10-03,11596200000
2001-10-04,11425520000
2001-10-05,11596200000
2001-10-08,11746800000
2001-10-09,11355240000
2001-10-10,12007840000
2001-10-11,12208640000
2001-10-12,11847200000
2001-10-15,12058040000
2001-10-16,12208640000
2001-10-17,11947600000
2001-10-18,12449600000
2001-10-19,12198600000
2001-10-22,12349200000
2001-10-23,12811040000
2001-10-24,12620280000
2001-10-25,12690560000
2001-10-26,12911440000
2001-10-29,12610240000
2001-10-30,12630320000
2001-10-31,13052000000
2001-11-01,13062040000
2001-11-02,13232720000
2001-11-05,13303000000
2001-11-06,13433520000
2001-11-07,13513840000
2001-11-08,13574080000
2001-11-09,13513840000
2001-11-12,13433520000
2001-11-13,13483720000
2001-11-14,13413440000
2001-11-15,13794960000
2001-11-16,13815040000
2001-11-19,13784920000
2001-11-20,13784920000
2001-11-21,13664440000
2001-11-23,13855200000
2001-11-26,13865240000
2001-11-27,13845160000
2001-11-28,13694560000
2001-11-29,13584120000
2001-11-30,13815040000
2001-12-03,13604200000
2001-12-04,13744760000
2001-12-05,14025880000
2001-12-06,13965640000
2001-12-07,14086120000
2001-12-10,13865240000
2001-12-11,13644360000
2001-12-12,13463640000
2001-12-13,13714640000
2001-12-14,13674480000
2001-12-17,14025880000
2001-12-18,14246760000
2001-12-19,14096160000
2001-12-20,14136320000
2001-12-21,14035920000
2001-12-24,14307000000
2001-12-26,14397360000
2001-12-27,14317040000
2001-12-28,14357200000
2001-12-31,14307000000
2002-01-02,14206600000
2002-01-03,14728680000
2002-01-04,15060000000
2002-01-07,15039920000
2002-01-08,14869240000
2002-01-09,14648360000
2002-01-10,14748760000
2002-01-11,14608200000
2002-01-14,14347160000
2002-01-15,14467640000
2002-01-16,14266840000
2002-01-17,14578080000
2002-01-18,14517840000
2002-01-22,14688520000
2002-01-23,15049960000
2002-01-24,15090120000
2002-01-25,15331080000
2002-01-28,15331080000
2002-01-29,15070040000
2002-01-30,15120240000
2002-01-31,15572040000
2002-02-01,15491720000
2002-02-04,15311000000
2002-02-05,15351160000
2002-02-06,15100160000
2002-02-07,14859200000
2002-02-08,15060000000
2002-02-11,15471640000
2002-02-12,15300960000
2002-02-13,15070040000
2002-02-14,14979680000
2002-02-15,15029880000
2002-02-19,15009800000
2002-02-20,14949560000
2002-02-21,15290920000
2002-02-22,15150360000
2002-02-25,15200560000
2002-02-26,15150360000
2002-02-27,15200560000
2002-02-28,15230680000
2002-03-01,15752760000
2002-03-04,16325040000
2002-03-05,15913400000
2002-03-06,16224640000
2002-03-07,16214599999
2002-03-08,15421440000
2002-03-11,15521840000
2002-03-12,15331080000
2002-03-13,15341120000
2002-03-14,15341120000
2002-03-15,15371240000
2002-03-18,15210600000
2002-03-19,15451560000
2002-03-20,15401360000
2002-03-21,15300960000
2002-03-22,15391320000
2002-03-25,15120240000
2002-03-26,15140320000
2002-03-27,15461600000
2002-03-28,15602160000
2002-04-01,15299368000
2002-04-02,14846128000
2002-04-03,14443248000
2002-04-04,14674904000
2002-04-05,14684976000
2002-04-08,14554040000
2002-04-09,14533896000
2002-04-10,14916632000
2002-04-11,14503680000
2002-04-12,14856200000
2002-04-15,14402960000
2002-04-16,14664832000
2002-04-17,14513752000
2002-04-18,14261952000
2002-04-19,14443248000
2002-04-22,14181376000
2002-04-23,14020224000
2002-04-24,13788568000
2002-04-25,14080656000
2002-04-26,14402960000
2002-04-29,14131016000
2002-04-30,14302240000
2002-05-01,14684976000
2002-05-02,14705120000
2002-05-03,14785696000
2002-05-06,14614472000
2002-05-07,14705120000
2002-05-08,15047568000
2002-05-09,14856200000
2002-05-10,14644688000
2002-05-13,14876344000
2002-05-14,15077784000
2002-05-15,15108000000
2002-05-16,15188576000
2002-05-17,15400088000
2002-05-20,15249008000
2002-05-21,14896488000
2002-05-22,15118072000
2002-05-23,15520952000
2002-05-24,15470592000
2002-05-28,15279224000
2002-05-29,15309440000
2002-05-30,15108000000
2002-05-31,15420232000
2002-06-03,15218792000
2002-06-04,15188576000
2002-06-05,15490736000
2002-06-06,15480664000
2002-06-07,15682104000
2002-06-10,15883544000
2002-06-11,15943976000
2002-06-12,15994336000
2002-06-13,15943976000
2002-06-14,15954048000
2002-06-17,16115200000
2002-06-18,16205848000
2002-06-19,16185704000
2002-06-20,16256208000
2002-06-21,16236064000
2002-06-24,16125272000
2002-06-25,15420232000
2002-06-26,15490736000
2002-06-27,15661960000
2002-06-28,15933904000
2002-07-01,16311499999
2002-07-02,16008500000
2002-07-03,15857000000
2002-07-05,16018600000
2002-07-08,15877200000
2002-07-09,15624700000
2002-07-10,15392400000
2002-07-11,15038900000
2002-07-12,14826800000
2002-07-15,14685400000
2002-07-16,14685400000
2002-07-17,14978300000
2002-07-18,14877300000
2002-07-19,14675300000
2002-07-22,14321800000
2002-07-23,13847100000
2002-07-24,14008700000
2002-07-25,14402600000
2002-07-26,14392500000
2002-07-29,14766200000
2002-07-30,14826800000
2002-07-31,14816700000
2002-08-01,14695500000
2002-08-02,14241000000
2002-08-05,14079400000
2002-08-06,14533900000
2002-08-07,14816700000
2002-08-08,15402500000
2002-08-09,15432800000
2002-08-12,15331800000
2002-08-13,15049000000
2002-08-14,15533800000
2002-08-15,15321700000
2002-08-16,15352000000
2002-08-19,15816600000
2002-08-20,15705500000
2002-08-21,16048900000
2002-08-22,16069100000
2002-08-23,15846900000
2002-08-26,16089300000
2002-08-27,15887300000
2002-08-28,15442900000
2002-08-29,15129800000
2002-08-30,15291400000
2002-09-03,15240900000
2002-09-04,15392400000
2002-09-05,14776300000
2002-09-06,14958100000
2002-09-09,15008600000
2002-09-10,15230800000
2002-09-11,15271200000
2002-09-12,15069200000
2002-09-13,15008600000
2002-09-16,14887400000
2002-09-17,14907600000
2002-09-18,14725800000
2002-09-19,14735900000
2002-09-20,14998500000
2002-09-23,14867200000
2002-09-24,14362200000
2002-09-25,14594500000
2002-09-26,15341900000
2002-09-27,14917700000
2002-09-30,14666792000
2002-10-01,15274952000
2002-10-02,14352576000
2002-10-03,14656656000
2002-10-04,14545160000
2002-10-07,14332304000
2002-10-08,14697200000
2002-10-09,14007952000
2002-10-10,14666792000
2002-10-11,15204000000
2002-10-14,14960736000
2002-10-15,15589168000
2002-10-16,14960736000
2002-10-17,15204000000
2002-10-18,15122912000
2002-10-21,15376312000
2002-10-22,14940464000
2002-10-23,15112776000
2002-10-24,15508080000
2002-10-25,15396584000
2002-10-28,15264816000
2002-10-29,15153320000
2002-10-30,15173592000
2002-10-31,14960736000
2002-11-01,15386448000
2002-11-04,15396584000
2002-11-05,15406720000
2002-11-06,15680392000
2002-11-07,15447264000
2002-11-08,15285088000
2002-11-11,14889784000
2002-11-12,14930328000
2002-11-13,14616112000
2002-11-14,14798560000
2002-11-15,15001280000
2002-11-18,14687064000
2002-11-19,14828968000
2002-11-20,14727608000
2002-11-21,14555296000
2002-11-22,14301896000
2002-11-25,14372848000
2002-11-26,14281624000
2002-11-27,14737744000
2002-11-29,14676928000
2002-12-02,14970872000
2002-12-03,14899920000
2002-12-04,15021552000
2002-12-05,14940464000
2002-12-06,15264816000
2002-12-09,15041824000
2002-12-10,15102640000
2002-12-11,15234408000
2002-12-12,14970872000
2002-12-13,15082368000
2002-12-16,15437128000
2002-12-17,15356040000
2002-12-18,15204000000
2002-12-19,15204000000
2002-12-20,15426992000
2002-12-23,15163456000
2002-12-24,15143184000
2002-12-26,15193864000
2002-12-27,15143184000
2002-12-30,15214136000
2002-12-31,15173592000
2003-01-02,15508080000
2003-01-03,15406720000
2003-01-06,15680392000
2003-01-07,15690528000
2003-01-08,15487808000
2003-01-09,15649984000
2003-01-10,15589168000
2003-01-13,15538488000
2003-01-14,15426992000
2003-01-15,15244544000
2003-01-16,15183728000
2003-01-17,15163456000
2003-01-21,15082368000
2003-01-22,14474208000
2003-01-23,14656656000
2003-01-24,14312032000
2003-01-27,14068768000
2003-01-28,14048496000
2003-01-29,14109312000
2003-01-30,14018088000
2003-01-31,14464072000
2003-02-03,14352576000
2003-02-04,14291760000
2003-02-05,14220808000
2003-02-06,14281624000
2003-02-07,14241080000
2003-02-10,14261352000
2003-02-11,14109312000
2003-02-12,13987680000
2003-02-13,13967408000
2003-02-14,14007952000
2003-02-18,14301896000
2003-02-19,14129584000
2003-02-20,13997816000
2003-02-21,14281624000
2003-02-24,13987680000
2003-02-25,13835640000
2003-02-26,13997816000
2003-02-27,13997816000
2003-02-28,13987680000
2003-03-03,13997816000
2003-03-04,13693736000
2003-03-05,13754552000
2003-03-06,13622784000
2003-03-07,13916728000
2003-03-10,13369384000
2003-03-11,13176800000
2003-03-12,13014624000
2003-03-13,13349112000
2003-03-14,13480880000
2003-03-17,13866048000
2003-03-18,14089040000
2003-03-19,13967408000
2003-03-20,14251216000
2003-03-21,14768152000
2003-03-24,14362712000
2003-03-25,14241080000
2003-03-26,14342440000
2003-03-27,14301896000
2003-03-28,14301896000
2003-03-31,13964500000
2003-04-01,14198088000
2003-04-02,14614484000
2003-04-03,14319960000
2003-04-04,14441832000
2003-04-07,14705888000
2003-04-08,14665264000
2003-04-09,14492612000
2003-04-10,14604328000
2003-04-11,14462144000
2003-04-14,14756668000
2003-04-15,14990256000
2003-04-16,14909008000
2003-04-17,14827760000
2003-04-21,14787136000
2003-04-22,15132440000
2003-04-23,14909008000
2003-04-24,14969944000
2003-04-25,15071504000
2003-04-28,15213688000
2003-04-29,15223844000
2003-04-30,15112128000
2003-05-01,15010568000
2003-05-02,15162908000
2003-05-05,15254312000
2003-05-06,15315248000
2003-05-07,15213688000
2003-05-08,15162908000
2003-05-09,15335560000
2003-05-12,15396496000
2003-05-13,15274624000
2003-05-14,15274624000
2003-05-15,15234000000
2003-05-16,15223844000
2003-05-19,14949632000
2003-05-20,15071504000
2003-05-21,15173064000
2003-05-22,15173064000
2003-05-23,15051192000
2003-05-27,14888696000
2003-05-28,14980100000
2003-05-29,15061348000
2003-05-30,15487900000
2003-06-02,15528524000
2003-06-03,15599616000
2003-06-04,15558992000
2003-06-05,15498056000
2003-06-06,15477744000
2003-06-09,15315248000
2003-06-10,15345716000
2003-06-11,15447276000
2003-06-12,15528524000
2003-06-13,15305092000
2003-06-16,15569148000
2003-06-17,15315248000
2003-06-18,15203532000
2003-06-19,15020724000
2003-06-20,14919164000
2003-06-23,14868384000
2003-06-24,14787136000
2003-06-25,14533236000
2003-06-26,14817604000
2003-06-27,14716044000
2003-06-30,14759572000
2003-07-01,14790088000
2003-07-02,14851120000
2003-07-03,14698540000
2003-07-07,15054560000
2003-07-08,15105420000
2003-07-09,14901980000
2003-07-10,14708712000
2003-07-11,14932496000
2003-07-14,15044388000
2003-07-15,15034216000
2003-07-16,15003700000
2003-07-17,14790088000
2003-07-18,15013872000
2003-07-21,14922324000
2003-07-22,15034216000
2003-07-23,14973184000
2003-07-24,15441096000
2003-07-25,15573332000
2003-07-28,15369892000
2003-07-29,15237656000
2003-07-30,15247828000
2003-07-31,15502128000
2003-08-01,15441096000
2003-08-04,15542816000
2003-08-05,15298688000
2003-08-06,15258000000
2003-08-07,15471612000
2003-08-08,15573332000
2003-08-11,15451268000
2003-08-12,15542816000
2003-08-13,15441096000
2003-08-14,15481784000
2003-08-15,15410580000
2003-08-18,15471612000
2003-08-19,15369892000
2003-08-20,15359720000
2003-08-21,15430924000
2003-08-22,15135936000
2003-08-25,15125764000
2003-08-26,15125764000
2003-08-27,15176624000
2003-08-28,15430924000
2003-08-29,15502128000
2003-09-02,15542816000
2003-09-03,15593676000
2003-09-04,15593676000
2003-09-05,15461440000
2003-09-08,15461440000
2003-09-09,15288516000
2003-09-10,15349548000
2003-09-11,15542816000
2003-09-12,15491956000
2003-09-15,15298688000
2003-09-16,15369892000
2003-09-17,15258000000
2003-09-18,15563160000
2003-09-19,15400408000
2003-09-22,15298688000
2003-09-23,15410580000
2003-09-24,15176624000
2003-09-25,14820604000
2003-09-26,14698540000
2003-09-29,14851120000
2003-09-30,15045992000
2003-10-01,15232256000
2003-10-02,15273648000
2003-10-03,15325388000
2003-10-06,15221908000
2003-10-07,15139124000
2003-10-08,15035644000
2003-10-09,15097732000
2003-10-10,15056340000
2003-10-13,15149472000
2003-10-14,15035644000
2003-10-15,14963208000
2003-10-16,15097732000
2003-10-17,15356432000
2003-10-20,15346084000
2003-10-21,15149472000
2003-10-22,15035644000
2003-10-23,15522000000
2003-10-24,15542696000
2003-10-27,15501304000
2003-10-28,15915224000
2003-10-29,15842788000
2003-10-30,16236012000
2003-10-31,16194620000
2003-11-03,16494712000
2003-11-04,16391232000
2003-11-05,16380884000
2003-11-06,16794804000
2003-11-07,16732716000
2003-11-10,16608540000
2003-11-11,16463668000
2003-11-12,16505060000
2003-11-13,16546452000
2003-11-14,16629236000
2003-11-17,16567148000
2003-11-18,16380884000
2003-11-19,16380884000
2003-11-20,16308448000
2003-11-21,16318796000
2003-11-24,16494712000
2003-11-25,16422276000
2003-11-26,16546452000
2003-11-28,16474016000
2003-12-01,16763760000
2003-12-02,16701672000
2003-12-03,16753412000
2003-12-04,16877587999
2003-12-05,16929328000
2003-12-08,16898283999
2003-12-09,17094896000
2003-12-10,17188028000
2003-12-11,17322552000
2003-12-12,17415684000
2003-12-15,17332900000
2003-12-16,17374292000
2003-12-17,17539860000
2003-12-18,17581252000
2003-12-19,17560556000
2003-12-22,17757168000
2003-12-23,17746820000
2003-12-24,17736472000
2003-12-26,17777864000
2003-12-29,17974476000
2003-12-30,17912388000
2003-12-31,17974476000
2004-01-02,17870996000
2004-01-05,17922736000
2004-01-06,17715776000
2004-01-07,17363944000
2004-01-08,17353596000
2004-01-09,17208724000
2004-01-12,17343248000
2004-01-13,17343248000
2004-01-14,17426032000
2004-01-15,17426032000
2004-01-16,17270812000
2004-01-20,17188028000
2004-01-21,17332900000
2004-01-22,17374292000
2004-01-23,16981068000
2004-01-26,17156983999
2004-01-27,17146636000
2004-01-28,16836196000
2004-01-29,16763760000
2004-01-30,16660280000
2004-02-02,16587844000
2004-02-03,16577496000
2004-02-04,16536104000
2004-02-05,16639583999
2004-02-06,16784455999
2004-02-09,16908632000
2004-02-10,16991416000
2004-02-11,17115592000
2004-02-12,16960372000
2004-02-13,16774108000
2004-02-17,16556800000
2004-02-18,16556800000
2004-02-19,16608540000
2004-02-20,16598192000
2004-02-23,16536104000
2004-02-24,16536104000
2004-02-25,16536104000
2004-02-26,16463668000
2004-02-27,16463668000
2004-03-01,16173924000
2004-03-02,16132532000
2004-03-03,16060096000
2004-03-04,15842788000
2004-03-05,15998008000
2004-03-08,15998008000
2004-03-09,15935920000
2004-03-10,15842788000
2004-03-11,15811744000
2004-03-12,16122184000
2004-03-15,16039400000
2004-03-16,15998008000
2004-03-17,16029052000
2004-03-18,16029052000
2004-03-19,15822092000
2004-03-22,15687568000
2004-03-23,15656524000
2004-03-24,15532348000
2004-03-25,15718612000
2004-03-26,15739308000
2004-03-29,15811744000
2004-03-30,15635828000
2004-03-31,15492576000
2004-04-01,15471864000
2004-04-02,15482220000
2004-04-05,15181896000
2004-04-06,15171540000
2004-04-07,15016200000
2004-04-08,14767656000
2004-04-12,14778012000
2004-04-13,14695164000
2004-04-14,14840148000
2004-04-15,14840148000
2004-04-16,14891928000
2004-04-19,14891928000
2004-04-20,14891928000
2004-04-21,15047268000
2004-04-22,15316524000
2004-04-23,15492576000
2004-04-26,15399372000
2004-04-27,15347592000
2004-04-28,15502932000
2004-04-29,15357948000
2004-04-30,15254388000
2004-05-03,15202608000
2004-05-04,15181896000
2004-05-05,15130116000
2004-05-06,15026556000
2004-05-07,14757300000
2004-05-10,14674452000
2004-05-11,14736588000
2004-05-12,14705520000
2004-05-13,14891928000
2004-05-14,14850504000
2004-05-17,14622672000
2004-05-18,14581248000
2004-05-19,14581248000
2004-05-20,14467332000
2004-05-21,14570892000
2004-05-24,14674452000
2004-05-25,14705520000
2004-05-26,14922996000
2004-05-27,15171540000
2004-05-28,15099048000
2004-06-01,15078336000
2004-06-02,15171540000
2004-06-03,15202608000
2004-06-04,15347592000
2004-06-07,15544356000
2004-06-08,15534000000
2004-06-09,15223320000
2004-06-10,15067980000
2004-06-14,14850504000
2004-06-15,14964420000
2004-06-16,15036912000
2004-06-17,14995488000
2004-06-18,14912640000
2004-06-21,14881572000
2004-06-22,14767656000
2004-06-23,15016200000
2004-06-24,15223320000
2004-06-25,15233676000
2004-06-28,15212964000
2004-06-29,15378660000
2004-06-30,15394960000
2004-07-01,15301720000
2004-07-02,15167040000
2004-07-06,14980560000
2004-07-07,15104880000
2004-07-08,14918400000
2004-07-09,14990920000
2004-07-12,14897680000
2004-07-13,14939120000
2004-07-14,14959840000
2004-07-15,15053080000
2004-07-16,14990920000
2004-07-19,14928760000
2004-07-20,15011640000
2004-07-21,14866600000
2004-07-22,14669760000
2004-07-23,14576520000
2004-07-26,14421120000
2004-07-27,14265720000
2004-07-28,14493640000
2004-07-29,14617960000
2004-07-30,14597240000
2004-08-02,14586880000
2004-08-03,14566160000
2004-08-04,14638680000
2004-08-05,14617960000
2004-08-06,14286440000
2004-08-09,14276080000
2004-08-10,14421120000
2004-08-11,14545440000
2004-08-12,14286440000
2004-08-13,14307160000
2004-08-16,14493640000
2004-08-17,14431480000
2004-08-18,14566160000
2004-08-19,14410760000
2004-08-20,14566160000
2004-08-23,14504000000
