,GPS
2000-11-14,21798784746
2000-11-15,21160896000
2000-11-16,21160896000
2000-11-17,20948266418
2000-11-20,20199810290
2000-11-21,19987180708
2000-11-22,20786667936
2000-11-24,21262958200
2000-11-27,23227655537
2000-11-28,22113476528
2000-11-29,21951878045
2000-11-30,21211927100
2000-12-01,21050328618
2000-12-04,22589766791
2000-12-05,23015025955
2000-12-06,23015025955
2000-12-07,22436673492
2000-12-08,22700334174
2000-12-11,21739248463
2000-12-12,21951878045
2000-12-13,21637186264
2000-12-14,21101359717
2000-12-15,20310377672
2000-12-18,20199810290
2000-12-19,19561921544
2000-12-20,19561921544
2000-12-21,20310377672
2000-12-22,20523007254
2000-12-26,19936149608
2000-12-27,21739248463
2000-12-28,21313989299
2000-12-29,21688217364
2001-01-02,21637186264
2001-01-03,25779210521
2001-01-04,25090290676
2001-01-05,23389254020
2001-01-08,23074562238
2001-01-09,23712450984
2001-01-10,23652914701
2001-01-11,24562969312
2001-01-12,25090290676
2001-01-16,24988228476
2001-01-17,23976111666
2001-01-18,23287191820
2001-01-19,22113476528
2001-01-22,24877661094
2001-01-23,25039259576
2001-01-24,25515549840
2001-01-25,27327153878
2001-01-26,27114524296
2001-01-29,27361174611
2001-01-30,27854475242
2001-01-31,27726897492
2001-02-01,28067104824
2001-02-02,27318648695
2001-02-05,26185311262
2001-02-06,25629994710
2001-02-07,25254088120
2001-02-08,22733805307
2001-02-09,23066995239
2001-02-12,23929871727
2001-02-13,24604794921
2001-02-14,24690228237
2001-02-15,25134481478
2001-02-16,25151568142
2001-02-20,25031961500
2001-02-21,23588138464
2001-02-22,23528335143
2001-02-23,23622311791
2001-02-26,24681684905
2001-02-27,24322864979
2001-02-28,23272035196
2001-03-01,22272465402
2001-03-02,20341672468
2001-03-05,20888445688
2001-03-06,21358328925
2001-03-07,22340812055
2001-03-08,22212662082
2001-03-09,21913645477
2001-03-12,20307499141
2001-03-13,20128089178
2001-03-14,19991395873
2001-03-15,20290412478
2001-03-16,19880332563
2001-03-19,20503995768
2001-03-20,19700922600
2001-03-21,19658205942
2001-03-22,19897419226
2001-03-23,20324585805
2001-03-26,20640689073
2001-03-27,20615059078
2001-03-28,20119545847
2001-03-29,20239152489
2001-03-30,20264782484
2001-04-02,20862815693
2001-04-03,19871789231
2001-04-04,19991395873
2001-04-05,20931162346
2001-04-06,21102028977
2001-04-09,20333129136
2001-04-10,19700922600
2001-04-11,20316042473
2001-04-12,20068285857
2001-04-16,19675292605
2001-04-17,20076829189
2001-04-18,21623172203
2001-04-19,22195575418
2001-04-20,22024708787
2001-04-23,21913645477
2001-04-24,21828212161
2001-04-25,21571912214
2001-04-26,22665458655
2001-04-27,24100738358
2001-04-30,23673571780
2001-05-01,24451014953
2001-05-02,24468101616
2001-05-03,24117825022
2001-05-04,24006761711
2001-05-07,24629575496
2001-05-08,24577995233
2001-05-09,24758526153
2001-05-10,27861938633
2001-05-11,28541078760
2001-05-14,28291774156
2001-05-15,28609852444
2001-05-16,29357766255
2001-05-17,30002519540
2001-05-18,29185832045
2001-05-21,29185832045
2001-05-22,28936527442
2001-05-23,27879132054
2001-05-24,27767374818
2001-05-25,27638424161
2001-05-29,27853341922
2001-05-30,26692786009
2001-05-31,26649802457
2001-06-01,26598222194
2001-06-04,26323127459
2001-06-05,27208588637
2001-06-06,26985074165
2001-06-07,27509473504
2001-06-08,26976477454
2001-06-11,26460674826
2001-06-12,27096831401
2001-06-13,26864720218
2001-06-14,26443481405
2001-06-15,26176983381
2001-06-18,27208588637
2001-06-19,27105428111
2001-06-20,28051066263
2001-06-21,28833366916
2001-06-22,27535263635
2001-06-25,26512255089
2001-06-26,25093797861
2001-06-27,25050814309
2001-06-28,25532230095
2001-06-29,24930460363
2001-07-02,24663962338
2001-07-03,24595188654
2001-07-05,23898855106
2001-07-06,22781282745
2001-07-09,22437414326
2001-07-10,21964595250
2001-07-11,22265480117
2001-07-12,23864468264
2001-07-13,24982040625
2001-07-16,24775719574
2001-07-17,25248538650
2001-07-18,25798728120
2001-07-19,25678374173
2001-07-20,26005049171
2001-07-23,25497843254
2001-07-24,24715542601
2001-07-25,24062192605
2001-07-26,23004797217
2001-07-27,23391649188
2001-07-30,23477616293
2001-07-31,23477616293
2001-08-01,23726920897
2001-08-02,23855871554
2001-08-03,23546389977
2001-08-06,23406080265
2001-08-07,23406080265
2001-08-08,23431952867
2001-08-09,22077953382
2001-08-10,21896845171
2001-08-13,20827444304
2001-08-14,20749826499
2001-08-15,20353113274
2001-08-16,20137508260
2001-08-17,18481661757
2001-08-20,18507534358
2001-08-21,18110821134
2001-08-22,17377764088
2001-08-23,17765853112
2001-08-24,17860719318
2001-08-27,17826222516
2001-08-28,17507127096
2001-08-29,16989675063
2001-08-30,16472223031
2001-08-31,16946554061
2001-09-04,16972426662
2001-09-05,16385981026
2001-09-06,12936300810
2001-09-07,12927676609
2001-09-10,12832810403
2001-09-17,10788874875
2001-09-18,10564645661
2001-09-19,10763002273
2001-09-20,10090314631
2001-09-21,9848837016
2001-09-24,10745753872
2001-09-25,10349040648
2001-09-26,9831588615
2001-09-27,9874709618
2001-09-28,10305919645
2001-10-01,10280047043
2001-10-02,10262798642
2001-10-03,11107970295
2001-10-04,11202836501
2001-10-05,11383944712
2001-10-08,11513307720
2001-10-09,11185588100
2001-10-10,11711664333
2001-10-11,11841027341
2001-10-12,11677167531
2001-10-15,11728912734
2001-10-16,12229116365
2001-10-17,12030759753
2001-10-18,12117001758
2001-10-19,12505090783
2001-10-22,12410224577
2001-10-23,12237740566
2001-10-24,12030759753
2001-10-25,12030759753
2001-10-26,11987638750
2001-10-29,11254581704
2001-10-30,10961358886
2001-10-31,11271830105
2001-11-01,11634046528
2001-11-02,12091129157
2001-11-05,11801751315
2001-11-06,12476137105
2001-11-07,11957378805
2001-11-08,11775813400
2001-11-09,11473204392
2001-11-12,11568310081
2001-11-13,12104360324
2001-11-14,13038125263
2001-11-15,12579888765
2001-11-16,12190820040
2001-11-19,13090001093
2001-11-20,12692286396
2001-11-21,12761454170
2001-11-23,13133230951
2001-11-26,12925727631
2001-11-27,12450199190
2001-11-28,11767167429
2001-11-29,11412682591
2001-11-30,11438620506
2001-12-03,11412682591
2001-12-04,11300284959
2001-12-05,11741229514
2001-12-06,12277279757
2001-12-07,11948732834
2001-12-10,11758521457
2001-12-11,11248409129
2001-12-12,11239763158
2001-12-13,11222471214
2001-12-14,11248409129
2001-12-17,11507788279
2001-12-18,10980384008
2001-12-19,10288706275
2001-12-20,10522147510
2001-12-21,11378098704
2001-12-24,11231117186
2001-12-26,11455912449
2001-12-27,11844981174
2001-12-28,12113006295
2001-12-31,12052484494
2002-01-02,12190820040
2002-01-03,12493429048
2002-01-04,13358026214
2002-01-07,12908435688
2002-01-08,12934373603
2002-01-09,12553950850
2002-01-10,14136163664
2002-01-11,13643343279
2002-01-14,13444485931
2002-01-15,12597180708
2002-01-16,12605826680
2002-01-17,12406969332
2002-01-18,12337801558
2002-01-22,12130298238
2002-01-23,12545304878
2002-01-24,13012187348
2002-01-25,12562596821
2002-01-28,12493429048
2002-01-29,11983316720
2002-01-30,12052484494
2002-01-31,12450199190
2002-02-01,12190820040
2002-02-04,11587590402
2002-02-05,11691592710
2002-02-06,11180248032
2002-02-07,11353585211
2002-02-08,11006910853
2002-02-11,11396919506
2002-02-12,11223582327
2002-02-13,11561589825
2002-02-14,11084912584
2002-02-15,10703570790
2002-02-19,10625569060
2002-02-20,11552922967
2002-02-21,11318917775
2002-02-22,10755571944
2002-02-25,11214915468
2002-02-26,11743593863
2002-02-27,10746905085
2002-02-28,10374230151
2002-03-01,10460898740
2002-03-04,10729571367
2002-03-05,11145580596
2002-03-06,11422920082
2002-03-07,11708926427
2002-03-08,12055600785
2002-03-11,12263605400
2002-03-12,12185603669
2002-03-13,12090268221
2002-03-14,12480276873
2002-03-15,12289605976
2002-03-18,12358940848
2002-03-19,12740282641
2002-03-20,13268961037
2002-03-21,13112957576
2002-03-22,12740282641
2002-03-25,12566945463
2002-03-26,12497610591
2002-03-27,13000288410
2002-03-28,13034955845
2002-04-01,12939620397
2002-04-02,12748949500
2002-04-03,12792283795
2002-04-04,13234293601
2002-04-05,13390297062
2002-04-08,13580967958
2002-04-09,13407630780
2002-04-10,13381630203
2002-04-11,12012266490
2002-04-12,12133602516
2002-04-15,12133602516
2002-04-16,12350273989
2002-04-17,12350273989
2002-04-18,12610279757
2002-04-19,12627613475
2002-04-22,12480276873
2002-04-23,12705615206
2002-04-24,12341607130
2002-04-25,12194270528
2002-04-26,12488943732
2002-04-29,12254938541
2002-04-30,12228937964
2002-05-01,12480276873
2002-05-02,12965620974
2002-05-03,12800950654
2002-05-06,12694973969
2002-05-07,12894963284
2002-05-08,12790621033
2002-05-09,13729701299
2002-05-10,13477540857
2002-05-13,14077508805
2002-05-14,14677476753
2002-05-15,14625305627
2002-05-16,14686171940
2002-05-17,14173155869
2002-05-20,14199241432
2002-05-21,13912300240
2002-05-22,11781979265
2002-05-23,12042834895
2002-05-24,12225433835
2002-05-28,12181957897
2002-05-29,12164567522
2002-05-30,12442813527
2002-05-31,12668888406
2002-06-03,12408032776
2002-06-04,12651498030
2002-06-05,13199294852
2002-06-06,13155818914
2002-06-07,13268856353
2002-06-10,13434064919
2002-06-11,13425369731
2002-06-12,13477540857
2002-06-13,13268856353
2002-06-14,12564546154
2002-06-17,12781925845
2002-06-18,12764535470
2002-06-19,12651498030
2002-06-20,12694973969
2002-06-21,12399337588
2002-06-24,12260214586
2002-06-25,11999358957
2002-06-26,12086310833
2002-06-27,12434118339
2002-06-28,12347166463
2002-07-01,11895016705
2002-07-02,12016749332
2002-07-03,12242824211
2002-07-05,12512375028
2002-07-08,12425423151
2002-07-09,12868877722
2002-07-10,12721059531
2002-07-11,12121091584
2002-07-12,11947187831
2002-07-15,11929797455
2002-07-16,11112449816
2002-07-17,11234182443
2002-07-18,10877679750
2002-07-19,10564652994
2002-07-22,10138588799
2002-07-23,9903818733
2002-07-24,10329882928
2002-07-25,10269016614
2002-07-26,10608128933
2002-07-29,11521123636
2002-07-30,11129840192
2002-07-31,10564652994
2002-08-01,10216845488
2002-08-02,9782086106
2002-08-05,9584107669
2002-08-06,9883061486
2002-08-07,9803926652
2002-08-08,9812719412
2002-08-09,9821512171
2002-08-12,9584107669
2002-08-13,9953403561
2002-08-14,10955778125
2002-08-15,11430587129
2002-08-16,10252357378
2002-08-19,10595274992
2002-08-20,10437005324
2002-08-21,10586482233
2002-08-22,10560103955
2002-08-23,10287528416
2002-08-26,10524932918
2002-08-27,10331492212
2002-08-28,10208393582
2002-08-29,10357870490
2002-08-30,10313906694
2002-09-03,10129258748
2002-09-04,10463383602
2002-09-05,10946985365
2002-09-06,11536100240
2002-09-09,11694369908
2002-09-10,11078876755
2002-09-11,11070083996
2002-09-12,10674409826
2002-09-13,10973363643
2002-09-16,10990949162
2002-09-17,10903021569
2002-09-18,10990949162
2002-09-19,10744751901
2002-09-20,10911814328
2002-09-23,10709580863
2002-09-24,10252357378
2002-09-25,10542518436
2002-09-26,10946985365
2002-09-27,10164429785
2002-09-30,9540143873
2002-10-01,8889479682
2002-10-02,8757588292
2002-10-03,8062960305
2002-10-04,8282779288
2002-10-07,7772799247
2002-10-08,8432256197
2002-10-09,8177266176
2002-10-10,8282779288
2002-10-11,8511391031
2002-10-14,8783966570
2002-10-15,9214811777
2002-10-16,9012578313
2002-10-17,9249982815
2002-10-18,9276361093
2002-10-21,9065334869
2002-10-22,8783966570
2002-10-23,8968614516
2002-10-24,9346703167
2002-10-25,10006160117
2002-10-28,10050123914
2002-10-29,10111673229
2002-10-30,10287528416
2002-10-31,10349077731
2002-11-01,10946985365
2002-11-04,12083016000
2002-11-05,12483504000
2002-11-06,12473736000
2002-11-07,13108656000
2002-11-08,12844920000
2002-11-11,12698400000
2002-11-12,12835152000
2002-11-13,13382160000
2002-11-14,13577520000
2002-11-15,14476176000
2002-11-18,13870560000
2002-11-19,13792416000
2002-11-20,13851024000
2002-11-21,14280816000
2002-11-22,14456640000
2002-11-25,14847360000
2002-11-26,14603160000
2002-11-27,15423672000
2002-11-29,15521352000
2002-12-02,15619032000
2002-12-03,15384600000
2002-12-04,15804624000
2002-12-05,15228312000
2002-12-06,15169704000
2002-12-09,14749680000
2002-12-10,15384600000
2002-12-11,15413904000
2002-12-12,15482280000
2002-12-13,15335760000
2002-12-16,15921840000
2002-12-17,15873000000
2002-12-18,15286920000
2002-12-19,15560424000
2002-12-20,15482280000
2002-12-23,14456640000
2002-12-24,14134296000
2002-12-26,14534784000
2002-12-27,14222208000
2002-12-30,14945040000
2002-12-31,15159936000
2003-01-02,15697176000
2003-01-03,15238080000
2003-01-06,15384600000
2003-01-07,15345528000
2003-01-08,15472512000
2003-01-09,15452976000
2003-01-10,15355296000
2003-01-13,15140400000
2003-01-14,15267384000
2003-01-15,14778984000
2003-01-16,14652000000
2003-01-17,14476176000
2003-01-21,13851024000
2003-01-22,14114760000
2003-01-23,15013416000
2003-01-24,14349192000
2003-01-27,13684968000
2003-01-28,14476176000
2003-01-29,14407800000
2003-01-30,14456640000
2003-01-31,14290584000
2003-02-03,13074453969
2003-02-04,13065565829
2003-02-05,13314433749
2003-02-06,13803281451
2003-02-07,13536637250
2003-02-10,13501084690
2003-02-11,13412203290
2003-02-12,13492196550
2003-02-13,13047789549
2003-02-14,13314433749
2003-02-18,13332210030
2003-02-19,13189999789
2003-02-20,13118894669
2003-02-21,13305545609
2003-02-24,13154447229
2003-02-25,13154447229
2003-02-26,13118894669
2003-02-27,13172223509
2003-02-28,11590134586
2003-03-03,11510141325
2003-03-04,11287937825
2003-03-05,11421259925
2003-03-06,11714568546
2003-03-07,12203416247
2003-03-10,11874555066
2003-03-11,11776785526
2003-03-12,11812338086
2003-03-13,12621158828
2003-03-14,12665599528
2003-03-17,13101118389
2003-03-18,13110006529
2003-03-19,13305545609
2003-03-20,13412203290
2003-03-21,13269993049
2003-03-24,12790033488
2003-03-25,13110006529
2003-03-26,13198887929
2003-03-27,13181111649
2003-03-28,13003348849
2003-03-31,12878914888
2003-04-01,13065565829
2003-04-02,13501084690
2003-04-03,13483308410
2003-04-04,13821057731
2003-04-07,13918827271
2003-04-08,13696623770
2003-04-09,13598854230
2003-04-10,14034373091
2003-04-11,14398786832
2003-04-14,14434339392
2003-04-15,14700983593
2003-04-16,14265464732
2003-04-17,14567661492
2003-04-21,14212135891
2003-04-22,14576549632
2003-04-23,14558773352
2003-04-24,14398786832
2003-04-25,14363234272
2003-04-28,14594325912
2003-04-29,14816529413
2003-04-30,14780976853
2003-05-01,14221024032
2003-05-02,14683207313
2003-05-05,14659576227
2003-05-06,14837916570
2003-05-07,14802248502
2003-05-08,15408605669
2003-05-09,15292684446
2003-05-12,15604780047
2003-05-13,15693950219
2003-05-14,15355103566
2003-05-15,15132178137
2003-05-16,14606074124
2003-05-19,14588240090
2003-05-20,14713078330
2003-05-21,14846833588
2003-05-22,15337269532
2003-05-23,14713078330
2003-05-27,15025173931
2003-05-28,15194597257
2003-05-29,14962754811
2003-05-30,15158929189
2003-06-02,15542360927
2003-06-03,15809871442
2003-06-04,16139801077
2003-06-05,16077381957
2003-06-06,15827705476
2003-06-09,15729618287
2003-06-10,15328352515
2003-06-11,15364020583
2003-06-12,15158929189
2003-06-13,14998422879
2003-06-16,15310518480
2003-06-17,15310518480
2003-06-18,15631531099
2003-06-19,15560194961
2003-06-20,15497775841
2003-06-23,15872290562
2003-06-24,16157635112
2003-06-25,16576734919
2003-06-26,16719407193
2003-06-27,16612402987
2003-06-30,16728324210
2003-07-01,16870996485
2003-07-02,16897747537
2003-07-03,16585651936
2003-07-07,16986917708
2003-07-08,17192009103
2003-07-09,17245511206
2003-07-10,16995834726
2003-07-11,16906664554
2003-07-14,17227677172
2003-07-15,17156341035
2003-07-16,17004751743
2003-07-17,16870996485
2003-07-18,17165258052
2003-07-21,16986917708
2003-07-22,16719407193
2003-07-23,16799660348
2003-07-24,16656988073
2003-07-25,17093921914
2003-07-28,16817494382
2003-07-29,16228971249
2003-07-30,15872290562
2003-07-31,16041713888
2003-08-01,15845539511
2003-08-04,15961657474
2003-08-05,15622047741
2003-08-06,15827601000
2003-08-07,16229770422
2003-08-08,16471072074
2003-08-11,16640876941
2003-08-12,16917926987
2003-08-13,16944738282
2003-08-14,17186039934
2003-08-15,17230725426
2003-08-18,17114543148
2003-08-19,17248599622
2003-08-20,17364781899
2003-08-21,17561398061
2003-08-22,17177102836
2003-08-25,17418404489
2003-08-26,17784825517
2003-08-27,17802699714
2003-08-28,18124435251
2003-08-29,18669598244
2003-09-02,18794717619
2003-09-03,18767906325
2003-09-04,16247644618
2003-09-05,16319141404
2003-09-08,16077839751
2003-09-09,16051028457
2003-09-10,15961657474
2003-09-11,16122525243
2003-09-12,16265518815
2003-09-15,16131462341
2003-09-16,16372763994
2003-09-17,16337015601
2003-09-18,16399575288
2003-09-19,16408512387
2003-09-22,16533631762
2003-09-23,16354889797
2003-09-24,15818663902
2003-09-25,15881223590
2003-09-26,15970594572
2003-09-29,15648859035
2003-09-30,15300312204
2003-10-01,15756104214
2003-10-02,16131462341
2003-10-03,16265518815
2003-10-06,16381701092
2003-10-07,16426386583
2003-10-08,16256581716
2003-10-09,17114543148
2003-10-10,17078794755
2003-10-13,17427341587
2003-10-14,17668643240
2003-10-15,17588209356
2003-10-16,17480964177
2003-10-17,17087731854
2003-10-20,16971549576
2003-10-21,16631939843
2003-10-22,16390638190
2003-10-23,16328078502
2003-10-24,16220833323
2003-10-27,16158273635
2003-10-28,16569380155
2003-10-29,16739185022
2003-10-30,16891115692
2003-10-31,17051983460
2003-11-03,19045071000
2003-11-04,18914694000
2003-11-05,18764259000
2003-11-06,20338812000
2003-11-07,20659740000
2003-11-10,20790117000
2003-11-11,21090987000
2003-11-12,21762930000
2003-11-13,21391857000
2003-11-14,21632553000
2003-11-17,21221364000
2003-11-18,20890407000
2003-11-19,20990697000
2003-11-20,21050871000
2003-11-21,20900436000
2003-11-24,21361770000
2003-11-25,21963510000
2003-11-26,21672669000
2003-11-28,21562350000
2003-12-01,21602466000
2003-12-02,21341712000
2003-12-03,21241422000
2003-12-04,21181248000
2003-12-05,21010755000
2003-12-08,21000726000
2003-12-09,20840262000
2003-12-10,20729943000
2003-12-11,21121074000
2003-12-12,20980668000
2003-12-15,21181248000
2003-12-16,21502176000
2003-12-17,22113945000
2003-12-18,22565250000
2003-12-19,22735743000
2003-12-22,23066700000
2003-12-23,23257251000
2003-12-24,22976439000
2003-12-26,23026584000
2003-12-29,23227164000
2003-12-30,23307396000
2003-12-31,23277309000
2004-01-02,22595337000
2004-01-05,22675569000
2004-01-06,23166990000
2004-01-07,23066700000
2004-01-08,20058000000
2004-01-09,19907565000
2004-01-12,19907565000
2004-01-13,19917594000
2004-01-14,20509305000
2004-01-15,20459160000
2004-01-16,20509305000
2004-01-20,20058000000
2004-01-21,19797246000
2004-01-22,20098116000
2004-01-23,19767159000
2004-01-26,19626753000
2004-01-27,18964839000
2004-01-28,18493476000
2004-01-29,18453360000
2004-01-30,18633882000
2004-02-02,16973749799
2004-02-03,17243174400
2004-02-04,16973749799
2004-02-05,18491508380
2004-02-06,18159218040
2004-02-09,18069409840
2004-02-10,18024505740
2004-02-11,18302911160
2004-02-12,18186160500
2004-02-13,18141256400
2004-02-17,18491508380
2004-02-18,18680105600
2004-02-19,18473546740
2004-02-20,18392719360
2004-02-23,18365776900
2004-02-24,18275968700
2004-02-25,18904626100
2004-02-26,18931568560
2004-02-27,18680105600
2004-03-01,18608259040
2004-03-02,18662143960
2004-03-03,18922587740
2004-03-04,19326724640
2004-03-05,19416532840
2004-03-08,19299782180
2004-03-09,19075261680
2004-03-10,18644182320
2004-03-11,18482527560
2004-03-12,18841760360
2004-03-15,18437623460
2004-03-16,18437623460
2004-03-17,18500489200
2004-03-18,18742971340
2004-03-19,18527431660
2004-03-22,18374757720
2004-03-23,18293930340
2004-03-24,18464565920
2004-03-25,18877683640
2004-03-26,18931568560
2004-03-29,19254878080
2004-03-30,19335705460
2004-03-31,19685957440
2004-04-01,19578187600
2004-04-02,19775765640
2004-04-05,19955382040
2004-04-06,20206845000
2004-04-07,20054171060
2004-04-08,19587168420
2004-04-12,19964362860
2004-04-13,19641053340
2004-04-14,19488379400
2004-04-15,19676976620
2004-04-16,19901497120
2004-04-19,19641053340
2004-04-20,19551245140
2004-04-21,19910477940
2004-04-22,20296653200
2004-04-23,20655886000
2004-04-26,20476269600
2004-04-27,20718751740
2004-04-28,20233787460
2004-04-29,19865573840
2004-04-30,19766784820
2004-05-03,20123218420
2004-05-04,20529110320
2004-05-05,20429892300
2004-05-06,20078119320
2004-05-07,19843604000
2004-05-10,19888703100
2004-05-11,20096158960
2004-05-12,20231456260
2004-05-13,19987921120
2004-05-14,19744385980
2004-05-17,19672227420
2004-05-18,20042040040
2004-05-19,20204396800
2004-05-20,20303614820
2004-05-21,20366753560
2004-05-24,20411852660
2004-05-25,20880883300
2004-05-26,21115398620
2004-05-27,21737766200
2004-05-28,21782865300
2004-06-01,22143658100
2004-06-02,22071499540
2004-06-03,22152677920
2004-06-04,22233856300
2004-06-07,22378173420
2004-06-08,22486411260
2004-06-09,22179737380
2004-06-10,22188757200
2004-06-14,22080519360
2004-06-15,22242876120
2004-06-16,22351113960
2004-06-17,22459351800
2004-06-18,22062479720
2004-06-21,22522490540
2004-06-22,22342094140
2004-06-23,23144858120
2004-06-24,22621708560
2004-06-25,22666807660
2004-06-28,22856223880
2004-06-29,21818944580
2004-06-30,21873063500
2004-07-01,22116598640
2004-07-02,21142458080
2004-07-06,21250695920
2004-07-07,21178537360
2004-07-08,20880883300
2004-07-09,21413052680
2004-07-12,21277755380
2004-07-13,21016180600
2004-07-14,20853823840
2004-07-15,20898922940
2004-07-16,20042040040
2004-07-19,19753405800
2004-07-20,19915762560
2004-07-21,19573009400
2004-07-22,19554969760
2004-07-23,19545949940
2004-07-26,19455751740
2004-07-27,20096158960
2004-07-28,19834584180
2004-07-29,20438912120
2004-07-30,20474991400
2004-08-02,20377064669
2004-08-03,20061350962
2004-08-04,19285597283
2004-08-05,17851355015
2004-08-06,17716049141
2004-08-09,17616824833
2004-08-10,18103925981
2004-08-11,17941558932
2004-08-12,17598784050
2004-08-13,17698008358
2004-08-16,18302374596
2004-08-17,18329435771
2004-08-18,18816536919
2004-08-19,18176089114
2004-08-20,18600047520
2004-08-23,18248252247
