,TMUS
2007-11-26,3688798533
2007-11-27,3606979972
2007-11-28,3878547962
2007-11-29,3970811446
2007-11-30,4085705596
2007-12-03,3862880578
2007-12-04,4064815750
2007-12-05,4136189389
2007-12-06,4014331957
2007-12-07,4207563027
2007-12-10,4216267129
2007-12-11,4117040364
2007-12-12,4073519852
2007-12-13,4103113800
2007-12-14,4305048972
2007-12-17,4259787641
2007-12-18,4164042516
2007-12-19,4376422611
2007-12-20,4811627723
2007-12-21,4900409566
2007-12-24,4787256237
2007-12-26,4787256237
2007-12-27,4708919317
2007-12-28,4658435524
2007-12-31,4646249781
2008-01-02,4456500352
2008-01-03,4419943122
2008-01-04,4124003646
2008-01-07,3934254217
2008-01-08,4188414002
2008-01-09,4139671030
2008-01-10,4195377284
2008-01-11,4113558723
2008-01-14,4303308152
2008-01-15,4348569484
2008-01-16,4392089995
2008-01-17,4353791945
2008-01-18,4139671030
2008-01-22,3958625703
2008-01-23,3911623551
2008-01-24,3942958319
2008-01-25,4002146214
2008-01-28,3951662421
2008-01-29,3956884882
2008-01-30,4083964775
2008-01-31,4343347022
2008-02-01,4421683943
2008-02-04,4472167736
2008-02-05,4195377284
2008-02-06,4078742314
2008-02-07,4080483134
2008-02-08,3995182932
2008-02-11,3899437807
2008-02-12,3956884882
2008-02-13,3962107344
2008-02-14,3727096583
2008-02-15,3848954014
2008-02-19,3713170019
2008-02-20,3664427047
2008-02-21,3636573920
2008-02-22,3542569615
2008-02-25,3580867665
2008-02-26,3631351458
2008-02-27,3584349306
2008-02-28,3798470221
2008-02-29,3810655965
2008-03-03,3688798533
2008-03-04,3727096583
2008-03-05,3977774728
2008-03-06,3873325501
2008-03-07,3869843860
2008-03-10,3751468069
2008-03-11,3906401089
2008-03-12,3829804990
2008-03-13,3767135453
2008-03-14,3631351458
2008-03-17,3464232695
2008-03-18,3617424895
2008-03-19,3584349306
2008-03-20,3727096583
2008-03-24,3861139758
2008-03-25,4242379436
2008-03-26,4144893491
2008-03-27,4071779032
2008-03-28,3977774728
2008-03-31,4071691370
2008-04-01,4153718585
2008-04-02,4340461396
2008-04-03,4586543043
2008-04-04,4455648550
2008-04-07,4525458946
2008-04-08,4790738452
2008-04-09,4647627140
2008-04-10,4528949466
2008-04-11,4398054973
2008-04-14,4462629589
2008-04-15,4539421025
2008-04-16,4584797783
2008-04-17,4551637845
2008-04-18,4663334479
2008-04-21,4666824999
2008-04-22,4666824999
2008-04-23,4706965977
2008-04-24,4734890135
2008-04-25,4785502673
2008-04-28,4773285853
2008-04-29,4790738452
2008-04-30,4705220717
2008-05-01,4766304814
2008-05-02,4776776373
2008-05-05,4795974232
2008-05-06,4584797783
2008-05-07,4516732647
2008-05-08,4551637845
2008-05-09,4699984937
2008-05-12,4719182796
2008-05-13,4778521633
2008-05-14,4790738452
2008-05-15,5054272699
2008-05-16,5204365051
2008-05-19,5228798690
2008-05-20,5165969333
2008-05-21,5029839060
2008-05-22,5015876981
2008-05-23,5124083095
2008-05-27,5066489518
2008-05-28,5066489518
2008-05-29,5036820100
2008-05-30,5087432637
2008-06-02,4911161386
2008-06-03,4895454047
2008-06-04,4977481263
2008-06-05,5099649457
2008-06-06,4953047624
2008-06-09,4834369950
2008-06-10,4790738452
2008-06-11,4597014602
2008-06-12,4741871175
2008-06-13,4642391360
2008-06-16,4811681571
2008-06-17,4864039369
2008-06-18,4944321325
2008-06-19,4761069034
2008-06-20,4521968426
2008-06-23,4609231422
2008-06-24,4445176990
2008-06-25,4282867819
2008-06-26,4090889229
2008-06-27,4134520726
2008-06-30,4254051776
2008-07-01,4212053733
2008-07-02,4126307728
2008-07-03,3629330886
2008-07-07,3648579989
2008-07-08,3825321753
2008-07-09,3744825504
2008-07-10,3779823873
2008-07-11,3709827135
2008-07-14,3785073628
2008-07-15,3751825178
2008-07-16,3720326645
2008-07-17,3811322405
2008-07-18,3650329907
2008-07-21,3776324036
2008-07-22,3753575096
2008-07-23,3811322405
2008-07-24,3764074607
2008-07-25,3837571182
2008-07-28,3725576401
2008-07-29,3900568247
2008-07-30,4049311316
2008-07-31,3993313925
2008-08-01,3993313925
2008-08-04,4037061887
2008-08-05,4191054711
2008-08-06,4250551939
2008-08-07,4178805282
2008-08-08,4143806913
2008-08-11,4303049493
2008-08-12,4203304140
2008-08-13,4147306750
2008-08-14,4140307076
2008-08-15,4199804304
2008-08-18,4215553570
2008-08-19,3939066453
2008-08-20,4012563028
2008-08-21,4178805282
2008-08-22,4166555853
2008-08-25,3991564007
2008-08-26,4012563028
2008-08-27,4073810174
2008-08-28,4171805608
2008-08-29,4051061234
2008-09-02,4255801694
2008-09-03,4217303488
2008-09-04,4152556505
2008-09-05,4023062539
2008-09-08,4124557810
2008-09-09,4154306424
2008-09-10,4185804956
2008-09-11,4161306097
2008-09-12,4296049819
2008-09-15,3965315230
2008-09-16,3982814414
2008-09-17,3690578032
2008-09-18,3888318818
2008-09-19,4066810501
2008-09-22,3744825504
2008-09-23,3617081456
2008-09-24,3580333169
2008-09-25,3531335452
2008-09-26,3338844421
2008-09-29,3116604777
2008-09-30,3370472275
2008-10-01,3674165870
2008-10-02,3440690447
2008-10-03,3523196800
2008-10-06,3700497685
2008-10-07,3849711301
2008-10-08,3660122236
2008-10-09,3249345927
2008-10-10,3138752306
2008-10-13,3391537726
2008-10-14,3433668630
2008-10-15,3142263214
2008-10-16,3207215024
2008-10-17,3272166833
2008-10-20,3603947698
2008-10-21,3435424084
2008-10-22,3363450457
2008-10-23,3214236841
2008-10-24,3066778679
2008-10-27,3100132311
2008-10-28,3319564100
2008-10-29,3342385006
2008-10-30,3442445901
2008-10-31,3310786828
2008-11-03,3382760455
2008-11-04,3526707708
2008-11-05,3377494092
2008-11-06,3266900470
2008-11-07,3252856836
2008-11-10,3135241397
2008-11-11,3077311405
2008-11-12,2654246916
2008-11-13,2792927807
2008-11-14,2835058710
2008-11-17,2789416898
2008-11-18,2891233248
2008-11-19,2766595992
2008-11-20,2580517835
2008-11-21,2673556914
2008-11-24,2905276883
2008-11-25,2919320517
2008-11-26,3365205912
2008-11-28,3526707708
2008-12-01,3280944105
2008-12-02,3331852280
2008-12-03,3570594066
2008-12-04,3507397711
2008-12-05,3707519502
2008-12-08,3795292218
2008-12-09,3646078601
2008-12-10,3684698596
2008-12-11,3621502241
2008-12-12,3572349520
2008-12-15,3514419528
2008-12-16,3772471312
2008-12-17,3797047672
2008-12-18,3788270400
2008-12-19,3777737675
2008-12-22,3568838612
2008-12-23,3524952254
2008-12-24,3430157721
2008-12-26,3452978627
2008-12-29,3447712264
2008-12-30,3430157721
2008-12-31,3577615883
2009-01-02,3579371338
2009-01-05,3744384043
2009-01-06,4086697633
2009-01-07,4230644887
2009-01-08,4276286699
2009-01-09,4156915806
2009-01-12,3856733119
2009-01-13,3900619476
2009-01-14,3847955847
2009-01-15,3342385006
2009-01-16,3261634107
2009-01-20,3040446864
2009-01-21,3233546839
2009-01-22,3233546839
2009-01-23,3079066859
2009-01-26,3201948661
2009-01-27,3245835019
2009-01-28,3391537726
2009-01-29,3319564100
2009-01-30,3273922288
2009-02-02,3351162277
2009-02-03,3433668630
2009-02-04,3505642257
2009-02-05,3609214061
2009-02-06,3596925881
2009-02-09,3711030411
2009-02-10,3472288625
2009-02-11,3430157721
2009-02-12,3447712264
2009-02-13,3530218617
2009-02-17,3331852280
2009-02-18,3200193207
2009-02-19,3022892321
2009-02-20,3012359595
2009-02-23,2908787791
2009-02-24,3028158684
2009-02-25,3050979590
2009-02-26,3219503204
2009-02-27,3493354076
2009-03-02,3247590473
2009-03-03,3208970478
2009-03-04,3475799533
2009-03-05,3410847724
2009-03-06,3460000445
2009-03-09,3507397711
2009-03-10,3667144053
2009-03-11,3770715857
2009-03-12,3835667667
2009-03-13,4060365819
2009-03-16,3893597659
2009-03-17,4067387636
2009-03-18,4148138534
2009-03-19,4163937623
2009-03-20,4005946735
2009-03-23,4242933067
2009-03-24,4167448531
2009-03-25,4213090344
2009-03-26,4334216691
2009-03-27,4221867615
2009-03-30,4100741268
2009-03-31,4124414078
2009-04-01,4279255562
2009-04-02,4527353849
2009-04-03,4427058797
2009-04-06,4335561556
2009-04-07,4083944144
2009-04-08,4066348521
2009-04-09,4157845762
2009-04-13,4124414078
2009-04-14,4057550709
2009-04-15,4038195524
2009-04-16,4143769263
2009-04-17,4004763840
2009-04-20,3846403231
2009-04-21,3920304848
2009-04-22,3915026162
2009-04-23,3885113602
2009-04-24,3888632727
2009-04-27,3967813031
2009-04-28,3869277541
2009-04-29,3994206466
2009-04-30,4127933202
2009-05-01,4117375828
2009-05-04,4346118930
2009-05-05,4279255562
2009-05-06,4453452231
2009-05-07,4092741956
2009-05-08,4194796570
2009-05-11,4215911318
2009-05-12,4136731014
2009-05-13,4015321214
2009-05-14,4043474211
2009-05-15,4039955086
2009-05-18,4231747379
2009-05-19,4261659939
2009-05-20,4166643573
2009-05-21,4043474211
2009-05-22,4038195524
2009-05-26,4092741956
2009-05-27,4105058892
2009-05-28,4142009701
2009-05-29,4136731014
2009-06-01,4157845762
2009-06-02,3973091718
2009-06-03,3714436057
2009-06-04,3631736628
2009-06-05,3418829587
2009-06-08,3468097332
2009-06-09,3626457941
2009-06-10,3540239387
2009-06-11,3476895144
2009-06-12,3577190196
2009-06-15,3508567266
2009-06-16,3373080967
2009-06-17,3373080967
2009-06-18,3332611034
2009-06-19,3346687532
2009-06-22,3288621976
2009-06-23,3461059083
2009-06-24,3533201138
2009-06-25,3540239387
2009-06-26,3541998950
2009-06-29,3443463460
2009-06-30,3217188562
2009-07-01,3051662714
2009-07-02,2944247004
2009-07-06,2843874947
2009-07-07,2940725177
2009-07-08,3042858147
2009-07-09,3071032760
2009-07-10,3032292668
2009-07-13,3035814494
2009-07-14,3144991118
2009-07-15,3159078424
2009-07-16,3115055592
2009-07-17,3071032760
2009-07-20,3076315500
2009-07-21,3051662714
2009-07-22,3048140887
2009-07-23,3018205361
2009-07-24,3109772852
2009-07-27,3129142898
2009-07-28,3206623082
2009-07-29,3127381985
2009-07-30,2824504901
2009-07-31,2863244993
2009-08-03,2998835315
2009-08-04,3060467280
2009-08-05,3067510933
2009-08-06,2172966987
2009-08-07,2113095936
2009-08-10,2185293380
2009-08-11,2188815207
2009-08-12,2181771553
2009-08-13,2139509635
2009-08-14,2116617762
2009-08-17,2054985797
2009-08-18,1996875659
2009-08-19,1919395475
2009-08-20,1959896480
2009-08-21,1935243694
2009-08-24,1933482781
2009-08-25,1933482781
2009-08-26,1933482781
2009-08-27,2023289358
2009-08-28,1981027440
2009-08-31,1922917301
2009-09-01,1866568076
2009-09-02,1912351822
2009-09-03,1931721868
2009-09-04,1973983786
2009-09-08,1993353832
2009-09-09,1993353832
2009-09-10,2146553288
2009-09-11,2324405529
2009-09-14,2266295391
2009-09-15,2317361876
2009-09-16,2407168453
2009-09-17,2354341055
2009-09-18,2451191285
2009-09-21,2426538499
2009-09-22,2426538499
2009-09-23,2415973020
2009-09-24,2324405529
2009-09-25,2393081147
2009-09-28,2350819228
2009-09-29,2324405529
2009-09-30,2266630119
2009-10-01,2054960380
2009-10-02,2023209920
2009-10-05,2060252124
2009-10-06,2049668637
2009-10-07,2046140808
2009-10-08,2028501663
2009-10-09,1954417254
2009-10-12,1938542024
2009-10-13,1825651497
2009-10-14,1772734062
2009-10-15,1781553634
2009-10-16,1730400114
2009-10-19,1695121824
2009-10-20,1591050869
2009-10-21,1594578698
2009-10-22,1723344456
2009-10-23,1606926100
2009-10-26,1578703468
2009-10-27,1568119981
2009-10-28,1552244751
2009-10-29,1575175639
2009-10-30,1508146888
2009-11-02,1502855145
2009-11-03,1548716922
2009-11-04,1603398271
2009-11-05,1455229454
2009-11-06,1448173796
2009-11-09,1462285112
2009-11-10,1416423335
2009-11-11,1444645967
2009-11-12,1479924257
2009-11-13,1451701625
2009-11-16,1476396428
2009-11-17,1494035573
2009-11-18,1490507744
2009-11-19,1481688171
2009-11-20,1578703468
2009-11-23,1599870442
2009-11-24,1532841691
2009-11-25,1564592152
2009-11-27,1529313862
2009-11-30,1525786033
2009-12-01,1573411725
2009-12-02,1612217843
2009-12-03,1598106527
2009-12-04,1598106527
2009-12-07,1695121824
2009-12-08,1663371364
2009-12-09,1619273501
2009-12-10,1670427022
2009-12-11,1682774423
2009-12-14,1663371364
2009-12-15,1779789720
2009-12-16,1860929786
2009-12-17,1740983601
2009-12-18,1802720608
2009-12-21,1827415411
2009-12-22,1839762813
2009-12-23,1815068010
2009-12-24,1825651497
2009-12-28,1892680247
2009-12-29,1866221530
2009-12-30,1846818471
2009-12-31,1846818471
2010-01-04,1929722452
2010-01-05,1935014195
2010-01-06,1802720608
2010-01-07,1820359753
2010-01-08,1718052713
2010-01-11,1740983601
2010-01-12,1538133435
2010-01-13,1532841691
2010-01-14,1508146888
2010-01-15,1529313862
2010-01-19,1548716922
2010-01-20,1509910803
2010-01-21,1449937710
2010-01-22,1423478993
2010-01-25,1418187249
2010-01-26,1391728532
2010-01-27,1377617216
2010-01-28,1338811097
2010-01-29,1363505900
2010-02-01,1435826394
2010-02-02,1430534651
2010-02-03,1471104684
2010-02-04,1405839848
2010-02-05,1423478993
2010-02-08,1421715078
2010-02-09,1455229454
2010-02-10,1398784190
2010-02-11,1437590309
2010-02-12,1442882052
2010-02-16,1501091230
2010-02-17,1502855145
2010-02-18,1518730375
2010-02-19,1527549948
2010-02-22,1509910803
2010-02-23,1490507744
2010-02-24,1509910803
2010-02-25,1568119981
2010-02-26,1494035573
2010-03-01,1462285112
2010-03-02,1508146888
2010-03-03,1532841691
2010-03-04,1541661264
2010-03-05,1545189093
2010-03-08,1585759126
2010-03-09,1598106527
2010-03-10,1599870442
2010-03-11,1629856988
2010-03-12,1619273501
2010-03-15,1605162185
2010-03-16,1658079620
2010-03-17,1672190936
2010-03-18,1679246594
2010-03-19,1707469226
2010-03-22,1709233140
2010-03-23,1742747516
2010-03-24,1710997055
2010-03-25,1679246594
2010-03-26,1677482679
2010-03-29,1689830081
2010-03-30,1716288798
2010-03-31,1716933130
2010-04-01,1748728188
2010-04-05,1764625717
2010-04-06,1775224070
2010-04-07,1736363444
2010-04-08,1794654383
2010-04-09,1782289638
2010-04-12,1822916657
2010-04-13,1828215833
2010-04-14,1833515010
2010-04-15,1872375636
2010-04-16,1810551912
2010-04-19,1814084696
2010-04-20,1842346970
2010-04-21,1856478107
2010-04-22,1874142028
2010-04-23,1895338734
2010-04-26,1882973989
2010-04-27,1833515010
2010-04-28,1828215833
2010-04-29,1888273165
2010-04-30,1849412539
2010-05-03,1928900184
2010-05-04,1882973989
2010-05-05,1875908420
2010-05-06,1953629673
2010-05-07,1732830659
2010-05-10,1900637910
2010-05-11,1999555868
2010-05-12,2121436924
2010-05-13,2128502492
2010-05-14,2114371355
2010-05-17,2193859000
2010-05-18,2123203316
2010-05-19,2139100845
2010-05-20,2070211552
2010-05-21,2033117318
2010-05-24,2045482063
2010-05-25,2045482063
2010-05-26,2126736100
2010-05-27,2181494255
2010-05-28,2179727863
2010-06-01,2087875474
2010-06-02,2087875474
2010-06-03,2147932805
2010-06-04,2091408258
2010-06-07,2006621436
2010-06-08,2010154221
2010-06-09,2010154221
2010-06-10,2075510729
2010-06-11,2096707434
2010-06-14,2154998374
2010-06-15,2218588490
2010-06-16,2200924569
2010-06-17,2215055705
2010-06-18,2207990137
2010-06-21,2169129511
2010-06-22,2126736100
2010-06-23,2153231982
2010-06-24,2087875474
2010-06-25,2041949279
2010-06-28,2057846808
2010-06-29,2004855044
2010-06-30,1989224469
2010-07-01,2047626967
2010-07-02,2015771059
2010-07-06,2022850150
2010-07-07,2100720147
2010-07-08,2189208780
2010-07-09,2236992642
2010-07-12,2238762414
2010-07-13,2304244003
2010-07-14,2293625367
2010-07-15,2263539232
2010-07-16,2144964463
2010-07-19,2137885373
2010-07-20,2198057643
2010-07-21,2146734236
2010-07-22,2180359917
2010-07-23,2219294915
2010-07-26,2254690368
2010-07-27,2208676279
2010-07-28,2139655145
2010-07-29,2153813327
2010-07-30,2173280826
2010-08-02,2215755370
2010-08-03,2137885373
2010-08-04,2134345827
2010-08-05,2295395140
2010-08-06,2212215825
2010-08-09,2183899462
2010-08-10,2054706058
2010-08-11,2065324694
2010-08-12,2137885373
2010-08-13,2127266737
2010-08-16,2164431963
2010-08-17,2199827416
2010-08-18,2199827416
2010-08-19,2157352872
2010-08-20,2180359917
2010-08-23,2160892417
2010-08-24,2160892417
2010-08-25,2205136734
2010-08-26,2178590144
2010-08-27,2196287871
2010-08-30,2160892417
2010-08-31,2171511053
2010-09-01,2238762414
2010-09-02,2275927640
2010-09-03,2314862639
2010-09-07,2300704458
2010-09-08,2323711502
2010-09-09,2371495364
2010-09-10,2366186046
2010-09-13,2394502408
2010-09-14,2373265137
2010-09-15,2362646501
2010-09-16,2314862639
2010-09-17,2297164912
2010-09-20,2401581499
2010-09-21,2394502408
2010-09-22,2465293315
2010-09-23,2412200135
2010-09-24,2456444452
2010-09-27,2525465585
2010-09-28,2514846949
2010-09-29,2548472630
2010-09-30,2563175778
2010-10-01,2677412025
2010-10-04,2648852963
2010-10-05,2688121673
2010-10-06,2709540969
2010-10-07,2677412025
2010-10-08,2684551790
2010-10-11,2643498139
2010-10-12,2636358373
2010-10-13,2702401203
2010-10-14,2550681189
2010-10-15,2609584253
2010-10-18,2655992728
2010-10-19,2582810133
2010-10-20,2618508960
2010-10-21,2563175778
2010-10-22,2598874605
2010-10-25,2579240250
2010-10-26,2589949898
2010-10-27,2520337186
2010-10-28,2531046834
2010-10-29,2547111306
2010-11-01,2573885426
2010-11-02,2641713198
2010-11-03,2655992728
2010-11-04,2784508506
2010-11-05,2871970632
2010-11-08,2991561702
2010-11-09,2934443579
2010-11-10,2966572523
2010-11-11,2984421937
2010-11-12,2971927347
2010-11-15,2873755573
2010-11-16,2766659092
2010-11-17,2900529693
2010-11-18,2914809224
2010-11-19,2991561702
2010-11-22,3012980998
2010-11-23,2961217699
2010-11-24,3007626174
2010-11-26,2986206878
2010-11-29,2980852054
2010-11-30,2977282171
2010-12-01,3037970177
2010-12-02,3030830412
2010-12-03,3027260529
2010-12-06,3043325001
2010-12-07,3004056292
2010-12-08,3071884063
2010-12-09,3079023828
2010-12-10,3086163594
2010-12-13,3070099122
2010-12-14,3030830412
2010-12-15,2971927347
2010-12-16,3011196057
2010-12-17,2959432758
2010-12-20,3121862421
2010-12-21,3116507597
2010-12-22,3086163594
2010-12-23,3066529239
2010-12-27,3093303359
2010-12-28,3089733476
2010-12-29,3062959356
2010-12-30,3102228066
2010-12-31,3093303359
2011-01-03,3202184781
2011-01-04,3409237978
2011-01-05,3493130221
2011-01-06,3257517963
2011-01-07,3171840778
2011-01-10,3228958902
2011-01-11,3171840778
2011-01-12,3177195603
2011-01-13,3175410661
2011-01-14,3198614899
2011-01-18,3143281717
2011-01-19,3070099122
2011-01-20,3086163594
2011-01-21,3116507597
2011-01-24,3148636541
2011-01-25,3303926438
2011-01-26,3323560793
2011-01-27,3328915617
2011-01-28,3223604078
2011-01-31,3168270896
2011-02-01,3189690192
2011-02-02,3150421482
2011-02-03,3162916072
2011-02-04,3171840778
2011-02-07,3148636541
2011-02-08,3182550427
2011-02-09,3184335368
2011-02-10,3145066658
2011-02-11,3198614899
2011-02-14,3261087846
2011-02-15,3277152318
2011-02-16,3268227611
2011-02-17,3214679371
2011-02-18,3284292083
2011-02-22,3203969723
2011-02-23,3125432303
2011-02-24,3314636086
2011-02-25,3457431394
2011-02-28,3527044107
2011-03-01,3493130221
2011-03-02,3478850691
2011-03-03,3659129767
2011-03-04,3651990002
2011-03-07,3669839415
2011-03-08,3684118946
2011-03-09,3701968359
2011-03-10,3648420119
2011-03-11,3676979181
2011-03-14,3650205060
2011-03-15,3637710471
2011-03-16,3553818227
2011-03-17,3628785764
2011-03-18,3657344826
2011-03-21,3832269078
2011-03-22,3796570251
2011-03-23,3796570251
2011-03-24,3866182964
2011-03-25,3807279899
2011-03-28,3867967905
2011-03-29,3873322729
2011-03-30,3998268623
2011-03-31,4014724186
2011-04-01,4075962689
2011-04-04,4036337775
2011-04-05,4081366086
2011-04-06,4070559291
2011-04-07,4095775145
2011-04-08,4119189867
2011-04-11,4149809118
2011-04-12,4140803456
2011-04-13,4140803456
2011-04-14,4102979675
2011-04-15,4079564953
2011-04-18,3973298140
2011-04-19,4020127583
2011-04-20,4108383072
2011-04-21,4175024972
2011-04-25,4133598926
2011-04-26,4126394397
2011-04-27,4214649886
2011-04-28,4169621575
2011-04-29,4160615913
2011-05-02,4074161556
2011-05-03,4486620883
2011-05-04,4412774453
2011-05-05,4378552937
2011-05-06,4281291786
2011-05-09,4340729156
2011-05-10,4504632207
2011-05-11,4439791439
2011-05-12,4474012956
2011-05-13,4412774453
2011-05-16,4432586910
2011-05-17,4466808426
2011-05-18,4619904682
2011-05-19,4520842399
2011-05-20,4382155202
2011-05-23,4365945010
2011-05-24,4338928023
2011-05-25,4407371056
2011-05-26,4524444664
2011-05-27,4488422015
2011-05-31,4425382380
2011-06-01,4486620883
2011-06-02,4506433339
2011-06-03,4340729156
2011-06-06,4216451018
2011-06-07,4182229502
2011-06-08,4139002324
2011-06-09,4102979675
2011-06-10,4034536643
2011-06-13,4016525318
2011-06-14,4079564953
2011-06-15,3940877756
2011-06-16,3949883418
2011-06-17,3960690213
2011-06-20,3980502670
2011-06-21,4066957026
2011-06-22,4079564953
2011-06-23,4146206853
2011-06-24,4119189867
2011-06-27,4169621575
2011-06-28,4248871402
2011-06-29,4259678196
2011-06-30,4275446799
2011-07-01,4414824192
2011-07-05,4340610255
2011-07-06,4333369871
2011-07-07,4309838623
2011-07-08,4322509295
2011-07-11,4300788143
2011-07-12,4213903534
2011-07-13,4246485262
2011-07-14,4177701614
2011-07-15,4221143918
2011-07-18,4174081422
2011-07-19,4260966031
2011-07-20,4242865070
2011-07-21,4260966031
2011-07-22,4280877087
2011-07-25,4208473246
2011-07-26,4197612670
2011-07-27,4087196813
2011-07-28,4047374700
2011-07-29,4043754508
2011-08-01,4020223260
2011-08-02,2548615196
2011-08-03,2552235388
2011-08-04,2313302713
2011-08-05,2367605594
2011-08-08,2215557528
2011-08-09,2318733001
2011-08-10,2376656074
2011-08-11,2548615196
2011-08-12,2541374812
2011-08-15,2726004606
2011-08-16,2736865182
2011-08-17,2782117582
2011-08-18,2602918076
2011-08-19,2552235388
2011-08-22,2516033467
2011-08-23,2628259421
2011-08-24,2686182493
2011-08-25,2593867596
2011-08-26,2649980573
2011-08-29,2773067102
2011-08-30,2794788254
2011-08-31,2773067102
2011-09-01,2722384414
2011-09-02,2563095964
2011-09-06,2516033467
2011-09-07,2649980573
2011-09-08,2633689709
2011-09-09,2599297884
2011-09-12,2593867596
2011-09-13,2595677692
2011-09-14,2581196924
2011-09-15,2572146444
2011-09-16,2508793083
2011-09-19,2483451739
2011-09-20,2501552699
2011-09-21,2307872425
2011-09-22,2220987816
2011-09-23,2262620025
2011-09-26,2258999832
2011-09-27,2340454153
2011-09-28,2210127240
2011-09-29,2253569544
2011-09-30,2167243706
2011-10-03,2036665006
2011-10-04,2051173750
2011-10-05,2065682495
2011-10-06,2140039810
2011-10-07,1973189249
2011-10-10,2125531066
2011-10-11,2071123274
2011-10-12,2123717473
2011-10-13,2225278684
2011-10-14,2265177731
2011-10-17,2199888381
2011-10-18,2257923359
2011-10-19,2156362148
2011-10-20,2247041801
2011-10-21,2286940848
2011-10-24,2314144744
2011-10-25,2265177731
2011-10-26,2412078769
2011-10-27,2421146735
2011-10-28,2225278684
2011-10-31,2116463101
2011-11-01,1906086306
2011-11-02,2132785438
2011-11-03,2237973836
2011-11-04,2232533056
2011-11-07,2212583533
2011-11-08,2172684485
2011-11-09,2098327170
2011-11-10,2111022321
2011-11-11,2198074788
2011-11-14,2159989334
2011-11-15,2187193230
2011-11-16,2150921369
2011-11-17,2060241716
2011-11-18,2005833924
2011-11-21,1973189249
2011-11-22,1926035829
2011-11-23,1884323189
2011-11-25,1869814444
2011-11-28,1971375656
2011-11-29,1929663015
