,CAT
2001-05-24,18675520000
2001-05-25,18538200000
2001-05-29,18929562000
2001-05-30,18332220000
2001-05-31,18593128000
2001-06-01,18833438000
2001-06-04,19149274000
2001-06-05,19190470000
2001-06-06,18757912000
2001-06-07,18874634000
2001-06-08,18654922000
2001-06-11,18318488000
2001-06-12,18476406000
2001-06-13,18551932000
2001-06-14,18606860000
2001-06-15,18586262000
2001-06-18,18696118000
2001-06-19,18503870000
2001-06-20,19053150000
2001-06-21,19224800000
2001-06-22,18757912000
2001-06-25,18071312000
2001-06-26,18263560000
2001-06-27,17947724000
2001-06-28,17391578000
2001-06-29,17185598000
2001-07-02,17837868000
2001-07-03,17851600000
2001-07-05,17741744000
2001-07-06,17027680000
2001-07-09,17302320000
2001-07-10,16746174000
2001-07-11,16821700000
2001-07-12,17817270000
2001-07-13,18016384000
2001-07-16,17295454000
2001-07-17,18387148000
2001-07-18,18085044000
2001-07-19,18606860000
2001-07-20,18538200000
2001-07-23,18503870000
2001-07-24,18160570000
2001-07-25,18194900000
2001-07-26,18050714000
2001-07-27,18112508000
2001-07-30,18387148000
2001-07-31,18915830000
2001-08-01,18524468000
2001-08-02,18744180000
2001-08-03,18696118000
2001-08-06,18181168000
2001-08-07,18297890000
2001-08-08,18112508000
2001-08-09,17975188000
2001-08-10,18414612000
2001-08-13,18545066000
2001-08-14,18490138000
2001-08-15,18963892000
2001-08-16,18586262000
2001-08-17,18455808000
2001-08-20,18112508000
2001-08-21,17995786000
2001-08-22,18297890000
2001-08-23,17782940000
2001-08-24,17933992000
2001-08-27,18009518000
2001-08-28,17899662000
2001-08-29,17570094000
2001-08-30,17165000000
2001-08-31,17165000000
2001-09-04,17295454000
2001-09-05,17267990000
2001-09-06,17556362000
2001-09-07,16773638000
2001-09-10,16512730000
2001-09-17,15345510000
2001-09-18,15695676000
2001-09-19,15242520000
2001-09-20,14315610000
2001-09-21,15125798000
2001-09-24,15832996000
2001-09-25,15922254000
2001-09-26,15132664000
2001-09-27,15036539999
2001-09-28,15379839999
2001-10-01,15098333999
2001-10-02,15585820000
2001-10-03,16279286000
2001-10-04,16279286000
2001-10-05,16567658000
2001-10-08,16011512000
2001-10-09,16100770000
2001-10-10,16244956000
2001-10-11,16924689999
2001-10-12,16670648000
2001-10-15,16547060000
2001-10-16,16492132000
2001-10-17,16107636000
2001-10-18,15929120000
2001-10-19,15709408000
2001-10-22,15990914000
2001-10-23,15853594000
2001-10-24,15606418000
2001-10-25,15922254000
2001-10-26,16238089999
2001-10-29,15688810000
2001-10-30,15421036000
2001-10-31,15352376000
2001-11-01,15517160000
2001-11-02,15695676000
2001-11-05,15826130000
2001-11-06,16402874000
2001-11-07,16581389999
2001-11-08,16615720000
2001-11-09,16567658000
2001-11-12,16402874000
2001-11-13,16807968000
2001-11-14,16608854000
2001-11-15,16471533999
2001-11-16,16856030000
2001-11-19,17165000000
2001-11-20,16890360000
2001-11-21,16622586000
2001-11-23,16698112000
2001-11-26,16910958000
2001-11-27,16718710000
2001-11-28,16547060000
2001-11-29,16547060000
2001-11-30,16279286000
2001-12-03,16279286000
2001-12-04,16636318000
2001-12-05,17357248000
2001-12-06,17336650000
2001-12-07,17556362000
2001-12-10,17165000000
2001-12-11,17336650000
2001-12-12,17508300000
2001-12-13,17240526000
2001-12-14,17192464000
2001-12-17,17130670000
2001-12-18,17631888000
2001-12-19,17872198000
2001-12-20,17370980000
2001-12-21,17666218000
2001-12-24,17851600000
2001-12-26,18009518000
2001-12-27,18112508000
2001-12-28,18263560000
2001-12-31,17956536000
2002-01-02,17743504000
2002-01-03,17984024000
2002-01-04,18506296000
2002-01-07,18258904000
2002-01-08,17647296000
2002-01-09,17716016000
2002-01-10,17571704000
2002-01-11,17461752000
2002-01-14,17351800000
2002-01-15,17097536000
2002-01-16,16499672000
2002-01-17,16946352000
2002-01-18,16829527999
2002-01-22,16554648000
2002-01-23,16753936000
2002-01-24,16870760000
2002-01-25,17214360000
2002-01-28,17468624000
2002-01-29,17076920000
2002-01-30,17248720000
2002-01-31,17276208000
2002-02-01,17358672000
2002-02-04,16850144000
2002-02-05,16760808000
2002-02-06,16705832000
2002-02-07,16293512000
2002-02-08,16664600000
2002-02-11,17104408000
2002-02-12,17262464000
2002-02-13,17448008000
2002-02-14,17365544000
2002-02-15,17152512000
2002-02-19,17145640000
2002-02-20,17557960000
2002-02-21,17825968000
2002-02-22,18100848000
2002-02-25,19262216000
2002-02-26,19227856000
2002-02-27,19207240000
2002-02-28,19069800000
2002-03-01,19358424000
2002-03-04,20299888000
2002-03-05,19928800000
2002-03-06,20279272000
2002-03-07,20107472000
2002-03-08,20389224000
2002-03-11,20306760000
2002-03-12,20244912000
2002-03-13,19757000000
2002-03-14,20155576000
2002-03-15,20540408000
2002-03-18,20313632000
2002-03-19,20375480000
2002-03-20,19942544000
2002-03-21,19619560000
2002-03-22,19633304000
2002-03-25,19220984000
2002-03-26,19330936000
2002-03-27,19757000000
2002-03-28,19537096000
2002-04-01,19580480000
2002-04-02,19401600000
2002-04-03,18892480000
2002-04-04,19064480000
2002-04-05,19731840000
2002-04-08,19869440000
2002-04-09,19910720000
2002-04-10,20468000000
2002-04-11,20096480000
2002-04-12,19945120000
2002-04-15,19952000000
2002-04-16,19484160000
2002-04-17,19195200000
2002-04-18,18892480000
2002-04-19,18933760000
2002-04-22,18520960000
2002-04-23,18266400000
2002-04-24,18232000000
2002-04-25,18438400000
2002-04-26,18624160000
2002-04-29,18197600000
2002-04-30,18789280000
2002-05-01,18624160000
2002-05-02,18796160000
2002-05-03,18576000000
2002-05-06,18025600000
2002-05-07,18101280000
2002-05-08,18926880000
2002-05-09,18527840000
2002-05-10,18170080000
2002-05-13,18149440000
2002-05-14,18658560000
2002-05-15,19264000000
2002-05-16,18981920000
2002-05-17,18844320000
2002-05-20,18589760000
2002-05-21,18383360000
2002-05-22,18672320000
2002-05-23,18665440000
2002-05-24,18562240000
2002-05-28,18404000000
2002-05-29,18060000000
2002-05-30,17888000000
2002-05-31,17984320000
2002-06-03,17839840000
2002-06-04,17488960000
2002-06-05,17688480000
2002-06-06,17289440000
2002-06-07,17413280000
2002-06-10,17385760000
2002-06-11,17048640000
2002-06-12,16904160000
2002-06-13,16945440000
2002-06-14,16821600000
2002-06-17,16525760000
2002-06-18,17014240000
2002-06-19,16587680000
2002-06-20,16429440000
2002-06-21,16401920000
2002-06-24,16360640000
2002-06-25,16580800000
2002-06-26,16395039999
2002-06-27,16752800000
2002-06-28,16842240000
2002-07-01,16521600000
2002-07-02,16232471999
2002-07-03,15895156000
2002-07-05,16604208000
2002-07-08,16473412000
2002-07-09,16225588000
2002-07-10,15661100000
2002-07-11,15516536000
2002-07-12,15661100000
2002-07-15,15557840000
2002-07-16,14800600000
2002-07-17,14890092000
2002-07-18,14690456000
2002-07-19,14256764000
2002-07-22,13988288000
2002-07-23,13768000000
2002-07-24,14869440000
2002-07-25,14724876000
2002-07-26,14993352000
2002-07-29,15798780000
2002-07-30,15599144000
2002-07-31,15385740000
2002-08-01,14890092000
2002-08-02,14318720000
2002-08-05,13905680000
2002-08-06,14594080000
2002-08-07,14752412000
2002-08-08,15337552000
2002-08-09,15344436000
2002-08-12,15220524000
2002-08-13,15213640000
2002-08-14,15254944000
2002-08-15,15199871999
2002-08-16,14958932000
2002-08-19,15385740000
2002-08-20,15234292000
2002-08-21,15303132000
2002-08-22,15612912000
2002-08-23,15440812000
2002-08-26,15537188000
2002-08-27,15440812000
2002-08-28,15227408000
2002-08-29,14910744000
2002-08-30,15020888000
2002-09-03,14676688000
2002-09-04,14676688000
2002-09-05,14649152000
2002-09-06,14869440000
2002-09-09,14841904000
2002-09-10,14759296000
2002-09-11,14786832000
2002-09-12,14594080000
2002-09-13,13988288000
2002-09-16,14002056000
2002-09-17,13582132000
2002-09-18,13423800000
2002-09-19,13079600000
2002-09-20,13031412000
2002-09-23,12962571999
2002-09-24,12687212000
2002-09-25,13079600000
2002-09-26,13396264000
2002-09-27,12907500000
2002-09-30,12814846000
2002-10-01,13317524000
2002-10-02,13007654000
2002-10-03,12911250000
2002-10-04,12394800000
2002-10-07,12360370000
2002-10-08,12504976000
2002-10-09,11657998000
2002-10-10,12078044000
2002-10-11,12594494000
2002-10-14,12298396000
2002-10-15,13076513999
2002-10-16,13345068000
2002-10-17,13895948000
2002-10-18,14116300000
2002-10-21,14777356000
2002-10-22,14384854000
2002-10-23,14736039999
2002-10-24,14157616000
2002-10-25,14274678000
2002-10-28,13937263999
2002-10-29,13930378000
2002-10-30,14109413999
2002-10-31,14068098000
2002-11-01,14501916000
2002-11-04,14756698000
2002-11-05,14832444000
2002-11-06,15004594000
2002-11-07,14646522000
2002-11-08,14859987999
2002-11-11,14274678000
2002-11-12,14667180000
2002-11-13,14825558000
2002-11-14,15245604000
2002-11-15,15521044000
2002-11-18,15362666000
2002-11-19,15479728000
2002-11-20,16023722000
2002-11-21,16533286000
2002-11-22,16719208000
2002-11-25,16760524000
2002-11-26,16216530000
2002-11-27,16960218000
2002-11-29,17180570000
2002-12-02,16946446000
2002-12-03,16285389999
2002-12-04,16092582000
2002-12-05,15954862000
2002-12-06,15899774000
2002-12-09,15493500000
2002-12-10,15686308000
2002-12-11,15741396000
2002-12-12,15534816000
2002-12-13,15355780000
2002-12-16,15934204000
2002-12-17,15782712000
2002-12-18,15700080000
2002-12-19,15576132000
2002-12-20,16009950000
2002-12-23,15961748000
2002-12-24,15975520000
2002-12-26,15941089999
2002-12-27,15514158000
2002-12-30,15658763999
2002-12-31,15742127520
2003-01-02,16444532160
2003-01-03,16327464720
2003-01-06,16664894400
2003-01-07,16478963760
2003-01-08,15976262400
2003-01-09,16299919440
2003-01-10,16327464720
2003-01-13,16423873200
2003-01-14,16320578400
2003-01-15,16244828880
2003-01-16,16272374160
2003-01-17,16203510960
2003-01-21,15866081280
2003-01-22,15308289360
2003-01-23,15659491679
2003-01-24,15122358720
2003-01-27,14895110160
2003-01-28,15094813440
2003-01-29,15170562960
2003-01-30,14826246960
2003-01-31,15143017679
2003-02-03,15239426160
2003-02-04,15060381840
2003-02-05,15032836559
2003-02-06,14798701679
2003-02-07,14681634240
2003-02-10,14660975280
2003-02-11,14660975280
2003-02-12,14475044640
2003-02-13,14502589920
2003-02-14,14895110160
2003-02-18,15342720960
2003-02-19,15824763360
2003-02-20,15941830799
2003-02-21,16024466640
2003-02-24,15776559120
2003-02-25,15776559120
2003-02-26,15755900160
2003-02-27,16086443520
2003-02-28,16182852000
2003-03-03,16210397280
2003-03-04,15569969520
2003-03-05,15714582240
2003-03-06,15356493600
2003-03-07,15769672799
2003-03-10,15418470480
2003-03-11,15322062000
2003-03-12,15225653520
2003-03-13,16155306720
2003-03-14,16189738320
2003-03-17,17298435840
2003-03-18,17146936799
2003-03-19,17140050480
2003-03-20,17429275920
2003-03-21,18097248960
2003-03-24,17470593840
2003-03-25,17560116000
2003-03-26,17284663200
2003-03-27,17463707520
2003-03-28,17298435840
2003-03-31,16959240000
2003-04-01,17110908000
2003-04-02,17827884000
2003-04-03,17855460000
2003-04-04,17745156000
2003-04-07,17820990000
2003-04-08,17958870000
2003-04-09,17827884000
2003-04-10,18213948000
2003-04-11,18262206000
2003-04-14,18489708000
2003-04-15,18165690000
2003-04-16,17724474000
2003-04-17,17917506000
2003-04-21,17869248000
2003-04-22,18255312000
2003-04-23,18220842000
2003-04-24,18186372000
2003-04-25,17896824000
2003-04-28,18193266000
2003-04-29,18062280000
2003-04-30,18131220000
2003-05-01,17876142000
2003-05-02,18048492000
2003-05-05,18158796000
2003-05-06,18579330000
2003-05-07,18386298000
2003-05-08,17917506000
2003-05-09,18317358000
2003-05-12,18703422000
2003-05-13,18331146000
2003-05-14,18193266000
2003-05-15,18406980000
2003-05-16,18262206000
2003-05-19,17752050000
2003-05-20,17669322000
2003-05-21,17379774000
2003-05-22,17655534000
2003-05-23,17579700000
2003-05-27,18096750000
2003-05-28,18096750000
2003-05-29,17407350000
2003-05-30,17972658000
2003-06-02,17986446000
2003-06-03,18255312000
2003-06-04,18586224000
2003-06-05,18744786000
2003-06-06,18827514000
2003-06-09,18689634000
2003-06-10,18827514000
2003-06-11,19530702000
2003-06-12,19351458000
2003-06-13,19323882000
