,OTIS
2021-06-25,34938035000
2021-06-28,34942314000
2021-06-29,35122032000
2021-06-30,34817666000
2021-07-01,34949664000
2021-07-02,35196628000
2021-07-06,35022050000
2021-07-07,35801264000
2021-07-08,35379722000
2021-07-09,35690556000
2021-07-12,35690556000
2021-07-13,35567074000
2021-07-14,36099324000
2021-07-15,36290934000
2021-07-16,36158936000
2021-07-19,35792748000
2021-07-20,36661380000
2021-07-21,36963698000
2021-07-22,37185114000
2021-07-23,37691816000
2021-07-26,37921748000
2021-07-27,37564076000
2021-07-28,37440594000
2021-07-29,37840846000
2021-07-30,38130390000
2021-08-02,38292194000
2021-08-03,38867024000
2021-08-04,38662640000
2021-08-05,38632834000
2021-08-06,38381612000
2021-08-09,38207034000
2021-08-10,38266646000
2021-08-11,38505094000
2021-08-12,38407160000
2021-08-13,38603028000
2021-08-16,39131020000
2021-08-17,38637092000
2021-08-18,38534900000
2021-08-19,38407160000
2021-08-20,38330516000
2021-08-23,38287936000
2021-08-24,38479546000
2021-08-25,38803154000
2021-08-26,39092698000
2021-08-27,39177858000
2021-08-30,39331146000
2021-08-31,39267276000
2021-09-01,38960700000
2021-09-02,39199148000
2021-09-03,39096956000
2021-09-07,38058004000
2021-09-08,38628576000
2021-09-09,38526384000
2021-09-10,38556190000
2021-09-13,38300710000
2021-09-14,38475288000
2021-09-15,38471030000
2021-09-16,37555560000
2021-09-17,36201516000
2021-09-20,35418044000
2021-09-21,34915600000
2021-09-22,35890682000
2021-09-23,36508092000
2021-09-24,36133388000
2021-09-27,35865134000
2021-09-28,35643718000
2021-09-29,35477656000
2021-09-30,34960772000
2021-10-01,35054250000
2021-10-04,34803559000
2021-10-05,35419664000
2021-10-06,35211463000
2021-10-07,35853062000
2021-10-08,35457905000
2021-10-11,34680338000
2021-10-12,34816306000
2021-10-13,34535872000
2021-10-14,35440909000
2021-10-15,35734090000
2021-10-18,35402668000
2021-10-19,35870058000
2021-10-20,36311954000
2021-10-21,36265215000
2021-10-22,36384187000
2021-10-25,34782314000
2021-10-26,34106723000
2021-10-27,33873028000
2021-10-28,33958008000
2021-10-29,34123719000
2021-11-01,34382908000
2021-11-02,34463639000
2021-11-03,34251189000
2021-11-04,34773816000
2021-11-05,34718579000
2021-11-08,34943776000
2021-11-09,35496146000
2021-11-10,35419664000
2021-11-11,35436660000
2021-11-12,36384187000
2021-11-15,35759584000
2021-11-16,35912548000
2021-11-17,36358693000
2021-11-18,36639127000
2021-11-19,36651874000
2021-11-22,35776580000
2021-11-23,35610869000
2021-11-24,35887054000
2021-11-26,35347431000
2021-11-29,35513142000
2021-11-30,34161960000
2021-12-01,34183205000
2021-12-02,35202965000
2021-12-03,35181720000
2021-12-06,35695849000
2021-12-07,36413930000
2021-12-08,36630629000
2021-12-09,36622131000
2021-12-10,36575392000
2021-12-13,36277962000
2021-12-14,36035769000
2021-12-15,36082508000
2021-12-16,36758099000
2021-12-17,35759584000
2021-12-20,34982017000
2021-12-21,35768082000
2021-12-22,35823319000
2021-12-23,36222725000
2021-12-27,36762348000
2021-12-28,36736854000
2021-12-29,36889818000
2021-12-30,36694364000
2021-12-31,36935094000
2022-01-03,36298794000
2022-01-04,36574524000
2022-01-05,35560686000
2022-01-06,35933982000
2022-01-07,35785512000
2022-01-10,35912772000
2022-01-11,36583008000
2022-01-12,36884190000
2022-01-13,36379392000
2022-01-14,35709156000
2022-01-18,35586138000
2022-01-19,35251020000
2022-01-20,34873482000
2022-01-21,35255262000
2022-01-24,35306166000
2022-01-25,35195874000
2022-01-26,34580784000
2022-01-27,35043162000
2022-01-28,35111034000
2022-01-31,36239406000
2022-02-01,35446152000
2022-02-02,35323134000
2022-02-03,34720770000
2022-02-04,34971048000
2022-02-07,34640172000
2022-02-08,35662494000
2022-02-09,35535234000
2022-02-10,34593510000
2022-02-11,33783288000
2022-02-14,33829950000
2022-02-15,33422718000
2022-02-16,33456654000
2022-02-17,32332524000
2022-02-18,32387669999
2022-02-22,32366460000
2022-02-23,31683498000
2022-02-24,32489478000
2022-02-25,33303942000
