,SBNY
2006-09-07,975147923.0
2006-09-08,981948530.0
2006-09-11,998802209.0
2006-09-12,1002054673.0
2006-09-13,1030144137.0
2006-09-14,1020091066.0
2006-09-15,1015360209.0
2006-09-18,999689245.0
2006-09-19,990523209.0
2006-09-20,997915173.0
2006-09-21,978696066.0
2006-09-22,943805995.0
2006-09-25,949423888.0
2006-09-26,946171424.0
2006-09-27,943805995.0
2006-09-28,946171424.0
2006-09-29,914533817.0
2006-10-02,911550172.0
2006-10-03,902366534.0
2006-10-04,903551520.0
2006-10-05,928139971.0
2006-10-06,909476448.0
2006-10-09,935249884.0
2006-10-10,937619856.0
2006-10-11,927547478.0
2006-10-12,943544784.0
2006-10-13,929028710.0
2006-10-16,938508595.0
2006-10-17,937027363.0
2006-10-18,945322262.0
2006-10-19,958949596.0
2006-10-20,936731116.0
2006-10-23,943248537.0
2006-10-24,935249884.0
2006-10-25,945618508.0
2006-10-26,915401376.0
2006-10-27,904440259.0
2006-10-30,902070288.0
2006-10-31,898515331.0
2006-11-01,871556908.0
2006-11-02,857929574.0
2006-11-03,851708400.0
2006-11-06,880148054.0
2006-11-07,868594444.0
2006-11-08,872445648.0
2006-11-09,866520720.0
2006-11-10,862669516.0
2006-11-13,870964416.0
2006-11-14,902662780.0
2006-11-15,921030057.0
2006-11-16,924288768.0
2006-11-17,913623897.0
2006-11-20,926954985.0
2006-11-21,923696275.0
2006-11-22,933768652.0
2006-11-24,937027363.0
2006-11-27,921622550.0
2006-11-28,926658739.0
2006-11-29,949173465.0
2006-11-30,952728422.0
2006-12-01,938212348.0
2006-12-04,984723033.0
2006-12-05,960430828.0
2006-12-06,954802147.0
2006-12-07,962800800.0
2006-12-08,948284726.0
2006-12-11,922807536.0
2006-12-12,914808883.0
2006-12-13,917771347.0
2006-12-14,941471059.0
2006-12-15,931991174.0
2006-12-18,916882608.0
2006-12-19,916290115.0
2006-12-20,916586361.0
2006-12-21,910661433.0
2006-12-22,906810230.0
2006-12-26,918067593.0
2006-12-27,918363840.0
2006-12-28,915993868.0
2006-12-29,917771347.0
2007-01-03,931298764.0
2007-01-04,937311022.0
2007-01-05,906949119.0
2007-01-08,911758925.0
2007-01-09,902439925.0
2007-01-10,908452183.0
2007-01-11,916568732.0
2007-01-12,925887732.0
2007-01-16,915366280.0
2007-01-17,902439925.0
2007-01-18,903341764.0
2007-01-19,915366280.0
2007-01-22,895225216.0
2007-01-23,911458312.0
2007-01-24,907550345.0
2007-01-25,942722054.0
2007-01-26,952942893.0
2007-01-29,993525634.0
2007-01-30,992924408.0
2007-01-31,995329311.0
2007-02-01,989016441.0
2007-02-02,983304795.0
2007-02-05,973685183.0
2007-02-06,1009458118.0
2007-02-07,1004948924.0
2007-02-08,1006752602.0
2007-02-09,1005550150.0
2007-02-12,1001642182.0
2007-02-13,1005850763.0
2007-02-14,1020881408.0
2007-02-15,1021783247.0
2007-02-16,1014869150.0
2007-02-20,1013666698.0
2007-02-21,1002844634.0
2007-02-22,996231150.0
2007-02-23,985709699.0
2007-02-26,979096215.0
2007-02-27,939415312.0
2007-02-28,922580990.0
2007-03-01,916268119.0
2007-03-02,915065667.0
2007-03-05,907850958.0
2007-03-06,919574861.0
2007-03-07,905446054.0
2007-03-08,903912929.0
2007-03-09,898231345.0
2007-03-12,919875474.0
2007-03-13,893722151.0
2007-03-14,898832571.0
2007-03-15,916268119.0
2007-03-16,911157699.0
2007-03-19,906949119.0
2007-03-20,918673022.0
2007-03-21,957151473.0
2007-03-22,999237279.0
2007-03-23,987513376.0
2007-03-26,985709699.0
2007-03-27,985409086.0
2007-03-28,979697441.0
2007-03-29,978494989.0
2007-03-30,978194376.0
2007-04-02,964200871.0
2007-04-03,981471014.0
2007-04-04,971811442.0
2007-04-05,958639299.0
2007-04-09,932295013.0
2007-04-10,937856585.0
2007-04-11,936539370.0
2007-04-12,910341441.0
2007-04-13,901267298.0
2007-04-16,925562584.0
2007-04-17,945174442.0
2007-04-18,954248585.0
2007-04-19,932002299.0
2007-04-20,920586442.0
2007-04-23,915903013.0
2007-04-24,910048727.0
2007-04-25,914439441.0
2007-04-26,912097727.0
2007-04-27,933758585.0
2007-04-30,920879156.0
2007-05-01,931124156.0
2007-05-02,957761156.0
2007-05-03,955712156.0
2007-05-04,974738585.0
2007-05-07,968884299.0
2007-05-08,972104157.0
2007-05-09,970055157.0
2007-05-10,942540013.0
2007-05-11,992301443.0
2007-05-14,989959728.0
2007-05-15,985276300.0
2007-05-16,978836585.0
2007-05-17,972689585.0
2007-05-18,977080300.0
2007-05-21,992886871.0
2007-05-22,1005766300.0
2007-05-23,1009864300.0
2007-05-24,992594157.0
2007-05-25,980885585.0
2007-05-29,992008728.0
2007-05-30,977373014.0
2007-05-31,973275014.0
2007-06-01,982641871.0
2007-06-04,997277586.0
2007-06-05,972982299.0
2007-06-06,967128014.0
2007-06-07,960685372.0
2007-06-08,978251157.0
2007-06-11,966542585.0
2007-06-12,959224728.0
2007-06-13,986739871.0
2007-06-14,982934585.0
2007-06-15,999619300.0
2007-06-18,1009864300.0
2007-06-19,1007522586.0
2007-06-20,1000204728.0
2007-06-21,992008728.0
2007-06-22,986154443.0
2007-06-25,989667014.0
2007-06-26,1004595443.0
2007-06-27,1012791443.0
2007-06-28,1021280157.0
2007-06-29,998155728.0
2007-07-02,1019689761.0
2007-07-03,1021778678.0
2007-07-05,1020585011.0
2007-07-06,1012229344.0
2007-07-09,1002083177.0
2007-07-10,984775011.0
2007-07-11,984775011.0
2007-07-12,1008648344.0
2007-07-13,1000591094.0
2007-07-16,985073427.0
2007-07-17,982686094.0
2007-07-18,967466844.0
2007-07-19,987460761.0
2007-07-20,941803010.0
2007-07-23,945980843.0
2007-07-24,944787177.0
2007-07-25,942698260.0
2007-07-26,930761593.0
2007-07-27,917929676.0
2007-07-30,924793260.0
2007-07-31,921809093.0
2007-08-01,938818843.0
2007-08-02,951949177.0
2007-08-03,912856593.0
2007-08-06,958514344.0
2007-08-07,1008648344.0
2007-08-08,1056991845.0
2007-08-09,1053112428.0
2007-08-10,989251261.0
2007-08-13,962393760.0
2007-08-14,929567927.0
2007-08-15,942399843.0
2007-08-16,984775011.0
2007-08-17,1012527761.0
2007-08-20,1020883428.0
2007-08-21,1049531428.0
2007-08-22,1034610594.0
2007-08-23,1008349927.0
2007-08-24,1016407178.0
2007-08-27,1005067344.0
2007-08-28,983879760.0
2007-08-29,1019092928.0
2007-08-30,1016108761.0
2007-08-31,1029537511.0
2007-09-04,1043563094.0
2007-09-05,1009245177.0
2007-09-06,1020286594.0
2007-09-07,1024762844.0
2007-09-10,1024464428.0
2007-09-11,1029239094.0
2007-09-12,1022673928.0
2007-09-13,1014616678.0
2007-09-14,1020883428.0
2007-09-17,1047442511.0
2007-09-18,1088624012.0
2007-09-19,1116675179.0
2007-09-20,1062661761.0
2007-09-21,1065347511.0
2007-09-24,1064750678.0
2007-09-25,1057887095.0
2007-09-26,1083252512.0
2007-09-27,1082655678.0
2007-09-28,1051321928.0
2007-10-01,1077572671.0
2007-10-02,1097369043.0
2007-10-03,1100914662.0
2007-10-04,1109483241.0
2007-10-05,1088504996.0
2007-10-08,1090277805.0
2007-10-09,1092050615.0
2007-10-10,1078459076.0
2007-10-11,1064572068.0
2007-10-12,1059253640.0
2007-10-15,1041821014.0
2007-10-16,1017592618.0
2007-10-17,1004001079.0
2007-10-18,997796246.0
2007-10-19,977113469.0
2007-10-22,1015228872.0
2007-10-23,1034138840.0
2007-10-24,1014046999.0
2007-10-25,1007842166.0
2007-10-26,1020251832.0
2007-10-29,1020251832.0
2007-10-30,1000750928.0
2007-10-31,1009024039.0
2007-11-01,967953954.0
2007-11-02,951998669.0
2007-11-05,951703201.0
