,MO
2000-09-21,14471451921
2000-09-22,15073499997
2000-09-25,15184990382
2000-09-26,15318778844
2000-09-27,15876230767
2000-09-28,16522874997
2000-09-29,16032317305
2000-10-02,15910123455
2000-10-03,16129876541
2000-10-04,16679259257
2000-10-05,16349629628
2000-10-06,16173827159
2000-10-09,16503456788
2000-10-10,16745185183
2000-10-11,16920987652
2000-10-12,17316543208
2000-10-13,16635308640
2000-10-16,16503456788
2000-10-17,17008888887
2000-10-18,17712098763
2000-10-19,17690123455
2000-10-20,17843950615
2000-10-23,18657037035
2000-10-24,18832839504
2000-10-25,19118518516
2000-10-26,19316296294
2000-10-27,19689876541
2000-10-30,20371111109
2000-10-31,19667901232
2000-11-01,19623950615
2000-11-02,19426172837
2000-11-03,18788888887
2000-11-06,18722962961
2000-11-07,18920740739
2000-11-08,19689876541
2000-11-09,19118518516
2000-11-10,19799753084
2000-11-13,18591111109
2000-11-14,18591111109
2000-11-15,19184444442
2000-11-16,19492098763
2000-11-17,19689876541
2000-11-20,19623950615
2000-11-21,20107407405
2000-11-22,19228395060
2000-11-24,19096543208
2000-11-27,19601975306
2000-11-28,19953580245
2000-11-29,20634814812
2000-11-30,20502962961
2000-12-01,20195308640
2000-12-04,20239259257
2000-12-05,20700740738
2000-12-06,20964444442
2000-12-07,21316049380
2000-12-08,21272098763
2000-12-11,20942469133
2000-12-12,20876543208
2000-12-13,21909382714
2000-12-14,22282962960
2000-12-15,21513827158
2000-12-18,22173086417
2000-12-19,23118024689
2000-12-20,23689382713
2000-12-21,23689382713
2000-12-22,23359753084
2000-12-26,23931111108
2000-12-27,24282716047
2000-12-28,23953086417
2000-12-29,23623456788
2001-01-02,24827280000
2001-01-03,22714320000
2001-01-04,21767890000
2001-01-05,21569800000
2001-01-08,22626280000
2001-01-09,23330600000
2001-01-10,23726780000
2001-01-11,22384170000
2001-01-12,22714320000
2001-01-16,22890400000
2001-01-17,23022460000
2001-01-18,23198540000
2001-01-19,23352610000
2001-01-22,23836830000
2001-01-23,23616730000
2001-01-24,23924870000
2001-01-25,24100950000
2001-01-26,23550700000
2001-01-29,23880850000
2001-01-30,24144970000
2001-01-31,23660750000
2001-02-01,24629190000
2001-02-02,24409090000
2001-02-05,24981350000
2001-02-06,24827280000
2001-02-07,24739240000
2001-02-08,25245470000
2001-02-09,25817730000
2001-02-12,25773710000
2001-02-13,25597630000
2001-02-14,24739240000
2001-02-15,24739240000
2001-02-16,25025370000
2001-02-20,25773710000
2001-02-21,25839740000
2001-02-22,25817730000
2001-02-23,25289490000
2001-02-26,25003360000
2001-02-27,25949790000
2001-02-28,25905770000
2001-03-01,26103860000
2001-03-02,26720140000
2001-03-05,26522050000
2001-03-06,26257930000
2001-03-07,26896220000
2001-03-08,27336420000
2001-03-09,27820640000
2001-03-12,26676120000
2001-03-13,26610090000
2001-03-14,25839740000
2001-03-15,25421550000
2001-03-16,25883760000
2001-03-19,25355520000
2001-03-20,24144970000
2001-03-21,23814820000
2001-03-22,23066480000
2001-03-23,23330600000
2001-03-26,24321050000
2001-03-27,25399540000
2001-03-28,24959340000
2001-03-29,25179440000
2001-03-30,25509590000
2001-04-02,24714480000
2001-04-03,23816170000
2001-04-04,24407740000
2001-04-05,24736390000
2001-04-06,25021220000
2001-04-09,25152680000
2001-04-10,25459420000
2001-04-11,24473470000
2001-04-12,24561110000
2001-04-16,24911670000
2001-04-17,25590880000
2001-04-18,25065040000
2001-04-19,24889760000
2001-04-20,25240320000
2001-04-23,25656610000
2001-04-24,25656610000
2001-04-25,27146490000
2001-04-26,27234130000
2001-04-27,27343680000
2001-04-30,26817840000
2001-05-01,27891430000
2001-05-02,27299860000
2001-05-03,27628510000
2001-05-04,28373450000
2001-05-07,27825700000
2001-05-08,27299860000
2001-05-09,27497050000
2001-05-10,28000980000
2001-05-11,27694240000
2001-05-14,27256040000
2001-05-15,27256040000
2001-05-16,28022890000
2001-05-17,27803790000
2001-05-18,28022890000
2001-05-21,26883570000
2001-05-22,26445370000
2001-05-23,26664470000
2001-05-24,26993120000
2001-05-25,27036940000
2001-05-29,27650420000
2001-05-30,27409410000
2001-05-31,27518960000
2001-06-01,27453230000
2001-06-04,27387500000
2001-06-05,27212220000
2001-06-06,26752110000
2001-06-07,25963350000
2001-06-08,25831890000
2001-06-11,25963350000
2001-06-12,26270090000
2001-06-13,25590880000
2001-06-14,25174590000
2001-06-15,24802120000
2001-06-18,23969540000
2001-06-19,23881900000
2001-06-20,24889760000
2001-06-21,25503240000
2001-06-22,25437510000
2001-06-25,25788070000
2001-06-26,25108860000
2001-06-27,25218410000
2001-06-28,25853800000
2001-06-29,27168400000
2001-07-02,25926000000
2001-07-03,25404000000
2001-07-05,24860250000
2001-07-06,24294750000
2001-07-09,24012000000
2001-07-10,24599250000
2001-07-11,24751500000
2001-07-12,24316500000
2001-07-13,23903250000
2001-07-16,23316000000
2001-07-17,23838000000
2001-07-18,24164250000
2001-07-19,24338250000
2001-07-20,24447000000
2001-07-23,24294750000
2001-07-24,24077250000
2001-07-25,23751000000
2001-07-26,23490000000
2001-07-27,22924500000
2001-07-30,23207250000
2001-07-31,24186000000
2001-08-01,24294750000
2001-08-02,24360000000
2001-08-03,23990250000
2001-08-06,23794500000
2001-08-07,24186000000
2001-08-08,23816250000
2001-08-09,23642250000
2001-08-10,23446500000
2001-08-13,23511750000
2001-08-14,23620500000
2001-08-15,23207250000
2001-08-16,23142000000
2001-08-17,23446500000
2001-08-20,24164250000
2001-08-21,24120750000
2001-08-22,24229500000
2001-08-23,24838500000
2001-08-24,24990750000
2001-08-27,25251750000
2001-08-28,25295250000
2001-08-29,25099500000
2001-08-30,25469250000
2001-08-31,25186500000
2001-09-04,25469250000
2001-09-05,25773750000
2001-09-06,25425750000
2001-09-07,25012500000
2001-09-10,25578000000
2001-09-17,25991250000
2001-09-18,25665000000
2001-09-19,25512750000
2001-09-20,25208250000
2001-09-21,24795000000
2001-09-24,25164750000
2001-09-25,24990750000
2001-09-26,24903750000
2001-09-27,26034750000
2001-09-28,25665000000
2001-10-01,25929000000
2001-10-02,25950500000
2001-10-03,25972000000
2001-10-04,26187000000
2001-10-05,26337500000
2001-10-08,26595500000
2001-10-09,26767500000
2001-10-10,26939500000
2001-10-11,26789000000
2001-10-12,26595500000
2001-10-15,26509500000
2001-10-16,26617000000
2001-10-17,26273000000
2001-10-18,25886000000
2001-10-19,26208500000
2001-10-22,26681500000
2001-10-23,26380500000
2001-10-24,26337500000
2001-10-25,25950500000
2001-10-26,26187000000
2001-10-29,26101000000
2001-10-30,25047500000
2001-10-31,24574500000
2001-11-01,25004500000
2001-11-02,25348500000
2001-11-05,25370000000
2001-11-06,25499000000
2001-11-07,25112000000
2001-11-08,24338000000
2001-11-09,24596000000
2001-11-12,24617500000
2001-11-13,24682000000
2001-11-14,24983000000
2001-11-15,25198000000
2001-11-16,25284000000
2001-11-19,25241000000
2001-11-20,25047500000
2001-11-21,24811000000
2001-11-23,24639000000
2001-11-26,24252000000
2001-11-27,23736000000
2001-11-28,23607000000
2001-11-29,24682000000
2001-11-30,24768000000
2001-12-03,24746500000
2001-12-04,24510000000
2001-12-05,24230500000
2001-12-06,23800500000
2001-12-07,23671500000
2001-12-10,23800500000
2001-12-11,23736000000
2001-12-12,23822000000
2001-12-13,23843500000
2001-12-14,24058500000
2001-12-17,24660500000
2001-12-18,24531500000
2001-12-19,24467000000
2001-12-20,24295000000
2001-12-21,24058500000
2001-12-24,24359500000
2001-12-26,24424000000
2001-12-27,24467000000
2001-12-28,24166000000
2001-12-31,24080000000
2002-01-02,24488500000
2002-01-03,24467000000
2002-01-04,24209000000
2002-01-07,24467000000
2002-01-08,24832500000
2002-01-09,24660500000
2002-01-10,24789500000
2002-01-11,25026000000
2002-01-14,25348500000
2002-01-15,25735500000
2002-01-16,25348500000
2002-01-17,25735500000
2002-01-18,25628000000
2002-01-22,25542000000
2002-01-23,26101000000
2002-01-24,25929000000
2002-01-25,26058000000
2002-01-28,26208500000
2002-01-29,26144000000
2002-01-30,26036500000
2002-01-31,26316000000
2002-02-01,26122500000
2002-02-04,25907500000
2002-02-05,25950500000
2002-02-06,26230000000
2002-02-07,26036500000
2002-02-08,26294500000
2002-02-11,26380500000
2002-02-12,26337500000
2002-02-13,26595500000
2002-02-14,26789000000
2002-02-15,27025500000
2002-02-19,27047000000
2002-02-20,27305000000
2002-02-21,27262000000
2002-02-22,27627500000
2002-02-25,28251000000
2002-02-26,28272500000
2002-02-27,27455500000
2002-02-28,27649000000
2002-03-01,28251000000
2002-03-04,27907000000
2002-03-05,27842500000
2002-03-06,28014500000
2002-03-07,28337000000
2002-03-08,27971500000
2002-03-11,27627500000
2002-03-12,27735000000
2002-03-13,27498500000
2002-03-14,27262000000
2002-03-15,27455500000
2002-03-18,27133000000
2002-03-19,27262000000
2002-03-20,27326500000
2002-03-21,27993000000
2002-03-22,28100500000
2002-03-25,27283500000
2002-03-26,27950000000
2002-03-27,28143500000
2002-03-28,27670500000
2002-04-01,27755000000
2002-04-02,27669600000
2002-04-03,27797700000
2002-04-04,27733650000
2002-04-05,27456100000
2002-04-08,27285300000
2002-04-09,27306650000
2002-04-10,27947150000
2002-04-11,28160650000
2002-04-12,27669600000
2002-04-15,27562850000
2002-04-16,27840400000
2002-04-17,27669600000
2002-04-18,28096600000
2002-04-19,28139300000
2002-04-22,28139300000
2002-04-23,28651700000
2002-04-24,28566300000
2002-04-25,28609000000
2002-04-26,28609000000
2002-04-29,28737100000
2002-04-30,28395500000
2002-05-01,28886550000
2002-05-02,29206800000
2002-05-03,29036000000
2002-05-06,29206800000
2002-05-07,29014650000
2002-05-08,28715750000
2002-05-09,28822500000
2002-05-10,28630350000
2002-05-13,29078700000
2002-05-14,28630350000
2002-05-15,27947150000
2002-05-16,28395500000
2002-05-17,28395500000
2002-05-20,28352800000
2002-05-21,28544950000
2002-05-22,28715750000
2002-05-23,28929250000
2002-05-24,28737100000
2002-05-28,28737100000
2002-05-29,29206800000
2002-05-30,29505700000
2002-05-31,29868650000
2002-06-03,29719200000
2002-06-04,30103500000
2002-06-05,29911350000
2002-06-06,29313550000
2002-06-07,29164100000
2002-06-10,29100050000
2002-06-11,29356250000
2002-06-12,29292200000
2002-06-13,29100050000
2002-06-14,28758450000
2002-06-17,28651700000
2002-06-18,28651700000
2002-06-19,28651700000
2002-06-20,28587650000
2002-06-21,27456100000
2002-06-24,25449200000
2002-06-25,24274950000
2002-06-26,23463650000
2002-06-27,22353450000
2002-06-28,22780450000
2002-07-01,23121652168
2002-07-02,23500695647
2002-07-03,23290115937
2002-07-05,23774449270
2002-07-08,24385130429
2002-07-09,24027144922
2002-07-10,23226942024
2002-07-11,22637318835
2002-07-12,22089811589
2002-07-15,21816057966
2002-07-16,21858173908
2002-07-17,22700492748
2002-07-18,21837115937
2002-07-19,21437014488
2002-07-22,21626536227
2002-07-23,22742608690
2002-07-24,22974246371
2002-07-25,23121652168
2002-07-26,23816565212
2002-07-29,24279840574
2002-07-30,24048202893
2002-07-31,23690217386
2002-08-01,23205884053
2002-08-02,23247999995
2002-08-05,24427246371
2002-08-06,24827347820
2002-08-07,24616768110
2002-08-08,25311681154
2002-08-09,25480144922
2002-08-12,25395913038
2002-08-13,25395913038
2002-08-14,26427753617
2002-08-15,26196115936
2002-08-16,26217173907
2002-08-19,26680449269
2002-08-20,26596217385
2002-08-21,26027652168
2002-08-22,25796014487
2002-08-23,24469362313
2002-08-26,24469362313
2002-08-27,24637826081
2002-08-28,25374855067
2002-08-29,25438028980
2002-08-30,25711782603
2002-09-03,25480144922
2002-09-04,24595710139
2002-09-05,24785231878
2002-09-06,23921855067
2002-09-09,24743115936
2002-09-10,24448304342
2002-09-11,24616768110
2002-09-12,23879739125
2002-09-13,23816565212
2002-09-16,24385130429
2002-09-17,23921855067
2002-09-18,24216666661
2002-09-19,22995304342
2002-09-20,21963463763
2002-09-23,22195101444
2002-09-24,21963463763
2002-09-25,21331724633
2002-09-26,21984521734
2002-09-27,19478623184
2002-09-30,19188222221
2002-10-01,20139537036
2002-10-02,19512074073
2002-10-03,19532314814
2002-10-04,18095222221
2002-10-07,19066777777
2002-10-08,17913055554
2002-10-09,18115462962
2002-10-10,17892814814
2002-10-11,18297629628
2002-10-14,18925092591
2002-10-15,19795444443
2002-10-16,19087018517
2002-10-17,19937129628
2002-10-18,19795444443
2002-10-21,21009888888
2002-10-22,21293259258
2002-10-23,21212296295
2002-10-24,21212296295
2002-10-25,21070611110
2002-10-28,20584833332
2002-10-29,20787240739
2002-10-30,20443148147
2002-10-31,20159777777
2002-11-01,20969407406
2002-11-04,20645555554
2002-11-05,21111092591
2002-11-06,21131333332
2002-11-07,21293259258
2002-11-08,21131333332
2002-11-11,21252777777
2002-11-12,18317870369
2002-11-13,18904851851
2002-11-14,19087018517
2002-11-15,18823888888
2002-11-18,18884611110
2002-11-19,18844129628
2002-11-20,18702444443
2002-11-21,18500037036
2002-11-22,18338111110
2002-11-25,18580999999
2002-11-26,18540518517
2002-11-27,18621481480
2002-11-29,18641722221
2002-12-02,18783407406
2002-12-03,18945333332
2002-12-04,19572796295
2002-12-05,19471592591
2002-12-06,19754962962
2002-12-09,19815685184
2002-12-10,20281222221
2002-12-11,20180018517
2002-12-12,20159777777
2002-12-13,20260981480
2002-12-16,20524111110
2002-12-17,20362185184
2002-12-18,20443148147
2002-12-19,20139537036
2002-12-20,20341944443
2002-12-23,20463388888
2002-12-24,20503870369
2002-12-26,20665796295
2002-12-27,20422907406
2002-12-30,20463388888
2002-12-31,20038333332
2003-01-02,19957370369
2003-01-03,19673999999
2003-01-06,19532314814
2003-01-07,20341944443
2003-01-08,20038333332
2003-01-09,20463388888
2003-01-10,20362185184
2003-01-13,20463388888
2003-01-14,20443148147
2003-01-15,20341944443
2003-01-16,20625314814
2003-01-17,20726518517
2003-01-21,20402666665
2003-01-22,20180018517
2003-01-23,19552555554
2003-01-24,19228703703
2003-01-27,19107259258
2003-01-28,18985814814
2003-01-29,18317870369
2003-01-30,18216666666
2003-01-31,18722685184
2003-02-03,18985814814
2003-02-04,18803648147
2003-02-05,18823888888
2003-02-06,18560759258
2003-02-07,18601240740
2003-02-10,18844129628
2003-02-11,18560759258
2003-02-12,18500037036
2003-02-13,18520277777
2003-02-14,18864370369
2003-02-18,18783407406
2003-02-19,18540518517
2003-02-20,18297629628
2003-02-21,18601240740
2003-02-24,18419074073
2003-02-25,18823888888
2003-02-26,18823888888
2003-02-27,19127499999
2003-02-28,19107259258
2003-03-03,19269185184
2003-03-04,19228703703
2003-03-05,19289425925
2003-03-06,18439314814
2003-03-07,17710648147
2003-03-10,17568962962
2003-03-11,17852333332
2003-03-12,17670166666
2003-03-13,17670166666
2003-03-14,17265351851
2003-03-17,17164148147
2003-03-18,16111629629
2003-03-19,16718851851
2003-03-20,16961740740
2003-03-21,17326074073
2003-03-24,16617648147
2003-03-25,16536685184
2003-03-26,16516444443
2003-03-27,16475962962
2003-03-28,15888981480
2003-03-31,14865699997
2003-04-01,13931516664
2003-04-02,14703233330
2003-04-03,14743849997
2003-04-04,14033058331
2003-04-07,14398608330
2003-04-08,14886008330
2003-04-09,15028166664
2003-04-10,14926624997
2003-04-11,15170324997
2003-04-14,15617108330
2003-04-15,16104508330
2003-04-16,15718649997
2003-04-17,15962349997
2003-04-21,16063891664
2003-04-22,16226358330
2003-04-23,16348208330
2003-04-24,16327899997
2003-04-25,15393716664
2003-04-28,15454641664
2003-04-29,15271866664
2003-04-30,15251558330
2003-05-01,15109399997
2003-05-02,15373408330
2003-05-05,15353099997
2003-05-06,15393716664
2003-05-07,15556183330
2003-05-08,15393716664
2003-05-09,15718649997
2003-05-12,16429441663
2003-05-13,16470058330
2003-05-14,16591908330
2003-05-15,16734066663
2003-05-16,16530983330
2003-05-19,16632524997
2003-05-20,17323008330
2003-05-21,19008599996
2003-05-22,20369258329
2003-05-23,20998816663
2003-05-27,20876966663
2003-05-28,20511416663
2003-05-29,20491108329
2003-05-30,20491108329
2003-06-02,20897274996
2003-06-03,21201899996
2003-06-04,21425291663
2003-06-05,21486216663
2003-06-06,21587758329
2003-06-09,21364366663
2003-06-10,21729916663
2003-06-11,21668991663
2003-06-12,21283133329
2003-06-13,20917583329
2003-06-16,21283133329
2003-06-17,21364366663
2003-06-18,21953308329
2003-06-19,21648683329
2003-06-20,21344058329
2003-06-23,21750224996
2003-06-24,22359474996
2003-06-25,21811149996
2003-06-26,22217316663
2003-06-27,22379783329
2003-06-30,22470731708
2003-07-01,22835121952
2003-07-02,23037560976
2003-07-03,22814878049
2003-07-07,23179268293
2003-07-08,23138780488
2003-07-09,21762195123
2003-07-10,21357317074
2003-07-11,20669024391
2003-07-14,20750000001
2003-07-15,20021219513
2003-07-16,19778292683
2003-07-17,19697317074
2003-07-18,19920000000
2003-07-21,19920000000
2003-07-22,19920000000
2003-07-23,19859268293
2003-07-24,19879512196
2003-07-25,20264146342
2003-07-28,19920000000
2003-07-29,19920000000
2003-07-30,19778292683
2003-07-31,19778292683
2003-08-01,19920000000
2003-08-04,20284390244
2003-08-05,19879512196
2003-08-06,19879512196
2003-08-07,19758048781
2003-08-08,19737804879
2003-08-11,19980731708
2003-08-12,20142682927
2003-08-13,19960487805
2003-08-14,19717560976
2003-08-15,19717560976
2003-08-18,19272195122
2003-08-19,19272195122
2003-08-20,19758048781
2003-08-21,19717560976
2003-08-22,19555609757
2003-08-25,19778292683
2003-08-26,19758048781
2003-08-27,19920000000
2003-08-28,20223658537
2003-08-29,20385609757
2003-09-02,20628536586
2003-09-03,20709512196
2003-09-04,20669024391
2003-09-05,20527317074
2003-09-08,20588048781
2003-09-09,20507073171
2003-09-10,20567804879
2003-09-11,20284390244
2003-09-12,20061707318
2003-09-15,20081951220
2003-09-16,20000975610
2003-09-17,22086097562
2003-09-18,22045609757
2003-09-19,22045609757
2003-09-22,22005121952
2003-09-23,22005121952
2003-09-24,21883658537
2003-09-25,21701463415
2003-09-26,21438292683
2003-09-29,21519268293
2003-09-30,21747887184
2003-10-01,22032438979
2003-10-02,21991788723
2003-10-03,22195040005
2003-10-06,22357641031
2003-10-07,22418616415
2003-10-08,22316990774
2003-10-09,22459266672
2003-10-10,22377966159
2003-10-13,22296665646
2003-10-14,22337315902
2003-10-15,22418616415
2003-10-16,22316990774
2003-10-17,22235690261
2003-10-20,22581217441
2003-10-21,22560892313
2003-10-22,22499916928
2003-10-23,22581217441
2003-10-24,22642192825
2003-10-27,22499916928
2003-10-28,22926744620
2003-10-29,23190971287
2003-10-30,23150321031
2003-10-31,23089345646
2003-11-03,23109670774
2003-11-04,23109670774
2003-11-05,23333247185
2003-11-06,23495848210
2003-11-07,24593405134
2003-11-10,24369828723
2003-11-11,24186902569
2003-11-12,24959257441
2003-11-13,24898282057
2003-11-14,24999907698
2003-11-17,24999907698
2003-11-18,24756006159
2003-11-19,24816981544
2003-11-20,24837306672
2003-11-21,24877956929
2003-11-24,25121858467
2003-11-25,25243809236
2003-11-26,25772262570
2003-11-28,25812912826
2003-12-01,25995838980
2003-12-02,25792587698
2003-12-03,25548686159
2003-12-04,25629986672
2003-12-05,25528361031
2003-12-08,26036489237
2003-12-09,25690962057
2003-12-10,25975513852
2003-12-11,26361691288
2003-12-12,26382016416
2003-12-15,26503967185
2003-12-16,26910469750
2003-12-17,26869819493
2003-12-18,27052745647
2003-12-19,27276322057
2003-12-22,27093395903
2003-12-23,26829169237
2003-12-24,26544617442
2003-12-26,26646243083
2003-12-29,27012095391
2003-12-30,26829169237
2003-12-31,27250710284
2004-01-02,27373738321
2004-01-05,27168691592
2004-01-06,26963644863
2004-01-07,26615065424
2004-01-08,26594560751
2004-01-09,26451028041
2004-01-12,26615065424
2004-01-13,26635570097
2004-01-14,26984149536
2004-01-15,27168691592
2004-01-16,26881626171
2004-01-20,26656074770
2004-01-21,27045663555
2004-01-22,27066168228
2004-01-23,27291719629
2004-01-26,27455757013
2004-01-27,27558280377
2004-01-28,27886355144
2004-01-29,28029887854
2004-01-30,27845345798
2004-02-02,27599289723
2004-02-03,27619794396
2004-02-04,27537775704
2004-02-05,27660803742
2004-02-06,27435252340
2004-02-09,27271214957
2004-02-10,27640299069
2004-02-11,27517271031
2004-02-12,27660803742
2004-02-13,27373738321
2004-02-17,27619794396
2004-02-18,27619794396
2004-02-19,27660803742
2004-02-20,27722317760
2004-02-23,28357962620
2004-02-24,28132411218
2004-02-25,28337457947
2004-02-26,28563009349
2004-02-27,28829570097
2004-03-01,29137140190
2004-03-02,29116635518
2004-03-03,29034616826
2004-03-04,28768056078
2004-03-05,29157644863
2004-03-08,29178149536
2004-03-09,29157644863
2004-03-10,29280672901
2004-03-11,28214429910
2004-03-12,27209700938
2004-03-15,26943140190
2004-03-16,27025158882
2004-03-17,27435252340
2004-03-18,27578785050
2004-03-19,27394242994
2004-03-22,26533046732
2004-03-23,26574056078
2004-03-24,26533046732
2004-03-25,26738093461
2004-03-26,26861121499
2004-03-29,27189196265
2004-03-30,27168691592
2004-03-31,27296171875
2004-04-01,27624546875
2004-04-02,27501406250
2004-04-05,27727164062
2004-04-06,27870828125
2004-04-07,27645070312
2004-04-08,27768210937
2004-04-12,27891351562
2004-04-13,27624546875
2004-04-14,27870828125
2004-04-15,27870828125
2004-04-16,28035015625
2004-04-19,28301820312
2004-04-20,28240250000
2004-04-21,27993968750
2004-04-22,28322343750
2004-04-23,28035015625
2004-04-26,27870828125
2004-04-27,28035015625
2004-04-28,27706640625
2004-04-29,27521929687
2004-04-30,27768210937
2004-05-03,28260773437
2004-05-04,28240250000
2004-05-05,28199203125
2004-05-06,28260773437
2004-05-07,27911875000
2004-05-10,27521929687
2004-05-11,26783085937
2004-05-12,24977023437
2004-05-13,24525507812
2004-05-14,25018070312
2004-05-17,24812835937
2004-05-18,25038593750
2004-05-19,24730742187
2004-05-20,24689695312
2004-05-21,24730742187
2004-05-24,22534734375
2004-05-25,23396718750
2004-05-26,23909804687
2004-05-27,24279226562
2004-05-28,24053468750
2004-06-01,24299750000
2004-06-02,24320273437
2004-06-03,24402367187
2004-06-04,24258703125
2004-06-07,24628125000
2004-06-08,24628125000
2004-06-09,24381843750
2004-06-10,24299750000
2004-06-14,23868757812
2004-06-15,23848234375
2004-06-16,23971375000
2004-06-17,23909804687
2004-06-18,23848234375
2004-06-21,23930328125
2004-06-22,23971375000
2004-06-23,24299750000
2004-06-24,24299750000
2004-06-25,23971375000
2004-06-28,24874406250
2004-06-29,25182257812
2004-06-30,25104682166
2004-07-01,24981519376
2004-07-02,24919937980
2004-07-06,24776248058
2004-07-07,24714666663
2004-07-08,24776248058
2004-07-09,24940465112
2004-07-12,24940465112
2004-07-13,24714666663
2004-07-14,24570976740
2004-07-15,24180961236
2004-07-16,24406759686
2004-07-19,24488868213
2004-07-20,24447813949
2004-07-21,24057798446
2004-07-22,23708837205
2004-07-23,23729364337
2004-07-26,23544620151
2004-07-27,23626728678
2004-07-28,23421457360
2004-07-29,23667782942
2004-07-30,23873054260
2004-08-02,23975689919
2004-08-03,23831999996
2004-08-04,23729364337
2004-08-05,23462511624
2004-08-06,23380403097
2004-08-09,23339348833
2004-08-10,23524093019
2004-08-11,23667782942
2004-08-12,23749891469
2004-08-13,23606201547
2004-08-16,23852527128
2004-08-17,23893581391
2004-08-18,24242542632
2004-08-19,24242542632
2004-08-20,24365705422
2004-08-23,24427286818
2004-08-24,24468341081
