,MAS
2000-09-29,7304138092
2000-10-02,7209121908
2000-10-03,7306662302
2000-10-04,7306662302
2000-10-05,6380028552
2000-10-06,6428798749
2000-10-09,6526339144
2000-10-10,6331258354
2000-10-11,6380028552
2000-10-12,6158345836
2000-10-13,6136177565
2000-10-16,6016468898
2000-10-17,5843556380
2000-10-18,5772617911
2000-10-19,6038637170
2000-10-20,6114009293
2000-10-23,6065239096
2000-10-24,6380028552
2000-10-25,6353426626
2000-10-26,6331258354
2000-10-27,6428798749
2000-10-30,6938668995
2000-10-31,7280060377
2000-11-01,7160351710
2000-11-02,7133749784
2000-11-03,7111581513
2000-11-06,7133749784
2000-11-07,7111581513
2000-11-08,7111581513
2000-11-09,6889898797
2000-11-10,6867730526
2000-11-13,6916500723
2000-11-14,7062811315
2000-11-15,7062811315
2000-11-16,7084979587
2000-11-17,7160351710
2000-11-20,7182519982
2000-11-21,7133749784
2000-11-22,7182519982
2000-11-24,7306662302
2000-11-27,7621451758
2000-11-28,7501743092
2000-11-29,7377600771
2000-11-30,7523911364
2000-12-01,7816532548
2000-12-04,8450545114
2000-12-05,9204266347
2000-12-06,8667794176
2000-12-07,8570253781
2000-12-08,8401774917
2000-12-11,8180092201
2000-12-12,8131322004
2000-12-13,7865302745
2000-12-14,7621451758
2000-12-15,7621451758
2000-12-18,7936241214
2000-12-19,7789930622
2000-12-20,8255464325
2000-12-21,8791936496
2000-12-22,9421515408
2000-12-26,9740738519
2000-12-27,9811676988
2000-12-28,9957987580
2000-12-29,10006757777
2001-01-02,9926800000
2001-01-03,10078600000
2001-01-04,10635200000
2001-01-05,10483400000
2001-01-08,9195400000
2001-01-09,9448400000
2001-01-10,9172400000
2001-01-11,9296600000
2001-01-12,9425400000
2001-01-16,9448400000
2001-01-17,9600200000
2001-01-18,9195400000
2001-01-19,9043600000
2001-01-22,8970000000
2001-01-23,9425400000
2001-01-24,9600200000
2001-01-25,9526600000
2001-01-26,9425400000
2001-01-29,9453000000
2001-01-30,9499000000
2001-01-31,9701400000
2001-02-01,9830200000
2001-02-02,9765800000
2001-02-05,9802600000
2001-02-06,9315000000
2001-02-07,9489800000
2001-02-08,9416200000
2001-02-09,9434600000
2001-02-12,9434600000
2001-02-13,9609400000
2001-02-14,9370200000
2001-02-15,9641600000
2001-02-16,9319600000
2001-02-20,9218400000
2001-02-21,9016000000
2001-02-22,8997600000
2001-02-23,8795200000
2001-02-26,9250600000
2001-02-27,9388600000
2001-02-28,9448400000
2001-03-01,9577200000
2001-03-02,9683000000
2001-03-05,9738200000
2001-03-06,9600200000
2001-03-07,9673800000
2001-03-08,10110800000
2001-03-09,9885400000
2001-03-12,9692200000
2001-03-13,9729000000
2001-03-14,9540400000
2001-03-15,9397800000
2001-03-16,9163200000
2001-03-19,9250600000
2001-03-20,8974600000
2001-03-21,9039000000
2001-03-22,8813600000
2001-03-23,9071200000
2001-03-26,9296600000
2001-03-27,9181600000
2001-03-28,9181600000
2001-03-29,9338000000
2001-03-30,9756600000
2001-04-02,9592770000
2001-04-03,9191380000
2001-04-04,9313150000
2001-04-05,9502570000
2001-04-06,9502570000
2001-04-09,9529630000
2001-04-10,9516100000
2001-04-11,9412370000
2001-04-12,9480020000
2001-04-16,9511590000
2001-04-17,9511590000
2001-04-18,9899450000
2001-04-19,9669440000
2001-04-20,9588260000
2001-04-23,9493550000
2001-04-24,9430410000
2001-04-25,9534140000
2001-04-26,9452960000
2001-04-27,9416880000
2001-04-30,9114710000
2001-05-01,9259030000
2001-05-02,9331190000
2001-05-03,9020000000
2001-05-04,9114710000
2001-05-07,9146280000
2001-05-08,9074120000
2001-05-09,9001960000
2001-05-10,9173340000
2001-05-11,8956860000
2001-05-14,8916270000
2001-05-15,8839600000
2001-05-16,9358250000
2001-05-17,9489040000
2001-05-18,9525120000
2001-05-21,9484530000
2001-05-22,9434920000
2001-05-23,9277070000
2001-05-24,9128240000
2001-05-25,9146280000
2001-05-29,9209420000
2001-05-30,9164320000
2001-05-31,9259030000
2001-06-01,9074120000
2001-06-04,9313150000
2001-06-05,9529630000
2001-06-06,9574730000
2001-06-07,9610810000
2001-06-08,9782190000
2001-06-11,9786700000
2001-06-12,9903960000
2001-06-13,9791210000
2001-06-14,9750620000
2001-06-15,9511590000
2001-06-18,9664930000
2001-06-19,9750620000
2001-06-20,9953570000
2001-06-21,9863370000
2001-06-22,10016710000
2001-06-25,10057300000
2001-06-26,10066320000
2001-06-27,10021220000
2001-06-28,9903960000
2001-06-29,9890430000
2001-07-02,10515461533
2001-07-03,10515461533
2001-07-05,10416923071
2001-07-06,10247999994
2001-07-09,10285538456
2001-07-10,10247999994
2001-07-11,10219846148
2001-07-12,10520153840
2001-07-13,10280846148
2001-07-16,10388769225
2001-07-17,10538923071
2001-07-18,10693769225
2001-07-19,10857999994
2001-07-20,10689076917
2001-07-23,10473230764
2001-07-24,10140076918
2001-07-25,10294923071
2001-07-26,10327769225
2001-07-27,10304307687
2001-07-30,10327769225
2001-07-31,10393461533
2001-08-01,10454461533
2001-08-02,10660923071
2001-08-03,10923692302
2001-08-06,10628076917
2001-08-07,10825153840
2001-08-08,10595230764
2001-08-09,10590538456
2001-08-10,10576461533
2001-08-13,10520153840
2001-08-14,10538923071
2001-08-15,10693769225
2001-08-16,10703153840
2001-08-17,10623384610
2001-08-20,10538923071
2001-08-21,10515461533
2001-08-22,10557692302
2001-08-23,10557692302
2001-08-24,10778230763
2001-08-27,10717230763
2001-08-28,10515461533
2001-08-29,10463846148
2001-08-30,10524846148
2001-08-31,10646846148
2001-09-04,10637461533
2001-09-05,10491999994
2001-09-06,10365307687
2001-09-07,9858538456
2001-09-10,9412769226
2001-09-17,8436769226
2001-09-18,8366384611
2001-09-19,8066076919
2001-09-20,7836153842
2001-09-21,7423230765
2001-09-24,8164615380
2001-09-25,8145846149
2001-09-26,8117692303
2001-09-27,8056692303
2001-09-28,8427384611
2001-10-01,8001241500
2001-10-02,8386843500
2001-10-03,8630140000
2001-10-04,8657683000
2001-10-05,8790807500
2001-10-08,8501606000
2001-10-09,8497015500
2001-10-10,8928522500
2001-10-11,9158047500
2001-10-12,9158047500
2001-10-15,9038694500
2001-10-16,9066237500
2001-10-17,8726540500
2001-10-18,8565873000
2001-10-19,8602597000
2001-10-22,8763264500
2001-10-23,8584235000
2001-10-24,8570463500
2001-10-25,8630140000
2001-10-26,8510787000
2001-10-29,8230766500
2001-10-30,8010422500
2001-10-31,8001241500
2001-11-01,8230766500
2001-11-02,8299623999
2001-11-05,8230766500
2001-11-06,8350119500
2001-11-07,8653092500
2001-11-08,8639321000
2001-11-09,8579644500
2001-11-12,8570463500
2001-11-13,8570463500
2001-11-14,8607187500
2001-11-15,8552101500
2001-11-16,8533739500
2001-11-19,8529148999
2001-11-20,8464882000
2001-11-21,8409796000
2001-11-23,8529148999
2001-11-26,8469472500
2001-11-27,8391434000
2001-11-28,8267490500
2001-11-29,8249128499
2001-11-30,8441929500
2001-12-03,8331757499
2001-12-04,8464882000
2001-12-05,9332486500
2001-12-06,9318715000
2001-12-07,9447249000
2001-12-10,9461020500
2001-12-11,9534468500
2001-12-12,9681364500
2001-12-13,9562011500
2001-12-14,9635459500
2001-12-17,9685955000
2001-12-18,9975156500
2001-12-19,9897118000
2001-12-20,9727269500
2001-12-21,9635459500
2001-12-24,9736450500
2001-12-26,9864984500
2001-12-27,9984337500
2001-12-28,9975156500
2001-12-31,10105643750
2002-01-02,10105643750
2002-01-03,10119725000
2002-01-04,10396656250
2002-01-07,10415431250
2002-01-08,10434206250
2002-01-09,10528081250
2002-01-10,10523387500
2002-01-11,10354412500
2002-01-14,10298087500
2002-01-15,10307475000
2002-01-16,10039931250
2002-01-17,10391962500
2002-01-18,10391962500
2002-01-22,10467062500
2002-01-23,10560937500
2002-01-24,10762768750
2002-01-25,11072556250
2002-01-28,11091331250
2002-01-29,10983375000
2002-01-30,10983375000
2002-01-31,11035006250
2002-02-01,11030312500
2002-02-04,11081943750
2002-02-05,10772156250
2002-02-06,10720525000
2002-02-07,10518693750
2002-02-08,10528081250
2002-02-11,10654812500
2002-02-12,10711137500
2002-02-13,10729912500
2002-02-14,10682975000
2002-02-15,10767462500
2002-02-19,10823787500
2002-02-20,10762768750
2002-02-21,10922356250
2002-02-22,10861337500
2002-02-25,11180512500
2002-02-26,11795393750
2002-02-27,11621725000
2002-02-28,11579481250
2002-03-01,11612337500
2002-03-04,11950287500
2002-03-05,11602950000
2002-03-06,11879881250
2002-03-07,11692131250
2002-03-08,11649887500
2002-03-11,11640500000
2002-03-12,11847025000
2002-03-13,11790700000
2002-03-14,11358875000
2002-03-15,11363568750
2002-03-18,11415200000
2002-03-19,11344793750
2002-03-20,10922356250
2002-03-21,10598487500
2002-03-22,10969293750
2002-03-25,10805012500
2002-03-26,11227450000
2002-03-27,11260306250
2002-03-28,11321325000
2002-04-01,11415046661
2002-04-02,11115026661
2002-04-03,11048355550
2002-04-04,10991208883
2002-04-05,11095977772
2002-04-08,11415046661
2002-04-09,11657919994
2002-04-10,11848408883
2002-04-11,11876982216
2002-04-12,11976988883
2002-04-15,11924604438
2002-04-16,12062708883
2002-04-17,11962702216
2002-04-18,11667444439
2002-04-19,11586486661
2002-04-22,11596011105
2002-04-23,11767451105
2002-04-24,11819835550
2002-04-25,11700779994
2002-04-26,11715066661
2002-04-29,11548388883
2002-04-30,11757926661
2002-05-01,11843646661
2002-05-02,12091282216
2002-05-03,12167477772
2002-05-06,12010324438
2002-05-07,12124617772
2002-05-08,12053184438
2002-05-09,11357899994
2002-05-10,11262655550
2002-05-13,11234082216
2002-05-14,11305515550
2002-05-15,11248368883
2002-05-16,11076928883
2002-05-17,11300753328
2002-05-20,11291228883
2002-05-21,11134075550
2002-05-22,11215033328
2002-05-23,11348375550
2002-05-24,11276942216
2002-05-28,11291228883
2002-05-29,11162648883
2002-05-30,11057879994
2002-05-31,11157886661
2002-06-03,10848342217
2002-06-04,10714999995
2002-06-05,10919775550
2002-06-06,10714999995
2002-06-07,11010257772
2002-06-10,11029306661
2002-06-11,11010257772
2002-06-12,10915013328
2002-06-13,10748335550
2002-06-14,10872153328
2002-06-17,11119788883
2002-06-18,11081691105
2002-06-19,11095977772
2002-06-20,11381711105
2002-06-21,11234082216
2002-06-24,11215033328
2002-06-25,11134075550
2002-06-26,11215033328
2002-06-27,11248368883
2002-06-28,11343613328
2002-07-01,11665026000
2002-07-02,11462199000
2002-07-03,11363259000
2002-07-05,11610609000
2002-07-08,11729337000
2002-07-09,11575980000
2002-07-10,11472093000
2002-07-11,11135697000
2002-07-12,10621209000
2002-07-15,10675626000
2002-07-16,9715908000
2002-07-17,9661491000
2002-07-18,9626862000
2002-07-19,9171738000
2002-07-22,9132162000
2002-07-23,9493293000
2002-07-24,9958311000
2002-07-25,10052304000
2002-07-26,10042410000
2002-07-29,10467852000
2002-07-30,10344177000
2002-07-31,10522269000
2002-08-01,10121562000
2002-08-02,9804954000
2002-08-05,9587286000
2002-08-06,10077039000
2002-08-07,10111668000
2002-08-08,10477746000
2002-08-09,10448064000
2002-08-12,10279866000
2002-08-13,10111668000
2002-08-14,10388700000
2002-08-15,10626156000
2002-08-16,10359018000
2002-08-19,10482693000
2002-08-20,10378806000
2002-08-21,10349124000
2002-08-22,10814142000
2002-08-23,10591527000
2002-08-26,10730043000
2002-08-27,10611315000
2002-08-28,10542057000
2002-08-29,10363965000
2002-08-30,10502481000
2002-09-03,10086933000
2002-09-04,10250184000
2002-09-05,10205661000
2002-09-06,10294707000
2002-09-09,10373859000
2002-09-10,10462905000
2002-09-11,10571739000
2002-09-12,10378806000
2002-09-13,10448064000
2002-09-16,10631103000
2002-09-17,10581633000
2002-09-18,10566792000
2002-09-19,8879865000
2002-09-20,9067851000
2002-09-23,8869971000
2002-09-24,8731455000
2002-09-25,8409900000
2002-09-26,8652303000
2002-09-27,8434635000
2002-09-30,8377776473
2002-10-01,8699623532
2002-10-02,8563082356
2002-10-03,8485058826
2002-10-04,8250988238
2002-10-07,8031547061
2002-10-08,8182717650
2002-10-09,7582911767
2002-10-10,7578035296
2002-10-11,7997411767
2002-10-14,7963276473
2002-10-15,8392405885
2002-10-16,8143705885
2002-10-17,8699623532
2002-10-18,8675241179
2002-10-21,8850794120
2002-10-22,8567958826
2002-10-23,8592341179
2002-10-24,8499688238
2002-10-25,8602094120
2002-10-28,8250988238
2002-10-29,8528947061
2002-10-30,8753264709
2002-10-31,8811782356
2002-11-01,8967829415
2002-11-04,9021470591
2002-11-05,9348194121
2002-11-06,9631029415
2002-11-07,9245788238
2002-11-08,9172641179
2002-11-11,8938570591
2002-11-12,8675241179
2002-11-13,8733758826
2002-11-14,9119000003
2002-11-15,9167764709
2002-11-18,9026347062
2002-11-19,8377776473
2002-11-20,8358270591
2002-11-21,8280247061
2002-11-22,8187594120
2002-11-25,8143705885
2002-11-26,8046176473
2002-11-27,8587464708
2002-11-29,8641105885
2002-12-02,8528947061
2002-12-03,8250988238
2002-12-04,8426541179
2002-12-05,8333888238
2002-12-06,8460676473
2002-12-09,8290000003
2002-12-10,8470429414
2002-12-11,8489935297
2002-12-12,8631352944
2002-12-13,8387529414
2002-12-16,8982458826
2002-12-17,8914188238
2002-12-18,8958076473
2002-12-19,8997088238
2002-12-20,9197023532
2002-12-23,9109247062
2002-12-24,9119000003
2002-12-26,9065358826
2002-12-27,8875176473
2002-12-30,8899558826
2002-12-31,9021470591
2003-01-02,9411588238
2003-01-03,8689870591
2003-01-06,8782523532
2003-01-07,8655735297
2003-01-08,8333888238
2003-01-09,8528947061
2003-01-10,8460676473
2003-01-13,8377776473
2003-01-14,8499688238
2003-01-15,8421664708
2003-01-16,8485058826
2003-01-17,8319258826
2003-01-21,8026670591
2003-01-22,7982782355
2003-01-23,8099817649
2003-01-24,8051052944
2003-01-27,7773094120
2003-01-28,7880376473
2003-01-29,7919388238
2003-01-30,7685317649
2003-01-31,7792600002
2003-02-03,7909635296
2003-02-04,7860870591
2003-02-05,7895005885
2003-02-06,7695070591
2003-02-07,7621923532
2003-02-10,7685317649
2003-02-11,7680441179
2003-02-12,7573158826
2003-02-13,7436617649
2003-02-14,7690194120
2003-02-18,7865747061
2003-02-19,7875500002
2003-02-20,7734082355
2003-02-21,7890129414
2003-02-24,7846241179
2003-02-25,7885252944
2003-02-26,7748711767
2003-02-27,7904758826
2003-02-28,7875500002
2003-03-03,7787723532
2003-03-04,7485382355
2003-03-05,7690194120
2003-03-06,7475629414
2003-03-07,7548776473
2003-03-10,7397605885
2003-03-11,7207423532
2003-03-12,7212300002
2003-03-13,7651182355
2003-03-14,7685317649
2003-03-17,7992535297
2003-03-18,8055929414
2003-03-19,8036423532
2003-03-20,7948647061
2003-03-21,8285123532
2003-03-24,7860870591
2003-03-25,7958400002
2003-03-26,7987658826
2003-03-27,7968152944
2003-03-28,8055929414
2003-03-31,7805083327
2003-04-01,7943437494
2003-04-02,8243999994
2003-04-03,8296479160
2003-04-04,8258312494
2003-04-07,8315562494
2003-04-08,8310791660
2003-04-09,8282166660
2003-04-10,8234458327
2003-04-11,8348958327
2003-04-14,8463458327
2003-04-15,8348958327
2003-04-16,8396666660
2003-04-17,8511166660
2003-04-21,8468229160
2003-04-22,8692458327
2003-04-23,8845124993
2003-04-24,8740166660
2003-04-25,8592270827
2003-04-28,8854666660
2003-04-29,8864208327
2003-04-30,8830812493
2003-05-01,8764020827
2003-05-02,8969166660
2003-05-05,9007333327
2003-05-06,9226791660
2003-05-07,9565520826
2003-05-08,9551208326
2003-05-09,9560749993
2003-05-12,9851770826
2003-05-13,9727729159
2003-05-14,9732499993
2003-05-15,9851770826
2003-05-16,9770666659
2003-05-19,9365145826
2003-05-20,9541666660
2003-05-21,9575062493
2003-05-22,9808833326
2003-05-23,9861312493
2003-05-27,10118937492
2003-05-28,10304999992
2003-05-29,10052145826
2003-05-30,10314541659
2003-06-02,10319312492
2003-06-03,10314541659
2003-06-04,10433812492
2003-06-05,10500604159
2003-06-06,10529229159
2003-06-09,10142791659
2003-06-10,10271604159
2003-06-11,10591249992
2003-06-12,10405187492
2003-06-13,10443354159
2003-06-16,10333624992
2003-06-17,10319312492
2003-06-18,10233437492
2003-06-19,10104624992
2003-06-20,10009208326
2003-06-23,10138020826
2003-06-24,10161874992
2003-06-25,10013979159
2003-06-26,10114166659
2003-06-27,10061687492
2003-06-30,9979462686
2003-07-01,10103253731
2003-07-02,10255611940
2003-07-03,10127059701
2003-07-07,10065164179
2003-07-08,10055641791
2003-07-09,10055641791
2003-07-10,9898522388
2003-07-11,9889000000
2003-07-14,9927089552
2003-07-15,9855671642
2003-07-16,9960417910
2003-07-17,9917567164
2003-07-18,10041358209
2003-07-21,9779492537
2003-07-22,9831865671
2003-07-23,9884238806
2003-07-24,9898522388
2003-07-25,9965179104
2003-07-28,10169910448
2003-07-29,10074686567
2003-07-30,10141343283
2003-07-31,10193716418
2003-08-01,9998507463
2003-08-04,9869955224
2003-08-05,9665223880
2003-08-06,9874716418
2003-08-07,10055641791
2003-08-08,10255611940
2003-08-11,10227044776
2003-08-12,10431776119
2003-08-13,10293701492
2003-08-14,10365119403
2003-08-15,10384164179
2003-08-18,10560328358
2003-08-19,10626985074
2003-08-20,10769820895
2003-08-21,10669835821
2003-08-22,10460343283
2003-08-25,10460343283
2003-08-26,10460343283
2003-08-27,10417492537
2003-08-28,10393686567
2003-08-29,10369880597
2003-09-02,10455582089
2003-09-03,10626985074
2003-09-04,10779343283
2003-09-05,10522238806
2003-09-08,10574611940
2003-09-09,10565089552
2003-09-10,10407970149
2003-09-11,10350835821
2003-09-12,10250850746
2003-09-15,10193716418
2003-09-16,10269895522
2003-09-17,10403208955
2003-09-18,10507955224
2003-09-19,10455582089
2003-09-22,10246089552
2003-09-23,10269895522
2003-09-24,10179432836
2003-09-25,10041358209
2003-09-26,9965179104
2003-09-29,10231805970
2003-09-30,9766702701
2003-10-01,10052756755
2003-10-02,10052756755
2003-10-03,10084540539
2003-10-06,10061837836
2003-10-07,10157189187
2003-10-08,10120864863
2003-10-09,10216216215
2003-10-10,10325189187
2003-10-13,10456864863
2003-10-14,10443243242
2003-10-15,10447783782
2003-10-16,10547675674
2003-10-17,10438702701
2003-10-20,10524972971
2003-10-21,10543135133
2003-10-22,10552216214
2003-10-23,10661189187
2003-10-24,10624864863
2003-10-27,10797405404
2003-10-28,11087999998
2003-10-29,11024432431
2003-10-30,11019891890
2003-10-31,10974486485
2003-11-03,11083459458
2003-11-04,10801945944
2003-11-05,10811027025
2003-11-06,10815567566
2003-11-07,10724756755
2003-11-10,10674810809
2003-11-11,10724756755
2003-11-12,10865513512
2003-11-13,10874594593
2003-11-14,10806486485
2003-11-17,10747459458
2003-11-18,10606702701
2003-11-19,10643027025
2003-11-20,10606702701
2003-11-21,10633945944
2003-11-24,10833729728
2003-11-25,10842810809
2003-11-26,10770162160
2003-11-28,10851891890
2003-12-01,10942702701
2003-12-02,10983567566
2003-12-03,11069837836
2003-12-04,11183351350
2003-12-05,11169729728
2003-12-08,11296864863
2003-12-09,11219675674
2003-12-10,11038054052
2003-12-11,11137945944
2003-12-12,11192432431
2003-12-15,10992648647
2003-12-16,10951783782
2003-12-17,10933621620
2003-12-18,10906378377
2003-12-19,10942702701
2003-12-22,10979027025
2003-12-23,10974486485
2003-12-24,10933621620
2003-12-26,11010810809
2003-12-29,11106162160
2003-12-30,10906378377
2003-12-31,10938162160
2004-01-02,10733837836
2004-01-05,10692972971
2004-01-06,10733837836
2004-01-07,10606702701
2004-01-08,10461405404
2004-01-09,10484108106
2004-01-12,10547675674
2004-01-13,10484108106
2004-01-14,10588540539
2004-01-15,10611243241
2004-01-16,10715675674
2004-01-20,10643027025
2004-01-21,10842810809
2004-01-22,10938162160
2004-01-23,10969945944
2004-01-26,11060756755
2004-01-27,10974486485
2004-01-28,10751999998
2004-01-29,10643027025
2004-01-30,10638486485
2004-02-02,10679351350
2004-02-03,10529513512
2004-02-04,10411459458
2004-02-05,10379675674
2004-02-06,10534054052
2004-02-09,10611243241
2004-02-10,10561297296
2004-02-11,10842810809
2004-02-12,10901837836
2004-02-13,10906378377
2004-02-17,10951783782
2004-02-18,10956324323
2004-02-19,10915459458
2004-02-20,10874594593
2004-02-23,10947243241
2004-02-24,10956324323
2004-02-25,11024432431
2004-02-26,11151567566
2004-02-27,11187891890
2004-03-01,11355891890
2004-03-02,11233297295
2004-03-03,11160648647
2004-03-04,11255999998
2004-03-05,11301405404
2004-03-08,11219675674
2004-03-09,11374054052
2004-03-10,11246918917
2004-03-11,11333189187
2004-03-12,11682810809
2004-03-15,11610162160
2004-03-16,11505729728
2004-03-17,11632864863
2004-03-18,11923459458
2004-03-19,11896216214
2004-03-22,11787243241
2004-03-23,11741837836
2004-03-24,11828108106
2004-03-25,11932540539
2004-03-26,11887135133
2004-03-29,12046054052
2004-03-30,12218594593
2004-03-31,11833474566
2004-04-01,11882135583
2004-04-02,11718457617
2004-04-05,11585745753
2004-04-06,11315898295
2004-04-07,11333593211
2004-04-08,11196457618
2004-04-12,11293779651
2004-04-13,11152220330
2004-04-14,11218576262
2004-04-15,11271661007
2004-04-16,11435338973
2004-04-19,11218576262
2004-04-20,10948728804
2004-04-21,11050474567
2004-04-22,11302627109
2004-04-23,11063745753
2004-04-26,11006237279
2004-04-27,11107983041
2004-04-28,11099135584
2004-04-29,10935457618
2004-04-30,10886796601
2004-05-03,11023932194
2004-05-04,11077016940
2004-05-05,11090288126
2004-05-06,11028355923
2004-05-07,10661186432
2004-05-10,10470966093
2004-05-11,10692152533
2004-05-12,10776203381
2004-05-13,10860254228
2004-05-14,10900067787
2004-05-17,10802745754
2004-05-18,10979694906
2004-05-19,10811593211
2004-05-20,10869101686
2004-05-21,11010661008
2004-05-24,11174338974
2004-05-25,11187610160
2004-05-26,11059322025
2004-05-27,11214152533
2004-05-28,11253966092
2004-06-01,11178762702
2004-06-02,11231847448
2004-06-03,11187610160
2004-06-04,11147796601
2004-06-07,11475152533
2004-06-08,11457457617
2004-06-09,11338016940
2004-06-10,11382254228
2004-06-14,11271661007
2004-06-15,11276084736
2004-06-16,11293779651
2004-06-17,11351288126
2004-06-18,11638830499
2004-06-21,11674220329
2004-06-22,11758271176
2004-06-23,11913101685
2004-06-24,12036966092
2004-06-25,12036966092
2004-06-28,12014847447
2004-06-29,12054661007
2004-06-30,11995853657
2004-07-01,11908292681
2004-07-02,11943317071
2004-07-06,11816353657
2004-07-07,11851378047
2004-07-08,11711280486
2004-07-09,11741926827
2004-07-12,11750682925
2004-07-13,11781329266
2004-07-14,11759439023
2004-07-15,12044012193
2004-07-16,11995853657
2004-07-19,12030878047
2004-07-20,12022121949
2004-07-21,11890780486
2004-07-22,11882024388
2004-07-23,11851378047
2004-07-26,11698146340
2004-07-27,11724414632
2004-07-28,11614963413
2004-07-29,11492378047
2004-07-30,11632475608
2004-08-02,11790085364
2004-08-03,11903914632
2004-08-04,11965207315
2004-08-05,11873268291
2004-08-06,11741926827
2004-08-09,11711280486
2004-08-10,12008987803
2004-08-11,11882024388
2004-08-12,11807597559
2004-08-13,11969585364
2004-08-16,12127195120
2004-08-17,12197243901
2004-08-18,12223512193
2004-08-19,12241024388
2004-08-20,12411768291
2004-08-23,12324207315
