,T
2001-03-28,107523680000
2001-03-29,110833140000
2001-03-30,113771129999
2001-04-02,111212010000
2001-04-03,109595849999
2001-04-04,111784400000
2001-04-05,112929180000
2001-04-06,110033560000
2001-04-09,110168240000
2001-04-10,109259150000
2001-04-11,104713700000
2001-04-12,104646360000
2001-04-16,106700230000
2001-04-17,109696860000
2001-04-18,106060500000
2001-04-19,105084070000
2001-04-20,101649730000
2001-04-23,99730540000
2001-04-24,100875320000
2001-04-25,103669930000
2001-04-26,104006630000
2001-04-27,106498210000
2001-04-30,104814710000
2001-05-01,108585750000
2001-05-02,107676660000
2001-05-03,106228850000
2001-05-04,107104270000
2001-05-07,109191810000
2001-05-08,107912349999
2001-05-09,107373630000
2001-05-10,108350060000
2001-05-11,107373630000
2001-05-14,108754099999
2001-05-15,110168240000
2001-05-16,114107630000
2001-05-17,111043659999
2001-05-18,113131200000
2001-05-21,111851740000
2001-05-22,110201909999
2001-05-23,108888780000
2001-05-24,109494840000
2001-05-25,107609320000
2001-05-29,109730530000
2001-05-30,107407300000
2001-05-31,109393830000
2001-06-01,106868580000
2001-06-04,106834910000
2001-06-05,107744000000
2001-06-06,106228850000
2001-06-07,105959490000
2001-06-08,105319760000
2001-06-11,107205280000
2001-06-12,106834910000
2001-06-13,106801240000
2001-06-14,105993160000
2001-06-15,102457810000
2001-06-18,101043670000
2001-06-19,102727170000
2001-06-20,101649730000
2001-06-21,99966230000
2001-06-22,98720440000
2001-06-25,98350070000
2001-06-26,100235590000
2001-06-27,100134580000
2001-06-28,101178350000
2001-06-29,101818080000
2001-07-02,103011680000
2001-07-03,103078920000
2001-07-05,104793540000
2001-07-06,101498780000
2001-07-09,102137560000
2001-07-10,102137560000
2001-07-11,106642640000
2001-07-12,106575400000
2001-07-13,106440920000
2001-07-16,109063279999
2001-07-17,111820120000
2001-07-18,111920980000
2001-07-19,111248580000
2001-07-20,108861560000
2001-07-23,106743500000
2001-07-24,103515980000
2001-07-25,110071880000
2001-07-26,111013240000
2001-07-27,111315820000
2001-07-30,112021840000
2001-07-31,114274380000
2001-08-01,113971800000
2001-08-02,112223560000
2001-08-03,110374460000
2001-08-06,110374460000
2001-08-07,111181340000
2001-08-08,108794320000
2001-08-09,109533960000
2001-08-10,112963200000
2001-08-13,112727860000
2001-08-14,111652020000
2001-08-15,110038259999
2001-08-16,110643419999
2001-08-17,107987439999
2001-08-20,110878759999
2001-08-21,109332240000
2001-08-22,107214180000
2001-08-23,106709880000
2001-08-24,108121919999
2001-08-27,105903000000
2001-08-28,104995260000
2001-08-29,105196980000
2001-08-30,103986660000
2001-08-31,103818560000
2001-09-04,106575400000
2001-09-05,107180560000
2001-09-06,106340060000
2001-09-07,104053900000
2001-09-10,110206360000
2001-09-17,112425279999
2001-09-18,115854520000
2001-09-19,114913160000
2001-09-20,116459680000
2001-09-21,112290800000
2001-09-24,114341620000
2001-09-25,119653580000
2001-09-26,120124259999
2001-09-27,117367419999
2001-09-28,119586340000
2001-10-01,117412760000
2001-10-02,118718090000
2001-10-03,116676420000
2001-10-04,115504970000
2001-10-05,113362889999
2001-10-08,115839670000
2001-10-09,117948280000
2001-10-10,118517269999
2001-10-11,115069860000
2001-10-12,111522040000
2001-10-15,110819170000
2001-10-16,109614250000
2001-10-17,109078730000
2001-10-18,109346490000
2001-10-19,110250180000
2001-10-22,104593750000
2001-10-23,97966690000
2001-10-24,99037730000
2001-10-25,98267920000
2001-10-26,99037730000
2001-10-29,100142240000
2001-10-30,96259720000
2001-10-31,96259720000
2001-11-01,98870380000
2001-11-02,97531580000
2001-11-05,97297290000
2001-11-06,96728300000
2001-11-07,96092370000
2001-11-08,95958490000
2001-11-09,97096470000
2001-11-12,95858080000
2001-11-13,94485810000
2001-11-14,94586220000
2001-11-15,98535680000
2001-11-16,98836910000
2001-11-19,100811640000
2001-11-20,98736500000
2001-11-21,98502210000
2001-11-23,99138140000
2001-11-26,98569150000
2001-11-27,96594420000
2001-11-28,95021330000
2001-11-29,95623790000
2001-11-30,94418870000
2001-12-03,96159310000
2001-12-04,95724200000
2001-12-05,96929120000
2001-12-06,96527480000
2001-12-07,94619690000
2001-12-10,95222150000
2001-12-11,95991960000
2001-12-12,96594420000
2001-12-13,97698930000
2001-12-14,98401800000
2001-12-17,100878580000
2001-12-18,99037730000
2001-12-19,99472840000
2001-12-20,100410000000
2001-12-21,99272020000
2001-12-24,98769970000
2001-12-26,98836910000
2001-12-27,100276120000
2001-12-28,99774070000
2001-12-31,98937320000
2002-01-02,100811640000
2002-01-03,101481040000
2002-01-04,101012460000
2002-01-07,100811640000
2002-01-08,100376530000
2002-01-09,96427070000
2002-01-10,97263820000
2002-01-11,95556850000
2002-01-14,96025430000
2002-01-15,95456440000
2002-01-16,93749470000
2002-01-17,93180480000
2002-01-18,92243320000
2002-01-22,89866950000
2002-01-23,91774740000
2002-01-24,91942090000
2002-01-25,89733070000
2002-01-28,91038400000
2002-01-29,91205750000
2002-01-30,91707800000
2002-01-31,94619690000
2002-02-01,93381300000
2002-02-04,90469410000
2002-02-05,90971460000
2002-02-06,87122410000
2002-02-07,88662030000
2002-02-08,90000830000
2002-02-11,89297960000
2002-02-12,91071870000
2002-02-13,92912720000
2002-02-14,93515180000
2002-02-15,93782940000
2002-02-19,92209850000
2002-02-20,93582120000
2002-02-21,92209850000
2002-02-22,92979660000
2002-02-25,95021330000
2002-02-26,94720100000
2002-02-27,95489910000
2002-02-28,95590320000
2002-03-01,98535680000
2002-03-04,99439370000
2002-03-05,97933220000
2002-03-06,98602620000
2002-03-07,97899750000
2002-03-08,96996060000
2002-03-11,97498110000
2002-03-12,97966690000
2002-03-13,98033630000
2002-03-14,97732400000
2002-03-15,98535680000
2002-03-18,98267920000
2002-03-19,99138140000
2002-03-20,98569150000
2002-03-21,97598520000
2002-03-22,95791140000
2002-03-25,95991960000
2002-03-26,96862180000
2002-03-27,95121740000
2002-03-28,94586220000
2002-04-01,92224110000
2002-04-02,93590640000
2002-04-03,94623870000
2002-04-04,95957070000
2002-04-05,93923940000
2002-04-08,91890810000
2002-04-09,87791220000
2002-04-10,89691030000
2002-04-11,84891510000
2002-04-12,85524780000
2002-04-15,84191580000
2002-04-16,86957970000
2002-04-17,86791320000
2002-04-18,85258140000
2002-04-19,82325100000
2002-04-22,79658700000
2002-04-23,78692130000
2002-04-24,79458720000
2002-04-25,80425290000
2002-04-26,78992100000
2002-04-29,75859080000
2002-04-30,78125520000
2002-05-01,82125120000
2002-05-02,81591840000
2002-05-03,78325500000
2002-05-06,78125520000
2002-05-07,76725660000
2002-05-08,80091990000
2002-05-09,78858780000
2002-05-10,76592340000
2002-05-13,80625270000
2002-05-14,83125020000
2002-05-15,84058260000
2002-05-16,87257940000
2002-05-17,86957970000
2002-05-20,85924740000
2002-05-21,87291270000
2002-05-22,87857880000
2002-05-23,91190880000
2002-05-24,88224510000
2002-05-28,88991100000
2002-05-29,88157850000
2002-05-30,86957970000
2002-05-31,86258040000
2002-06-03,83391660000
2002-06-04,83658300000
2002-06-05,84491550000
2002-06-06,81391860000
2002-06-07,83158350000
2002-06-10,83391660000
2002-06-11,80825250000
2002-06-12,82591740000
2002-06-13,82125120000
2002-06-14,81091890000
2002-06-17,83758290000
2002-06-18,82958370000
2002-06-19,78592140000
2002-06-20,77858880000
2002-06-21,78858780000
2002-06-24,76592340000
2002-06-25,74459220000
2002-06-26,74225910000
2002-06-27,75859080000
2002-06-28,76725660000
2002-07-01,75110420000
2002-07-02,75077200000
2002-07-03,76970740000
2002-07-05,79495460000
2002-07-08,79262920000
2002-07-09,76671760000
2002-07-10,75243300000
2002-07-11,76837860000
2002-07-12,74313140000
2002-07-15,73980940000
2002-07-16,74147040000
2002-07-17,72452820000
2002-07-18,69562680000
2002-07-19,66905080000
2002-07-22,60061759999
2002-07-23,58433980000
2002-07-24,61988520000
2002-07-25,65210860000
2002-07-26,65808819999
2002-07-29,65709160000
2002-07-30,65974920000
2002-07-31,69363360000
2002-08-01,68831840000
2002-08-02,69064380000
2002-08-05,65443400000
2002-08-06,65410180000
2002-08-07,64480020000
2002-08-08,66772200000
2002-08-09,67602700000
2002-08-12,67336940000
2002-08-13,66772200000
2002-08-14,70559280000
2002-08-15,70359960000
2002-08-16,71921300000
2002-08-19,74911100000
2002-08-20,69396580000
2002-08-21,70492840000
2002-08-22,68665740000
2002-08-23,65941700000
2002-08-26,66805420000
2002-08-27,66606100000
2002-08-28,64712560000
2002-08-29,64679340000
2002-08-30,62021740000
2002-09-03,57935680000
2002-09-04,60925480000
2002-09-05,58832620000
2002-09-06,60161420000
2002-09-09,61523440000
2002-09-10,62387160000
2002-09-11,64812220000
2002-09-12,62320720000
2002-09-13,61556660000
2002-09-16,61623100000
2002-09-17,60925480000
2002-09-18,60593279999
2002-09-19,58633299999
2002-09-20,58168220000
2002-09-23,56939080000
2002-09-24,56739759999
2002-09-25,56640100000
2002-09-26,54912660000
2002-09-27,50527620000
2002-09-30,50364400000
2002-10-01,52157200000
2002-10-02,50563600000
2002-10-03,54614000000
2002-10-04,54182400000
2002-10-07,52688400000
2002-10-08,51327200000
2002-10-09,51028400000
2002-10-10,53252800000
2002-10-11,56240800000
2002-10-14,56141200000
2002-10-15,59527600000
2002-10-16,58266000000
2002-10-17,61386799999
2002-10-18,63279199999
2002-10-21,64540800000
2002-10-22,67794400000
2002-10-23,64773200000
2002-10-24,64275200000
2002-10-25,62582000000
2002-10-28,64706799999
2002-10-29,63279199999
2002-10-30,65038800000
2002-10-31,64308400000
2002-11-01,68292400000
2002-11-04,69852800000
2002-11-05,69454400000
2002-11-06,69653600000
2002-11-07,67097200000
2002-11-08,68192800000
2002-11-11,65669600000
2002-11-12,62681600000
2002-11-13,60955200000
2002-11-14,61154400000
2002-11-15,63113200000
2002-11-18,64242000000
2002-11-19,63843600000
2002-11-20,65669600000
2002-11-21,68856800000
2002-11-22,69022800000
2002-11-25,71180800000
2002-11-26,68790400000
2002-11-27,71977600000
2002-11-29,71413200000
2002-12-02,71048000000
2002-12-03,67495599999
2002-12-04,66267200000
2002-12-05,65769199999
2002-12-06,66234000000
2002-12-09,64374800000
2002-12-10,64407999999
2002-12-11,63976400000
2002-12-12,64042800000
2002-12-13,64540800000
2002-12-16,67993600000
2002-12-17,69022800000
2002-12-18,68292400000
2002-12-19,69388000000
2002-12-20,70682800000
2002-12-23,70151600000
2002-12-24,69653600000
2002-12-26,70284400000
2002-12-27,68358800000
2002-12-30,68325599999
2002-12-31,67927200000
2003-01-02,72442400000
2003-01-03,72376000000
2003-01-06,78152800000
2003-01-07,75862000000
2003-01-08,72110400000
2003-01-09,72840800000
2003-01-10,72176800000
2003-01-13,72077200000
2003-01-14,74202000000
2003-01-15,71512800000
2003-01-16,69786400000
2003-01-17,68358800000
2003-01-21,66897999999
2003-01-22,67495599999
2003-01-23,63976400000
2003-01-24,61486400000
2003-01-27,62283200000
2003-01-28,60955200000
2003-01-29,60955200000
2003-01-30,59760000000
2003-01-31,61254000000
2003-02-03,63345599999
2003-02-04,64208800000
2003-02-05,63511600000
2003-02-06,62416000000
2003-02-07,63113200000
2003-02-10,61386799999
2003-02-11,59427999999
2003-02-12,57801200000
2003-02-13,56240800000
2003-02-14,58498400000
2003-02-18,59361600000
2003-02-19,57701600000
2003-02-20,53385599999
2003-02-21,51958000000
2003-02-24,51991200000
2003-02-25,53485200000
2003-02-26,51758800000
2003-02-27,52788000000
2003-02-28,52124000000
2003-03-03,51991200000
2003-03-04,51260800000
2003-03-05,52256800000
2003-03-06,51161200000
2003-03-07,51360400000
2003-03-10,48472000000
2003-03-11,48472000000
2003-03-12,48737600000
2003-03-13,51360400000
2003-03-14,52256800000
2003-03-17,54481200000
2003-03-18,53817200000
2003-03-19,54680400000
2003-03-20,54547600000
2003-03-21,54215599999
2003-03-24,52456000000
2003-03-25,52987200000
2003-03-26,53684400000
2003-03-27,52256800000
2003-03-28,50729600000
2003-03-31,50310220000
2003-04-01,53633220000
2003-04-02,55560560000
2003-04-03,54364280000
2003-04-04,54929190000
2003-04-07,54962420000
2003-04-08,53865830000
2003-04-09,52736010000
2003-04-10,52802470000
2003-04-11,51938490000
2003-04-14,53134770000
2003-04-15,53300920000
2003-04-16,50875130000
2003-04-17,51672650000
2003-04-21,50243760000
2003-04-22,50110840000
2003-04-23,54663350000
2003-04-24,56491000000
2003-04-25,55494100000
2003-04-28,57820199999
2003-04-29,57820199999
2003-04-30,58584490000
2003-05-01,58418339999
2003-05-02,60212760000
2003-05-05,59016480000
2003-05-06,59581390000
2003-05-07,57853430000
2003-05-08,57720510000
2003-05-09,59382010000
2003-05-12,61807800000
2003-05-13,61541960000
2003-05-14,61841030000
2003-05-15,62106870000
2003-05-16,62572089999
2003-05-19,61076740000
2003-05-20,61109970000
2003-05-21,60345680000
2003-05-22,60711210000
2003-05-23,63070540000
2003-05-27,63834830000
2003-05-28,63502530000
2003-05-29,63203460000
2003-05-30,63868060000
2003-06-02,64698810000
2003-06-03,64798500000
2003-06-04,65662480000
2003-06-05,66526460000
2003-06-06,66260620000
2003-06-09,64698810000
2003-06-10,64565890000
2003-06-11,64798500000
2003-06-12,65263720000
2003-06-13,63502530000
2003-06-16,64831730000
2003-06-17,64067440000
2003-06-18,64366510000
2003-06-19,64233589999
2003-06-20,65463100000
2003-06-23,65296949999
2003-06-24,66227390000
2003-06-25,64698810000
2003-06-26,65296949999
2003-06-27,63801600000
2003-06-30,63990320000
2003-07-01,65218349999
2003-07-02,66645519999
2003-07-03,65716200000
2003-07-07,66014910000
2003-07-08,65417490000
2003-07-09,64521360000
2003-07-10,62563150000
2003-07-11,63658420000
2003-07-14,63061000000
2003-07-15,62131680000
2003-07-16,60438990000
2003-07-17,58779490000
2003-07-18,60571750000
2003-07-21,57949740000
2003-07-22,59542860000
2003-07-23,60040710000
2003-07-24,58381210000
2003-07-25,58978630000
2003-07-28,60007519999
2003-07-29,59045010000
2003-07-30,59210960000
2003-07-31,58513970000
2003-08-01,58613540000
2003-08-04,59742000000
2003-08-05,58182070000
2003-08-06,58746300000
2003-08-07,58580349999
2003-08-08,58613540000
2003-08-11,58912250000
2003-08-12,59111389999
2003-08-13,57883360000
2003-08-14,57816980000
2003-08-15,58182070000
2003-08-18,58945440000
2003-08-19,59277340000
2003-08-20,59476480000
2003-08-21,59542860000
2003-08-22,57982930000
2003-08-25,57319130000
2003-08-26,57883360000
2003-08-27,56854470000
2003-08-28,57119990000
2003-08-29,56257050000
2003-09-02,56323430000
2003-09-03,57485080000
2003-09-04,57916550000
2003-09-05,57617840000
2003-09-08,57949740000
2003-09-09,57418700000
2003-09-10,58381210000
2003-09-11,58348019999
2003-09-12,58679920000
2003-09-15,57783790000
2003-09-16,58646730000
2003-09-17,58845870000
2003-09-18,60206660000
2003-09-19,59775190000
2003-09-22,58613540000
2003-09-23,56423000000
2003-09-24,54896260000
2003-09-25,55228160000
2003-09-26,54663930000
2003-09-29,55062210000
2003-09-30,55541320000
2003-10-01,56434479999
2003-10-02,56169840000
2003-10-03,56467560000
2003-10-06,56864520000
2003-10-07,57195320000
2003-10-08,55342840000
2003-10-09,55045120000
2003-10-10,54813560000
2003-10-13,54185040000
2003-10-14,53424199999
2003-10-15,54019639999
2003-10-16,54846639999
2003-10-17,54945880000
2003-10-20,55938280000
2003-10-21,54945880000
2003-10-22,55177440000
2003-10-23,55772880000
2003-10-24,57261479999
2003-10-27,58617760000
2003-10-28,58915479999
2003-10-29,59147040000
2003-10-30,58617760000
2003-10-31,59874800000
2003-11-03,60106360000
2003-11-04,59610160000
2003-11-05,58915479999
2003-11-06,57790760000
2003-11-07,57327639999
2003-11-10,58683919999
2003-11-11,58783160000
2003-11-12,58783160000
2003-11-13,58187720000
2003-11-14,58948560000
2003-11-17,58386199999
2003-11-18,57691520000
2003-11-19,57459960000
2003-11-20,57261479999
2003-11-21,57493040000
2003-11-24,57592280000
2003-11-25,58584680000
2003-11-26,58386199999
2003-11-28,58121560000
2003-12-01,57923080000
2003-12-02,57890000000
2003-12-03,57790760000
2003-12-04,59974040000
2003-12-05,60900280000
2003-12-08,60337919999
2003-12-09,59841720000
2003-12-10,61462639999
2003-12-11,61925760000
2003-12-12,61330320000
2003-12-15,62091160000
2003-12-16,61859600000
2003-12-17,62587360000
2003-12-18,63182800000
2003-12-19,63017400000
2003-12-22,63546680000
2003-12-23,63215880000
2003-12-24,62719680000
2003-12-26,62951240000
2003-12-29,64638320000
2003-12-30,65068360000
2003-12-31,65101440000
2004-01-02,65266840000
2004-01-05,67549360000
2004-01-06,67714760000
2004-01-07,67648600000
2004-01-08,68872560000
2004-01-09,65432240000
2004-01-12,66987000000
2004-01-13,66027680000
2004-01-14,66623120000
2004-01-15,66755440000
2004-01-16,66093840000
2004-01-20,67417040000
2004-01-21,66126919999
2004-01-22,65729960000
2004-01-23,65961520000
2004-01-26,66623120000
2004-01-27,64803720000
2004-01-28,63811320000
2004-01-29,64175199999
2004-01-30,63679000000
2004-02-02,66060760000
2004-02-03,65101440000
2004-02-04,63811320000
2004-02-05,64109040000
2004-02-06,64969120000
2004-02-09,64042880000
2004-02-10,64770639999
2004-02-11,64803720000
2004-02-12,64009800000
2004-02-13,62554280000
2004-02-17,62091160000
2004-02-18,61032600000
2004-02-19,60404080000
2004-02-20,59610160000
2004-02-23,59907880000
2004-02-24,60238680000
2004-02-25,60304840000
2004-02-26,60238680000
2004-02-27,59940960000
2004-03-01,60536400000
2004-03-02,63612840000
2004-03-03,63017400000
2004-03-04,62885080000
2004-03-05,62455040000
2004-03-08,62785840000
2004-03-09,62785840000
2004-03-10,60767960000
2004-03-11,60040199999
2004-03-12,60834120000
2004-03-15,60371000000
2004-03-16,60602560000
2004-03-17,61231080000
2004-03-18,61661120000
2004-03-19,61462639999
2004-03-22,60172520000
2004-03-23,59874800000
2004-03-24,59213199999
2004-03-25,60106360000
2004-03-26,59709400000
2004-03-29,60503320000
2004-03-30,60834120000
2004-03-31,61338240000
2004-04-01,61835040000
2004-04-02,62166240000
2004-04-05,63358560000
2004-04-06,62629920000
2004-04-07,61437600000
2004-04-08,61139520000
2004-04-12,61172640000
2004-04-13,60642719999
2004-04-14,60410879999
2004-04-15,60907680000
2004-04-16,60410879999
2004-04-19,61007040000
2004-04-20,60907680000
2004-04-21,61934400000
2004-04-22,63491040000
2004-04-23,63557280000
2004-04-26,63756000000
2004-04-27,63722879999
2004-04-28,63027360000
2004-04-29,63424799999
2004-04-30,62232480000
2004-05-03,63060480000
2004-05-04,63524160000
2004-05-05,63623520000
2004-05-06,63259200000
2004-05-07,61835040000
2004-05-10,61272000000
2004-05-11,61205760000
2004-05-12,61238879999
2004-05-13,61702560000
2004-05-14,61238879999
2004-05-17,60742080000
2004-05-18,61470719999
2004-05-19,61007040000
2004-05-20,60775200000
2004-05-21,60808320000
2004-05-24,60477120000
2004-05-25,60112799999
2004-05-26,58754879999
2004-05-27,59616000000
2004-05-28,59251680000
2004-06-01,59351040000
2004-06-02,59682240000
2004-06-03,59284799999
2004-06-04,59814719999
2004-06-07,60708959999
2004-06-08,60841440000
2004-06-09,61536959999
2004-06-10,62033760000
2004-06-14,61371360000
2004-06-15,61172640000
2004-06-16,61106400000
2004-06-17,61338240000
2004-06-18,61503840000
2004-06-21,61007040000
2004-06-22,60179040000
2004-06-23,60609600000
2004-06-24,59483520000
2004-06-25,59483520000
2004-06-28,60377760000
2004-06-29,60642719999
2004-06-30,60646200000
2004-07-01,60381080000
2004-07-02,60314800000
2004-07-06,60347940000
2004-07-07,59652000000
2004-07-08,58690940000
2004-07-09,59022339999
2004-07-12,59221180000
2004-07-13,58558380000
2004-07-14,58889780000
2004-07-15,57531040000
2004-07-16,57796160000
2004-07-19,57928720000
2004-07-20,58193839999
2004-07-21,58028140000
2004-07-22,58989200000
2004-07-23,60579920000
2004-07-26,61905520000
2004-07-27,63396820000
2004-07-28,63529380000
2004-07-29,63529380000
2004-07-30,63396820000
2004-08-02,63761359999
2004-08-03,63927060000
2004-08-04,63993339999
2004-08-05,63231119999
2004-08-06,62170640000
2004-08-09,62170640000
2004-08-10,63164839999
2004-08-11,63264260000
2004-08-12,63131700000
2004-08-13,62667740000
2004-08-16,63893920000
2004-08-17,63463099999
2004-08-18,63993339999
2004-08-19,63893920000
2004-08-20,63960200000
2004-08-23,64059619999
2004-08-24,63993339999
