,TEX
2000-06-26,781448000
2000-06-27,822000000
2000-06-28,815424000
2000-06-29,815424000
2000-06-30,762480000
2000-07-03,789480000
2000-07-05,803520000
2000-07-06,789480000
2000-07-07,770040000
2000-07-10,765720000
2000-07-11,816480000
2000-07-12,830520000
2000-07-13,824040000
2000-07-14,827280000
2000-07-17,816480000
2000-07-18,810000000
2000-07-19,789480000
2000-07-20,827280000
2000-07-21,803520000
2000-07-24,810000000
2000-07-25,806760000
2000-07-26,819720000
2000-07-27,819720000
2000-07-28,833760000
2000-07-31,891000000
2000-08-01,884520000
2000-08-02,918000000
2000-08-03,911520000
2000-08-04,911520000
2000-08-07,951480000
2000-08-08,951480000
2000-08-09,951480000
2000-08-10,948239999
2000-08-11,954720000
2000-08-14,948239999
2000-08-15,932040000
2000-08-16,941760000
2000-08-17,954720000
2000-08-18,941760000
2000-08-21,935280000
2000-08-22,978480000
2000-08-23,999000000
2000-08-24,1016280000
2000-08-25,1035720000
2000-08-28,1002239999
2000-08-29,986040000
2000-08-30,1013040000
2000-08-31,989280000
2000-09-01,959040000
2000-09-05,951480000
2000-09-06,962280000
2000-09-07,981720000
2000-09-08,972000000
2000-09-11,945000000
2000-09-12,975239999
2000-09-13,975239999
2000-09-14,975239999
2000-09-15,959040000
2000-09-18,924480000
2000-09-19,887760000
2000-09-20,884520000
2000-09-21,857520000
2000-09-22,840240000
2000-09-25,810000000
2000-09-26,729000000
2000-09-27,678240000
2000-09-28,729000000
2000-09-29,705240000
2000-10-02,328568000
2000-10-03,341968000
2000-10-04,365016000
2000-10-05,360192000
2000-10-06,355368000
2000-10-09,356976000
2000-10-10,346792000
2000-10-11,335000000
2000-10-12,323208000
2000-10-13,326424000
2000-10-16,333392000
2000-10-17,321600000
2000-10-18,328568000
2000-10-19,338216000
2000-10-20,339824000
2000-10-23,339824000
2000-10-24,338216000
2000-10-25,335000000
2000-10-26,313024000
2000-10-27,311416000
2000-10-30,323208000
2000-10-31,330176000
2000-11-01,323208000
2000-11-02,336608000
2000-11-03,331784000
2000-11-06,326424000
2000-11-07,323208000
2000-11-08,330176000
2000-11-09,333392000
2000-11-10,328568000
2000-11-13,345184000
2000-11-14,358584000
2000-11-15,353224000
2000-11-16,350008000
2000-11-17,386992000
2000-11-20,382168000
2000-11-21,386992000
2000-11-22,380024000
2000-11-24,378416000
2000-11-27,360192000
2000-11-28,348400000
2000-11-29,343576000
2000-11-30,348400000
2000-12-01,355368000
2000-12-04,363408000
2000-12-05,358584000
2000-12-06,355368000
2000-12-07,345184000
2000-12-08,321600000
2000-12-11,343576000
2000-12-12,356976000
2000-12-13,351616000
2000-12-14,353224000
2000-12-15,361800000
2000-12-18,348400000
2000-12-19,365016000
2000-12-20,371984000
2000-12-21,368768000
2000-12-22,405216000
2000-12-26,412184000
2000-12-27,455600000
2000-12-28,455600000
2000-12-29,433624000
2001-01-02,418616000
2001-01-03,417008000
2001-01-04,464176000
2001-01-05,443807999
2001-01-08,447024000
2001-01-09,449168000
2001-01-10,442200000
2001-01-11,440592000
2001-01-12,440592000
2001-01-16,455600000
2001-01-17,455600000
2001-01-18,460424000
2001-01-19,450776000
2001-01-22,455600000
2001-01-23,472216000
2001-01-24,473824000
2001-01-25,479184000
2001-01-26,473824000
2001-01-29,490976000
2001-01-30,493119999
2001-01-31,486152000
2001-02-01,479719999
2001-02-02,500088000
2001-02-05,506519999
2001-02-06,512416000
2001-02-07,519919999
2001-02-08,520992000
2001-02-09,508128000
2001-02-12,512952000
2001-02-13,529031999
2001-02-14,524207999
2001-02-15,538680000
2001-02-16,521528000
2001-02-20,489368000
2001-02-21,501695999
2001-02-22,482400000
2001-02-23,484007999
2001-02-26,506519999
2001-02-27,492048000
2001-02-28,494728000
2001-03-01,496872000
2001-03-02,518848000
2001-03-05,513488000
2001-03-06,511880000
2001-03-07,515631999
2001-03-08,512952000
2001-03-09,516168000
2001-03-12,501695999
2001-03-13,512952000
2001-03-14,498480000
2001-03-15,489368000
2001-03-16,469000000
2001-03-19,469536000
2001-03-20,466319999
2001-03-21,443272000
2001-03-22,437912000
2001-03-23,451848000
2001-03-26,455064000
2001-03-27,469000000
2001-03-28,459352000
2001-03-29,455600000
2001-03-30,465248000
2001-04-02,464832000
2001-04-03,455686000
2001-04-04,451920000
2001-04-05,478820000
2001-04-06,468059999
2001-04-09,470750000
2001-04-10,484200000
2001-04-11,475054000
2001-04-12,470750000
2001-04-16,475592000
2001-04-17,470750000
2001-04-18,480972000
2001-04-19,487966000
2001-04-20,492270000
2001-04-23,497650000
2001-04-24,508948000
2001-04-25,532620000
2001-04-26,514328000
2001-04-27,531544000
2001-04-30,527240000
2001-05-01,548760000
2001-05-02,551450000
2001-05-03,538000000
2001-05-04,557368000
2001-05-07,575660000
2001-05-08,591800000
2001-05-09,592876000
2001-05-10,597718000
2001-05-11,596642000
2001-05-14,591262000
2001-05-15,581578000
2001-05-16,610630000
2001-05-17,645600000
2001-05-18,640220000
2001-05-21,652594000
2001-05-22,646676000
2001-05-23,644524000
2001-05-24,634302000
2001-05-25,614934000
2001-05-29,597718000
2001-05-30,589110000
2001-05-31,591800000
2001-06-01,591800000
2001-06-04,601484000
2001-06-05,602560000
2001-06-06,594490000
2001-06-07,604174000
2001-06-08,606326000
2001-06-11,602022000
2001-06-12,569204000
2001-06-13,585344000
2001-06-14,584268000
2001-06-15,567590000
2001-06-18,560058000
2001-06-19,547684000
2001-06-20,544456000
2001-06-21,540690000
2001-06-22,549298000
2001-06-25,548222000
2001-06-26,560596000
2001-06-27,575122000
2001-06-28,561134000
2001-06-29,570280000
2001-07-02,568128000
2001-07-03,570280000
2001-07-05,570280000
2001-07-06,574584000
2001-07-09,586420000
2001-07-10,578350000
2001-07-11,580502000
2001-07-12,599870000
2001-07-13,598794000
2001-07-16,580502000
2001-07-17,616010000
2001-07-18,607402000
2001-07-19,606326000
2001-07-20,595566000
2001-07-23,581040000
2001-07-24,577274000
2001-07-25,574046000
2001-07-26,570280000
2001-07-27,583192000
2001-07-30,585882000
2001-07-31,587496000
2001-08-01,578350000
2001-08-02,578350000
2001-08-03,567052000
2001-08-06,563286000
2001-08-07,560596000
2001-08-08,549836000
2001-08-09,553064000
2001-08-10,555216000
2001-08-13,557368000
2001-08-14,557368000
2001-08-15,578350000
2001-08-16,588034000
2001-08-17,586958000
2001-08-20,610630000
2001-08-21,597180000
2001-08-22,600946000
2001-08-23,593414000
2001-08-24,603098000
2001-08-27,609554000
2001-08-28,611168000
2001-08-29,611706000
2001-08-30,610630000
2001-08-31,596104000
2001-09-04,593952000
2001-09-05,593952000
2001-09-06,585344000
2001-09-07,595566000
2001-09-10,590724000
2001-09-17,556830000
2001-09-18,564900000
2001-09-19,562210000
2001-09-20,494422000
2001-09-21,433090000
2001-09-24,466984000
2001-09-25,454072000
2001-09-26,451920000
2001-09-27,469674000
2001-09-28,478820000
2001-10-01,611800000
2001-10-02,621680000
2001-10-03,655120000
2001-10-04,646000000
2001-10-05,646000000
2001-10-08,645240000
2001-10-09,632320000
2001-10-10,684000000
2001-10-11,695400000
2001-10-12,687800000
2001-10-15,699200000
2001-10-16,722000000
2001-10-17,706800000
2001-10-18,706800000
2001-10-19,703000000
2001-10-22,708320000
2001-10-23,710600000
2001-10-24,673360000
2001-10-25,654360000
2001-10-26,664240000
2001-10-29,636880000
2001-10-30,615600000
2001-10-31,616360000
2001-11-01,630800000
2001-11-02,636880000
2001-11-05,603440000
2001-11-06,615600000
2001-11-07,635360000
2001-11-08,649039999
2001-11-09,646760000
2001-11-12,651320000
2001-11-13,660440000
2001-11-14,668800000
2001-11-15,670320000
2001-11-16,657400000
2001-11-19,670320000
2001-11-20,643720000
2001-11-21,649800000
2001-11-23,661960000
2001-11-26,665000000
2001-11-27,684000000
2001-11-28,682480000
2001-11-29,691600000
2001-11-30,700720000
2001-12-03,703000000
2001-12-04,716680000
2001-12-05,680960000
2001-12-06,666520000
2001-12-07,675640000
2001-12-10,675640000
2001-12-11,668800000
2001-12-12,657400000
2001-12-13,654360000
2001-12-14,627000000
2001-12-17,624720000
2001-12-18,636880000
2001-12-19,623960000
2001-12-20,640680000
2001-12-21,642200000
2001-12-24,654360000
2001-12-26,661200000
2001-12-27,677920000
2001-12-28,674880000
2001-12-31,666520000
2002-01-02,665760000
2002-01-03,674120000
2002-01-04,683240000
2002-01-07,679440000
2002-01-08,669560000
2002-01-09,664240000
2002-01-10,668800000
2002-01-11,661200000
2002-01-14,657400000
2002-01-15,629280000
2002-01-16,613320000
2002-01-17,628520000
2002-01-18,609520000
2002-01-22,598120000
2002-01-23,597360000
2002-01-24,615600000
2002-01-25,618640000
2002-01-28,625480000
2002-01-29,633840000
2002-01-30,630039999
2002-01-31,636880000
2002-02-01,634600000
2002-02-04,625480000
2002-02-05,596600000
2002-02-06,604200000
2002-02-07,593560000
2002-02-08,606480000
2002-02-11,603440000
2002-02-12,604200000
2002-02-13,617880000
2002-02-14,619400000
2002-02-15,600400000
2002-02-19,601920000
2002-02-20,592800000
2002-02-21,635360000
2002-02-22,682480000
2002-02-25,786600000
2002-02-26,786600000
2002-02-27,779760000
2002-02-28,774440000
2002-03-01,817000000
2002-03-04,849680000
2002-03-05,845880000
2002-03-06,880840000
2002-03-07,851200000
2002-03-08,870960000
2002-03-11,877800000
2002-03-12,878560000
2002-03-13,873240000
2002-03-14,871720000
2002-03-15,867920000
2002-03-18,849680000
2002-03-19,869440000
2002-03-20,867160000
2002-03-21,860320000
2002-03-22,874000000
2002-03-25,848920000
2002-03-26,837520000
2002-03-27,835240000
2002-03-28,858800000
2002-04-01,962458000
2002-04-02,969290000
2002-04-03,965020000
2002-04-04,965020000
2002-04-05,977829999
2002-04-08,980392000
2002-04-09,983808000
2002-04-10,1032486000
2002-04-11,1046150000
2002-04-12,1029924000
2002-04-15,997472000
2002-04-16,1037610000
2002-04-17,995764000
2002-04-18,947940000
2002-04-19,959896000
2002-04-22,918050000
2002-04-23,1003450000
2002-04-24,1046150000
2002-04-25,1057252000
2002-04-26,1046150000
2002-04-29,1029070000
2002-04-30,1070062000
2002-05-01,1104222000
2002-05-02,1087142000
2002-05-03,1063229999
2002-05-06,1027362000
2002-05-07,1024800000
2002-05-08,1024800000
2002-05-09,1003450000
2002-05-10,994910000
2002-05-13,1026508000
2002-05-14,1044442000
2002-05-15,1051274000
2002-05-16,1041879999
2002-05-17,1068354000
2002-05-20,1044442000
2002-05-21,1024800000
2002-05-22,1087996000
2002-05-23,1140944000
2002-05-24,1127280000
2002-05-28,1083726000
2002-05-29,1073478000
2002-05-30,1078602000
2002-05-31,1084580000
2002-06-03,1065792000
2002-06-04,1068354000
2002-06-05,1087996000
2002-06-06,1076040000
2002-06-07,1058960000
2002-06-10,1062376000
2002-06-11,1056397999
2002-06-12,1026508000
2002-06-13,1024800000
2002-06-14,1007720000
2002-06-17,1040172000
2002-06-18,1017968000
2002-06-19,984662000
2002-06-20,977829999
2002-06-21,985515999
2002-06-24,980392000
2002-06-25,964165999
2002-06-26,977829999
2002-06-27,969290000
2002-06-28,960750000
2002-07-01,1934859999
2002-07-02,1888580000
2002-07-03,1824500000
2002-07-05,1881460000
2002-07-08,1835180000
2002-07-09,1886800000
2002-07-10,1828060000
2002-07-11,1776440000
2002-07-12,1747960000
2002-07-15,1726599999
2002-07-16,1694560000
2002-07-17,1747960000
2002-07-18,1658960000
2002-07-19,1651840000
2002-07-22,1658960000
2002-07-23,1545040000
2002-07-24,1674980000
2002-07-25,1657180000
2002-07-26,1673200000
2002-07-29,1772880000
2002-07-30,1747960000
2002-07-31,1739060000
2002-08-01,1673200000
2002-08-02,1610900000
2002-08-05,1585980000
2002-08-06,1655400000
2002-08-07,1614460000
2002-08-08,1682099999
2002-08-09,1651840000
2002-08-12,1626920000
2002-08-13,1593099999
2002-08-14,1602000000
2002-08-15,1646500000
2002-08-16,1614460000
2002-08-19,1671420000
2002-08-20,1691000000
2002-08-21,1673200000
2002-08-22,1772880000
2002-08-23,1735500000
2002-08-26,1762200000
2002-08-27,1797800000
2002-08-28,1744400000
2002-08-29,1723040000
2002-08-30,1747960000
2002-09-03,1753300000
2002-09-04,1763980000
2002-09-05,1703460000
2002-09-06,1776440000
2002-09-09,1746180000
2002-09-10,1840520000
2002-09-11,1874340000
2002-09-12,1869000000
2002-09-13,1893920000
2002-09-16,1913500000
2002-09-17,1788900000
2002-09-18,1744400000
2002-09-19,1655400000
2002-09-20,1664300000
2002-09-23,1600220000
2002-09-24,1491640000
2002-09-25,1509440000
2002-09-26,1530800000
2002-09-27,1495200000
2002-09-30,807819999
2002-10-01,818336000
2002-10-02,829808000
2002-10-03,816423999
2002-10-04,748548000
2002-10-07,717000000
2002-10-08,721780000
2002-10-09,697880000
2002-10-10,684496000
2002-10-11,743768000
2002-10-14,734208000
2002-10-15,791567999
2002-10-16,750460000
2002-10-17,769580000
2002-10-18,783919999
2002-10-21,782008000
2002-10-22,762888000
2002-10-23,740900000
2002-10-24,514328000
2002-10-25,542052000
2002-10-28,568820000
2002-10-29,573600000
2002-10-30,567864000
2002-10-31,557348000
2002-11-01,590808000
2002-11-04,597500000
2002-11-05,594632000
2002-11-06,602280000
2002-11-07,597500000
2002-11-08,573600000
2002-11-11,573600000
2002-11-12,592720000
2002-11-13,592720000
2002-11-14,592720000
2002-11-15,583160000
2002-11-18,562128000
2002-11-19,554480000
2002-11-20,551612000
2002-11-21,583160000
2002-11-22,573600000
2002-11-25,582204000
2002-11-26,581248000
2002-11-27,598456000
2002-11-29,590808000
2002-12-02,605148000
2002-12-03,590808000
2002-12-04,581248000
2002-12-05,574556000
2002-12-06,576468000
2002-12-09,569776000
2002-12-10,587940000
2002-12-11,587940000
2002-12-12,578380000
2002-12-13,565952000
2002-12-16,558304000
2002-12-17,547788000
2002-12-18,531535999
2002-12-19,527711999
2002-12-20,519108000
2002-12-23,501900000
2002-12-24,501900000
2002-12-26,514328000
2002-12-27,501900000
2002-12-30,504768000
2002-12-31,532492000
2003-01-02,539184000
2003-01-03,531535999
2003-01-06,552568000
2003-01-07,558304000
2003-01-08,544920000
2003-01-09,547788000
2003-01-10,545876000
2003-01-13,537272000
2003-01-14,531535999
2003-01-15,514328000
2003-01-16,513372000
2003-01-17,491383999
2003-01-21,478000000
2003-01-22,463659999
2003-01-23,463659999
2003-01-24,550656000
2003-01-27,555436000
2003-01-28,541096000
2003-01-29,533448000
2003-01-30,521976000
2003-01-31,540140000
2003-02-03,547788000
2003-02-04,541096000
2003-02-05,555436000
2003-02-06,541096000
2003-02-07,531535999
2003-02-10,523888000
2003-02-11,549700000
2003-02-12,529624000
2003-02-13,523888000
2003-02-14,540140000
2003-02-18,535359999
2003-02-19,530580000
2003-02-20,533448000
2003-02-21,550656000
2003-02-24,553524000
2003-02-25,564040000
2003-02-26,553524000
2003-02-27,581248000
2003-02-28,577424000
2003-03-03,564996000
2003-03-04,568820000
2003-03-05,559260000
2003-03-06,550656000
2003-03-07,567864000
2003-03-10,559260000
2003-03-11,542052000
2003-03-12,534404000
2003-03-13,562128000
2003-03-14,547788000
2003-03-17,572644000
2003-03-18,574556000
2003-03-19,589852000
2003-03-20,598456000
2003-03-21,640520000
2003-03-24,599412000
2003-03-25,616620000
2003-03-26,601324000
2003-03-27,600368000
2003-03-28,603236000
2003-03-31,588336000
2003-04-01,612136000
2003-04-02,644504000
2003-04-03,652120000
2003-04-04,635936000
2003-04-07,669256000
2003-04-08,667352000
2003-04-09,673064000
2003-04-10,694008000
2003-04-11,674968000
2003-04-14,683536000
2003-04-15,674016000
2003-04-16,661640000
2003-04-17,669256000
2003-04-21,674016000
2003-04-22,704480000
2003-04-23,709240000
2003-04-24,775880000
2003-04-25,773976000
2003-04-28,785400000
2003-04-29,769216000
2003-04-30,788255999
2003-05-01,799680000
2003-05-02,852039999
2003-05-05,849184000
2003-05-06,869176000
2003-05-07,863464000
2003-05-08,845376000
2003-05-09,861560000
2003-05-12,895832000
2003-05-13,892976000
2003-05-14,879648000
2003-05-15,904400000
2003-05-16,881552000
2003-05-19,864416000
2003-05-20,831096000
2003-05-21,833000000
2003-05-22,835855999
2003-05-23,839664000
2003-05-27,845376000
2003-05-28,842520000
2003-05-29,835855999
2003-05-30,845376000
2003-06-02,875839999
2003-06-03,875839999
2003-06-04,923439999
2003-06-05,936768000
2003-06-06,916776000
2003-06-09,910112000
2003-06-10,912968000
2003-06-11,932007999
2003-06-12,953904000
2003-06-13,948192000
2003-06-16,982464000
2003-06-17,1002455999
2003-06-18,977704000
2003-06-19,952952000
2003-06-20,966280000
2003-06-23,954855999
2003-06-24,952000000
2003-06-25,948192000
2003-06-26,952000000
2003-06-27,952000000
2003-06-30,944768000
2003-07-01,865392000
2003-07-02,871200000
2003-07-03,853776000
2003-07-07,883784000
2003-07-08,888624000
2003-07-09,909920000
2003-07-10,891528000
2003-07-11,905080000
2003-07-14,880880000
2003-07-15,864424000
2003-07-16,893464000
2003-07-17,903144000
2003-07-18,905080000
2003-07-21,915728000
2003-07-22,918632000
2003-07-23,938959999
2003-07-24,964128000
2003-07-25,981552000
2003-07-28,993168000
2003-07-29,991232000
2003-07-30,1001880000
2003-07-31,1038664000
2003-08-01,1006720000
2003-08-04,1008656000
2003-08-05,1005752000
2003-08-06,998976000
2003-08-07,1000912000
2003-08-08,1005752000
2003-08-11,1026080000
2003-08-12,1050280000
2003-08-13,1064800000
2003-08-14,1069640000
2003-08-15,1071576000
2003-08-18,1108360000
2003-08-19,1111264000
2003-08-20,1093840000
2003-08-21,1120944000
2003-08-22,1083192000
2003-08-25,1057056000
2003-08-26,1058992000
2003-08-27,1076416000
2003-08-28,1103520000
2003-08-29,1118040000
2003-09-02,1079320000
2003-09-03,1088032000
2003-09-04,1084160000
2003-09-05,1056088000
2003-09-08,1098680000
2003-09-09,1102552000
2003-09-10,1040600000
2003-09-11,1045440000
2003-09-12,1060928000
2003-09-15,1046408000
2003-09-16,1064800000
2003-09-17,1077384000
2003-09-18,1083192000
2003-09-19,1079320000
2003-09-22,980584000
2003-09-23,1000912000
2003-09-24,964128000
2003-09-25,921536000
2003-09-26,907015999
2003-09-29,905080000
2003-09-30,908460000
2003-10-01,940800000
2003-10-02,965300000
2003-10-03,964320000
2003-10-06,981960000
2003-10-07,968240000
2003-10-08,1013320000
2003-10-09,1043700000
2003-10-10,1022140000
2003-10-13,1023120000
2003-10-14,1044680000
2003-10-15,1057419999
2003-10-16,1037820000
2003-10-17,1016259999
2003-10-20,1018220000
2003-10-21,1007439999
2003-10-22,980000000
2003-10-23,976080000
2003-10-24,979020000
2003-10-27,1043700000
2003-10-28,1050560000
2003-10-29,1066240000
2003-10-30,1096620000
2003-10-31,1105440000
2003-11-03,1140720000
2003-11-04,1126020000
2003-11-05,1127000000
2003-11-06,1157380000
2003-11-07,1151500000
2003-11-10,1122100000
2003-11-11,1109360000
2003-11-12,1161300000
2003-11-13,1191680000
2003-11-14,1138760000
2003-11-17,1161300000
2003-11-18,1147580000
2003-11-19,1161300000
2003-11-20,1180900000
2003-11-21,1203440000
2003-11-24,1225000000
2003-11-25,1247540000
2003-11-26,1233820000
2003-11-28,1263220000
2003-12-01,1297520000
2003-12-02,1297520000
2003-12-03,1305360000
2003-12-04,1280860000
2003-12-05,1264200000
2003-12-08,1300460000
2003-12-09,1259300000
2003-12-10,1223040000
2003-12-11,1259300000
2003-12-12,1312220000
2003-12-15,1268120000
2003-12-16,1317120000
2003-12-17,1325940000
2003-12-18,1384740000
2003-12-19,1444520000
2003-12-22,1431780000
2003-12-23,1434720000
2003-12-24,1408260000
2003-12-26,1419040000
2003-12-29,1433740000
2003-12-30,1420020000
2003-12-31,1389824000
2004-01-02,1411296000
2004-01-05,1407392000
2004-01-06,1384944000
2004-01-07,1401536000
2004-01-08,1418128000
2004-01-09,1391776000
2004-01-12,1428864000
2004-01-13,1554768000
2004-01-14,1581120000
2004-01-15,1568432000
2004-01-16,1557696000
2004-01-20,1517680000
2004-01-21,1519632000
2004-01-22,1516704000
2004-01-23,1542080000
2004-01-26,1561600000
2004-01-27,1561600000
2004-01-28,1492304000
2004-01-29,1444480000
2004-01-30,1440576000
2004-02-02,1463024000
2004-02-03,1422032000
2004-02-04,1382992000
2004-02-05,1586000000
2004-02-06,1676768000
2004-02-09,1640655999
2004-02-10,1617232000
2004-02-11,1739232000
2004-02-12,1748016000
2004-02-13,1711904000
2004-02-17,1732400000
2004-02-18,1777296000
2004-02-19,1748016000
2004-02-20,1718736000
2004-02-23,1682623999
2004-02-24,1670912000
2004-02-25,1680672000
2004-02-26,1687504000
2004-02-27,1709952000
2004-03-01,1781200000
2004-03-02,1781200000
2004-03-03,1803648000
2004-03-04,1843664000
2004-03-05,1818288000
2004-03-08,1810480000
2004-03-09,1751920000
2004-03-10,1693360000
2004-03-11,1709952000
2004-03-12,1756800000
2004-03-15,1713855999
2004-03-16,1736304000
2004-03-17,1728496000
2004-03-18,1721664000
2004-03-19,1730448000
2004-03-22,1674816000
2004-03-23,1679696000
2004-03-24,1658223999
2004-03-25,1696288000
2004-03-26,1723616000
2004-03-29,1794864000
2004-03-30,1834880000
2004-03-31,1815717999
2004-04-01,1831429999
2004-04-02,1898205999
2004-04-05,1905079999
2004-04-06,1882494000
2004-04-07,1860890000
2004-04-08,1843214000
2004-04-12,1869728000
2004-04-13,1834376000
2004-04-14,1794114000
2004-04-15,1769564000
2004-04-16,1851070000
2004-04-19,1869728000
2004-04-20,1823574000
2004-04-21,1851070000
2004-04-22,1811790000
2004-04-23,1841250000
2004-04-26,1780366000
2004-04-27,1748941999
2004-04-28,1671364000
2004-04-29,1631102000
2004-04-30,1613426000
2004-05-03,1650741999
2004-05-04,1651724000
2004-05-05,1629138000
2004-05-06,1605570000
2004-05-07,1557452000
2004-05-10,1477910000
2004-05-11,1492640000
2004-05-12,1472018000
2004-05-13,1462198000
2004-05-14,1446486000
2004-05-17,1419972000
2004-05-18,1423900000
2004-05-19,1418990000
2004-05-20,1409170000
2004-05-21,1397386000
2004-05-24,1381674000
2004-05-25,1437648000
2004-05-26,1411134000
2004-05-27,1446486000
2004-05-28,1448450000
2004-06-01,1427828000
2004-06-02,1448450000
2004-06-03,1437648000
2004-06-04,1464162000
2004-06-07,1497550000
2004-06-08,1497550000
2004-06-09,1469072000
2004-06-10,1478892000
2004-06-14,1425864000
2004-06-15,1482820000
2004-06-16,1514244000
2004-06-17,1512280000
2004-06-18,1550578000
2004-06-21,1541740000
2004-06-22,1528974000
2004-06-23,1569236000
2004-06-24,1637976000
2004-06-25,1635029999
2004-06-28,1622264000
2004-06-29,1639940000
2004-06-30,1683102000
2004-07-01,1695920000
2004-07-02,1664368000
2004-07-06,1651550000
2004-07-07,1651550000
2004-07-08,1626900000
2004-07-09,1643662000
2004-07-12,1624928000
2004-07-13,1639718000
2004-07-14,1645634000
2004-07-15,1633802000
2004-07-16,1612110000
2004-07-19,1593376000
2004-07-20,1623942000
2004-07-21,1575628000
2004-07-22,1812268000
2004-07-23,1762968000
2004-07-26,1762968000
2004-07-27,1797478000
2004-07-28,1891148000
2004-07-29,1920728000
2004-07-30,1917770000
2004-08-02,1933546000
2004-08-03,1912839999
2004-08-04,1873400000
2004-08-05,1812268000
2004-08-06,1769870000
2004-08-09,1772828000
2004-08-10,1851708000
2004-08-11,1813254000
2004-08-12,1763954000
2004-08-13,1769870000
2004-08-16,1801422000
2004-08-17,1843820000
2004-08-18,1837904000
2004-08-19,1834946000
2004-08-20,1853680000
2004-08-23,1859596000
2004-08-24,1880302000
2004-08-25,1914812000
2004-08-26,1873400000
2004-08-27,1878330000
2004-08-30,1868470000
2004-08-31,1781702000
2004-09-01,1831002000
2004-09-02,1880302000
2004-09-03,1880302000
2004-09-07,1921713999
2004-09-08,1914812000
2004-09-09,1932560000
2004-09-10,1946363999
2004-09-13,1938476000
2004-09-14,1947350000
2004-09-15,1955237999
2004-09-16,1966084000
2004-09-17,1973972000
2004-09-20,1944392000
2004-09-21,1963126000
2004-09-22,1909882000
2004-09-23,2009468000
2004-09-24,2001580000
2004-09-27,1989748000
2004-09-28,2068628000
2004-09-29,2155396000
2004-09-30,2148300000
2004-10-01,2158200000
2004-10-04,2144340000
2004-10-05,2168100000
2004-10-06,2195820000
2004-10-07,2144340000
2004-10-08,2092860000
2004-10-11,2089890000
2004-10-12,2119590000
2004-10-13,2002770000
2004-10-14,1984950000
2004-10-15,2064150000
2004-10-18,2064150000
2004-10-19,1992870000
2004-10-20,1989900000
2004-10-21,2035439999
2004-10-22,1999800000
2004-10-25,2003759999
2004-10-26,1978020000
2004-10-27,1989900000
2004-10-28,1851300000
2004-10-29,1881000000
2004-11-01,1887930000
2004-11-02,1928520000
2004-11-03,2024550000
2004-11-04,2029500000
2004-11-05,2029500000
2004-11-08,2007720000
2004-11-09,2059200000
2004-11-10,2044349999
2004-11-11,2070090000
2004-11-12,2069099999
2004-11-15,2102759999
2004-11-16,2081970000
2004-11-17,2162160000
2004-11-18,2182950000
2004-11-19,2110680000
2004-11-22,2197800000
2004-11-23,2235420000
2004-11-24,2234430000
2004-11-26,2241360000
