,TDC
2008-02-12,3923700000
2008-02-13,4181672000
2008-02-14,4239400000
2008-02-15,4279088000
2008-02-19,4423408000
2008-02-20,4500980000
2008-02-21,4432428000
2008-02-22,4497372000
2008-02-25,4531648000
2008-02-26,4695812000
2008-02-27,4778796000
2008-02-28,4699420000
2008-02-29,4551492000
2008-03-03,4686792000
2008-03-04,4618240000
2008-03-05,4786012000
2008-03-06,4641692000
2008-03-07,4499176000
2008-03-10,4362072000
2008-03-11,4470312000
2008-03-12,4468508000
2008-03-13,4425212000
2008-03-14,4277284000
2008-03-17,4086059999
2008-03-18,4280892000
2008-03-19,4145592000
2008-03-20,4233988000
2008-03-24,4495568000
2008-03-25,4374700000
2008-03-26,4196104000
2008-03-27,4060804000
2008-03-28,3954368000
2008-03-31,3955358000
2008-04-01,3701146460
2008-04-02,3867501000
2008-04-03,3941014000
2008-04-04,3924877000
2008-04-07,3946393000
2008-04-08,3985839000
2008-04-09,3996597000
2008-04-10,3975081000
2008-04-11,3858536000
2008-04-14,3740198000
2008-04-15,3695373000
2008-04-16,3815504000
2008-04-17,3872880000
2008-04-18,3942806999
2008-04-21,3908740000
2008-04-22,3815504000
2008-04-23,3860329000
2008-04-24,3876466000
2008-04-25,3903361000
2008-04-28,3987631999
2008-04-29,3910533000
2008-04-30,3817297000
2008-05-01,3912326000
2008-05-02,4023492000
2008-05-05,4052180000
2008-05-06,4149002000
2008-05-07,4136451000
2008-05-08,4192034000
2008-05-09,4208171000
2008-05-12,4283477000
2008-05-13,4306786000
2008-05-14,4328302000
2008-05-15,4460984000
2008-05-16,4507602000
2008-05-19,4547048000
2008-05-20,4548841000
2008-05-21,4534497000
2008-05-22,4563185000
2008-05-23,4541669000
2008-05-27,4593666000
2008-05-28,4681523000
2008-05-29,4724555000
2008-05-30,4842893000
2008-06-02,4681523000
2008-06-03,4805240000
2008-06-04,4668972000
2008-06-05,4706625000
2008-06-06,4523739000
2008-06-09,4525532000
2008-06-10,4459191000
2008-06-11,4306786000
2008-06-12,4197413000
2008-06-13,4328302000
2008-06-16,4294235000
2008-06-17,4233273000
2008-06-18,4224308000
2008-06-19,4226101000
2008-06-20,4149002000
2008-06-23,4184862000
2008-06-24,4086247000
2008-06-25,4170518000
2008-06-26,4095212000
2008-06-27,4168725000
2008-06-30,4107350000
2008-07-01,4062975000
2008-07-02,3981325000
2008-07-03,4047000000
2008-07-07,3928075000
2008-07-08,4086050000
2008-07-09,4061200000
2008-07-10,3995525000
2008-07-11,3961800000
2008-07-14,3988425000
2008-07-15,3936950000
2008-07-16,3997300000
2008-07-17,3967125000
2008-07-18,4045225000
2008-07-21,4007949999
2008-07-22,3981325000
2008-07-23,4013275000
2008-07-24,3956475000
2008-07-25,3944050000
2008-07-28,3936950000
2008-07-29,4086050000
2008-07-30,4093150000
2008-07-31,4157050000
2008-08-01,3974225000
2008-08-04,3979550000
2008-08-05,4016825000
2008-08-06,4062975000
2008-08-07,4331000000
2008-08-08,4464125000
2008-08-11,4469450000
2008-08-12,4346975000
2008-08-13,4341650000
2008-08-14,4400225000
2008-08-15,4428625000
2008-08-18,4439275000
2008-08-19,4403775000
2008-08-20,4439275000
2008-08-21,4348750000
2008-08-22,4382475000
2008-08-25,4258224999
2008-08-26,4361175000
2008-08-27,4391350000
2008-08-28,4417975000
2008-08-29,4361175000
2008-09-02,4437500000
2008-09-03,4236925000
2008-09-04,4048775000
2008-09-05,4194325000
2008-09-08,4213849999
2008-09-09,4153499999
2008-09-10,4210300000
2008-09-11,4157050000
2008-09-12,4080724999
2008-09-15,3922750000
2008-09-16,4187225000
2008-09-17,3935175000
2008-09-18,3929850000
2008-09-19,3940500000
2008-09-22,3794950000
2008-09-23,3764775000
2008-09-24,3732825000
2008-09-25,3443499999
2008-09-26,3658275000
2008-09-29,3267775000
2008-09-30,3379350000
2008-10-01,3266705000
2008-10-02,3091672000
2008-10-03,2963430000
2008-10-06,2909707000
2008-10-07,2784931000
2008-10-08,2909707000
2008-10-09,2774533000
2008-10-10,2637626000
2008-10-13,2871581000
2008-10-14,2793596000
2008-10-15,2791863000
2008-10-16,3031016999
2008-10-17,2921838000
2008-10-20,2928769999
2008-10-21,2795329000
2008-10-22,2526714000
2008-10-23,2580437000
2008-10-24,2542311000
2008-10-27,2467792000
2008-10-28,2724276000
2008-10-29,2632427000
2008-10-30,2713878000
2008-10-31,2667087000
2008-11-03,2653223000
2008-11-04,2885444999
2008-11-05,2684417000
2008-11-06,2514583000
2008-11-07,2509384000
2008-11-10,2472991000
2008-11-11,2310089000
2008-11-12,2183580000
2008-11-13,2221706000
2008-11-14,2081333000
2008-11-17,2161051000
2008-11-18,2150653000
2008-11-19,2039741000
2008-11-20,1986018000
2008-11-21,2089998000
2008-11-24,2164517000
2008-11-25,2287560000
2008-11-26,2341283000
2008-11-28,2327419000
2008-12-01,2216507000
2008-12-02,2386341000
2008-12-03,2401938000
2008-12-04,2284094000
2008-12-05,2363812000
2008-12-08,2474724000
2008-12-09,2502452000
2008-12-10,2559641000
2008-12-11,2566573000
2008-12-12,2585636000
2008-12-15,2459127000
2008-12-16,2602966000
2008-12-17,2679218000
2008-12-18,2597767000
2008-12-19,2611631000
2008-12-22,2495520000
2008-12-23,2448729000
2008-12-24,2474724000
2008-12-26,2530180000
2008-12-29,2497253000
2008-12-30,2576971000
2008-12-31,2570039000
2009-01-02,2758936000
2009-01-05,2686150000
2009-01-06,2686150000
2009-01-07,2689616000
2009-01-08,2771067000
2009-01-09,2672286000
2009-01-12,2608165000
2009-01-13,2578704000
2009-01-14,2457394000
2009-01-15,2523248000
2009-01-16,2639359000
2009-01-20,2479923000
2009-01-21,2531913000
2009-01-22,2466059000
2009-01-23,2414069000
2009-01-26,2405404000
2009-01-27,2426200000
2009-01-28,2446996000
2009-01-29,2374210000
2009-01-30,2275429000
2009-02-02,2256366000
2009-02-03,2297958000
2009-02-04,2320487000
2009-02-05,2273696000
2009-02-06,2313555000
2009-02-09,2332618000
2009-02-10,2261565000
2009-02-11,2280628000
2009-02-12,2450462000
2009-02-13,2620296000
2009-02-17,2502452000
2009-02-18,2530180000
2009-02-19,2504185000
2009-02-20,2502452000
2009-02-23,2433132000
2009-02-24,2537112000
2009-02-25,2587369000
2009-02-26,2672286000
2009-02-27,2679218000
2009-03-02,2540578000
2009-03-03,2660155000
2009-03-04,2817858000
2009-03-05,2828256000
2009-03-06,2774533000
2009-03-09,2710412000
2009-03-10,2686150000
2009-03-11,2788397000
2009-03-12,2904508000
2009-03-13,2966896000
2009-03-16,2816125000
2009-03-17,2897576000
2009-03-18,2909707000
2009-03-19,2914906000
2009-03-20,2845586000
2009-03-23,2921838000
2009-03-24,2890644000
2009-03-25,2835188000
2009-03-26,2953032000
2009-03-27,2923571000
2009-03-30,2842119999
2009-03-31,2794706000
2009-04-01,2756800000
2009-04-02,2877410000
2009-04-03,2822274000
2009-04-06,2772307000
2009-04-07,2680988000
2009-04-08,2718894000
2009-04-09,2834335000
2009-04-13,2637913000
2009-04-14,2632744000
2009-04-15,2675819000
2009-04-16,2725786000
2009-04-17,2823997000
2009-04-20,2791260000
2009-04-21,2836058000
2009-04-22,2817105000
2009-04-23,2799875000
2009-04-24,2839504000
2009-04-27,2748185000
2009-04-28,2739570000
2009-04-29,2891194000
2009-04-30,2880856000
2009-05-01,2946330000
2009-05-04,3154813000
2009-05-05,3225456000
2009-05-06,3244408999
2009-05-07,3532150000
2009-05-08,3602793000
2009-05-11,3678605000
2009-05-12,3616576999
2009-05-13,3520089000
2009-05-14,3525258000
2009-05-15,3549380000
2009-05-18,3551103000
2009-05-19,3556272000
2009-05-20,3609685000
2009-05-21,3604516000
2009-05-22,3630361000
2009-05-26,3702726999
2009-05-27,3609685000
2009-05-28,3685497000
2009-05-29,3721680000
2009-06-01,3909487000
2009-06-02,3954285000
2009-06-03,3907764000
2009-06-04,3980130000
2009-06-05,4150707000
2009-06-08,4035266000
2009-06-09,4152430000
2009-06-10,4116247000
2009-06-11,4136923000
2009-06-12,4133476999
2009-06-15,3983576000
2009-06-16,3904318000
2009-06-17,3962900000
2009-06-18,3871581000
2009-06-19,3964623000
2009-06-22,3792323000
2009-06-23,3876750000
2009-06-24,3766478000
2009-06-25,3930163000
2009-06-26,3973238000
2009-06-29,3988744999
2009-06-30,4022931000
2009-07-01,4084743000
2009-07-02,3945666000
2009-07-06,3973138000
2009-07-07,3775682999
2009-07-08,3746494000
2009-07-09,3878703000
2009-07-10,3880420000
2009-07-13,4026365000
2009-07-14,4040101000
2009-07-15,4095045000
2009-07-16,4239273000
2009-07-17,4237556000
2009-07-20,4249575000
2009-07-21,4254726000
2009-07-22,4192914000
2009-07-23,4271896000
2009-07-24,4234122000
2009-07-27,4170593000
2009-07-28,4103629999
2009-07-29,4076157999
2009-07-30,4203216000
2009-07-31,4218669000
2009-08-03,4326840000
2009-08-04,4395520000
2009-08-05,4278764000
2009-08-06,4577522000
2009-08-07,4615296000
2009-08-10,4563786000
2009-08-11,4541465000
2009-08-12,4630749000
2009-08-13,4725184000
2009-08-14,4653070000
2009-08-17,4484804000
2009-08-18,4510559000
2009-08-19,4501974000
2009-08-20,4481370000
2009-08-21,4529446000
2009-08-24,4460766000
2009-08-25,4546616000
2009-08-26,4587824000
2009-08-27,4617013000
2009-08-28,4644485000
2009-08-31,4623881000
2009-09-01,4404105000
2009-09-02,4410973000
2009-09-03,4388652000
2009-09-04,4496823000
2009-09-08,4376633000
2009-09-09,4388652000
2009-09-10,4531163000
2009-09-11,4495106000
2009-09-14,4498540000
2009-09-15,4405822000
2009-09-16,4550050000
2009-09-17,4587824000
2009-09-18,4529446000
2009-09-21,4513993000
2009-09-22,4538031000
2009-09-23,4733769000
2009-09-24,4761241000
2009-09-25,4733769000
2009-09-28,4790430000
2009-09-29,4768109000
2009-09-30,4617856000
2009-10-01,4451734000
2009-10-02,4421530000
2009-10-05,4500396000
2009-10-06,4584296000
2009-10-07,4632958000
2009-10-08,4549058000
2009-10-09,4602754000
2009-10-12,4627924000
2009-10-13,4651416000
2009-10-14,4783978000
2009-10-15,4815860000
2009-10-16,4799080000
2009-10-19,4857810000
2009-10-20,4740350000
2009-10-21,4743706000
2009-10-22,4841030000
2009-10-23,4753774000
2009-10-26,4869556000
2009-10-27,4785656000
2009-10-28,4733638000
2009-10-29,4879624000
2009-10-30,4678264000
2009-11-02,4767198000
2009-11-03,4807470000
2009-11-04,4871234000
2009-11-05,4800758000
2009-11-06,4802436000
2009-11-09,5040712000
2009-11-10,5080984000
2009-11-11,5064204000
2009-11-12,5044068000
2009-11-13,5064204000
2009-11-16,5107832000
2009-11-17,5044068000
2009-11-18,5027288000
2009-11-19,4941710000
2009-11-20,4938354000
2009-11-23,5049102000
2009-11-24,4992050000
2009-11-25,4970236000
2009-11-27,4837674000
2009-11-30,4916540000
2009-12-01,5148104000
2009-12-02,5112866000
2009-12-03,5060848000
2009-12-04,5127968000
2009-12-07,5089374000
2009-12-08,4953456000
2009-12-09,5018898000
2009-12-10,5245428000
2009-12-11,5161528000
2009-12-14,5190054000
2009-12-15,5210190000
2009-12-16,5383024000
2009-12-17,5309192000
2009-12-18,5237038000
2009-12-21,5151460000
2009-12-22,5159850000
2009-12-23,5245428000
2009-12-24,5310870000
2009-12-28,5218580000
2009-12-29,5210190000
2009-12-30,5233682000
2009-12-31,5273954000
2010-01-04,5179986000
2010-01-05,5200122000
2010-01-06,5143070000
2010-01-07,5084340000
2010-01-08,5166562000
2010-01-11,5208512000
2010-01-12,5096086000
2010-01-13,5079306000
2010-01-14,5097764000
2010-01-15,5047424000
2010-01-19,5034000000
2010-01-20,5064204000
2010-01-21,4983660000
2010-01-22,4810826000
2010-01-25,4686654000
2010-01-26,4768876000
2010-01-27,4795724000
2010-01-28,4726926000
2010-01-29,4693366000
2010-02-01,4723570000
2010-02-02,4834318000
2010-02-03,4829284000
2010-02-04,4664840000
2010-02-05,4641348000
2010-02-08,4700078000
2010-02-09,4740350000
2010-02-10,4800758000
2010-02-11,4757130000
2010-02-12,4819216000
2010-02-16,4946744000
2010-02-17,4963524000
2010-02-18,5039034000
2010-02-19,5007152000
2010-02-22,4945066000
2010-02-23,4966880000
2010-02-24,5052458000
2010-02-25,5070916000
2010-02-26,5116222000
2010-03-01,5186698000
2010-03-02,5114544000
2010-03-03,5013864000
2010-03-04,5109510000
2010-03-05,5117900000
2010-03-08,5069238000
2010-03-09,5092730000
2010-03-10,4993728000
2010-03-11,5008830000
2010-03-12,4980304000
2010-03-15,4978626000
2010-03-16,4871234000
2010-03-17,4862844000
2010-03-18,4896404000
2010-03-19,4856132000
2010-03-22,4911506000
2010-03-23,4933320000
2010-03-24,4835996000
2010-03-25,4738672000
2010-03-26,4859488000
2010-03-29,4896404000
2010-03-30,4893048000
2010-03-31,4824630000
2010-04-01,4896440000
2010-04-05,4893100000
2010-04-06,4888090000
2010-04-07,4784550000
2010-04-08,4737790000
2010-04-09,4717750000
2010-04-12,4781210000
2010-04-13,4792900000
2010-04-14,4909800000
2010-04-15,5091830000
2010-04-16,5001650000
2010-04-19,5048410000
2010-04-20,5070120000
2010-04-21,5111870000
2010-04-22,5108530000
2010-04-23,5110200000
2010-04-26,5148610000
2010-04-27,5004990000
2010-04-28,5013340000
2010-04-29,4983280000
2010-04-30,4854690000
2010-05-03,4933180000
2010-05-04,4821290000
2010-05-05,4891430000
2010-05-06,5041730000
2010-05-07,4911470000
2010-05-10,5158630000
2010-05-11,5093500000
2010-05-12,5263840000
2010-05-13,5490960000
2010-05-14,5394100000
2010-05-17,5312270000
2010-05-18,5340660000
2010-05-19,5338990000
2010-05-20,5170320000
2010-05-21,5213740000
2010-05-24,5202050000
2010-05-25,5166980000
2010-05-26,5133580000
2010-05-27,5344000000
2010-05-28,5333980000
2010-06-01,5308930000
2010-06-02,5384080000
2010-06-03,5484280000
2010-06-04,5272190000
2010-06-07,5116880000
2010-06-08,5160300000
2010-06-09,5158630000
2010-06-10,5422490000
2010-06-11,5435850000
2010-06-14,5507659999
2010-06-15,5639590000
2010-06-16,5614540000
2010-06-17,5666310000
2010-06-18,5674659999
2010-06-21,5621219999
2010-06-22,5582810000
2010-06-23,5651280000
2010-06-24,5517680000
2010-06-25,5492630000
2010-06-28,5464240000
2010-06-29,5223760000
2010-06-30,5096256000
2010-07-01,5041080000
2010-07-02,4990920000
2010-07-06,4952464000
2010-07-07,5136384000
2010-07-08,5208280000
2010-07-09,5208280000
2010-07-12,5183200000
2010-07-13,5250080000
2010-07-14,5340368000
2010-07-15,5362104000
2010-07-16,5243392000
2010-07-19,5298568000
2010-07-20,5363776000
2010-07-21,5295224000
2010-07-22,5393872000
2010-07-23,5510912000
2010-07-26,5614576000
2010-07-27,5562744000
2010-07-28,5442360000
2010-07-29,5368792000
2010-07-30,5316960000
2010-08-02,5561072000
2010-08-03,5589496000
2010-08-04,5708208000
2010-08-05,5464096000
2010-08-06,5407248000
2010-08-09,5286864000
2010-08-10,5266800000
2010-08-11,5094584000
2010-08-12,5012656000
2010-08-13,4982560000
2010-08-16,5004296000
2010-08-17,5077864000
2010-08-18,5107960000
2010-08-19,5087896000
2010-08-20,5097928000
2010-08-23,5059472000
2010-08-24,5009312000
2010-08-25,4960824000
2010-08-26,5248408000
2010-08-27,5427312000
2010-08-30,5321976000
2010-08-31,5474128000
2010-09-01,5643000000
2010-09-02,5709880000
2010-09-03,5805184000
2010-09-07,5532648000
2010-09-08,5709880000
2010-09-09,5775088000
2010-09-10,5806855999
2010-09-13,5872064000
2010-09-14,5698176000
2010-09-15,5770072000
2010-09-16,5798496000
2010-09-17,5763384000
2010-09-20,6194760000
2010-09-21,6251608000
2010-09-22,6157976000
2010-09-23,6179712000
2010-09-24,6448904000
2010-09-27,6328520000
2010-09-28,6492376000
2010-09-29,6514112000
2010-09-30,6493504000
2010-10-01,6581072000
2010-10-04,6520448000
2010-10-05,6685480000
2010-10-06,6304896000
2010-10-07,6306580000
2010-10-08,6414356000
2010-10-11,6373940000
2010-10-12,6397516000
2010-10-13,6476664000
2010-10-14,6454772000
2010-10-15,6501924000
2010-10-18,6441300000
2010-10-19,6283004000
2010-10-20,6365519999
2010-10-21,6478348000
2010-10-22,6458140000
2010-10-25,6510343999
2010-10-26,6464876000
2010-10-27,6582756000
2010-10-28,6579388000
2010-10-29,6628224000
2010-11-01,6761260000
2010-11-02,6880824000
2010-11-03,6774731999
2010-11-04,6805043999
2010-11-05,6909452000
2010-11-08,6860616000
2010-11-09,6863984000
2010-11-10,6911136000
2010-11-11,6914504000
2010-11-12,6769680000
2010-11-15,6749472000
2010-11-16,6554128000
2010-11-17,6544024000
2010-11-18,6727580000
2010-11-19,6752840000
2010-11-22,6934712000
2010-11-23,6818516000
2010-11-24,6929660000
2010-11-26,6904400000
2010-11-29,6927976000
2010-11-30,6919556000
2010-12-01,7029016000
2010-12-02,6949868000
2010-12-03,6997019999
2010-12-06,7047540000
2010-12-07,7032384000
2010-12-08,7047540000
2010-12-09,7069431999
2010-12-10,7247936000
2010-12-13,7145212000
2010-12-14,7148580000
2010-12-15,7210888000
2010-12-16,7217624000
2010-12-17,7325400000
2010-12-20,7251304000
2010-12-21,7251304000
2010-12-22,7089640000
2010-12-23,7054276000
2010-12-27,7027331999
2010-12-28,7013860000
2010-12-29,7008808000
2010-12-30,7013860000
2010-12-31,6931343999
2011-01-03,7170472000
2011-01-04,7072800000
2011-01-05,7192364000
2011-01-06,7315296000
2011-01-07,7434860000
2011-01-10,7480328000
2011-01-11,7655464000
2011-01-12,7689143999
2011-01-13,7628519999
2011-01-14,7754819999
2011-01-18,7753136000
2011-01-19,7748084000
2011-01-20,7650412000
2011-01-21,7562843999
2011-01-24,7712719999
2011-01-25,7345608000
2011-01-26,7465172000
2011-01-27,7391076000
2011-01-28,7220992000
2011-01-31,7239516000
2011-02-01,7380972000
2011-02-02,7466856000
2011-02-03,7409600000
2011-02-04,7579684000
2011-02-07,7695880000
2011-02-08,7662200000
2011-02-09,7561160000
2011-02-10,7999000000
2011-02-11,8246548000
2011-02-14,8132036000
2011-02-15,8049519999
2011-02-16,8118564000
2011-02-17,8221288000
2011-02-18,8327380000
2011-02-22,8054572000
2011-02-23,7862596000
2011-02-24,7892908000
2011-02-25,7995631999
2011-02-28,8052888000
2011-03-01,7813760000
2011-03-02,8010788000
2011-03-03,8512619999
2011-03-04,8384636000
2011-03-07,8403160000
2011-03-08,8478940000
2011-03-09,8413264000
2011-03-10,8226340000
2011-03-11,8366112000
2011-03-14,8212868000
2011-03-15,8110143999
2011-03-16,8110143999
2011-03-17,8217919999
2011-03-18,8310540000
2011-03-21,8468836000
2011-03-22,8446943999
2011-03-23,8445260000
2011-03-24,8487360000
2011-03-25,8611976000
2011-03-28,8490728000
2011-03-29,8537880000
2011-03-30,8487360000
2011-03-31,8553090000
2011-04-01,8534533000
2011-04-04,8519350000
2011-04-05,8505854000
2011-04-06,8389450999
2011-04-07,8482236000
2011-04-08,8487297000
2011-04-11,8467053000
2011-04-12,8348963000
2011-04-13,8500793000
2011-04-14,8470427000
2011-04-15,8559838000
2011-04-18,8531159000
2011-04-19,8596952000
2011-04-20,8860124000
2011-04-21,9049068000
2011-04-25,9065938000
2011-04-26,9182341000
2011-04-27,9256569000
2011-04-28,9251508000
2011-04-29,9433704000
2011-05-02,9359476000
2011-05-03,9157036000
2011-05-04,9108113000
2011-05-05,8932665000
2011-05-06,9076060000
2011-05-09,9062564000
2011-05-10,9229577000
2011-05-11,9000145000
2011-05-12,9165471000
2011-05-13,8993397000
2011-05-16,8895551000
2011-05-17,9054129000
2011-05-18,9151975000
2011-05-19,9254882000
2011-05-20,9393216000
2011-05-23,9067625000
2011-05-24,9158723000
2011-05-25,9155349000
2011-05-26,9293683000
2011-05-27,9340919000
2011-05-31,9411773000
2011-06-01,9224516000
2011-06-02,9192463000
2011-06-03,9064251000
2011-06-06,9013641000
2011-06-07,9241386000
2011-06-08,9091243000
2011-06-09,9017015000
2011-06-10,8937726000
2011-06-13,9121609000
2011-06-14,9369598000
2011-06-15,9318988000
2011-06-16,9283561000
2011-06-17,9467444000
2011-06-20,9614213000
2011-06-21,9769417000
2011-06-22,9727242000
2011-06-23,9791348000
2011-06-24,9688441000
2011-06-27,9772791000
2011-06-28,10051146000
2011-06-29,10007284000
2011-06-30,10107580000
2011-07-01,10226789000
2011-07-05,10339282000
2011-07-06,10347677000
2011-07-07,10465207000
2011-07-08,10270443000
2011-07-11,9949754000
2011-07-12,9810397000
2011-07-13,9820471000
2011-07-14,9765064000
2011-07-15,9699583000
2011-07-18,9519930000
2011-07-19,9958149000
2011-07-20,9639139000
2011-07-21,9541757000
2011-07-22,9615633000
2011-07-25,9561905000
2011-07-26,9506498000
2011-07-27,9236179000
2011-07-28,9205957000
2011-07-29,9227784000
2011-08-01,9308376000
2011-08-02,9026304000
2011-08-03,9125365000
2011-08-04,9105217000
2011-08-05,9026304000
2011-08-08,8530999000
2011-08-09,9058205000
2011-08-10,8608233000
2011-08-11,8950749000
2011-08-12,9259685000
2011-08-15,9402400000
2011-08-16,9163982000
2011-08-17,8797960000
2011-08-18,7626018000
2011-08-19,7278465000
2011-08-22,7570611000
2011-08-23,8096138000
2011-08-24,8206952000
2011-08-25,8007151000
2011-08-26,8171693000
2011-08-29,8450407000
2011-08-30,8643492000
2011-08-31,8791244000
2011-09-01,8551147000
2011-09-02,8232137000
2011-09-06,8374852000
2011-09-07,8530999000
2011-09-08,8341272000
2011-09-09,8074311000
2011-09-12,8240532000
2011-09-13,8211988999
2011-09-14,8561221000
2011-09-15,8638455000
2011-09-16,8823145000
2011-09-19,8808034000
2011-09-20,8771096000
2011-09-21,8875194000
2011-09-22,8598159000
2011-09-23,8962502000
2011-09-26,9341956000
2011-09-27,9590448000
2011-09-28,9447733000
2011-09-29,9242895000
2011-09-30,8987687000
2011-10-03,8532678000
2011-10-04,8823145000
2011-10-05,8828182000
2011-10-06,9261364000
2011-10-07,9019588000
2011-10-10,9417511000
2011-10-11,9590448000
2011-10-12,9615633000
2011-10-13,9731484000
2011-10-14,9958149000
2011-10-17,9649213000
2011-10-18,9948075000
2011-10-19,9650892000
2011-10-20,9263043000
2011-10-21,9318450000
2011-10-24,9467881000
2011-10-25,9410795000
2011-10-26,9488029000
2011-10-27,10209999000
2011-10-28,10440022000
2011-10-31,10016914000
2011-11-01,9528325000
2011-11-02,9682793000
2011-11-03,9761706000
2011-11-04,9553510000
2011-11-07,9469560000
2011-11-08,9671040000
2011-11-09,9259685000
2011-11-10,9291586000
2011-11-11,9466202000
2011-11-14,9409116000
2011-11-15,9543436000
2011-11-16,9427585000
2011-11-17,9085069000
2011-11-18,8860083000
2011-11-21,8608233000
2011-11-22,8616628000
2011-11-23,8386605000
2011-11-25,8307691999
2011-11-28,8579690000
2011-11-29,8512530000
2011-11-30,9105217000
2011-12-01,9064921000
2011-12-02,9022946000
2011-12-05,8965860000
2011-12-06,8833219000
2011-12-07,8777812000
2011-12-08,8710652000
2011-12-09,8860083000
2011-12-12,8603196000
2011-12-13,8344630000
2011-12-14,8222063000
2011-12-15,8222063000
2011-12-16,8274112000
2011-12-19,8223741999
2011-12-20,8475591999
2011-12-21,8008830000
2011-12-22,8084385000
2011-12-23,8222063000
2011-12-27,8321124000
2011-12-28,8232137000
2011-12-29,8322803000
2011-12-30,8144829000
2012-01-03,8316087000
2012-01-04,8302655000
2012-01-05,8232137000
2012-01-06,7953423000
2012-01-09,8151544999
2012-01-10,8141471000
2012-01-11,8065916000
2012-01-12,8129718000
2012-01-13,8193519999
2012-01-17,8341272000
2012-01-18,8599838000
2012-01-19,8833219000
2012-01-20,8819787000
2012-01-23,8878552000
2012-01-24,8937317000
2012-01-25,9068279000
2012-01-26,8895342000
2012-01-27,8960823000
2012-01-30,8949070000
2012-01-31,8992724000
2012-02-01,9120328000
2012-02-02,9111933000
2012-02-03,9543436000
2012-02-06,9548473000
2012-02-07,9714694000
2012-02-08,9744916000
2012-02-09,10735526000
2012-02-10,10419874000
2012-02-13,10345998000
2012-02-14,10436664000
2012-02-15,10367825000
2012-02-16,10492071000
2012-02-17,10515577000
2012-02-21,10441701000
2012-02-22,10748958000
2012-02-23,10685156000
2012-02-24,10994092000
2012-02-27,11027672000
2012-02-28,11067968000
2012-02-29,11173745000
2012-03-01,11252658000
2012-03-02,11180461000
2012-03-05,10933648000
2012-03-06,10681798000
2012-03-07,11004166000
2012-03-08,11108264000
2012-03-09,11150239000
2012-03-12,11146881000
2012-03-13,11303027999
2012-03-14,11350039999
2012-03-15,11430632000
2012-03-16,11457496000
2012-03-19,11464212000
2012-03-20,11212362000
2012-03-21,11454138000
2012-03-22,11433989999
2012-03-23,11521298000
2012-03-26,11648902000
2012-03-27,11494433999
2012-03-28,11407126000
2012-03-29,11435669000
2012-03-30,11442385000
2012-04-02,11647048000
2012-04-03,11780321000
2012-04-04,11437860000
2012-04-05,11488469999
2012-04-09,11353510000
2012-04-10,11161192000
2012-04-11,11390624000
2012-04-12,11623430000
2012-04-13,11643674000
2012-04-16,11368693000
2012-04-17,11709467000
2012-04-18,11751642000
2012-04-19,11633551999
2012-04-20,11623430000
2012-04-23,11549201999
2012-04-24,11270847000
2012-04-25,11647048000
2012-04-26,11876480000
2012-04-27,11957456000
2012-04-30,11771886000
2012-05-01,11992883000
2012-05-02,12178453000
2012-05-03,13013518000
2012-05-04,12338718000
2012-05-07,12178453000
2012-05-08,12033371000
2012-05-09,12205444999
2012-05-10,12019875000
2012-05-11,12001318000
2012-05-14,11741519999
