,LNC
2001-11-08,8432103961
2001-11-09,8305631840
2001-11-12,8243339601
2001-11-13,8537812002
2001-11-14,8681272916
2001-11-15,8754891016
2001-11-16,8662396480
2001-11-19,8713362857
2001-11-20,8834172048
2001-11-21,8800194463
2001-11-23,8887026068
2001-11-26,8856823771
2001-11-27,9004059972
2001-11-28,9026711695
2001-11-29,9058801636
2001-11-30,9004059972
2001-12-03,8949318307
2001-12-04,9053138705
2001-12-05,9143745598
2001-12-06,9202262550
2001-12-07,9221138986
2001-12-10,8994621754
2001-12-11,9019161120
2001-12-12,9004059972
2001-12-13,8788868601
2001-12-14,8786980958
2001-12-17,8834172048
2001-12-18,8853048484
2001-12-19,8983295892
2001-12-20,9039925200
2001-12-21,8985183536
2001-12-24,8947430664
2001-12-26,8956868882
2001-12-27,9155071460
2001-12-28,9173947896
2001-12-31,9075222125
2002-01-02,9024773083
2002-01-03,9170514760
2002-01-04,9329335818
2002-01-07,9248991048
2002-01-08,9239648632
2002-01-09,9310650988
2002-01-10,9555422266
2002-01-11,9555422266
2002-01-14,9540474402
2002-01-15,9529263504
2002-01-16,9314387954
2002-01-17,9404075140
2002-01-18,9379784860
2002-01-22,9318124920
2002-01-23,9482551428
2002-01-24,9527395020
2002-01-25,9533000470
2002-01-28,9379784860
2002-01-29,9234043183
2002-01-30,9301308573
2002-01-31,9622687656
2002-02-01,9538605919
2002-02-04,9463866597
2002-02-05,9149961446
2002-02-06,9263938912
2002-02-07,9280755259
2002-02-08,9579712546
2002-02-11,9680610630
2002-02-12,9566633164
2002-02-13,9788982646
2002-02-14,9817009892
2002-02-15,9775903265
2002-02-19,9660057316
2002-02-20,9585317995
2002-02-21,9488156877
2002-02-22,9355494581
2002-02-25,9538605919
2002-02-26,9688084562
2002-02-27,9716111808
2002-02-28,9568501647
2002-03-01,9688084562
2002-03-04,9895486179
2002-03-05,9962751569
2002-03-06,9996384264
2002-03-07,9867458934
2002-03-08,9809535960
2002-03-11,9800193544
2002-03-12,9779640231
2002-03-13,9667531248
2002-03-14,9716111808
2002-03-15,9865590451
2002-03-18,9787114163
2002-03-19,9781508714
2002-03-20,9650714901
2002-03-21,9604002825
2002-03-22,9531131987
2002-03-25,9333072784
2002-03-26,9370442445
2002-03-27,9523658054
2002-03-28,9478814461
2002-04-01,9322510931
2002-04-02,9400585798
2002-04-03,9409880425
2002-04-04,9396867947
2002-04-05,9499108845
2002-04-08,9499108845
2002-04-09,9532569502
2002-04-10,9729615595
2002-04-11,9554876607
2002-04-12,9664553206
2002-04-15,9491673143
2002-04-16,9467507113
2002-04-17,9558594458
2002-04-18,9454494635
2002-04-19,9631092549
2002-04-22,9556735532
2002-04-23,9127323763
2002-04-24,9203539704
2002-04-25,9071556000
2002-04-26,9049248895
2002-04-29,9026941790
2002-04-30,8904252713
2002-05-01,8798293965
2002-05-02,8683040590
2002-05-03,8677463813
2002-05-06,8534326557
2002-05-07,8354010792
2002-05-08,8521314079
2002-05-09,8439521361
2002-05-10,8322409060
2002-05-13,8539903333
2002-05-14,8528749781
2002-05-15,8485994496
2002-05-16,8614260349
2002-05-17,8606824648
2002-05-20,8497148049
2002-05-21,8402342853
2002-05-22,8346575090
2002-05-23,8365164345
2002-05-24,8246193118
2002-05-28,8142093295
2002-05-29,8151387922
2002-05-30,8214591386
2002-05-31,8331703687
2002-06-03,8235039566
2002-06-04,8095620160
2002-06-05,8151387922
2002-06-06,7956200754
2002-06-07,8019404218
2002-06-10,8067736279
2002-06-11,7835370603
2002-06-12,7881843738
2002-06-13,7774026064
2002-06-14,7785179617
2002-06-17,8065877353
2002-06-18,8132798668
2002-06-19,8088184458
2002-06-20,7837229528
2002-06-21,7811204572
2002-06-24,7829793826
2002-06-25,7881843738
2002-06-26,7816781349
2002-06-27,7816781349
2002-06-28,7807486722
2002-07-01,7582268716
2002-07-02,7273159440
2002-07-03,7122241381
2002-07-05,7378620251
2002-07-08,7218610744
2002-07-09,7087693874
2002-07-10,6907683178
2002-07-11,6973141613
2002-07-12,6802222366
2002-07-15,6760401699
2002-07-16,6662214047
2002-07-17,6500386249
2002-07-18,6202186712
2002-07-19,6173094074
2002-07-22,5876712827
2002-07-23,5663972913
2002-07-24,6000356538
2002-07-25,5983991929
2002-07-26,6134909987
2002-07-29,6564026394
2002-07-30,6587664162
2002-07-31,6671305496
2002-08-01,6336740162
2002-08-02,6154911176
2002-08-05,5945807842
2002-08-06,6045813784
2002-08-07,6060360103
2002-08-08,6296737785
2002-08-09,6424018075
2002-08-12,6422199785
2002-08-13,6194913553
2002-08-14,6465838742
2002-08-15,6542206916
2002-08-16,6509477698
2002-08-19,6720399322
2002-08-20,6576754423
2002-08-21,6731309061
2002-08-22,7000415961
2002-08-23,6927684366
2002-08-26,6909501468
2002-08-27,6894955149
2002-08-28,6745855380
2002-08-29,6745855380
2002-08-30,6736763931
2002-09-03,6445837553
2002-09-04,6300374364
2002-09-05,6162184335
2002-09-06,6265826857
2002-09-09,6365832799
